title,company,location,requirements,link
Legal Intern,Sony,"New York, NY","Sony Corporation of America, located in New York, NY , is the U.S. headquarters of Sony Corporation, based in Tokyo, Japan. Sony's principal U.S. businesses include Sony Electronics Inc., Sony Mobile Communications (USA) Inc., Sony Interactive Entertainment LLC., Sony Pictures Entertainment Inc., Sony Music Entertainment, and Sony/ATV Music Publishing LLC. With some 900 million Sony devices in hands and homes worldwide today, a vast array of Sony movies, television shows and music, and the PlayStation Network, Sony creates and delivers more entertainment experiences to more people than anyone else on earth. To learn more: www.sony.com .

Position Summary
Sony Corporation of America is seeking a law student Intern to support the Legal Department. This internship will be paid and the Intern will assist lawyers in transactional, litigation and corporate matters. Sony’s law student Intern program is designed to provide the intern with hands-on training in a real-world environment of an in-house legal department. Assignments will vary and may include one or more of the following: researching and drafting memos; reviewing agreements and other legal documents; preparing for and attending client meetings; negotiations; depositions; and court appearances.

Qualifications
The Intern should have related experience/background/course work/other indicia of interest in the fields of technology, media, entertainment or similar industries.
Prior law firm/judicial internship or related internship experience also is a plus.
Second/third year law students are preferred.
Must be enrolled in an ABA accredited law school
If applicant is seeking course credit, such applicant must be enrolled in an ABA accredited law school internship/externship or clinical program.

Requirements
Please provide copy of law school transcript, resume, cover letter and writing sample as part of the application materials
Minimum 3.0 GPA required
Previous internship experience desired
Highly organized, highly detail-oriented
Excellent written and oral communication skills
Ability to work independently and follow through on tasks until they are completed
Experience in discreetly handling confidential information preferred
Proficient in Microsoft Office Suite
All candidates must be authorized to work in the U.S

Sony is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religious creed, sex (including pregnancy), gender, national origin, citizenship, ancestry, age, physical or mental disability, military status, status as a veteran or disabled veteran, sexual orientation, gender identity or expression, marital or family status, genetic information, medical condition, or any other basis protected by applicable federal, state, or local law, ordinance, or regulation.

Disability Accommodation for Applicants to Sony Corporation of America
Sony Corporation of America provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job application procedures. For reasonable accommodation requests, please contact us by email at careers@sonyusa.com or by mail to: Sony Corporation of America, Human Resources Department, 25 Madison Avenue, New York, NY 10010. Please indicate the position you are applying for.
EEO is the Law
EEO is the Law Supplement
Right to Work (English/Spanish)
E-Verify Participation (English/Spanish)",https://www.linkedin.com/jobs/view/externalApply/2477244228?url=https%3A%2F%2Fsonyglobal%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSonyGlobalCareers%2Fjob%2FNew-York%2FLegal-Intern_JR-105238%3Fsource%3DLinkedin&urlHash=pEPf&refId=795a92f3-b582-44b4-947c-d5c8c528fcf8&trackingId=QAw17SgK07btS3m%2B%2B9zyOQ%3D%3D&trk=public_jobs_apply-link-offsite
Legal Intern (Summer 2021),LG Electronics North America,"Englewood Cliffs, NJ","Company

LG Electronics U.S. (LGEUS)

Job Function

Legal

At LG, innovation is the foundation of everything we do. We make products and services that make lives better, easier and happier through increased functionality and fun. Put simply, we make “Life Good” – from home appliances, consumer electronics, vehicle components and mobile communications to business innovations in digital signage, air conditioning, solar and LED lighting.

We are currently seeking our newest innovator to join our dynamic team as a Legal Intern on the US Legal Team!

Summary

This is a Legal Intern position that provides a variety of general corporate and commercial legal advice and support to the in-house legal team and their diverse clients. The Legal Intern will be expected to research, analyze, and draft legal documents, presentations, and memoranda with appropriate supervision. Legal Intern will support the attorneys in our Legal Department in various substantive areas across multiple business units. Experience will include attending meetings with our legal team and business persons, drafting and reviewing legal documents, and participate in other legal projects as assigned.

Responsibilities
Create and review standard contracts for assigned clients of a less complex nature
Ensure compliance with advertising regulations
Create, maintain and enforce sales and vendor contract policies depending on client assignments with support and input of clients and other team members


Qualifications
Completed one year of a JD degree with an accredited law school
The desire to pursue a career in corporate law post-graduation
Willingness to learn new technology and products
Must be proficient with Microsoft Office Suite (Word, Powerpoint, and Excel)
Superior interpersonal skills to collaborate effectively with the Legal team and its clients
Excellent organizational, written, and verbal communication skills
Develop and utilize strong analytical skills to research potential solutions and determine appropriate course of action

LG Electronics, USA Inc., LG Mobile Research USA LLC, LG Electronics, Alabama, inc., LGEVU and Zenith Electronics LLC provides equal employment opportunity to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law. Further, the Company takes affirmative action to ensure that applicants are employed and employees are treated during employment without regard to any of these characteristics.

Email",https://www.linkedin.com/jobs/view/externalApply/2493338587?url=https%3A%2F%2Fphg%2Etbe%2Etaleo%2Enet%2Fphg01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DLGEUSA%26cws%3D41%26rid%3D25804&urlHash=eAdF&refId=795a92f3-b582-44b4-947c-d5c8c528fcf8&trackingId=0alrtU3oakNWF44RVlhZwg%3D%3D&trk=public_jobs_apply-link-offsite
Legal Intern,Chegg Inc.,"Providence, RI","Summer Legal Intern
Remote, United States

Your goal - to improve the education process and better the lives of students -- through interning in the Legal Department.

Organization: Legal Department

Role: Legal Intern

We are looking for a highly motivated self-starter to help us improve the education process and better the lives of all students. The Chegg legal team is looking for a dynamic and enthusiastic law school student to assist the legal department with various corporate legal projects and to learn how we operate.

Responsibilities
Assist with researching legal issues (including litigation), drafting contracts, creating legal policies and administrative duties
Assist with legal commercial and business projects
Provide general support to Chegg attorneys and paralegals
Collaborate with other team members on various projects as needed

Requirements
Currently enrolled as a 1L or 2L student in good standing at an ABA-accredited law school
Minimum 3.0 GPA
Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder)
Have the ability to work for 10 weeks in the summer
Have the ability to work 40 hours per week
Computer skills including Microsoft Word, Excel, and Outlook
Should have excellent research, writing, and interpersonal skills
Attention to detail, self-motivated, independent, organized and proactive
Able to multi-task and handle multiple assignments in a fast-paced environment
This position is perfect for someone looking to enter the corporate Legal environment. The possibility exists to extend the internship in the fall and spring semesters for law school credit.

Chegg out our intern program!

http://www.chegg.com/jobs/university

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/externalApply/2458240802?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OWTOEFWB%2F&urlHash=AOGw&refId=795a92f3-b582-44b4-947c-d5c8c528fcf8&trackingId=n8iWP8aGYp1Bnu%2FA5N%2FZyQ%3D%3D&trk=public_jobs_apply-link-offsite
Legal Intern (Spring/Summer 2021),Notarize,"Boston, MA","At Notarize, we’re pulling the future closer. As the first company to complete a legal online notarization, online mortgage closing, online will, online auto sales, and countless other critical transactions, we’re proud of our role in bringing industries into the digital age.

Our business has grown exponentially (over 600%) in the past year, as companies in a wide variety of industries look to us to help their customers get crucial legal transactions processed remotely. We’ve been dealing with a number of challenging (but interesting!) scalability issues, as more and more global enterprise companies look to Notarize to help them speed up business processes and provide better customer service in a new, fully-remote world. We’re building the team that will operate a critical platform company in tomorrow’s economy. Come join us!

We’re looking for an intern to join our lean legal power team. In this role, you’ll work closely with our in-house legal team and other functional groups on a variety of legal issues. You’ll gain exposure to the inner workings of a legal team at a rapidly expanding startup SaaS company.

As Our Legal Intern, You Will
Aid in drafting and negotiating customer and vendor agreements including license agreements, non-disclosure agreements, master service agreements
Monitoring, and Researching state and federal law as they may relate to remote online notarizations and SaaS providers
Partnering with internal business partners to meet legal requests
Review and revise current company policies to ensure legal compliance & assist with due diligence requests

What We’re Looking For
Current enrollment in law school with 1+ years of program completed
Strong academic record
Strong written and verbal communication skills
Precise attention to detail
Motivation to learn and grow
Prior internship experience a plus
Exposure to SaaS/tech industry a plus

Position Logistics
Role is fully remote/work-from-home (within the continental United States)
Role pays $20/hour
Interns must be able to commit to 32-40 hours per week
Internship will begin ASAP and last through August 2021

Our Core Values
Solve Problems That Matter: We serve some of the most important moments in people's lives. It's a responsibility we embrace by focusing obsessively on the issues that will have a quantifiable impact on our customers and our company growth.
Yes Before No: We are optimistic about our ability to change lives by transforming outmoded processes. We believe our efforts can create a better future, and it is our attitude that will allow us to pull that future closer.
Start With Why: We don't presume to understand the intentions of the people around us, whether coworkers or customers. We ask honest questions and listen to feedback in order to gain insight, build trust, and create memorable experiences.
Stamp Together: We create a strong team and a welcoming workplace by valuing diverse perspectives. Every role in our organization is supported and valued equally, without regard to location or background.

Notarize is committed to building an inclusive environment for people of all backgrounds and everyone is encouraged to apply. We are an equal opportunity employer and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We'd love to hear from you.",https://www.linkedin.com/jobs/view/externalApply/2470549235?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fnotarize%2F8d92ea66-9e92-45ec-8131-379a4a1f7308&urlHash=rKeL&refId=795a92f3-b582-44b4-947c-d5c8c528fcf8&trackingId=Fd5xVIr4W5p1mT1AFodK5A%3D%3D&trk=public_jobs_apply-link-offsite
Legal Internships - Summer 2021 - East Hartford,Pratt & Whitney Canada,"East Hartford, CT","Date Posted

2021-02-23-08:00

Country

United States of America
Location:
PW100: East Hartford 400 Main Street, East Hartford, CT, 06118 USA
Pratt & Whitney is working to, once again, transform the future of flight—designing, building, and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious.

Come ready to explore and you’ll find a place where your talent takes flight—beyond the borders of title, a country, or your comfort zone. Bring your passion and commitment and we’ll welcome you into a tight-knit team that takes our mission personally. Channel your drive to make a difference into shaping an organization and an industry that’s evolving fast to the future.

Pratt & Whitney Internship Program

Interns at Pratt & Whitney work on challenging, meaningful, and impactful projects across our business. We’re looking for students with an engineer’s curiosity, an explorer’s heart, and a perfectionist’s grit to help us build the future of aerospace.

Whether supporting Mature Commercial Engines, industry-leading Geared Turbofan engines, Military Engine programs, Operations, or Business Support functions, our program seeks to help you: develop an understanding of the aerospace industry; learn about our company and its operations; and appreciate how each discipline and department’s contribution to the success of our products and customer partnerships.

While you benefit from on-the-job training and practical experience, you are expected to contribute fresh ideas and participate as a productive member of the department. Your growth as a professional and the difference you make will be on display every day.

Are you ready to go beyond?

Seeking Legal Interns!

We're seeking law students to support our Legal Department this summer. The intern position will provide candidates with valuable experience working on important legal and contractual issues in a world class, dynamic, full-service legal environment. The position involves working directly with attorneys, internal clients, and potential interaction with customers, suppliers, and service providers.

This is a pipeline requisition. Qualified candidates will be considered for open 2021 internship positions as they become available. These internships may be eligible to work remotely.

Do you meet these Basic Qualifications?
Must be a U.S. Citizen due to government contract requirements
Enrolled in an accredited law program
Have finished at least 1 year of full-time law school or equivalent prior to starting your internship
You have a GPA of 3.0 or higher

How about any of these Preferred Qualifications?
Exceptional interpersonal skills and consistent record of collaboration, flexibility, innovation, and initiative
Strong interest in the study and application of the law, substantive knowledge of legal issues, and some prior experience with a legal department or law firm.
Strong understanding of or work history in business or aerospace",https://www.linkedin.com/jobs/view/externalApply/2492432073?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3D890eba1417b9%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8add77ddgaadbbade9adf9ddffddcaddffdd93aeecdc7fec3ddcg3e&urlHash=DZdQ&refId=795a92f3-b582-44b4-947c-d5c8c528fcf8&trackingId=0pofBIbqDI0OoKEFrjHn8w%3D%3D&trk=public_jobs_apply-link-offsite
Microsoft Legal Internship,Microsoft,"Redmond, WA","Microsoft is going through a transformational change to become the leading Cloud first, Mobile first company. Microsoft aspires to help our customers achieve their own digital transformation. Every day, we work to help our customers leverage the power of Microsoft’s solutions and services, to support our mission to empower every person and every organization on the planet to achieve more.

Microsoft’s legal team champions our company's integrity and works to earn and maintain public trust. As an attorney, government affairs specialist or legal business professional, you will find the best of both worlds here: we have the quality-of-life advantages of in-house counsel paired with a stimulating work environment that spans litigation, intellectual property, transactions, licensing, and global migration. Get ready to overcome challenges, forge solutions and provide direct counsel to the cutting edge of the world’s most dynamic industry.

Responsibilities

As a Legal Intern at Microsoft, you will work within our Corporate, External & Legal Affairs department in Redmond, Washington. You will have a broad range of responsibilities from across the department, which may include researching legal issues impacting business strategy, drafting transactional documents, attending client meetings and product reviews, and collaborating with internal teams on cross-group projects.

Qualifications

Qualifications:
Applicants must be first-year law students in good standing for the degree of J.D. from an ABA accredited law school.
Excellent analytical ability and legal drafting skills.
Excellent oral and written communications skills and the ability to communicate effectively across a large number of diverse internal groups, teams and divisions.
A demonstrated ability to work efficiently, meet deadlines, and manage multi-dimensional projects in a fast-paced environment.
Ability to research and learn new concepts and legal issues quickly to facilitate problem solving.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://www.linkedin.com/jobs/view/externalApply/2459270007?url=https%3A%2F%2Fcareers%2Emicrosoft%2Ecom%2Fus%2Fen%2Fjob%2F960773%2FMicrosoft-Legal-Internship%3Fjobsource%3Dlinkedin%26utm_source%3Dlinkedin%26utm_medium%3Dlinkedin%26utm_campaign%3Dlinkedin-feed&urlHash=b9gX&refId=795a92f3-b582-44b4-947c-d5c8c528fcf8&trackingId=avZ7O%2BHTfE18K8asS%2FImiA%3D%3D&trk=public_jobs_apply-link-offsite
Legal Intern-1,GE Healthcare,"Wauwatosa, WI","Job Description Summary The GLP team supports the full business from the Chicago, IL and Wauwatosa, WI sites through lawyers who practice in the areas of compliance, commercial, product development, intellectual property, labor & employment, regulatory and litigation and investigations. The summer clerk will have the opportunity to work on projects across these areas in a fast-paced, respectful and inclusive environment. Job Description
The legal intern will work with GEHC legal and compliance professionals in various areas across the organization, including compliance, commercial, product development, intellectual property, labor & employment, regulatory and litigation and investigations. Projects will vary and may entail legal research, writing, and contract and policy reviews and revision.
Additional Information

GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer . Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

GE will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditioned upon the successful completion of a drug screen (as applicable).

Relocation Assistance Provided: No",https://www.linkedin.com/jobs/view/externalApply/2493681337?url=https%3A%2F%2Fjobs%2Egecareers%2Ecom%2Fhealthcare%2Fglobal%2Fen%2Fjob%2FGE11GLOBALR3563905EXTERNALENGLOBAL%2FLegal-Intern-1%3Futm_source%3Dlinkedin%26codes%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=1_5P&refId=795a92f3-b582-44b4-947c-d5c8c528fcf8&trackingId=4SdGQblTViMMvgGHIEZXpw%3D%3D&trk=public_jobs_apply-link-offsite
"STARZ - Intern, Legal",Lionsgate,"Santa Monica, CA","Position Description

Lionsgate/STARZ is seeking a virtual legal intern for Summer 2021. This intern will be supportingthe legal and business affairs team with contract analysis and comparative review for the international distribution of STARZPLAY.

Responsibilities
Review and analyze content distribution contracts for STARZPLAY
Review and summarize contract terms to create deal summaries
Assist in development and updating of standard agreements, forms and procedures
Provide research assistance
Participate in special projects and assist with ad hoc legal matters


Qualifications
Must be in first or second summer at ABA-accredited law school
Excellent verbal and written communication skills
Strong interest in media/television industry
Strong time management, organization and prioritization skills


Internship Details

Lionsgate Virtual Remote Internship Program –Summer 2021

Program Dates: June 21st–August 27th, 2021

The Lionsgate Internship Program is designed to identify, recruit and develop a diverse group of students that will gain meaningful educational experiences, professional growth and career opportunities.

Lionsgate has remote/virtual positions available within the United States to qualified individuals who live in certain areas of the United States. Remote opportunities are not available in all areas--specific questions about virtual/remote positions will be discussed during the interview process with your recruiter.**

Please read the following information carefully before submitting an application.

Important Dates

The Lionsgate Summer 2021 Internship program dates are: June 21st–August 27th, 2021.

All interns are required to attend orientation on Monday, June 21st, 2021.

Details
All internships will be virtual and remote
Interns can work a minimum of 30 hours/week and up to a maximum of 40 hours/week
Must be actively enrolled in an accredited college or university and pursuing an undergraduate or graduate degree during the length of the program
Interns must be current rising juniors through recent grads (within 6 months of internship start date)
Graduate students are eligible to apply
Interns must be available to work for the entire length of the program
All internships are paid


To Apply

All candidates must submit a resume (PDF preferred) toyour preferred area(s) of interest. The program offers internship opportunities in many departments, so candidates applying should keep in mind that they may be considered for departments not listed.
Submit a 1-paged resume (PDF preferred)
Submit a cover letter (Optional)
Explain why your background and experience make you a great fit for Lionsgate & Starz


About The Company

Starz (www.starz.com), a Lionsgate company (NYSE: LGF.A, LGF.B), is a leading global media and entertainment company that produces and distributes premium streaming content to worldwide audiences across subscription television platforms. Starz is home to the flagship domestic STARZ® brand, STARZ ENCORE, 17 premium pay TV channels and the associated on-demand and online services, including the highly rated STARZ app. With the launch of the STARZPLAY international premium streaming platform and STARZ PLAY Arabia, Starz is expanding its global footprint in a growing number of territories. Sold through multichannel video distributors, including cable operators, satellite television providers, telecommunications companies, and other online and digital platforms, Starz offers subscribers more than 7,500 distinct premium television episodes and feature films, including STARZ Original series, first-run movies and other popular programming.

Business Unit Overview

Starz
With the Company aligning its studio operations behind the growth of its streaming business, Starz has become one of the pre-eminent modern premium global streaming platforms. Offering subscribers more than 7.500 television episodes, including Starz original series and provocative documentaries, along with a broad catalogue of first-run movies, Starz is taking the lead in delivering relatable premium content that makes it the platform of choice among a wide spectrum of female, African-American and other historically underserved audiences. Its focused brand, premium content and freedom from legacy relationships position Starz at the forefront of the new bundles emerging throughout the media ecosystem, a compelling value proposition to complement virtually every kind of subscription platform.

Distinguished by its successful and focused content strategy, top programming, exceptional curation and speed to market, Starz has quickly scaled its platform to become one of the most widely distributed and fastest-growing OTT services in the world, with OTT subscribers making up more than half of its global subscriber base. The Starzplay International premium subscription service offers a “best of global SVOD” content portfolio in more than 50 countries throughout Europe, Latin America, Canada, Japan and India through a bespoke and expanding network of distribution partners. The Starzplay Arabia joint venture is one of the leading SVOD operators in the fast-growing Middle East and North Africa region. The proprietary and highly-rated Starz app, a proven hit with U.S. audiences, continues to roll out internationally.

EEO Statement

Lionsgate is an equal employment opportunity employer. All employees and applicants are evaluated on the basis of their qualifications, consistent with applicable state and federal laws. In addition, Lionsgate will provide reasonable accommodations for qualified individuals with disabilities. Lionsgate will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable state and federal law.",https://www.linkedin.com/jobs/view/externalApply/2469890234?url=https%3A%2F%2Fjobs%2Elionsgate%2Ecom%2FStarz%2Fjob%2FSanta-Monica-STARZ-Intern%252C-Legal-CA-90404%2F724981600%2F%3Flocale%3Den_DEBUG&urlHash=scbU&refId=795a92f3-b582-44b4-947c-d5c8c528fcf8&trackingId=sCU5zF0S04U2fTRBuybzsg%3D%3D&trk=public_jobs_apply-link-offsite
Legal Intern,Corsair,"Fremont, CA","Job Description

CORSAIR is looking for an energetic Legal Intern that will help the Legal Department in day-to-day activities. The legal intern will assist company attorneys by providing clerical and research support services including document preparation and review; interviewing clients and witnesses; research, investigations, and fact checking.

You Will
Research consumer law in Australia and China
Research consumer law in the EU
Research Trade Agreements Act (US)
Research DRAM class action settlement claim procedure
Compare GDPR & CCPA


You Are
Intellectually curious
Detail-oriented
Good communicator
Team player
Analytical


Who We Are

CORSAIR (NASDAQ: CRSR) is a leading global developer and manufacturer of high-performance gear and technology for gamers, content creators, and PC enthusiasts. From award-winning PC components and peripherals, to premium streaming equipment and smart ambient lighting, CORSAIR delivers a full ecosystem of products that work together to enable everyone, from casual gamers to committed professionals, to perform at their very best.

CORSAIR also includes subsidiary brands Elgato, which provides premium studio equipment and accessories for content creators, SCUF Gaming, which builds custom-designed controllers for competitive gamers, and ORIGIN PC, a builder of custom gaming and workstation desktop PCs and laptops

We will have two cohort tracks that you may choose from that span a 12-week period:
May 26th to August 18th, 2021
June 16th to September 8th, 2021


Internship Requirements
You are actively enrolled as a full-time student in an accredited institution and have completed at least one year of education.
You are pursuing either an Associate’s, Bachelor’s, Master’s, or Doctorate Degree, and returning for at least a final term following the summer internship.
You are able to fully commit to one of the two 12-week (40 hours per week) internship cohort tracks.
You must be at least 18+ years of age at the start of the internship.

We have many intern openings in a variety of departments, check them all out to see which suits your interests and professional development the best at corsair.com/careers.",https://www.linkedin.com/jobs/view/externalApply/2475141226?url=https%3A%2F%2Fedix%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%23%2Fjob%2F5936%2F%3Futm_medium%3Djobshare&urlHash=lwKv&refId=795a92f3-b582-44b4-947c-d5c8c528fcf8&trackingId=hB4BEh%2FYxeFx28xVn8gWMg%3D%3D&trk=public_jobs_apply-link-offsite
Intern - Legal,Federal Reserve Bank of Boston,"Boston, MA","Job Summary

Job Description

This summer term full-time clerkship is an opportunity to gain public service experience and be part of the in-house legal team at the Federal Reserve Bank of Boston. We are seeking a law student who is eager to deepen their understanding of the Federal Reserve System, the central bank of the United States. The intern will be exposed to multiple internal client departments as well as different areas of the legal practice within the Federal Reserve Bank of Boston.

Job Description

This position is responsible for conducting legal research; drafting legal memoranda; supporting the in-house functions of the Federal Reserve Bank of Boston; and interacting with members of the legal department and participating in meetings.

Principal Accountabilities
Research and analyze various legal resources and authorities, e.g. case law, statutes and regulations, regulatory guidance, congressional/legislative history, and legal treatises.
Track and/or monitor pertinent legislation, legislative and regulatory developments, media/press reports and information, and cases; report as requested or assigned.
Handle personal and confidential material.
Prepare legal memoranda, reports, and varied other written documentation, properly and thoroughly citing sources/legal authority.
Relay and discuss legal information, and research results and analysis, to Legal Department colleagues and clients, both face-to-face and as otherwise may be requested or appropriate.
Attend select legal conference calls, meetings, seminars and webinars on pertinent topics and provide notes or de-briefings as requested or appropriate.
Other Accountabilities

Perform other duties as assigned.

Supervision

This position is not required to directly supervise other employees.

Knowledge And Experience

Applicants must have completed their first year of law school by the beginning of the internship, which is typically in late May. Applicants must generally be available for web-based videoconference interviews during January and February of 2021, which will likely be conducted via WebEx.

Candidates must supply a cover letter, résumé, and transcript. Undergraduate transcripts are acceptable if first-semester law school grades are not yet available, but all applicants must submit first-semester law school transcripts as soon as they are available.

Applicants should have outstanding academic records, evidence of strong research and writing skills, an interest in and commitment to public sector employment, maturity, and personal achievement.

The Federal Reserve Bank of Boston is committed to a diverse and inclusive workplace and to provide equal employment opportunities to all persons without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, age, genetic information, disability, or military service.

All employees assigned to this position will be subject to FBI fingerprint/ criminal background and Patriot Act/ Office of Foreign Assets Control (OFAC) watch list checks at least once every five years.

The above statements are intended to describe the general nature and level of work required of this position. They are not intended to be an exhaustive list of all duties, responsibilities or skills associated with this position or the personnel so classified. While this job description is intended to be an accurate reflection of this position, management reserves the right to revise this or any job description at its discretion at any time.

Job Qualifications

Federal Reserve Bank of Boston

Primary Location

MA-Boston

Full-time / Part-time

Full-time

Employee Status

Temporary

Overtime Status

Non-exempt

Job Type

Internship

Travel

No

Shift

Day Job

Job Sensitivity

Tier II CC@Hire/No CC@Rescreen",https://www.linkedin.com/jobs/view/externalApply/2445338906?url=https%3A%2F%2Ffrb%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3D267102%26lang%3Den&urlHash=4GJX&refId=795a92f3-b582-44b4-947c-d5c8c528fcf8&trackingId=DJJFomr0E%2BZnihmX3%2Bw2%2FQ%3D%3D&trk=public_jobs_apply-link-offsite
