title,company,location,requirements,link
Multimedia Intern - Spring/Summer 2021,International Institute of New England,"Boston, MA","Spring / Summer 2021 Multimedia Internship

The International Institute of New England is a 501(c)(3) non-profit serving refugees and immigrants in Boston, MA, Lowell, MA, and Manchester, NH. The Institute offers internships to students, graduate students, and recent graduates with demonstrated interest or experience in supporting refugee, asylee, and immigrant populations. Each internship includes an educational component, through which interns contextualize their experience and reflect on their service. Interns can also expect to spend some time each week supporting their office's front desk, assisting the Office Manager and learning to better navigate the services at the Institute.

All internships are unpaid and correspond roughly with the US semester system:
• Internship Dates: March 2021 - August 2021

(Applications requested by March 1, 2021)

Applicants are encouraged to apply regardless of whether their schedule fits with the internship dates; we are ideally looking for someone who would be available in both the spring and summer but will make exceptions on a case-by-case basis. Slots fill quickly and candidates are encouraged to apply earlier than the requested date above.

This internship has a flexible format. Ideally, we are looking to recruit individuals near to the Boston area who are able to and comfortable coming into the office as needed. However, the internship will be mostly remote. Interns will connect with staff, other interns, and clients using phone calls, video calls, and email.

Multimedia Internship Overview

The Multimedia Intern will work with IINEs Marketing Director to create and execute multimedia projects that illustrate IINEs work. This role will be responsible for the implementation and development of a digital asset management system. This is an excellent opportunity to gain hands on experience in creating videos, photos, and other content that can be repurposed for fundraising events, social media, emails, and more. This role will work closely with the Marketing Director and will be instrumental in increasing IINEs digital footprint.

Reports to: Director, Marketing

Location: Boston, MA (as needed); primarily remote

Key responsibilities:
• Help capture and edit video, photo, and audio
• Manage the set up and implementation of a digital asset management system
• Locate opportunities to apply expertise and add value to projects
• Support the marketing team in event promotion and other activities as needed

Qualifications:
• Interest in international, refugee, asylee, and immigrant issues
• Interest in marketing, communications, and fundraising
• Ability to work respectfully in a multicultural environment
• Excellent oral and written communication skills
• Highly organized with great attention to detail
• Ability to handle multiple tasks and to switch gears quickly
• Professionalism, discretion, and maturity in dealing with confidential information
• Proficiency in Microsoft Word, Excel, Outlook, and PowerPoint
• Proficiency in Adobe Creative Suite Applications
• Experience with social media scheduling software is preferred but not required

Learning Objectives:
• Gain insight into both marketing and development work at a nonprofit
• Understand how to produce and manage multimedia projects for a nonprofit
• Develop an understanding of professional digital asset management systems
• Recognize what it takes to grow, develop, and sustain the marketing and communications operations at a service-oriented nonprofit
• Understand the immigrant integration work and the U.S. Refugee Resettlement program
• Respectfully express and engage with ideas and values in a multicultural, multilingual environment",https://www.jobbzee.com/job/multimedia-intern-spring-summer-2021-in-boston-massachusetts/6490-113669439379?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Interaction Design Intern,Epam,"Boston, MA (+1 other)","EPAM is committed to providing our global team of more than 41,150 EPAMers with inspiring careers from day one. EPAMers think creatively and lead with passion and honesty. Our people are the source of our success. We value collaboration, work in partnership with our customers, and strive for the highest standards of excellence. In today’s market conditions, we’re supporting operations for hundreds of clients around the world remotely. No matter where you are located, you’ll join a dedicated, diverse community that will help you discover your fullest potential.

Description

Are you a thoughtful maker and sketcher? Do you see abundant design opportunities in your everyday interactions with digital systems? Do you look critically at the digital interfaces around you and feel inspired to make them better? Are you intrigued by the visual challenges of responsive web design, interactive systems, and data visualization? Are you a keen observer of human behavior and an advocate for user needs? If so, EPAM Continuum is the place for your next internship.

EPAM Continuum is looking for an intern to support our work devising digital service and strategy solutions, and building dynamic, delightful interfaces and interactions to bring them to life. Our interns collaborate closely with designers, strategists, technologists, and our clients. You will participate in every stage of a project from initial research through ideation, to prototyping and user testing. You’ll learn about the role of customer research in our work, sharpen your skills in rapid prototyping and iterative design, and help us define delightful interactive experiences for our clients.

REQ #:

#

What You’ll Do
• Participate in ethnographic customer research and analysis
• Develop and articulate design ideas that embody the strategy, both self-directed and in group sessions
• Support the development of new digital experiences, including creating wireframes, user flow diagrams, sitemaps, visual and motion design, and interactive prototypes
• Rigorously document work process and asset production
• Participate in industry research and trends in digital experience
• Join in and enhance our culture of deep empathy, curiosity, and passion for making
• Contribute to client project work, Continuum marketing efforts, and internal research initiatives, and proactively pursue self-directed exploration

Requirements
• Undergraduate degree in graphic design, interaction design or related field, with a portfolio reflecting strong visual skills and a passion for interface design
• Proficiency in tools for visual design, information architecture, wireframing, or interactive animation/ motion graphics
• Ability to translate UX hypotheses into sketches and rough prototypes of visual design, information architecture, and behavior/interaction design
• Excellent visual, written, and verbal communication skills
• Passion and proactive attitude toward your work, particularly for web, mobile and physical interaction design
• Comfortable with design and prototyping tools such as Sketch, InVision, and the Adobe Creative Suite (we use many different tools, and are happy to support you using the software that you are most comfortable with if possible)

What We Offer
• Medical, Dental and Vision Insurance (Subsidized)
• Health Savings Account
• Flexible Spending Accounts (Healthcare, Dependent Care, Commuter)
• Short-Term and Long-Term Disability (Company Provided)
• Life and AD&D Insurance (Company Provided)
• Employee Assistance Program
• Unlimited access to LinkedIn learning solutions
• Matched 401(k) Retirement Savings Plan
• Paid Time Off
• Legal Plan and Identity Theft Protection
• Accident Insurance
• Employee Discounts
• Pet Insurance

About the Project

Internship Logistics:

~12 weeks, 40 hours/week

You will have access to our Boston studio if needed, but please plan for the majority of your work and collaboration time to be remote/virtual.

How to Apply:

In addition to your resume and a thoughtful cover letter, please include a link to a portfolio that represents how you work, your process, the types of projects that you enjoy, and most importantly, how you think",https://www.learn4good.com/jobs/boston/massachusetts/design_and_multimedia/263391844/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern – Multimedia Planning & Inventory,Univision Communications Inc.,"New York, NY","As the leading company reaching Hispanic America today, Univision delivers premier entertainment, news, and sports content to U.S. Hispanics through its television, radio, and interactive platforms. Univision is looking to recruit top talent for our Internship program to join our mission of informing, entertaining, and empowering U.S. Hispanic consumers. The ideal candidate is at the top of their class, is a self-starter, and is eager to learn in a team environment. Our internship program strives to grow our interns’ knowledge of the media industry and expand their networking opportunities.

Summer Program Details
• 9-week paid program; maximum of 40 hours/per week
• Program starts June 7th, 2021 through August 6th, 2021
• Exposure to various business leaders and company initiatives
• Training and development workshops to build transferrable business skills
• Projects are designed to build knowledge, skills, and experience in the Media Industry

General Information

Intern will gain insight into cross platform selling, streaming & sports selling.

Responsibilities
• Work alongside the network planning & inventory teams to assist in upfront planning
• Run and update daily/weekly reports
• Maintain accounts up to date
• Assist with Sports inventory management specifically - with a huge slate of soccer matches planned for the summer months
• Assist with cross-platform selling & advanced audience target deals

Basic Qualifications
• Must be pursuing a bachelor’s degree at an accredited institution
• Must be a rising Jr., rising Sr., or recent May 2021 graduate
• Must have a cumulative GPA of 3.0 or above
• Proficient Excel skills required
• Proficient PowerPoint skills required
• Results oriented and attention to details
• Ability to work in a team setting as well as independently with minimal supervision

Desired Qualifications
• Experience with Pivot- Tables on Excel
• Ability to thrive in ambiguity
• Excellent writing, communication, and presentation skills
• Team-oriented mindset
• Quick learner and curious about the business
• Reliable, organized and possess excellent writing and interpersonal skills
• Preferred: Proficient Microsoft Office, Smartsheet, OneDrive, and firm knowledge of internet navigation skills required
• Previous internship experience and/or participated in college clubs/organizations, and/or in-depth coursework in a related field
• Ability to identify issues, analyze data, develop, recommend, and implement solutions

Eligibility Requirements
• Must be 18 years of age or older
• Employment/education will be verified
• Must be currently authorized to work in the United States on a full-time basis
• Must be willing to work from the offices in Teaneck, NJ, fully remote, and/or hybrid

Univision is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law",https://www.linkedin.com/jobs/view/intern-%E2%80%93-multimedia-planning-inventory-at-univision-communications-inc-2497243116?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Multimedia Content Intern,Morning Brew,"New York, NY (+1 other)","Hey there! We’re Morning Brew: a bunch of smart, dedicated people focused on disrupting and redefining the traditional business news landscape. Also, we’re nice and have great swag. We are looking for a creative, energetic and open-minded Multimedia Intern to join our fast-growing team.

While this position is based in New York City, office colocation will be contingent on stay-at-home orders; until then, all employees are working remotely.

It's our goal to make the business world more engaging for the modern business leader. How? By giving our audience the news they need in a way they actually enjoy across newsletters, podcasts, video, social, and (soon) even more, we're building something special. Want in? Read on.

Overview
As a multimedia intern, you will work across the audio, video and social media teams at the Morning Brew. You will support the production of a range of videos, podcasts and emerging media products! You will have the opportunity to engage in all aspects of the pre-production/development, production, and post-production processes. You are excited to learn, launch and invent ways to engage with the Brew’s audience across platforms. You also believe in the power of audio, video and social to tell fascinating business stories and showcase unique voices/perspectives.

Here’s what you’ll be working on:
- Researching, pitching, workshopping topics for upcoming episodes of shows
- Gathering B-roll, organizing footage, perhaps editing … if that is in your wheelhouse
- Proofreading, fact-checking and organizing release forms for talent
- Conduct research for and help fact-check personal finance content
- Transcribe interviews

What makes you qualified?
- Undergraduate or professional degree
- Proficiency in audio OR video editing OR motion graphics design
- Passion and deep understanding of social platforms
- Relentlessly curious
- Excellent attention to detail
- Positive attitude",https://jobs.lever.co/morningbrew/6afcbc12-ece5-441e-99e6-afed02935ace?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Summer 2021 Undergraduate/Graduate Internship, Multimedia",American Civil Liberties Union,"New York, NY (+1 other)","SUMMER 2021 INTERNSHIP OPPORTUNITY

AMERICAN CIVIL LIBERTIES UNION

Please Note:

ALL ACLU SUMMER INTERNSHIPS ARE REMOTE

MULTIMEDIA, NY

The

Multimedia Team

of the National ACLU

Digital, Tech, & Analytics Department

has an opening for an

undergraduate or graduate internship in New York.

For 100 years, the ACLU has been our nation's guardian of liberty, working in courts, legislatures, and communities to defend and preserve the individual rights and liberties guaranteed by the Constitution and laws of the United States. Whether it's ending mass incarceration, achieving full equality for the LGBT community, advancing racial justice, establishing new privacy protections for our digital age, or preserving the right to vote or the right to have an abortion, the ACLU takes up the toughest civil liberties and civil rights cases and issues to defend all people from government abuse and overreach. With nearly two million members, activists, and supporters, the ACLU is a nationwide organization that fights tirelessly in all 50 states, Puerto Rico, and Washington, D.C., for the principle that every individual's rights must be protected equally under the law, regardless of race, religion, gender, sexual orientation, gender identity or expression, age, disability, national origin, and record of arrest or conviction.

INTERNSHIP OVERVIEW

Interns support the team by doing research, copyediting, assisting on shoots, and participating in brainstorms and meetings.
• T

ime

Commitment

: The internship requires a full-time commitment of 35 hours per week.
• Internship Duration:

Internships are a 10-week period (full-time). Summer interns are expected to start May 24 or June 1, 2021.
• Stipend

: A stipend is available for those students who do not receive course credit. Students who receive outside funding are eligible for a partial stipend to bring their total summer funding up to the level of ACLU's stipend amount for that term, if applicable. Arrangements can be made with educational institutions for work/study or course credit.

ROLES AND RESPONSIBILITIES

Interns support the team by doing research, copyediting, assisting on shoots, and participating in brainstorms and meetings. Responsibilities may include, but are not limited to the following:
• Assist with research, script writing, transcribing, copy editing, some video editing
• Assist with remote recordings and other remote shoots
• Other projects as assigned

EXPERIENCE AND QUALIFICATIONS

Interns should possess the following:
• Excellent writing skills
• Interest in video production
• Responsiveness and the ability to handle multiple tasks at once
• Video editing and shooting capabilities preferred
• A commitment to civil liberties, civil rights, and social justice
• Commitment to the mission of the ACLU

Applications will be considered on a rolling basis and accepted until the position is filled.

This posting provides a general but not comprehensive list of the opportunities of the internship. It does not represent a contract of employment. The ACLU reserves the right to change the posting at any time without advance notice.

The ACLU is committed to providing reasonable accommodation to individuals with disabilities. If you are a qualified individual with a disability and need assistance applying online, please e-mail benefits.hrdept@aclu.org. If you are selected for an interview, you will receive additional information regarding how to request an accommodation for the interview process",https://www.zippia.com/new-york-ny-jobs/graduate-internship-dlp/?d07766fe9a3796c5a4b1fc3014f63966b03608cd&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Multimedia Intern (Remote),SJR,"New York, NY","At SJR, we’re a diverse group of individuals dedicated to one goal: elevating the quality of content on the web. We create websites, mobile apps, and social media platforms for our clients, which we populate daily with high quality media including articles, mini-documentaries, animations, photographs and more.

Storytelling is at the heart of what we do, and we’re looking for energetic, creative people who are ready to jump right in to help us uncover and tell great stories.

But enough about us, let’s talk about you.

Who you are:

You’re a multimedia storyteller with a collaborative spirit. You have a strong willingness to experiment and learn new skills and are knowledgeable about the digital media landscape.

Multimedia interns are part of the production team and support various client teams on a wide range of projects such as short-form social content to episodic documentary-style videos. Ideally, you have a background or demonstrable interest in production, multimedia content or a related field. You’re comfortable supporting videographers and photographers on set and wielding the tools of editing in the studio.

Finally, you consume a lot of media (don’t worry, you can admit to us how many television shows you binge-watched this month), enjoy staying on top of emerging trends, and spend a lot of time on the Internet. Bonus points if you love GIFs as much as we do, and have a stance on how the word GIF should be pronounced.

What you’ll need:
• A collaborative spirit to work closely with our editorial and creative teams to help create multimedia for branded content campaigns
• A passion for creating multimedia that can live across platforms, from social media to news publications
• A background in design thinking and multimedia creation to internal brainstorms to aid in developing creative strategies for both new and existing clients
• Project management skills to act as a liason to guide internal and client teams on campaign execution
• A degree in Photography, Social Media, Film related field of study
• Proficiency with Adobe Creative Suite such as Photoshop and Premiere
• Knowledgeable on lighting, sound and Canon camera equipment (RED gear knowledge a plus)
• Capable of researching social media trends
• Self-motivated and determined, takes direction well but also takes initiative
• Familiar with Adobe Premiere , Photoshop / and Illustrator
• Can prioritize responsibilities and manage time wisely
• Has a valid driver’s license a plus, but not necessary

If this sounds like you, please apply with a cover letter, resume and reel or portfolio.

About SJR's Remote Internship ProgramProgram dates: June 7-August 13, 2021

SJR accepts college students and recent graduates to our 10-week internship program, which has sessions in the summer, fall and spring. At SJR, we are committed to actively building a diverse, equitable and inclusive workplace where everyone feels welcomed valued and heard, and is treated with dignity and respect. We’re a close-knit team of people who love what we do, and we do a lot, from journalism to website development, filming videos to designing graphics. We're looking for creative people who are ready to jump right in and join our team, voted Most Innovative Culture by Digiday. If you're curious and passionate about digital media, have a willingness to learn new things, and thrive in a fast-paced environment, we want to hear from you.

Email internships@groupsjr.com for more information about the program.

About SJR

SJR is the 2020 Content Marketing Institute’s Agency of the Year. We are a diverse team of journalists, creatives and data scientists on a mission to help companies and brands embrace transformative content. We believe in the limitless power of storytelling and work with the world’s leading corporations, organizations and institutions to sharpen the conversation, decode complexity, transfer knowledge and build trust. SJR is a subsidiary of WPP.

For more information, please visit our website and follow SJR on our social channels via LinkedIn and Instagram",https://www.linkedin.com/jobs/view/multimedia-intern-remote-at-sjr-2473416564?refId=23e2359c-bd69-44c9-bed2-8fef36e82109&trackingId=7XJhBOJtPMULYoK4JriCjw%3D%3D&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
PTC Agency Production Designer & Editor Intern,Parametric Technology Corporation,"Boston, MA","Job Description

Our Corporate Strategy and Corporate Development teams develop PTC's strategy and execute on strategic initiatives such as investments, acquisitions, and partnerships. Like our products, they work to make smart connections that help realize PTC's mission to continue as the leader in unleashing industrial innovation at the convergence of the physical, digital, and human worlds.

Your Impact

To develop strong creative that is visually appealing and strategically sound.

Your Team

Assist with Creative Design and Video Production.

Your Day-to-Day:
• Production design of banners and collateral as well as some production video editing.

Basic Qualifications:
• Must be enrolled in some type of degree program in one of the following or related fields: Business, Computer Science, or Engineering
• Working knowledge of MSFT Office and Adobe Creative Suite (design and video applications)

Learn and Grow with Us

PTC is focused on developing the workforce of tomorrow, and we offer a world class internship experience to do just that. Our internship program provides students with hands-on work experience in a fast-paced, dynamic, work environment. As an intern, you will be tasked with several impactful projects that will help you learn and develop in your field. At PTC, we believe that a strong internship program focused on growth and development, will turn the students of today into the highly skilled workforce of tomorrow. Each program has a unique structure, goals, and is designed to do just that",https://www.learn4good.com/jobs/boston/massachusetts/design_and_multimedia/260245850/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2021 Summer Intern: Multimedia,Charter Spectrum,"Stamford, CT","At a Glance
• You're a motivated rising junior/senior or Masters level student with a 3.0 GPA or higher seeking a degree in one of the following areas listed below from an accredited college or university:
• Communications
• This is a learning-intensive program designed to give you essential business insights and hands-on experience in your field of choice. It's a full-time, 10-week commitment from June 2, 2021 through August 6, 2021.
• Benefits include professional development sessions, networking opportunities, and mentorship.

The Spectrum Internship Experience

You have clear aspirations and are seeking a summer internship program that will help you meet them. Find it at Spectrum, named one of the Top 100 Internship Programs in the United States by WayUp.

Our internships are designed to provide:
• Opportunities to gain new skills and elevate the ones you already have, all in a robust and forward-thinking business setting.
• First-rate, hands-on experience in the telecommunications industry.
• Opportunities to connect you with people who can give you a better understanding of the industry and help you accomplish real goals you can add to your résumé, this includes assigning you a formal mentor and interactions with senior executives.

What you can expect in this role

As a Spectrum Intern, you'll be essential to two teams - your respective department and your Intern peer group. Department and team-focused projects account for about 80% of your schedule. You'll spend the other 20% on professional development sessions and networking activities, including the Kickoff Conference on June 2, webinars, community service, cross-functional project, and final presentations.

Internship responsibilities may include:

The Multimedia team is Charter Communications in-house creative agency. We are a team of Video Directors, Producers, Animators and Editors, that partner with business units across the organization, to tell stories and show the impact of Charters work. The Multimedia team produces Testimonials, Documentaries, Product Demo/Explainer, Event Recaps, Leader Messages and Live Streams. We are searching for a driven, self-starting Intern to join our team in Stamford Connecticut for the Summer of 2021.

Primary Responsibilities:
• Assist with the organization and management of video assets for the Multimedia teams Digital Asset Management system (DAM).
• Gathering and organizing video footage and graphics from various Multimedia teams across the country.
• Uploading and categorizing media to the DAM.
• Maximize the discovery of assets within the DAM by ensuring all necessary metadata is tagged to media.
• Act as a resource and provide assistance to DAM users.
• Make and suggest improvements to workflow as needed.
• Combing video clips into b roll montages.

Here's what it takes to get started

Required qualifications
• Must be currently enrolled in an accredited College or University completing a Bachelor's Degree or Advanced Degree
• Must have at least a 3.0 GPA or greater in current program
• Ability to travel locally to Spectrum Intern development events and activities throughout the program
• Authorization to work in the U.S. without restrictions or need for future sponsorship

Preferred qualifications
• Must be pro-active, self-directed, detail-oriented and extremely organized.
• Possess strong inter-personal skills.
• Microsoft Office Word, Excel, PowerPoint, Outlook.
• Working knowledge of Windows and Mac.
• Working knowledge of Adobe Creative Suite (Premiere Pro, Adobe Bridge, Adobe Media Encoder)
• Proficient in video editing and the post-production process.
• Understanding and working knowledge of video codecs and formats.
• Comfortable in an evolving environment.
• Ability to meet deadlines.
• Experience with DAM systems.
• Cataloging and metadata management experience.
• Interest and understanding of the video production process (development through delivery).
• Interest in the Telecommunications Industry.

For more information on Spectrum's benefits, please click here.

The health and safety of our employees and candidates is very important to us. Spectrum has adopted virtual mobile recruiting tools that allow us to continue meeting new candidates. We look forward to ""virtually"" meeting you.

The Spectrum brands (including Spectrum Networks, Spectrum Enterprise and Spectrum Reach) are powered and innovated by Charter Communications. Charter Communications reaffirms its commitment to providing equal opportunities for employment and advancement to qualified employees and applicants. Individuals will be considered for positions for which they meet the minimum qualifications and are able to perform without regard to race, color, gender, age, religion, disability, national origin, veteran status, sexual orientation, gender identity, or any other basis protected by federal, state or local laws.

Apply Now",https://helponebillion.com/job/80b8282b52f9951c249f9297b0cc8c9a/2021-Summer-Intern-Multimedia?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Multimedia Intern (UZ-D7AA9),International Rescue Committee,"New York, NY",,https://www.uzoes.com/us/details/2021-04-06_d7aa96fe50d88abe0873133acc382074?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Intern, Multimedia Algorithm Research","Futurewei Technologies, Inc.","Bridgewater Township, NJ (+1 other)","The intern student will conduct leading research and develop algorithms, system solutions, and/or open source prototypes in the fields of video communications, video processing, and/or AR/VR technologies. The intern will have the opportunity to work alongside senior researchers to help explore and develop new and impactful multimedia applications and technologies. Strong candidate will be able to contribute to patents and publications. We are looking for self-motivated Ph.D. students who are passionate about new technology innovations and with appropriate skills and knowledge in relevant fields.

Requirements
• Deep knowledge and hands-on experience in video communication, video processing, AR VR, or computer vision algorithms.
• Strong programming skills in python or C / C++ for Windows and/or Linux
• Experience in working with open-source software frameworks is a plus
• Good communication skills, both verbal and written
• Ph.D in Computer Science / Electrical Engineering, or related technical disciplines.

Futurewei Technologies, Inc . is proud to be an Equal Opportunity Employer.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law",https://www.linkedin.com/jobs/view/intern-multimedia-algorithm-research-at-futurewei-technologies-inc-2497862990?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
