title,company,location,requirements,link
Ad Operations Internship - Summer 2021,The Walt Disney Company,"New York, NY","Job Summary

We Are…

Disney Advertising Sales is responsible for advertising sales and integrated marketing for The Walt Disney Company’s entertainment and sports offerings through linear, digital, social, addressable and radio businesses. This includes ABC, ABC News, Disney Channels Worldwide, ESPN Networks, Freeform, Disney Digital, FX Networks, National Geographic Networks, Hulu, and its eight ABC-owned local stations. Disney Advertising Sales (or DAS) works with media agencies and consumer brands to sell advertising via a “one-stop shop” approach across TV, digital and radio platforms representing all of the Disney brands.

Disney’s Addressable Ad Operations team is seeking an Ad Operations Intern who will be an exceptional addition to our Advertising Operations team on one or more of our exciting brands. These brands are composed of The Walt Disney Company’s (NYSE: DIS) global entertainment and news television properties, owned television stations, as well as radio and publishing businesses. This includes the ABC Television Network, ABC Owned Television Stations Group, ABC Studios, ESPN, Hulu, Disney Channels Worldwide, Freeform, FX and National Geographic as well as Disney/ABC Domestic Television and Disney Media Distribution.

Responsibilities

A Day in the Life:

This is an opportunity for an individual who wants to gain exposure on how Disney helps to shape the digital entertainment marketing space. As an Ad Operations Intern you will be immersed in the world of digital operations, learning the complexities of the digital addressable advertising post sales ecosystem. You will interact and coordinate with nearly every business unit in order to understand how we receive and fulfill those advertising buys.

Interns will have a unique opportunity to work cross functionally with teams inside the Disney Ad Sales landscape that drive revenue and engagement for our partners. In this role, you will support Account Managers and Ad Ops Management in advertising reporting as well as some campaign trafficking. Interns will have the opportunity to meet and network throughout the Disney Advertising org by the end of the program.

Basic Qualifications

What You Bring to the Role:
Working knowledge of Microsoft Office Applications (Outlook, Excel, Word, PowerPoint)

Preferred Qualifications
Self-starter with strong written and verbal communication
Experience with marketing/advertising clubs or previous internships a plus
Keen attention to detail
Able to handle multiple projects simultaneously

Required Education
Enrolled as a junior, senior or graduate student in an accredited college/university in the semester prior to the internship or graduated within the past 18 months

Additional Information

Internship Eligibility:
Must be enrolled in a college/university taking at least one class in the semester/quarter (spring/fall) prior to participation in the internship program OR graduated within the past 18 months
Must be at least 18 years of age
Must not have completed one year of continual employment on a Disney internship or program
Must possess unrestricted work authorization
Program Dates: The approximate dates are early June – mid August, 2021. Interns will work 40 hours per week and need to provide full availability throughout the internship.

Work Environment: This is a remote internship. The internship requires a working, reliable internet connection as well as a quiet, dedicated work space.

778598BR",https://www.linkedin.com/jobs/view/externalApply/2458251055?url=https%3A%2F%2Fjobs%2Edisneycareers%2Ecom%2Fjob%2F-%2F-%2F391%2F19038047%3Fcid%3D14187&urlHash=9HNi&refId=08a56afa-8dde-4b64-a6fa-3e3a6ac6cd9e&trackingId=sRk%2BwBMDpFEJ1daokTim4g%3D%3D&trk=public_jobs_apply-link-offsite
Business Operations Intern,LinkedIn,"Sunnyvale, CA","LinkedIn is seeking an Intern to join the Business Operations team within the Technology Infrastructure group based in Sunnyvale, CA. The candidate will play a key role in all financial reporting, strategic planning and analysis activities supporting our production infrastructure organization. This is a great opportunity to join a globally recognized company experiencing significant growth, and help contribute to the vision of creating economic opportunity for every member of the global workforce. With our successful core product offerings and expanding portfolio of innovative new products and features, our need for highly talented professionals has never been greater!

The successful candidate will partner with key budget owners and engineering stakeholders to gather, analyze, report and communicate financial and operational information with a goal to continuously improve LinkedIn’s cost to serve. The candidate will track key financial trends, develop forecasting models and scenario analysis, and identify creative operational improvement opportunities within our production infrastructure organization.

The candidate will join a small team and have a significant impact on how LinkedIn manages its engineering resources and makes investment decisions to expand LinkedIn’s infrastructure footprint both on-premise and on the cloud.

Responsibilities:

-Prepare and assist in developing monthly, and quarterly budget review packages and financial analysis for leadership to draw insights and develop appropriate action plans to meet budget targets
-Play key role to support Tech FP&A and Engineering functions - responding to questions on financial/budget reporting, preparing ad hoc analyses, pulling supporting data, etc.
-Support proactive engagement with service owners to validate business needs, and build ROI driven business plans highlighting short-term and long-term financial impact
-Help drive monthly and quarterly internal budget operations such as highlighting variances and associated drivers, reconciling monthly budget spends, and collaborating with engineering leaders to understand demand drivers and adjusting budget forecasts
-Support annual planning/forecasting tasks related in collaboration with FP&A and supported engineering functions (collection of inputs, bottoms-up budget modeling support, demand consolidation and analysis)
-Play key role in defining, validating and implementing prototype dashboards summarizing the cost of running and buying LinkedIn’s on-premise and cloud infrastructure resources (compute, storage, network, data centers)
-Support cost-to-serve optimization initiatives supporting service leaders in making optimum, total cost of ownership decisions
-Design reports and dashboards to visualize operational metrics

Basic Qualifications:

-Currently pursuing a BS/BA degree in a technical (engineering) or business field (MIS, Supply Chain, or similar), or pursuing a Master's or MBA with a concentration in Operations, Finance, Strategy, or a related field. Must be returning to the program after the completion of the internship
-3+ years of experience in technology operations, banking, management consulting, and/or FP&A.
-Experience with Excel skills (sumifs, vlookup, pivot tables, index match, etc.)

Preferred Qualifications:

-Pursuing Masters or MBA degree with a concentration in Operations, Finance, Strategy or related field
-Experience driving business operations and financial planning within the tech infrastructure space.
-Experience in MS PowerPoint and SQL
-Experience with Power BI, Tableau or similar product
-Understanding of tech infrastructure and cloud operations (compute, storage, network, data centers) and trends (on-premise vs. cloud, software defined storage, network virtualization)
-Proven success in financial reporting, planning and analysis (internal/management reporting, budget/forecast vs. actual, trend & scenario analysis, ROI analysis, operational modeling, etc.)
-Working knowledge of financial concepts such as capital & operational expenses, depreciation & amortization, accrual, fixed assets, cost center, chart of accounts, etc.
-Detail-oriented with strong organizational skills
-Proven track record of executing under tight deadlines and ensuring deliverable timelines are met
-Strong analytical, organizational, relationship building, and written/verbal communication skills
-Ability to work cross-functionally, drive change and improve end-to-end processes
-Self-motivated and works efficiently on multiple tasks


Equal Opportunity Statement
LinkedIn is committed to diversity in its workforce and is proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class. LinkedIn is an Affirmative Action and Equal Opportunity Employer as described in our equal opportunity statement here: https://lnkd.in/equalemploymentopportunity2017. Please reference http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf and https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf for more information.

LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful.

If you need a reasonable accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us at accommodations@linkedin.com and describe the specific accommodation requested for a disability-related limitation.

Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to:

-Documents in alternate formats or read aloud to you
-Having interviews in an accessible location
-Being accompanied by a service dog
-Having a sign language interpreter present for the interview

A request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response.

LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.

Pay Transparency Policy Statement
As a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.

Global Data Privacy Notice for Job Candidates
This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice",https://www.linkedin.com/jobs/view/externalApply/2458251055?url=https%3A%2F%2Fjobs%2Edisneycareers%2Ecom%2Fjob%2F-%2F-%2F391%2F19038047%3Fcid%3D14187&urlHash=9HNi&refId=08a56afa-8dde-4b64-a6fa-3e3a6ac6cd9e&trackingId=sRk%2BwBMDpFEJ1daokTim4g%3D%3D&trk=public_jobs_apply-link-offsite
Operations Intern,"Sequoia Consulting Group,LLC","San Diego, CA","Company Description
Sequoia Consulting Group provides world-class consulting services to the life sciences industry. Our team manages projects in automation, facility design, engineering, manufacturing, quality, regulatory affairs and validation at a variety of clients within the biotechnology industry.
Sequoia's hands-on consultants provide technical knowledge and relevant life science experience to establish best practices in manufacturing, pharmaceutical and medical device companies. We are helping to produce better, faster and more economically priced medicines and medical devices around the world.

Job Description
Sequoia is seeking an Operations Intern to assist with a variety of special projects, including assisting with internal audits, the company intranet, enhancements to employee onboarding, and other various administrative tasks.

Responsibilities
·      Assist with the review of information across company cloud-based systems
·      Assist in the design, testing, and deployment a company intranet in SharePoint
·      Carry out clerical and administrative functions to ensure optimal functionality and coordination of Internal Operations activities.
·      Assist with the review and implementation of special projects in operational strategies and solutions.
·      Compose and distribute meeting notes, routine correspondence, and reports
·      Manage electronic filing systems, recording information and maintaining documents, such as employee records.
·      Support human resources activities, including assisting with employee onboarding and assisting with equipment needs and requests.
Qualifications
·      Customer Service - Knowledge of principles and processes for providing excellent customer service. This includes meeting quality standards for services when interacting with customers and employees of the Company.
·      Active Learning - Understand the implications of new information for both current and future problem-solving and decision-making.
·      Critical Thinking - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.
·      Written & Oral Communication - Communicate effectively as appropriate for the needs of the audience.
·      Interpersonal Skills - Ability to establish and maintain effective working relationships with co-workers and customers.
·      Complex Problem-Solving- Identifying problems and reviewing related information to develop and evaluate options and recommend solutions.

Additional Information
Sequoia offers a comprehensive suite of benefits including medical, dental, vision coverage, 401k, and company paid life-insurance. Sequoia is an equal opportunity employer & prohibits unlawful discrimination based on race, color, religion, gender, sexual orientation, gender identity/expression, national origin/ancestry, age, disability, marital & veteran status. Unfortunately, Sequoia is unable to provide any visa sponsorship at this time. All of your information will be kept confidential according to EEO guidelines.",https://www.linkedin.com/jobs/view/externalApply/2458251055?url=https%3A%2F%2Fjobs%2Edisneycareers%2Ecom%2Fjob%2F-%2F-%2F391%2F19038047%3Fcid%3D14187&urlHash=9HNi&refId=08a56afa-8dde-4b64-a6fa-3e3a6ac6cd9e&trackingId=sRk%2BwBMDpFEJ1daokTim4g%3D%3D&trk=public_jobs_apply-link-offsite
League Operations Intern,Electronic Arts (EA),"Redwood City, CA","League Operations Intern

Redwood City, Ca/Remote

The Competitive Gaming Entertainment organization (CGE) is built around creating highly engaging competitive programs that aim to make stars of all our players. CGE is building exciting events and content, creating fans, building viewership, creating overall loyalty, and determining the right monetization approaches and delivery.

The Apex CGE team is building a team to drive competitive gaming for Apex Legends' esports events globally. We are looking for passionate, determined, and humble individuals with the imagination to innovate and lead in the industry. Together we will inspire the world to play competitively and make stars of all our players.

As a Summer League Operations Intern, you’ll contribute to essential projects to shape the success of Apex Legends competitive gaming. Your collaborative mindset will strengthen the relationship between players and the Apex Legends CGE team, and you’ll join a tightly integrated team that crafts strategies to grow the business and focus on what drives player and viewer engagement.

Responsibilities
Assist the League Operations team with the day-to-day operation of our competitions
Respond directly to ALGS players and teams support inquiries
Work closely with the Player Engagement Manager to gather feedback from players on all aspects of the ALGS competitive experience and conduct and analyze player surveys to provide insights and recommendations for improvement
Prepare comprehensive feedback reports, identifying trends and areas of concern
Independently research and participate in group research around the discovery of growth areas that lead to insights and recommendations on product features to be pitched to the Apex CGE
Foster strong relationships with several of our internal cross-functioning teams, such as Marketing, Global Analytics, Legal, Events, Competitive Gaming Operations, and Web
Final Project: Prepare and present a competitive analysis of several leading esports programs that will improve awareness inside of the Apex CGE as well as provide opportunities to implement best practices based on learnings

Requirements
Esports experience (paid or volunteer) in community management, player relations, tournament organization, or as a current or former competitor
A passion for Apex Legends and other esports titles
Curiosity around competitive tournament and ecosystem design challenges, matched with a creative and forward-thinking approach to solving them
Excellent oral and written communication skills; comfortable with presenting data-driven insights
Exceptional analytical and problem-solving skills
Ability to work under tight deadlines and prioritize tasks and projects",https://www.linkedin.com/jobs/view/externalApply/2434207150?url=https%3A%2F%2Fea%2Egr8people%2Ecom%2Fjobs%2F164514%2Fleague-operations-intern%3Fsid%3D4&urlHash=6NxG&refId=08a56afa-8dde-4b64-a6fa-3e3a6ac6cd9e&trackingId=p06iqq5FBFqquzrLRpPTRw%3D%3D&trk=public_jobs_apply-link-offsite
Hub and Gateway Operations Strategy Intern (ORD),American Airlines,"Phoenix, AZ","Location: Chicago O'Hare Intl Apt (ORD-TRML)
Additional Locations: None
Requisition ID: 41365

Intro

Are you ready to explore a world of possibilities, both at work and during your time off? Join our American Airlines family, and you’ll travel the world, grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life. Feel free to enrich both your personal and work life and hop on board!

Why you'll love this job

The Undergraduate Intern position is a developmental assignment that provides interns with real-time work projects, leadership development opportunities, as well as involvement in corporate social responsibility. Work projects involve assignments that are relevant to American’s current business needs and opportunities. Interns are afforded travel privileges enabling them to connect to the international and domestic destinations that American Airlines serves.

What You'll Do

This internship focuses on providing participants with real-world business exposure, on-the-job training and the ability to move around the department to experience various airport business functions. Focal points of the role will be:
Business Administration (day-to-day exposure and support to department procedures)
Process observation, automation and optimization
Hub budget and staffing analysis
Operational reporting
Financial justification (creative/persuasive writing) preparation for hub projects and staffing requests
Presentation development
Exposure to peer departments (Tower Ops, Ramp, Customer Service, Catering, Facilities, etc.)

All you'll need for success

Minimum Qualifications- Education & Prior Job Experience
Pursuing a degree in Industrial Engineering, Computer Engineering/ Computer Science or a related field.
Refined skills with MS Office (chiefly MS Excel, Access and PowerPoint).
Familiarity with software programs used in conducting quantitative analysis and presentations
Working knowledge of probability, statistics, and forecasting techniques a plus
Experience with Sharepoint development a plus
Recommend and design automated solutions to meet reporting needs.
Interest in optimization, problem-solving and process improvement
Ability to make independent judgments and decisions while taking ownership of job responsibilities
Self-motivated and logical with aggressive approach to identifying and solving problems
Ability to work effectively, meet deadlines, and shift priorities appropriately in a fast-paced, dynamic work environment
Strong written and verbal communication skills, with ability to effectively interact with employees at all levels of the organization
Able to work independently with minimal supervision

What You'll Get

Feel free to take advantage of all that American Airlines has to offer:
Travel Perks: Ready to explore the world? You, your family and your friends can reach 365 destinations on more than 6,800 daily flights across our global network.
Wellness Programs: We want you to be the best version of yourself - that’s why our wellness programs provide you with all the right tools, resources and support you need.
Additional Benefits: Other great benefits include our Employee Assistance Program, pet insurance and discounts on hotels, cars, cruises and more

Feel Free to be yourself at American

From the team members we hire to the customers we serve, inclusion and diversity are the foundation of the dynamic workforce at American Airlines. Our 20+ Employee Business Resource Groups are focused on connecting our team members to our customers, suppliers, communities and shareholders, helping team members reach their full potential and creating an inclusive work environment to meet and exceed the needs of our diverse world.

Are you ready to feel a tremendous sense of pride and satisfaction as you do your part to keep the largest airline in the world running smoothly as we care for people on life’s journey? Feel free to be yourself at American.

Additional Locations: None
Requisition ID: 41365",https://www.linkedin.com/jobs/view/externalApply/2479904131?url=https%3A%2F%2Fjobs%2Eaa%2Ecom%2Fjob%2FPhoenix-Hub-and-Gateway-Operations-Strategy-Intern-%2528ORD%2529-AZ-85001%2F730849200%2F%3FfeedId%3D198400%26utm_source%3DLinkedInJobPostings%26utm_campaign%3DAA_Linkedin%26rx_source%3Dlinkedinpp%26rx_paid%3D1&urlHash=h41q&refId=08a56afa-8dde-4b64-a6fa-3e3a6ac6cd9e&trackingId=%2FaWtUvGtMa%2BBj8LTVin88g%3D%3D&trk=public_jobs_apply-link-offsite
"SCM Strategic Ops Intern, Summer 2021",Samsung Electronics America,"Ridgefield Park, NJ","Position Summary

Samsung has been a leading force in innovation for decades. We believe that technology can, and should, make the world a better place, so we create new possibilities for people everywhere. We strive to create a place of endless learning where we’re pushed to discover our true potential. Our interns take real-world business problems and lead the charge on formulating creative solutions. Our structured program prepares every intern for success by allowing them to fully integrate into our dynamic culture while contributing their own unique ideas. We create opportunities for both undergraduate and graduate students to impact change and make the impossible possible. Join #LifeatSamsung.

Role and Responsibilities



If you have ambitions to be a part of a Best in Class organization and are passionate about Technology and Innovation, Samsung is the place to be. Our dynamic culture offers both great challenges and great reward, while working among the very best talent in the industry on the most innovative products in the world. This is your opportunity to provide a fresh perspective to our ever-changing industry. Samsung’s Supply Chain has been recognized as one of the key component for the company’s continuous success, and has been retaining its leadership position in the industry for several years. Supply Chain is becoming a key differentiator and an enabler of business growth, so if you are looking for an experience working with one of the best and high-functioning team of Supply Chain experts, this would be the best opportunity for you.



Position Summary and Project Details:

This role will support SCM T/F team to design a best-in-class Supply Chain model for the largest growing online account: Amazon
This role will take the lead on gathering data, insight, and feedback from SCM experts and various business leads, then perform a deep-dive analysis, find areas of improvement, and propose solutions for both short and long term period
Project will mainly focus on standardizing forecasting process and operations for all product categories
This role will help creating an operational scorecard and internal targets to measure and trace success, once plans are implemented

General Duties include but are not limited to:

Working cross-functionally within Supply Chain division, and also engage with Sales, Logistics and Product marketing
Present findings and updates to leaders and gather feedback

Skills and Qualifications



Qualifications:

Pursuing a Masters of Business Administration
Advanced in Microsoft Office Excel and PowerPoint
Proficiency in Tableau and/or Alteryx will be helpful, but not a requirement
Strong communication skills, in both speaking and writing
Experience in Project management (process mapping, documentations and presentation)
Experience in Supply Chain Forecasting and Operations will be helpful, but optional
Must be flexible to work outside of regular business hours (due to deadlines and different time zones)

Internship Eligibility:

Must be enrolled in an accredited University
Proper work authorization
Maintain a 3.0 or higher GPA
Attend New Hire Orientation on first day

* Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here .



* Samsung Electronics America, Inc. and its subsidiaries are committed to employing a diverse workforce, and  provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law.",https://www.linkedin.com/jobs/view/externalApply/2486459167?url=https%3A%2F%2Fsec%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2FSamsung_Careers%2Fjob%2F85-Challenger-Rd-Ridgefield-Park-NJ-USA%2FSCM-Strategic-Ops-Intern--Summer-2021_R38835&urlHash=AC9u&refId=08a56afa-8dde-4b64-a6fa-3e3a6ac6cd9e&trackingId=5igd2nsJ9mafB%2FI6rZa4uQ%3D%3D&trk=public_jobs_apply-link-offsite
Operations Intern,2K,"Novato, CA","Who We Are

2K is a leading global developer and publisher of some of today’s most popular games and is most well-known for several of its critically-acclaimed franchises, including NBA 2K, Borderlands, BioShock, Mafia, WWE 2K, Sid Meier’s Civilization, XCOM, PGA TOUR 2K and more.

What We Need

The Operations team at 2K is looking for a driven and intellectually curious intern to help drive key operational projects forward under the supervision of a Senior Project Manager.

What You Will Do
Work collaboratively with your Project Manager and teammates to define and execute projects: develop plans, manage expectations, communicate progress effectively to all involved and deliver results on time
Work closely with your Project Manager and project team to help track major activities and milestones and help organize operations schedules
Help maintain project documentations, perform project research, and assist in data entry tasks
Assist with driving key tasks to completion and escalating when the project is at risk when appropriate
Assist with the game code distribution process for departments
Help prepare weekly project reports to update project stakeholders and leadership of project status
Coordinate and assist with presentations for project initiatives or special projects



Who We Think Will Be a Great Fit
You are enrolled in either a college or university at the time of the internship
Area of interest in Project Coordination/Management and Operations
Familiarity with the gaming market and industry trends
Ability to self-prioritize effectively and being extremely organized
Solid written and oral communication skills",https://www.linkedin.com/jobs/view/externalApply/2486459167?url=https%3A%2F%2Fsec%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2FSamsung_Careers%2Fjob%2F85-Challenger-Rd-Ridgefield-Park-NJ-USA%2FSCM-Strategic-Ops-Intern--Summer-2021_R38835&urlHash=AC9u&refId=08a56afa-8dde-4b64-a6fa-3e3a6ac6cd9e&trackingId=5igd2nsJ9mafB%2FI6rZa4uQ%3D%3D&trk=public_jobs_apply-link-offsite
Operations Research Science Intern,Amazon,"Seattle, WA","Description

As a Research Scientist you will use your experience to develop new strategies to improve the performance of Amazon’s systems and networks. Working closely with fellow research scientists and product managers, you will use your experience in modeling, statistics, and simulation to design models of new policies, simulate their performance, and evaluate their benefits and impacts to cost, reliability, and speed of our fulfillment network.

Our teams are looking for experience in network and combinatorial optimization, algorithms, data structures, statistics, and/or machine learning. This position requires superior analytical thinking, and ability to apply their technical and statistical knowledge to identify opportunities for industrial research. You should be able to mine and analyze large data, and be able to use necessary programming and statistical analysis software/tools to do so.


Basic Qualifications
Enrolled in a Master’s or Ph.D. degree in Operations Research, Industrial Engineering, Statistics, Mathematics, Economics, Computer Science, or similar technical field
2+ years’ experience working with statistics and probability, particularly their application in systems analysis and operations research
Fluency in at least one programming or scripting language (ex., Python, Java, C, C++)
Experience with SQL and Statistical/mathematical programming software packages (ex., R, SPSS, CPLEX, LONDO or Xpress etc)
Experience in problem solving and data analytics
Preferred Qualifications
Enrolled in Ph.D. in relevant discipline (see basic qualifications)
Experience with inventory planning and supply chain management (forecasting, planning, optimization, and/or logistics)
Excellent written and verbal communication skills
Experience working with data mining on large datasets (“big data”)

Company - Amazon.com Services LLC
Job ID: A1229563",https://www.linkedin.com/jobs/view/externalApply/2431568956?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1229563%2Foperations-research-science-intern%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=UkTI&refId=08a56afa-8dde-4b64-a6fa-3e3a6ac6cd9e&trackingId=Q44rUee3%2BmLGhzWslfX0KQ%3D%3D&trk=public_jobs_apply-link-offsite
"Summer Intern, Operations",The Hub Project,"Washington, DC","Reports to: Intern Manager

Location: Washington DC

Status: Full-Time; Non-Exempt

Salary: $17/hour not to exceed 40 hours/week

Launched in 2016, The Hub Project is a nonprofit effort composed of a growing team of communications, research, operations, and organizing experts who have extensive experience in campaign strategy, digital, and polling and analytics. We believe in a country where everyone has the opportunity to succeed in our economy and participate in our democracy, and we make that vision a reality by partnering with advocacy groups – bringing surge capacity and coordination to build innovative and effective campaigns.

Position Summary

The Hub is currently accepting applications for the Summer 2021 Operations Internship. The pay rate for this internship is $17/hour. All applicants must be available to take on a full-time internship for a minimum of 40 hours a week. We’re a fast-moving place that’s always ready to jump into the next fight, so the right person for the internship is not afraid of taking on new opportunities to move people to action and quickly respond to an ever-changing news cycle.

As An Operations Intern, You Will
Support with a variety of administrative, office and staff management, and business operations functions
Procure and manage supply inventory, and other supplies for team and organization events and campaign initiatives
Navigate operating systems and spreadsheets for data entry and management
Partner with programs on Operations and HR needs as directed by the Executive Assistant to the Executive Director and Chief Operating Officer & Legal Director
Support event planning, prep, and execution with internal and external teams
Perform other operational duties as assigned

About You
You have an interest and background in progressive causes
You work well in teams and are self motivated and a self starter
You’re an effective multitasker with excellent communication skills
You’re extremely organized, detail-oriented, and analytical
You’re proactive with the ability to prioritize and meet deadlines
You have experience working with G-Suite and Microsoft Office products
You have experience working on progressive issue campaigns

How To Apply

To begin the application process, click ""Apply for this Job"" below. This announcement will remain posted until the position is filled. Please note that only those individuals whose qualifications match the current needs of this position will be considered applicants and will receive responses from The Hub. Thank you for your interest.

New Venture Fund Careers

The Hub Education and Engagement Fund is a project of the New Venture Fund, a 501(c)(3) public charity that incubates new and innovative public-interest projects and grant-making programs. The New Venture Fund is committed to attracting, developing and retaining exceptional people, and to creating a work environment that is dynamic, rewarding and enables each of us to realize our potential. The New Venture Fund’s work environment is safe and open to all employees and partners, respecting the full spectrum of race, color, religious creed, sex, gender identity, sexual orientation, national origin, political affiliation, ancestry, age, disability, genetic information, veteran status, and all other classifications protected by law in the locality and/or state in which you are working.

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number ""63879"". Message & data rates may apply. Please refer to our privacy policy for more information.",https://www.linkedin.com/jobs/view/externalApply/2492055927?url=https%3A%2F%2Fthe-hub-project%2Etalentify%2Eio%2Fjob%2Fsummer-intern-operations-washington-district-of-columbia-the-hub-project-f0c918ce-6dd3-44fb-b620-bd95d1298c0d%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGozeTRuYyxlcHJvNjA2ZGI4OGZlNmYzNDMyNzU2NDc5Nw&urlHash=R1BN&refId=08a56afa-8dde-4b64-a6fa-3e3a6ac6cd9e&trackingId=090JAN98aBevXLgJi8cBng%3D%3D&trk=public_jobs_apply-link-offsite
Business Operations Intern,Jerry.ai,"Palo Alto, CA","We’d love to hear from you if you like
Start-up energy working with a brilliant and passionate team
Exponential growth (10X revenue in 2020)
Flat structure and access to senior leadership for continuous mentorship
Meritocracy - we promote based on performance, not tenure


About This Role

We are looking for highly ambitious students and new grads to join the Business Operations Intern Program. This opportunity does not require any particular prior experience, but rather a set of fundamental characteristics - hustle, resourcefulness, drive, intellectual curiosity, and diligence. The pace of learning and growth opportunities at a fast-paced startup is exponential and afforded to those who demonstrate a high level of competency in their assigned roles and a commitment to their continued development. If you’re looking for an opportunity to accelerate your career, we are looking forward to meeting you.

Responsibilities

Support Marketing operations
Develop a deep understanding of customer's needs, attitudes, and expectations of the product
Monitor competitive activities and identify opportunities for growth
Review, audit and summarize operational data and provide summaries with recommendations to management.
Work with project teams, managing your own workstream

Qualifications

Currently enrolling in a full-time degree in the US.
Excellent communication (verbal and written) and interpersonal skills
Superior analytical skills and acute business sense
Self-motivated and directed, and require minimal supervision
High level of integrity, dedication, and motivation, and great passion for the Internet industry",https://www.linkedin.com/jobs/view/externalApply/2492055927?url=https%3A%2F%2Fthe-hub-project%2Etalentify%2Eio%2Fjob%2Fsummer-intern-operations-washington-district-of-columbia-the-hub-project-f0c918ce-6dd3-44fb-b620-bd95d1298c0d%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGozeTRuYyxlcHJvNjA2ZGI4OGZlNmYzNDMyNzU2NDc5Nw&urlHash=R1BN&refId=08a56afa-8dde-4b64-a6fa-3e3a6ac6cd9e&trackingId=090JAN98aBevXLgJi8cBng%3D%3D&trk=public_jobs_apply-link-offsite
