title,company,location,requirements,link
Lex Frieden Disability Policy Engagement Internship - Summer 2021,Anthem,"Nashua, NH","DESCRIPTION

SHIFT: Day Job
SCHEDULE: Full-time

The Lex Frieden Internship is an opportunity for Anthem to further develop a pipeline of talent that is inclusive of individuals with disabilities. Named for disability advocate and pioneer Lex Frieden, one of the architects of the Americans with Disabilities Act (ADA), the Internship offers a 10 week paid experience that includes a connection with a designated mentor, and a developmental series on office culture, soft skills, disability rights, and accommodations. A wide array of work experience opportunities are available for applicants currently enrolled in undergraduate and graduate level programs. The experience offers opportunities for the next generation of Anthem Associates to gain valuable work experiences, and for Anthem to continue to advance our inclusion and diversity goals.

Caring. Accountable. Innovative… Want to be a part of something that makes a real difference in the world while gaining valuable experience? Our internship program provides you with the unique opportunity to work within and positively affect one of America’s most dynamic healthcare companies. You will also gain critical experiences to support you in a successful career.

This May, an Anthem intern will spend a 10-week paid internship as part of Anthem’s Disability Policy Engagement Team within Federal Affairs. As part of the team, you will assist Anthem in ensuring people with disabilities and older adults are included in healthcare and essential life discussions that will affect independence and access to care and services. Intern responsibilities include, but are not limited to policy and demographic research, tracking relevant legislation and news impacting disability and healthcare related policy, engagement with disability and aging stakeholders, stakeholder meeting and conference planning and participation, reviewing and responding to Requests for Proposals, and collateral development. You will have the opportunity to work with internal Anthem stakeholders in areas such as Inclusion & Diversity, Commercial and Medicaid business divisions, Public Affairs, Business Development, as well as with individuals in the external advocacy, provider and legislative communities.

As an Anthem intern, you will gain valuable professional experience as you work on challenging and interesting assignments throughout the summer. You will have the opportunity to work with and learn from many talented professionals in the advocacy community as well as the health care industry. Anthem interns have the important task of supporting Anthem in its mission of cultivating an inclusive workplace and contributing to suggestions and practices that support Anthem being a workplace that is welcoming to all. The program is designed to grow today’s young leaders by strengthening your understanding of the health care industry, supporting you in your personal advocacy and career goals, and preparing you for future professional opportunities",https://b-jobz.com/us/web/jobposting/219645212?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Government Relations and Policy Intern,Commonwealth Care Alliance,"Boston, MA (+1 other)","Job Description

Reporting to the Government Relations Policy Director, the summer intern will conduct policy analysis and research to drive the impact of CCA’s comprehensive, integrated care model and:
• Develop one or more white papers on policy priorities for distribution to state and federal policymakers; topics may include social determinants of health, telehealth, value-based payment, health care workforce, and topics chosen by the intern
• Analyze policy reports, regulatory proposals, and relevant bills and communicate findings to internal teams
• Produce quick turn-around deliverables, such as leave behinds for meetings with elected officials
• Monitor state, federal, and health plan Medicare-Medicaid integration news and inform the Government Relations team about relevant updates
• Attend policy briefings and legislative hearings and report key takeaways to the team
• Learn about public policy and government relations strategies to advance how care is designed and delivered for people with complex needs

This paid summer internship is a part of CCA’s structured 12-week Summer Internship Program that is designed to give a select student cohort hands-on experience in an innovative health care setting and the opportunity to explore a potential career within our growing organization. As the Government Relations Policy summer intern, this individual will advance high-touch care delivery through unique contributions to our state and federal policy goals","https://www.ziprecruiter.com/c/Commonwealth-Care-Alliance/Job/Government-Relations-and-Policy-Intern/-in-Boston,MA?jid=fd1bc428d29ca707&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Public & Government Affairs Intern,Everbridge,"Burlington, MA","Public & Government Affairs Intern at Everbridge in Burlington, Massachusetts

Posted in Other about 8 hours ago.

------------

Job Description:

Everbridge: a fast-growing global provider of SaaS-based critical communications and enterprise safety solutions are currently seeking for a Public & Government Affairs Intern.
The ideal candidate is a self-starter who thrives in a fast-paced environment and is equipped with concise written and verbal communication, and excellent time-management and organizational skills. A creative outlook and collaborative spirit are musts, as well as the ability to work independently and with a group.

What you'll do:
• Visibility pre- and post-conference: You will contribute to support the organization and follow up of a policy conference by a Brussels-based pan-European media platform. You will also identify and follow-up with senior civil servants dealing with public warning systems and/or emergency communications in five member states, to solicit interest in participating, address them personalized invitations and follow up post conference to ensure engagement and company product recognition.
• EU legislative train- digital agenda coverage and inputs: You will review and integrate the in-house government affairs activities with identification of the key policymakers, stakeholders, events, papers, initiatives, panel discussions, in the field of the EU Digital Agenda at the EU Commission and EU Parliament level. You will identify the schedule of future public consultations and contribute strategic policy inputs in line with Everbridge's business development objectives for public waring systems and critical event management.
• Market review and Analysis: review the reports of the major multilateral development banks and rationalize their organization on the shared drive, including preparing a taxonomy of the relevant information for ease of access by marketing staff. You will also monitor the work programs published by the main EU Directorates General involved with implementing the EU Digital Agenda (DG COMM, DG DIGIT, DG REGIO, etc..) as well as the research grant funding objectives expected to be published in April 2021, a per the Presentation outlining Horizon Europe
Bridger Culture:
At Everbridge, we have a mission that matters-to keep people safe and businesses runningduring critical events. Our ""Bridgers"" join Everbridge to make a positive impacton the world through their work. The core of our company culture is built around making a difference. Our people are dedicated to solving problems during difficult times and challenging situations as our software was built to save lives.We are a rapidly growing organization transforming the field of critical event management and need passionate, committed and determined individuals to help us carry out our mission. Our environment is dynamic, and our culture is constantly evolving and expanding in order to provide the best employee experience.Click hereto learn more about what we do. Passionate about our mission? Want to #BeTheBridge? Apply to be a part of our team today!Everbridge is an Equal Opportunity/Affirmative Action Employer. All qualified Applicants will receive consideration for employment without regard to race, creed, color, religion, or sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state, or local law",https://www.internships.com/posting/bug_38967425043?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Government Relations Policy Intern,Commonwealth Care Alliance,"Boston, MA (+1 other)","Why This Role is Important to Us

Commonwealth Care Alliance is a not-for-profit, Massachusetts-based health care organization dedicated to improving care for individuals with the most significant health and social needs. Forward-thinking and mission-driven, CCA provides and manages person-centered care across the continuum, including full integration of primary care, behavioral health, long-term care, and social needs. We specialize in bridging gaps across traditional health care silos by creating a care model that surrounds and supports members with touchpoints that go beyond basic health care needs. Our integrated care management is a nimble mix of human capital—staff dedicated to building long-term trusting relationships with members, providers, and community-based organizations—delivering care both in our members’ homes and in our clinics across the state of Massachusetts. CCA is rooted in more than thirty years of experience providing care to complex populations and now serves more than 33,000 members in two nationally recognized programs focused on integrating care for people dually eligible for Medicare and Medicaid.

What We're Looking For

﻿Current graduate student in related field (social work, public health, public policy, health management, etc.); rising undergraduate juniors and seniors may be considered with relevant research and/or internship experience

Experience in health policy analysis and research; knowledge of Medicare, Medicaid, and Medicare-Medicaid integration preferred

Commitment to improving health care and social supports for Medicare-Medicaid enrollees and complex populations

Proficiency with Microsoft Office Suite (Word, Outlook, PowerPoint, Excel)

Do you have at least a 3.0 GPA

What You'll Be Doing

Reporting to the Government Relations Policy Manager, the summer intern will conduct policy analysis and research to drive the impact of CCA’s comprehensive, integrated care model and:

Develop two or more white papers on policy priorities for distribution to state and federal policymakers; topics may include social determinants of health, telehealth, value-based payment, health care workforce, and topics chosen by the intern

Produce quick turn-around deliverables, such as leave behinds for meetings with elected officials

Analyze relevant policy reports and proposals and identify key takeaways for internal teams

Monitor state, federal, and health plan Medicare-Medicaid integration news and inform the Government Relations team about relevant updates

This paid summer internship is a part of CCA’s structured 12-week Summer Internship Program that is designed to give a select student cohort hands-on experience in an innovative health care setting and the opportunity to explore a potential career within our growing organization. As the Government Relations Policy summer intern, this individual will advance high-touch care delivery through unique contributions to our state and federal policy goals.

Actual Work Location

30 Winter Place, Boston, Massachusetts 02108

All Locations

30 Winter Street

Exempt / Not Exempt

Non-Exempt",https://www.internships.com/posting/sam_dqU_5bToH9JiGT9YCZPht2r7UdCoTbDd5iKWZYTkoE1wpYnHDjyOyg?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Internship, U.S. Foreign Policy, Summer 2021",Council on Foreign Relations,"New York, NY (+1 other)","Overview

All who are selected to participate in CFR’s Blavatnik Internship Program and Robina Franklin Williams Internship Program receive training in the field of foreign policy and international affairs as well as skills training in writing, research, program planning and much more.

The Council has an internship available in the Studies Department. The intern will assist the research associate and fellow with research, editing, and administrative tasks. The intern will gain firsthand experience with the tools scholars use to analyze U.S. foreign policy and its implications.

CFR internships are paid, require a 14 - 18 hour commitment, and are filled on a rolling basis.

Summer semester internship opportunities are on a fully remote/virtual basis.

The major responsibilities of this position will include (but are not limited to):
• Research issues related to current U.S. foreign policy, including world order, grand strategy, U.S.-Russia and U.S.-China relations, and geo-economics contributing directly to the substance of study group meetings, as well as publications of the fellow
• Assist with writing and editing content, including research memorandas and briefs as needed
• Assist in logistical support as needed, including but not limited to coordination of study groups and meetings

Qualifications
• Undergraduate or graduate student with concentration in international relations or related field
• Students should have completed the equivalent of four semester of college coursework (not including AP classes in high school) by the time they begin an internship
• Strong research and writing skills
• Excellent attention to detail
• Strong Microsoft Office skills
• Mandarin, Russian language proficiency preferred, but not required

About CFR

Founded in 1921, the Council on Foreign Relations (CFR) is a leading nonprofit membership organization, research center, and publisher, with headquarters in New York, an office in Washington, DC, and programs nationwide. It is dedicated to increasing America's understanding of the world and contributing ideas to U.S. foreign policy. CFR's 5,000+ members are leaders in international affairs and foreign policy. CFR also publishes Foreign Affairs, the preeminent magazine on global issues, and provides up-to-date information about the world and U.S. foreign policy on its award-winning website, CFR.org.

CFR’s Internship Program is made possible through the generous support of the Blavatnik Family Foundation, the Robina Foundation, CFR members, and the family and friends of Franklin Williams.

The Council on Foreign Relations is an Equal Opportunity Employer. Quality, diversity, and balance are the key objectives sought by the Council on Foreign Relations in the composition of its workforce",https://careers-cfr.icims.com/jobs/1809/internship%2C-u.s.-foreign-policy%2C-summer-2021/job?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Summer Policy Intern,The Engine,"Cambridge, MA (+1 other)","Summer Policy Intern

The Engine is seeking a research-driven and analytical individual to research acute gaps in the commercialization path for Tough Tech. This study will focus on developing papers around a clean energy innovation agenda and on rethinking industrial policy in the US. Researchers will lean on expertise in policy, regulatory environments and financial incentives. The goal of the work will be to collaborate with The Engine staff to provide the research basis for white papers that propose solutions to some of the most intransigent systems challenges facing Tough Tech entrepreneurs. We believe that by building a team that is diverse across many dimensions -- race, gender, ethnicity, sexual orientation, educational background, thought process, and more -- we will be able to better serve our portfolio of Tough Tech companies as they solve big global challenges. The ideal candidate is a self-starter who is comfortable in a fluid work environment, takes ownership of projects and workstreams, and is able to synthesize and communicate information clearly and concisely.

Skills And Qualifications
• Motivated by The Engine’s mission to enable Tough Tech entrepreneurs to build foundational technologies and companies.
• Relevant experience in either government, non-profit or business role that required understanding of the interplay between public policy and business.
• Demonstrated research, analytical and writing capabilities.
• Pursuing a Masters degree in technology and policy, public policy, or a similar relevant field.

Outcomes Of The Experience
• Exposure to leaders and research at the intersection of venture capital, government, and broader financial systems.
• Final report and presentation of recommendations to The Engine team.
• Potential for co-authorship of a solutions-oriented white paper to relevant public policy, entrepreneurial and financial audiences.
• Build working group(s) to design public-private partnerships, viability of financial interventions or novel solution mechanisms.

About The Engine

The Engine, launched by MIT, invests in early-stage companies solving the world’s biggest problems through a convergence of breakthrough science, engineering, and leadership. We accelerate the path to market for Tough Tech companies through the combination of capital, infrastructure, and network. Since opening its doors in June 2017, The Engine has committed resources to 28 companies and created an unprecedented framework for bringing tough tech from the lab to the commercial world. We also operate a 30,000 square foot facility of office, labs, and machine shop at our headquarters in Cambridge, MA. The Engine deeply values diversity and is committed to creating an inclusive environment for all employees. We are an equal opportunity employer. We consider all qualified applicants equally for employment. We do not discriminate on the basis of race, color, national origin, ancestry, citizenship status, protected veteran status, religion, physical or mental disability, marital status, sex, sexual orientation, gender identity or expression, age, or any other basis protected by law, ordinance, or regulation.

Apply

Please submit a resume and cover letter via the form on Lever",https://www.linkedin.com/jobs/view/summer-policy-intern-at-the-engine-2495242705?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
College Intern - Ethics & Business Conduct Office,BAE Systems,"Nashua, NH","Job Description
Job Description
The BAE Systems' ES Ethics & Business Conduct Office helps ensure a culture of trust, personal responsibility and transparency throughout the sector. We are looking for an enthusiastic, self-starter to join us as a 2021 Spring/Summer Intern helping to support various projects, such as:
• Assistance with development of topic-specific communication and training plans using instructional design best practices
• Other training and communication efforts as needed
• Review of conflict of interest disclosures
• Other duties, as assigned
This is a fantastic opportunity for a motivated college student who is interested in learning more about Ethics & Business Conduct programs while developing their instructional design and training and development skills.
The successful candidate must be able to work with representatives from all functions and levels in the organization with a professional demeanor as well as succeed in a dynamic environment with constantly changing priorities.
Position will be virtual.

Required Education, Experience, & Skills
• Must be in student's Junior year of undergraduate education or above; graduate students welcome to apply
• While no specific major is required, training and development, education, instructional design, communications, or industrial psychology majors are encouraged to apply
• Must have specific experience or courses in instruction design and/or training and development for professionals
• Must have demonstrated project management and/or prior intern experience
• Must have excellent written and verbal communication skills
• Must be well organized, analytical, enthusiastic and eager to learn
About BAE Systems Electronic Systems
BAE Systems Electronic Systems is the global innovator behind game-changing defense and commercial electronics. Exploiting every electron, we push the limits of what is possible, giving our customers the edge and our employees opportunities to change the world. Our products and capabilities can be found everywhere - from the depths of the ocean to the far reaches of space. At our core are more than 14,000 highly talented Electronic Systems employees with the brightest minds in the industry, we make an impact - for our customers and the communities we serve.""},""isMultiLocationEnabled"":false},""eid"":{""eid"":""6053eda3e0f2f272d7d247de""}},""flashParams"":{}}; phApp.experimentData = {""exp115"":{""variant"":""1",https://www.snagajob.com/jobs/602623936?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
ACE CRDIP: Tribal Policy Analyst- Northeast Regional Office,BAE Systems,"Nashua, NH",,https://www.snagajob.com/jobs/602623936?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
College Intern - Ethics & Business Conduct Office,BAE Systems,Anywhere,"Job Description The BAE Systems ES Ethics & Business Conduct Office helps ensure a culture of trust, personal responsibility and transparency throughout the sector. We are looking for an enthusiastic, self-starter to join us as a 2021 Spring/Summer Intern helping to support various projects, such as:
• Assistance with development of topic-specific communication and training plans using instructional design best practices + Other training and communication efforts as needed + Review of conflict of interest disclosures + Other duties, as assigned

This is a fantastic opportunity for a motivated college student who is interested in learning more about Ethics & Business Conduct programs while developing their instructional design and training and development skills. The successful candidate must be able to work with representatives from all functions and levels in the organization with a professional demeanor as well as succeed in a dynamic environment with constantly changing priorities Position will be virtual.

Required Education, Experience, & Skills
• Must be in student s Junior year of undergraduate education or above; graduate students welcome to apply + While no specific major is required, training and development, education, instructional design, communications, or industrial psychology majors are encouraged to apply + Must have specific experience or courses in instruction design and/or training and development for professionals + Must have demonstrated project management and/or prior intern experience + Must have excellent written and verbal communication skills + Must be well organized, analytical, enthusiastic and eager to learn

College Intern - Ethics & Business Conduct Office

66335BR

EEO Career Site Equal Opportunity Employer. Minorities . females . veterans . individuals with disabilities . sexual orientation . gender identity . gender expression","https://www.ziprecruiter.com/c/BAE-Systems/Job/College-Intern-Ethics-&-Business-Conduct-Office/-in-Nashua,NH?jid=5de5e3c56c886a1d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Internship - Public Policy,Novo Nordisk,"Avenel, NJ","About The Department

Novo Nordisk’s Market Access and Public Affairs team engages diverse stakeholders across political and healthcare landscapes to forge solutions that drive patient access to innovative products. We strive to deliver the best possible outcomes for patients with diabetes, obesity, growth hormone deficiencies and rare bleeding disorders through mutual wins for both Novo Nordisk and our Market Access customers. Our passion for helping people live better lives and our award-winning product pipeline can only be as effective as our ability to provide life-changing information to healthcare providers, key stakeholders and policymakers. Our Market Access and Public Affairs professionals ensure that the latest therapies and products reach the people who need them most, by creating an environment where innovation and chronic disease management drive optimal health outcomes. Are you ready to realize your potential?

The Program

At Novo Nordisk, interns will have the opportunity to kick-start their careers by working closely with experienced industry professionals and gaining valuable, hands-on, full-time work experience. For ten weeks, beginning June 7th, interns will be immersed in the environment of a global pharmaceutical company and contribute to the line of business by providing sustainable and meaningful project work. Our internship program also includes instructor led trainings, career presentations by senior leadership, and a guided mentorship program to offer professional and personal development.

In addition to individual department responsibilities, interns will participate in the Innovation in Action Case Competition. Assigned to cross-functional teams, interns will work closely to develop an innovative and comprehensive solution to a business problem currently facing Novo Nordisk. At the conclusion of the program, teams will present their findings to a board of top Novo Nordisk officials representing the various lines of business.

The Position

The Public Policy Intern will research health policy issues relating to health care reform, Medicare Part D, Obesity, and other therapeutic areas of importance to Novo Nordisk. The intern will gain exposure to the market access, pricing, and contracting, health economics outcomes research, and broader public affairs functions within Novo Nordisk as he or she evaluates public policy issues from a patient, provider, payer, and industry perspective and develops talking points, presentations, issue briefs, and original research to support Novo Nordisk’s advocacy at the state and federal levels.

Physical Requirements

0% overnight travel required.

Qualifications
• Throughout the duration of the internship program, you must be currently enrolled at an accredited college or university pursuing a Master’s degree in Public Health, Public Policy, Pharmacy, Health Administration, or a related discipline preferred
• Strong academic record with a preferred cumulative GPA of 3.0 or higher
• Conscientious self-starter with good organizational skills, project management skills and attention to detail
• Ability to balance multiple projects and priorities, must be able to multi-task
• Strong interpersonal communication and ability to collaborate with teams; must effectively operate independently, across functional lines, and with internal customers
• Demonstrated personal initiative, self-motivation, flexibility, adaptability and willingness to learn
• Proficient in Microsoft Office Tools including Word, Excel, PowerPoint

At this time, Novo Nordisk is not currently hiring individuals for this position who now or in the future would require sponsorship for employment visa status.

Novo Nordisk is an Equal Opportunity Employer - M/F/Veteran/Disability/Sexual Orientation/Gender Identity.

If you are interested in applying to Novo Nordisk and need special assistance or an accommodation to apply, please call us at 1-855-411-5290. This contact is for accommodation requests only and cannot be used to inquire about the status of applications",https://www.linkedin.com/jobs/view/internship-public-policy-at-novo-nordisk-2471327057?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
