title,company,location,requirements,link
UX-UI Design Intern,CBRE,"Dallas, TX","Position Summary

As a member of the Host Work design team, we deliver engaging and delightful experiences in the form of mobile and desktop digital products. We work the full breadth of the design process, from discovery to development documentation at hand off. Our product offering is unique, bringing our workplaces up to the standards of the new digital landscape. Smart home feature users are comfortable interacting through our product to help control their workplace experience. Using emerging and established programs, we love showing just what the future of the workplace looks like.

Position Objectives

Iterative Design on Digital Navigation

Conduct Qualitative and Quantitative user research to discover and present insights on current user experience

Use rapid prototyping techniques to develop, validate, and iterate on hypothesis created based on the insights found during user research

Organize and present findings from the iterations to design, product, and engineering leadership

Using the existing design system, create high fidelity prototypes that elaborate on both macro and micro-interactions to help create a holistic experience for users

Prepare thoughtful documentation on the designed experience to assist in the smooth transition from the design team to our engineering partners

Collaborate with engineering partners to test and QA the experience, ensuring any questions are met with a shared understanding of the ideal solution

These tasks will take place over the course of the 10-week program, culminating in a fully delivered product feature.

Organizational Structure

The UI/UX Design Intern will be reporting to the UI/UX Design Lead, under the UX Design Center of Excellence. In addition, there is immense collaboration between the Design, Product Management, and Engineering teams.

Situational Needs and Challenges

Host Work is a young product, recently positioned a unique value proposition inside the world’s largest commercial real estate services company. We are agile, collaborative, and driven to bring exciting digital solutions to our clients and their employees. Because we are a young product, there is a set of unique and exciting challenges to solve as part of the design team.

Technological Needs and Challenges

Because our product is young, we need to be agile and quickly adapt to market changes. This means pivoting on a moment’s notice, and delivering fast, sometimes forgoing some of the typical design process. We use these opportunities to help flex our design system’s muscle and adapt to the needs as they arise.

Team Structure Needs and Challenges

Our team is spread across two continents with both on-and-offshore teams working concurrently to deliver award winning solutions. In addition to the usual challenges, we have become remote during the COVID-19 Pandemic, though there are plans to return to in-person collaboration down the line. Host Work mostly has its sea legs under us in terms of digital collaboration but starting a new position fully remote can be a challenge.

Basic Requirements

Passionate about design and takes the initiative to learn independently and proactively contribute to the success of the team

A project that demonstrates their understanding of the design process

Intellectual curiosity and analytical skills in broad areas relating to user experience, technology, and design

Demonstrated understanding of visual design on mobile platforms

Understanding of user-centered design principles and the ability to execute upon them

Solid understanding of data driven design activities, such as storyboarding and experience models, ability to use these strategies to create high quality designs

Outstanding verbal and written communication, interpersonal and leadership skills are required.

Should be comfortable working in a very dynamic and collaborative work environment

Ability to create mock-ups and produce multiple iterations efficiently",https://www.linkedin.com/jobs/view/externalApply/2459047792?url=https%3A%2F%2Fcbre%2Ereferrals%2Eselectminds%2Ecom%2Fjobs%2Fux-ui-design-intern-84207%3Fsrc%3DJB-10160&urlHash=CPJd&refId=70db12a5-7c54-487a-b7a2-c7ebb4f4223d&trackingId=7szh57MSr26E7dAXBbYlrA%3D%3D&trk=public_jobs_apply-link-offsite
UX-UI Design Intern,CB Richard Ellis,"Dallas, TX","Position Summary
As a member of the Host Work design team, we deliver engaging and delightful experiences in the form of mobile and desktop digital products. We work the full breadth of the design process, from discovery to development documentation at hand off. Our product offering is unique, bringing our workplaces up to the standards of the new digital landscape. Smart home feature users are comfortable interacting through our product to help control their workplace experience. Using emerging and established programs, we love showing just what the future of the workplace looks like.
Position Objectives
Iterative Design on Digital Navigation
Conduct Qualitative and Quantitative user research to discover and present insights on current user experience
Use rapid prototyping techniques to develop, validate, and iterate on hypothesis created based on the insights found during user research
Organize and present findings from the iterations to design, product, and engineering leadership
Using the existing design system, create high fidelity prototypes that elaborate on both macro and micro-interactions to help create a holistic experience for users
Prepare thoughtful documentation on the designed experience to assist in the smooth transition from the design team to our engineering partners
Collaborate with engineering partners to test and QA the experience, ensuring any questions are met with a shared understanding of the ideal solution
These tasks will take place over the course of the 10-week program, culminating in a fully delivered product feature.
Organizational Structure
The UI/UX Design Intern will be reporting to the UI/UX Design Lead, under the UX Design Center of Excellence. In addition, there is immense collaboration between the Design, Product Management, and Engineering teams.
Situational Needs and Challenges
Host Work is a young product, recently positioned a unique value proposition inside the world's largest commercial real estate services company. We are agile, collaborative, and driven to bring exciting digital solutions to our clients and their employees. Because we are a young product, there is a set of unique and exciting challenges to solve as part of the design team.
Technological Needs and Challenges
Because our product is young, we need to be agile and quickly adapt to market changes. This means pivoting on a moment's notice, and delivering fast, sometimes forgoing some of the typical design process. We use these opportunities to help flex our design system's muscle and adapt to the needs as they arise.
Team Structure Needs and Challenges
Our team is spread across two continents with both on-and-offshore teams working concurrently to deliver award winning solutions. In addition to the usual challenges, we have become remote during the COVID-19 Pandemic, though there are plans to return to in-person collaboration down the line. Host Work mostly has its sea legs under us in terms of digital collaboration but starting a new position fully remote can be a challenge.
Basic Requirements
Passionate about design and takes the initiative to learn independently and proactively contribute to the success of the team
A project that demonstrates their understanding of the design process
Intellectual curiosity and analytical skills in broad areas relating to user experience, technology, and design
Demonstrated understanding of visual design on mobile platforms
Understanding of user-centered design principles and the ability to execute upon them
Solid understanding of data driven design activities, such as storyboarding and experience models, ability to use these strategies to create high quality designs
Outstanding verbal and written communication, interpersonal and leadership skills are required.
Should be comfortable working in a very dynamic and collaborative work environment
Ability to create mock-ups and produce multiple iterations efficiently",https://www.linkedin.com/jobs/view/externalApply/2466752965?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2F3fcfda34e9a7e246c89d7a0bfed95653&urlHash=0QSK&refId=70db12a5-7c54-487a-b7a2-c7ebb4f4223d&trackingId=4bT47GdpsKS8oMVhj5Rihw%3D%3D&trk=public_jobs_apply-link-offsite
UI/UX Intern - Boston,PartRunner,Greater Boston,"Company Introduction

PartRunner is the go-to on-demand delivery service for the construction & trades industries. We are a team of experts in logistics, operations and in the industries of Plumbing, HVAC, Electric and Construction. We add value by reducing the time it takes for businesses to move parts/equipment.Overview:

What We Do

PartRunner is a New England-based startup that is revolutionizing how logistics are done for businesses. Called the \Uber for construction materials\ we focus primarily in the Trades, Construction, industries but we also work with Auto and Healthcare distributors.

We are a B2B last-mile service and leverage a network of independent drivers that have all types of vehicles; from cars, to cargo vans and 24ft box trucks. Our platform allows companies to connect to hundreds of truckers via our web, mobile, and api integrations.

Position Overview

We are looking for a talented UX Designer with a portfolio demonstrating the art of design and a track record of results. Your demonstrated skill-set must range from UX Design, flows and interactions, screen/page architecture in both Web and Mobile applications. You should have experience working directly with Product Managers to prioritize, specify, and delivering compelling user experiences.

Responsibilities
Work on general Front-End Design for Website
Design Marketing Materials (which may include: banners, flyers, brochures, and other promotional material)
Be familiar with user experience design, product management, engineering, and agile development environments and can turn complex use cases into intuitive and shippable product experiences.

Skills
CSS, HTML, Photoshop, In-Design, Sketch, In Vision, Adobe or any other design tool.

Qualifications
6 months-1 year minimum experience in similar position
Entrepreneurial minded and self-driven
Organized and adaptable
Multi-tasking
Team Player",https://www.linkedin.com/jobs/view/externalApply/2391256361?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3Da3c6d2b2889b%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadfaddd7addaddabadc9dde9adefddeadd8fdd83de7cacefec3ddcg3e&urlHash=ppoC&refId=70db12a5-7c54-487a-b7a2-c7ebb4f4223d&trackingId=KbOCwnMPP8qOIuEkEzh0yw%3D%3D&trk=public_jobs_apply-link-offsite
Summer 2021 Internships: UX/UI Design Research Intern,The Motley Fool,"San Francisco, CA","Description

Want to spend your summer interning at a company that is consistently rated as one of the best places to work in the country? Is this a rhetorical question??

The Motley Fool is a multimedia financial services company that provides financial solutions for investors through various stock, investing, and personal finance services. We've been on the block for about 26 years and have honed a reputation for producing industry-leading work in a nationally recognized workplace. Our mission is to help the world become happier, smarter, and richer and the backbone supporting this global mission is our top-notch tech team. If you dream of becoming a brilliant and skilled web designer and are ready to work hard on cutting edge technologies alongside awesome coworkers, then step up to the plate, and tell us why you should land a spot among our Foolish ranks.

For eight Foolish weeks as a UX/UI Design Research Intern, you'll be embedded with the Design and Web Technologies teams that support, build, and maintain our Foolish products and websites. You will have hands-on experience working with users and internal teams to investigate existing user mental models and design products that sustainably address our end users' needs. You will gain exposure to the entire UX Design process -- from the initial research to design, design testing, as well as the hand off to development! You'll also collaboratively shape what success looks like for the changes you propose. The projects you could work on may be team-level or span our entire tech organization.

You'll be challenged and mentored by some of our greatest designers all summer, and in turn, you'll develop the skills it takes to cultivate a user first mindset that will set you apart from your peers. We're excited to open our doors for Summer 2021 Design Intern applicants, so send us your most Foolishly written cover letter and your ultra-impressive resume. We're prepared to be wowed!

What You Need To Succeed
Excellent problem-solving skills with the ability to analyze situations, identify existing or potential opportunities, and recommend solutions.
Ability to present complex qualitative and quantitative data to diverse audiences in an understandable format via excellent verbal and written and/or visual communication skills.
Flexibility and ability to learn quickly.
Extraordinary critical thinking skills.
High-performing problem solving and collaborative skills.
Ability to communicate clearly and demonstrate emotional intelligence.
Ability to think quickly, resolve problems, and multi-task across numerous projects and teams.
Ability to keep a calm and pleasant demeanor under tight, evolving, and sometimes unpredictable timeframes and priorities.
Ability to translate insights into workable prototypes for testing and future iteration.

What would be really cool of you to have, but not required:
Experience applying qualitative research methods.
Experience with full-life cycle research and inspection methods which occur from ethnography all the way to statistically-based user testing.
Experience working on enterprise-level experiences that span multiple channels such as web, mobile, and offline interactions.
Experience with quantitative, behavioral analysis, and statistical concepts.
Experience managing digital product analytics with tools such as Google Analytics, Tableau, Airtable, or Spaghetti and Meatballs.
Experience using design methods and user research data to influence business strategy and leadership.
Familiarity with basic concepts of investing and finance.",https://www.linkedin.com/jobs/view/externalApply/2438556301?url=http%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fthemotleyfool%2Fjob%2FoKKpefwR%3F__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=nrkY&refId=70db12a5-7c54-487a-b7a2-c7ebb4f4223d&trackingId=MLR1LotBnB7uVB3kQdnYkg%3D%3D&trk=public_jobs_apply-link-offsite
Product Design Intern - Summer 2021,Paradox,"Scottsdale, AZ","Are you a web designer with a passion for intuitive UX and beautiful, simple design?

Do you have a ""less is more"" design philosophy and believe that the highest form of art is simplicity? (so do we!)

Are you looking to kick start a career in product design at a values-driven tech startup?

At Paradox, we believe when you get the people thing right you can build teams that can change the world. We’re a high performance culture with laser focus on building world class products and a team that our clients love. Our flagship product, Olivia, is the AI assistant helping companies around the world reimagine the way they hire: conversations instead of job applications, automatic interview scheduling, and so much more.

Recently named one of Forbes’ Top 500 Startup Employers, we’re looking for top performers who have a track record of success and want to build a company together as we continue our triple-digit growth.

We’re a company that believes software should be so simple it feels like magic. Our recruiting products are used by job seekers and hiring teams around the world and we’re looking for a UI designer who wants to help bring great design and delightful UX to the long-neglected world of HR technology. As a member of our Product team, you’ll work closely with engineers and PMs to design and ship simple, beautiful software that our clients and users love.

Sound like your dream job? We want to hear from you!

As a Product Design Intern, You Will
Design simple, intuitive web and mobile interfaces, translating business requirements into magical user experiences across the portfolio of Paradox products
Partner with Product and Engineering teams on end-to-end UI design initiatives, from conceptualizing and prototyping to building & shipping software
Create mockups, wireframes, prototypes, and user flows to showcase your user interface proposals and UX ideas
Participate in a highly collaborative, iterative design process, proactively giving and receiving feedback from team members
Uphold our high product standards and design philosophy
Continuously research and apply the latest UX/UI standards and industry trends

Experience & Skills Required
Pursuing a Bachelor’s degree in UI/UX design, graphic design, human computer interaction or related field (rising seniors preferred)
Experience in web and mobile user interface (UI) design - and a spectacular portfolio to show for it!
Excellent understanding of UX design principles and research methodologies
Familiarity with prototyping software such as Sketch, Framer, InVision, Figma, or Balsamiq
Openness to constructive design feedback
Ability to work independently and manage multiple projects simultaneously
Available to work May-August 2021 from our Scottsdale, AZ headquarters (40 hrs/week)
Authorization to work in the United States

Why You Should Work At Paradox
Work side by side with passionate, purposeful people - Talent is our DNA and we pride ourselves on having the best!
Ability to make a big impact on a growing organization and drive your own growth
The opportunity to build the next big thing in recruiting technology
Internal and external professional development, coaching, and continuous education opportunities",https://www.linkedin.com/jobs/view/externalApply/2491365977?url=http%3A%2F%2Fcareers%2Eparadox%2Eai%2Fproduct-design-intern-summer-2021%2Fjob%2F15982848%3Fsource%3Dlinkedin&urlHash=eH5G&refId=70db12a5-7c54-487a-b7a2-c7ebb4f4223d&trackingId=IZNGg2TskmtnU24p%2BJ%2BpoA%3D%3D&trk=public_jobs_apply-link-offsite
Summer Intern: UI/UX Design,G2,"Chicago, IL","About G2

G2 is revolutionizing the way businesses discover, buy and manage software and services. More than five million users per month rely on G2 to help them find and buy the best software for their businesses. G2 features over 1 million authentic customer reviews, has built a global team of nearly 400 talented, motivated professionals, and has raised $100M in total funding from some of the world’s leading investors including IVP, Accel Partners, LinkedIn, Emergence Capital, Pritzker Group, Chicago Ventures, Hyde Park Ventures, industry leaders and its founders.

About The Role

As a member of G2’s Summer Internship Program, you will have the opportunity to join an exciting team, complete a variety of projects, and participate in professional development events. You’ll work closely with an Intern Mentor who will support you throughout the Program. As a member of design team you’ll have 3 main projects:

UX RESEARCH: You’ll work closely with other designers to do continuous discovery. Continuous discovery is a collaborative process in which UX designers facilitate user interviews continuously to uncover opportunities to improve our interface. It also involves working with designers and engineers to map, prioritize, and ideate on those opportunities, as well as provide recommendations.
PORTFOLIO PIECE: Working on a design project from start to finish. You’ll gather and analyze user data, create low and high fidelity wireframes, do usability testing, and use other UX methodologies to meet project goals.
DESIGN OPS: Work with designers to improve the operation of our team, including UX documentation, processes, design system maintenance, brainstorming sessions, and more.
This internship is remote (US only), and will be held from June to August. Interns will work 40 hours per week.

Requirements

We realize applying for jobs can feel daunting at times. Even if you don’t check all the boxes in the job description, we encourage you to apply anyway. Our global team comes from a wide range of backgrounds and experiences, and that’s what makes our G2 community strong and vibrant.
Pursuing a Bachelor's degree related to UX Design, UX Research, Human-Centered Design, Anthropology, Sociology, or a comparable field
A rising Senior at an accredited college or university
Experience with user research theory and methods
Ability to create interactive prototypes based on existing user journeys
Familiar with current interaction design concepts, and good understanding of design systems
Experience using Sketch, Adobe XD, Figma, or similar software
An inquisitive mind
A passion for every component of the user experience
Attention to detail and concern for accuracy.
Strong time management skills
Excellent organization skills (email, task management, follow-up)
Strong written and verbal communication skills
Self-motivated and able to work collaboratively and independently, delivering on assigned tasks and responsibilities.


About The Design Team

The design team at G2 is committed to providing our users and customers with intuitive experiences. We strive to design, test, and iterate on our products, as well as discover new opportunities to improve our platform. On our design team you will work with UI/UX professionals as well as business owners to drive strategy and direction to deliver a marketplace vision. Additionally, you will work with product managers, marketers, and engineers to drive the planning, testing and delivery of new features, executing on the product roadmap.

Why we love G2
G2 was founded to create a place where people will love to work. We strive to create meaning in work and provide more than just a job: a true calling. G2 is a place where people can be authentic and grow, find meaning and passion in work, and be motivated to succeed by a supportive group of coworkers. We pride ourselves on creating an environment where people can enjoy coming to work every day, by supporting our employees in their professional and personal lives.",https://www.linkedin.com/jobs/view/externalApply/2473851716?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fg2crowd%2Fjobs%2F3006675%3Fgh_src%3D87affbfb1%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=cL9E&refId=70db12a5-7c54-487a-b7a2-c7ebb4f4223d&trackingId=XNpgoFrvHzZjIhiawg%2B%2BIA%3D%3D&trk=public_jobs_apply-link-offsite
Intern - UX Designer,S&C Electric Company,"Rockville, MD","Job Description

We are hiring multiple enterprise Software Engineer Interns. This position combines the best features of both a start-up and an established corporation. You’ll be working with a small team in a fast-paced environment to develop new Smart Grid application software. You won’t get lost in a crowd. Your skills will be seen and appreciated!

The ideal candidate for the UI/UX design intern position is ready to bring their skills to a driven team that is working on ground breaking technology. The UI/UX design intern will research, design and iterate upon designs for multiple desktop, web and mobile applications.

If you are passionate about design and innovative technologies, we are looking for you!

Learn more about S&C's Product Innovation Team here: https://youtu.be/qVrfxa4JM0A

What Needs To Be Done

Design a desktop and web application for controlling and monitoring assets
Create user personas that will be used to guide the design process
Conduct market research to better understand the users’ needs and expectations
Define user flows
Follow best practices and work in an Agile environment
Have a proactive approach to improving the application with every sprint
Work with software engineers to implement an intuitive user experience
Work with team members to coordinate the development of new features
Understand the overall application feature set and goals
Work with software development team members to design and distribute assets for an android application
Support design needs of the software development team
Assist in the documentation process
Create and design end-of-program presentation to be given to management
Organize and catalog all assets for the application
Participate in the brainstorming and creation of design concepts

To select this job as one of interest to you, at a minimum, you must have the following:

Must be a student in good standing at an accredited university pursuing a degree in Computer Science, Graphic/Visual Design or a related field and returning to school full-time at the end of the internship.
Minimum of 1 year of hands on experience with UI and UX design.
Experience with designing vector graphics, icon creation/management, graphic design software (ie. Photoshop, Sketch, etc.), design for either web or mobile based applications.
Strong layout/typography skills and understanding of visual hierarchy and its importance in UI/UX design.
Excellent written and oral communication skills and organizational skills.
Good understanding of color theory.
User interface and use centered design skills.

Major Physical Demands

Standing: Occasional standing for work
Lifting: Occasional lifting of controls and test equipment, less than 50 pounds
Walking: Occasional walking throughout the facility
Carrying: Occasional carrying of light objects
Pushing: Infrequent pushing of objects, possibly related to rearrangement work
Pulling: Infrequent pulling of objects, possibly related to rearrangement work
Bending: Occasional bending during access to equipment
Reaching: Infrequent reaching
Handling: Frequent handling of parts or tools
Environment: Standard office / desktop workspace",https://www.linkedin.com/jobs/view/externalApply/2492520104?url=https%3A%2F%2Fejia%2Efa%2Eus6%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%3FjobPipeline%3DLinkedIn%23%2Fjob%2F100347%2F%3Futm_medium%3Djobshare&urlHash=hH1o&refId=70db12a5-7c54-487a-b7a2-c7ebb4f4223d&trackingId=8EClfNvTJMPAr2LLWAPjKg%3D%3D&trk=public_jobs_apply-link-offsite
UX Design Intern,Masonite®,"Tampa, FL","We heard you knock!
At Masonite, we make doors that do more. Our Purpose is We help people walk through walls , and by doing this we open new doors of opportunity for customers, partners and employees.

Six Cultural Pillars represent our organization’s culture and the behaviors employees demonstrate:
Integrity Under Pressure
People Are Key
Hold the Door Open
Flexibility in Every Fiber
Results Hinge on Accountability
On the Threshold of What’s Next

Design at Masonite has been growing steadily in reach and impact across the company—from the design of systems to hardware nuts & bolts, equipment & devices to digital experience, logistics & manufacturing process to environmental impact, from physical retail to e-commerce and more—all while creating and cultivating experiences that touch Masonite customers everywhere, every day. Masonite design teams include every flavor of the design discipline, including UX, UI, visual, industrial, interaction, illustration, animation, brand, and marketing design roles—as well as design technologists, ethnographic researchers, UX writers, and more. Check out masonite.design, to learn more and come build the future with us.

As a UX Design Intern, you will collaborate with a team that defines and designs user experience across products and services and input into the design of experiences, interfaces, systems, as well as user interaction, visual, and communication/engagement design.

Responsibilities
Design thoughtful, beautiful, and useful product and service experiences in a team environment
Create user-centered designs by considering market analysis, customer feedback, business metrics, and usability insights
Use business requirements, along with user and market research to assist in developing scenarios, use cases, and high-level requirements
Develop conceptual user experience journey maps
Develop conceptual wireframes, visual mockups, and prototypes
Work with stakeholders to plan projects for effective delivery while maintaining high standards for design
Be a passionate and effective advocate for design with non-design audiences


Essential Qualifications
Six-month internship and/or project experience in design
Experience working in a collaborative team environment to deliver high-quality design solutions
Experience in a variety of design and prototyping tools

Desired Qualifications
Experience with consumer brand experience design and an understanding of storytelling
Visual design expertise demonstrated through mockups and style guides
Additional design skills in related fields, including filmmaking, animation, motion design, and prototyping
Ability to extract complex concepts and quickly turn around detailed flows and mock-ups reflecting a range of options
Ability to proficiently present design solutions to stakeholders in design, engineering and product management
Ability to drive the design review cycle and close on design requirements independently
Able to use best practices for mobile and web-based information architecture and design, as well as knowledge of usability principles and techniques
Excellent communication, presentation, and interpersonal skills
A portfolio demonstrating past work experience and school projects

Education
Pursuing a bachelor’s degree in computer science, human-centered interaction, design, statistics, psychology, human studies or a related field
Juniors and Senior level students. Seniors should have at least a semester or a quarter left out of their studies
Open to extraordinary!",https://www.linkedin.com/jobs/view/externalApply/2294487252?url=https%3A%2F%2Fmasonite%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2Fmasonite_careers%2Fjob%2FTampa-FL%2FUX-Design-Intern_R-118533&urlHash=jv4T&refId=70db12a5-7c54-487a-b7a2-c7ebb4f4223d&trackingId=n7ZU0eJVi%2F6SaVXN6Kku5w%3D%3D&trk=public_jobs_apply-link-offsite
UI/UX Intern,Treatspace,"Pittsburgh, PA","About Treatspace

Treatspace is a SaaS-based healthcare platform that is disrupting and improving every day, critical healthcare processes that no longer work in a rapidly changing regulatory and reimbursement landscape. Our innovations help practices solve patient access and acquisition challenges. Treatspace received the Global Action Challenge Award in Nashville, Tennessee in 2015, competing against hundreds of other healthcare companies nationally and is one of the Top 5 Startups named by the Pittsburgh Technology Council Tech 50 Awards. We have also raised several million dollars of venture capital fund

How you will contribute:

You will be working closely with the engineering and product development team to own the product design lifecycle from end to end. You will begin by gaining a deep understanding of our users through research and behavior analysis. As a fast-growing company, we are constantly building new products, features, and tools that require forward-thinking designers to help us remain industry leaders. You will work to create wireframes, beautiful icons, and layouts for desktop and mobile responsive sites.

Skills you’ll bring:
Experience or interest designing and shipping web-based products and interfaces
Strong experience working from flows and wireframes through to the final product
UX and UI experience
Experience working with a SaaS product
Designing wireframes and mock-ups of new features
Collaborating with team members during design reviews to refine the user experience
Working with software engineers to ensure consistency between design and implementation.
Propose solutions to solve design/user experience challenges
Writing clean, concise and descriptive documentation of your features
Why you're important to us:

This role will impact our organization by creating beautiful designs for our products while continually improving our overall aesthetic. You will work in a fast-paced environment where continuous innovation is the bar and high attention to detail is a must have. The ability to manage multiple, competing priorities simultaneously will be the key to success in this role.

What You'll Need:
Currently enrolled in or recently graduated from a Bachelor's Degree
Knowledge of UI/UX best practices and trends
Portfolio of UI/UX related work
Powered by JazzHR

HM0c7qbeBM",https://www.linkedin.com/jobs/view/externalApply/2462829530?url=http%3A%2F%2Fjobs%2Etreatspace%2Ecom%2Fapply%2FHM0c7qbeBM%2FUIUX-Intern%3Fsource%3DLILI%23HM0c7qbeBM&urlHash=OIhK&refId=70db12a5-7c54-487a-b7a2-c7ebb4f4223d&trackingId=V02xVLsgO8Pr9M2jYYalNQ%3D%3D&trk=public_jobs_apply-link-offsite
Virtual UX/UI Visual Design Intern,Siemens,"Huntsville, AL","Siemens Digital Industries Software, Electronic Board Systems

Virtual UX/UI Visual Design Intern

The Electronic Board Systems (EBS) unit delivers solutions for electronic systems design and simulation used by global companies in addressing their challenges of increasing product, process, and organizational complexity as electronics content is expanding everywhere. EBS is embarking on its next generation UX initiative and is seeking interns to assist in near term project milestones. For the qualified candidate, this is a great opportunity to gain real world experience in developing her/his future career prospects.

Responsibilities
Create UI elements and illustrations that simplify complex concepts into user-friendly and engaging visualizations and experiences for Desktop Enterprise level software (most important)
Recreate visuals/illustrations from existing designs
Familiar with current interaction design concepts, and good understanding of design systems
Work closely alongside a UX Designer to test proposed designs at concept, medium, and high fidelity/prototype phases
Support the build interactive prototypes


Must-Have Qualifications:
Currently pursuing a bachelor's degree in one or more of the following fields: Visual Communication, Interaction Design, Human Factors Engineering, Graphic Design, UX Design, UI Design, Product Design.
Available design portfolio (e.g., study plans, reports, personas)
Familiarity with human-centric approach to designing products
Strong cross-functional collaboration and communication skills
Fluency in contemporary design
Enthusiastic and eager to learn
Knowledge of one or more of the following Adobe Illustrator (Preferred), Adobe XD (Preferred), Adobe Photoshop, Sketch, Figma, Zeplin, Motion design / animation a plus


Organization: Digital Industries

Company: Siemens Industry Software Inc.

Experience Level: Student (Not Yet Graduated)

Job Type: Full-time

Equal Employment Opportunity Statement
Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability unrelated to ability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, order of protection status, protected veteran or military status, or an unfavorable discharge from military service, and other categories protected by federal, state or local law.

EEO is the Law
Applicants and employees are protected under Federal law from discrimination. To learn more, Click here .

Pay Transparency Non-Discrimination Provision
Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision. To learn more, Click here .

California Privacy Notice
California residents have the right to receive additional notices about their personal information. To learn more, click here .

Equal Employment Opportunity Statement
Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, protected veteran or military status, and other categories protected by federal, state or local law.

EEO is the Law
Applicants and employees are protected under Federal law from discrimination. To learn more, Click here.

Pay Transparency Non-Discrimination Provision
Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision. To learn more, Click here.",https://www.linkedin.com/jobs/view/externalApply/2455882017?url=https%3A%2F%2Fjobs%2Esiemens%2Ecom%2Fjobs%2F241166%3FsourceType%3DPREMIUM_POST_SITE%26source%3DLinkedIn%28Wrap%29&urlHash=16pi&refId=70db12a5-7c54-487a-b7a2-c7ebb4f4223d&trackingId=8WmKIKzCZg3jXInEDqSyXg%3D%3D&trk=public_jobs_apply-link-offsite
