title,company,location,requirements,link
Marketing Internship - Summer 2021,Oracle,"Nashua, NH","This job code is utilized for the majority of our temporary hires. The individual is performing hourly job duties as defined under the Fair Labor Standards Act.*This is a remote/office based position which may be performed anywhere in the United States except for within the state of Colorado.**Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.*The world is changing and Oracle is looking for leaders like you to be a part of that change.We believe transformation is led by individuals with diverse backgrounds, experiences, and ways of thinking.At Oracle, we continue to push forward and innovate, not in spite of challenges, but because of them.

We're looking for motivated students who want to leave their markat one of the world's largest B2B technology companies. So, if you're looking to pursue a career in marketing - and have fun along the way - you've come to the right place.This summer, we are looking for talented individuals who want to kick-start their marketing careers in advertising, analyst relations, brand, corporate marketing, customer marketing, data science and analytics, event management, field marketing, public relations, product marketing, social/digital media... just to name a few of the marketing teams.Our mission is to help people see data in new ways, discover insights, and unlock endless possibilities.

And we can't do it without your help.Role & Responsibilities: Participate in immersive workshops to develop foundational marketing skills Engage in interactive learning activities and discussions with Oracle executives Develop marketing strategies, ideate and storyboard marketing campaigns, and/or implement activation plans Outreach and oversight of partnerships and/or sponsorships Manage and report on campaign expenses and budgets Create and manage email campaigns, webcasts, blogs, social posts, press releases, Zoom webinars and/or other pieces of digital content Track, measure and analyze engagement metrics on a variety of Oracle content to develop insights for future marketing efforts Draw insights by visualizing, mining, and synthesizing data Collaborate with key stakeholders to execute on innovative ideas Additional responsibilities may vary depending on the marketing team you are matched withQualifications: Candidates pursuing BA/BS in Business, Marketing, Communications, or similar, entering their final year of studies (in the Fall academic year preferred) Proactive self-starter capable of working both independently and in a team setting Ability to work cross-functionally and manage multiple projects simultaneously Exceptional professionalism and work ethic Strong written and oral communication skills Proficient in Microsoft Office programs Minimum 3.3 GPA preferred Web design, photography, and video/video editing skills are a plusNo visa sponsorship available for this position.Apply now to launch your career with Oracle and make your summer internship an experience to remember. #AtOracleUCan./If you are interested in working at Oracle and you have more than 2 years of professional full-time work experience (excluding internships, research and/or teaching assistant roles, and/or military experience), please apply to Oracle's experienced job openings. For information on currently open positions at Oracle, please visit/*/http://oracle.com/goto/careers/***Job:** **All Roles***Organization:** **Oracle***Title:** *Marketing Internship - Summer 2021***Location:** *United States***Requisition ID:** 2000146D","https://www.ziprecruiter.com/c/Oracle/Job/Marketing-Internship-Summer-2021/-in-Nashua,NH?jid=386f397fed682394&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Enterprise Account Based Marketing Intern,RingCentral,"Nashua, NH","Want to change the way work...works? This is your moment.

RINGCENTRAL GLIP integrates messaging with video to make conversation, collaboration and connection more meaningful than ever, no matter where or how people want to work.

At RingCentral we call our interns RingTerns because, by the end of your 10-week program, you'll know our culture inside and out. Why is that important? Our culture is what makes RingCentral unique, a place where winning together in a dynamic, highly collaborative environment is what makes us different (and, we like to think, better).

If you are interested in an internship here, chances are you have some relevant skills and are interested in working for a rapidly growing, cloud-based software and communications company. We can teach you the RingCentral-way what we can't teach, is drive and a passion to succeed.

Here are a few reasons to consider being a RingTern at RingCentral:

- YOU HAVE A COMPETITIVE EDGE AND LIKE TO WIN . Here, you'll compete for prizes with individual elevator pitches, team product challenges, off-site excursions and company events. We call it collaborative competition and it's a great way to experience the way we work.
- HYPER-GROWTH, FOR YOU AND YOUR CAREER. RingCentral is growing at an annual rate of 30%. Every year. So now is a great time to join us. It also means there are lots of interesting, real-world challenges to help us solve.
- MENTORS WHO ARE IN IT FOR YOU. Our mentors will work with you to help you grow and achieve your goals. No micro-management and no busy-work. The goal is to help you problem-solve and succeed independently.

So, join RingCentral as an intern this summer and discover what it feels like to win, together.

- EARLY INTERN APPLICATION DEADLINE: MARCH 19, 2021
- FINAL INTERN APPLICATION DEADLINE: APRIL 23, 2021
• *JOB SCOPE:**

- Develop a keen understanding of demand generation and business development.
- Partner with Product Marketing, Creative and Digital Channel leads on targeted content strategy, planning and executing multi-channel programs: emails, events, digital, direct mail etc.
- Communicate program status to key stakeholders, making sure programs are executed on time and actionable accounts/leads insights are shared on a timely basis
- Use data and industry best practices to formulate in-depth analysis, insights and interpretation to optimize programs and plays for target account
• *LEARNING SKILLS/OUTCOMES:**

- Learn essential SaaS technologies and tools including SFDC, Marketo, G-Suite, and other tools.
- End-to-end exposure to all demand generation roles and business development that will
- First-hand experience learning operations, campaign management, digital marketing, and interfacing with numerous sales stakeholders.
- Build campaigns and develop a keen understanding of enterprise marketing and how a technology marketing team is run and the kpis + metrics that drive it.
• *AVAILABILITY:**

- Full-time [10-week internship]
- Must be available to start either June 8th, 2021 or June 15th, 2021
• *ABOUT RINGCENTRAL**

RingCentral is the worldwide leader in cloud-based communications. Our software communications platform delivers phone, group chat, mobile communications, video calls, videoconference, contact center and AI-driven digital engagement. It's a powerful, global presence that allows businesses to communicate anywhere, anytime with anyone.

RingCentral is headquartered in Belmont, California and has offices around the world.

RingCentral is an equal opportunity employer that truly values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",https://www.internships.com/posting/wup_83166094122477-1115?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Marketing Intern at a TED-Featured Startup,Circle World Arts,"Nashua, NH",,https://www.linkedin.com/jobs/view/marketing-intern-at-a-ted-featured-startup-at-circle-world-arts-2493942639?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Remote Biotechnology Marketing Internship,Cultured Meat Symposium,Anywhere,,https://www.zippia.com/nashua-nh-jobs/marketing-internship-dlp/?d531b07bdef5c34c32b05d9b15915e09fb8fa221&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2021 Remote Marketing Intern,Insight Partners,"Nashua, NH","Founded in 1995, Insight Partners is a leading global venture capital and private equity firm investing in market-leading software ScaleUp companies. Some of these companies include Pluralsight, Qualtrics, Smartsheet, Alteryx, Yext, Trivago, HelloFresh, and Docusign. Insight has invested in more than 400 companies and has raised through a series of funds more than $30 billion in capital commitments. With 25 years of investment experience, our mission is to partner with enterprise-ready software companies that have proven business models and product-market fit, to accelerate growth for long term success.

Having completed 200+ portfolio led acquisitions, 100+ strategic exits, and more than 45 IPOs, Insight is the leading ScaleUp software investor. It engages in both majority and minority investments and purchases both primary and secondary shares. Insight’s focus on growth provides the financial flexibility to pursue investments such as growth equity, capital for M&A, PE buyouts take-privates, pre-IPO rounds, and recapitalizations. Insight has been recognized by several awards and rankings including the Forbes Midas List, Fortune's list of top-performing 20 funds, and the Private Equity International Awards.

Insight’s ScaleUp division, Insight Onsite, partners with Insight’s portfolio companies to build formidable software businesses. Onsite is comprised of 50+ operational experts with experience working at ScaleUp software companies, who have the shared goal to help portfolio companies define their business strategy, build their teams, and improve their operations as they scale. Onsite is organized via 6 Centers of Excellence: Talent, Product & Tech, Marketing, Sales & Customer Success, Business Development, and Strategy and M&A, to provide tailored guidance critical to scaling software businesses
• *Job Description**
• *What to expect**:

We have constructed a rich internship opportunity that will provide you with outstanding experience by working on real projects that matter. We understand that this will be a learning experience, and we will provide structure and opportunities to teach you new skills.

In this role you will be expected to assist and execute on:

- Social media management
- Visual design
- Digital event promotion and execution
- Community engagement and reporting
- Content editing and promotion
- PR & communications
• *Internship logistics**:

This paid internship will begin in a part-time capacity in early Spring, ideally as soon as possible and extend until the end of the Summer. During the school year, we will work with the candidate to determine the appropriate number of hours per week, but during the Summer a full-time schedule is expected",https://jobget.com/jobs/posting/yup_3528_22772274-1115?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Influencer Marketing Intern (TO-7EBE8),The Collegiate Lineup,"Nashua, NH",,https://us.trabajo.org/job-269-20210410-7ebe80fa31fe094b5fcd9a699de42c1a?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2021 Remote Marketing Intern,Insight Partners,Anywhere,"Founded in 1995, Insight Partners is a leading global venture capital and private equity firm investing in market-leading software ScaleUp companies. Some of these companies include Pluralsight, Qualtrics, Smartsheet, Alteryx, Yext, Trivago, HelloFresh, and Docusign. Insight has invested in more than 400 companies and has raised through a series of funds more than $30 billion in capital commitments. With 25 years of investment experience, our mission is to partner with enterprise-ready software companies that have proven business models and product-market fit, to accelerate growth for long term success.
Having completed 200+ portfolio led acquisitions, 100+ strategic exits, and more than 45 IPOs, Insight is the leading ScaleUp software investor. It engages in both majority and minority investments and purchases both primary and secondary shares. Insight’s focus on growth provides the financial flexibility to pursue investments such as growth equity, capital for M&A, PE buyouts take-privates, pre-IPO rounds, and recapitalizations. Insight has been recognized by several awards and rankings including the Forbes Midas List, Fortune's list of top-performing 20 funds, and the Private Equity International Awards.
Insight’s ScaleUp division, Insight Onsite, partners with Insight’s portfolio companies to build formidable software businesses. Onsite is comprised of 50+ operational experts with experience working at ScaleUp software companies, who have the shared goal to help portfolio companies define their business strategy, build their teams, and improve their operations as they scale. Onsite is organized via 6 Centers of Excellence: Talent, Product & Tech, Marketing, Sales & Customer Success, Business Development, and Strategy and M&A, to provide tailored guidance critical to scaling software businesses
• *Job Description**
• What to expect**:
We have constructed a rich internship opportunity that will provide you with outstanding experience by working on real projects that matter. We understand that this will be a learning experience, and we will provide structure and opportunities to teach you new skills.
In this role you will be expected to assist and execute on:
• Social media management
• Visual design
• Digital event promotion and execution
• Community engagement and reporting
• Content editing and promotion
• PR & communications
• Internship logistics**:
This paid internship will begin in a part-time capacity in early Spring, ideally as soon as possible and extend until the end of the Summer. During the school year, we will work with the candidate to determine the appropriate number of hours per week, but during the Summer a full-time schedule is expected",https://www.linkedin.com/jobs/view/2021-remote-marketing-intern-at-insight-partners-2488030295?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Video Product Marketing Intern,RingCentral,"Nashua, NH","Want to change the way work...works? This is your moment.

RINGCENTRAL GLIP integrates messaging with video to make conversation, collaboration and connection more meaningful than ever, no matter where or how people want to work.
At RingCentral we call our interns RingTerns because, by the end of your 10-week program, you'll know our culture inside and out. Why is that important? Our culture is what makes RingCentral unique, a place where winning together in a dynamic, highly collaborative environment is what makes us different (and, we like to think, better).

If you are interested in an internship here, chances are you have some relevant skills and are interested in working for a rapidly growing, cloud-based software and communications company. We can teach you the RingCentral-way what we can't teach, is drive and a passion to succeed.
Here are a few reasons to consider being a RingTern at RingCentral:

- YOU HAVE A COMPETITIVE EDGE AND LIKE TO WIN . Here, you'll compete for prizes with individual elevator pitches, team product challenges, off-site excursions and company events. We call it collaborative competition and it's a great way to experience the way we work.
- HYPER-GROWTH, FOR YOU AND YOUR CAREER. RingCentral is growing at an annual rate of 30%. Every year. So now is a great time to join us. It also means there are lots of interesting, real-world challenges to help us solve.
- MENTORS WHO ARE IN IT FOR YOU. Our mentors will work with you to help you grow and achieve your goals. No micro-management and no busy-work. The goal is to help you problem-solve and succeed independently.

So, join RingCentral as an intern this summer and discover what it feels like to win, together.
FINAL INTERN APPLICATION DEADLINE: APRIL 23, 2021
JOB SCOPE:

- The MBA Intern, Freemium Growth is a key part of the RingCentral Marketing department reporting to the Senior Director of Product Marketing. You are a growth hacker that can deliver signups, traction, and success on a new and exciting free SaaS product for meeting anywhere that is perfect for the Covid world.
- This role will have a significant impact within the company and help with driving success for RingCentral Glip. He/ she will assist on executing go-to-market strategy to target Business Decision Makers and End Users. They will employ a test and learn approach to growth hack with Corporate Marketing, Product, and other teams. Examples of typical work include content marketing, app store optimization, in-app marketing, or gamification",https://b-jobz.com/us/web/jobposting/191298301?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Join the Team @ Kraft Heinz,RingCentral,"Nashua, NH",,https://b-jobz.com/us/web/jobposting/191298301?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Americas Marketing Intern,Extreme Networks,"Salem, NH","There has never been a better time to join Extreme, after three acquisitions extending our portfolio and go to market strategy, we have seen enormous opportunity and growth within the regions. Aside from being a Technology Leader in the Gartner Magic Quadrant, we also adamantly promote an internal culture that truly embraces diversity, inclusion and equality in the workplace. Having Diversity and Inclusion as part of our core values and beliefs, we’re proud to foster an environment where every Extreme employee can thrive because of their differences, not despite them.

We are looking for a collaborative and eager intern to join our Field Marketing team. As a member of the team, you’ll look for ways to refine, improve, and expand our social media and demand generation programs.

You will work with the team on the creation and implementation of new multi-channel marketing campaigns, being responsible specially for content localization and social media updates. Additionally, you’ll be involved in program reporting to track campaign progress and will spend time researching both industry and social trends.

Responsibilities
• Create and Leverage compelling and engaging content to support Social Media and Demand Generation Campaigns
• Manage Content Localization Process, including content curation, translation, editorial reformatting and publishing. Most of the work is outsourced, but we value the capacity to perform the work in case of necessity.
• Work cross functionally with Creative team to develop visuals for campaigns
• Monitor social progress using web analytics tools - review and report on success of campaigns and develop ways to improve

Skills
• English and a second language (Preferably Spanish, or Desirable Portuguese or French)
• Exceptional writing, proofreading, and editorial skills
• Results-oriented with high expectations for quality, accuracy, and attention to detail
• Must be a team player, highly organized and ability to work with tight deadlines
• Ability to work at a fast pace, handling multiple projects at once
• Full competence with Microsoft Office – Excel, PowerPoint, Word, Outlook
• Familiarity with social media, especially Twitter, LinkedIn, and Facebook
• This is a part-time, paid Internship, where you’ll be expected to dedicate 20+ hours per week in our Salem, NH office or other agreed location in the US. Flexible hours are available due to semester requirements. The ideal candidate will be a self-motivated, junior or senior in college seeking a degree in communications, marketing, or journalism with a curious and creative mind.

Are you interested? Apply now!

Extreme Networks, Inc. (EXTR) creates effortless networking experiences that enable all of us to advance. We push the boundaries of technology leveraging the powers of machine learning, artificial intelligence, analytics, and automation. Over 50,000 customers globally trust our end-to-end, cloud-driven networking solutions and rely on our top-rated services and support to accelerate their digital transformation efforts and deliver progress like never before. For more information, visit Extreme's website or follow us on Twitter, LinkedIn, and Facebook.

We encourage people from underrepresented groups to apply. Come Advance with us! In keeping with our values, no employee or applicant will face discrimination/harassment based on: race, color, ancestry, national origin, religion, age, gender, marital domestic partner status, sexual orientation, gender identity, disability status, or veteran status. Above and beyond discrimination/harassment based on “protected categories,” Extreme Networks also strives to prevent other, subtler forms of inappropriate behavior (e.g., stereotyping) from ever gaining a foothold in our organization. Whether blatant or hidden, barriers to success have no place at Extreme Networks",https://www.salary.com/job/extreme-networks/americas-marketing-intern/55225448-0993-43af-9df9-93a76e11b9ba?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
