title,company,location,requirements,link
Social Media Assistant (Internship/Part-time),iGlow Mentoring,"Nashua, NH","The Social Media Intern is a highly motivated, creative individual with experience and a passion for connecting with current and future customers. This position has the responsibility of building and engaging our community on a daily basis with the ultimate goal of turning fans into customers. An essential component is communicating the company’s brand in a positive, authentic way that will attract today’s business savvy buyers.

This position is responsible for creating a deliberate and intentional social media strategy that delivers results through organic and paid advertising. The strategy will build and grow brand awareness and create a positive online reputation. The social media funnel will cultivate leads that will convert to sales.

You must be able to work in a fast-paced environment as this event will take place in less than 90 days.

Knowledge and skills you possess...
• Ability to create relevant, original, high-quality content (for all channels and ads)
• Strategies to build and nurture a community on an accelerated timeline
• Create a regular publishing schedule and promote content through social advertising.
• Leverage the right tools to manage your content.
• Implement a content editorial calendar to manage content and plan specific and timely marketing campaigns based on an event launch date.
• Integrate all channels of marketing (social media, SEO, content marketing, email, print and digital marketing",https://www.linkedin.com/jobs/view/social-media-assistant-internship-part-time-at-iglow-mentoring-2493945157?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Intern,Lunchbox,"Nashua, NH","We are looking for a **Social Media Intern** to create, launch and publish throughout our various social channels such as TikTok, Twitter, LinkedIn, and Instagram.

Our **Social Media Intern's** responsibilities include promoting our content on social media. To be successful in this role, you should have experience with digital publishing and generating traffic and leads for new business. Please share samples of your work (portfolio or links to published articles) along with your application, specifically work with TikTok.

Ultimately, you will help us reach our target audience by delivering both useful and appealing online information about our company and products specifically through social media.
• *Responsibilities**:

- Work alongside the team to create a plan for social media strategies
- Assist in the growth of the brand by raising awareness through various social media platforms
- Monitor postings to ensure brand message is constant from the terminology used to images posted
- Aid in the daily aspects of promoting the businesses campaigns
- Interact with followers and potential customers by communicating and answering questions through the company's social pages
- Assist in implementing plans to increase followers on popular social media websites such as TikTok, Twitter, Instagram, YouTube and LinkedIn
- Help create content as dictated by the monthly editorial calendar to promote sales, blogs and products",https://www.topjob4me.com/job/social-media-intern-in-nashua-new-hampshire/6492-114824686450?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Intern (Course Credit Eligible),Childhood Cancer Society,"Nashua, NH",,https://www.jobbzee.com/job/social-media-intern-course-credit-eligible-in-nashua-new-hampshire/6490-115761818105?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Intern - Remote - ($500 per month),&always,"Nashua, NH",,https://www.jobbzee.com/job/social-media-intern-remote-500-per-month-in-nashua-new-hampshire/6490-11482159518F?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Assistant (Internship/Part-time),iGlow Mentoring,"Derry, NH","The Social Media Intern is a highly motivated, creative individual with experience and a passion for connecting with current and future customers. This position has the responsibility of building and engaging our community on a daily basis with the ultimate goal of turning fans into customers. An essential component is communicating the company’s brand in a positive, authentic way that will attract today’s business savvy buyers.

This position is responsible for creating a deliberate and intentional social media strategy that delivers results through organic and paid advertising. The strategy will build and grow brand awareness and create a positive online reputation. The social media funnel will cultivate leads that will convert to sales.

You must be able to work in a fast-paced environment as this event will take place in less than 90 days.

Knowledge and skills you possess...
• Ability to create relevant, original, high-quality content (for all channels and ads)
• Strategies to build and nurture a community on an accelerated timeline
• Create a regular publishing schedule and promote content through social advertising.
• Leverage the right tools to manage your content.
• Implement a content editorial calendar to manage content and plan specific and timely marketing campaigns based on an event launch date.
• Integrate all channels of marketing (social media, SEO, content marketing, email, print and digital marketing",https://www.linkedin.com/jobs/view/social-media-assistant-internship-part-time-at-iglow-mentoring-2493944501?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Intern,Lunchbox,"Derry, NH","We are looking for a **Social Media Intern** to create, launch and publish throughout our various social channels such as TikTok, Twitter, LinkedIn, and Instagram.

Our **Social Media Intern's** responsibilities include promoting our content on social media. To be successful in this role, you should have experience with digital publishing and generating traffic and leads for new business. Please share samples of your work (portfolio or links to published articles) along with your application, specifically work with TikTok.

Ultimately, you will help us reach our target audience by delivering both useful and appealing online information about our company and products specifically through social media.
• *Responsibilities**:

- Work alongside the team to create a plan for social media strategies
- Assist in the growth of the brand by raising awareness through various social media platforms
- Monitor postings to ensure brand message is constant from the terminology used to images posted
- Aid in the daily aspects of promoting the businesses campaigns
- Interact with followers and potential customers by communicating and answering questions through the company's social pages
- Assist in implementing plans to increase followers on popular social media websites such as TikTok, Twitter, Instagram, YouTube and LinkedIn
- Help create content as dictated by the monthly editorial calendar to promote sales, blogs and products",https://www.topjob4me.com/job/social-media-intern-in-derry-new-hampshire/6492-1148322047FF?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Intern (Course Credit Eligible),Childhood Cancer Society,"Derry, NH",,https://www.usajobcentral.com/job/social-media-intern-course-credit-eligible-in-derry-new-hampshire/5836-11576182182A?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Assistant (Internship/Part-time),iGlow Mentoring,"Lowell, MA","The Social Media Intern is a highly motivated, creative individual with experience and a passion for connecting with current and future customers. This position has the responsibility of building and engaging our community on a daily basis with the ultimate goal of turning fans into customers. An essential component is communicating the company’s brand in a positive, authentic way that will attract today’s business savvy buyers.

This position is responsible for creating a deliberate and intentional social media strategy that delivers results through organic and paid advertising. The strategy will build and grow brand awareness and create a positive online reputation. The social media funnel will cultivate leads that will convert to sales.

You must be able to work in a fast-paced environment as this event will take place in less than 90 days.

Knowledge and skills you possess...
• Ability to create relevant, original, high-quality content (for all channels and ads)
• Strategies to build and nurture a community on an accelerated timeline
• Create a regular publishing schedule and promote content through social advertising.
• Leverage the right tools to manage your content.
• Implement a content editorial calendar to manage content and plan specific and timely marketing campaigns based on an event launch date.
• Integrate all channels of marketing (social media, SEO, content marketing, email, print and digital marketing",https://www.linkedin.com/jobs/view/social-media-assistant-internship-part-time-at-iglow-mentoring-2493941640?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Communications And Social Media Intern,Healthedge,"Burlington, MA (+1 other)","Communications and Social Media Intern

, VA, USA

Burgess HR

Title: Communications and Social Media Intern

Dates: May 31st, 2020-August 20st, 2020

Location: Burlington, MA

Position Summary:

HealthEdge offers a paid internship program that lasts for 12 weeks each summer. The program allows students to learn about working in a software company and the different departments that collaborate to make our customers successful. Interns selected will work within their specific job function but also have seminars weekly that offer exposure to all departments at HealthEdge: Engineering, Marketing, Finance, IT Operation, Product Management, and Customer Support. In addition, interns will participate in workshops focused on resume writing, professional networking, interview preparation, and many more. There will also be some exciting social outings and volunteer opportunities throughout the summer. Our goal is to have our interns leave with practical and applicable experience to build out their professional portfolio, meet some great connections and have some fun along the way!

Job Responsibilities:
• Track daily notes from Executive Meetings
• Attend interviews with HR and employee committee to surface hot topics and needs
• Prep weekly communications with an emphasis on non-traditional communications (memes, tik toks, etc ndash; no memos)
• Prepare meetings and track takeaways
• Surface new ideas and technologies for maximum impact of communications

Qualifications:
• Working toward a degree in Marketing, Communications or related
• Strong attention to detail
• Excellent communication skills, both verbal and written
• Strong motivation to learn
• High EQ",https://www.internships.com/posting/bug_38965589954?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Social Media Intern - Remote - ($500 per month),&always,"Derry, NH",,https://www.jobbzee.com/job/social-media-intern-remote-500-per-month-in-derry-new-hampshire/6490-11291969247C?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
