title,company,location,requirements,link
Investment Analyst,Vanguard,"Scottsdale, AZ","For VIAS Non-profit Clients Of Moderate To High Complexity (assets Above Approximately $20 Million), The Analyst

Vanguard Institutional Advisory Services (VIAS) manages assets on a discretionary basis and serves as the Outsourced Chief Investment Officer (OCIO) for institutional clients.
Develops asset allocation analyses, portfolio construction analyses, and investment policy statements for VIAS clients, through a solid understanding of VIAS advisory methodology and modeling tools. Creates and maintains supporting documentation using internal resources and vendor software such as FactSet, Morningstar Direct, and eVestment to communicate findings and recommendations to executive management at client organizations (i.e., Chief Financial Officer, Treasurer, Chairman of Investment Committee, Board of Directors, etc.). Delivers findings to clients as part of a VIAS relationship team.
Responds to investment-related questions from existing VIAS clients. Travels with VIAS senior investment consultants to conduct client meetings, as part of a VIAS relationship team.
Provides ad hoc investment analytical support to VIAS senior investment consultants and salespeople in response to requests from clients and prospects. Ensures accuracy of quarterly client performance reporting, supports ad-hoc client performance report requests, and researches/resolves discrepancies. Flawlessly handles trade execution for VIAS clients.

In General
Researches client needs and provides internal partners and clients with asset allocation, portfolio construction, and investment analyses. Develops supporting documentation and meets with clients to deliver findings and recommendations.
Collaborates with internal investment, finance, and sales partners to respond to investment-related questions or requests from clients and prospects. Travels with internal partners to provide investment expertise and represent Vanguard at client meetings.
Maintains and produces quarterly client summaries, dashboards, and other reports. Ensures reporting accuracy by researching and resolving discrepancies.
Serves as a department expert on data systems and analytical tools.
Maintains an in-depth understanding of capital markets, asset management, and the Financial Services industry, as well as a deep awareness of competitors and the performance of Vanguard and non-Vanguard funds. Contributes subject matter expertise to Vanguard's external publications.
Guides and mentors junior level crew to improve their investment acumen.
Participates in special projects and performs other duties as assigned.

Qualifications
Five years experience in the Financial Services industry or client services preferred.
Undergraduate degree or equivalent combination of training and experience. Graduate degree preferred.
CFA or CFP preferred.
This job requires a Series 7 license.

Special Factors

This is considered a covered department and may be subject to greater restrictions than those set out in the policy. Prior to moving into this position you will be required to disclose all political contributions made within the last two years.

Approximately 10% travel required.

Vanguard is not offering visa sponsorship for this position.

About Vanguard

We are Vanguard. Together, we’re changing the way the world invests.

For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you.

We want to make success accessible to everyone. This is our opportunity. Let’s make it count.

Inclusion Statement

Vanguard’s continued commitment to diversity and inclusion is firmly rooted in our culture. Every decision we make to best serve our clients, crew (internally employees are referred to as crew), and communities is guided by one simple statement: “Do the right thing.”

We believe that a critical aspect of doing the right thing requires building diverse, inclusive, and highly effective teams of individuals who are as unique as the clients they serve. We empower our crew to contribute their distinct strengths to achieving Vanguard’s core purpose through our values.

When all crew members feel valued and included, our ability to collaborate and innovate is amplified, and we are united in delivering on Vanguard's core purpose.

Our core purpose: To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.",https://www.linkedin.com/jobs/view/externalApply/2492025152?url=http%3A%2F%2Fwww%2Evanguardjobs%2Ecom%2Fjob%2F12639962%2Finvestment-analyst-scottsdale-az%2F&urlHash=h3V4&refId=1cb98c07-6c3c-4079-b96e-0e8a5aa341fb&trackingId=FSYbVFI80%2Fk5xDdAJFB%2Fvg%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst,Professional Diversity Network,"Boston, MA","WELLINGTON MANAGEMENTWellington Management offers comprehensive investment management capabilities that span nearly all segments of the global capital markets. Our investment solutions, tailored to the unique return and risk objectives of institutional clients in more than 55 countries, draw on a robust body of proprietary research and a collaborative culture that encourages independent thought and healthy debate. As a private partnership, we believe our ownership structure fosters a long-term view that aligns our perspectives with those of our clients.POSITIONROLE AND RESPONSIBILITIESThe Investment Analyst will work as part of one or more product coverage teams to contribute to the broad efforts of FIPM. The primary focus of the role is to provide analytical leverage to the team as well as be a point of contact for a variety of internal constituents regarding inquiries about the investment teams and products under coverage.Responsibilities include performing analyses related to portfolio positioning, attribution and risk, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on the development of client solutions and new investment approaches.The role of an Investment Analyst requires demonstrated skills or knowledge of markets and macroeconomics in combination with a passion for fixed income investing. The individual will interact closely with both investment teams and business professionals, contributing to efforts centered on reviewing and evaluating the integrity of our fixed income approaches and driving the success of those products in the marketplace.Responsibilities include performing analyses related to portfolio positioning and attribution, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on development of client solutions and new investment approaches.QUALIFICATIONSSuccess in the role requires an interest in markets, passion for learning, and a willingness to own one's own development. A positive, collegial attitude and high level of professionalism are essential, as are creativity, initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines. We seek individuals that possess the analytical skills and ability to organize and interpret investment data to reach conclusions as well as effective verbal and written communication skills. A positive, collegial attitude and high level of professionalism are essential, as is initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines.Further, the ideal candidate will possess the following qualifications:2-5 years of relevant experience and progress towards the CFA are preferredA university degree with very strong academic credentialsWorking knowledge of macroeconomics and interest in fixed income marketsStrong technical skills and mastery of MS ExcelDemonstrated analytical skills including the ability to organize and synthesize data to reach conclusionsSolid judgment, intellectual curiosity, and willingness to take a differentiated perspectiveAttention to detail combined with a solutions-oriented mindsetAbility to write clearly and succinctly in a variety of communication settingsArticulate with an interest in developing presentation skillsAbility to work both independently and in collaboration with a global teamCreativity, thoroughness, attention to detail, and ability to prioritizeGrace under pressure with an ability to adapt to get things doneSKILLSJOB TITLEInvestment AnalystLOCATION280 CongressAs an equal opportunity employer, Wellington Management ensures that all qualified applicants will receive equal consideration for employment without regard to race, color, sex, sexual orientation, gender identity, gender expression, religion, creed, national origin, age, ancestry, disability (physical or mental), medical condition, citizenship, marital status, pregnancy, veteran or military status, genetic information or any other characteristic protected by applicable law. If you are a candidate with a disability, or are assisting a candidate with a disability, and require an accommodation to apply for one of our jobs, please email us at GMCANINQ@wellington.com.VEVRAA Federal ContractorWe request Priority Protected Veteran & Disabled ReferralsIf you have any problems accessing or using our site, please email us at Wellington@icareerhelp.com.All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, religion, national origin, age, ancestry, disability, citizenship, marital status, veteran status, genetic information, or any other characteristic protected by law. As an equal opportunity employer, Wellington Management Company LLP is committed to a diverse workforce. In order to ensure reasonable accommodation for individuals protected by Section 503 of the Rehabilitation Act of 1973, the Vietnam Veterans' Readjustment Act of 1974, and Title I of the Americans with Disabilities Act of 1990, applicants that require accommodation in the job application process may email us at Wellington@icareerhelp.com.As an equal employment opportunity employer, we make decisions based upon our business needs, without regard to race, color, sex, sexual orientation, religion, national origin, age, ancestry, disability, citizenship, marital or domestic partner status, veteran status, genetic information, or any other characteristic, status or class protected by applicable law.PDN-93060f54-e490-43ff-9b6a-5f91cf8d98f3",https://www.linkedin.com/jobs/view/externalApply/2498514997?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D475%26rx_jobId%3D4204674%26rx_url%3Dhttps%253A%252F%252Fwww%2Eprodivnet%2Ecom%252Fjob%252Finvestment-analyst-boston-massachusetts-4204674%253Futm_source%253DRecruitics%2526utm_medium%253Djobboard%2526utm_campaign%253DEnterprise%2526utm_campaign%253Dlinkedin%2526utm_medium%253Dpost%2526utm_source%253Dlinkedin%2526rx_medium%253Dpost%2526rx_paid%253D0%2526rx_r%253Dnone%2526rx_source%253Dlinkedin%2526rx_ts%253D20210410T151818Z&urlHash=sKXl&refId=1cb98c07-6c3c-4079-b96e-0e8a5aa341fb&trackingId=Z9cgIPWHgAf7C4qhD1KJMQ%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst (June/July Class),Cambridge Associates,"Boston, MA","Location of position:       Boston, MA 
Start date:              June or July 2021 
Required for Application:   Resume, Cover Letter, and Unofficial Transcript


Investment Analyst Program:

Investment Analysts (IAs) collaborate with Investment Directors to provide investment and capital markets research, analysis and advice to our clients. The position involves quantitative analysis, as well as a strong qualitative component as IAs work to describe market conditions and relay investment recommendations to clients in written reports. In this role, IAs will gain broad exposure to asset classes and investment strategies, while being exposed to clients and deepening their investment knowledge. 

Investment Analysts participate in a two-year program with strong performers receiving promotions with the option to stay for an additional one to two years. Beyond that, strong performers interested in continuing their career at Cambridge Associates are encouraged to apply for the Associate Investment Director role.

A Typical Day as an Investment Analyst:

Work as part of an investment team in one of CA’s 3 practice areas alongside Investment Directors and co-IAs to assess investment managers’ portfolios and support client requests and questions
Direct responsibility for 8 to 12 clients
Gather and evaluate historical asset allocation, spending and performance data
Prepare exhibits and other presentation documentation

We Offer:

Comprehensive training program, structured mentorship, and continuing education opportunities including support for the CFA, CAIA, and other professional designations
Team-based work structure, which supports an environment where immediate contributions can be made and ongoing learning is encouraged and fostered through interactions with experienced industry professionals
Ability to attend meetings with clients and top-tier investment managers; broad exposure to asset classes
Opportunity to join peer-led auxiliary teams to strengthen project management and leadership experience

Requirements:

Bachelor’s degree (all majors) with a record of high academic achievement, 3.3 GPA minimum
Excellent written and verbal communication skills, strong attention to detail, ability to prioritize and work on multiple projects
Demonstrated interest in investments and the capital markets or related quantitative fields
Must be eligbile to work in the US without sponsorship or restriction now and in the future


CAMBRIDGE ASSOCIATES’ ROLE IN THE INVESTMENT INDUSTRY

Cambridge Associates is a leading global investment firm and aims to help endowments & foundations, pension plans, and high net worth private clients implement and manage custom investment portfolios that generate outperformance and enable them to maximize their impact on the world. We deliver a range of portfolio management services, including outsourced CIO, non-discretionary portfolio management, investment staff extension, and asset class mandates.

Our work helps our clients do good in the world, and we embrace the opportunity to contribute to their positive impact.


Cambridge Associates is an equal opportunity employer. Diversity and inclusion are essential elements of our culture. We are committed to fostering an environment where individual perspectives, backgrounds, and life experiences make the firm a great place to work and result in a more satisfying client experience.",https://www.linkedin.com/jobs/view/externalApply/2496948162?url=https%3A%2F%2Fphe%2Etbe%2Etaleo%2Enet%2Fphe02%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DCAMBRIDGEASSOCIATES%26cws%3D47%26rid%3D7854%26source%3DLinkedIn%26src%3DLinkedIn%26gns%3DLinkedIn&urlHash=z8Eh&refId=1cb98c07-6c3c-4079-b96e-0e8a5aa341fb&trackingId=kLiXWwU%2FGS%2BC6t4bdXgIaw%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst,Wellington Management,"Boston, MA","WELLINGTON MANAGEMENT

Wellington Management offers comprehensive investment management capabilities that span nearly all segments of the global capital markets. Our investment solutions, tailored to the unique return and risk objectives of institutional clients in more than 55 countries, draw on a robust body of proprietary research and a collaborative culture that encourages independent thought and healthy debate. As a private partnership, we believe our ownership structure fosters a long-term view that aligns our perspectives with those of our clients.

POSITION

Role And Responsibilities

The Investment Analyst will work as part of one or more product coverage teams to contribute to the broad efforts of FIPM. The primary focus of the role is to provide analytical leverage to the team as well as be a point of contact for a variety of internal constituents regarding inquiries about the investment teams and products under coverage.

Responsibilities include performing analyses related to portfolio positioning, attribution and risk, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on the development of client solutions and new investment approaches.

The role of an Investment Analyst requires demonstrated skills or knowledge of markets and macroeconomics in combination with a passion for fixed income investing. The individual will interact closely with both investment teams and business professionals, contributing to efforts centered on reviewing and evaluating the integrity of our fixed income approaches and driving the success of those products in the marketplace.

Responsibilities include performing analyses related to portfolio positioning and attribution, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on development of client solutions and new investment approaches.

Qualifications

Success in the role requires an interest in markets, passion for learning, and a willingness to own one’s own development. A positive, collegial attitude and high level of professionalism are essential, as are creativity, initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines. We seek individuals that possess the analytical skills and ability to organize and interpret investment data to reach conclusions as well as effective verbal and written communication skills. A positive, collegial attitude and high level of professionalism are essential, as is initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines.

Further, The Ideal Candidate Will Possess The Following Qualifications
2-5 years of relevant experience and progress towards the CFA are preferred
A university degree with very strong academic credentials
Working knowledge of macroeconomics and interest in fixed income markets
Strong technical skills and mastery of MS Excel
Demonstrated analytical skills including the ability to organize and synthesize data to reach conclusions
Solid judgment, intellectual curiosity, and willingness to take a differentiated perspective
Attention to detail combined with a solutions-oriented mindset
Ability to write clearly and succinctly in a variety of communication settings
Articulate with an interest in developing presentation skills
Ability to work both independently and in collaboration with a global team
Creativity, thoroughness, attention to detail, and ability to prioritize
Grace under pressure with an ability to adapt to get things done

Skills

JOB TITLE
Investment Analyst
LOCATION
280 Congress
As an equal opportunity employer, Wellington Management ensures that all qualified applicants will receive equal consideration for employment without regard to r ace, color, sex, sexual orientation, gender identity, gender expression, religion, creed, national origin, age, ancestry, disability (physical or mental), medical condition, citizenship, marital status, pregnancy, veteran or military status, genetic information or any other characteristic protected by applicable law. If you are a candidate with a disability, or are assisting a candidate with a disability, and require an accommodation to apply for one of our jobs, please email us at GMCANINQ@wellington.com .",https://www.linkedin.com/jobs/view/externalApply/2450982775?url=https%3A%2F%2Fwellington%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FBoston%2FInvestment-Analyst_R83135-1&urlHash=hNFP&refId=1cb98c07-6c3c-4079-b96e-0e8a5aa341fb&trackingId=ewkHxql6qLY28WLDoJh47g%3D%3D&trk=public_jobs_apply-link-offsite
INVESTMENT ANALYST,"Loomis, Sayles & Company","Boston, MA","Position Description

The Relative Return team has an immediate opening for an investment analyst. The investment analyst directly supports senior investment analysts and portfolio managers. The main responsibilities of the position include: assembling and reviewing data, developing tools, conducting statistical analysis, and performing ad hoc and recurring analysis.

Job Responsibilities
Work as an integral member of the product team (primarily with the senior investment analysts) on market and portfolio related analysis
Develop and enhance real time monitors/tools to track various portfolio positions
Assist with preparation of materials for various sector team, product team, client meetings, and marketplace information requests
Carry out special projects on an as needed basis
Interact with various groups within the firm as an information gathering liaison",https://www.linkedin.com/jobs/view/externalApply/2486019662?url=https%3A%2F%2Fcareers%2Epeopleclick%2Ecom%2Fcareerscp%2Fclient_loomissayles%2Fexternal%2Fen-us%2Fgateway%2Edo%3FjobPostId%3D2145%26functionName%3DviewFromLink%26localeCode%3Den-US&urlHash=LeGp&refId=1cb98c07-6c3c-4079-b96e-0e8a5aa341fb&trackingId=TzREHDgJmoTkg6OJJ%2FPMFA%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst,CBRE,"Boston, MA","Job Summary

The purpose of this position is to support the Investment Management function on the due diligence of transactions; preparation of investment recommendations, asset management of investments; and provide input for client reporting: requires direct guidance.

Essential Duties And Responsibilities

Supports preliminary screen of investment opportunities, supports the production financial models for investments, supports production of investment summaries.

Supports the due diligence and underwriting of investments including production of financial analysis, market analysis, property analysis and production of Investment Committee recommendations

Monitors investments, meets managers regularly, updates fund model for review, produces IOC pack

Works with Portfolio Management to provide support to quarterly reporting and response to ad hoc to investment queries

Liaise with managers to collect Yardi questionnaire data and ensures input correctly into system.

Performs other duties as assigned.

Supervisory Responsibilities

No formal supervisory responsibilities in this position.

EDUCATION And EXPERIENCE

Undergraduate degree, preferably in accounting, finance or economics required; postgraduate qualification preferred.

A range of 0-2 years relevant industry experience that has been acquired in a real estate investment or real estate investment management environment.

Completed or progressing towards CFA/RICS.

Communication Skills

Excellent written and verbal communication skills. Demonstrate organizational and analytical skills. Ability to provide efficient, timely, reliable and courteous service to customers. Ability to effectively present information.

FINANCIAL KNOWLEDGE

Some technical knowledge and excellent financial modeling skills.

REASONING ABILITY

Effective problem solving skills

OTHER SKILLS And ABILITIES

Applies guidelines to majority of assigned work. Handles problems and deviations in accordance with instructions policies, previous trainings and accepted practices.

Excellent IT skills; strong analytical and Microsoft Excel modeling skills - prior experience with commercial real estate discounted cash flow modeling.

Excellent oral and written English language skills

SCOPE OF RESPONSIBILITY

Decisions made with understanding of procedures and company policies to achieve set results and deadlines.",https://www.linkedin.com/jobs/view/externalApply/2459053272?url=https%3A%2F%2Fcbre%2Ereferrals%2Eselectminds%2Ecom%2Fjobs%2Finvestment-analyst-84726%3Fsrc%3DJB-10160&urlHash=z_sB&refId=1cb98c07-6c3c-4079-b96e-0e8a5aa341fb&trackingId=WgOeEzW2FGXoGfeo15ZTjA%3D%3D&trk=public_jobs_apply-link-offsite
"INVESTMENT ANALYST, Endowment Investment Office",Boston University,"Boston, MA","Boston University is a private urban research institution, established in 1869, offering a breadth of undergraduate, graduate, and professional programs through its 17 Schools and Colleges and more than 250 fields of study.

The $2.5 billion Boston University Endowment Portfolio is diversified across a variety of asset classes and investment strategies. The Boston University Investment Office, formed in 2007, along with the Investment Committee of the University's Board of Trustees, is charged with managing the University's pooled long-term endowment assets for the current and future support of operations and with preserving the long-term purchasing power of the Endowment. It currently supports approximately 3% of the University's operating budget. For additional information about the University, please refer to www.bu.edu.

The University seeks to add a thoughtful and bright professional to join its seven-person investment team in the role of Investment Analyst. Investment Analysts play an integral role on the team and are involved in portfolio analyses, investment manager due diligence, and manager monitoring efforts. The position offers an opportunity to have broad exposure to all asset classes and develop investment expertise in an intellectually demanding and collaborative environment. The Investment Analyst will report to the Chief Investment Officer and will work closely with all investment team members.

Responsibilities

The Investment Analyst’s primary responsibilities will include: (a) analyzing investment performance and portfolio positioning, (b) assisting the Directors with due diligence of prospective fund investments, ongoing monitoring of existing investments, preparation of Investment Committee materials and investment recommendations, and (c) participating in asset allocation discussions on a weekly basis. Additionally, the Investment Analysts are responsible for maintaining relationships with investment analytics vendors.

The Investment Analyst will assist in enhancing and maintaining the Investment Office’s models and analytical tools used to monitor portfolio performance, exposures, cash flow, and liquidity. Other duties include assisting in portfolio operations, administration, and performance reporting, as well as in the maintenance of a database of key information for current and existing managers and a comments-sharing database for relevant manager updates. Additional responsibilities and special projects will be assigned as necessary.

Additional Responsibilities
Prepare Investment Committee materials and present portfolio updates and recommendations to the Investment Committee
Support Directors and Associate by assisting with rigorous due diligence and ongoing monitoring of investment portfolio and managers
Use Bloomberg and other tools to prepare portfolio reports for the team
Manage portfolio exposures on a look-through basis and highlight material changes to the Chief Investment Officer
Build relationships with analytics providers and prospective investment managers
Prepare private equity valuation reports for quarterly dissemination
Manage private model cash flow forecasts on an annual basis
Assist with daily reconciliation of futures margin, capital calls, and distributions on an as-needed basis


A cover letter must be submitted in order to be considered.

Required Skills
Mastery of Excel and PowerPoint
Ability to gather, organize and analyze data using complex MS Excel formulas
Highly organized and able to multi‐task
Ability to work independently and collaboratively to produce highly accurate work product
Knowledge of financial markets, investment portfolio strategy, and endowment management
Intellectually curious and inquisitive
Strong analytical, writing, and presentation skills, as well as the ability to concisely articulate oneself
Strong interpersonal skills and ability to interact with investment managers and investment committees
Familiarity with Bloomberg
Bachelor's degree with demonstrated strong academic performance required; preference for Finance, Economics or quantitative field and/or its equivalent, but not required
2 - 4 years of investment‐related work experience; preference for investment banking, consulting, or endowment and foundation experience
This is a pre‐MBA position (no MBAs please)


Compensation: Competitive

Start Date: Flexible

Location: Boston, MA

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. We are a VEVRAA Federal Contractor.",https://www.linkedin.com/jobs/view/externalApply/2390843457?url=https%3A%2F%2Fbu%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D306579%26company_id%3D15509%26version%3D1%26jobBoardId%3D3345&urlHash=P2qR&refId=1cb98c07-6c3c-4079-b96e-0e8a5aa341fb&trackingId=rrPH%2FZKHUCgB%2BjbGe2d9%2BQ%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst,C2R Ventures,"Boston, MA","Fast-paced Quant Trading firm with a superior reputation in Boston is seeking an Investment Analyst for their Post-Trade Analytics team to educate internal/external stakeholders on investment perfomance and make recommendations on future processes. Clear runaway to unlimited growth potential collaborating with elite professionals and the continued desire to learn.


Qualifications

Bachelor's degree in Finance, Economic or a Technology related field
Experience with SQL and MATLAB, Python, R or a similar language
Exposure to large financial datasets and real-time data
Passionate about data, data quality and robust quantitative analysis
Client-facing interpersonal skills
 ",https://www.linkedin.com/jobs/view/externalApply/2390843457?url=https%3A%2F%2Fbu%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D306579%26company_id%3D15509%26version%3D1%26jobBoardId%3D3345&urlHash=P2qR&refId=1cb98c07-6c3c-4079-b96e-0e8a5aa341fb&trackingId=rrPH%2FZKHUCgB%2BjbGe2d9%2BQ%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst - Private Equity & Venture Capital,Rosecliff,"New York, NY","Rosecliff is a diversified investment management firm based in New York City. We seek to create positive economic impact and long-term value for our investors and portfolio companies. The firm has over $800 million in assets under management and operates multiple investment strategies, including credit, venture capital, and private equity. More information can be found at www.rosecliff.com.

Analysts will work closely with the investment team on sourcing, due diligence and executing investment opportunities. This is an opportunity for an extraordinary performer who has already mastered financial analytical and research skills through professional experience at a top tier Investment Bank, Hedge Fund, Private Equity Fund, and/or Venture Capital Fund. The ideal candidate should possess the following skill sets: resourcefulness and thoroughness in conducting complex financial analysis and investment opportunity research. The candidate will also be ability to work independently, and possess strong written, presentation and oral communication skills.

Job Description:
• Conduct market research on investment opportunities, industries, and asset classes
• Review and perform complex investment memos on new and existing investment targets
• Perform all pertinent financial analyses, including discounted cash flow, comparable, and precedent transactions
• Prepare due diligence packs for the investment team, providing relevant, informative analytics and background research
• Prepare written summaries and presentation materials
• Build detailed operating models on prospective deals
• Draft information memorandum and marketing materials for the investment team
• Provide overall support to investment team

Qualifications:
· 1-3 years of experience at a top tier investment bank, hedge fund, private equity fund and/or venture capital fund.
· An excellent academic record with graduation from a top tier business school
· Strong verbal and written communication skills
· A desire to work in a team environment with dynamic roles
· Strong knowledge of accounting, finance, and valuations is required
· Self-motivation to find solutions independently, and humility to acknowledge limits and uncertainties
· Sincere commitment to personal and professional development
· Excellent attention to detail
· Intellectual curiosity
· Good judgment",https://www.linkedin.com/jobs/view/externalApply/2390843457?url=https%3A%2F%2Fbu%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D306579%26company_id%3D15509%26version%3D1%26jobBoardId%3D3345&urlHash=P2qR&refId=1cb98c07-6c3c-4079-b96e-0e8a5aa341fb&trackingId=rrPH%2FZKHUCgB%2BjbGe2d9%2BQ%3D%3D&trk=public_jobs_apply-link-offsite
Investment Analyst,Cypress Creek Partners,"Austin, TX","About Cypress Creek
Cypress Creek Partners, headquartered in Austin, Texas, is a next generation private markets investment platform with over $500 million of assets under management. Cypress Creek seeks to provide its investors with superior cross-cycle, risk-adjusted returns. The Founding Partners have successfully invested over $5 billion across private equity and real asset strategies throughout their careers. Our vision is to become the institutional investor of choice for clients seeking differentiated access to the full spectrum of global private markets.

With strong financial backing from prominent institutional investors, the Cypress Creek team continues to evolve the ‘endowment model’ by implementing the partner-centric approach they refined over their careers – building strategic partnerships with new and developing managers in the underserved lower/middle markets. Cypress Creek investors will benefit from our proven approach to asset and manager selection, use of cost-efficient structures, liquidity-minded portfolio construction, and best-in-class operational framework and processes.

Executive Summary – Role
The Investment Analyst role represents the opportunity for an individual to become a key contributor at a young and fast-growing investment firm. Cypress Creek offers the Investment Analyst an opportunity to learn all aspects of investing across multiple asset classes with an emphasis on private markets (funds, co-investments and direct investments).  

To be successful in this role, he/she will:
1)      Exhibit a strong attention to detail and organizational skills
2)      Be a self-starter that can manage multiple tasks effectively
3)      Enjoy working in a collaborative environment
4)      Possess intellectual curiosity driven by a long-term interest in investment management as a career

The Investment Analyst reports directly to one of the Founding Partners and works closely with members of the Investment and Operations teams. The role is based at Cypress Creek’s central Austin office. 

Primary Duties and Responsibilities
·        Assist in managing the pipeline of new investments, including documentation
·        Monitor and analyze existing portfolio investments versus benchmarks and underwriting expectations
·        Manage, modify and maintain portfolio risk, liquidity, and valuation models
·        Build and update financial models for new and existing investment opportunities
·        Perform proprietary research on investments, sectors and asset classes to drive portfolio construction and investment decisions
·        Assist in the preparation of Investment Committee documents
·        Help lead diligence-related interviews and other analysis
·        Collaborate with the Operations team
·        Actively engage with prospective and current investment partners
·        Help prepare materials for quarterly and ad hoc fund board of director meetings
·        Undertake special projects, as requested
 Qualifications
Attributes/Skills:
·        High level of integrity and professionalism
·        Strong willingness and desire to learn and grow
·        Knowledge of U.S. generally accepted accounting principles
·        Advanced valuation and transaction modeling skills for private and public securities
·        Superior orientation to detail and accuracy
·        Robust and demonstrated quantitative and critical thinking skills
·        Excellent organizational and multi-tasking capabilities
·        Resourcefulness and ability to work effectively under pressure
·        Demonstrated ability to be proactive and self-motivated
·        Strong interpersonal skills and ability to work well in a team-oriented, collaborative environment
·        Effective listening, verbal, and written communication skills
·        High degree of proficiency with the Microsoft Suite of products, particularly Excel and Word
·        Prior experience with Backstop is a plus

Education/Experience:
·        Undergraduate degree in Finance, Accounting, or a related field with a strong track record of academic excellence
·        One to three years of relevant work experience, ideally at an institutional-caliber investment management firm (including an investment bank, endowment/foundation, pension fund, family office, fund-of-funds, hedge fund, or private equity fund).
·        CFA designation or a desire to pursue one is a plus

Compensation and Benefits
This is a full-time, exempt position. Compensation will be commensurate with related work experience and education. Cypress Creek offers above-market benefits, including medical, dental, and vision benefits and a 401(k) retirement plan.",https://www.linkedin.com/jobs/view/externalApply/2390843457?url=https%3A%2F%2Fbu%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D306579%26company_id%3D15509%26version%3D1%26jobBoardId%3D3345&urlHash=P2qR&refId=1cb98c07-6c3c-4079-b96e-0e8a5aa341fb&trackingId=rrPH%2FZKHUCgB%2BjbGe2d9%2BQ%3D%3D&trk=public_jobs_apply-link-offsite
