title,company,location,requirements,link
Data Engineering Intern,Healthedge,"Burlington, MA (+1 other)","Title: Data Engineering Intern

Dates: May 31st, 2021-August 20th, 2021

Location: Burlington, MA/virtual

Position Summary:

HealthEdge offers a paid internship program that lasts for 12 weeks each summer. The program allows students to learn about working in a software company and the different departments that collaborate to make our customers successful. Interns selected will work within their specific job function but also have seminars weekly that offer exposure to all departments at HealthEdge: Engineering, Marketing, Finance, IT Operation, Product Management, and Customer Support. In addition, interns will participate in workshops focused on resume writing, professional networking, interview preparation, and many more. There will also be some exciting social outings and volunteer opportunities throughout the summer. Our goal is to have our interns leave with practical and applicable experience to build out their professional portfolio, meet some great connections and have some fun along the way!

Job Responsibilities:
• Assist the team with building modern data visualizations.
• Support multi-tenant Data Lakes.
• Optimize Data Pipelines for efficiency across multiple ingest pipes.
• Learn core capabilities to Ingestion, Egress and data transformation.
• Participate in additional transformational architecture initiatives.

Qualifications:
• Experience with Apache Open Source technologies such as Kafka, Spark SQL, NiFi, Sqoop, Scala, Java.
• Self-starter who is very organized.
• Go-getter, Quick learner, Inquisitive.
• Detail-oriented .
• Excellent written and verbal communication","https://www.glassdoor.com/job-listing/data-engineering-intern-healthedge-JV_IC1154543_KO0,23_KE24,34.htm?jl=4023188830&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Software Engineer (Data Engineering) Intern,Addepar,Anywhere,"Engineering is at the core of Addepar and we are looking to add the best, brightest, and most passionate software engineers to our team. If you are excited about doing the best work of your career and you enjoy the rush of shipping high quality code to production every day we’re excited to meet you! Our software engineers come from a variety of backgrounds, ranging from Silicon Valley entrepreneurs to finance tech veterans. What they have in common is tremendous talent and dedication to architecting, implementing, and shipping high quality software.

Intern Program Dates: May 24 - Aug 13, 2021

Our Engineering Teams
• Data Engineering: build systems to ingest the world’s investment data and aggregate it into a single platform.

Requirements
• Extraordinary talent in software engineering. Ability to write high quality object oriented code.
• Excellent written and verbal communication skills.
• Working knowledge of development best practices and experience working in a team.
• Ability to explore complex problems spaces objectively from multiple points of view.
• General familiarity with some of the technologies we use:
• HTTP, REST and web API best practices.
• Modern JavaScript and/or EmberJS.
• SQL, relational databases and key-value stores.
• Messaging/queuing and transaction log frameworks.
• Linux proficiency, basic shell scripting and a solid grasp of systems level programming is a plus.
• Specific knowledge of Java, Python, EmberJS and/or JavaScript are a plus.
• Specific experience in or knowledge of financial data systems is a plus.

Addepar is a wealth management platform that specializes in data aggregation, analytics and reporting for even the most complex investment portfolios. Founded in 2009 by Joe Lonsdale, who currently serves as an active Chairman of its Board of Directors and General Partner at 8VC, the company's platform aggregates portfolio, market and client data all in one place. It provides asset owners and advisors a clearer financial picture at every level, allowing them to make more informed and timely investment decisions. Addepar works with hundreds of leading financial advisors, family offices and large financial institutions that manage data for over $2 trillion of assets on the company's platform. In 2020, Addepar was named as a Forbes Fintech 50 company and honored as a member of the CB Insights Fintech 250. Addepar is headquartered in Silicon Valley and has offices in New York City and Salt Lake City. All brokerage services offered through Acervus Securities Inc., member FINRA / SIPC.

Addepar is proud to be an equal opportunity employer. We seek to bring together diverse ideas, experiences, skill sets, perspectives, backgrounds, and identities to drive innovative solutions. We commit to promoting a welcoming environment where inclusion and belonging are held as a shared responsibility.

In order to ensure the health and safety of all Addepeeps and our prospective candidates, we have instituted a virtual interview and onboarding experience",https://www.linkedin.cn/jobs/view/software-engineer-data-engineering-intern-at-addepar-2458234397?refId=a0c10635-1c93-4845-aedf-09ac77987413&trackingId=jXL285KtQFSZYc8DUm75sA%3D%3D&trk=public_jobs_job-result-card_result-card_full-click&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Data Engineering/Data Scientist Summer Intern,"Entegris, Inc.","Billerica, MA (+1 other)","Company Overview and Values:

Why work at Entegris?

Lead. Inspire. Innovate. Define Your Future.

Not everyone who works for a global company shares the same background, experiences and perspectives. We leverage the differences of our employees to bring new ideas to the table. Every employee throughout the company is encouraged to share input on projects and initiatives. Our decision making process is truly a collaborative effort as we realize there are leaders at every level of the organization. We put our values at the core of how we operate as an organization — not just when it’s convenient, but in a lasting and meaningful way. We want the time and energy you spend here to have a positive impact on your life inside and outside of the office.

Entegris is a values-driven culture and our employees rally around our core PACE values:

People

Accountability

Creativity

Excellence

The Role:

We are excited to bring eager, talented students on board and provide them with an unparalleled internship experience. The Entegris Internship Program consists of real work experience, cross-functional learning and development opportunities, and a variety of social and volunteering events.

Entegris is embarking on an Enterprise Digital Transformation initiative with the end goal being to generate new value for our customers using digital assets. A key aspect of this initiative is the development of Data Science solutions & a Data Science organization to help drive new insights. In the 1st half of 2021 we will be building out the Data Foundation and some early Data Science test cases. We will be in a position starting summer 2021 to drive additional Data Science use cases across the company.

In this role you will:

Apply Data Engineering or Data Science best practices on real-world problems to generate new value & insights for Entegris and our Customers

Project specifics will be defined prior to the intern starting and will be narrowly focused on a specific data science challenge

Traits we believe make a strong candidate:

Desired Major: Data Engineering and/or Data Science

Must be enrolled in an undergraduate program with a graduation date of December 2021 or later.

What we offer::

At Entegris we are committed to providing equal opportunity to all employees and applicants. Our policy is to recruit, hire, train, and reward employees for their individual abilities, achievements and experience without regard to race, color, religion, sexual orientation, age, national origin, disability, marital or military status",https://www.internships.com/posting/sam_1PKrKFuvwjpviywqmvwkpPmHAGEjaEuAZXOsxWJoJjLNXdi1CJSlzg?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Intern, Data Engineering, Customer Insights",Autodesk,Massachusetts,"Job Title:

Intern, Data Engineering, Customer InsightsJob Description:

Position Overview

“SQL Cleanup on Aisle 4!”

Love SQL and want to participate in taking a cutting-edge Marketing and Sales Proof of Concept to Enterprise-ready robustness?

Interested in coding in various Big Data technologies such as HIVE, Snowflake & Presto?

Autodesk is looking for enthusiastic students who are interested in Data Engineering. You'll be improving critical data processing & analytics pipelines and researching innovative ways to transform data into insights.

As a Summer 2021 Data Engineering intern, you will get to apply your knowledge in data engineering, work with the interesting data sets, and make an impact by helping our customers create a better, safer, more sustainable world.

Responsibilities
• Help define and drive execution of the data engineering roadmap
• Develop, test and deploy new data pipelines to support customer requirements and fix defects and implement enhancements
• Develop processes and techniques for practicing good data hygiene to ensure data is always up-to-date, accurate, and stored efficiently
• Apply expertise in aggregating multiple data sources to creating complex SQL queries and reusable solutions



Minimum Qualifications
• Student must be at least 18 years of age
• Student must be actively enrolled in a degree granting academic institution or accredited boot camp at the time of internship.
• Students should reside and attend university in the country where the internship is being offered
• A mix of previous internship, school project, volunteer and leadership experience is also important

Preferred Qualifications
• Pursuing a Masters or PhD in Statistics, Math, Computer Science, Information Science, Data Engineering, Analytics, Machine Learning, Physical Sciences, or a related field
• Proficiency in SQL, Python
• Knowledge in AWS, CI/CD, GIT, Jenkins
• Good communication and teamwork skills
• Strong desire to learn and experiment
• Experience with large datasets and large scale analytics

About the US Intern Program

The U.S. program runs from May through August for 12 weeks and will be remote (subject to change). All internships are paid. As an intern, you will have the opportunity to contribute to meaningful projects, be mentored by industry leaders, work alongside peers from universities all over the country and participate in tech talks and other activities designed to support your personal and professional development. US recruiting begins in the Fall and concludes end of March.

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.

Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers","https://www.glassdoor.com/job-listing/intern-data-engineering-customer-insights-autodesk-JV_KO0,41_KE42,50.htm?jl=4022691729&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Data Engineer Summer/Fall Co-Op,Autodesk,Massachusetts,,"https://www.glassdoor.com/job-listing/intern-data-engineering-customer-insights-autodesk-JV_KO0,41_KE42,50.htm?jl=4022691729&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
DATA ENGINEERING - CO-OP/INTERN,Safran Aerospace Composites,"Rochester, NH (+1 other)","Job Description

POSITION SUMMARY

Safran Aerospace Composites (SAC) is a subsidiary of Safran Aircraft Engines responsible for the manufacturing of composites parts for Safran's LEAP engine. As part of the Rochester team, you will be working on the manufacturing of 3D woven composite fan blades and fan cases for the LEAP engine. This is a unique opportunity to join a growing manufacturing business where data and information management makes the difference and is critical to success.

This position will support projects linked to data acquisition, analysis and visualization within the plant data engineering team. this position will be focused on providing the manufacturing and engineering staff the tools they need to operate as efficiently as possible.

Schedule and position cycle to be discussion, based on selected candidate's availability and SAC business needs.

All qualified applicants will receive consideration for employment without regard to age, race, color, ethnicity religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, genetic data, or other legally protected characteristics under applicable state or federal laws.

SKILLS TO BE ACQUIRED IN POSITION
• Software validation and release processes and best practices
• Configuration management skills to support the introduction of new processes into a production environment
• In-depth training in Dassault Sysems' solutions 3DExperience (PLM software) and Apriso (MES software)
• Integration, deployment, and support on 3DExperience and Apriso
• Project management, planning, budgeting

ESSENTIAL DUTIES AND RESPONSIBILITIES
• Develop, deploy, and maintain data oriented applications to support shop floor operations
• Integrate algorithms developed by the data engineering team in web applications
• Identify project opportunities with the shop floor staff
• Interact with sub-contractors working for the plan on data projects
• Participate to the definition of application development best practices
• Assist the other plants (France, Mexico) in the deployment of already existing applications
• Other duties as assigned

SCOPE AND ACCOUNTABILITES
• Comply with all established policies and procedures
• Required to comply with all OSHA and EP regulations related to these operations

REQUIRED COMPETENCIES - Education/Knowledge/Skills
• Requires minimum of 3 years of undergraduate education in Computer Science, Engineering, Mathematics, Physics, or other related technical discipline
• Programming experience or strong interest in computer programming is a must. Experience with Python, SQL, and VBA is a plus. Experience with MS SQL Server, MongoDB experience a plus.
• Strong Digital Continuity knowledge (PLM and MES software), knowledge on Dassault 3DExperience and/or Apriso is a plus.
• Ability to understand existing engineering and data processes, and to adapt and improve them thanks to Digital Continuity opportunities.
• Strong experience with Microsoft Office package (Excel, PowerPoint, Word).
• Familiarity with web application models and frameworks.
• Strong analytical and data modeling skills.
• Requires a strict attention to detail.
• Interest in learning new software and development methodologies.

PHYSICAL REQUIREMENTS

While performing the duties of this job, the employee is:
• Regularly required to sit; use hands to finger, handle, feel; talk and hear.
• the employee is frequently required to reach with hands and arms.
• The employee is regularly required to stand and walk.
• The employee must occasionally lift and/or move up to 35 pounds.
• Specific vision abilities required by this job include close vision.
• The work is preformed in a plant environment. Employee will be exposed to any number of elements but with none present to the extent of being disagreeable.

The above information on this description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.

Job Posted by ApplicantPro","https://www.ziprecruiter.com/c/Safran-Aerospace-Composites/Job/DATA-ENGINEERING-CO-OP-INTERN/-in-Rochester,NH?jid=58c63f58a2094c5a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Data Engineering Co-op,Safran Aerospace Composites,"Rochester, NH (+1 other)",,"https://www.ziprecruiter.com/c/Safran-Aerospace-Composites/Job/DATA-ENGINEERING-CO-OP-INTERN/-in-Rochester,NH?jid=58c63f58a2094c5a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Intern - Data Science,Edelman Financial Engines,"Boston, MA","At Edelman Financial Engines, we believe every hardworking American deserves to move their financial life forward, and we’re growing our team so we can help more clients every day.

Edelman Financial Engines is offering a meaningful summer intern experience, working on impactful business projects that help the firm achieve our company goals. This paid internship is an opportunity to develop and hone professional skills in a real-world setting, network with staff, leadership, and executives across the firm, and connect with a cohort of interns across the country.

As a data science intern on the Data and Analytics team, you’ll work on an individual project to dissect a key part of our business and help build a predictive model to improve our business and the customer experience. Working across the broader analytics team, you’ll be expected to build the dataset, define the model, derive insight as well as use cases for the model and work with our business partners to explain and build comfort with the model.

We are looking for someone who has data science knowledge, good communication skills and an ability to quickly learn our business to help us tackle a project where data can be used improve our customer experience. If you are a pursuing data science degree and are interested in joining an outcome-oriented data science team, this may be the opportunity for you!

Responsibilities:
• Work with large sets to derive actionable insights
• Define and build a data science model to impact the business
• Work with business partners to explain the model and build adoption
• Partner with engineering and technology partners to build deployment plan for the model
• Present findings and mechanics of models to both the data team and business partners

Requirements:
• Working towards a graduate degree in data science
• Expertise in both Python and SQL, AWS knowledge preferred
• 1-2 years of experience preferred

About Edelman Financial Engines

Since 1986, Edelman Financial Engines has been committed to always acting in the best interest of our clients. We were founded on the belief that all American investors – not just the wealthy – deserve access to personalized, comprehensive financial planning and investment advice. Today, we are America’s top independent financial planning and investment advisor, as recognized by Barron’s1, with 150+ planner offices across the country and entrusted by more than 1.2 million clients to manage more than $260 billion in assets2. Our unique approach to serving clients combines our advanced methodology and proprietary technology with the attention of a dedicated personal financial planner. Every client’s situation and goals are unique, and the powerful fusion of high-tech and high-touch allows Edelman Financial Engines to deliver the personal plan and financial confidence that everyone deserves.

For more information, visit www.EdelmanFinancialEngines.com

© 2021 Edelman Financial Engines, LLC. Edelman Financial Engines® is a registered trademark of Edelman Financial Engines, LLC. All advisory services offered through Financial Engines Advisors L.L.C. (FEA), a federally registered investment advisor. Results are not guaranteed.

For California residents, please see the link for the Privacy Notice for Candidates. California law requires that we provide you this notice about the collection and use of your personal information. Please read it carefully and reach out to Jill O’Connell (857-305-8555 or joconnell@edelmanfinancialengines.com) with any questions.

Edelman Financial Engines encourages success based on our individual merits and abilities without regard to race, color, religion, creed, sex, gender identity or expression, sexual orientation, pregnancy, marital, domestic partner, or civil union status, national origin, citizenship, ancestry, ethnic heritage, genetic information, age, legally recognized disability, military service or veteran status.

1 The 2020 America’s Best RIA Firms Independent Advisory Firm Ranking issued by Barron’s is qualitative and quantitative, including assets managed, technology spending, staff diversity, succession planning, the size and experience of teams, and the regulatory records of the advisors and firms. Firms elect to participate but do not pay to be included in the ranking. Investor experience and returns are not considered.

2 Data as of 12/31/20",https://www.internships.com/posting/sam_4d7436cdc7da1704?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Finance Data Engineer Intern,Thermo Fisher Scientific Inc,"Waltham, MA (+1 other)","02-Mar-2021

Auto req ID

138248BR

Job Description

When youre part of the team at Thermo Fisher Scientific, youll do important work. Youll have the opportunity to grow and learn in a culture that empowers your development. We have created an inclusive, global environment that values the power of diverse talent, backgrounds, and experiences to drive speed, productivity, innovation, and growth.

Our internship program will give you a chance to get real world business experience and build your network before graduation. We are seeking an energetic, responsible intern to join our growing organization. In this position, you will be expected to learn the ins-and-outs of our daily routines and procedures. You will focus on learning how our organization runs, and can be expected to gain valuable insight that can further your interest in your chosen career field.

Summary of Internship

The Finance Data Engineer Intern position provides an opportunity for students who are currently pursuing a data science, mathematics, statistics, or similar major in your degree to get hands on experience working with finance, business analysts, and data engineers in a life sciences business environment. The data science intern will contribute to projects and build new practice standards.The position starts in May or June, paid working 40 hours per week through August. Opportunity exists for this position to continue through the academic year on a part-time basis to allow for class schedules.

Essential Functions
• Contribute and build optimization models for scenario testing future business outcomes based on internal and external data
• Identify and present predictive drivers/leading indicators, trends, outliers, and patterns that uncover new insights to help guide enterprise-wide business insights
• Derive data driven insights in close partnership with Finance, Operations, Commercial, and Data Science teams to expose opportunities for revenue and cost optimization with resource allocation
• Leverage visualization tools and frameworks including React and Power Bi to perform interactive data exploration that help businesses and senior leaders understand impact of identified opportunities
• Build process and training documentation standards using data science within the finance function
• Specific tasks will be tailored to the software interns experience level and abilities

Skills and Abilities
• Ability to work independently and as a member of a cross-functional team
• Willingness to learn, be mentored, and improve
• Excellent verbal / written communication skills with attention to detail
• Desire to teach other analysts about data science techniques and technologies in area of expertise
• Familiarity with of least one programming language of R, Python, SQL

Qualifications
• Student currently enrolled in classes leading to an accredited degree in a major that supports the data science discipline
• Prior business experience or portfolio applying data science techniques in a finance field or global data company preferred

Position Title

Finance Data Engineer Intern

Country / State City

US - Massachusetts - Waltham

Job Category

Internship Apprenticeship

Thermo Fisher Scientific

is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status",https://www.internships.com/posting/bug_38972218816?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
HitS Platform Intern-Data Engineering,WuXi AppTec,"Natick, MA","DEL (DNA-encoded library) is a rapidly growing drug discovery platform at HitS Business Unit in WuXi AppTec. This cutting-edge multidisciplinary platform combines the latest technologies in chemistry, chemical biology, biology and informatics. We are seeking for highly motivated and enthusiastic intern to join this platform. The candidate will collaborate closely with other functional teams in maintaining and developing our data platform, developing data-based applications and participating in data analysis and reporting.
• Participate in developing machine learning applications.
• Participate in developing web-based applications.
• Maintain and develop the cloud-based data analytics platform.
• Assist the team in cloud system administration.
• Assist the team in database management.
• Work with the scientists as a team to assist DEL data analysis and reporting.
• S, or M.S. students in software engineer, computer science, computational biology, computational chemistry and related fields.
• Additional experience in chemistry, bioinformatics, cheminformatics, and biophysics is a plus.

Knowledge / Skills / Abilities
• Familiarity with AWS tools and infrastructures;
• Understanding in docker, RDMS, batch computing, and/or deep learning.
• Good technical communication skills;
• Good problem solving skills;
• Solid coding experience in shell scripting, python, java, PhP or Go.

Physical Requirements
• Ability to stand /Sit/walk for long periods of time;
• Ability to travel via plane or train.

An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.

This job description does not state or imply that the above are the only duties and responsibilities assigned to this position. Employees holding this position will be required to perform any other job-related duties as requested by Management",https://www.linkedin.com/jobs/view/hits-platform-intern-data-engineering-at-wuxi-apptec-2479157754?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
