title,company,location,requirements,link
HR Marketing & Communication Intern,Saint-Gobain Performance Plastics,"Merrimack, NH (+1 other)","Position Description

Job Summary

If you want to reshape the world and discover your greatest potential, Saint-Gobain provides one-of-a-kind opportunities for innovative problem solvers.

We're one of only two companies in the world that is consistently recognized as both a top Global Employer and a Top 100 Global Innovator, but Saint-Gobain's remarkable story and culture of innovation begins with a team of nearly 200,000 creative, diverse and passionate team members collaborating across the globe. We are committed to our mission to improve lives because, every day, we witness the enormous impact of our efforts on the world around us.

We have a paid Summer internship opportunity for a Human Resources Marketing & Communication Intern based in our Solon headquarters to support the HR and Marketing & Communication (Marcom) teams on their initiatives to engage current and potential employees. This position will involve a blend of marketing, design, public relations and HR activities all intended to build Saint-Gobain Life Sciences employer branding and networks.

Essential Functions
• Support the HR/Marcom Teams by completing assigned tasks, duties and projects.
• Use design and marketing skills to create communication/messaging for LinkedIn, Glassdoor, and the business website to promote employer brand.
• Work with Global Brand & Communication Director to establish editorial calendar to track activities and milestones.
• Collect story content and create promotional pieces/videos to highlight and share the employee experience.
• Participate in Summer Internship Program for interns/co-ops across U.S. footprint for Life Sciences. Perform other duties for the HR Leadership Teams as needed.

Required Qualifications
• Pursuing degree in Human Resources, Marketing, Business or related field.
• Experience with Microsoft Office Suite preferred.
• Experience with a creative/design software/application(s) (ie. InDesign, Illustrator, Photoshop, Publisher, etc.); preferred.

Company Summary

Saint-Gobain’s innovations touch almost every major industry around the world. Within its Life Sciences division, teams are solving critical problems for customers who are getting life-saving medical devices to the frontlines of healthcare, discovering essential medications, and nourishing and connecting the world through consumer, industrial and electronics applications. As one of the world’s leading producers of high-performance polymer products, we improve lives by making simple experiences better and being there in life’s critical moments.

Our team members recognize that we all create the environment for people to succeed, with a culture built on respect, open and honest communication, and honoring our commitments to our customers and each other. And at the heart of our culture, we’ve learned working together makes good ideas, great ones.

With a legacy dating back more than 350 years, Saint-Gobain offers employees the stability and security of a leading Global 500 corporation while operating like multiple small and agile start-ups, where entrepreneurial spirit, pioneering teamwork, and bold, forward-thinking ideas pave new paths.

Every team member is encouraged to develop and leverage their unique expertise and strengths to make the greatest impact on the company and our end users. At Saint-Gobain, you’re empowered and equipped with countless opportunities and resources for professional development. You will find the support you need to create a vision and roadmap for your career, and make that vision a reality.

Invent yourself at Saint-Gobain Life Sciences; and together, we’ll create a better life.

Saint-Gobain provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. Saint-Gobain is an equal opportunity employer of individuals with disabilities and supports the hiring of veterans.

Apply Now",https://www.internships.com/posting/sam_4023637077?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Paid Human Resources and Operations Intern,617MediaGroup,Anywhere,"617MediaGroup, the Northeast's fastest-growing progressive communications agency, is looking for a PAID Human Resources and Operations Intern to join our growing team. At 617MediaGroup, we don't just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our clients, and our communities. 617MediaGroup is proud to be an equal opportunity workplace and is an affirmative action employer.

This candidate will ideally grow into a full-time position at the end of the internship. This is a part-time, paid internship. A minimum of 20 hours each week is required. Occasional nights and weekends may be required. Having your own car is preferred.

Who you are:
• You've had internships before, preferably with a focus on Human Resources and Operations
• You're dogged and organized
• You have a problem-solver mindset with a can-do attitude
• You thrive in fast-paced environments
• You want to learn and grow with an exciting, mission-driven communications firms
• You're ready to hit the ground running
• You are interested in creating the best onboarding experience for all employees
• You are eager to keep all agency policies and processes updated
• You are willing to learn new platforms such as Culture Amp, EZ Office Inventory, Greenhouse and Bamboo HR so the agency continuously improve operations and human resources offerings for staff
Who we are:
Veteran campaigners, communicators, designers, strategists, storytellers, web developers, and true believers. We love what we do. We're results-driven. And we only work with clients we believe in.

What we do:
We move public opinion. We win tough fights. We tell stories simply, and with maximum impact. We offer comprehensive communication services: from earned media to paid, and social media to owned content. Copy and design. We do it all","https://www.ziprecruiter.com/c/617MediaGroup/Job/Paid-Human-Resources-and-Operations-Intern/-in-Waltham,MA?jid=60354bdafe21ec74&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
HR Intern,"TraceLink, Inc.","North Reading, MA (+1 other)","TraceLink is the company that the world’s most trusted pharmaceutical companies choose for complete connectivity, visibility and traceability of prescription medications across their global supply chains, manufacturing and distribution operations. We’ve built the world's largest cloud-based network to connect the entire Life Sciences supply chain and eliminate counterfeit prescription drugs from the global marketplace, so that people everywhere receive the medicines they need in the safest, most secure, and most timely manner possible.

The Opportunity

We are searching for a Human Resources Intern who will support the Human Resources department with a variety of assignments/projects related to recruitment activities, employee engagement, HR administration, immigration, compensation and benefits, and learning & development. In this position, you will learn how to take the skills you are acquiring in school, related courses and apply them in a professional setting.

This role reports directly to the VP, Human Resources and will be mostly remote but on occasion located in the North Reading office for project related work.

Responsibilities:
• Partner with HR to continue enhancing the Intern Program.
• Assist with employee records as we transition our onboarding program into Workday.
• Partner with team to manage the employee on-boarding and off-boarding processes.
• Support efforts related to the annual benefits open enrollment cycle.
• Help with digitizing the immigration program.
• Support efforts around employee engagement, diversity and inclusion, performance management and retention.
• Work with the Talent Acquisition team with various projects related to sourcing candidates, creating new templates for the applicant tracking system (iCIMS), and Diversity & Inclusion hiring.
• Work on other projects as needed.

Qualifications:
• Must be pursuing bachelor's degree or higher in Human Resources, Business Administration, Organizational Psychology, Sociology, or other related field
• Ability to prioritize effectively, manage deadlines and exceptional organization skills required for our rapidly changing environment
• Demonstrate integrity, confidentiality and discretion at all times
• Have strong interpersonal and communication skills essential for team-based working
• Accountable for accuracy and timeliness of work within the department
• Strong written and verbal communication skills
• Knowledge and understanding of industry trends and best practices in Human Resources, Employee Relations and Employee Engagement, or desire to research to gain the knowledge
• Proficient with MS Office Suite",https://careers-tracelink.icims.com/jobs/2187/hr-intern/job?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Human Resources Intern,APITech,"Marlborough, MA",,https://www.linkedin.com/jobs/view/human-resources-intern-at-apitech-2491961781?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Human Resources Coordinator,APITech,"Marlborough, MA",,https://www.linkedin.com/jobs/view/human-resources-intern-at-apitech-2491961781?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Human Resources Internship, Human Resources",Heywood Hospital,"Gardner, MA (+1 other)","Job Summary:

Join the team that is changing healthcare for the patients we serve by delivering clinical excellence close to home and is committed to helping our communities become and stay healthy. Heywood Healthcare provides integrated services and a continuum of care that includes two leading edge acute care hospitals in Gardner and Athol, satellite facilities in Gardner and Winchendon, a Gardner school-based health center, and a substance abuse and recovery center in Quabbin.

The Heywood Healthcare Human Resource Department is offering a paid internship opportunity during the summer of 2019. This will be during normal business hours, Mon- Fri, 8:00 AM - 4:30 PM. The student must be able to commit to a minimum twenty (20) hours per week.

This exciting experience will provide our student with exposure to a variety of HR functions such as talent acquisition, benefits, employee relations, management, reporting and more. This internship would also include working on department and team-focused projects at both Heywood and Athol hospital. Come join a motivated team and gain hands-on experience in a fast-paced healthcare environment.

Qualifications:
• Must be enrolled in a Human Resource or Business Administration program from an accredited college or university
• 3.0 GPA or higher

Requirements:
• Proficient in Microsoft Office: Word, Excel, PowerPoint, Access
• Strong organizational skills
• Works well in a team environment
• Works well independently
• Strong project and time management skills
• A genuine passion for the field of Human Resources

Physical Requirements:

Exerts up to 20 pounds of force occasionally, and/or up to 10 pounds of force frequently, and/or a negligible amount of force constantly to move objects. Frequently reaches (extending hands and arms in any direction), and handles (seizing, holding, grasping, turning, or working with hands).

Statement of Other Duties

This document describes the major duties and responsibilities for this job, and is not intended to be a complete list of all tasks and functions. It should be understood, therefore, that employees may be asked to perform job-related duties beyond those explicitly described",https://northcentralmass.mcjobboard.net/jobs/23474?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Paid Human Resources and Operations Intern,617MediaGroup,"Waltham, MA (+1 other)","617MediaGroup, the Northeast’s fastest-growing progressive communications agency, is looking for a PAID Human Resources and Operations Intern to join our growing team. At 617MediaGroup, we don’t just accept difference — we celebrate it, we support it, and we thrive on it for the benefit of our employees, our clients, and our communities. 617MediaGroup is proud to be an equal opportunity workplace and is an affirmative action employer.

This candidate will ideally grow into a full-time position at the end of the internship. This is a part-time, paid internship. A minimum of 20 hours each week is required. Occasional nights and weekends may be required. Having your own car is preferred.

Who you are:
• You’ve had internships before, preferably with a focus on Human Resources and Operations
• You are studying Human Resources, Business Management or a related field
• You’re dogged and organized
• You have a problem-solver mindset with a can-do attitude
• You thrive in fast-paced environments
• You want to learn and grow with an exciting, mission-driven communications firms
• You’re ready to hit the ground running
• You are interested in creating the best onboarding experience for all employees
• You are eager to keep all agency policies and processes updated
• You are willing to learn new platforms such as Culture Amp, EZ Office Inventory, Greenhouse and Bamboo HR so the agency continuously improve operations and human resources offerings for staff

Who we are:
Veteran campaigners, communicators, designers, strategists, storytellers, web developers, and true believers. We love what we do. We’re results-driven. And we only work with clients we believe in.

What we do:
We move public opinion. We win tough fights. We tell stories simply, and with maximum impact. We offer comprehensive communication services: from earned media to paid, and social media to owned content. Copy and design. We do it all",https://boards.greenhouse.io/617mediagroup/jobs/5159688002?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Human Resources Intern,Commonwealth Care Alliance,"Boston, MA (+1 other)","Why This Role is Important to Us
An intern is brought on board at our company to perform operational and administrative functions. This serves a dual purpose, giving the intern valuable experience, while lightening the workload of professionals by relieving them of transactional duties.

What You’ll Be Doing

Partner with our Talent Acquisition who organizes the campus recruiting program to develop a stronger brand through our social media presence.
• Perform candidate market research, to research other diversity outreach efforts we may want to engage in to continue to grow our program
• Assist in researching, identifying and coordinating future recruitment events such as career fairs, info sessions, or other campus and professional events.
• Researches, collects and compiles data as requested from a variety of sources and prepares appropriate presentations and or reports for analysis regarding best practices for a military outreach program

Partner with the Talent Acquisition Team to research best practices and develop process for our current Clinical Preceptorship Program.

What We’re Looking For

Education: Active student in a Human Resource, Business Management or related bachelor’s degree program
• Years of experience: 0+

Required Skills
• Excellent communication and interpersonal skills.
• Strong project management and execution skills.
• Ability to manage time effectively and execute work autonomously.
• Advanced social media channels expertise
• Must collaborate with the team.
• Driven, engaged, creative and innovative.
• Excellent attention to detail and follow up.
• Strong analytical mindset
Actual Work Location
30 Winter Place, Boston, Massachusetts 02108

All Locations
30 Winter Street",https://jobchina24h.com/fr/human-resources-intern-job29817?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Human Resources Coordinator,Commonwealth Care Alliance,"Boston, MA (+1 other)",,https://jobchina24h.com/fr/human-resources-intern-job29817?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
HR Intern,"TraceLink, Inc.",Anywhere,"TraceLink is the company that the world's most trusted pharmaceutical companies choose for complete connectivity, visibility and traceability of prescription medications across their global supply chains, manufacturing and distribution operations. We've built the world's largest cloud-based network to connect the entire Life Sciences supply chain and eliminate counterfeit prescription drugs from the global marketplace, so that people everywhere receive the medicines they need in the safest, most secure, and most timely manner possible.

The Opportunity

We are searching for a Human Resources Intern who will support the Human Resources department with a variety of assignments/projects related to recruitment activities, employee engagement, HR administration, immigration, compensation and benefits, and learning & development. In this position, you will learn how to take the skills you are acquiring in school, related courses and apply them in a professional setting.

This role reports directly to the VP, Human Resources and will be mostly remote but on occasion located in the North Reading office for project related work.

Responsibilities:

+ Partner with HR to continue enhancing the Intern Program.

+ Assist with employee records as we transition our onboarding program into Workday.

+ Partner with team to manage the employee on-boarding and off-boarding processes.

+ Support efforts related to the annual benefits open enrollment cycle.

+ Help with digitizing the immigration program.

+ Support efforts around employee engagement, diversity and inclusion, performance management and retention.

+ Work with the Talent Acquisition team with various projects related to sourcing candidates, creating new templates for the applicant tracking system (iCIMS), and Diversity & Inclusion hiring.

+ Work on other projects as needed.

Qualifications:

+ Must be pursuing bachelor's degree or higher in Human Resources, Business Administration, Organizational Psychology, Sociology, or other related field

+ Ability to prioritize effectively, manage deadlines and exceptional organization skills required for our rapidly changing environment

+ Demonstrate integrity, confidentiality and discretion at all times

+ Have strong interpersonal and communication skills essential for team-based working

+ Accountable for accuracy and timeliness of work within the department

+ Strong written and verbal communication skills

+ Knowledge and understanding of industry trends and best practices in Human Resources, Employee Relations and Employee Engagement, or desire to research to gain the knowledge

+ Proficient with MS Office Suite

ID: 2021-2187 External Company Name: TraceLink, Inc. External Company URL: http://www.tracelink.com","https://www.ziprecruiter.com/c/TraceLink,-Inc./Job/HR-Intern/-in-North-Reading,MA?jid=9418f001dc2649e4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
