title,company,location,requirements,link
Investments Intern,FM Global,"Waltham, MA","Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other Investments and Operations related projects
• MBA with a strong academic record
• Strong quantitative and presentation tools expertise (Microsoft Office skills (Excel, PowerPoint, Word)) very helpful for the internship work
• Experience with Bloomberg and FactSet a plus
• Strong quantitative skills and mindset
• Keen interest in learning aspects of investment management","https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Junior Investment Analyst,FM Global,"Waltham, MA",,"https://www.glassdoor.com/job-listing/investments-intern-fm-global-JV_IC1154703_KO0,18_KE19,28.htm?jl=4051274778&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
OPT/CPT Investment Banking Analyst Intern - Mandarin - WeChat 3 months,Alpha Capital Holdings Inc,Anywhere,"Job Description

Chinese Required, Investment Banking Intern - Remote. Qualifies for OPT and CPT. Part-time available.

Our office is located in NY at 40 Wall Street but we currently provide remote internships. (www,alphacapital.online).

Interviews are conducted through WeChat and Zoom.

Alpha Capital Holdings, Inc is seeking a number of mandarin speaking investment banking OPT and CPT interns. We work extensively with Chinese companies and American companies on purchasing American and international companies as well as advising on IPO's. Your work will include assisting the principals on specific projects such as valuation, building financial models, writing teasers and pitchbooks, valuation and identifying investors. Our work is done by WeChat, DropBox and Zoom.

Students who have worked with us have gone onto bulge bracket firms such as Goldman, Sachs Morgan Stanley, JP Morgan, Citi, and many other large firms. Also, students have also achieved positions with middle-market firms.

Our students come from Ivy Schools and select non-target schools. You will work on real deals and important pitches. You will become fluent in valuation and modeling including comparative analysis and DCF, IPO's plus leveraged buyout (LBO) valuation, and full merger modeling. You will also be involved in pitchbook presentations and equity research.

We recently worked on the $15.2 billion acquisition of Tableau by Salesforce which is featured in our video. Currently, we are working on a regenerative medicine deal. A merger of two social media companies, advising a company with the first blood test for breast cancer and a sell-side assignment of a large financial service company. We are currently working on acquisitions involving other large technology companies.

Most importantly, you will have something very important and respected on your resume. We are well respected on Wall Street. This is the first step towards a real career in investment banking. A number of our top students have gone on to sponsorship at larger companies. We do not provide OPT extension. Salary based on expertise and experience.

In addition, and just as importantly, you will intensively train under the personal mentorship of our founder, a Harvard trained senior banker with 25 years of experience. His mentorship has been proven to be the key difference in many students' careers. You will now have a real mentor. Our other partners come from Goldman, Citi, and elite boutiques. Salary based on experience and expertise.

Send your resume and cover letter. We look forward to hearing from you. Thank you. Hiring Organization: Alpha Capital Holdings, Inc., 40 Wall Street, 29th Floor, New York, New York 10005

Company Description
Alpha Capital Holdings, Inc. (www.alphacapital.online) is a well-regarded financial adviser to corporations with Fortune 500 companies. Since 1995, we have participated on both the buy-side and sell-side (primarily mergers and acquisitions), and raising capital. Our interns often go onto Bulge bracket firms such as Goldman Sachs, Morgan Stanley, JP Morgan, Barclays and many boutiques","https://www.ziprecruiter.com/c/Alpha-Capital-Holdings-Inc/Job/OPT-CPT-Investment-Banking-Analyst-Intern-Mandarin-WeChat-3-months/-in-Boston,MA?jid=452b5e24f2481b92&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Private Wealth Equity Intern,CIBC,"Boston, MA (+1 other)","We’re building a relationship-oriented bank for the modern world. We need talented, passionate professionals who are dedicated to doing what’s right for our clients.

At CIBC, we embrace your strengths and your ambitions so you feel empowered at work. Our team members have what they need to make a meaningful impact and feel truly valued for who they are and what they contribute.

To learn more about CIBC, please visit CIBC.com

Job Description

OUR SUMMER INTERNSHIP PROGRAM is designed to offer great work experience to compliment your classroom training and career goals. We are devoted to finding, selecting and training interns who will make a positive impact on our company. Intern Program activities allow you an opportunity to meet and network with company executives, employees, and fellow interns, as well as learn more about banking and the financial industry.

Interns are assigned to a CIBC Private Wealth equity analyst for the summer, and placement decisions are based on interests, skills, and position availability. Throughout the summer, interns are provided with direction, coaching and mentoring so they may perform at their personal best.

RESPONSIBILITIES

Specific internship responsibilities determined closer to start date and depend on the needs of the hiring department. Responsibilities may include, but are not limited to:
• Learning the basics of equity investment research and portfolio management
• Researching multiple public companies, including reading SEC filings, sell side reports, industry research, and web-based research. Writing a detailed investment report and preparing a financial model of one or more public companies.
• Learning the basics of the industry that your host analyst covers
• Listening to and summarizing earnings conference calls of public companies.
• Learning how to use Factset to assist in the investment research.

ACTIVITIES (anticipated, subject to change): Weekly, June - early August
• Orientation Kickoff featuring panel of former interns
• Social networking event with internal intern program alumni
• Informational Session series with Bank executives from across the organization
• Introduction and meeting with our President & CEO, Mike Capitides
• Commercial Banking Training Program (CBTP) Workshop & Shadow Day - learn more about post-graduate career opportunities
• Shadowing Program with departments across the organization
• Volunteer opportunity with a local non-profit organization
• Networking opportunities to connect you with other interns and employees
• Team-building events
• Attend meetings with public company management teams, sell side equity analysts, and weekly investment team meetings.

INTERNSHIP BASICS
• 10-12 week duration desired, flexible start and end dates
• 40-hour work week, Monday through Friday
• Paid opportunity
• Located Chicago Loop or Chicago suburbs
• Opportunity to attend weekly intern program activities

QUALIFICATION
• College student pursuing Bachelors degree
• Accounting, Finance, Business, Economics major preferred, but not required
• Strong verbal and written communication skills
• Good attention to detail
• Ability to multi-task in a fast-paced environment
• Strong knowledge of MS Office - Word, Excel, PowerPoint
• Graduation Date of June 2022 or earlier
• Minimum cumulative GPA of 3.0 preferred
• Enthusiastic to learn and grow from their internship experience
• Willing to ask questions, as needed
• Interest in equity research and investment management

What You Need to Know
• CIBC is committed to creating an inclusive environment where all team members and clients feel like they belong. We seek applicants with a wide range of abilities and we provide an accessible candidate experience. If you need accommodation during the application or interview process, please contact Mailbox.careers-carrieres@cibc.com
• You need to be legally eligible to work at the location(s) specified above and, where applicable, must have a valid work or study permit

Expected End Date

2021-08-31

Job Location

100 Federal Street, 37th Floor

Employment Type

Temporary (Fixed Term)

Weekly Hours

40",https://www.internships.com/posting/sam_4015275160?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern Finance- Private Equity,ACS Global Search,Anywhere,"Job Description
ACS Global Inc is a Advisory company to privately held and Founder companies on a global basis.

We are exclusive intermediaries to 5 Investment Groups and have proprietary processes and products we offer within the market.

We anticipate significant growth and are positioned to win.

If you have an interest in Business Development, Private Equity or Investment Banking and are highly personable, creative and computer savvy and are able to create or desire to learn investment modeling please reach out.

This is a chance to build up your resume and work in a PE environment.

We are based in Stowe, VT, but you do not have to be. I am seeking a highly motivated intern to assist in the financial modeling, investment thesis, creation of teasers, decision matrix to supply to current owners and can be involved in the acquisition portion of this process to include sourcing deals and alternative funding and outbound strategies.

The internship will begin based on availability of the intern and could start ASAP.

Requirements:

Be available for 12+hours/week except on holidays, for at least a three-month commitment

Be articulate and fluent in English

Have an interest in both investing and company operations

Be flexible, industrious, and bring a positive attitude to work every day

This is an unpaid internship.

Managing Partner:

Dwight operates a global executive search firm and has successfully placed leaders in over 17 countries for the last 23 years. He holds his BSME and served in the US Marine Corps. Dwight has achieved great success within his career and now advises Private and Global Corporations.

Dwight is a Partner and SVP of one of the most successful turn around global organizations with over 120 successful turnarounds and they currently own and operate 75+ companies with $1.7b revenue. He is also an active investor in the firms he presents on the buy side.

Pay: $0.00 per hour

Schedule:
• Open

COVID-19 considerations:
To keep all employees safe during these times, all employees including interns will be working remotely from home.

Education:
• Bachelor's current attending or MBA.

Work Location:
• Fully Remote until we are clear to travel.

Company's website:
• https://www.acsglobalsearch.com

Work Remotely:
• Yes","https://www.ziprecruiter.com/c/ACS-Global-Search/Job/Intern-Finance-Private-Equity/-in-Boston,MA?jid=4e4240d83ba5e92d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
INVESTMENT BANKING - SUMMER ANALYST 2021 (BOSTON),ACS Global Search,Anywhere,,"https://www.ziprecruiter.com/c/ACS-Global-Search/Job/Intern-Finance-Private-Equity/-in-Boston,MA?jid=4e4240d83ba5e92d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Investment Analyst Intern,KKI Capital,"New York, NY",,"https://www.glassdoor.com/job-listing/investment-analyst-intern-kki-capital-JV_IC1132348_KO0,25_KE26,37.htm?jl=3667522736&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Equity Research Intern - Biotechnology,Leerink Swann,"Boston, MA","Job Title: Equity Research Intern - Biotechnology

Reports to: Sr. Equity Research Analyst

Department: Equity Research

Location: New York or Boston

This internship will be located in SVB Leerink's New York or Boston office working directly with a Sr. Analyst covering the Biotechnology sector.

Primary Duties and Responsibilities:
• Analyze and synthesize researched data and presentation of trends and ideas with regard to business opportunities and investment decision-making processes.
• Maintain company databases using spreadsheet and database software.
• Prepare reports, opinions, recommendations, and statistical data, financial statement modeling, for use in the formulation of the investment policies and/or recommendations of the firm.
• Prepare studies and other data for firm publication issued to the general public.

Experience and Qualifications Required:
• Qualified candidates will possess a science background academically. PhD, PharmD, or MD strongly preferred for this role.
• Some exposure to finance and financial statements.
• Interest in the stock market and healthcare equity investment research
• Must possess the ability to synthesize data and articulate findings through excellent written and oral presentation skills.
• Consulting, public accounting, or industry experience a plus","https://www.ziprecruiter.com/c/Leerink-Swann/Job/Equity-Research-Intern-Biotechnology/-in-Boston,MA?jid=4744fe2ef332ffa9&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
MLK Program - Investment Analyst Intern (May - August 2021),Manulife,"Boston, MA","Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.Job DescriptionThe summer term will be remote. We require students to be physically located in the United States.We are looking for a student who is eager to learn about investments and investment product on a global scale, is a self-starter, and has a passion for capital markets.This role is on the Global Investment Research Team within Global Investment Product. Key responsibilities for the team include assessing new market segments, researching the product and competitive landscape, asset class research, assessing the current product platform, and different product vehicle structures (i.e. mutual funds, exchange traded funds, collective investment trusts, etc.). Our platforms are global in nature and cover the US, Canada, Hong Kong, European Cross-Border etc.ResponsibilitiesAsset class research.Compiling and assessing product performance, investment characteristics, and product features (i.e. fees, investment minimums, etc.).Additionally, alongside other intern(s) on the team, research market trends and present research biweekly to members of the Investment Analytics teams, Regional Product teams, and Global Investment Research team.QualificationsThe ideal candidate will have an interest in investments, a basic understanding of the markets, and is comfortable working independently. Ideally, you will have taken basic finance, investments, and/or economic courses.You will also possess the following primary skills:Investments KnowledgeExcelResearchData AnalyticsTo be eligible for this opportunity, you should be a college student enrolled in an accredited academic institution and a prior MLK Scholar.If you are ready to unleash your potential, it's time to start your career with Manulife/John Hancock.About ManulifeManulife Financial Corporation is a leading international financial services group that helps people make their decisions easier and lives better. With our global headquarters in Toronto, Canada, we operate as Manulife across our offices in Canada, Asia, and Europe, and primarily as John Hancock in the United States. We provide financial advice, insurance, and wealth and asset management solutions for individuals, groups and institutions. At the end of 2020, we had more than 37,000 employees, over 98,000 agents, and thousands of distribution partners, serving over 30 million customers. As of December 31, 2020, we had $1.3 trillion (US$1.0 trillion) in assets under management and administration, and in the previous 12 months we made $31.6 billion in payments to our customers. Our principal operations are in Asia, Canada and the United States where we have served customers for more than 155years. We trade as 'MFC' on the Toronto, New York, and the Philippine stock exchanges and under '945' in Hong Kong.Manulife is an Equal Opportunity EmployerAt Manulife/JohnHancock, we embrace our diversity. We strive to attract,developandretaina workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention,advancement and compensation, and we administer all of our practices and programs without discrimination on the basis of race, ancestry, place of origin,colour, ethnic origin, citizenship, religion or religious beliefs, creed, sex (including pregnancy and pregnancy-related conditions), sexual orientation, genetic characteristics, veteran status, gender identity, gender expression, age, marital status, family status, disability, or any other ground protected by applicable law.It is our priority to remove barriers toprovideequal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process.All information shared during the accommodation request process will be stored and used in a manner that is consistent withapplicable laws and Manulife/John Hancock policies.To request a reasonable accommodation in the application process, contact is the Law I Family & Medical Leave I Employee Polygraph Protection I Right to Work I E-Verify I Pay Transparency",https://www.usajobcentral.com/job/mlk-program-investment-analyst-intern-may-august-2021-in-boston-massachusetts/5836-113499017761?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
CIBC US Jobs | Private Wealth Equity Analyst Intern Employment Opportunity...,CIBC US,"Boston, MA (+1 other)",,https://careers.jobvacancies4u.com/cibc-us-jobs-employment/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
