title,company,location,requirements,link
"Intern, Commercial & Legal Process",SAP,"Nashua, NH","COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That's why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.

SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it's the best-run businesses that make the world run better and improve people's lives.

Contract Duration: 6 months

Contract Hours: 40 hours/week

Anticipated Start Date: March 15, 2021

Office Location: Newtown Square PA

PURPOSE & OBJECTIVE OF POSITION

Support the Sales Process Office team in providing key managed services to the Sales Process Office and the larger Commercial and Legal Process Office (CLPO). The Managed Services team provides ongoing support to the organization including project management support, centralized enablement content design, development and delivery, and communication support, reporting, and analytics. The team works with all Commercial & Legal Process Office team members to effectively drive central processes to improve productivity and to reduce redundancy of work across the teams.

EXPECTATIONS & TASKS

Main responsibilities include:

Support CLPO responsibilities, for the following:

- Enablement content, programs, projects, and activities
- Jam site/web site maintenance
- Communication administration and measurement of reach and impact
- Enablement participation and consumption reporting and feedback
- Ad-hoc reporting to support top business priorities",https://wdtnjobs.com/jobs/intern-commercial-legal-process-nashua-new-hampshire/261658217-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Legal Intern,NETSCOUT,"Westford, MA (+1 other)","Refer

Save

Apply

Job ID: 003496

Company Name: NETSCOUT

We are seeking a Legal Intern to join the NETSCOUT team this summer

Description:

NETSCOUT SYSTEMS, INC. (NASDAQ: NTCT) is a market and technology leader of real-time service assurance and cybersecurity solutions for today’s most demanding service provider, enterprise, and government networks. By providing ""visibility without borders,"" NETSCOUT helps assure digital business services against disruptions in availability, performance, and security, through its patented smart data technology. Headquartered in Westford, Massachusetts, NETSCOUT has approximately 2,500 employees with offices across the globe. NETSCOUT serves the Global 5000 enterprise community as well as government agencies and telecommunications service providers.

Life at NETSCOUT has been built on the culture of collaboration and diversity, we want all our employees to feel appreciated and valued. These words are the life and soul of our company. We’re passionate about creating an inclusive workplace. We build and grow our teams on these principles which cultivate our leaders to continue to grow a company that’s right for each and every employee. We celebrate multiple approaches for change and progression, where everyone has a voice.

To find out more about working for NETSCOUNT see below link:

https://www.netscout.com/company/be-a-guardian

Position Summary: NETSCOUT is currently looking for a law student who is available 5 days per week during the summer for a paid internship. This internship will initially be performed remotely from your home with the potential to join us in our Westford, MA office location depending upon local health guidelines and company procedures related to COVID-19.

This internship is intended to provide the candidate with exposure to the day-to-day activities of a corporate legal and compliance department and may include work in the following areas:
• Conduct legal research on a variety of legal issues as assigned, including employment, corporate, contract, marketing and regulatory issues
• Assist with program documentation including policies, manuals, training materials and employee communications
• Assist with developing ESG documentation and communications
• Assist with corporate governance matters
• Other Legal Department projects - determined on an as-needed basis
• General tasks – assisting with contract management, preparing files (electronically), assistance with maintaining our various databases, running and reviewing reports, and other tasks as needed.

The above job description is intended to be an overview of topics. Topics are subject to change based on NetScout requirements and candidate's interests. Candidates are encouraged to indicate specific areas of interest when applying

Requirements:
• Proficiency with Microsoft Office Applications (Word, Excel, Outlook and PowerPoint).
• Experience with Oracle, Sharepoint, and/or Blueprint a plus.
• Team player, ability to multitask, close attention to detail, and a willingness to work on a variety of matters.
• Ability to work independently once given direction.
• Excellent legal research, writing, communication and problem-solving skills.

Additional Information:

The people behind our products are responsible for our company's success, and we take your career ambitions seriously. At NETSCOUT you'll enjoy a competitive compensation plus a benefits package working alongside some fantastic people who generally care.

Our Recruitment process is designed to prevent discrimination against our people regardless of gender identity or expression, sexual orientation, religion, ethnicity, age, neurodiversity, disability status, citizenship, or any other aspect which makes them unique.

NETSCOUT Systems, Inc. is an EEO/Affirmative Action Employer.

Requirements:

Job Type
• Intern

Intern
Location
• MA - Westford

MA - Westford
Preferred Language
• English

English","https://www.glassdoor.com/job-listing/legal-intern-netscout-JV_IC1154720_KO0,12_KE13,21.htm?jl=4039500484&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Summer Legal Internship,Middlesex District Attorney's Office,"Lowell, MA","Organization Type:- Government
Job Type:- Law Student

Summer Legal Internship
The intern will join District Courts Division. There are eleven District Courts and three Juvenile Courts located in Middlesex County. Law students who have completed their second year of law school and who are eligible for Student Practitioner Certification under Supreme Judicial Court Rule 3:03 can apply to intern in those courts. Certified student practitioners represent the Commonwealth of Massachusetts during court proceedings (e.g. arraignments, bail hearings, motion hearings and bench trials) under the supervision of an Assistant District Attorney; are assigned legal research & writing projects; and assist with discovery and trial preparation. Legal Interns assist prosecutors in the Juvenile, District, and Superior Courts and the Appeals and Training Bureau. First year law students gain experience in legal research, writing, and case preparation. Second year law students who are certified under SJC Rule 3:03 may appear in Juvenile and District Courts as a student prosecutor, supervised by an Assistant District Attorney. Student interns research evidentiary issues, draft motions and memoranda in opposition to defense motions, assist with discovery compliance and trial exhibits, take notes during trial regarding trial testimony, etc",https://www.lawcrossing.com/job/id-bd3e9f4a4a3239de9b94a6adaf11242d?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Academic Year Legal Internship,Middlesex District Attorney's Office,"Lowell, MA","Organization Type:- Government
Job Type:- Law Student

Academic Year Legal Internship
The intern will join Special Investigations Unit. The Special Investigations Unit is a team of prosecutors, Massachusetts State Police and civilian investigative specialists who are dedicated to the investigation and prosecution of high level narcotics, organized crime, public integrity, terrorism, corruption, and cyber crimes. Student interns will be responsible for assisting trial attorneys in trial preparation, including preparing documents for trial, analyzing phone records, listening to jail calls and preparing demonstrative aids for trial. Legal Interns assist prosecutors in the Juvenile, District, and Superior Courts and the Appeals and Training Bureau. First year law students gain experience in legal research, writing, and case preparation. Second year law students who are certified under SJC Rule 3:03 may appear in Juvenile and District Courts as a student prosecutor, supervised by an Assistant District Attorney. Student interns research evidentiary issues, draft motions and memoranda in opposition to defense motions, assist with discovery compliance and trial exhibits, take notes during trial regarding trial testimony, etc",https://www.lawcrossing.com/job/id-f062126116e0cc90be9cd9e2d48c84aa?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Intern, Commercial & Legal Process",SAP,"Derry, NH","COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That's why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.

SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it's the best-run businesses that make the world run better and improve people's lives.

Contract Duration: 6 months

Contract Hours: 40 hours/week

Anticipated Start Date: March 15, 2021

Office Location: Newtown Square PA

PURPOSE & OBJECTIVE OF POSITION

Support the Sales Process Office team in providing key managed services to the Sales Process Office and the larger Commercial and Legal Process Office (CLPO). The Managed Services team provides ongoing support to the organization including project management support, centralized enablement content design, development and delivery, and communication support, reporting, and analytics. The team works with all Commercial & Legal Process Office team members to effectively drive central processes to improve productivity and to reduce redundancy of work across the teams.

EXPECTATIONS & TASKS

Main responsibilities include:

Support CLPO responsibilities, for the following:

- Enablement content, programs, projects, and activities
- Jam site/web site maintenance
- Communication administration and measurement of reach and impact
- Enablement participation and consumption reporting and feedback
- Ad-hoc reporting to support top business priorities",https://50states-jobs.com/jobs/intern-commercial-legal-process-derry-new-hampshire/261659013-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Legal Intern [Temporary],United Nations Secretariat,"New York, NY","Org. Setting and Reporting

The Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs (DOALOS/OLA) is recruiting interns for the period from May 2021 to October 2021. We are seeking motivated applicants who wish to gain professional experience in ocean affairs and the law of the sea within an international organization in order to supplement their knowledge, skills and studies. This internship will provide practical experience in ocean affairs and the law of the sea and an opportunity to work in a multicultural, intergovernmental organization. Under supervision, interns are assigned to projects and tasks which will provide them with the opportunity to apply and further develop their knowledge in ocean affairs and the law of the sea.

Responsibilities

Responsibilities of internship positions range widely, encompassing many aspects of DOALOS/OLA's work.

These responsibilities may include, but are not limited to:

• Assistance in conducting legal research on issues related to ocean affairs and the law of the sea using multiple research resources.
• Assistance in the review of legal documents, instruments or other material.
• Assistance in drafting and preparing official and legal documents.
• Attending and taking notes at conferences and meetings.
• Assistance in servicing conferences and meetings.
• Working on website and/or presentations.
• Perform other duties as assigned.

Competencies

PROFESSIONALISM:
Applicants must demonstrate a keen interest in the work of the United Nations and have a personal commitment to the ideals of the Charter of the United Nations. Applicants must have the ability to work effectively in a team in a multicultural environment, work collaboratively with colleagues and external counterparts, and successfully interact with individuals of different cultural backgrounds and beliefs. Applicants must also demonstrate gender-sensitive and non-discriminatory behavior and attitudes. In addition, they must have good drafting and oral communication skills, and be computer literate in standard software applications.

COMMUNICATION:
Speaks and writes clearly and effectively; listens to others, correctly interprets messages from others and responds appropriately; asks questions to clarify, and exhibits interest in having two-way communication; tailors language, tone, style and format to match audience; demonstrates openness in sharing information and keeping people informed.

TEAMWORK:
Works collaboratively with colleagues to achieve organizational goals; solicits input by genuinely valuing others’ ideas and expertise; is willing to learn from others; places team agenda before personal agenda; supports and acts in accordance with final group decision, even when such decisions may not entirely reflect own position; shares credit for team accomplishments and accepts joint responsibility for team shortcomings.

CLIENT ORIENTATION:
Considers all those to whom services are provided to be “clients” and seeks to see things from clients’ point of view; establishes and maintains productive partnerships with clients by gaining their trust and respect; identifies clients’ needs and matches them to appropriate solutions; monitors ongoing developments inside and outside the clients’ environment to keep informed and anticipate problems; keeps clients informed of progress or setbacks in projects; meets timeline for delivery of products or services to client.

Education

The degree programme which applicants are enrolled in or have recently graduated from must be in law, or otherwise another field of study that is closely related to the work of the Division for Ocean Affairs and the Law of the Sea.

Applicants to the United Nations Internship Programme must at the time of application meet one of the following requirements:

• Either
(a)Be enrolled in, or have completed, a graduate school programme (second university degree or equivalent, or higher); or,
(b)Be enrolled in, or have completed, the final academic year of a first university degree programme (minimum bachelor's level or equivalent).

Work Experience

No working experience is required to apply for the United Nations Internship Programme. Your training, education, advance course work or skills should benefit the United Nations during your internship.
The field of study should be closely related to the work of the Division for Ocean Affairs and the Law of the Sea.

Languages

English and French are the working languages of the United Nations Secretariat. For the internship advertised, fluency in English (both oral and written) is required. Knowledge of French is desirable. Knowledge of another United Nations official working language, i.e. Arabic, Chinese, Russian or Spanish, is an advantage.

Assessment

Due to the large number of applications, ONLY shortlisted applicants will be contacted directly by Division for Ocean Affairs and the Law of the Sea. Interviews may be held with applicants.

Special Notice

TO APPLY:

Please create and complete a Personal History Profile (PHP) and a cover letter in the UN e- Recruitment platform, Inspira, at https://inspira.un.org. In your PHP, please indicate if you are
proficient in the English language and be sure to include all relevant information concerning your education and work experience, if applicable, with special emphasis on ocean affairs and the law of the sea, as well as IT skills, and three references.

Applications MUST include a Cover Letter and will be considered INCOMPLETE if the Cover Letter is missing any of the following details below. (PLEASE NOTE THAT INCOMPLETE APPLICATIONS WILL NOT BE FURTHER REVIEWED.)

1.Title of the degree currently being pursued, or recently completed, and the specific subjects taken.
2.Expected graduation date from the degree programme, or graduation date if already graduated.
3.A description as to why you believe you are qualified for this specific internship as a result of your education and/or work experience in the field of ocean affairs and the law of the sea.
4.A description of why you are interested in the United Nations Internship Programme.
5.The IT skills and programmes in which you are proficient.
6.A clear indication of the time frame of your availability for the internship during the period between May 2021 and October 2021.
• The United Nations Secretariat is committed to achieving 50/50 gender balance in the organization. Female candidates are strongly encouraged to apply for this internship programme.

Important Note:

• Internship positions are full-time. The duration of an internship in OLA is a minimum of two (2) months to a maximum of six (6) months depending upon the particular needs of the Division.

• Internships in OLA are not paid. Travel costs, travel arrangements (including visas), and living accommodations are the responsibility of the intern or their sponsoring institution.
• * In the context of the COVID-19 pandemic, applicants will be requested to undertake the internship remotely in view of constraints regarding visa issuance, international travel and access to UN premises. Applicants must be willing and prepared to undertake the internship remotely for the entirety of the internship.

• OLA interns are not eligible to apply for, or be appointed to, any position in the professional or above categories, within the UN Secretariat for a period of six (6) months following the end of their internship. Any employment with the UN at that point in time shall be subject to established recruitment and selection procedures.

For more information about the United Nations internship Programme in general, please visit https://careers.un.org/lbw/home.aspx For details on OLA's mandate and the specific functions of its divisions, please visit our internet site at: http://legal.un.org/ola/Default.aspx
For details on DOALOS/OLA's mandate and functions, please visit: http://legal.un.org/ola/div_doalos.aspx?section=doalos

United Nations Considerations

According to article 101, paragraph 3, of the Charter of the United Nations, the paramount consideration in the employment of the staff is the necessity of securing the highest standards of efficiency, competence, and integrity. Candidates will not be considered for employment with the United Nations if they have committed violations of international human rights law, violations of international humanitarian law, sexual exploitation, sexual abuse, or sexual harassment, or if there are reasonable grounds to believe that they have been involved in the commission of any of these acts. The term “sexual exploitation” means any actual or attempted abuse of a position of vulnerability, differential power, or trust, for sexual purposes, including, but not limited to, profiting monetarily, socially or politically from the sexual exploitation of another. The term “sexual abuse” means the actual or threatened physical intrusion of a sexual nature, whether by force or under unequal or coercive conditions. The term “sexual harassment” means any unwelcome conduct of a sexual nature that might reasonably be expected or be perceived to cause offence or humiliation, when such conduct interferes with work, is made a condition of employment or creates an intimidating, hostile or offensive work environment, and when the gravity of the conduct warrants the termination of the perpetrator’s working relationship. Candidates who have committed crimes other than minor traffic offences may not be considered for employment.

Due regard will be paid to the importance of recruiting the staff on as wide a geographical basis as possible. The United Nations places no restrictions on the eligibility of men and women to participate in any capacity and under conditions of equality in its principal and subsidiary organs. The United Nations Secretariat is a non-smoking environment.

The paramount consideration in the appointment, transfer, or promotion of staff shall be the necessity of securing the highest standards of efficiency, competence, and integrity. By accepting an offer of appointment, United Nations staff members are subject to the authority of the Secretary-General and assignment by him or her to any activities or offices of the United Nations in accordance with staff regulation 1.2 (c). In this context, all internationally recruited staff members shall be required to move periodically to discharge new functions within or across duty stations under conditions established by the Secretary-General.

Applicants are urged to follow carefully all instructions available in the online recruitment platform, inspira. For more detailed guidance, applicants may refer to the Manual for the Applicant, which can be accessed by clicking on “Manuals” hyper-link on the upper right side of the inspira account-holder homepage.

The evaluation of applicants will be conducted on the basis of the information submitted in the application according to the evaluation criteria of the job opening and the applicable internal legislations of the United Nations including the Charter of the United Nations, resolutions of the General Assembly, the Staff Regulations and Rules, administrative issuances and guidelines. Applicants must provide complete and accurate information pertaining to their personal profile and qualifications according to the instructions provided in inspira to be considered for the current job opening. No amendment, addition, deletion, revision or modification shall be made to applications that have been submitted. Candidates under serious consideration for selection will be subject to reference checks to verify the information provided in the application.

Job openings advertised on the Careers Portal will be removed at 11:59 p.m. (New York time) on the deadline date.

No Fee

THE UNITED NATIONS DOES NOT CHARGE A FEE AT ANY STAGE OF THE RECRUITMENT PROCESS (APPLICATION, INTERVIEW MEETING, PROCESSING, OR TRAINING). THE UNITED NATIONS DOES NOT CONCERN ITSELF WITH INFORMATION ON APPLICANTS’ BANK ACCOUNTS",https://www.unjobnet.org/jobs/detail/23525463?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Law Student Internship,Arold & Richard Law Firm,"Andover, MA (+1 other)","Small but busy law firm seeks a highly motivated law school student to join our team. This is for an in-office position with a flexible schedule, however some remote work is possible. Prefer a student that is at least in their second semester of law school and is not on academic probation for any reason. Ability to speak multi languages a plus but not a requirement. Need to have a great attitude and work well with others as you will be directly assisting two attorneys.

This is a great opportunity to learn and grow with our firm. You will be in the middle of the action, but will also perform some administrative tasks, which will likewise provide you with experience in office management.

Among the tasks you will be performing includes but is not limited to:

· Legal Research;

· Drafting Legal Memorandum;

· Drafting Legal Complaints;

· Drafting Demand Letters, including 93A

· Legal Filings;

· Legal Analysis;

· Develop course of actions and remedies with Attorneys;

· Document reviewing and/or proofreading;

· Assist in Court Proceedings;

· Assist in Court Preparation;

· Assist in Client Intake and Consultations

· Assist with Phone;

· Assist with Emails;

· Mail Preparation;

· Scanning;

· Assist with office Filings;

· And more.

In doing these tasks, you will gain experience in several areas of law, including, but not limited to, Family Law, Immigration, Contract Law, Personal Injury, Landlord/Tenant Law, Land Disputes, Civil Litigation, Criminal Law, Business Law, Discrimination Law, Employment Law, and more.

If you are eager to learn and get hands on experience then please send in a cover letter, your resume, as well as a writing sample.

Job Types: Part-time, Internship

Pay: $10.00 per year

Schedule:
• Day shift

Work Location:
• One location

Hours per week:
• 10-19

Company's website:
• aroldlawfirm.com

Work Remotely:
• No",https://www.internships.com/posting/sam_4033579590?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Spring 2021 Legal Intern,Sesame Workshop,Anywhere,"Sesame Workshop seeks a Spring 2021 Legal Intern. The legal intern would work alongside nine attorneys on a variety of matters including those related to television development and production, digital and consumer products licensing, product safety, events, marketing, publishing, advocacy, philanthropy and social impact initiatives.

Requirements:

The legal intern should have a foundation and interest in intellectual property, entertainment, corporate, and non-profit law. Candidates should be intellectually curious, flexible, and interested in transactional law. Candidates should also possess a passion to learn from and contribute to an incredibly active in-house legal team with unique, challenging and exciting matters.

Responsibilities

Under the guidance and supervision of the Sesame Workshop attorneys, the legal intern may:
• Provide support for Sesame’s anti-counterfeit program, including managing takedowns, and negotiating and drafting settlement agreements
• Review and draft varying documents including license agreements, third party correspondences, and vendor agreements
• Draft memoranda on various areas of law
• Provide research and other assistance on various projects as needed

Work Schedule:

Interns will be expected to work a maximum of 35 hours per week for approximately 15 weeks. The work hours and duration of the internship are flexible as we will work around your school schedule. Ideal candidate is open to working the Summer semester as well, however, an extension will be offered in Sesame Workshop’s sole discretion. The position is a remote work position.

PLEASE NOTE:

Applicants must have the legal right to work in the United States and must be currently enrolled in an accredited law school. Receiving school credit for this internship is optional. Due to the high volume of applications, we are unable to notify unsuccessful candidates.

Equal Opportunity Employer/Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity","https://www.glassdoor.com/job-listing/spring-2021-legal-intern-sesame-workshop-JV_IC1132348_KO0,24_KE25,40.htm?jl=4015052561&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Legal Intern,KabaFusion,"Lexington, MA (+1 other)","Grow your career with a growing company – join the team at KabaFusion!

KabaFusion specializes in IVIG (intravenous immunoglobulin) and home-infusion therapy with pharmacist-owned, patient-focused specialty pharmacies serving over 40 states across the country. We are guided by our commitment to positive clinical outcomes and excellence in specialty acute immunoglobulin infusion to provide generous compensation and benefits for our employees.

The Legal Intern will provide administrative and legal support to the General Counsel, Dept. of Human Resources, Compliance and Regulatory Affairs, and the organization as a whole. Main duties will include legal research and analysis of complex healthcare and pharmaceutical laws and regulations, local, state, and federal laws, and others as necessary. The intern will review and analyze contracts, including but not limited to; sales, pharmaceuticals, real estate, and provide guidance on necessary changes that need to be made, and assist in the negotiation process on behalf of KabaFusion Holdings, and its Affiliates (“KabaFusion”). Does not have any direct profit and loss responsibilities. The attorney must be able to work independently, and on a team. Directly accountable, and reports to the General Counsel.

M*AJOR DUTIES AND RESPONSIBILITIES: *
• Provides legal support to General Counsel, Dept. of Human Resources, and Compliance and Regulatory Affairs.
• Assists in contract review, provides guidance on terms and conditions, assists in negotiations, educates KabaFusion team on reason and rational behind negotiating certain terms of the contracts.
• Ensures company policies comply with the standards of practice of the profession and with local, state, and federal laws and regulations, as well as with accrediting bodies.
• Stays abreast of current and changing local, state, and federal laws and regulations as it pertains to the main duties of KabaFusion.
• Researches laws and regulations and provides updates on findings.
• Assists in fact-checking of education and training materials to ensure compliance with all applicable laws and regulations, including but not limited to employment law, pharmaceutical, and healthcare laws.
• Ensures effective, efficient, and cost-effective use of resources to maintain a productive environment.
• Understands supports and participates in information technology, development, and marketing and public relations initiatives of KabaFusion.

EDUCATION AND/OR EXPERIENCE REQUIREMENTS:

1. Admitted to a Juris Doctorate program from ABA-accredited law school.

2. Experience in life sciences or similar healthcare company or hospital organization a plus but not necessary.

Job Type: Internship

Job Types: Full-time, Part-time, Internship

Schedule:
• Monday to Friday

Experience:
• Writing Skills: 1 year (Preferred)
• Legal Research: 1 year (Preferred)

Work Location:
• One location

Company's website:
• https://www.KabaFusion.com

Company's Facebook page:
• https://www.facebook.com/KabaFusion/

Benefit Conditions:
• Only full-time employees eligible

Work Remotely:
• No

COVID-19 Precaution(s):
• Remote interview process
• Personal protective equipment provided or required
• Social distancing guidelines in place
• Virtual meetings
• Sanitizing, disinfecting, or cleaning procedures in place",https://www.internships.com/posting/sam_1006929473547?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Legal Intern,Imprivata,"Lexington, MA (+1 other)","Come join a winning team! Here at Imprivata you’ll see a dedicated group of professionals who care about improving health care. Our team thrives on collaboration and sharing ideas, whether in a cross-functional meeting or at one of our virtual team-building events.

While we're diverse in our backgrounds and skills, we have much in common. A passion for our mission. A strong sense of integrity. A belief that we're making a positive impact and a commitment to having fun.

Imprivata is looking for a Legal Intern to join the Imprivata Legal Team full-time. This is currently a remote position, but we are looking for a candidate located within commuting distance from either our MA or FL office.

In this role, you’ll get to:
• See what in-house legal practice is like for a fast-paced and global company
• Have the opportunity to work closely with Legal team members on various assignments and attend team meetings
• Support cross-functional business partners as needed by understanding company objectives and completing assignments
• Work on a variety of tasks, which might include topics like commercial contracts, data privacy, intellectual property, global mobility and immigration, and other general corporate matters
• Work independently with the support of an Imprivata Legal team member

We are looking for people who:
• Are currently enrolled in an educational program pursuing a legal profession
• Are self-starters and successful in independently working on various assignments
• Have excellent research and writing skills
• Are detail-oriented, with superior organizational skills and eager to learn quickly
• Demonstrate the ability to drive projects and take initiative, while also enjoying collaborating with others
• Possess strong communication skills, especially via email, an internal messaging system, Microsoft Teams and Zoom
• Are MS Office proficient with general computer software and application knowledge a plus

At Imprivata, we have a top-notch work environment, developmental opportunities, a competitive total rewards package, and the desire to have fun. If you have the skills and qualifications as we have described above, we want to hear from you!

Imprivata provides equal employment opportunities to minorities, females, veterans, and disabled individuals, as well as other protected groups",https://jobs.jobvite.com/imprivata/job/opMHefwQ?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
