title,company,location,requirements,link
Operations Engineering Intern (Summer 2021),BAE Systems,"Nashua, NH (+1 other)","Job Description BAE Systems’ Electronic Systems (ES) sector is looking for candidates to join our Operations Summer Internship Program starting in the Summer of 2021. We have open intern positions for talented, up and coming process, mechanical, manufacturing, and industrial engineers who want to work at a progressive company where technical excellence is highly valued. Our mission is “We Protect Those Who Protect Us” and “We Innovate for Those Who Move the World”, and as an Operations Technical Intern in Electronic Systems, you will develop your engineering skills while helping us protect the brave men and women in our armed forces, intelligence communities and first responders. Our products must work the first time, every time, because people’s lives depend on it. In Operations, it is our responsibility to make sure that whatever we build leaves with Zero Defects. As an Operations Intern, you will be working with Operations employees to achieve operational excellence, whether it be supporting those who build the product, work continuous improvement projects, apply zero defect and six sigma principles, or supplier quality improvements.

BAE Systems’ Intern Program also offers professional development classes, mentorship and opportunities to participate in collaborative group projects that are presented to executive leadership. Through these facets of the internship program, our interns complete the program better prepared to enter the work force as a full time employee. This internship will be located at BAE Systems in Nashua, NH, which offers a plethora of networking opportunities, connecting our young professionals to senior leadership. The internship is a paid internship and has a work schedule that includes every other Friday off. Housing is not included with the program. We are looking for hardworking, self-starters who have a willingness to learn and make positive change.

Acceptable Majors include Mechanical Engineering, Industrial Engineering, Systems Engineering, Chemical Engineering, Electrical Engineering and Manufacturing Engineering.
Required Education, Experience, & Skills Lean Manufacturing Principles
Technical Project Experience
Problem Solving Skills
Good Writing Skills
Microsoft
Strong CommunicationAbout BAE Systems Electronic Systems BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it’s what we do at BAE Systems. Working here means using your passion and ingenuity where it counts – defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team—making a big impact on a global scale. At BAE Systems, you’ll find a rewarding career that truly makes a difference. Electronic Systems (ES) is the global innovator behind BAE Systems’ game-changing defense and commercial electronics. Exploiting every electron, we push the limits of what is possible, giving our customers the edge and our employees opportunities to change the world. Our products and capabilities can be found everywhere – from the depths of the ocean to the far reaches of space. At our core are more than 14,000 highly talented Electronic Systems employees with the brightest minds in the industry, we make an impact – for our customers and the communities we serve. At BAE Systems, we celebrate the array of skills, experiences, and perspectives our employees bring to the table. For us, differences are a source of strength. We’re laser-focused on high performance, and we work hard every day to nurture an inclusive culture where all employees can innovate and thrive. Here, you will not only build your career, but you will also enjoy work-life balance, uncover new experiences, and collaborate with passionate colleagues",https://jobs.baesystems.com/global/en/job/67792BR/Operations-Supply-Chain-Intern-Summer-2021?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Operations Engineering Intern (Summer 2021),BAE Systems,"Hudson, NH","Job Description BAE Systems’ Electronic Systems (ES) sector is looking for candidates to join our Operations Summer Internship Program starting in the Summer of 2021. We have open intern positions for talented, up and coming process, mechanical, manufacturing, and industrial engineers who want to work at a progressive company where technical excellence is highly valued. Our mission is “We Protect Those Who Protect Us” and “We Innovate for Those Who Move the World”, and as an Operations Technical Intern in Electronic Systems, you will develop your engineering skills while helping us protect the brave men and women in our armed forces, intelligence communities and first responders. Our products must work the first time, every time, because people’s lives depend on it. In Operations, it is our responsibility to make sure that whatever we build leaves with Zero Defects. As an Operations Intern, you will be working with Operations employees to achieve operational excellence, whether it be supporting those who build the product, work continuous improvement projects, apply zero defect and six sigma principles, or supplier quality improvements.

BAE Systems’ Intern Program also offers professional development classes, mentorship and opportunities to participate in collaborative group projects that are presented to executive leadership. Through these facets of the internship program, our interns complete the program better prepared to enter the work force as a full time employee. This internship will be located at BAE Systems in Hudson, NH, which offers a plethora of networking opportunities, connecting our young professionals to senior leadership. The internship is a paid internship and has a work schedule that includes every other Friday off. Housing is not included with the program. We are looking for hardworking, self-starters who have a willingness to learn and make positive change.

Acceptable Majors include Mechanical Engineering, Industrial Engineering, Systems Engineering, Chemical Engineering, Electrical Engineering and Manufacturing Engineering.
Required Education, Experience, & Skills Lean Manufacturing Principles
Technical Project Experience
Problem Solving Skills
Good Writing Skills
Microsoft
Strong CommunicationAbout BAE Systems Electronic Systems BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it’s what we do at BAE Systems. Working here means using your passion and ingenuity where it counts – defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team—making a big impact on a global scale. At BAE Systems, you’ll find a rewarding career that truly makes a difference. Electronic Systems (ES) is the global innovator behind BAE Systems’ game-changing defense and commercial electronics. Exploiting every electron, we push the limits of what is possible, giving our customers the edge and our employees opportunities to change the world. Our products and capabilities can be found everywhere – from the depths of the ocean to the far reaches of space. At our core are more than 14,000 highly talented Electronic Systems employees with the brightest minds in the industry, we make an impact – for our customers and the communities we serve. At BAE Systems, we celebrate the array of skills, experiences, and perspectives our employees bring to the table. For us, differences are a source of strength. We’re laser-focused on high performance, and we work hard every day to nurture an inclusive culture where all employees can innovate and thrive. Here, you will not only build your career, but you will also enjoy work-life balance, uncover new experiences, and collaborate with passionate colleagues",https://jobs.baesystems.com/global/en/job/67780BR/Operations-Supply-Chain-Intern-Summer-2021?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Operations Engineering Intern (Summer 2021),BAE Systems,"Merrimack, NH (+1 other)","Job Description BAE Systems’ Electronic Systems (ES) sector is looking for candidates to join our Operations Summer Internship Program starting in the Summer of 2021. We have open intern positions for talented, up and coming process, mechanical, manufacturing, and industrial engineers who want to work at a progressive company where technical excellence is highly valued. Our mission is “We Protect Those Who Protect Us” and “We Innovate for Those Who Move the World”, and as an Operations Technical Intern in Electronic Systems, you will develop your engineering skills while helping us protect the brave men and women in our armed forces, intelligence communities and first responders. Our products must work the first time, every time, because people’s lives depend on it. In Operations, it is our responsibility to make sure that whatever we build leaves with Zero Defects. As an Operations Intern, you will be working with Operations employees to achieve operational excellence, whether it be supporting those who build the product, work continuous improvement projects, apply zero defect and six sigma principles, or supplier quality improvements.

BAE Systems’ Intern Program also offers professional development classes, mentorship and opportunities to participate in collaborative group projects that are presented to executive leadership. Through these facets of the internship program, our interns complete the program better prepared to enter the work force as a full time employee. This internship will be located at BAE Systems in Merrimack, NH, which offers a plethora of networking opportunities, connecting our young professionals to senior leadership. The internship is a paid internship and has a work schedule that includes every other Friday off. Housing is not included with the program. We are looking for hardworking, self-starters who have a willingness to learn and make positive change.

Acceptable Majors include Mechanical Engineering, Industrial Engineering, Systems Engineering, Chemical Engineering, Electrical Engineering and Manufacturing Engineering.
Required Education, Experience, & Skills Lean Manufacturing Principles
Technical Project Experience
Problem Solving Skills
Good Writing Skills
Microsoft
Strong Communication
About BAE Systems Electronic Systems BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it’s what we do at BAE Systems. Working here means using your passion and ingenuity where it counts – defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team—making a big impact on a global scale. At BAE Systems, you’ll find a rewarding career that truly makes a difference. Electronic Systems (ES) is the global innovator behind BAE Systems’ game-changing defense and commercial electronics. Exploiting every electron, we push the limits of what is possible, giving our customers the edge and our employees opportunities to change the world. Our products and capabilities can be found everywhere – from the depths of the ocean to the far reaches of space. At our core are more than 14,000 highly talented Electronic Systems employees with the brightest minds in the industry, we make an impact – for our customers and the communities we serve. At BAE Systems, we celebrate the array of skills, experiences, and perspectives our employees bring to the table. For us, differences are a source of strength. We’re laser-focused on high performance, and we work hard every day to nurture an inclusive culture where all employees can innovate and thrive. Here, you will not only build your career, but you will also enjoy work-life balance, uncover new experiences, and collaborate with passionate colleagues",https://jobs.baesystems.com/global/en/job/67786BR/Operations-Supply-Chain-Intern-Summer-2021?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Operations Intern,Raytheon Missiles & Defense,"Andover, MA","This position is for an intern who will be entering their sophomore – senior year by the start of summer 2021

About Us:
At Raytheon Missiles & Defense, by combining our vast resources and investments, we are able to dedicate ourselves to solving mission-level vs. product-level customer challenges – together we can anticipate more, move faster and make a bigger impact on the big picture.

Job Description:
Raytheon Missiles and Defense (RMD) is a technology and innovation leader specializing in defense, security and civil markets where you’ll be part of global team working together to solve some of the most demanding challenges on the planet. We are the world's largest developer, producer and integrator of weapon systems. In fact, we've produced over one million missiles in our history. Military forces in more than 50 countries look to us for high-quality product portfolio that includes missiles, smart munitions, projectiles, kinetic kill vehicles and directed energy weapons. We are able to accomplish this feat because our employees live our Values of Trust, Respect, Collaboration, Innovation and Accountability. Diversity is a part of our culture and a key to our success. When world-class talent works together in a place that is respectful and inclusive, we solve some of the world's hardest problems.

The RMD Operations Execution and Program Operations teams are looking for summer interns to help us meet and exceed our manufacturing goals. Our Operations interns will participate and work on exciting manufacturing projects focusing on Lean Manufacturing Methodologies. The Operations intern position may include coordinating/planning the production schedule, working with cross-functional teams within a manufacturing environment and interfacing with the program management teams to ensure schedule, cost and quality targets are achieved.

Responsibilities you will anticipate:
• Manufacturing Support and or Program Operations Support.
• Manage WIP on the Production Floor
• Proactively manage material position from a program and production control perspective to support schedule, cost and quality

This position can be a ST01-ST04 based on the candidate's qualifications and standing as outlined below:
• ST01 (Freshman Technical)- must be enrolled in a Bachelor’s degree program
• ST02 (Sophomore Technical)- must have completed 30 credit hours by start of internship
• ST03 (Junior Technical)- must have completed 60 credit hours of college by start of internship
• ST04 (Senior Technical)- must have completed 90 credit hours of college by start of internship
• ST05 (Post-Graduate Technical or)- must have an undergraduate degree and be enrolled in a graduate degree program (in degree fields listed in Qualifications You Must Have) by start of internship

Qualifications you must have:
• Pursuing a Bachelor’s/Master’s degree in Engineering, Operations, manufacturing or related fields.
• Experience with MS office applications and computerized tools

Desired Skills:
• The ability to obtain and maintain a US security clearance. U.S. citizenship is required as only U.S. citizens are eligible for a security clearance
• Experience in a manufacturing environment
• GPA of 3.0 and above.
• Excellent interpersonal and communication skills.
• Ability to problem solve both as an individual and as part of team.
• Demonstrated ability to work effectively with individuals from diverse communities and cultures
• Demonstrated ability to work with colleagues who represent diversity of work and conflict resolution styles
• Willingness to develop, support and maintain strong relationships w/respective cross functional/program management teams

Whether you’re just starting out on your career journey or are an experienced professional, we offer a robust total rewards package that goes above and beyond with compensation; wellness, retirement and work/life benefits; career development and recognition programs. Some of the superior benefits we offer include flexible work schedules and achievement awards.177624",https://jobs.rtx.com/job/andover/operations-intern/4679/6031959296?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Operations Supply Chain Intern,BAE Systems,"Nashua, NH","Job Description BAE Systems’ Electronic Systems (ES) sector is looking for candidates to join our Operations Summer Internship Program starting in the Summer of 2021. We have open intern positions for talented, up and coming Supply Chain and Business professionals who want to work at a progressive company where Operations Excellence and Project Management is highly valued. Our mission is “We Protect Those Who Protect Us” and “We Innovate for Those Who Move the World”, and as an Operations Nontechnical Intern in Electronic Systems, you will develop your skills while helping us protect the brave men and women in our armed forces, intelligence communities and first responders. Our products must work the first time, every time, because people’s lives depend on it. In Operations, it is our responsibility to make sure that whatever we build leaves with Zero Defects. As an Operations Nontechnical Intern, you will be working with Operations employees to ensure we are doing whatever is needed to support the build of the products for our warfighter. Currently we have positions where we need interns to support suppliers in delivering material on time, support material flow in our factories, set up Point of Use on the floor to reduce lead-time, or work Subcontracts or Logistics. All of these activities are critical to the success of Achieving Operational Excellence, delivering product on time and supporting our customer.BAE Systems’ Intern Program offers professional development classes, mentorship and opportunities to participate in collaborative group projects that are presented to executive leadership. Through these facets of the internship program, our interns complete the program better prepared to enter the work force as a full time employee. This internship will be located at BAE Systems in Austin, TX, which offers a plethora of networking opportunities, connecting our young professionals to senior leadership. The internship is a paid internship and has a work schedule that includes every other Friday off. Housing is not included with the program. We are looking for hardworking, self-starters who have a willingness to learn and make positive change.We are looking for Supply Chain, Business, Project Management, Engineering, and Operations Management majors who are hardworking self-starters that have a willingness to learn and tackle challenges.Required Education, Experience, & Skills Good Writing SkillsMicrosoft ExcelStrong Communication SkillsUnderstanding of Supply ChainExperience running a projectGood organizational skills",https://tarta.ai/j/IQUHs3gBrJRKg1c1RrhM-operations-supply-chain-intern-in-nashua-new-hampshire-at-bae-systems?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Compliance Operations Intern,Alexion Pharmaceuticals,"Boston, MA","This position will be remote/virtual and can be based from anywhere within the United States.

Position Summary

The Intern will support the day-to-day operations for the US & Enterprise Strategic Projects. This role will support the execution of the tactics identified as critical to achieving our goals and objectives. This can include:

+ Writing and sending of communications to the business in support of our strategic projects. Manage the communications tracker and identify opportunities to streamline.

+ Supporting the execution of the training strategy, including the integration of live training attendance into Alexion University, our training system of record

+ Partnering with the US Administrative Assistance to improve document storage and organization, ultimately leading to improved knowledge management

+ Contributing to the daily operations and document management of the monitoring program

+ Using Smartsheets to update project plans for the strategic projects

+ Provide support for the risk assessment project like data collection, as well as interview and survey scheduling

As a result of this work, the intern will learn about various elements of a Compliance program, in addition to how those elements get executed daily.

Qualifications:

+ Motivated to take initiative and work effectively in teams

+ Excellent communication and organizational skills

+ Ability to quickly adapt to new work and handle multiple priorities

+ Effectively work in an extremely fast-paced, dynamic environment

+ Work collaboratively on a diverse team

+ Passion for innovation and creativity

+ Ability to maintain confidentiality of employees and company sensitive information

+ Microsoft Office proficiency

Education:

+ Must be enrolled in an undergraduate or graduate degree program
• LI-DD1

[[filter5]], [[filter1]]

#LI-Remote

Some opportunities happen only once in a lifetime - like a job where you have the extraordinary opportunity to change lives. At Alexion, such opportunities arise through our unwavering mission to serve patients and families affected by rare diseases. These patients are our guiding star, and we act with integrity, urgency, and discipline because we know their lives are at stake.

Alexion is a global biopharmaceutical company focused on serving patients and families affected by rare diseases and devastating conditions through the discovery, development and commercialization of life-changing medicines. As a leader in rare diseases for more than 25 years, Alexion has developed and commercializes two approved complement inhibitors to treat patients with paroxysmal nocturnal hemoglobinuria (PNH) and atypical hemolytic uremic syndrome (aHUS), as well as the first and only approved complement inhibitor to treat anti-acetylcholine receptor (AchR) antibody-positive generalized myasthenia gravis (gMG) and neuromyelitis optica spectrum disorder (NMOSD). Alexion also has two highly innovative enzyme replacement therapies for patients with life-threatening and ultra-rare metabolic disorders, hypophosphatasia (HPP) and lysosomal acid lipase deficiency (LAL-D) as well as the first and only approved Factor Xa inhibitor reversal agent. In addition, the company is developing several mid-to-late-stage therapies, including a copper-binding agent for Wilson disease, an anti-neonatal Fc receptor (FcRn) antibody for rare Immunoglobulin G (IgG)-mediated diseases and an oral Factor D inhibitor as well as several early-stage therapies, including one for light chain (AL) amyloidosis, a second oral Factor D inhibitor and a third complement inhibitor. Alexion focuses its research efforts on novel molecules and targets in the complement cascade and its development efforts on the core therapeutic areas of hematology, nephrology, neurology, metabolic disorders and cardiology. Headquartered in Boston, Massachusetts, Alexion has offices around the globe and serves patients in more than 50 countries. Further information about Alexion can be found at: www.alexion.com.

As a leading employer in our industry, Alexion is proud to offer a highly competitive package of base and incentive compensation as well as a comprehensive benefits program designed to support the health, wellness and financial security of our employees and their families. Benefits include group medical, vision and dental coverage, group and supplemental life insurance, 401(k) with company match, tuition reimbursement, relocation assistance and much more",https://www.mendeley.com/careers/job/us-and-enterprise-strategic-project-operations-intern-3172920?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Operations Intern - Paid Internship,Kaymbu,"Cambridge, MA (+3 others)","About the Role

Kaymbu is seeking an inspired, self-driven operations intern interested in joining a thriving, fast-paced edtech startup that is committed to helping teachers and families connect in a meaningful way with one another.

In this paid position, with a flexible 15 hour per week schedule, you will assist the VP of Operations with tasks related to:
• Finance and invoice collection
• Merchandise support and fulfillment
• Producing and supporting live virtual events
• Shipping and processing iPads

Our ideal candidate would be an undergrad or graduate student in the Boston area who is passionate about education and technology. The role is mostly remote, except for our iPad operations, which are currently run out of a Workbar in Cambridge. We have our own dedicated office space there, and safety protocols are observed. If it is not possible for you to do this part of the job, that is ok!

Your eagerness to roll up your sleeves and dive into operations projects will support hard-working educators in their work and directly impact company growth. We are looking for someone who is a curious and creative mind, paired with exceptional organizational and time management skills.

About the Company

Kaymbu is the leading family engagement solution for early education programs. From simple photo sharing to rich visual assessment, and physical products like photo books and student portfolios, Kaymbu connects educators with young, digital-native parents. Our SaaS platform is used by programs ranging from small, private childcare centers to large, public school districts.

Why Kaymbu?

We are a team of passionate educators, engineers, and parents. This position is a great opportunity if you are looking to work for a small-sized company that makes a considerable impact within the edtech industry. Although we have become a primarily remote company during the last year, we value the close culture we’ve fostered, and regularly participate in team activities.

Kaymbu focuses on Mobile, SaaS, B2B, and Education. Their company has offices in Boston and Cambridge. They have a small team that's between 11-50 employees.

You can view their website at http://www.kaymbu.com or find them on Twitter, Facebook, and LinkedIn",https://angel.co/company/kaymbu/jobs/1257844-operations-intern-paid-internship?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Remote Operations Internship (TO-4D92B),Maximus,"Nashua, NH","**Job Summary** The individual will leverage quantitative and independent research skills in analysis of large, complex and incomplete data sets to identify and assess potential business opportunities that result in measurable operational improvements and margin growth. The Operations Intern is a key member of the operations team supporting data management, client reporting, process engineering, quality control, and problem resolution. The intern will be expected to perform independent gap analysis between current solution sets and anticipated requirements, identify business process enhancements, determine the applicability of new technologies and operational approaches, design and execute formal operations work plans, perform cost/benefit analysis on operations scenarios, and identify key factors that determine success for the project. Candidates will develop overall operations strategy as well as internal and external partnerships, corrective action plans and associated presentations for key Division leadership. **Essential Duties** - Actively participate in the overall strategic planning by linking project-specific activities with broader needs across the division - Interacts routinely with all levels of Operation and Group management, infrastructure POCs, staff, and customers, and follow through on tasking - Conducts after action reviews for all operations staff to document lessons learned and identify necessary adjustments to technique, strategy, and actions - Develop and implements modeling and evaluation processes to determine the effectiveness of current operational activities - Conducts statistical analyses and evaluates a wide variety of information to assess operational difficulties and develop solutions to complex problems, including escalated issues - Designs and implements process improvements that enhance customer service and optimize business operational efficiency and quality - Creates, analyzes and delivers customized reporting for both internal and external audiences - Develops high-quality communications suitable for clients - Perform other duties as assigned by leadership",https://us.trabajo.org/job-269-20210410-4d92ba89698fe8caa71d63f4fcd905ee?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
IT Operations Intern,Healthedge,"Burlington, MA (+1 other)","Title: IT Operations Intern

Dates: May 31st 2021 – August 20th 2021

Location: Burlington, MA

Position Summary:

HealthEdge offers a paid internship program that lasts for 12 weeks each summer. The program allows students to learn about working in a software company and the different departments that collaborate to make our customers successful. Interns selected will work within their specific job function but also have seminars weekly that offer exposure to all departments at HealthEdge: Engineering, Marketing, Finance, IT Operation, Product Management, and Customer Support. In addition, interns will participate in workshops focused on resume writing, professional networking, interview preparation, and many more. There will also be some exciting social outings and volunteer opportunities throughout the summer. Our goal is to have our interns leave with practical and applicable experience to build out their professional portfolio, meet some great connections and have some fun along the way!

Job Responsibilities:
• Assist with general documentation updates and updates to our Web and Confluence pages
• Gather information for the Web/Confluence page updates
• Work within technology and software
• Participate in deployments, technical writing, and corporate / project meeting updates
• Hands on execution of tasks, incident resolution and troubleshooting
• Attend trainings and continue to build upon social, collaboration and communication skills

Qualifications:
• Proficient with Excel, PowerPoint & Microsoft Word
• Technical acumen
• Excellent written and verbal communication skills
• Driven, self-starter attitude
• Accountable and a team player
• Attention to detail
• Problem solver

Bonus Qualifications:
• Confluence experience","https://www.glassdoor.com/job-listing/it-operations-intern-healthedge-JV_IC1154543_KO0,20_KE21,31.htm?jl=4027002308&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Operations Supply Chain Intern (Summer 2021),BAE Systems,"Nashua, NH","Job Description

BAE Systems Electronic Systems (ES) sector is looking for candidates to join our Operations Summer Internship Program starting in the Summer of 2021. We have open intern positions for talented, up and coming process, mechanical, manufacturing, and industrial engineers who want to work at a progressive company where technical excellence is highly valued. Our mission is We Protect Those Who Protect Us and We Innovate for Those Who Move the World , and as an Operations Technical Intern in Electronic Systems, you will develop your engineering skills while helping us protect the brave men and women in our armed forces, intelligence communities and first responders. Our products must work the first time, every time, because people s lives depend on it. In Operations, it is our responsibility to make sure that whatever we build leaves with Zero Defects. As an Operations Intern, you will be working with Operations employees to achieve operational excellence, whether it be supporting those who build the product, work continuous improvement projects, apply zero defect and six sigma principles, or supplier quality improvements.

BAE Systems Intern Program also offers professional development classes, mentorship and opportunities to participate in collaborative group projects that are presented to executive leadership. Through these facets of the internship program, our interns complete the program better prepared to enter the work force as a full time employee. This internship will be located at BAE Systems in Nashua, NH, which offers a plethora of networking opportunities, connecting our young professionals to senior leadership. The internship is a paid internship and has a work schedule that includes every other Friday off. Housing is not included with the program. We are looking for hardworking, self-starters who have a willingness to learn and make positive change.

Acceptable Majors include Mechanical Engineering, Industrial Engineering, Systems Engineering, Chemical Engineering, Electrical Engineering and Manufacturing Engineering.

Required Education, Experience, & Skills

Lean Manufacturing Principles

Technical Project Experience

Problem Solving Skills

Good Writing Skills

Microsoft

Strong Communication

Operations Supply Chain Intern (Summer 2021)

67792BR

EEO Career Site Equal Opportunity Employer. Minorities . females . veterans . individuals with disabilities . sexual orientation . gender identity . gender expression",https://us.jora.com/job/Operations-Supply-Chain-Intern-9514ad61849f575072152f86c5f83f38?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
