title,company,location,requirements,link
Software Intern/Co-op,Jacobs,"Hudson, NH (+1 other)","Critical Mission Solutions

Your mission is our mission.

We're invested in you and your success. Everything we do - whether Aerospace, Defense, Intelligence, Information Technology, Cybersecurity, Nuclear, Automotive, or Telecommunications - is more than just a project. It's our challenge as human beings, too. That's why we bring a thoughtful and collaborative approach to every one of our partnerships.

It's our promise to challenge the status quo as we redefine how to solve the world's greatest challenges, and transform big ideas into intelligent solutions for a more connected, sustainable world.

Design your career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed –today and into tomorrow.

Your Impact:
Jacobs is a global technology company, delivering solutions for a more connected, sustainable world. We test, operate, sustain, and secure critical infrastructures and weapons systems using unique technology application and agile software development capabilities to improve mission capability and operational readiness. Jacobs' deep experience with advanced technology systems and our wide-ranging program support capabilities work together to make us a premier partner to aerospace and defense clients locations around the world.

This is an entry level position intended to allow employees to grow their software development skills within the organization. This position can be a co-op for college/university credit.

Duties & Responsibilities:
Work scope may include any/all of the following duties:
• Performs technical tasks to include code and unit test activities. Applies advanced technologies, scientific principles, theories and concepts in related technical disciplines or in a specialty.
• Supports resolution of technical issues as they arise.
• In addition to software engineering activities, provides support for the preparation (including briefings and status reports) and attendance of technical and management meetings and reviews.
• This list is not intended to be all-inclusive and may be expanded to include other duties and responsibilities.
Here’s What You’ll Need:
Education Desired/Required:
Must have completed freshman year of undergraduate studies and major in one of these fields of study: Computer Science or Computer Engineering. Must have demonstrated very strong aptitude in this major of study.

Knowledge, skills & abilities:
• Ability to perform entry level or developmental level assignments applying knowledge of engineering technology and research engineering concepts to the specific technical tasks, preferred.
• Familiarity with Microsoft Visual Studio and at least one programming language such as C++ or C#.

Training & Certifications:
• Pursuing a BS Undergraduate in Computer Science or Computer Engineering at an accredited college or university.

Guidelines (level of supervision required to perform):
• The assigned supervisor or mentor provides specific instructions and screens assignments for difficult or unusual problems.

Complexity of tasks/responsibilities:
• Intern works under the mentorship of an Engineer or Principal Engineer and reviews project instructions to ascertain requirements, specifications, procedures, objectives, equipment, nature of technical problem, and possible solutions.

Positions supervised:
None

U.S. CITIZENSHIP REQUIRED. Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information.

Essential Functions

Physical Requirements: Work is primarily sedentary. Some walking and standing may occur in the course of a normal workday in connection with travel to and from meeting and conferences. May carry light items, such as reports, data products, notebooks and laptops.

Work Environment:
Work in a cubical environment.

Criticality of Attendance:
Must be able to work within the shift hours established by the customer normally between the hours of 6:00 a.m. and 6:00 p.m. With the exception of STD/LTD/FMLA & approved time off, attendance is considered essential. Punctuality and regular attendance are necessary to meet deadlines.

Equipment and Machines:
Standard office equipment and machines: personal computer, scanner, copy machine, telephone, printer, fax machine, and other office equipment including desk supplies.

Travel Requirements:
Some local travel is anticipated.

Other Essential Functions:
Must be a U.S. Citizen
Must pass drug testing.
Must be able to read and write effectively in English.
Must embrace Beyond Zero/Safety principles of Jacobs to include; adhering to safe work practices and standards while performing daily tasks, taking responsibility for own and coworkers’ safekeeping and encouraging others to work safely.
Must maintain a positive work atmosphere by behaving and communicating in a manner to get along with customers, clients, co-workers and management.
Must perform work activities requiring interaction, negotiating, instructing, supervising, persuading or speaking with others.
Must be able to work under supervision and respond appropriately and professionally to criticism from a supervisor.
Must be flexible to support the customer.
Must be a resident in the local area of the main supported unit.

Jacobs is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, religion, creed, color, national origin, ancestry, sex (including pregnancy, childbirth, breastfeeding, or medical conditions related to pregnancy, childbirth, or breastfeeding), age, medical condition, marital or domestic partner status, sexual orientation, gender, gender identity, gender expression and transgender status, mental disability or physical disability, genetic information, military or veteran status, citizenship, low-income status or any other status or characteristic protected by applicable law. Learn more about your rights under Federal EEO laws and supplemental language.

At Jacobs, we’re challenging today to reinvent tomorrow by solving the world’s most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good. With $13 billion in revenue and a talent force of more than 55,000, Jacobs provides a full spectrum of professional services including consulting, technical, scientific and project delivery for the government and private sector","https://www.glassdoor.com/job-listing/software-intern-co-op-jacobs-JV_IC1147904_KO0,21_KE22,28.htm?jl=3754710405&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Software Engineer Intern - Summer 2021,Tracking Link Board,"Boston, MA","Our engineering team is building the future of home and looking for dynamic, hardworking and talented students to join us for a 10 week internship in the Summer of 2021. As a Software Engineering Intern you will dive into a number of complex technical projects and gain a better understanding of our business. You will have the opportunity to work within one of the following groups:
• Storefront Engineering: Shopping for your home can be overwhelming. Wayfair is an extreme case - it's visited by two million people daily, shopping across more than 14 million products. Our software engineering teams work to make an extremely complex process seamless for our customers. Shopping for your home should be exciting, and we want every customer to come away feeling like they've found the perfect item for them.
• Supply Chain Engineering: We are responsible for all of the systems related to the physical movement of Wayfair products. Everything from warehousing, order tracking, inventory forecasting to routing systems and final mile delivery. This group is essential to ensuring customers are provided with the best service experience in e-commerce. The majority of Wayfair’s business is built on repeat customers and it is important for them to have a smooth delivery experience to ensure they keep them coming back.
• Ad Tech and Customer Intelligence Engineering: We build solutions that let Wayfair communicate with new and existing customers effectively across advertising, email, and onsite touchpoints. This team is at the intersection of product, marketing, data science, and technology which allows us to be a leader in the Ad Technology space. We are using cutting edge intelligent systems, big data at scale, and world class ad tech to drive phenomenal growth in a multi-billion dollar business.
• Sales, Service, and Enterprise Platform Engineering: We are focused on building and improving software that directly impacts customers, customer service agents, sales associates, Finance, Talent Management and external vendors. Our engineers are responsible for all the tools and processes to support these business-critical operations of Wayfair, along with supporting the continued enhancement and scaling capabilities of these systems. Engineers use data, user-centric design, machine learning, and Agile to achieve operational excellence, fueling company growth.
• Infrastructure and Platform Engineering: This collection of teams handles the design, building, and support for all technical systems that the Business, Software Teams and Operations utilize. We maintain the storefront site and assure our customers have a top quality experience building a home they love. This team focuses on building scalable and efficient processes to help our engineering organization be the best they can be. From Site Reliability, Release Engineering to our Security and Data Infrastructure teams, this group is the glue that hold Wayfair.com together.
• Catalog Systems Engineering: Catalog Engineering provides the service-oriented architecture leveraged by our Storefront organization, including the development and management of all tools and processes related to our Product Catalog. Over 18 million products are defined and maintained through this platform, with offerings in the US, UK and Canada. Our team is broken down into 4 high-level domains, each populated with several subgroups which have the authority and autonomy to tackle distinct challenges pertaining to our Catalog. Our team is language agnostic and we come from a wide variety of technical backgrounds; we believe diversity of thought is critical to our success! By having a team of well-rounded engineers, we’re able to create best-in-class, scalable solutions that our millions of internal and external customers use every day!

What You’ll Do:
• You will work on individual and group projects focused on the full project life-cycle
• You will collaborate with business leaders and key stakeholders to brainstorm on how to solve the challenge
• You will be exposed to a broad spectrum of technologies and programming languages
• We will help you improve your designs and jumpstart your learning
• You will have accessibility to engineering leadership who want to hear your ideas
• You will have the opportunity to engage with other interns throughout the program and learn about various departments within the broader business.
• You will receive professional development training to improve your soft and hard skills

What You’ll Need:
• You are currently enrolled in a full-time Bachelors or Masters degree program in Computer Science or related technical field and returning to a full-time degree program after completion of the internship..
• You have experience with full stack and/or mobile development.
• You have knowledge and experience working with object oriented programming languages.
• You have experience or exposure to SQL, JavaScript and HTML.
• You have an interest in working with big data and machine learning
• You enjoy autonomy and the opportunity to make a project or tool on your own
• You have an ability to leverage problem solving and execution skills to make decisions and draw conclusions in the face of ambiguity
• You have strong written and verbal communication skills

About Us:

Wayfair is one of the world’s largest online destinations for the home. Whether you work in our global headquarters in Boston or Berlin, or in our warehouses or offices throughout the world, we’re reinventing the way people shop for their homes. Through our commitment to industry-leading technology and creative problem-solving, we are confident that Wayfair will be home to the most rewarding work of your career. If you’re looking for rapid growth, constant learning, and dynamic challenges, then you’ll find that amazing career opportunities are knocking.

No matter who you are, Wayfair is a place you can call home. We’re a community of innovators, risk-takers, and trailblazers who celebrate our differences and diversity, and know that our unique perspectives make us stronger, smarter, and well-positioned for success. We value and rely on the collective voices of our employees, customers, community, and suppliers to help guide us as we build a better Wayfair – and world – for all. Every voice, every perspective matters. That’s why we’re proud to be an equal opportunity employer. We do not discriminate on the basis of race, color, ethnicity, ancestry, religion, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, or genetic information",https://boards.greenhouse.io/trackinglink/jobs/4874824002?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineering Internship,Brooks Automation Careers,"Chelmsford, MA (+1 other)","Reporting to the Robot Software Engineering manager, the intern will be given one of the independent work projects to complete with guidance from their manager. As part of this, they will work with the software development and quality assurance team members to learn how to use and troubleshoot Brooks robots.

Brooks Automation offers the industry’s most advanced and reliable robots for operation in vacuum and isolation environments. Setting the industry standard for vacuum robot automation, Brooks’ MagnaTran family of robots deliver unparalleled cleanliness, repeatability and throughput. These state-of-the-art vacuum robots, designed specifically for tool automation in semiconductor wafer processing and other complex manufacturing environments, enable OEMs to build proven reliability and performance into their automation platforms.

Type of Degree (In Progress)/Skills/Unique Capabilities:
• Bachelors in Computer Science, Computer Engineering, Electrical Engineering, Robotics, or related area
• Masters in Computer Science, Computer Engineering, Electrical Engineering, Robotics, or related area
• Software development with Python or Javascript as described in the project descriptions above. Familiarity with source control tools, such as Git or similar, is a plus. Familiarity with Azure DevOps or other bug-tracking / work-flow system is a plus.

EOE M/F/Disabled/VET",https://careers.brooks.com/job-detail/software-engineering-internship-r3983?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Summer Intern - Software Engineering,Kronos Incorporated,"Lowell, MA","Job Information

Kronos Summer Intern - Software Engineering in Lowell, Massachusetts

Summer Intern - Software Engineering

Location:

Lowell - Massachusetts - USA

Ref #:

20210016836

Description

This intern role will assist the Device Management Team in the advanced of our quality, performance, and resiliency testing. This role will start with manual testing, progress to automation. Additionally, as time and skills allow, the intern will participate in other engineering activities, such as, developing code for the Dimensions or Workforce Central code base.

Work directly with a global team of Software Engineers, Automation Engineers and Quality Analysts within an Agile Scrum team.

Participate in the engineering teams daily standup and sprint planning activities. Work collaboratively with Engineers and Analysts on sprint tasks.

Execution and development of automation to test UKG time clocks in the cloud

Depending on pace of learning and preexisting skillset, other interns have been able to develop Java code either in the Device Management code base or in ancillary applications or projects.

Qualifications

Pursuing a bachelors degree in a related field of Computer Science or Computer Engineering

Demonstrate excellent verbal and written communication skills

Experience developing code with a modern programming language, ideally Java.

Preferably a Junior or Senior hat has completed projects with Java or other modern object-oriented languages.

Corporate overview

Here at UKG, Our Purpose Is People. UKG combines the strength and innovation of Ultimate Software and Kronos, uniting two award-winning, employee-centered cultures. Our employees are an extraordinary group of talented, energetic, and innovative people who care about more than just work. We strive to create a culture of belonging and an employee experience that empowers our people. UKG has more than 13,000 employees around the globe and is known for its inclusive workplace culture. Ready to be inspired? Learn more at www.ukg.com/careers

EEO Statement

Equal Opportunity Employer

Kronos, a UKG Company, is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, age, national origin, protected veteran status, disability or any other basis protected by federal, state or local law.

ViewThe EEO is the Law poster (https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm) and its supplement .

View thePay Transparency Nondiscrimination Provision (https://www.dol.gov/ofccp/pdf/pay-transp_formattedESQA508c.pdf)

Kronos participates in E-Verify. View the E-Verify postershere (https://www.e-verify.gov/sites/default/files/everify/posters/EVerifyParticipationPoster.pdf) .

Disability Accommodation

For individuals with disabilities that need additional assistance at any point in the application and interview process, please email KronosCareers@kronos.com or please call1 (978) 250 9800",https://www.internships.com/posting/bug_38961144211?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Infinity Software Engineer Intern - Summer/Fall 2021,Oracle,"Nashua, NH","This job code is utilized for the majority of our temporary hires. The individual is performing hourly job duties as defined under the Fair Labor Standards Act..Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.*.This is a remote/office based position which may be performed anywhere in the United States except for within the state of Colorado.* With Oracle Infinity, marketers can put data in motion and turn it into their most powerful business asset. Oracle Infinity is an analytics solution that harnesses big data and works in Real Time to collect, process, and deliver actionable customer intelligence at scale - with unlimited flexibility. To deliver on this promise, the Infinity Engineering Team crafts solutions of the highest quality leveraging cutting edge technologies, best practices, and a test driven approach in a highly collaborative environment where accountability, innovation, and initiative are valued. Our development teams focus on enabling our customers to solve their unique business challenges by leveraging the power of our big data and streaming data platforms. Our developers design solutions that rely on choosing the right tool for the job, often with cutting edge technologies. We offer a highly collaborative work environment where accountability, innovation, and initiative are valued and best practices, coding standards, and a test driven attitude are leveraged to produce software of the highest quality. ----------------------------------------------------------------.To be considered for a Software Engineer Intern position on the Infinity team, you_must_possess the Objective Minimum Qualifications (OMQs) below*. Please ensure that your application clearly indicates that you meet these OMQs, either on your resume and/or by uploading additional documents such as a transcript.. Have less than 12 months of Full time professional work experience in a relevant technical field, EXCLUDING internships, research and/or teaching assistant roles, and military experience. Must fulfill the requirements of the*PCEP program at Portland State University*(https://www.pdx.edu/computer-science/pcep-internship). Are able to obtain work authorization in the United States in 2021.*Job:*.*All Roles*.*Organization:*.*Oracle*.*Title:*.Infinity Software Engineer Intern - Summer/Fall 2021*.*Location:*.United States*.*Requisition ID:*.21000HGS","https://www.jobserve.com/gb/en/search-jobs-in-Nashua,-New-Hampshire,-USA/INFINITY-SOFTWARE-ENGINEER-INTERN-SUMMER-FALL-2021-1B32B4CC67A17C839E/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Software Engineering Intern - Summer 2021,DraftKings,"Boston, MA","We are DraftKings.

We’re inspired by our shared passion for developing creative solutions to complex challenges and empowering the people around us to do their best work. We are industry leaders in the digital entertainment and technology space propelled by constant curiosity and diverse perspectives.

Our teams are fueled by innovation. We are looking ahead, building what’s next, and continuously reinventing the industry. We’re a publicly traded (NASDAQ: DKNG) technology company headquartered in Boston, with teams around the world and an expanding global presence.

DraftKings is a sports entertainment company that has technology at its core. As an intern with the Engineering team, you'll be a contributor to user facing work in your first week, and own a project to to completion end to end, all while embedded in one of our Engineering teams. We feel this gives you the opportunity to learn a lot, in Software Engineering best practices, and what it is like to be a Software Engineer at DraftKings.

Join Us!

We strive to create a place where all feel safe, empowered, engaged, championed, and inspired. DraftKings is proud to be an equal opportunity employer. This means we do not tolerate discrimination of any kind and are committed to providing equal employment opportunities regardless of your gender identity, race, nationality, religion, sexual orientation, status as a protected veteran, or status as an individual with a disability.

Ready to build what’s next? Apply now.

As a regulated gaming company, you may be required to obtain a gaming license issued by the appropriate state agency as a condition of employment",https://jobs.lever.co/draftkings/a878b814-fffa-40d6-b501-f504c9287180?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Intern - Software Engineer,"Cadence Design Systems, Inc.","Chelmsford, MA (+1 other)","At Cadence, we hire and develop leaders and innovators who want to make an impact on the world of technology. Cadence has a 30-year history of applying leading edge optimization and analysis algorithms to extremely complex problems in semiconductor and electronic design, verification, and analysis. We are looking for a software engineering intern engineer to join our team of collaborative EDA professionals to deliver the best in class next generation of software for physical IC applications. The software engineer intern will work with a mentor in the Verification team to improve and add new functionality to existing system software code. Strong problem solving, analysis, and programming skills are required.

Key Responsibilities:

Design, develop, test and improve software.

Develop code for quality and scalability.

Profile code to understand bottlenecks and develop solutions.

Requirements:

+ Must be enrolled in a BSCS/BSEE program or higher

+ Excellent software programming skills

+ Excellent verbal and written communication skills

+ Knowledge of debugging process, code development flow, and source control tools

We're doing work that matters. Help us solve what others can't. Cadence plays a critical role in creating the technologies that modern life depends on. We are a global electronic design automation company, providing software, hardware, and intellectual property to design advanced semiconductor chips that enable our customers create revolutionary products and experiences.

Thanks to the outstanding caliber of the Cadence team and the empowering culture that we have cultivated for over 25 years, Cadence continues to be recognized by Fortune Magazine as one of the 100 Best Companies to Work For. Our shared passion for solving the world's toughest technical challenges, our dedication to pushing the limits of the industry, and our drive to do meaningful work differentiates the people of Cadence.

Cadence is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, basis of disability, or any other protected class","https://www.ziprecruiter.com/c/Cadence-Design-Systems,-Inc./Job/Intern-Software-Engineer/-in-Chelmsford,MA?jid=8f1b753061359bf5&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Software Engineering Intern,HealthEdge Software,"Burlington, MA (+1 other)","Title:Software Engineering Intern

Dates: May 31st, 2021 - August 20th, 2021

Location: Burlington, MA/Virtual

Position Summary:

HealthEdge offers a paid internship program that lasts for 12 weeks each summer. The program allows students to learn about working in a software company and the different departments that collaborate to make our customers successful. Interns selected will work within their specific job function but also have seminars weekly that offer exposure to all departments at HealthEdge: Engineering, Marketing, Finance, IT Operation, Product Management, and Customer Support. In addition, interns will participate in workshops focused on resume writing, professional networking, interview preparation, and many more. There will also be some exciting social outings and volunteer opportunities throughout the summer. Our goal is to have our interns leave with practical and applicable experience to build out their professional portfolio, meet some great connections and have some fun along the way!

What you will do:
• Work on POC's (Proof of Concept) on several complex projects in the realm of Cloud Technologies, AWS, BigData, and Machine Learning.
• Learn, explore and use several cutting edge tools and technologies.

Qualifications:
• Working towards a degree in Computer Science or related.
• An understanding of the fundamentals of Software Engineering.
• A basic understanding of Cloud Technologies, AWS, BigData, Machine Learning and programing languages such as Java, Python, Scala, etc.
• Motivated, resourceful, and driven to learn.

Bonus points:
• Some past experience with relevant tools and technologies is helpful although not mandatory","https://www.glassdoor.com/job-listing/software-engineering-intern-healthedge-software-JV_IC1154543_KO0,27_KE28,47.htm?jl=4023290379&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Software Engineering Intern - Angular,Open Learning Exchange,"Nashua, NH",,https://www.linkedin.com/jobs/view/software-engineering-intern-angular-at-open-learning-exchange-2498616537?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Summer 2021: Embedded Software Engineering Intern Nashua NH,iRobot,"Nashua, NH",,https://tarta.ai/j/H4pQjHgBrJRKg1c1gQ3X-summer-2021-embedded-software-engineering-intern-nashua-nh-in-nashua-nh-at-irobot?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
