title,company,location,requirements,link
Graphic Design Intern (Remote),Eversource Energy,"Manchester, NH","Check out this video and find out why our team loves to work here!The Internal Creative Services team at Eversource is looking for a Graphic Design Intern/CO-OP to join our team. You’ll develop real-world experience by collaborating on internal/external projects – both in day to day tasks as well as longer term projects.
Create, design and edit a wide range of materials; emails, web/social media banners, various fact sheets/collateral, PowerPoint graphics, poster/ signs, ads, updating style guides, design/photo research and selection and touch-up as needed, etc.
Adhere to brand guidelines and complete projects according to the deadline
See projects from conception to completion
Help implement and launch the new Digital Asset Management system
Be an active member of our creative team, attend team meetings, project kick-off meetings and coordinate projects with stakeholders
Basic knowledge of layouts, typography, line composition, color, and other graphic design fundamentals
Strong written and oral communication skills
Demonstrate time management skills with the ability to meet deadlines and show attention to detail
We have full time video/photographer and drone pilot members on our team. Any interest and/or knowledge in those areas could be utilized  

Must be proficient in Adobe Creative Suite (Illustrator, In Design, Photoshop), PowerPoint. Also have knowledge of Microsoft Office (Outlook, SharePoint, Word, Excel)

The expectation is to be available during business hours, but can work with the manager on a flexible schedule as needed


Please provide a cover letter and an online link to portfolio/samples for consideration

Worker Type:
Student / Intern (Fixed Term) (Trainee)

Number of Openings:
1

EEO Statement

Eversource Energy is an Equal Opportunity and Affirmative Action Employer.  All qualified applicants will receive consideration for employment without regard to age, race, color, sex, sexual orientation, gender identity, national origin, religion, disability status, or protected veteran status.

VEVRRA Federal Contractor",https://www.linkedin.com/jobs/view/externalApply/2483534763?url=https%3A%2F%2Fjobs%2Eeversource%2Ecom%2Fjob%2F-%2F-%2F7774%2F6579924800&urlHash=Y9cZ&refId=1d2cb491-94f5-4ec6-bab6-ca05338a89f8&trackingId=JSoQeoCsnOd1R8wJB4o33A%3D%3D&trk=public_jobs_apply-link-offsite
Visual and Graphic Design Internship (Fall 2021),Tesla,"Hawthorne, CA","Disclaimer: This position is expected to start around August or September 2021 and continue through the entire Fall term (i.e. through December/January) or into early Spring 2022 if available. We ask for a minimum of 12 weeks, full-time, for most internships. Please consider before submitting an application.

International Students: If your work authorization is through CPT, please consult your school before applying. You must be able to work 40 hours per week. Many students will be limited to part-time depending on their academic standing.

Internship Programs at Tesla

The Internship Programs Team is driven by the passion to recognize emerging talent. Our year-round program places the best students in positions that they will grow both technically and personally through their experience working closely with their Manager, Mentor, and team. We are dedicated to providing an experience that allows for the intern to experience life at Tesla by given them projects that are critical to their team’s success.

Instead of going on coffee runs and making copies, you’ll be seated at the table making critical decisions that will influence not only your team, but the overall achievement of Tesla’s mission.

Locations
Remote

About The Team

The Visual Design team is responsible for all internal and external graphic design needs throughout the company. In terms of customer-facing design, we create a lot of the sales, marketing and delivery content that our customers see. Additionally, the Visual Design team supports product development (vehicles, products, apparel) and we also support the design needs for all internal teams.

What To Expect

Interns will be working (virtually) alongside our team in creating designs for external and internal use. The scope of work will be very wide, and we treat the interns as if they are full-time team members. This means a lot of responsibility and exposure to work that has immediate relevance to our company’s mission. This internship (at least for the time being) will be one where the intern works from home.

Requirements

Specific project assignments and required technical aptitude will vary:
Must be working on a degree in a design field (preferably visual design, industrial design, UI/UX, graphic design etc)
Would prefer juniors or seniors at the university level.
Must be proficient in the Adobe creative suite of software
Beneficial to have experience in photography, retouching, motion graphics, and illustration.
Must be able to submit a portfolio showing both student and any previous internship work.",https://www.linkedin.com/jobs/view/externalApply/2348470349?url=https%3A%2F%2Fwww%2Etesla%2Ecom%2Fcareers%2Fsearch%2Fjob%2Fvisual-and-graphic-design-internship-fall-2021-80362%3Fsource%3DLinkedIn&urlHash=J_EB&refId=1d2cb491-94f5-4ec6-bab6-ca05338a89f8&trackingId=RyyrKpyQaZVV3UsHnGm%2F2w%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Intern,I Got It,New York City Metropolitan Area,"About I Got It
I Got It with its patent flash-auction technology maximizes in-venue adventures like never seen before! The I Got It mobile app engages fans to bid in real-time on experiences, merchandise and memorabilia exclusively at the venues they are attending. While watching the games from home, I Got It makes it possible to deliver a piece of the action to your door step. I Got It integrated it’s patented technology into the existing Team Apps to enhance fan engagement on piece at a time.

Responsibilities

In this role, you should expect to:

·       Work with our marketing team on a wide range of projects, such as promotional items, videos, item graphics, emails, icons, success stories, manuals, web graphics, and more.
·       Production work that includes, but is not limited to, formatting, exporting, uploading, and collection of all project types.
·       Assist in the brand design of various projects.

Qualifications

Why do you want this job? Because you are:

·       A hard-working and dedicated college junior, senior, or recent graduate (no more than 6 months upon graduation) who is looking to gain valuable work experience in the field of graphic design and marketing
·       Creative, innovative, and comfortable working with multidisciplinary teams and independently when necessary
·       A self-starter with the ability to show initiative, multi-task, prioritize, and meet deadlines


Why do we want you? Because you have:

·       A strong knowledge of the professional sports realm
·       Ability to follow style guides, instructions, and critique feedback
·       Excellent verbal and written communication skills
·       Strong visualization and mock-up skills are necessary
·       Familiar with Illustrator, InDesign, Photoshop, and Acrobat. Experience with any other applications, such as Dreamweaver, After Effects, Word and PowerPoint.
·       Knowledge working with Excel is a plus
·       Must be willing to submit a portfolio of work samples via PDF or provide a link to preview the portfolio to nabramowitz@igotitapp.com

Eligibility Requirements For Internships

·       Fall and spring internships require working 16-20 hours per week; summer internships require working 40 hours per week. Hours are flexible to your schedule!
·       You must be at least 18 years of age, enrolled in an undergraduate program entering your junior or senior year, enrolled in a graduate program, or a recent graduate (no more than 6 months upon graduation)
·       This is an unpaid internship with the opportunity for a future paid-position based on the success of the internship. We currently do not provide housing, relocation, or transportation reimbursement
·       Interns are not eligible for company benefits",https://www.linkedin.com/jobs/view/externalApply/2348470349?url=https%3A%2F%2Fwww%2Etesla%2Ecom%2Fcareers%2Fsearch%2Fjob%2Fvisual-and-graphic-design-internship-fall-2021-80362%3Fsource%3DLinkedIn&urlHash=J_EB&refId=1d2cb491-94f5-4ec6-bab6-ca05338a89f8&trackingId=RyyrKpyQaZVV3UsHnGm%2F2w%3D%3D&trk=public_jobs_apply-link-offsite
Visual Design Intern,Arkadium,"New York, United States","At Arkadium our purpose is to have fun while creating fun - and that’s exactly what we’ve been doing for 20 years.

We’re the creators behind the world’s most-played games. From the Solitaire that came on your Windows machine, to hundreds of other games you’ve come to know and love - you can find our games on Arkadium.com, iOS, Android, and lots of other big sites worldwide.

As a proud Evergreen business our values of Fierce Drive, Positive Energy and Living Full Lives are the driving force behind how we run and the choices we make.

We’re privately held (aka stable and reasonable about growth), founder-led (aka passionate about our craft) and we consistently rank as a “Best Place to Work” (aka not your typical games company).

Interested in becoming an Arkadian? We’d love to hear from you.

Overview

This is a paid internship designed specifically to provide practical real-world experience by assisting with our visual design efforts including, but not limited to marketing graphic design & branding, UI design, game design and much more. This position will work with the Creative Innovation team and also cross-functionally with the Marketing team. All interns at Arkadium participate in a mentorship program, which pairs each intern with an experienced executive who serves as a mentor and coach.

Responsibilities
Support Creative Innovation team by creating clear and engaging graphic assets for game launches (Energetic game screen shots, iconography, game promotional designs, game logo ideation)
Assist Senior Visual Designer in designing Marketing assets (web graphics, social posts, email graphics)
Brainstorm and create multiple engaging design versions of graphic assets for Marketing A/B tests
Research and gather assets for game design inspiration
Perform additional tasks and projects as assigned


Requirements
Strong desire to learn and gain valuable real world experience
Ability take an assignment from the brainstorming step through to project completion
Basic knowledge of graphic design typography, color theory, and branding
Great knowledge of Adobe Photoshop, Adobe Illustrator (or similar program), Figma or Sketch (preferred), or other design program
You love games – be it PC, console, online, apps, etc.
Excellent communication skills and strong attention to detail

This internship requires a 3-month minimum commitment of 3 days per week (20-25 hours total).

Benefits
An opportunity to work with the company that has the stability and resources of a big player, coupled with the spirit and flexibility of a start up
A team that dreams big and strives to never settle for anything less than great
A hands-on opportunity to impact Arkadium's growth
A unique culture of teamwork and fun

WE'VE BEEN RECOGNIZED!
Business Intelligence Best Workplace – 2020, 2021
Great Place to Work Certified – 2019, 2020
Inc Magazine's Best Workplace – 2016, 2017, 2019
Forbes Small Giants – 2019",https://www.linkedin.com/jobs/view/externalApply/2348470349?url=https%3A%2F%2Fwww%2Etesla%2Ecom%2Fcareers%2Fsearch%2Fjob%2Fvisual-and-graphic-design-internship-fall-2021-80362%3Fsource%3DLinkedIn&urlHash=J_EB&refId=1d2cb491-94f5-4ec6-bab6-ca05338a89f8&trackingId=RyyrKpyQaZVV3UsHnGm%2F2w%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Intern,Chegg Inc.,"Manchester, NH","Graphic Design Intern
Remote, United States

The design team at Chegg is looking for a passionate and creative summer intern to join our team. You’ll develop real-world experience and play a key role in our visual voice, collaborating with our creative team on internal and external projects. You’ll work closely with our Visual Designer to develop creative concepts and strategies, create meaningful work, and grow your skills technically and personally.

We’ll give you lots of freedom, but we’ll also make sure you get plenty of mentoring and guidance from us. All we ask in return is that you throw your energy into your work and help us influence, design, and create innovative products that will benefit millions of students just like you. If you’re passionate about education, innovation, and collaboration, we’d love to hear from you!

Responsibilities
Create and design print and digital marketing materials
Adhere to brand guidelines and complete projects according to the deadline
Explore your skills in the Adobe Creative Suite and work with a variety of media
Collaborate with our Visual Designer to develop design concepts
See projects through from conception to completion
Be an active member of our marketing and creative teams, attend team meetings, and coordinate projects with stakeholders

Requirements
Working toward a degree in graphic design or a related field (graphic design, visual communications, digital design)
Basic knowledge of layouts, typography, line composition, color, and other graphic design fundamentals
Must be proficient in Adobe Creative Suite software
Strong creative and analytical skills
Compelling portfolio of graphic design work
Nice to Haves
Experience working in Figma or Sketch
Experience with motion graphics

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/externalApply/2419652841?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OKAEEFWW%2F&urlHash=-39J&refId=1d2cb491-94f5-4ec6-bab6-ca05338a89f8&trackingId=eMNmSBdYlLGME8WCMOqd2w%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Intern,ImmortalFuture,"New York, NY","What is ImmortalFuture?

ImmortalFuture is an emerging mobile application development company. Currently based out of New York City, ImmortalFuture also has team members located throughout the rest of the country. We are committed to developing cutting edge technological solutions to unite our communities and families. In a world that is becoming more and more technologically centric, our goal is to bring a 22nd Century level of innovation, creativity, and execution to a 21st-Century world.  

Internship program:

ImmortalFuture’s unpaid internship program will provide interns with a unique and memorable opportunity to experience a vibrant tech startup! Our interns will work alongside our super close-knit team who is approachable and excited to help. 

What are we looking for?

Every successful company or solution starts with an idea. Here at ImmortalFuture, we strive to not only produce innovative ideas but transform those ideas into visionary realities. Such progress requires a full team effort! We are looking for three unique, curious, bold, motivated, and determined under-graduate level students to join our team for immediate hire. 

Responsibilities of a Graphic/Motion Design intern at ImmortalFuture will include but are not limited to:
Working alongside our design team to bring visions and ideas to life.  
Having the Design freedom to come up with conceptual ideas, but then also turn those ideas into Design visuals. 
Completing work in a timely manner.
Properly manage adequate daily communication with other company departments. 

Graphic/Motion Design specific requirements: 
Studying Graphic Design, Communications, Advertising, or a related field.
1-2+ years of Design experience. 
Top-notch written and verbal communication skills, and an eye for detail.
Proficiency in Adobe Creative Cloud is necessary.
Experience with motion graphics, Sketch and Figma is preferred but not required.
Ability to accept and implement creative criticism.
Ability to implement feedback on someone else’s work. 

General ImmortalFuture intern Requirements:
Be a Third or Fourth year rising undergraduate student.
Played a sport, instrument or took part in an extracurricular activity for over ten years.
Has had extensive prior leadership experience.
Ability to take initiative.
4.0 GPA (Just kidding, we DO NOT care about your grades at all..)

#WeAreTheFuture #SoAreYou",https://www.linkedin.com/jobs/view/externalApply/2419652841?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OKAEEFWW%2F&urlHash=-39J&refId=1d2cb491-94f5-4ec6-bab6-ca05338a89f8&trackingId=eMNmSBdYlLGME8WCMOqd2w%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Intern - Summer 2021,Clare,"New York, NY","About The Role

We’re on the hunt for a superstar graphic design intern to join our smart, passionate team. You’ll have the opportunity to develop fresh content to bring our marketing campaigns to life while learning new skills, and building your portfolio. You’ll also learn the ins and outs of building a direct-to-consumer e-commerce business. We offer valuable experience, hourly pay, or school credit, plus a fun, diverse and collaborative working environment. Our team is New York based but currently WFH remote due to COVID-19. APPLICANTS MUST BE BASED IN THE US, PREFERABLY WITHIN EASTERN STANDARD TIME ZONE.

Who You Are
Have a strong sense of layout, typography, form, color, imagery, and composition
Able to execute according to a plan and specific brand guidelines
Self-motivated, with a roll up your sleeves attitude, extremely organized, detail-oriented, and able to think and execute quickly
Able to meet tight deadlines while maintaining accuracy of work
You have a positive attitude, no task is too small and you’re compelled to go the extra mile to get things done
A problem solver, obsessed with making processes more efficient
A clear, effective verbal and written communicator
Current junior or senior undergraduate or graduate student

What You’ll Do
Design emails and marketing assets
Assist with the creation of social media assets including social feed images and Instagram stories, Instagram Reels & TikToks
Manage the cataloging and organization of assets
Follow a marketing calendar and meet deadlines to ensure content is created on time
Assist with photoshoots or other productions as needed
Work closely with marketing and editorial teams to support day-to-day content deliverables

Qualifications
Knowledge of Adobe Creative Suite - Photoshop specifically
Familiarity with Instagram Stories layouts and apps used to create them
Experience creating GIFs
Basic video editing skills
Front-end HTML / CSS and CMS experience is a plus
A passion for home and design is a plus
Must be a student and available ~30-40 hours/ week from May - August with the possibility of extending into the Fall semester.

About Us

Clare is an early-stage, e-commerce startup that’s on a mission to make paint shopping easier and more inspiring, so people everywhere can create a home they love. We’re challenging the status quo of paint, and we’re looking for smart, scrappy problem solvers with an entrepreneurial spirit to join our diverse and passionate team. Clare is venture-funded, with an A-list roster of investors who have backed top consumer brands like Warby Parker, Harry’s, Casper, Glossier and more.

We are an Equal Opportunity Employer and take pride in building a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, sexual orientation, national origin, age, marital or veteran status, medical condition or disability, or any other legally protected status.",https://www.linkedin.com/jobs/view/externalApply/2487830688?url=https%3A%2F%2Fclare%2Efreshteam%2Ecom%2Fjobs%2FgV8BGeyCbMRt%2Fgraphic-design-intern-summer-2021%3Fft_source%3D1000115150%26ft_medium%3D1000108897&urlHash=SoA8&refId=1d2cb491-94f5-4ec6-bab6-ca05338a89f8&trackingId=ZR1jWQnPANRpM%2B54fOiWnA%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Internship,JLL,"Chicago, IL","Job Summary

This position will assist the graphic design team with various duties as needed.

Main Responsibilities
Provide general support as required for the graphics team.
Assist with graphic file modifications as needed.
Follow JLL branding guidelines to ensure consistency and quality of all marketing packages.
Work with deal team to help select photos for design pieces.
Assist with printing and distribution of books, presentation boards, and other printed materials.
Other duties as assigned.

Experience Required
Current college student getting a degree in Graphic Design or Marketing
Design experience using InDesign.
Excellent interpersonal and communication skills.
Ability to use tact and diplomacy when interacting with others.
Ability to be an independent worker with a team player attitude.
Education
Must be currently enrolled in a 2 or 4 year college program.

Computer Skills
Knowledge in the use of Adobe Creative Suite (Photoshop, InDesign, Illustrator, and Acrobat).
Must have strong working knowledge of Outlook, Word, Excel, and PowerPoint.
JLL Privacy Notice

Jones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL’s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.

For more information about how JLL processes your personal data, please view our Candidate Privacy Statement .

For additional details please see our career site pages for each country.

For employees in the United States, please see a full copy of our Equal Employment Opportunity and Affirmative Action policy here .

Pursuant to Illinois Law, applicants are not obligated to disclose sealed or expunged records of conviction or arrest.

Jones Lang LaSalle (“JLL”) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process – including the online application and/or overall selection process – you may email us at Accommodation.Reques@am.jll.com . This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL.",https://www.linkedin.com/jobs/view/externalApply/2456969019?url=https%3A%2F%2Fjll%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2Fjllcareers%2Fjob%2FChicago-IL%2FGraphic-Design-Internship_REQ122648%3Fsource%3DAPPLICANT_SOURCE-6-42&urlHash=E-11&refId=1d2cb491-94f5-4ec6-bab6-ca05338a89f8&trackingId=2mNVwjHgTI3SyLZfXMDbZg%3D%3D&trk=public_jobs_apply-link-offsite
Summer Intern Graphic Design,"Fluent, Inc","New York, NY","Description

Fluent Inc. (NASDAQ: FLNT) is a leading performance marketing company with an expertise in creating meaningful connections between consumers and brands. Leveraging our proprietary first-party data asset of opted-in consumer profiles, Fluent, Inc. drives intelligent growth strategies that deliver superior outcomes. Founded in 2010, the company is headquartered in New York City.

We’re looking for our 2021 Summer Intern candidates! This year will be our 11th year hosting a robust class of interns. As a Summer Intern at Fluent, you will gain a hands-on experience in digital marketing working with a diverse and passionate team. You will work within a department as a tightly knit team, with a manager whose role is to guide you throughout the summer and ensure that your time is spent making an impact for Fluent.

Our paid internship program starts on Monday, May 31st and runs 10 weeks through Thursday, August 5th. Interns will work alongside Fluent employees in the office Monday – Thursday from 9 am to 6 pm with an hour lunch every day.

Responsibilities
Social Media Assets Creation - Work alongside the Marketing team to create a range of social media posts. Design and come up with creative ways to promote Fluent's content. Create a library of social media posts for holidays such as 4th of July, Black History Month, New Years, etc. that the team can use through the year
Branding - You will have the opportunity to work on rebranding internal and external assets. You will be tasked with creating logos and think of ways to improve the existing brands
Email Design - Support in the ideation and creation of internal and external email newsletter
Fluent Pulse - Work alongside Senior Designer to create assets for fluentpulse.com, inclusive of creating a brand new logo for the website and asses how the Fluent Pulse brand can be improved. Collaborate with the copywriter intern in order to design an info
Research - Contribute to ongoing projects with design support in form of research, sketching, and ideation
Sales Collateral - Collaborate with Marketing team and others in the creation of sales pitch materials such as one-pagers, and pitch presentations
Internal Collateral - Support the People's team by working alongside the Senior Designer in order to create assets for internal programs and events. Design logos, create invitations for events, etc


Requirements
Ability to consistently meet deadlines and work independently
Comfortable working in a fast-paced environment
Experience in Microsoft Office – Word, PowerPoint, and Excel a must
Communicates effectively through written and verbal methods
Ability to work under pressure and tight deadlines
Must have a strong portfolio showing a range of projects.
Currently pursuing a graphic design or visual communications degree, or equivalent.
Experienced knowledge of relevant design software (Photoshop, Illustrator, Indesign, After Effects, Power Point, etc)
Good eye for layout, color and typography. Has a good understanding of branding and digital design.
Creativity: Has the ability to work within an existing design system and also contribute fresh ideas and new approaches/insight to challenges.


Benefits

Fluent Inc. participates in the E-Verify Program. As a participating employer, Fluent Inc. will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS), with information from each new employee’s Form I-9 to confirm work authorization. Fluent Inc. follows all federal regulations including those set forth by The Office of Special Counsel for Immigration-Related Unfair Employment Practices (OSC). The OSC enforces the anti-discrimination provision (
274B) of the Immigration and Nationality Act (INA), 8 U.S.C.
1324b.",https://www.linkedin.com/jobs/view/externalApply/2456969019?url=https%3A%2F%2Fjll%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2Fjllcareers%2Fjob%2FChicago-IL%2FGraphic-Design-Internship_REQ122648%3Fsource%3DAPPLICANT_SOURCE-6-42&urlHash=E-11&refId=1d2cb491-94f5-4ec6-bab6-ca05338a89f8&trackingId=2mNVwjHgTI3SyLZfXMDbZg%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Internship (Remote),Selina,"New York, NY","Description

Who we are

Our Mission is to inspire authentic and meaningful connections.
Selina was born out of a desire to celebrate the nomadic lifestyle: to experience our planet’s most beautiful places, to build community, to engage with locals and fellow travelers, to work and enjoy new adventures.

What The Role Is

The Global Brand+Creative team at Selina is looking for a talented Graphic Design Intern to join our team. Are you a creative genius-in-the-making with a passion for design? Are you a recent (or soon-to-be) graduate looking for real-world experience with a talented and fun team? Are you eager to expand your skills and take on creative challenges? If so, we would love to hear from you!

What You Will Be Doing
Creating graphics for: special projects, marketing campaigns, posters, flyers, and social media for Selina Global.
Study design briefs and determine requirements
Conceptualize visuals based on requirements
Prepare rough drafts and present ideas
Develop illustrations, logos and other designs using software or by hand
Use the appropriate Brand colors, guidelines & layouts for each graphic
Work with copywriter and brand director to produce final design
Test graphics across various media
Amend designs after feedback
Ensure final graphics and layouts are visually appealing and on-brand

What You Need For This Internship
Prior experience creating graphics and a solid grasp of design concepts.
Comfort working in Adobe Creative Suite, especially InDesign, Photoshop and Illustrator.
Enthusiasm for the design process and attentiveness to different project goals.
Detail-oriented, organized, ability to prioritize time-sensitive assignments.
Working knowledge of HTML/CSS and jQuery is a plus, but not required.
Ability to work independently and complete assigned tasks within identified time frames
Quick Learner and Efficient
Able to work well under pressure
Knowledge of after effects is a plus
Experience with illustrations is a plus
Fluent English

What Can You Expect

Full remote Internship Opportunity - you can be based anywhere!
Multiple online training opportunities
Cultural events and wellness activities at Locations. Volunteering with Selina Gives Back; because sharing is caring
Huge Selina experience discounts on your stay, food & fun for you AND your friends & family (you can expect to become even more popular among your friends)
Have your birthday off",https://www.linkedin.com/jobs/view/externalApply/2452550078?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fselina%2Fjob%2Fo9dKefw4&urlHash=FzHl&refId=1d2cb491-94f5-4ec6-bab6-ca05338a89f8&trackingId=kKPj7bVHpnNxYYwpHLoRfg%3D%3D&trk=public_jobs_apply-link-offsite
