title,company,location,requirements,link
Data Science Intern,Chegg Inc.,"Providence, RI","DATA SCIENCE INTERNSHIP
Remote, United States

Organization: Chegg Skills Data Science & Analytics

The Chegg Skills Data Science & Analytics team is composed of data scientists and business analysts. The team influences strategy and works closely with the product, engineering, marketing, and business leaders and is responsible for generating insights and reporting for the new careers products and services at Chegg.

Role: Data Science Internship

We’re looking for highly motivated interns to join our team and work on a number of applied data science and analytics problems within the education and career space. Interns on our Data Science team will apply data mining and analytical skills to help make critical business decisions and drive key business metrics.

Responsibilities
Work closely with others on the Data Science & Analytics team, as well as cross-functionally with product, marketing, engineering, and business teams to understand project goals.
Identify, gather and transform data from a variety of sources.
Perform rigorous statistical analysis, including significance testing, forecasting, and modeling.
Build dashboards, slide decks, reports, and presentations to share analytical insights with stakeholders and business leaders.

Requirements
Pursuing a Bachelor/MS Degree in a quantitative field (computer science, statistics, engineering, economics, or a related field)
A strong interest in using data mining and statistical models to understand user needs, drive business metrics and improve product efficiencies
Strong data extraction skills using SQL
Experience with advanced analytical and data visualization methods
Experience with a scripting language, preferably Python or R
Self-motivated; independent, organized, and proactive; highly responsive, flexible, and adaptable when working across multiple product teams
Comfort working in a fast-paced environment with real-world data that may be ambiguous or incomplete
Strong creative and critical thinking skills. Attention to details.
Buy-in to Chegg’s mission of providing support for students undertaking their next big challenge
Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder)
Have the ability to work for a continuous 10 weeks in the summer of 2021

Nice To Have
Experience with Databricks
Experience using Amazon Web Services
Experience building dashboards through platforms like Tableau
Chegg out our intern program!

http://www.chegg.com/jobs/university

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/externalApply/2419654465?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OYHQEFWD%2F&urlHash=CHM7&refId=84c26209-9350-47fb-814f-f0dd2241ac34&trackingId=IUEA03x9mCuZL9gIOOKG8w%3D%3D&trk=public_jobs_apply-link-offsite
Summer 2021 Data Science Intern,"Take-Two Interactive Software, Inc.","New York, NY","Who We Are

Take-Two Interactive Software, Inc. is a leading developer, publisher, and marketer of interactive entertainment for consumers around the globe. For more than 25 years, our development teams have created some of the most critically acclaimed and commercially successful entertainment experiences, captivating and engaging audiences around the world. We are incredibly proud of our ability to deliver consistently the highest-quality titles, as well as our colleagues who help to create our unique culture and work environment that is inclusive, diverse, and dynamic.

While our offices are casual and inviting, we are deeply committed to our core tenets of creativity, innovation and efficiency, and individual and team development opportunities. Our industry and business are continually evolving and fast-paced, providing numerous opportunities to learn and hone your skills. We work hard, but we also like to have fun, and believe that we provide a great place to come to work each day to pursue your passions.

The Challenge

In this internship, you will experience the full cycle of model development from conception to production. This role is structured around designing and delivering a demand forecasting model for Take-Two’s video game products. You will learn about corporate data practices, the interactive entertainment business, and what it takes to deliver a model into production. You will work with a data scientist who will serve as your mentor and supervisor to guide you through this project. The model you build will ultimately be used to help inform strategy decisions for the Commercial team as well as fiscal guidance and planning decisions for Take-Two and its labels.

What You’ll Take On
Learn about Take-Two’s data systems
Gain understanding of current body of forecasting methodologies
Work with your mentor to propose a new forecasting methodology
Develop a plan to execute your methodology and build the model in Python
Work with your mentor to interface with the data engineering team to bring your model to production


What You Bring
Python, SQL, probability/statistics
BA/BS in a quantitative discipline
Current or recently graduated Masters/PhD student


What We Offer You
Great Company Culture. Ranked as one of the most creative and innovative places to work, creativity, innovation, efficiency, diversity and philanthropy are among the core tenets of our organization and are integral drivers of our continued success.
Growth: As a global entertainment company, we pride ourselves on creating environments where employees are encouraged to be themselves, inquisitive, collaborative and to grow within and around the company.
Work Hard, Play Hard. Our employees bond, blow-off steam, and flex some creative muscles – through corporate boot camp classes, company parties, game release events, monthly socials, and team challenges.


Take-Two Interactive Software, Inc. (“T2”) is proud to be an equal opportunity employer, which means we are committed to creating and celebrating diverse thoughts, cultures, and backgrounds throughout our organization. Employment at T2 is based on substantive ability, objective qualifications, and work ethic – not an individual’s race, creed, color, religion, sex or gender, gender identity or expression, sexual orientation, national origin or ancestry, alienage or citizenship status, physical or mental disability, pregnancy, age, genetic information, veteran status, marital status, status as a victim of domestic violence or sex offenses, reproductive health decision, or any other characteristics protected by applicable law.",https://www.linkedin.com/jobs/view/externalApply/2431505333?url=https%3A%2F%2Fcareers%2Etake2games%2Ecom%2Fjob%2F2948956%3Fgh_jid%3D2948956%3Fgh_src%3Dbac1e34c1us&urlHash=FT9-&refId=84c26209-9350-47fb-814f-f0dd2241ac34&trackingId=ob2AyL3X7GIdd0%2FPlllruQ%3D%3D&trk=public_jobs_apply-link-offsite
Data Science Intern,Amazon,"Seattle, WA","Description

We are looking for motivated data scientists with excellent leadership skills, and the ability to develop, automate, and run analytical models of our systems. You will have strong modeling skills and are comfortable owning data and working from concept through to execution. This role will also build tools and support structures needed to analyze data, dive deep into data to resolve root cause of systems errors and changes, and present findings to business partners to drive improvements.

Locations may vary by team, and include regions outside of Seattle.

Applicants have a demonstrated ability to manage medium-scale modeling projects, identify requirements, and build methodology and tools that are statistically grounded. You will have experience collaborating across organizational boundaries.


Basic Qualifications
Enrolled in Master’s or Ph.D. degree in math, statistics, computer science, or related science field.
Experience with regression modeling, forecasting, and time series analysis.
Experience with data scripting languages (e.g. SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
Experience using one or more programming languages (e.g., Python, Java, C++, C, etc.).
Experience with big data: processing, filtering, and presenting large quantities (100K to Millions of rows) of data.
Preferred Qualifications
Enrolled in Ph.D. degree in math, statistics, computer science, or related science field.
Experience in machine-learning methodologies (e.g., supervised and unsupervised learning, deep learning, etc.)
Experience with clustered data processing (e.g., Hadoop, Spark, Map-reduce, and Hive).
Experience in communicating technically, at a level appropriate for the audience.
Amazon is committed to a diverse and inclusive workforce. Amazon is an equal opportunity employer and does not discriminate on the basis of race, ethnicity, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


Company - Amazon.com Services LLC
Job ID: A1235288",https://www.linkedin.com/jobs/view/externalApply/2454050853?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1235288%2Fdata-science-intern%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=BbZr&refId=84c26209-9350-47fb-814f-f0dd2241ac34&trackingId=VMR%2BlKGuOJNIgIexkmKPzw%3D%3D&trk=public_jobs_apply-link-offsite
2021 Summer Graduate Intern - Pharma - Data Science,Novartis,"East Hanover, NJ","Sourcing Statement

You are applying to be part of the Novartis Talent Pool. We are not currently recruiting for this role but we are building a pipeline for future opportunities. If you would like to be considered for a similar position in future, then please submit your CV.

Job Description

799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

Looking to hire someone with a strategic mindset, innovative thinker and problem solving agility. Datascience & Analytical experience, Python, Strong Excel Skills, Science background preferred

Business Impact:
To assist with several work streams in data science and analytics that pushes the firm towards best in class customer engagement

EEO Statement
The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, marital or veteran status, disability, or any other legally protected status. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration and empowers our people to unleash their full potential.

Minimum Requirements

Candidate should be in an accredited degree-granting college or university pursuing a graduate degree

MS / MBA in marketing sciences, business analytics

Preferred Competencies/Experiences:
Prior working experience in pharma or consumer packaged goods preferred

Why consider Novartis?

Division
PHARMA

Business Unit
US PHARMA

Country
USA

Work Location
East Hanover, NJ

Company/Legal Entity

Novartis Pharmaceuticals

Functional Area
Marketing

Job Type
Full Time

Employment Type
Internship

Shift Work
No",https://www.linkedin.com/jobs/view/externalApply/2487550183?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3Fpartnerid%3D13617%26siteid%3D5268%26PageType%3DJobDetails%26jobid%3D2725635%26frmSiteId%3D5260%26codes%3DLIIN-W&urlHash=ttUK&refId=84c26209-9350-47fb-814f-f0dd2241ac34&trackingId=kxQcNdLL5jI%2BOMq%2BGso4tA%3D%3D&trk=public_jobs_apply-link-offsite
Data Science Intern,Suzy,"New York, United States","Suzy puts the voice of your consumer at your fingertips.  Whether you’re a novice or an expert researcher, our platform brings advanced tools together with the highest quality audience to deliver insights in minutes.  Some of the biggest brands in the world use Suzy to deliver breakthrough products and experiences backed by data-driven decisions. Learn more at www.suzy.com.

What You’ll Do:
Complete data science projects as directed by the Product Strategy and Operations team
Work with large, complex data sets from multiple domains
Develop quantitative models to address business issues using structured data
Combine data both logically as well as programmatically from multiple sources
Interact with cross-functional teams such as COE, Product and Engineering

Knowledge, Experience & Skills
Enrolled in a computer science, statistics, engineering or related program
Preferred prior internship or professional experience working in a data-intensive environment
Demonstrate knowledge of using common statistical programming languages (Python, R, or SAS)
Experience/enthusiastic about working in PowerBI or similar data visualization platform
Demonstrate knowledge of processing data in cloud infrastructure (Azure) and using common data toolkit (SQL, Unix)
Strong foundation of statistics and machine learning knowledge, and a record of applying these methods to solving real-world problems
Experience/working knowledge with statistical and modeling techniques such as analysis of variance, sampling plans, regression modeling , and classification modeling

What You’ll Need
Demonstrated ability to manage multiple projects - prioritization, planning and task 
Good verbal communication skills and interpersonal skills are required

Suzy is an equal opportunity employer. We are a welcoming place for everyone, and we do our best to ensure all people feel supported and connected at work. 
Suzy is committed to protecting its customers, employees, partners, and the company as a whole, from damaging acts that are intentional or unintentional.  Effective security is a team effort involving the participation and support of every user who interacts with company information/data and systems. It is the responsibility of each individual to help protect company information assets.",https://www.linkedin.com/jobs/view/externalApply/2487550183?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3Fpartnerid%3D13617%26siteid%3D5268%26PageType%3DJobDetails%26jobid%3D2725635%26frmSiteId%3D5260%26codes%3DLIIN-W&urlHash=ttUK&refId=84c26209-9350-47fb-814f-f0dd2241ac34&trackingId=kxQcNdLL5jI%2BOMq%2BGso4tA%3D%3D&trk=public_jobs_apply-link-offsite
Data Science Intern,Root Inc.,"Remote, OR","We believe a large part of building an effective insurance company can be solved with a systematic, quantitative framework. We are committed to the rigorous development and effective deployment of modern statistical machine learning methods to problems in the insurance industry.

Potential Teams You’ll Be Working Alongside Include

Root is seeking an intern for our data science team who’s eager to get their feet wet in the industry. In this role, you’ll be dealing with massive data sets, extracting raw time-series features or building high dimensional models. You’ll be procuring and cleaning a wide variety of data sets and finding ways to make sense of inconsistent results, errors, and missing information.

Pricing R&D

improving segmentation with more powerful predictive models
exploring novel approaches to fraud analytics
informing strategic business decisions with analyses of unit economics

LTV Analytics

improving the predictive power of our retention models
answering counterfactual questions with LTV models
exploring and constructing new features for inclusion in downstream predictive models

Responsibilities
Applying principled methods to quantitative insurance challenges in areas such as telematics risk scoring, pricing, reserving, and estimating customer lifetime value.
Learning the required tools to get the job done, e.g. Python, R, Spark, SQL, etc. Building data processing pipelines to quickly iterate on research ideas and put them into production.
Effectively communicating insights from complex analyses.
Taking end-to-end ownership of problem domains and continuously improving upon quantitative solutions.

Qualifications
Graduation expected within 12 months of start date
Advanced degree in a relative quantitative discipline (statistics, mathematics, physics, etc.)
A strong mathematical background, particularly in statistics and linear algebra
Advanced demonstrable experience in building, validating, and leveraging machine learning models
Strong programming skills, preferably in Python and/or R
Experience with academic research OR past internship experience in a relevant field

At Root, we judge people based on the merit of their work, not who they are. Very few (if any!) people will fit every description; so if you are passionate about what this role entails, and are excited by solving real problems, we encourage you to apply; we want to learn about you, and what you can add to our team!

Who We Are.

Root Insurance is the nation’s first licensed insurance carrier powered entirely by mobile. We were founded on the belief that the services you need for everyday life should serve you better. That’s why we base insurance coverages on you, not your demographic. It’s the way insurance should be. And it’s all conveniently in an app.

What Draws People To Root.

We’re a venture-backed technology company. Our early success is in large part due to our unwavering standards in hiring. We recognize that our product is only as good as the people building and promoting it. We look for individuals who find solutions by going through the cycle of ideation to implementation with curiosity, rigor, and a highly analytical lens. Ask anyone who works here and you’ll hear similar reasons for why they joined:

Autonomy. For assertive self-starters, the opportunities to contribute are limitless.

Impact. By challenging the way it’s always been done, we solve problems that have a big impact on our business.

Collaboration. We encourage rich discussion and civil debate at every turn.

People. We are inspired by the collection of crazy-smart people around us",https://www.linkedin.com/jobs/view/externalApply/2422951425?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fjoinroot%2Fe2725b52-c116-4542-8dff-f1ccbb31b235%3Flever-source%3DLinkedInJobs&urlHash=9Fe-&refId=84c26209-9350-47fb-814f-f0dd2241ac34&trackingId=4cu9G87wMPwH3O0b%2FWWpeA%3D%3D&trk=public_jobs_apply-link-offsite
Data Science Intern,Faraday,"Burlington, VT","About Faraday

Faraday helps consumer brands find, convert, engage, and retain more customers using AI. Located in the historic Maltex Building in beautiful Burlington, Vermont, we're a fast-growing venture-backed startup founded in 2012.

Our values

We believe in privacy and are committed to ending the widespread proliferation of consumer data. We believe in science and the power of statistically significant conclusions. We believe in equality and reject all forms of algorithmic prejudice. We believe in health and fun and encourage a positive work/life balance.

Our dedication to diversity

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

About Our Data Science Team

At the heart of the Faraday AI platform is a shared machine learning pipeline framework built from the ground up. Our data scientists work with clients and their Faraday account managers to carefully define one or more business goals for deployment on the platform. The pipeline uses these ""outcome"" definitions to perform ETL/ELT, training data formation, feature engineering, model building, validation, scoring, and deployment.

Your team is also responsible for curating the Faraday Identity Graph (FIG) from upstream data sources, preparing interpretive analysis for clients, and nurturing Faraday’s quantitative culture.

About Your Role

We're looking for a data science intern to join us at Faraday. You will pursue a variety of challenges, including:
Determining the best predictive approaches to meet clients’ business outcomes.
Assisting with research and development of new algorithms, tools, and methods
Communicating and providing context to clients.
Being curious—there’s so much we don’t know in the world of data science, and our only guaranteed driver of innovation is the collaborative work of open minds.

You Have Good Interpersonal Abilities Which You Will Employ Regularly, Including

You are a methodical, self-motivated individual, capable of keeping your eye on the finish line amidst competing priorities.
Weekly team meetings
Transparent project tracking
Following security protocols to keep sensitive data safe

Your credentials

This position would be best filled by someone who has finished - or is in pursuit of - a relevant degree in data science, statistics, natural science, mathematics, computer science, or other related field.

Your Experience
You have experience with statistical inference
You have experimented with the practical applications of data science

Your technical background
You’ve used Python and SQL
You’re familiar with data visualization best practices",https://www.linkedin.com/jobs/view/externalApply/2487375315?url=https%3A%2F%2Fht-jobs%2Enet%2Fvqmhqjm%3Fs%3Dlif&urlHash=74bw&refId=84c26209-9350-47fb-814f-f0dd2241ac34&trackingId=5QQJNqncSX%2BnatrgDRgwig%3D%3D&trk=public_jobs_apply-link-offsite
Data Science Intern,TrueMotion,"Boston, MA","At TrueMotion, we're making driving safer and insurance smarter. We offer auto insurers a mobile telematics platform that enables next-generation digital programs. Powered by machine learning, our platform can tell when a person is driving, reveals their behaviors behind the wheel, and detects crashes. We're a team of engineers, entrepreneurs, sales and customer success leaders, data scientists, and more. We take on complex problems, build innovative solutions and have fun while doing it!

TrueMotion is looking for an experienced, data-driven, and humble Data Science Intern who wants to make an impact at a growing startup, and help save lives on the road. The data science team develops machine learning/deep learning models that use telematics data to detect driving events like hard braking, rapid acceleration, distraction, and so on. As a Data Science Intern, you will be assigned to a specific project and work with data scientists to build and improve models. You will participate in project discussion and will help to build the modeling pipeline, iteratively improve model performance, and report final results.

Responsibilities:

Contribute to the project discussion and help to define and understand problems, research data sources, analyze data, and design solutions
Write Python scripts to build modeling pipeline, from preparing data, hyper-parameter tuning, training and testing models, to evaluating model performance
Document modeling process and present final results within and/or outside the data science team.

Qualifications:

Familiarity with python development, and related technologies (pyspark, analysis notebooks, Amazon Web Services, etc)
Good understanding of data science concepts
Experience on building machine learning and/or deep learning models
Desire to learn, self-motivated, and demonstrated records of completing projects independently and meeting deadlines
Students (graduates and undergraduates) and recent grads can apply.

Compensation:

Fair & competitive hourly rate based on experience
8 weeks long
29 hours per week

TrueMotion is backed by General Catalyst, Bain Capital Ventures and Lakestar. We are an equal opportunity employer and strive to create an inclusive and diverse environment that enriches our employees' lives in and outside of work. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status or disability state.",https://www.linkedin.com/jobs/view/externalApply/2487672912?url=https%3A%2F%2Fgrnh%2Ese%2F6a616d641us&urlHash=gXqO&refId=84c26209-9350-47fb-814f-f0dd2241ac34&trackingId=8DgLpuRSDkMdS33bdmjxAg%3D%3D&trk=public_jobs_apply-link-offsite
Data Science Pricing Intern,Staples Stores,"Framingham, MA","Description

Staples US Retail Pricing team is looking for an enthusiastic intern to join our team and help activate our Brand strategy. Staples US Retail is on a journey to transform to be the leader in working and learning, and this role is part of the team to bring it to life for our customers. You’ll be a part of one of the most exciting seasons of the year at Staples US Retail - Back to School. And will have the opportunity to roll your sleeves up in a fast-paced, dynamic environment with a fantastic group of team- and results-oriented professionals.

The DS Pricing intern opportunity is part of the US Retail Stores Data Science Team and is responsible for building and developing analytics to drive innovation within the pricing and promotions space at Staples. This successful candidate will assist in building capabilities for analyzing product/customer behavior and standardize the Pricing team’s reporting/dashboarding. The DS Pricing intern will also work on ad-hoc projects such as web scraping, and modeling elasticities to support business decisions. The person will need to effectively blend data wrangling capabilities with business/process knowledge as well as communicate insights/conclusions to the team and leadership.

The DS Pricing intern will interact with merchants and other pricing team members on a regular basis. The DS Pricing intern will work very closely with experienced Data Scientists, and Statistician within the team as well as spending time with the Sr. Director of Pricing to gain additional perspective on the role of Pricing within the organization.

Primary Responsibilities
Work with a wide array of high dimensional structured and unstructured data sources to build adaptive learning systems, data science products
Assist in the process of extracting, cleaning, aggregating, and maintaining data for model building and predicting customer behavior
Enhance web scraping capabilities, gathering data from internal and external sources.
Research new ways and develop analytical insights to drive more traffic
Develop price elasticity models to estimate the optimal price point for maximum demand
Perform A/B tests and validate data flows and prepare all ETL processes according to business requirements and incorporate business requirements into design specifications
Reliably produce accurate, high quality reports, building dashboards using Tableau/Power BI


Basic Skills

Qualifications
Bachelor candidates in Computer Science, Engineering, Operations Research, Statistics, Physics, or a related technical discipline
Proficiency in a mainstream programming language, such as Python, R, other languages
Experience working with databases, preferably with knowledge of SQL
Demonstrated strong proficiency at an advanced level in Microsoft Excel
Experience with data analysis and machine learning libraries/frameworks and methods.
Keen attention to detail, and ability to dive deep. The ability to think big, manage ambiguity to move quickly and deliver results in an entrepreneurial environment


Click to learn more about the employee benefits, programs and perks offered at Staples.

Staples is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other basis protected by federal, state, or local law.",https://www.linkedin.com/jobs/view/externalApply/2466673134?url=https%3A%2F%2Fwww%2Eapplytracking%2Ecom%2Fx%2Easpx%3Fmethod%3Ddirect%26type%3Dapply%26board%3DD92FCD45-1292-4AE2-B555-D7A273418B42%26Job%3D1155869%26ClientCode%3D17604&urlHash=NxWW&refId=84c26209-9350-47fb-814f-f0dd2241ac34&trackingId=YerRklcpufDwmpqILIybxQ%3D%3D&trk=public_jobs_apply-link-offsite
Data Science Intern,Riffyn,"Oakland, CA","Oakland, CA or Remote

Mission to reshape science

At Riffyn, we think beyond the conventional. We dream big. Our mission is to help accelerate the science that improves all of our lives and our planet’s quality and sustainability.

Riffyn believes there is a better way to approach research and development. And that is to empower scientists to make better decisions and faster discoveries by unlocking the power of data. Our technology and people change lives by driving advancements in biological research, medicines, sustainability, and more. If that inspires you, join us.

Life at Riffyn

Life at Riffyn is about working with teammates who are deeply passionate about what we do because we know that our work has the power to change lives. We approach our work with trust and honesty. And we’ve built a diverse team and culture fuelled by collaboration and openness.

Our employees developed our five core values — our ethos, and these extend beyond the work we do and into how we support each other. We are continually evolving to ensure that every employee feels appreciated and encouraged to do what matters for themselves, the company, and each other.

Riffyn’s core values

Get there honestly – have the courage to take the right path
Do what matters – own the why of the work we do
Make it fun – humor separates us from the machines
Work well together – trust builds the strongest teams
Keep evolving – challenge the status quo
The role

You will work directly with Riffyn’s Scientific Solutions and engineering teams to re-engineer core data processing algorithms into a high-quality Python-based software development kit. The kit will be made available to Riffyn customers as a free and open-source extension of the Riffyn Nexus platform.

This project is expected to require 3 months at a full-time commitment. The position is remote.

You will learn and apply fundamental data science skills including vectorized data processing, data-frame manipulation, parallelized processing, and memory management. In addition, you will have the opportunity to learn the Riffyn Nexus software application and its use in a range of scientific experimental cases.

If mutually desirable, the position can be extended to a full-time role continuing to build out functionality in the Python-based software development kit, as well as supporting Riffyn customers in their implementation of Nexus, as well as ecosystem components, such as integrations and customer-specific reporting capabilities. More details about the longer-term role can be found here (note: work is similar, the role is in the USA).

Experience and education

Candidate for BS, MS, or Ph.D. in engineering, mathematics, economics, or other quantitative fields
1+ years of Python development experience and a solid understanding of core computer science and data science and methods principles
Familiarity with statistical/machine learning methods and statistical software like R, JMP, or scikit-learn is a plus
Exposure or practice in good software engineering practices is a plus
Accomplishments and knowledge

Demonstrated excellence in academics
Examples of prior work including software projects and writing, web pages copy, or technical documentation
Participation in group projects, extracurricular organizations, or prior research experience is a plus
Personal/professional competencies

Self-starter, able to distill and execute actionable work plans
Voracious learner, systematic problem solver
Organized, detail-oriented, driven, and accountable
Unyielding personal and professional ethics and integrity
Apply

If you thrive in a fast-paced, down-to-earth, collaborative, and mission-driven environment, Riffyn is the place for you. Join the journey of a lifetime and be at the forefront of the next revolution of scientific discovery. Apply with your CV, cover letter, and any portfolio of materials that illustrate your skills (presentations, websites, data analysis, etc.).",https://www.linkedin.com/jobs/view/externalApply/2487375339?url=https%3A%2F%2Fht-jobs%2Enet%2Fiuiayfv%3Fs%3Dlif&urlHash=tgDA&refId=84c26209-9350-47fb-814f-f0dd2241ac34&trackingId=l%2BWSRoJ%2F4Oc3riO1%2F4ZSSw%3D%3D&trk=public_jobs_apply-link-offsite
