title,company,location,requirements,link
"Intern, Accounting","Collegium Pharmaceutical, Inc.","Stoughton, MA","Looking to expand your knowledge beyond the classroom? Collegium's C2C Summer Session enables and equips students to gain industry knowledge and hands on experience outside of the classroom through mentorship from our passionate and experienced Collegium team! Collegium is committed to being the leader in responsible pain management. Come join the camaraderie of Collegium Pharmaceutical!

The Accounting Intern will assist the Finance Team with key activities and processes as well as support various ad-hoc requests.

Provide support to the Finance Department through a variety of activities, including

Assisting with quarter and month end close
Assisting in compiling data for system audits and various data integrity initiatives
Test transactions to ensure appropriate accounting and compliance
Document transaction details to ensure appropriate accounting
Current college student who has completed at least two years of an Accounting or Finance related program
Minimum 3.2 GPA
Strong written and verbal communication skills
Ability to work independently as well as part of a team
Experience in Microsoft Office Suite of software (Excel, Word, PowerPoint, etc.)",https://www.linkedin.com/jobs/view/externalApply/2465117593?url=https%3A%2F%2Fcareers-collegiumpharma%2Eicims%2Ecom%2Fjobs%2F1434%2Fintern%252c-accounting%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=YvpI&refId=7c0a6fd6-9021-455a-a478-db795b968acc&trackingId=UntxfQpNyXyNktUo9dZ0qw%3D%3D&trk=public_jobs_apply-link-offsite
Finance Intern - Summer 2021,CBIZ,"Providence, RI","Status Category

Seasonal

Exempt/Non-Exempt

Non-Exempt

Scheduled Hours Per Week

24

Job Code

FS208

With over 100 offices and nearly 5,000 associates throughout the U.S. CBIZ (NYSE: CBZ) delivers top-level financial and employee business services to organizations of all sizes, as well as individual clients, by providing national-caliber expertise combined with highly personalized service delivered at the local level.

CBIZ has been honored to be the recipient of several national recognitions:
2020 Best Workplaces in Consulting & Professional Services by Great Place to Work®
2019 America’s Best Mid-Size Employers by Forbes
2019 Workplace Excellence Seal of Approval by the Alliance for Workplace Excellence
2021 Vault Rankings - 5th Best Accounting Firm for Client Interaction

CBIZ is seeking a Finance Intern in our New England offices. The purpose of the program is for participants to gain insight into a professional work environment while gaining exposure to the accounting, benefits & insurance industries. Students will have the opportunity to sharpen their soft skills while gaining further interest in their chosen future career path. We hope to inspire students to navigate their career path towards a career in accounting and possibly employ them along their educational endeavors leading to a full-time career at CBIZ.

Essential Functions & Primary Duties
Gain an understanding and assist in planning multiple assignments in various industries
Develop compliance knowledge and assist with IRS audits, tax notice response, trust returns, gift and estate returns
Participate in client assignments from beginning to end
Develop and maintain an excellent working relationship with all levels of client staff to increase customer satisfaction and to strengthen client relationships
Pledge to provide exceptional service to every client by providing individual attention, responsiveness and commitment to understanding their goals and needs
Maintain and comply with the highest degree of professional standards, client confidentiality and personal conduct


Preferred Qualifications
Working towards a Bachelor's degree; Master’s degree in Finance or Accounting
Active participation in student organizations or work experience in business or a related field


Minimum Qualifications
Excellent interpersonal, analytical, research and project management skills
Demonstrated ability to communicate verbally and in writing throughout all levels of the organization, both internally and externally
Ability to multi-task, think independently and problem solve in a results-driven team-oriented environment
Strong verbal and written communications skills
Strong computer and technical skills including, Microsoft Office Suite, Outlook, intranet and various software


CBIZ.Jobs Category: University

REASONABLE ACCOMMODATION

If you are a qualified individual with a disability you may request reasonable accommodation if you are unable or limited in your ability to use or access this site as a result of your disability. You can request a reasonable accommodation by calling 844-558-1414 (toll free) or send an email to

EQUAL OPPORTUNITY EMPLOYER

CBIZ is an equal opportunity employer and reviews applications for employment without regard to the applicant’s race, color, religion, national origin, ancestry, age, gender, gender identity, marital status, military status, veteran status, sexual orientation, disability, or medical condition or any other reason prohibited by law. If you would like more information about your EEO rights as an applicant under the law, please visit these following pages

Share",https://www.linkedin.com/jobs/view/externalApply/2487288619?url=https%3A%2F%2Fphf%2Etbe%2Etaleo%2Enet%2Fphf01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DCBIZ%26cws%3D67%26rid%3D10730&urlHash=wGwS&refId=7c0a6fd6-9021-455a-a478-db795b968acc&trackingId=BdR7VNsIHXrDKDAZBEP07Q%3D%3D&trk=public_jobs_apply-link-offsite
Finance Intern - Summer 2021,"CBIZ MHM, LLC","Providence, RI","Status Category

Seasonal

Exempt/Non-Exempt

Non-Exempt

Scheduled Hours Per Week

24

Job Code

FS208

With over 100 offices and nearly 5,000 associates throughout the U.S. CBIZ (NYSE: CBZ) delivers top-level financial and employee business services to organizations of all sizes, as well as individual clients, by providing national-caliber expertise combined with highly personalized service delivered at the local level.

CBIZ has been honored to be the recipient of several national recognitions:
2020 Best Workplaces in Consulting & Professional Services by Great Place to Work®
2019 America’s Best Mid-Size Employers by Forbes
2019 Workplace Excellence Seal of Approval by the Alliance for Workplace Excellence
2021 Vault Rankings - 5th Best Accounting Firm for Client Interaction

CBIZ is seeking a Finance Intern in our New England offices. The purpose of the program is for participants to gain insight into a professional work environment while gaining exposure to the accounting, benefits & insurance industries. Students will have the opportunity to sharpen their soft skills while gaining further interest in their chosen future career path. We hope to inspire students to navigate their career path towards a career in accounting and possibly employ them along their educational endeavors leading to a full-time career at CBIZ.

Essential Functions & Primary Duties
Gain an understanding and assist in planning multiple assignments in various industries
Develop compliance knowledge and assist with IRS audits, tax notice response, trust returns, gift and estate returns
Participate in client assignments from beginning to end
Develop and maintain an excellent working relationship with all levels of client staff to increase customer satisfaction and to strengthen client relationships
Pledge to provide exceptional service to every client by providing individual attention, responsiveness and commitment to understanding their goals and needs
Maintain and comply with the highest degree of professional standards, client confidentiality and personal conduct


Preferred Qualifications
Working towards a Bachelor's degree; Master’s degree in Finance or Accounting
Active participation in student organizations or work experience in business or a related field


Minimum Qualifications
Excellent interpersonal, analytical, research and project management skills
Demonstrated ability to communicate verbally and in writing throughout all levels of the organization, both internally and externally
Ability to multi-task, think independently and problem solve in a results-driven team-oriented environment
Strong verbal and written communications skills
Strong computer and technical skills including, Microsoft Office Suite, Outlook, intranet and various software


CBIZ.Jobs Category: University

REASONABLE ACCOMMODATION

If you are a qualified individual with a disability you may request reasonable accommodation if you are unable or limited in your ability to use or access this site as a result of your disability. You can request a reasonable accommodation by calling 844-558-1414 (toll free) or send an email to

EQUAL OPPORTUNITY EMPLOYER

CBIZ is an equal opportunity employer and reviews applications for employment without regard to the applicant’s race, color, religion, national origin, ancestry, age, gender, gender identity, marital status, military status, veteran status, sexual orientation, disability, or medical condition or any other reason prohibited by law. If you would like more information about your EEO rights as an applicant under the law, please visit these following pages

Share",https://www.linkedin.com/jobs/view/externalApply/2487229790?url=https%3A%2F%2Fphf%2Etbe%2Etaleo%2Enet%2Fphf01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DCBIZ%26cws%3D67%26rid%3D10730&urlHash=wGwS&refId=7c0a6fd6-9021-455a-a478-db795b968acc&trackingId=PgR8lI8JDgHMtlyl8aKDoA%3D%3D&trk=public_jobs_apply-link-offsite
Accounting Internship,Sunovion Pharmaceuticals,"Marlborough, MA","Sunovion & Sumitomo Dainippon Pharma America virtual Internship Program

Our virtual internship program offers college and university students an amazing opportunity to gain hands on experience within the pharmaceutical industry. This program allows students to work closely with business leaders while obtaining key industry insights. Interns will be responsible for completing both individual and group projects. Additionally, interns will participate in team building workshops and professional led seminars which will contribute to their career and professional development. We are seeking talented individuals within multiple areas across the organization.

Company Overview

Sunovion is a global biopharmaceutical company focused on the innovative application of science and medicine to help people with serious medical conditions. Sunovion’s spirit of innovation is driven by the conviction that scientific excellence paired with meaningful advocacy and relevant education can improve lives. The Company has charted new paths to life-transforming treatments that reflect ongoing investments in research and development and an unwavering commitment to support people with psychiatric, neurological, and respiratory conditions.

Sumitomo Dainippon Pharma America (SDPA) supports certain affiliates of Sumitomo Dainippon Pharma Group by providing professional shared services expertise to achieve greater efficiencies and enable discovery, development, and commercialization of innovative treatments to help patients.

Program Overview
Position will begin on Monday May 31, 2021.
Position is full-time Monday through Friday – up to 40 hours per week.
Candidates should be available to commit to 8 weeks minimum.

Internship Description

The Accounting intern will be responsible for assisting in various projects that support department initiatives related to standardized processes, documentation, improving processes, creating efficiencies and creating synergies. This role requires a high degree of collaboration with other members of the Corporate Accounting team as well as other key stakeholders within the broader Finance and Accounting functions.

The Accounting intern will work with the Senior Manager of Accounting on developing a timeline, project plan and deliverables for refining certain account analyses in Blackline.

Learning Goals
Gain insight into the pharmaceutical industry
Receive real-life experience into the day-to-day operations of a Corporate Accounting Team
Develop organizational skills to be able to complete a project in a timely manner
Demonstrate effective written communication skills
Learn to interact with diverse personalities
Participate in special projects that support the departments initiatives and objectives as assigned

Minimum Requirements
Undergraduate having completed their Sophomore year.
Accounting Major
Authorization to work in the U.S.
Abide by corporate policies, work in professional environment, and meet deadlines
Experience using Microsoft Office (Excel, PowerPoint, Word).
Confidential Data : All information (written, verbal, electronic, etc.) that an employee encounters is considered confidential.

Compliance :Achieve and maintain Compliance with all applicable regulatory, legal and operational rules and procedures, by ensuring that all plans and activities for and on behalf of Sunovion are carried out with the ""best"" industry practices and the highest ethical standards.

Mental/Physical Requirements : Fast paced environment handling multiple demands. Must be able to exercise appropriate judgment as necessary. Requires a high level of initiative and independence. Excellent written and oral communication skills required. Requires ability to use a personal computer for extended periods of time.",https://www.linkedin.com/jobs/view/externalApply/2403782041?url=https%3A%2F%2Fsunovion%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2F_Sun%2Fjob%2FUS-MA-Marlborough%2FAccounting-Internship_R00697&urlHash=9iym&refId=7c0a6fd6-9021-455a-a478-db795b968acc&trackingId=z4Cey0IWZ1L9SVZi6VDGYw%3D%3D&trk=public_jobs_apply-link-offsite
2021 Finance Internships,T-Mobile,"Bellevue, WA","Job Description


Bring your passion, your ideas and your potential.
Are you ready for a challenge that could launch your career? T-Mobile is revolutionizing the wireless industry for millions of customers nationwide. Working here means rolling up your sleeves and redefining the status quo with a team that has your back every step of the way.

You’re encouraged to be an Intern with our Finance Team.

This is a 12-week paid learning experience with our team of bean counters and spreadsheet jockeys who pay the bills and keep the lights on. Forecasting. Number Crunching. Taxes. Financial Reporting. All the stuff that makes your head spin, well, that's what gets our blood pumping!

Our Finance group consists of a number of teams including Accounting, Business Intelligence, Financial Operations, Investor Relations, Procurement & Supply Chain, Risk Management, Tax and Treasury. All are primarily based at our headquarters campus in Bellevue, WA and others are located in cities across the country such as New York, Dallas, and Overland Park, KS.

Functional Group
Finance

Location
WA504-WA-Headquarters, Building 3

Location Address
12920 SE 38th St

City
Bellevue

State
Washington

Zip
98006

Other Locations Available
New York, New York; Dallas, Texas; Overland Park, Kansas

Travel Required?
No


Responsibilities

Working as an Intern on our Finance Team means everything from planning and procurement of products (handsets, accessories, etc.), implementing programs and supervising SOX controls to tax preparation, risk assessment, capital markets reporting, logistics analysis and assets and leasing accounting.

You’ll supply your creativity and outstanding ideas, working alongside innovative colleagues and mentors who will push you to be your very best. We’ll give you hands-on projects and the chance to make an immediate impact. Here are some of the roles you could have as an Intern with our Finance Team…
Accountant
Business Process Analyst
Credit Risk Analyst
Data Analyst
Financial Analyst/Reporting
Financial Planning
Internal Audit
Supplier Diversity
Supply Chain
Tax Analyst


Qualifications

You’re currently enrolled in college and pursuing a Bachelor’s, Master’s, or MBA degree with an Accounting, Business, Economics, Finance, Information Systems, Risk Management, or Supply Chain focus.
You’re a self-starter with a passion for learning who is not afraid to ask questions.
Things change and move pretty fast on this team and your ability to quickly adapt, change direction and think on your feet without missing a beat is meaningful.
You share our Un-carrier® spirit. This is about breaking rules, paving our own path and making things better for our customers – and each other.

Being an Intern
Our Internship Program takes place over the summer running 12 weeks from May to September. As an Intern, you’ll receive competitive pay, relocation benefits, an outstanding experience, and the support of a team that believes in your potential. You’ll also have plenty of opportunities to meet and network with other interns, fellow team members, and top leaders from all business functions across the company as you make connections that will last your career. Want to learn more?

A big part of our culture is about embracing our Magenta spirit. And we’ll ask you to do the same. Check out #BeMagenta to see how we work together to take care of our customers and each other every day.


Recruiting Timeline
Recruiting for the 2021 internship program takes place from September 2020 through March 2021. We’ll be virtually visiting campuses across the country and virtually attending national recruiting conferences in September through November. We’ll be connecting with candidates and begin screening in January. If we believe you’re a good fit for one of our roles, we’ll contact you directly to discuss next steps. Interviews will start to take place in late January and all internships will be filled by the end of March.


Application Process
Select the job category that best matches your interests, education and experience and click apply. We’ll then review your application. If we believe you’re a good fit for one of our roles, we’ll contact you directly to discuss next steps.


Minimum Qualifications

At least 18 years of age
Legally authorized to work in the United States
High School Diploma or GED
Pre-employment background screen
Currently enrolled in a college or university or post-graduation of 12 months


Company Profile

As America’s Un-carrier, T-Mobile USA, Inc. (NASDAQ: “TMUS”) is redefining the way consumers and businesses buy wireless services through leading product and service innovation. The company’s advanced nationwide 4G and 4G LTE network delivers outstanding wireless experiences for customers who are unwilling to compromise on quality and value. Based in Bellevue, Washington, T-Mobile USA. Inc. provides services through its subsidiaries and operates its flagship brands, T-Mobile and Metro by T-Mobile. For more information, please visit http://www.t-mobile.com

Applicant Privacy Policy

We are committed to maintaining your trust by respecting and protecting your privacy. For more information about how T-Mobile processes the personal data of job applicants, please visit Applicant Privacy Policy .

EOE Statement

Equal Employment Opportunity

We take equal opportunity seriously—by choice.

T-Mobile USA, Inc. is an Equal Opportunity Employer. All decisions concerning the employment relationship will be made without regard to age, race, ethnicity, color, religion, creed, sex, sexual orientation, gender identity or expression, national origin, religious affiliation, marital status, citizenship status, veteran status, the presence of any physical or mental disability, or any other status or characteristic protected by federal, state, or local law. Discrimination, retaliation or harassment based upon any of these factors is wholly inconsistent with how we do business and will not be tolerated.

Positions Remaining
20

Brand
T-Mobile",https://www.linkedin.com/jobs/view/externalApply/2419708850?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D25779%26siteid%3D5149%26jobId%3D638854%26codes%3DINT-LinkedIn&urlHash=55eS&refId=7c0a6fd6-9021-455a-a478-db795b968acc&trackingId=XIjb4HbexZNWxJF%2Bj6JWGQ%3D%3D&trk=public_jobs_apply-link-offsite
Finance Intern,Brooks Automation,"Chelmsford, MA","Description

At Brooks, new ideas, new technologies and new ways of thinking are driving our future. Our customer focused culture encourages employees to embrace innovation and challenge the status quo with novel thinking and collaborative work relationships.

All we accomplish is grounded in our core values of Customer Focus, Achievement, Accountability, Teamwork, Employee Value and Integrity.

Brooks is seeking a Finance intern for our summer internship program. This position will work closely with our Finance team in support of our Brooks Life Sciences Products business.

Finance On-Boarding includes LMS for Oracle Cloud, Tableau, HFM, HP, SmartView, etc.

Intern would assist team members regarding a number of opportunities that may include:
AOP process (annual operating plan) June:
SharePoint Site Administration
Weekly R&Os & Flash dashboards
Go-Live data reviews, analysis, & validations
Commissions & new software integration
Audits, reporting, develop/refresh current working instructions as needed
Variance analysis and research as required
Month end financial close process and/or journals as needed
Other duties and projects as assigned

Type Of Degree (In Progress)/Skills/Unique Capabilities
Attention to detail is very important
Pursuing degree in Finance
Previous working experience or desire to work in a best in class financial environment
Good interpersonal and general communication skills (written, verbal, & presentation)
Strong Microsoft skills, especially Excel
Ability to multitask and prioritize workloads.
Works well with others in a team environment.
EOE M/F/Disabled/VET",https://www.linkedin.com/jobs/view/externalApply/2486491690?url=https%3A%2F%2Fcareers%2Ebrooks%2Ecom%2Fjob-detail%2Ffinance-intern-r4954%3Futm_campaign%3DLinkedIn&urlHash=2PFG&refId=7c0a6fd6-9021-455a-a478-db795b968acc&trackingId=VxVDio6AY0OAe3%2BhAoeJYQ%3D%3D&trk=public_jobs_apply-link-offsite
Finance Summer Internship,Fiserv,"Alpharetta, GA","Fiserv is looking for university students with drive, enthusiasm and an evolving target for their career. The best & brightest will be the framework of the firm’s future; a pipeline of top talent for our Financial Analyst program with full-time opportunities in Financial Planning & Analysis, Accounting, Business Unit Finance and more upon graduation.

As a Finance Intern with Fiserv you will have the unique opportunity to work for a Fortune 500 FinTech company post one of the largest mergers in the payment and technology industry. From assisting in building financial business cases for new product launches, to consolidating $15B+ pro forma revenue for CFO review, your summer will leave you with impactful corporate experience you will use to build a strong foundation for your career in Finance.

Duties May Include
Build financial and business unit support reports and research in such areas as EBIT performance, budgeting, costing, rate of return, depreciation, and working capital
Prepare forecasts and analyze trends in sales, finance, and other key business indicators
Identify opportunities and solutions for process improvement within the scope of work
Maintain strong working relationships with business partners and internal departments
Effectively communicate with all levels of Management
Ensure the execution/implementation of ad hoc projects as requested

Qualifications
Currently pursuing a Bachelor’s Degree in Finance, Business Administration, Accounting, Statistics, Mathematics, Economics or Engineering.
Financial modeling and data management experience including use of Microsoft Excel, Access, Hyperion Essbase, Oracle, BPC, Tableau and SAS tools.
Strong written and oral communication skills.
Ability to prioritize objectives and manage time.
Minimum cumulative 3.5 GPA

Learn More About Fiserv

To support the total well-being of our associates, Fiserv takes a broad approach to our benefits. We offer a comprehensive benefits package that provides flexibility and affordability with a variety of medical, dental, vision, life insurance and disability options.

We are #FISVProud of our benefits and well-being programs. Our commitment to wellness, wellness education, preventive services and fitness activities are designed to meet you where you are.

Life moves fast. And as it does, we know most people aren’t thinking about “financial services”. But we are.

We help people and businesses move money and information every minute of every day. Our solutions connect financial institutions, corporations, merchants and consumers to one another, millions of times a day, behind the scenes, reliably and securely.

We’re Fiserv, a global leader in Fintech and payments enabling innovative financial services experiences that are in step with the way people live and work today. The company’s approximately 44,000 associates proudly serve clients in more than 100 countries, so their customers, members and consumers can move money when and where they need it, at the point of thought.

Our Aspiration is to move money and information in a way that moves the world. As a FORTUNE™ 500 company and one of FORTUNE Magazine World’s Most Admired Companies for the eighth consecutive year, we are committed to excellence and purposeful innovation.

We welcome and encourage diversity in our workforce. Fiserv is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran

Explore the possibilities of a career with Fiserv and Find Your Forward with us.

#FINT",https://www.linkedin.com/jobs/view/externalApply/2466610006?url=https%3A%2F%2Fwww%2Ecareers%2Efiserv%2Ecom%2Fjob%2Falpharetta%2Ffinance-summer-internship%2F1758%2F6317431344&urlHash=DNaq&refId=7c0a6fd6-9021-455a-a478-db795b968acc&trackingId=8Zs8L8kaM1vRT%2FrGLk51%2FQ%3D%3D&trk=public_jobs_apply-link-offsite
Accounting Intern - Summer 2021,"Consigli Construction Co., Inc.","Milford, MA","Accounting Intern

Help with everyday accounting tasks.

Required Skills

Essential Functions

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
An ideal opportunity for College/University students in accounting or finance degree programs
Assist with quarter and year-end financial close and reporting
Help with account reconciliations
Handle major accounting related projects and report creations
Budgeting and planning
Audits
Spreadsheet preparation and analysis
Routine administrative tasks including filing, banking and handling of finance correspondence

Core Competencies
Pursuing a degree in Accounting
Previous intern experience working within an Accounting Department would be preferred, but is not required.
Desire and willingness to learn
Reliable transportation required
Attention to detail
Strong communication and organizational skills

Supervisory Responsibility
This position is not responsible for oversight or performance management of any employees.

Position Type/Expected Hours of Work

This is a full-time position. Standard work hours are Monday through Friday, 8 a.m. to 5 pm.

Required Experience
Pursuing a Bachelor’s Degree in Accounting",https://www.linkedin.com/jobs/view/externalApply/2342833870?url=https%3A%2F%2Fconsigli-openhire%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D423%26company_id%3D17365%26version%3D1%26jobBoardId%3D3349&urlHash=BQNT&refId=7c0a6fd6-9021-455a-a478-db795b968acc&trackingId=0UmgQAJZwitSOG9b6vCmGQ%3D%3D&trk=public_jobs_apply-link-offsite
Internship - Accounting & Finance (Summer 2021),300 Entertainment,"New York, NY","Brief:

The Finance & Accounting team is responsible for, but not limited to, reviewing, analyzing, forecasting, and booking expenses and income related to 300 Entertainment and its artists. We are looking for a detail-oriented, efficient, and hard-working accounting intern to join our team!

Overview:

300 Entertainment is an independent record label based in NYC, we are currently seeking interns to join our team for the Summer 2021 semester
Tentative Start/End Dates: 6/1/2021 - 8/13/2021
Location: Remote
Weekly Hours: 3+ days/week (24+ aggregate hours)
Compensation: $15/hour
Requirements: applicants must be 18+ years or older, eligible to work in the United States
Please limit applications to a maximum of 2 positions per candidate
Response Criteria: please keep all short form responses to 3 sentences or less (unless noted otherwise)


Roles & Responsibilities:

Maintain the Finance email account and track priority items to be actioned by the Accounting and Royalty teams
Assist with sales/revenue/expense reconciliations and variance analysis
Create/maintain filings systems for accounting functions and vendor records
Perform data entry for accounts payable/receivable as well as supporting Excel spreadsheets
Assist team with budget reporting and other processes


Skills & Qualifications:

Accounting major or relevant coursework and experience
Completion of Introductory accounting courses and basic understanding of financial principles
Proficient with computers and basic financial management/accounting software (Netsuite preferred)
Data entry/validation experience
Effective written and verbal communication skills, including interpersonal communication for team-oriented exercises
Excellent attention to detail, problem-solving and analytical skills",https://www.linkedin.com/jobs/view/externalApply/2487602206?url=https%3A%2F%2Fgrnh%2Ese%2F2936b7af3us&urlHash=2Fzh&refId=7c0a6fd6-9021-455a-a478-db795b968acc&trackingId=7tJ8yllW6beOwNmLW4t5UQ%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, International Finance & Accounting",United Way,"Remote, OR","About You

You believe in a culture of inclusive excellence and value the differences that make us each unique. You are professional and kind; curious and passionate about your work and studies; seek a stimulating and rewarding internship; and, sincere in your desire to help others. Join our internship program and gain valuable learning and working experience at a leading nonprofit organization.

About United Way Worldwide

United Way brings people, organizations, and communities together around a common cause, a common vision, and a common path forward. In many communities, we're the only nonprofit building up the cornerstones of education, financial stability and health—and the only nonprofit bringing people together from all walks of life to be a part of local solutions. We're engaged in nearly 1,800 communities across more than 40 countries and territories, where people are powering big ideas and big action by donating, volunteering and speaking out through United Way.

United Way Worldwide is located in Old Town Alexandria, VA. Our culture is People First—we take it seriously and, because of that, we take good care of people. We encourage growth and upward mobility—and want you to succeed in a diverse, inclusive, and ethical workplace. Take action, join our Internship—apply now.

Intern Experience At United Way Worldwide

Interns at United Way Worldwide gain valuable learning and working experience at a leading nonprofit organization. Our goal is to make every intern who works with us feel included, valuable, and productive. In addition to the hands-on experience you’ll receive working at the largest nonprofit in the world, you will be provided with weekly professional development workshops.

Applicant Requirements

The internship opportunities are open to current students of a college program, or within 2 years of graduating. Applicants must be eligible to work within the United States and have all documentation at the time of their application, including a Social Security Number.

POSITION DEPARTMENT

Finance

Position Summary

The Intern is part of the Finance team, with specific focus on international NGO activity. The role would assist with the financial, compliance and alignment of international United Way’s with network-wide requirements and standards of operation. This intern position will learn from and help the Director of International Accounting & Compliance to analyze financial data from international United Way’s. Work with concrete financial issues to determine solutions and help the department develop resources for the ongoing monitoring of NGO financial and organizational health transnationally.

Primary Projects
Collecting and analyzing financial data related to United Way partners around the world.
Assisting with the analysis of financial statements and yearly financial network data collected through an online platform; understanding of math, accounting, excel, and standard analysis functions required.
May liaise with the international regional teams of in Latin America, Africa & Caribbean, Europe & Middle East, India, Canada, and Asia-Pacific to acquire and verify financial data.
Other duties as assigned.


Required Skills
The intern is expected to have a background and interest in finance, accounting, economics, business administration or related fields, demonstrate exemplary skills in Microsoft Excel.

PERKS
Weekly professional development workshops provided onsite
Chance to meet and work with top nonprofit experts in the country

LOCATION

This will be a 100% remote internship experience.

TIME FRAME

May 10 – July 30, 2021

EQUAL OPPORTUNITY EMPLOYER

United Way Worldwide seeks diverse, qualified professionals who want to make a difference in the world. We are an equal opportunity employer and recruit, employ, train, compensate, and promote qualified applicants without regard to race, color, religion, creed, disability, veteran status, marital status, age, sex (including pregnancy), sexual orientation, gender identity, gender expression, national origin or ancestry, genetic information, and other legally protected characteristics, in accordance with applicable laws. The EEO is the Law poster is available here: http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf. If you need a reasonable accommodation because of a disability for any part of the employment process, please e-mail aaron.gibson@uww.unitedway.org or call 571-360-6273 and provide the nature of your request and your contact information.

We are a charter member of Employers of National Service and encourage AmeriCorps, Peace Corps, and other national service alumni to apply.

DIVERSITY & INCLUSION STATEMENT OF PRINCIPLE

We take the broadest possible view of diversity.

We value the visible and invisible qualities that make you who you are.

We welcome that every person brings a unique perspective and experience to advance our mission and progress our fight for the health, education, and financial stability of every person in every community.

We believe that each United Way community member, donor, volunteer, advocate, and employee must have equal access to solving community problems.

We strive to include diversity, equity, and inclusion practices at the center of our daily work.

We commit to using these practices for our business and our communities.

Join us in embracing diversity, equity and inclusion for every person in every community.

LIVE UNITED.

Thank you for your interest in an internship opportunity with United Way Worldwide. You will be contacted if your qualifications are a good match and you are selected for an interview.",https://www.linkedin.com/jobs/view/externalApply/2486959676?url=https%3A%2F%2Fcareers%2Eunitedway%2Eorg%2Fjob%2Fintern-international-finance-accounting&urlHash=-81b&refId=7c0a6fd6-9021-455a-a478-db795b968acc&trackingId=BQCSJMo4ZJ9ERBHEYNLSpg%3D%3D&trk=public_jobs_apply-link-offsite
