title,company,location,requirements,link
Data Engineer Intern,Hasbro,"East Providence, RI","At Hasbro, we are looking for people who are passionate about impacting the future of play and entertainment. We seek individuals who are committed, curious, creative, and who are eager to keep imagination alive on teams that play together and create together. Our values – community, passion, integrity, creativity and inclusion – help cultivate inspiring, diverse workplaces where teams are built on positivity as much as productivity, and where individuals can do work they love with people they enjoy on brands they believe in, all for a company driven by greater purpose.

Data Engineer Intern

Do you have a passion for data? We are growing our Analytics team! We have an opportunity available for a Data Engineer Intern who will work with partners in IT and across the organization to enable data-driven decisions. This person's main responsibility will be to expand the usable pool of data available for conducting analysis. They will also help execute the roadmap for Analytics within Hasbro and scope, plan, and execute strategic Analytics projects to help Hasbro’s brands achieve profitable growth!

A day in the life as a Data Engineer Intern (under the direction of the Principal Data Engineer):
Partner with peer coaches on developing data pipelines to ingest, clean, and prepare data for analysis. Develop views and aggregated datasets that can be easily loaded into analytical tools.
Partner with business resources to gather business requirements, conduct testing sessions and conduct demos of solutions.
Support analytics projects and conduct analysis. Leverage descriptive and exploratory techniques, text analytics, and statistical methods to help answer business questions. Prepare results and communicate findings to stakeholders. Projects may be small, one-time requests or larger, ongoing programs.


What You'll Bring
Pursuing a degree in a quantitative field (e.g., comp sci, engineering, economics), advanced degree/MBA a plus.
Intermediate experience with a scripting language like Python (preferred), R, Scala, C#, UNIX shell, etc.
Intermediate SQL skills, ability to design and optimize queries and create data structures.
Excellent written and verbal communication skills – will gain experience working with business stakeholders and senior leaders.
Strong time management capabilities with the ability to communicate status and issues on tasks to team and leadership.
Professionalism and strong focus on customer.
Remove candidates living in the US may be considered.

Hasbro’s world-class brands and talented people are our greatest assets. One of the ways we invest in you is through a competitive and contemporary benefits package. Your particular benefits package will depend on your position, location, local legal requirements and years with the company. Here’s a look at what your benefits package may include: Medical, Dental & Vision Insurance, Half-day Fridays year round, Paid Vacation Time & Holidays, Generous 401(k) match, Paid Parental Leave, Team Hasbro Volunteer Program, Employee Giving & Matching Gifts Programs, Tuition Reimbursement, Toy Discounts and more!

Hasbro is committed to equality of opportunity in all aspects of employment. We are committed to making all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, or any other legally protected status.",https://www.linkedin.com/jobs/view/externalApply/2458814507?url=https%3A%2F%2Fjobs%2Ehasbro%2Ecom%2Fjob%2FEast-Providence-Data-Engineer-Intern-Rhod%2F722323100%2F%3Futm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=VdNw&refId=7e293d21-a5f9-4a24-b5ca-0f4644f7e0fc&trackingId=enI5hYgvSLVjt2HUO4W%2F%2FQ%3D%3D&trk=public_jobs_apply-link-offsite
2021 Summer Graduate Intern - Data Engineer,Novartis,"East Hanover, NJ","Sourcing Statement

You are applying to be part of the Novartis Talent Pool. We are not currently recruiting for this role but we are building a pipeline for future opportunities. If you would like to be considered for a similar position in future, then please submit your CV.

Job Description

799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

Position Overview
Help architect the foundation of Commercial Acceleration data capability
Building a harmonized schema to feed downstream processing and natural language analysis
The data is contained in multiple source systems which needs to be filtered as appropriate to a model that captures interoperability conditions
Design the data flow with regard to structural soundness and robustness
Build, ship, and deploy REST API Endpoint for data ingestion and extraction


General Responsibilities
Build highly scalable data pipelines to power experiments and key business metrics
Design a harmonized schema to feed downstream processing with pristine data quality and relentless scale
Partner with Data Scientists to operationalize machine learning models for data analysis and recommendations for next best actions
Devise innovative and forward-thinking solutions to increase speed to insight and time to value
Keep up-to-date with the latest technology trends
Communicate results and ideas to key stakeholders


Business Impact""

Drive speed to insight for Commercial Acceleration & Digital Marketing Analytics. Deliver scalable, automated, and highly effective NBA (Next Best Action) recommendations to minimize Digital Marketing Cost, and drive hyper-relevant personalization to customers. Building solutions to ensure consistency, standardization, data quality, and governance to yield highly adopted analytical ready datasets. Enhance and scale our centralized decision engine to personalize, harmonize, and humanize customer touchpoints

EEO Statement
The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, marital or veteran status, disability, or any other legally protected status. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration and empowers our people to unleash their full potential.

Minimum Requirements

Candidate should be in an accredited degree-granting college or university pursuing a graduate degree

Minimum Requirements

/b
Software Engineering experience with proficiency in


Python and exposure to Cloud Computing
Strong SQL skills
SQL-centric ETL (Extract, Transform, and Load) but will


consider someone from an engineering background who
is more familiar with JVM-centric ETL in building Data
Pipelines
-Have excellent pattern recognition and predictive -
modeling skills
Knowledge of data visualization tools (e.g.


Tableau/QlikSense)

Preferred Competencies/Experiences
Experience with AWS Cloud Services, S3, Redshift, Snowflake, PySpark
PostgreSQL
Familiar with or awareness of automated workflow and orchestration tools like Airflow/Matillion
Graph Database (Neo4J) and various NoSQL Databases
Data Lineage/Data Catalog support


Why consider Novartis?

Division
PHARMA

Business Unit
US PHARMA

Country
USA

Work Location
East Hanover, NJ

Company/Legal Entity

Novartis Pharmaceuticals

Functional Area
Marketing

Job Type
Full Time

Employment Type
Internship

Shift Work
No",https://www.linkedin.com/jobs/view/externalApply/2487550219?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3Fpartnerid%3D13617%26siteid%3D5268%26PageType%3DJobDetails%26jobid%3D2726929%26frmSiteId%3D5260%26codes%3DLIIN-W&urlHash=DUBc&refId=7e293d21-a5f9-4a24-b5ca-0f4644f7e0fc&trackingId=G9DbNM9fu%2FbISF7JSnkxtA%3D%3D&trk=public_jobs_apply-link-offsite
"Paid Summer Intern - IT, Data Engineer & Visualization",Levi Strauss & Co.,"San Francisco, CA","Job Description

You’re an original. So are we .

We’re a company of people who like to forge our own path. We invented the blue jean in 1873, and we reinvented khaki pants in 1986. We pioneered labor and environmental guidelines in manufacturing. And we work to build sustainability into everything we do. Our brands stand for freedom and self-expression around the world.

Where we lead, others follow. For more than 160 years, we’ve used the strength of our brands to lead with our values and make an outsized impact on the world. We employ more than 15,000 people globally to support our great brands: Levi’s®, Dockers®, Denizen® and Signature by Levi Strauss & Co.™

This summer you could have the opportunity to work for one of Levi Strauss & Co.’s iconic brands! Our San Francisco-based Summer Internship opportunities, among the Levi’s® and Dockers® brands, give students real world work experience and exposure to one of the world’s leading fashion and apparel companies. Our 10 week Summer Internship Program is the perfect way to gain work experience within the core of the organization, while learning what a career at LS&Co. might have in store for you.

In addition to day-to-day responsibilities, all interns will participate in an intern group project dedicated to a critical business initiative as well as be exposed to all areas of our business and our brands.Leadership seminars and career exploration series connect our interns to our leaders and educate around different career paths. Intern’s performance will be assessed using our internal review process.

Primary Responsibilities May Include (but Are Not Limited To)
Partner with cross-functional IT organization and respective business partners across functional areas to develop the desired applications to support IT and business strategic plans
Responsible for providing production support to technical team
Support enterprise evaluations and analyses that adhere to established global IT project and requirements management methodologies, governance/check-point, release management, and tools standards for approved projects requiring IT solutions
React to changing business needs by modifying plans and adjusting deliverables efficiently
Contribute to email reporting and analysis
Utilize reporting tools to create reports and interpret data
Analyze performance vs. goals and share insights and recommendations
Modify and share go-forward strategies based on learnings and best practices
Monitor competitive landscape and report out to the broader team

Requirements For The Internship
High school diploma or GED
Must be enrolled in an accredited undergraduate program
Must be in junior year (rising senior at time of internship)
GPA of 3.0 or above
Proficiency in combining multiple sources, data manipulation and reporting in Microsoft Excel.
Demonstrated experience in developing software using Java, Python or Spark
Experience with Big Data is a big plus
Write SQL Queries to Analyze data and produce reports.
Demonstrated experience with data analysis, either on a school or research project, is a strong plus

Additional Qualifications
Specific college coursework in an area relevant to the internship, or participation in a specific career development program
Strong verbal and written communication skills; detail orientated and thorough
Ability to work well with diverse co-workers
Ability to proactively seek out new learning opportunities; intellectual curiosity with the proven ability to learn new information quickly
Team orientation
Ability to work independently
Flexibility to perform a variety of different types & levels of work
Ability to present strong, fact-based points of view
Ability to meet deadlines in a fast-paced, deadline-driven environment with changing priorities
Exceptional problem solving and organizational capabilities
EOE M/F/Disability/Vets LOCATIONSan Francisco, CA, USAFULL TIME/PART TIMEFull time Current LS&Co Employees, apply via your Workday account.",https://www.linkedin.com/jobs/view/externalApply/2432042767?url=https%3A%2F%2Flevistraussandco%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FSan-Francisco-CA-USA%2FPaid-Summer-Intern---IT--Data-Engineer---Visualization_R-68739%3Fsource%3DLinkedIn&urlHash=pWCe&refId=7e293d21-a5f9-4a24-b5ca-0f4644f7e0fc&trackingId=Izad5WbgAWDolEcqM5BO0w%3D%3D&trk=public_jobs_apply-link-offsite
Data Engineer Intern,Integral,"Chicago, IL","Integral Ad Science (IAS) is a global technology and data company that builds verification, optimization, and analytics solutions for the advertising industry and we're looking for a Data Engineering Intern to join our Data Engineering team. If you are excited by technology that has the power to handle hundreds of thousands of transactions per second; collect tens of billions of events each day; and evaluate thousands of data-points in real-time all while responding in just a few milliseconds, then IAS is the place for you!
Our data pipelines process between 2B to 5B events per hour. Experience gained on such data pipelines are in high demand. As a Data Engineering Intern you will work with more senior engineers in building new data pipelines on AWS, migrate pipelines to AWS or extend features and optimize performance of existing data pipelines.

What You'll Get To Do
Implement data processing solutions using Big Data stack including but not limited to Hadoop, Spark, EMR and Snowflake
Work with data engineers and data scientists to analyze, design, code, debug, test, document, and deploy changes to the system
Participate in sprint meetings and daily stand-ups
Attend intern activities designed to allow you to develop your skills, better understand your career interests and identify opportunities for future employment
Network with other interns and IAS employees
Who You Are And What You Have
A rising senior actively working towards obtaining a BA/BS degree in Computer Science, Mathematics, or a related field looking for a full-time position upon graduation
Relevant coursework, and interest, in build, test, automation, and DevOps frameworks
Experience programming in object oriented languages such as Java, C++, Scala or Python as well as proficiency in Linux
Basic understanding of algorithms and data structures
Ability to communicate clearly, verbally and in writing
Effective time management skills and ability to work in a team atmosphere
What Puts You Over The Top
Some practical experience working on AWS or another cloud provider
Some practical experience developing with Apache Spark and/or Hive
Good knowledge of SQL and experience with columnar datastores
About Integral Ad Science

Integral Ad Science (IAS) is the global market leader in digital ad verification, offering technologies that drive high-quality advertising media. IAS equips advertisers and publishers with both the insight and technology to protect their advertising investments from fraud and unsafe environments as well as to capture consumer attention, and drive business outcomes. Founded in 2009, IAS is headquartered in New York with global operations in 18 offices across 13 countries. IAS is part of the Vista Equity Partners portfolio of software companies. For more on how IAS is powering great impressions for top publishers and advertisers around the world, visit integralads.com.

Equal Opportunity Employer

IAS is an equal opportunity employer, committed to our diversity and inclusiveness. We will consider all qualified applicants without regard to race, color, nationality, gender, gender identity or expression, sexual orientation, religion, disability or age. We strongly encourage women, people of color, members of the LGBTQIA community, people with disabilities and veterans to apply.

California Applicant Pre-Collection Notice

We collect personal information (PI) from you in connection with your application for employment or engagement with IAS, including the following categories of PI: identifiers, personal records, commercial information, professional or employment or engagement information, non-public education records, and inferences drawn from your PI. We collect your PI for our purposes, including performing services and operations related to your potential employment or engagement. For additional details or if you have questions, contact us at compliance@integralads.com.
To learn more about us, please visit http://integralads.com/ and https://muse.cm/2t8eGlN
Attention agency/3rd party recruiters: IAS does not accept any unsolicited resumes or candidate profiles. If you are interested in becoming an IAS recruiting partner, please send an email introducing your company to recruitingagencies@integralads.com. We will get back to you if there's interest in a partnership.
#ias-emerging-talent",https://www.linkedin.com/jobs/view/externalApply/2489038850?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2F7e53696285e93db4aefa9dea38803ef6&urlHash=Htn_&refId=7e293d21-a5f9-4a24-b5ca-0f4644f7e0fc&trackingId=2vku6ZHPA6zDIwbzDXKCtw%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, Data Engineer (Immediate Opening / Spring 2021)",Panasonic North America,"Newark, NJ","Panasonic – Intern, Data Engineer (Immediate Opening / Spring 2021)

Every moment of every day, people all over the world turn to Panasonic to make their lives simpler, more enjoyable, more productive and more secure. Since our founding almost a century ago, we’ve been committed to improving peoples’ lives and making the world a better place–one customer, one business, one innovative leap at a time. Come join our journey.

Click here to learn more about how Panasonic is creating a better life, a better world.

Watch this video to see how our employees are shaping the technologies that move us.

What You’ll Get To Do

Panasonic Corporation of North America is looking for an Intern, Data Engineer to support the Customer Insights and Analytics team in the optimization of our media marketing mix, increasing new customer acquisition, measuring attribution, and making marketing more effective through designing and building a robust data pipeline architecture to drive our digital marketing strategy across various marketing teams enterprise-wide.

The Intern, Data Engineer will have an interest, and ideally some exposure, with data infrastructure and architecture, data frameworks, and processes to integrate disconnected and disparate data sources into automated datasets for analyst's consumption. The ideal candidate will also have experience working with enterprise metrics, strong operational skills to drive speed and efficiency, expertise in building repeatable data engineering processes, and strong project management skills. Experience with marketing and sales data sets is a huge plus.

Primary Responsibilities
Support the design and implementation of data pipelines, both batch and real-time, to produce reliable data for various data consumption use cases.
Assist in dataset design, creation, and curation; including the frameworks to derive metrics to deliver data products for KPI’s, visualization, data science, and analysis.
Build automation and monitoring frameworks that deliver reliable, accurate, easy-to-understand metrics and operational KPIs to stakeholders for data pipeline quality and performance.
Support data, pipeline design, and other related big data and programming technologies.
Proactively identify reliability and data quality problems, and drive triaging and remediation processes.
Partner with data producers in understanding data sources, enable data contracts, and define the data model that drives analytics.
Partner with Analysts and Data Scientists to deliver reliable data that powers actionable insights.
Evaluate various technologies and platforms in open source and proprietary products. Execute proof of concept on new technology and tools to pick the best tools and solutions.
Understand data governance practices such as metadata management, data lineage, and data glossaries a huge plus.
Foster operational excellence & continuous improvement.

What You’ll Bring

Education & Experience:
Ideally a student pursuing their Masters degree in ISEM, MSIS, Computer Science or equivalent field, with 2+ years of relevant experience within the big data/data warehousing domain.
Some experience in complex, matrixed enterprise / corporate environments managing data infrastructure and pipelines preferred.
Solid understanding of RDBMS concepts, data structures, and distributed data processing patterns.
Knowledge of programming pipelines in languages like Python, Scala, Java, etc.
Experience in big data technologies like Hadoop, Spark, Hive, Snowflake, etc.
Experience with Cloud technologies like AWS, GCP, Containers, Kubernetes.
Hands-on knowledge of Salesforce products and functionalities a plus.
Experience with Sales and Marketing data is a huge plus.
Experience working with BI/data visualization tools such as Domo.

Competencies
Ability to partner with Analysts and Data Scientists to understand stakeholder requirements and design prototypes to bring ideas to production.
Passionate, curious, self-starter and innovative mentality.
Interest in marketing and analytics

Communications
Excellent communication and interpersonal skills

#LJC1",https://www.linkedin.com/jobs/view/externalApply/2466602768?url=http%3A%2F%2Fapp%2Ejobvite%2Ecom%2FCompanyJobs%2FCareers%2Easpx%3Fc%3DqvJaVfw3%26j%3Doa40efwc%26k%3DApply%26su%3DfqqaVfwF%26s%3DLinkedIn&urlHash=zb3s&refId=7e293d21-a5f9-4a24-b5ca-0f4644f7e0fc&trackingId=CnTYvciGVsJf3tNx%2FqL5gA%3D%3D&trk=public_jobs_apply-link-offsite
Data Engineer Intern,Gotion Inc.,"Fremont, CA","Responsibilities
Develop and maintain data platform (ETL) for electrical vehicle battery
Develop and maintain battery visualization dashboards
Working closely with algorithm team and embedded software teams to improve the platform


Qualifications
Able to start presently or Jan 2021. Please do not apply to this listing if looking for summer intern.
BS in Engineering or Computer Science/ Graduate degree preferred.
Proficient in Python, SQL
Familiarity with AWS (or equivalent)
Experience with front-end development is a plus
Experience with time-series database is a plus
Experience with Matlab is a big plus

About Gotion:

Gotion, Inc. is based in Silicon Valley in California, with R&D centers in Ohio, China, Japan and Europe. We innovate in the next generation electric vehicle and energy storage technologies (lithium batteries and related systems) with the aim to accelerate electrified transportation and achieve sustainable development. Gotion is powered by a leading power battery technology company that provides solutions for vehicles including the world's first mass commercial e-bus route.

Gotion is a career destination- we are not simply attempting to just fill another job, but to pursue a dream of global green energy together! We offer outstanding opportunities to individuals seeking an exciting and challenging working environment. Everyone is highly valued and plays a vital role in the growth of our organization.",https://www.linkedin.com/jobs/view/externalApply/2487694272?url=https%3A%2F%2Fgrnh%2Ese%2Fe5da380f2&urlHash=AQGc&refId=7e293d21-a5f9-4a24-b5ca-0f4644f7e0fc&trackingId=%2BSIqxhttCoco%2B0ouiTkmyA%3D%3D&trk=public_jobs_apply-link-offsite
Finance Data Engineer Intern,Thermo Fisher Scientific,"Waltham, MA","When you’re part of the team at Thermo Fisher Scientific, you’ll do important work. You’ll have the opportunity to grow and learn in a culture that empowers your development. We have created an inclusive, global environment that values the power of diverse talent, backgrounds, and experiences to drive speed, productivity, innovation, and growth.

Our internship program will give you a chance to get real world business experience and build your network before graduation. We are seeking an energetic, responsible intern to join our growing organization. In this position, you will be expected to learn the ins-and-outs of our daily routines and procedures. You will focus on learning how our organization runs, and can be expected to gain valuable insight that can further your interest in your chosen career field.

Summary of Internship

The Finance Data Engineer Intern position provides an opportunity for students who are currently pursuing a data science, mathematics, statistics, or similar major in your degree to get hands on experience working with finance, business analysts, and data engineers in a life sciences business environment. The data science intern will contribute to projects and build new practice standards. The position starts in May or June, paid working 40 hours per week through August.  Opportunity exists for this position to continue through the academic year on a part-time basis to allow for class schedules.

Essential Functions
Contribute and build optimization models for scenario testing future business outcomes based on internal and external data
Identify and present predictive drivers/leading indicators, trends, outliers, and patterns that uncover new insights to help guide enterprise-wide business insights
Derive data driven insights in close partnership with Finance, Operations, Commercial, and Data Science teams to expose opportunities for revenue and cost optimization with resource allocation
Leverage visualization tools and frameworks including React and Power Bi to perform interactive data exploration that help businesses and senior leaders understand impact of identified opportunities
Build process and training documentation standards using data science within the finance function
Specific tasks will be tailored to the software interns experience level and abilities

Skills And Abilities
Ability to work independently and as a member of a cross-functional team
Willingness to learn, be mentored, and improve
Excellent verbal / written communication skills with attention to detail
Desire to teach other analysts about data science techniques and technologies in area of expertise
Familiarity with of least one programming language of R, Python, SQL

Qualifications
Student currently enrolled in classes leading to an accredited degree in a major that supports the data science discipline
Prior business experience or portfolio applying data science techniques in a finance field or global data company preferred",https://www.linkedin.com/jobs/view/externalApply/2487109441?url=https%3A%2F%2Fthermofisher%2Econtacthr%2Ecom%2F81786809%3FrefId%3D34jd24&urlHash=nUKO&refId=7e293d21-a5f9-4a24-b5ca-0f4644f7e0fc&trackingId=lMcXEWBKpPPf71ilLtP2kw%3D%3D&trk=public_jobs_apply-link-offsite
Data Scientist Intern,Juniper Networks,"Cupertino, CA","The mission of the Data Science team at Mist, a Juniper Company, is to leverage state-of-art ML and AI technologies to build the next-generation self-driving network solution, which can take actions on behalf of or together with human experts to automatically monitor, detect and remediate common network issues. The team includes a group of experienced and talented data scientists and data science engineers, and builds the end-to-end data analytics infrastructure and ML models of the product.

The profile of a great candidate:

Pursuing a Bachelor or Master Degree in Computer Science, Electrical Engineering, or equivalent majors
Experience in software development (Python, Java, Scala)
Passionate learner and good team worker
Experience with big data tools (e.g., spark, flink, elasticsearch, Cassandra etc ) and cloud env (e.g., AWS, GCP) is a plus.

Juniper’s University Talent Program (UTP) introduces next generation talent to Juniper’s workforce and provides talented students with an opportunity to develop professional experience at a world-class technology company. And it’s not hard to see why so many accomplished students have been compelled to spend their summers at Juniper!

Here at Juniper, UTP provides a comprehensive program that fosters professional as well as personal growth, thoroughly preparing its interns for the next step in their careers. Juniper internships are project-based, allowing interns to solve important problems, make lasting impacts on their teams, and contribute to the company’s overall objectives. They are mentored by some of the most talented and skillful innovators in the industry; they connect with transformative thought leaders who promote disruptive ideas in their field. Interns participate in constructive professional workshops, company-wide community service initiatives, and executive speaker series. They build lasting friendships, expand their network, and connect with colleagues from around the world.

At Juniper Networks, you will not only have opportunities to build real-life, hands-on work experience – you’ll also have the chance to learn from the best and lay the groundwork for a successful career.

Please note that Juniper's 2021 internship program will be conducted remotely. The location listed reflects the location of the team the intern will join, whereas the intern will work from their residence in the US.",https://www.linkedin.com/jobs/view/externalApply/2466617745?url=https%3A%2F%2Fcareers%2Ejuniper%2Enet%2F%23%2Fjobdescription%3Fjid%3D1000243&urlHash=TEYA&refId=7e293d21-a5f9-4a24-b5ca-0f4644f7e0fc&trackingId=ejIDQaflfp7iqgSKjTHS%2FA%3D%3D&trk=public_jobs_apply-link-offsite
Data Engineer Intern,Vee,"New York, NY","Position: Data Engineer Intern (REMOTE)

Reports to: CTO

Location: Remote

Are you passionate about architecting data solutions and applying your engineering experience to drive business decisions? Interested in how organizations use analytics and data to innovate, grow and transform? Driven to help establish, define, and evangelize how data architecture can help drive a strategy?

Company Overview

Vee inspires people to align on Purpose so they can unlock their individual and collective human potential. We are an early stage startup poised for dramatic growth. We specialize in developing ways to drive greater strategic alignment to unlock enterprise innovation and growth. After spending considerable time exploring the need for better alignment models across diverse organizations, we have developed a framework and methodology based on insights from extensive research. We are building products to assess gaps and are offering our consulting services to help 21st century leaders develop and implement their organizational and people strategies, along with the capabilities required to operationalize their Purpose as they transform.

Position Overview

Join our fast-growing team! You will help drive business results through building a robust data engine to build business-critical, scalable, and robust data pipelines and intuitive data products that power data discovery and analysis. You will help build Vee's data capability and data strategy.
Help architect the foundation of Vee's data capability
Building a harmonized schema to feed downstream processing and natural language analysis
The data is contained in multiple source systems which needs to be filtered as appropriate to a model that captures interoperability conditions
Design the data flow with regard to structural soundness and robustness


General Responsibilities
Build highly scalable data pipelines to power experiments and key business metrics
Design a harmonized schema to feed downstream processing
Partner with Data Scientists and the People Science team to research and develop statistical learning models for data analysis
Devise innovative and forward-thinking solutions
Keep up-to-date with the latest technology trends
Communicate results and ideas to key stakeholders at Vee


Core Experience & Requirements
Software Engineering experience with proficiency in at least one high-level programming language (preferably Python).
Strong SQL skills
SQL-centric ETL (Extract, Transform, and Load) but will consider someone from an Engineering background who is more familiar with JVM-centric ETL
Have excellent pattern recognition and predictive modeling skills
Knowledge of data visualization tools (e.g. Tableau)


Preferred Experience
Experience with AWS Data Lakes, S3, Redshift
PostgreSQL
ETL
Data Lineage knowledge
Familiar with or awareness of automated workflows like Airflow


Profile

Purpose is what drives you. Your passion for your work has led you here. You are ready to combine your experience with ours to help our client companies gain competitive advantage. You bring strong creative thinking skills in addition to superior communication skills, allowing you to develop creative solutions for any challenge that comes your way.

You:
Love what you do, love to be busy, and love to produce by being organized and methodical
Work with a sense of urgency and have a strong drive for results
Have the resilience and agility to adapt quickly in a fast-paced environment
Work independently as well as collaboratively to stretch thinking into creative solutions
Have strong verbal and written communication skills
Are excited about and suited for a startup, where you'll be wearing a few hats
Are smart and fun with an empathetic nature, which will add to our culture


About Vee

Our founders and team have deep expertise in branding, innovation, design, I/O psychology, organization design, digital & data product development, enterprise software and application development complemented by experience with clients ranging from emerging Silicon Valley unicorns to established leaders in government and the public and private sectors including American Express, Bank of America, BMW, Box, HP, Lowe's, Mastercard, Microsoft, Nissan, Pepsico, Procter & Gamble, SAP and The Clorox Company, among others. For more information, check out our website in transition at https://www.letsvee.com/.",https://www.linkedin.com/jobs/view/externalApply/2487570639?url=https%3A%2F%2Fgrnh%2Ese%2F3f81e25d3us&urlHash=FApN&refId=7e293d21-a5f9-4a24-b5ca-0f4644f7e0fc&trackingId=oPiR08CyVUvw3crJ9fsirQ%3D%3D&trk=public_jobs_apply-link-offsite
Data Scientist Intern,Triton International,"Purchase, NY","JOB DESCRIPTION
TITLE: Data Scientist Intern
DEPARTMENT: Business Development & Investor Relations
STATUS: Non-Exempt
REPORTS TO: Manager, Business Development
LOCATION: Purchase, NY

Applicants must have valid work authorization to work for ANY employer in the US. We are unable to sponsor or transfer US work visas at this time. 

I. THE COMPANY:
Triton International Limited (“Triton”) (NYSE: TRTN) is the world’s largest lessor of intermodal freight containers and chassis, with over $10 billion in assets generating over $1 billion in annual revenue. Triton leases its fleet of containers to virtually all of the world’s largest shipping lines under a variety of short-term and long-term leasing structures designed to help the shipping lines finance their growth, improve their operating efficiency and better balance their global trade flows. Triton operates its business through 20 offices and three independent agencies in 16 countries, and services its customers through a network of over 410 third-party operated depot facilities spread across approximately 44 countries.

II. FUNCTIONAL SUMMARY:
The individual will be expected to quickly learn and understand current processes, assess, and ultimately make suggestions for improvement. This is a newly developed role that will focus on enhancing our usage of data and integrating data science into our operations and corporate strategy. The position will report into the Business Development team, and will have high visibility within the organization related to strategic initiatives. The Data Scientist Intern will help drive the collection and analysis of critical data, and will be expected to synthesize the information and draw conclusions to make recommendations to senior management. A successful internship could lead to a full time position. While there is flexibility to be remote during the internship, the full time position would be expected to work 5 days a week in the Purchase, NY office once COVID restrictions are lifted.

III. JOB RESPONSIBILITIES:
Conduct advanced statistical analysis on internal and external data to forecast a variety of business drivers including key fleet metrics
Assist in the creation and maintenance of internal surveys used to gauge sentiment of our employees, and construct indices based on survey results
Collect and analyze third party data via APIs
Work with our data warehouse and analytics team to perform ongoing and ad-hoc fleet analysis
Assist commercial teams in developing business leads using data analytics
Develop and update dashboards to communicate key insights to senior management

IV. REQUIREMENTS:
KNOWLEDGE REQUIRED:
Must be currently enrolled in a graduate program and seeking an internship position
Must be pursuing a Master’s degree or above in Data Science, Computer Science, Statistics, or Economics with at least 3-5 years of relevant work experience as a Data Scientist or a similar role
Proficient in a variety of programming languages, including R, Python, and SQL
Exposure to machine learning and AI techniques
Prior work experience using Tableau or other data visualization tools

SKILLS AND ABILITIES REQUIRED:
Ability to understand key questions and business needs and apply appropriate research design that best addresses these questions
Ability to quickly grasp new concepts and business processes
Ability to analyze processes/problems logically and comprehensively, distinguishing between relevant and irrelevant information
Ability to handle sensitive/confidential matters in a tactful and discreet manner
Ability to work effectively in a team environment as well as independently
Ability to interact effectively throughout all levels of the organization
Strong interpersonal and communication skills
Strong desire for continuous growth/development

Equal Opportunity Employer M/F/IWD/PV
VEVRAA Federal Contractor

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, national origin, age, disability, or protected veteran status.",https://www.linkedin.com/jobs/view/externalApply/2475119627?url=https%3A%2F%2Fwww%2Etritoninternational%2Ecom%2Fcareers&urlHash=g3X6&refId=7e293d21-a5f9-4a24-b5ca-0f4644f7e0fc&trackingId=kXGepA2vAVuMjHw9RW9sXw%3D%3D&trk=public_jobs_apply-link-offsite
