title,company,location,requirements,link
Pharmacy Intern - Providence,Rhode Island Hospital,"Providence, RI","Summary

Under the supervision of a pharmacist and direction of a technician group leader or technician specialist performs a variety of technical and support tasks designed to assist pharmacists in the formulation preparation dispensing and delivery of medications and pharmaceutical supplies in accordance with established policies and procedures and in keeping with the scope of services provided and in consideration to the age of the patients being served.

Responsibilities

Under the supervision of a pharmacist assists in the formulation and preparation of medications by:
Reviewing Licensed Independent Practitioner medication orders and preparing medications for review and dispensing by a pharmacist.
Performing general operations of electronic drug dispensing system (EDDS; i.e. Omnicell Pyxis) used in the inventory control and distribution of pharmaceuticals and related supplies. Including maintaining assigning refilling and removing medication including controlled substances generating and interpreting reports to perform above.
Maintaining operating room medication inventory including controlled substances.
Preparing intravenous admixtures up to and including chemotherapy and pediatric critical care infusions utilizing aseptic techniques in a controlled environment according to computer-generated and/or pharmacist approved formulation record including proper manipulation labeling and expiration dating. Work in United States Pharmacopoeia clean room environment and in accordance with procedures of the same.
Preparing non-sterile pharmaceutical products according to computer-generated and/or pharmacist approved formulation record including proper labeling and expiration dating.
Performs controlled substance discrepancy resolution in conjunction with other licensed health care professionals.
Participates in controlled substances inventory management in the Pharmacy and the hospital.

Delivers medications to clinic procedural treatment operating room and patient care areas . Retrieves medication orders.

Repackages and labels medications for distribution in accordance with pharmacist approved Packaging and Labeling Records.Prepares various emergency medication kits for pharmacist review and distribution to patient care areas.
Performs routine procurement and inventory management of medications including ordering and receipt of chemotherapy and other pharmaceutical supplies. Completes necessary paperwork for controlled substance procurement and verifies receipt of such.
Processes medication requisitions for departments and laboratories for pharmacist verification.
Reconciles patient and department medication charges.
Performs routine preventive maintenance to all equipment according to standards for same.
Assists in maintaining related Pharmacy records and files performing equipment calibration and maintenance.
Assists in maintaining the Pharmacy and medication supply areas in a neat and orderly fashion ensuring medications are stored under proper conditions for light temperature sanitation and segregation.
Participates in quality assessment and improvement activities and medication safety initiatives of the Pharmacy and the hospital. Utilizes approved process for reporting actual prevented and near miss medication errors.
Answers the telephone and triages as appropriate. Interacts with internal and external customers in accordance to hospital Customer Service Standards.
Assists in orientation and training of other pharmacy technicians and interns.
Other duties as assigned.

Basic Knowledge

Other information:

Current enrollment in no less than the third (3rd) year in an accredited college of pharmacy as a student in good standing.
Maintains current unrestricted licensure as a pharmacy intern in the State of Rhode Island.
One to three months on-the-job training to become familiar with duties and responsibilities and departmental procedures.
Possesses basic computer skills including Microsoft Office Suite.

Experience

None.

Work Environment And Physical Requirements

Possesses physical ability to lift carry and maneuver medication delivery equipment and pharmaceutical related inventories including extended periods of work time spent standing and walking.
Requires the visual and manual dexterity to operate a computer.
New hires into this position must successfully pass a drug screen in conformance with Rhode Island State Law.

SUPERVISORY RESPONSIBILITY: None",https://www.linkedin.com/jobs/view/externalApply/2459323069?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3Db0e876f58210%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadeaddgbadb8dd88dd99ddaaadafddbadd8fdde3defcdcgfec3ddcg3e&urlHash=aMQ4&refId=b977696b-f354-4486-af64-bfff15175447&trackingId=uAyRt3t61K3F%2BBVQF7d16g%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern,Lifespan,"Providence, RI","Summary

Under the supervision of a pharmacist and direction of a technician group leader or technician specialist performs a variety of technical and support tasks designed to assist pharmacists in the formulation preparation dispensing and delivery of medications and pharmaceutical supplies in accordance with established policies and procedures and in keeping with the scope of services provided and in consideration to the age of the patients being served.

Responsibilities

Under the supervision of a pharmacist assists in the formulation and preparation of medications by:
Reviewing Licensed Independent Practitioner medication orders and preparing medications for review and dispensing by a pharmacist.
Performing general operations of electronic drug dispensing system (EDDS; i.e. Omnicell Pyxis) used in the inventory control and distribution of pharmaceuticals and related supplies. Including maintaining assigning refilling and removing medication including controlled substances generating and interpreting reports to perform above.
Maintaining operating room medication inventory including controlled substances.
Preparing intravenous admixtures up to and including chemotherapy and pediatric critical care infusions utilizing aseptic techniques in a controlled environment according to computer-generated and/or pharmacist approved formulation record including proper manipulation labeling and expiration dating. Work in United States Pharmacopoeia 797 clean room environment and in accordance with procedures of the same.
Preparing non-sterile pharmaceutical products according to computer-generated and/or pharmacist approved formulation record including proper labeling and expiration dating.
Performs controlled substance discrepancy resolution in conjunction with other licensed health care professionals.
Participates in controlled substances inventory management in the Pharmacy and the hospital.

Delivers medications to clinic procedural treatment operating room and patient care areas . Retrieves medication orders.

Repackages and labels medications for distribution in accordance with pharmacist approved Packaging and Labeling Records.Prepares various emergency medication kits for pharmacist review and distribution to patient care areas.
Performs routine procurement and inventory management of medications including ordering and receipt of chemotherapy and other pharmaceutical supplies. Completes necessary paperwork for controlled substance procurement and verifies receipt of such.
Processes medication requisitions for departments and laboratories for pharmacist verification.
Reconciles patient and department medication charges.
Performs routine preventive maintenance to all equipment according to standards for same.
Assists in maintaining related Pharmacy records and files performing equipment calibration and maintenance.
Assists in maintaining the Pharmacy and medication supply areas in a neat and orderly fashion ensuring medications are stored under proper conditions for light temperature sanitation and segregation.
Participates in quality assessment and improvement activities and medication safety initiatives of the Pharmacy and the hospital. Utilizes approved process for reporting actual prevented and near miss medication errors.
Answers the telephone and triages as appropriate. Interacts with internal and external customers in accordance to hospital Customer Service Standards.
Assists in orientation and training of other pharmacy technicians and interns.
Other duties as assigned.

Basic Knowledge

Other information:

Current enrollment in no less than the third (3rd) year in an accredited college of pharmacy as a student in good standing.
Maintains current unrestricted licensure as a pharmacy intern in the State of Rhode Island.
One to three months on-the-job training to become familiar with duties and responsibilities and departmental procedures.
Possesses basic computer skills including Microsoft Office Suite.

Experience

None.

Work Environment And Physical Requirements

Possesses physical ability to lift carry and maneuver medication delivery equipment and pharmaceutical related inventories including extended periods of work time spent standing and walking.
Requires the visual and manual dexterity to operate a computer.
New hires into this position must successfully pass a drug screen in conformance with Rhode Island State Law.

SUPERVISORY RESPONSIBILITY: None

Lifespan is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race color religion sex national origin age ethnicity sexual orientation ancestry genetics gender identity or expression disability protected veteran or marital status. Lifespan is a VEVRAA Federal Contractor.

Location: Rhode Island Hospital USA:RI:Providence

Work Type: Per Diem

Shift: Shift 4

Union: IBT",https://www.linkedin.com/jobs/view/externalApply/2457833648?url=https%3A%2F%2Fjobs%2Elifespan%2Eorg%2Fsearch%2Fjobdetails%2Fpharmacy-intern%2F3e6b3566-02f8-4252-8171-d8e01bea779d%3Futm_source%3Dlinkedin%26utm_campaign%3Dlinkedin_organic%26utm_medium%3Dorganic_job_board&urlHash=7WnQ&refId=b977696b-f354-4486-af64-bfff15175447&trackingId=cnEivWYcZ%2B9Jm8199GIrMg%3D%3D&trk=public_jobs_apply-link-offsite
(USA) Pre-Grad Intern - Wm - Temporary Pharmacy Intern,Walmart,"North Windham, CT","Position Summary... What You'll Do...

Ensures confidentiality of information, documentation, and assigned records as required by Company policies, and local, State, and Federal guidelines.

Provides Pharmacy products and services to Customers in accordance with local, state, and federal laws and Company policies and procedures by assisting with processing prescription and/or over-the-counter (OTC) orders and purchases, stocking and securing Pharmacy supplies and merchandise, entering prescription information and/or filling prescriptions, completing, maintaining, and securing paperwork, forms, and required documentation.

Provides customer service by acknowledging the customer, identifying customer needs, assisting with purchasing decisions, locating merchandise, resolving customer issues and concerns, and promoting products and services, while maintaining a safe shopping environment.

Operates equipment, such as cash registers and related tools, to process customer purchases using appropriate procedures for different payment types and items sold.

Receives and stocks merchandise/supplies from distribution centers and suppliers and organizes and maintains the Pharmacy area by following Company procedures, utilizing equipment appropriately, merchandising, and completing and retaining required paperwork, logs, and other documentation.

Maintains the Pharmacy area in accordance with Company policies and procedures by properly handling claims and returns, zoning the area, arranging and organizing merchandise/supplies, identifying shrink and damages, and ensuring a safe work environment.

Maintains merchandise presentation in the Pharmacy by stocking and rotating merchandise, removing damaged or out-of-date goods, setting up, cleaning, and organizing product displays, signing and pricing merchandise appropriately, and securing fragile and high-shrink merchandise.

Minimum Qualifications...

Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.
Minimum Qualifications: Enrolled in an accredited Pharmacy school Preferred Qualifications...
Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.
Pharmacy-Based Immunization Delivery Certification - Certification",https://www.linkedin.com/jobs/view/externalApply/2436006516?url=https%3A%2F%2Fclick%2Eappcast%2Eio%2Ftrack%2F7yy91s9-org%3Fcs%3D4c%26jg%3D1yfx%26bid%3DlUf2CslKyPxm6i440ZgUYA%3D%3D&urlHash=LUVI&refId=b977696b-f354-4486-af64-bfff15175447&trackingId=57RJDxRiXpEDbvMxjerA1w%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern Grad,Walgreens,"Providence, RI","Job Description

Job Objectives

Provides pharmacy consulting services to customers regarding the effective usage of medications, awareness with drug interactions and offering preventive healthcare services such as immunizations. Responsible for ensuring the proper compounding, dispensation, review and verification of prescribed medications within regulatory guidelines, company policies and procedures.

Supports the efficient workflow of the pharmacy and assists the pharmacy manager in identifying ways to optimize pharmacy financials, inventory management and enhance customer experience

Customer Experience

Job Responsibilities/Tasks
Engages customers and patients by greeting them and offering assistance with products and services. Resolves customer issues in a timely manner and answers questions to ensure a positive customer experience.
Models and shares customer service best practices with all team members to deliver a distinctive and delightful customer experience, including interpersonal habits (e.g., greeting, eye contact, courtesy, etc.) and Walgreens service traits (e.g., offering help proactively, identifying needs, servicing until satisfied, etc.).
Develops strong relationships with most valuable customers by anticipating customer needs and proactively offering services. Supports efforts on enhancing customer experience by increasing focus on healthcare services (e.g. patient consultation, medication management, drug therapy reviews, and perform retail, clinical, or wellness services such as immunizations, flu shots, and diabetes awareness) thereby promoting the shift of the pharmacy role from transactional to interpersonal.
Operations
Counsels patients and answers their questions regarding usage of medicine, side effects, interactions, contraindications, patient information privacy, generics, less expensive medicines, over-the-counter products, and refers to medical provider as needed to ensure medication is taken correctly, health needs addressed, and satisfaction with service.
Performs pharmacist tasks including compounding, drug therapy reviews, verification, and medication management. Reviews, interprets and accurately dispenses prescribed medications when necessitated by workload.
Ensures the pharmacy operates in accordance to regulations, company policies and standards. Assists pharmacy manager with establishing procedures that promotes the efficient workflow of the pharmacy including assigning roles, coordinating activities and soliciting employee suggestions. Responsible for the opening and closing of the pharmacy and shift change duties.
Ensures the use of all elements of the Good Faith Dispensing policy in conjunction with state and federal controlled substance laws when filling prescriptions. The Product Review/Retail Fill Process Pharmacist has the ultimate responsibility for ensuring that the elements of Good Faith are present.
Maintains current knowledge of information technology associated with pharmacy systems such as Intercom Plus, registers, automation, StoreNET to provide support to customers as well as pharmacy staff. Proposes and implements enhancements to pharmacy systems to further promote productivity.
Ensures the accurate processing of insurance claims to resolve customer issues and prevent payment rejections. Follows-up with insurance companies as well as medical providers and participates in 3rd party audit.
Follows-up with medical providers’ offices to clarify prescribed medications, dosages, refills, interactions and allergies to suggest alternative medications, and answer medical provider questions
Performs retail, clinical, and wellness services such as immunizations, flu shots, diabetes awareness and other preventive healthcare services.
Assists and supports the pharmacy manager in analyzing performance data including pharmacy financial, customer service, and implementation of procedures for pharmacy asset protection and inventory management. Reviews KPI’s with Pharmacy Manager, Store Manager, and Healthcare Supervisor.
Develops and maintains good relationships with local medical community including physicians, nurses, and other health care providers. Participates in community outreach activities to promote the pharmacy business and further enhance growth opportunities.
Partners with Central Pharmacy Operations for customer registration, 3rd party reviews, and assists with resolving customer issues to support the Well Experience locations. In virtual environments, conducts virtual product review by following specific company procedures and guidelines (e.g. using specific photographs taken by the technicians sent electronically during the F4 process and reduce transactional tasks).
People & Performance Management
Assists the Pharmacy Manager with staff hiring and training. Reinforces the direction of Pharmacy Manager in staff performance by coaching, and providing constructive feedback, monitoring customer service, and fostering employee development.
Promotes teamwork and motivates team members by establishing expectations, monitors and recognizes progress, and fosters a shared vision.
Training & Personal Development
Maintains current knowledge and skills related to pharmacy and healthcare by reading pharmacy related journals, company publications, and communications. Maintains awareness of developments in retail and management and pursues best practices that would enhance performance
Obtains necessary certifications, education credits and training such as People Plus Learning modules as required by the Company
Seeks professional development by monitoring one’s performance, solicits for constructive feedback, and leverages pharmacy manager and store manager as mentor and coach
Communications
Supports the Pharmacy Manager and Store Manager by communicating relevant corporate health and wellness services or strategy information to pharmacy staff.

External Basic Qualifications
Willingness to obtain BS in Pharmacy or Pharmacist Degree from an accredited educational institution prior to start date.
Willingness to obtain pharmacist licensure in the states within the district within 90 days of hire per district guidelines.
Experience performing prescription dispensing activities that demonstrate a strong working knowledge of applicable state and federal controlled substance laws.
Certified Immunizer or willing to become an immunizer within 90 days of hire.
An Equal Opportunity Employer, including disability/veterans.

Preferred Qualifications

The following information is applicable to Colorado only, in accordance with the Colorado Pay Equity Act. In Colorado, an employee in this position can expect a salary/hourly rate between $25.85 and $31.73 depending on experience, seniority, geographic locations, and other factors permitted by law. To review the available benefits, please click here: jobs.walgreens.com/benefits .Walgreens will provide applicants in other states with information related to the positions, to the extent required by state or local law, by calling 1-866-967-5492
Employment Type
Full-time
Job Function
Retail
Shift
Various
Campus Req?
No
Store
03204-PROVIDENCE RI
District
140-PROVIDENCE RI
Common Location
295 ACADEMY AVE,PROVIDENCE,RI,02908-4148-03204-S
Full District Office Address
1 POCASSET AVE,PROVIDENCE,RI,02909",https://www.linkedin.com/jobs/view/externalApply/2488288441?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D26336%26siteid%3D5014%26jobId%3D594157%26codes%3DLinkedIn&urlHash=ag8r&refId=b977696b-f354-4486-af64-bfff15175447&trackingId=5CywvIQvDYKDZIkstu1ejw%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern,Westerly Hospital,"Westerly, RI","Pharmacy Intern =============== Westerly, RI Mar 12, 2021 Share: Apply Now This job has no Apply URL. Job Description Overview To be part of our organization, every employee should understand and share in the YNHHS Vision, support our Mission, and live our Values. These values - integrity, patient-centered, respect, accountability, and compassion - must guide what we do, as individuals and professionals, every day. Under the direct supervision of a registered pharmacist, Clinical Pharmacist Supervisor, or the Director of Pharmacy, performs a wide variety of technical, clinical, and clerical duties for the hospital-wide unit-dose drug distribution system and intravenous admixture program. Responsible for maintaining confidential reports; entering and retrieving data utilizing the pharmacy information system; preparing intravenous medications including chemotherapeutic preparations, hyperalimentations, and antibiotics; refilling automated dispensing cabinets with unit dose medications; procuring and filling requests for pharmaceutical supplies; delivering medications and supplies to nursing units; and assisting pharmacists with clinical activities to foster professional development. EEO/AA/Disability/Veteran Responsibilities
Professional and Technical Competence
1.1 Communicates well with pharmacy staff on pharmacy issues, and responds appropriately to problem situations.
Maintains Appropriate Inventory Levels
2.1 Orders medications and other supplies from vendors as needed.
Controlled Substance Inventory and Record Keeping
3.1 Verifies daily controlled substance count in Pyxis during refill/restocking activities.
Supports Existing Hospital Information Systems
4.1 Enters and verifies patient charges and credits daily using hospital information system.
Proficiency in IV Compounding
5.1 Complies 100% of time with required clean room attire and cleaning procedures.
Maintains a professional working relationship with employees in other departments
6.1 Keeps staff members informed of patient/clinical issues.
Educational and Safety Compliance
7.1 Attends all required safety and educational programs.
Professional Development
8.1 Under the direct supervision of a pharmacist, participates in clinical activities, interprets original doctor's orders, and fills prescriptions for inpatients and outpatients utilizing the pharmacy information system. Qualifications EDUCATION High School Diploma required Must be actively enrolled in an accredited college of pharmacy EXPERIENCE Experience volunteering/working in a hospital pharmacy is a plus LICENSURE Eligible for technician license or limited pharmacist (intern) license Share: Apply Now This job has no Apply URL. Not ready to apply, but interested in working at Yale New Haven Health? Join our Talent Network",https://www.linkedin.com/jobs/view/externalApply/2461207721?url=https%3A%2F%2Fwww%2Eresume-library%2Ecom%2Ffeed%2Fclick%2F551%2F34671632%3Fdpj%3Dyes&urlHash=-WzV&refId=b977696b-f354-4486-af64-bfff15175447&trackingId=xbPRNS1xzLw6JYSS0qTaxw%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern,Yale New Haven Health,"Westerly, RI","To be part of our organization, every employee should understand and share in the YNHHS Vision, support our Mission, and live our Values. These values - integrity, patient-centered, respect, accountability, and compassion - must guide what we do, as individuals and professionals, every day.

Under the direct supervision of a registered pharmacist, Clinical Pharmacist Supervisor, or the Director of Pharmacy, performs a wide variety of technical, clinical, and clerical duties for the hospital-wide unit-dose drug distribution system and intravenous admixture program. Responsible for maintaining confidential reports; entering and retrieving data utilizing the pharmacy information system; preparing intravenous medications including chemotherapeutic preparations, hyperalimentations, and antibiotics; refilling automated dispensing cabinets with unit dose medications; procuring and filling requests for pharmaceutical supplies; delivering medications and supplies to nursing units; and assisting pharmacists with clinical activities to foster professional development.

EEO/AA/Disability/Veteran
1. Professional and Technical Competence
1.1 Communicates well with pharmacy staff on pharmacy issues, and responds appropriately to problem situations.
2. Maintains Appropriate Inventory Levels
2.1 Orders medications and other supplies from vendors as needed.
3. Controlled Substance Inventory and Record Keeping
3.1 Verifies daily controlled substance count in Pyxis during refill/restocking activities.
4. Supports Existing Hospital Information Systems
4.1 Enters and verifies patient charges and credits daily using hospital information system.
5. Proficiency in IV Compounding
5.1 Complies 100% of time with required clean room attire and cleaning procedures.
6. Maintains a professional working relationship with employees in other departments
6.1 Keeps staff members informed of patient/clinical issues.
7. Educational and Safety Compliance
7.1 Attends all required safety and educational programs.
8. Professional Development
8.1 Under the direct supervision of a pharmacist, participates in clinical activities, interprets original doctor's orders, and fills prescriptions for inpatients and outpatients utilizing the pharmacy information system.

EDUCATION

High School Diploma required Must be actively enrolled in an accredited college of pharmacy

Experience

Experience volunteering/working in a hospital pharmacy is a plus

LICENSURE

Eligible for technician license or limited pharmacist (intern) license

<
1. Professional and Technical Competence
1.1 Communicates well with pharmacy staff on pharmacy issues, and responds appropriately to problem situations.
2. Maintains Appropriate Inventory Levels
2.1 Orders medications and other supplies from vendors as needed.
3. Controlled Substance Inventory and Record Keeping
3.1 Verifies daily controlled substance count in Pyxis during refill/restocking activities.
4. Supports Existing Hospital Information Systems
4.1 Enters and verifies patient charges and credits daily using hospital information system.
5. Proficiency in IV Compounding
5.1 Complies 100% of time with required clean room attire and cleaning procedures.
6. Maintains a professional working relationship with employees in other departments
6.1 Keeps staff members informed of patient/clinical issues.
7. Educational and Safety Compliance
7.1 Attends all required safety and educational programs.
8. Professional Development
8.1 Under the direct supervision of a pharmacist, participates in clinical activities, interprets original doctor's orders, and fills prescriptions for inpatients and outpatients utilizing the pharmacy information system.",https://www.linkedin.com/jobs/view/externalApply/2459848807?url=https%3A%2F%2Fexternal-ynhhs%2Eicims%2Ecom%2Fjobs%2F38040%2Fpharmacy-intern%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=FiK1&refId=b977696b-f354-4486-af64-bfff15175447&trackingId=sLNHZCZW8MmLDb0H5v%2B8zQ%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern (Per Diem),Beth Israel Deaconess Medical Center,"Needham, MA","Department Description: Beth Israel Deaconess Hospital-Needham (BID Needham) is a licensed 58–bed acute care hospital offering the same care as our direct affiliate Beth Israel Deaconess Medical Center (BIDMC) in your community.
This close affiliation with BIDMC, since 2000, has facilitated the clinical integration of staff and resources in emergency medicine, hospital medicine (hospitalists), cardiology, radiology, orthopaedics, general surgery, pathology and oncology. Physicians in Needham maintain very close relationships with the staff at BIDMC; so in cases where patients need to be transferred from Needham to Boston for more advanced care, there are systems in place to make that transition happen quickly.

Job Location: Needham, MA

Req ID: 38336BR

Job Summary: Supports the mission of the department by ensuring that the right patients receive the right medication in a safe and timely manner under the direct supervision of an inpatient pharmacist. Develops a full understanding of the drug distribution system and demonstrates competency in carrying out all duties associated with delivering medications to the patient care units.

Essential Responsibilities:

Delivers medication to the patient care units in accordance with departmental policies and procedures, and MA Board of pharmacy regulation
Accurately fills medications from the list provided by the automated dispensing machine.
Delivers medications to the automated dispensing machines on the patient care units in an accurate and timely manner, including checking for errors such as expiration dates and wrong strengths.
In conjunction with other pharmacy colleagues ensures that all drug distribution functions are completed in a safe and timely manner. Informs pharmacist and/or Director of Pharmacy of any workflow issues.
Repackages and compounds medications, as needed, in accordance with departmental procedures.

Required Qualifications:

High School diploma or GED required .
License required: Pharmacy Student Intern
0-1 years related work experience required.
Must be a Doctor of Pharmacy student enrolled in an accredited college or university, OR a graduate of a non-approved school of pharmacy who meets the Massachusetts Board of Pharmacy requirements for registration.
Experience with computer systems required, including web based applications and some Microsoft Office applications which may include Outlook, Word, Excel, PowerPoint or Access.
Preferred Qualifications:
Previous experience in a hospital pharmacy practice setting preferred.
Competencies:
Written Communications: Ability to communicate clearly and effectively in written English with internal and external customers.
Oral Communications: Ability to comprehend and converse in English to communicate effectively with medical center staff, patients, families and external customers.
Knowledge: Ability to demonstrate full working knowledge of standard concepts, practices, procedures and policies with the ability to use them in varied situations.
Team Work: Ability to interact respectfully with other employees, professional staff and/or external contacts to offer ideas, identify issues, obtain information or deliver services.
Customer Service: Ability to provide a high level of customer service to patients, visitors, staff and external customers in a professional, service-oriented, respectful manner using skills in active listening and problem solving. Ability to remain calm in stressful situations.
Age based Competencies:
Employees in this job must be competent to provide patient care to the following age groups: Neonatal:Birth to 6 months, Youth: 6 months to 16 years, Young adult: 16-30 years, Middle Age: 30 - 60 years, Elderly: 60 -.

Physical Nature of the Job:
Light work: Exerting up to 20 pounds of force frequently to move objects. Some elements of the job are sedentary, but the employee will be required to stand for periods of time or move through out the hospital campus",https://www.linkedin.com/jobs/view/externalApply/2461151304?url=https%3A%2F%2Fjobs%2Ebidmc%2Eorg%2Fjob%2Fneedham%2Fpharmacy-intern-per-diem%2F169%2F5363865936&urlHash=3Z80&refId=b977696b-f354-4486-af64-bfff15175447&trackingId=n9Ibh9F4q1pbYunZ6M2qWQ%3D%3D&trk=public_jobs_apply-link-offsite
Clinical Pharmacy Program Intern,Giant,"Washington, DC","Job Description

Clinical Pharmacy Program Intern

Key Responsibilities
Impose a new POV on Social network elevations with improved messaging working with our marketing to continue to elevate our pharmacy brand with our customers and communities
Develop and roll out a one stop tracking mechanism for all metrics
Clinical webinar and webisode development in conjunction with our clinical team
work and expand current work on a CPA (Collaborative Practice Agreement) withproviders office to send patients to pharmacies and work with tandem with physicians.
Redefine customer service plan providing best in class in service plan and roll out and implement with RPMs and stores.
Provide insight to new virtual platforms with environmental changes due to COVID and racial Injustices as it impacts our pharmacy teams

Key Skills
Strong analytical mindset and ability
Expert project management skills
Excellent communication skills

Essential Skills

The Giant Food intern program is intended to create a beneficial relationship and growth opportunity for Giant and the collegiate students in our local communities we serve.

As a Giant Food Intern, You Will
Gain real business and professional experience in corporate environment
Deliver work presentation to the Giant Food Operating Committee
Develop leadership and professional skills via Learning & Development offerings
Participate in community and/or company sponsored events
Attend team building, networking events and sporting events and other extracurricular opportunities
Get paired with mentor to help guide professional journey
Receive college credit through their institution
Work full-time, M-F, 8-5 from June 7th to August 13th
Get paid $20/hr with a weekly paycheck!

Job Status: Full-Time (40 Hours)
FLSA: Non-Exempt
Posting Title: Clinical Pharmacy Program Intern
Department Name: PHARMACY OPS
Job Category: Merchandising",https://www.linkedin.com/jobs/view/externalApply/2485718072?url=https%3A%2F%2Fjobs%2Ewashingtonpost%2Ecom%2Fjob%2F42078212%2Fclinical-pharmacy-program-intern%2F&urlHash=tX5H&refId=b977696b-f354-4486-af64-bfff15175447&trackingId=txfCmsn0njCa6TCiFrOfJA%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern,UCSF Benioff Children's Hospital Oakland,"Oakland, CA","Job Summary: Since all Pharmacy Interns are Pharmacy Students, they are employed and trained according to their year in pharmacy school, i.e. 1st, 2nd, 3rd, 4th year, to allow these students gain their necessary internship hours.## Position Requirements: Minimum Education:#Must be currently enrolled in an accredited School of Pharmacy or have completed a School of Pharmacy and is seeking required internship hours. Minimum Experience:#Prefer candidates with a hospital-setting experience. License Required:#California Pharmacy Intern license# Knowledge, Skills, and Abilities:#The pharmacist intern should have a basic knowledge of medications including indications for use, medications properties and interactions.# The pharmacist intern position requires good communication skills, being pleasant with others on the job and displaying a good-natured, cooperative attitude Technical Knowledge:#Computer Skills.# Prefer Intern experienced in compounding sterile and non sterile products Physical Requirements: Sit: Up to 8 hours/day Stand/Walk: Up to 6 hours Bend/Stoop: Up to 6 hours Reach: Up to 6 hours Rep Use of UE/Grasp: Up to 8 hrs Lift/Push/Pull: 25 lbs, over 25# with assistance or equipment This job requires the ability to hear alarms clients and/or instruction. The ability to see accurately from 20 inches to 20-ft. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential function of this position.

Job Summary

Since all Pharmacy Interns are Pharmacy Students, they are employed and trained according to their year in pharmacy school, i.e. 1st, 2nd, 3rd, 4th year, to allow these students gain their necessary internship hours.

Position Requirements

Minimum Education: Must be currently enrolled in an accredited School of Pharmacy or have completed a School of Pharmacy and is seeking required internship hours.
Minimum Experience: Prefer candidates with a hospital-setting experience.
License Required: California Pharmacy Intern license
Knowledge, Skills, and Abilities: The pharmacist intern should have a basic knowledge of medications including indications for use, medications properties and interactions. The pharmacist intern position requires good communication skills, being pleasant with others on the job and displaying a good-natured, cooperative attitude
Technical Knowledge: Computer Skills. Prefer Intern experienced in compounding sterile and non sterile products

Physical Requirements

Sit: Up to 8 hours/day
Stand/Walk: Up to 6 hours
Bend/Stoop: Up to 6 hours
Reach: Up to 6 hours
Rep Use of UE/Grasp: Up to 8 hrs
Lift/Push/Pull: 25 lbs, over 25# with assistance or equipment
This job requires the ability to hear alarms clients and/or instruction. The ability to see accurately from 20 inches to 20-ft. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential function of this position.",https://www.linkedin.com/jobs/view/externalApply/2485030995?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2F36fc07bb280242faa5544030cc7753d8&urlHash=ypOR&refId=b977696b-f354-4486-af64-bfff15175447&trackingId=UsPVUPUyWf8r2nx0ON4OGw%3D%3D&trk=public_jobs_apply-link-offsite
Pharmacy Intern Immunizer,Wegmans Food Markets,"Northborough, MA","As a Professional Pharmacy intern, you will be scheduled to work on an as needed, temporary basis to support delivering vaccines and related activities, earning valuable training and knowledge needed to be a successful licensed Pharmacist. Under the guidance of a mentor, you will bring your coursework to life, gain a comprehensive knowledge of the retail pharmacy industry and be an active contributor in the department and learn to provide exceptional care to customers while effectively managing Pharmacy operations.

What will I do?
Deliver immunizations with high standards and incredible customer service
Work with your mentor, members of management, other pharmacists and technicians and team members in the department to learn to better serve customer needs
Answer questions, provide counseling on prescriptions, and relay any pertinent information to customers
Comply with all federal, state, and HIPAA regulations; ensure company guidelines, standards, policies, and procedures are followed

Required Experience, Education, Skills
Pharmacist Intern Permit
Certified Immunizer
In progress towards earning Pharmacy degree in an accredited School of Pharmacy

Preferred Education
Doctor of Pharmacy (PharmD)",https://www.linkedin.com/jobs/view/externalApply/2448466476?url=https%3A%2F%2Fjobs%2Ewegmans%2Ecom%2Fjob%2Fnorthborough%2Fpharmacy-intern-immunizer%2F1839%2F5956684112&urlHash=nkPe&refId=b977696b-f354-4486-af64-bfff15175447&trackingId=znz9OjzwJswnrWmpgEZLZQ%3D%3D&trk=public_jobs_apply-link-offsite
