title,company,location,requirements,link
Software Development Intern,PTC,"Boston, MA","Job Description

Software Development Intern- R&D
Boston, MA

The Product organization is at the forefront of innovation in AR, CAD, Industrial IoT, ALM, PLM, Retail, and SLM. We are working hard to deliver the most innovative products in a global industrial landscape that is changing fast. With some of the most innovative thinkers in technology platforms and solutions, our domain expertise gives PTC its competitive edge.

Your Impact
We are seeking a curious, collaborative and motivated intern who will work with a team of software engineers to develop and support connected applications built on Thingworx platform and Thingworx integration with Azure.

Your Team
The intern will review ideas, design and code with their mentor and the other team members. They will get exposure to the best-in-class processes and tools such as git, Jira, Bitbucket, Agile Scrum and continuous integration/continuous deployment.

Your Day-to-Day
Acquire knowledge necessary to perform job assignments (technology, product and process)
Write well documented & high performing code including source code documentation that meets organizational standards
Create and run unit tests. Deliver automated tests to QA for inclusion in a regression test bed when appropriate.
Work with publications team to help document features

Basic Qualifications
Must be enrolled in some type of degree program in one of the following or related fields: Computer Science and Engineering
Problem-solving skills
Java programming/Object Oriented Design

PTC Company Description

About PTC (NASDAQ: PTC) PTC unleashes industrial innovation with award-winning, market-proven solutions that enable companies to differentiate their products and services, improve operational excellence, and increase workforce productivity. With PTC, and its partner ecosystem, manufacturers can capitalize on the promise of today’s new technology to drive digital transformation.
Region
The Americas
Subregion
North America
PTC Org
R&D - Research and Development
Job Type
Academic Coop / Intern",https://www.linkedin.com/jobs/view/externalApply/2465469841?url=https%3A%2F%2Fcareers%2Eptc%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D2%26siteid%3D5213%26jobId%3D3114068&urlHash=zAJg&refId=7ccb291c-05c2-4336-8daa-772e9bfc9588&trackingId=sOSJlc0Z%2FAdn7ioORRk34Q%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern,Sony Electronics,"San Diego, CA","Sony Electronics, Inc. look for the risk-takers, the collaborators, the inspired and the inspirational. We want the people who are brave enough to work at the cutting edge and create solutions that will enrich and improve the lives of people across the globe. So, if you want to make the world say wow, let's talk.

We are looking for an aspiring developer with a background in developing web or android applications and server APIs.

The ideal candidate enjoys development as their side hobby, exploring new web frameworks and languages, and is fastidious about their code. Using and/or contributing to open-source projects is big plus as well as experience with unit testing code, continuous integration and test-driven development.

This position is based at Sony Electronics U.S. Headquarters, located in San Diego, CA.

Job Requirements
Experience building web services and applications with one or more of:
NodeJS, MySQL, PHP, Java, Angular, Backbone, Underscore
Familiarity with linux and scripting languages
Experience with client-server architecture and web services
AWS, Docker, and CI/CD experience preferred
Strong interest in pursuing a design and development career path
Sony Electronics is an Equal Opportunity Employer that values employees with a broad cross-cultural perspective. We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond. All applicants will receive fair and impartial treatment without regard to race, color, religion, sex, national origin, ancestry, citizenship status, age, legally protected physical or mental disability, protected veteran status, status in the U.S. uniformed services, sexual orientation, gender identity or expression, marital status, genetic information or on any other basis which is protected under applicable federal, state or local law.

Disability Accommodation for Applicants to Sony Electronics, Inc.

Sony Electronics, Inc. provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job application procedures. For reasonable accommodation requests, please contact us by email at talenthelp@am.sony.com , or you can mail your resume to: Sony Electronics, Human Resources Department, 16535 Via Esprillo, San Diego CA 92127. Please indicate the position you are applying for.

EEO is the Law

EEO is the Law Supplement

Right to Work (English/Spanish)

E-Verify Participation (English/Spanish)",https://www.linkedin.com/jobs/view/externalApply/2441646584?url=https%3A%2F%2Fsonyglobal%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSonyGlobalCareers%2Fjob%2FSan-Diego%2FSoftware-Engineering-Intern_JR-105058%3Fsource%3DLinkedin&urlHash=vjih&refId=7ccb291c-05c2-4336-8daa-772e9bfc9588&trackingId=zKqP53kFh3EgprIgNyMotA%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineer Intern,Markforged,"Watertown, MA","Our software technologies and tools empower our customers to configure print-ready parts, visualize part geometry in 3D, and push to IoT-connected printers for printing. As part of the Software Engineering team, you would be helping to lead the scaling and growth of our 3D printing platform involving end-customer applications and IoT services.

As a Software Engineering Intern, you will design, develop, test and enhance Markforged's 3D printing software application features and its associated cloud services. You will learn and gain hands-on experience with web, cloud and IoT technologies & toolsets.

What have past Software Engineering Interns worked on?
Eiger feature that automatically packs a print bed given a set of parts
Printer feature that uses laser to intelligently recover from a power outage mid-print
Prototype for a high-bandwidth IoT data pipeline using an AWS stack
Construct models and use machine learning algorithms for improving print time estimates
Build internal automation tools for developer and deployment convenience

What will you own?

Work alongside full-time engineers on mission-critical projects that drive the product and the company forward.
Ship code live to production on your very first day.
Actively participate in team-wide code reviews and design discussions.
Work across our entire software stack, from our web app for collaborative part design and interacting with the printers, to our browser-based slicer, to our embedded software running on the printers.
Design, develop and produce quality software features for Markforged's 3D Printing Software application-suite and support tools.
Follow Markforged's agile development methodology to execute projects successfully on-time.


Important Note:
Although we list out what we generally look for, we are very likely missing other attributes and skills that you have that could make you a great fit, but are not currently listed. Research has shown this especially applies to women and other marginalized groups, who tend to apply if they check 100% of every box, versus men who apply if they hit roughly 60%. The point we're getting at, it doesn't hurt to take a chance and apply!

What you have:

Possess extraordinary software engineering talent.
Eager to continuously learn and improve.
Thrive in a dynamic environment.
Passionate about 3D printing.
Ability to work effectively in teams with technical and non-technical members.
Pursuing a degree in Computer Science, Software Engineering, or a related field at an accredited educational institution.


Our software technologies and tools empower our customers to configure print-ready parts, visualize part geometry in 3D, and push to IoT-connected printers for printing. As part of the Software Engineering team, you will be helping to lead the scaling and growth of our 3D printing platform involving end-customer applications and IoT services. We move at a breakneck pace but refuse to compromise on quality. We believe in ""doing it right the first time"" and investing in code quality, testing, tooling and infrastructure. Your ideas will directly influence the company's future. You will do interdisciplinary work on physical systems and learn from best-of-the-best engineers across Materials Science, Mech-E, EE, and Software.

Why Markforged?

Help us reinvent manufacturing.

We are reinventing manufacturing so that engineers can build anything they imagine.

We are one team that wins together!

You will be engaging every day with passionate and dedicated individuals in a collaborative environment working towards making best-in-class products.

Perks & Benefits

We offer a competitive compensation package and a full suite of benefits, including medical insurance, dental insurance, vision insurance, 401(k), parental leave, commuter benefits, open PTO policy, and more. Our work environment includes casual dress, a fully stocked kitchen, bike storage, free parking, weekly catered lunches, and fitness perks. You will have unlimited access to our 3D printers for professional and personal parts!

Markforged values the differences among our employees and provides equal employment opportunities to all employees and applicants for employment. These differences include but are not limited to race, color, ancestry, national origin, gender, sexual orientation, marital status, religion, age, disability, gender identity, results of genetic testing, or service in the military. This goal emphasizes the development of inclusive work environments that capitalize on each employee's skills, experience, and unique perspectives as we strive to achieve an unparalleled standard of excellence.

To all recruitment agencies: Markforged does not accept agency resumes. Please do not forward resumes to our jobs alias or Markforged employees. Markforged is not responsible for any fees related to unsolicited resumes.",https://www.linkedin.com/jobs/view/externalApply/2486995468?url=https%3A%2F%2Fgrnh%2Ese%2F5bf5455b4us&urlHash=mNLE&refId=7ccb291c-05c2-4336-8daa-772e9bfc9588&trackingId=l0HbsFMnRNBvPFV%2FDbqoDQ%3D%3D&trk=public_jobs_apply-link-offsite
Summer 2021 Internship: Software Engineer,Walmart,"Bentonville, AR","Day To Day Responsibilities

Position Summary... What you'll do...

Managing small to large-sized complex projects
Modeling compliance with company policies and procedures and supporting company mission, values, and standards of ethics and integrity
Participating in the discovery phase of projects to come up with high level design
Supporting the implementation of business solutions
Troubleshooting business and production issues

Minimum Qualifications...

Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.

Preferred Qualifications...

Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.
Primary Location...805 SE MOBERLY LN, BENTONVILLE, AR 72712, United States of America",https://www.linkedin.com/jobs/view/externalApply/2473683734?url=https%3A%2F%2Fclick%2Eappcast%2Eio%2Ftrack%2F6g8ypu0-org%3Fcs%3D4c%26jg%3D1yfx%26bid%3DlUf2CslKyPxm6i440ZgUYA%3D%3D&urlHash=PQ89&refId=7ccb291c-05c2-4336-8daa-772e9bfc9588&trackingId=fZ0Vp9sOf44L7B6qW5%2Ftcg%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Internship,Brooks Automation,"Chelmsford, MA","Description

Reporting to the Robot Software Engineering manager, the intern will be given one of the independent work projects to complete with guidance from their manager. As part of this, they will work with the software development and quality assurance team members to learn how to use and troubleshoot Brooks robots.

Brooks Automation offers the industry’s most advanced and reliable robots for operation in vacuum and isolation environments. Setting the industry standard for vacuum robot automation, Brooks’ MagnaTran family of robots deliver unparalleled cleanliness, repeatability and throughput. These state-of-the-art vacuum robots, designed specifically for tool automation in semiconductor wafer processing and other complex manufacturing environments, enable OEMs to build proven reliability and performance into their automation platforms.

Type Of Degree (In Progress)/Skills/Unique Capabilities
Bachelors in Computer Science, Computer Engineering, Electrical Engineering, Robotics, or related area
Masters in Computer Science, Computer Engineering, Electrical Engineering, Robotics, or related area
Software development with Python or Javascript as described in the project descriptions above. Familiarity with source control tools, such as Git or similar, is a plus. Familiarity with Azure DevOps or other bug-tracking / work-flow system is a plus.
EOE M/F/Disabled/VET",https://www.linkedin.com/jobs/view/externalApply/2486491683?url=https%3A%2F%2Fcareers%2Ebrooks%2Ecom%2Fjob-detail%2Fsoftware-engineering-internship-r3983%3Futm_campaign%3DLinkedIn&urlHash=t6Ry&refId=7ccb291c-05c2-4336-8daa-772e9bfc9588&trackingId=xxTjMzPIRgdevA2TEtVVtg%3D%3D&trk=public_jobs_apply-link-offsite
Software Developer Summer College Intern,State of Massachusetts,"Chelsea, MA","A&F IT is a unit under the Executive Office for Administration & Finance (A&F) that is overseen by the A&F IT Chief Information Officer (A&F CIO). A&F IT is comprised of 189 employees working on IT systems and applications for 15 various A&F agencies.
One of the key agencies within A&F is the Department of Revenue (DOR). DOR manages Commonwealth taxes and child support, and their mission is to gain full compliance with the tax, child support and municipal finance laws of the Commonwealth.
A&F IT is looking to hire a highly motivated college intern to join its Business Applications Bureau as a software developer for work on its tax processing system, GeniSys. This intern will work during the summer months, from May through August.

Responsibilities

The software developer will work on the GeniSys development team alongside other developers and QA analysts. The intern will report to one of the development leads on the project to help implement innovative and high-quality solutions within the tax platform.

The Intern Will
Assist with the development of high-quality software in VB.Net to help met the project's needs
Assist to develop and analyze database queries in SQL server
Analyze code and dependencies in a configuration-based environment
Meet with business stakeholders to understand and document requirements
Provide testing on application solutions developed
Provide documentation for solutions developed
Job Skills & Qualifications
Working on a Bachelor's Degree in Computers, or related field
Knowledge of VB.Net and SQL Server
Highly energetic, enthusiastic and confident self-starter
Detail oriented and capable of independently tracking and following up on commitment
Excellent verbal, analytical and written communications skills
Ability to take responsibility and function under general supervision
Comfortable working with Microsoft Office Suite (Excel, Word, PowerPoint, Visio)
Knowledge and use of video conferencing software (such as MS Teams, Zoom, WebEx)
A candidate recommended for a position with the Department of Revenue will be subject to a background check that includes checks for: state and federal tax compliance; child support compliance; education verification; Massachusetts CORI checks; criminal background checks in state(s) of current and previous residence/employment; validation of eligibility to work in the United States; and national fingerprint-based criminal background checks.
First consideration will be given to those applicants that apply within the first 14 days.

Please See Preferred Qualifications.

An Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.",https://www.linkedin.com/jobs/view/externalApply/2488047698?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2F740b04391651c07fcfdab8770bd40d39&urlHash=tGvS&refId=7ccb291c-05c2-4336-8daa-772e9bfc9588&trackingId=dpa3j7NGt1fnJsFQGHpAFQ%3D%3D&trk=public_jobs_apply-link-offsite
2021 Summer Intern - Software Developer,Adobe,"New York, NY","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Job Description

Plans, designs, develops, and tests software systems or applications for software enhancements and new products used in local, networked, cloud-based or Internet-related computer programs. Develops software and tools in support of design, infrastructure and technology platforms. Using current programming language and technologies, develops code, completes programming, and performs testing and debugging of code.

Skills & Responsibilities
Responsible for the design, development, testing, troubleshooting, measurement, optimization, and improvement of software, new products, and code libraries across platforms.
Contributes to domain expertise which leads to product enhancements & industry breakthroughs.
Partners with cross functional experts (Product Management, Design, etc.) to determine customer focused solutions
Leverages best practices, articulates ideas, & markets them across team and organization. -Promotes a culture of continuous learning.
Is comfortable with taking reasonable amounts of risk
Leads application/framework/service design efforts, optimizing for quality, testability, and scale.
Uses appropriate & relevant programming languages and technologies, writes code, tests & deploys to meet business requirements.
Interacts with customers to define requirements and identify necessary modifications.
Communicates clearly with the team and management to define & achieve goals.",https://www.linkedin.com/jobs/view/externalApply/2427881143?url=https%3A%2F%2Fadobe%2Ewd5%2Emyworkdayjobs%2Ecom%2Fexternal_university%2Fjob%2FAustin%2FSoftware-Developer_R100748%2Fapply%3Fsource%3DLinkedIn&urlHash=u0Yg&refId=7ccb291c-05c2-4336-8daa-772e9bfc9588&trackingId=7NGyLmc%2B2jf%2FPpyF5rHrsw%3D%3D&trk=public_jobs_apply-link-offsite
Software Development Engineer Intern - Amazon Robotics - Summer 2021,Amazon,"Westborough, MA","Description

Are you inspired by invention? Is problem solving through teamwork in your DNA? Do you like the idea of seeing how your work impacts the bigger picture? Answer yes to any of these and you’ll fit right in here at Amazon Robotics. We are a smart team of doers that work passionately to apply cutting edge advances in robotics and software to solve real-world challenges that will transform our customers’ experiences in ways we can’t even imagine yet. We invent new improvements every day. We are Amazon Robotics and we will give you the tools and support you need to invent with us in ways that are rewarding, fulfilling and fun.

Amazon Robotics is seeking talented and motivated Software Engineers interns to design, develop and test software that controls and optimizes mobile-robotic fulfillment systems used by Amazon.com operations. Amazon Robotics software facilitates user workflows, robotic control and machine to user interfaces, advanced algorithms and mobile technology. Our Software Engineers experiment with disruptive technologies and integrate them within our current software solutions using agile methodologies in a collaborative team environment. Each Software Engineer Intern will have an assigned technical mentor to help with onboarding, as well as 1-1 guidance from their manager, and will work closely with other engineers.

Amazon Robotics SDE opportunities will be based in the Greater Boston Area, in our two state-of-the-art facilities in Westborough and North Reading, MA. Both campuses provide a unique opportunity for interns to have direct access to robotics testing labs and manufacturing facilities.

As a Software Engineer Intern, You Will
Identify and develop software solutions to current business problems
Work with your manager and team to create milestones and deliverables
Participate in daily scrums and reviews with development teams
Develop design documentation and lead reviews with other engineers
Write code and unit tests and integrate code with other software and hardware components
Prototype and test concepts or features, both through simulation tools and emulators and with live robotic equipment
Work directly with customers to test software prototypes and incorporate feedback
Utilize Amazon Robotics and Amazon engineering tools, processes and technologies

Basic Qualifications
Completion of at least junior year of degree program is required
Working towards B.S. degree or higher in Computer Science, Engineering, applied math or other algorithmic-centric discipline
Experience in one of the following languages: Java, Python, C++, or C
Preferred Qualifications
Experience with creative problem solving and articulating technical challenges and solutions
Exposure to any of the following concepts: AWS and other Web Technologies, schedulers, workflows, state machines, multi-threading, and networking protocols
Interest in Robotics including coursework or clubs
Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.


Company - Amazon.com Services LLC
Job ID: A1266918",https://www.linkedin.com/jobs/view/externalApply/2454047871?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1266918%2Fsoftware-development-engineer-intern-amazon-robotics-summer-2021%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=Kvp7&refId=7ccb291c-05c2-4336-8daa-772e9bfc9588&trackingId=Fyz%2BbdymbfFNPxDaC82y5Q%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineer Intern (Core Engineering) - Summer 2021,Snowflake,"San Mateo, CA","There is only one Data Cloud. Snowflake’s founders started from scratch and designed a data platform built for the cloud that is effective, affordable, and accessible to all data users. But it didn’t stop there. They engineered Snowflake to power the Data Cloud, where thousands of organizations unlock the value of their data with near-unlimited scale, concurrency, and performance. This is our vision: a world with endless insights to tackle the challenges and opportunities of today and reveal the possibilities of tomorrow.

We’re looking for dedicated students who share our passion for ground-breaking technology and want to create a lasting future for you and Snowflake.

What We Offer
Paid, full-time internships in the heart of the software industry
Post-internship career opportunities (full-time and/or additional internships)
Exposure to a fast-paced, fun and inclusive culture
A chance to work with world-class experts on challenging projects
Opportunity to provide meaningful contributions to a real system used by customers
High level of access to supervisors (manager and mentor), detailed direction without micromanagement, feedback throughout your internship, and a final evaluation
Stuff that matters: treated as a member of the Snowflake team, included in company meetings/activities, flexible hours, casual dress code, catered lunches, access to gaming consoles, recreational games, happy hours, company outings, swag, and much more


What We Expect
Desired class level: 3rd/4th year Undergraduates, Masters, or PhD
Must be actively enrolled in an accredited college/university program during the time of the internship
Desired majors: Computer Science, Computer Engineering, Electrical Engineering, Physics, Math, or related field
Required coursework: algorithms, data structures, and operating systems
Recommended coursework: compilers, database systems, distributed systems, and machine learning
Bonus experience: Research or publications in databases or distributed systems, and contributions to open source.
When: Summer (May - August or June - September)
Duration: 12-16 weeks recommended
Excellent programming skills in C++ or Java
Knowledge of data structures and algorithms
Strong problem solving and ability to learn quickly in a dynamic environment
Experience with working as a part of a team
Dedication and passion for technology


What You Will Learn / Gain
How to build enterprise grade, reliable, and trustworthy software/services
Exposure to SQL and/or other database technologies (e.g., Spark, Hadoop)
Understanding of database internals, large-scale data processing, transaction processing, distributed systems, and data warehouse design
Implementation, testing of features in query compilation, compiler design, query execution
Experience working with cloud infrastructure, AWS, Azure, and/or Google Cloud in particular
Learning about cutting edge database technology and research


Possible Teams / Work Focus Areas
Data Infrastructure, Data Platform, Database Query Engine, Database Security, Data Governance, Data Services, FoundationDB, Manageability, Metadata, Multi-cloud, On-Line Transaction Processing (OLTP), and Service Runtime
High performance large-scale data processing
Large-scale distributed systems
Query compilation and optimization
Software-as-a-Service platform
Software frameworks for stability and performance testing


Snowflake is growing fast, and we’re scaling our team to help enable and accelerate our growth. We are looking for people who share our values, challenge ordinary thinking, and push the pace of innovation while building a future for themselves and Snowflake.

How do you want to make your impact?",https://www.linkedin.com/jobs/view/externalApply/2355676859?url=https%3A%2F%2Fcareers%2Esnowflake%2Ecom%2Fus%2Fen%2Fjob%2FSNCOUS4867930002EXTERNALENUS%2FSoftware-Engineer-Intern-Core-Engineering-Summer-2021%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26gh_src%3Ded5543a62&urlHash=VM4o&refId=7ccb291c-05c2-4336-8daa-772e9bfc9588&trackingId=YGFuphyXzmSqEpZpqOu8Cw%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Internship,Imangi Studios,"Raleigh, NC","Position: Software Engineering Intern

Department: Engineering

Summary: Imangi Studios is seeking an eager Software Engineering Intern to join our team and contribute to industry-leading mobile games!

As a Software Engineering Intern, you will work with our talented team of game developers on unit testing, optimization, and bug fixes.

Given the ongoing pandemic, this is a remote opportunity enabled by remote-support software systems for meetings and team communication.

Responsibilities
Work on gameplay features in an established framework.
Implement and maintain tools.
Provide time estimates to leaders and management.

Qualifications
Currently working toward a bachelor’s degree in computer science at a university in the greater Raleigh-Durham, North Carolina area.
Knowledge of one of the following programming languages: C#, C, C++, or Java
Experience with the Unity 3D engine
Knowledge of vector math
Skills to recognize, then adhere to the existing coding style and practices
Strong problem-solving skills
Ability to work in a collaborative environment with ALL departments (engineers, artists, etc.)
Strong interest in making mobile-specific games

Preferred Additional Experience
Knowledge of source control (Perforce, Git, etc.)
Android and iOS development experience
Web services
Unreal Engine 4 experience
Python
Knowledge of 2 or more programming languages: C#, C, C++, or Java",https://www.linkedin.com/jobs/view/externalApply/2487371740?url=https%3A%2F%2Fht-jobs%2Enet%2Fb9uwdxr%3Fs%3Dlif&urlHash=dIX-&refId=7ccb291c-05c2-4336-8daa-772e9bfc9588&trackingId=%2FN2sV5Isjmbi%2BoeQ5yBxCA%3D%3D&trk=public_jobs_apply-link-offsite
