title,company,location,requirements,link
"Intern, Accounting","Collegium Pharmaceutical, Inc.","Stoughton, MA","Looking to expand your knowledge beyond the classroom? Collegium's C2C Summer Session enables and equips students to gain industry knowledge and hands on experience outside of the classroom through mentorship from our passionate and experienced Collegium team! Collegium is committed to being the leader in responsible pain management. Come join the camaraderie of Collegium Pharmaceutical!

The Accounting Intern will assist the Finance Team with key activities and processes as well as support various ad-hoc requests.

Provide support to the Finance Department through a variety of activities, including

Assisting with quarter and month end close
Assisting in compiling data for system audits and various data integrity initiatives
Test transactions to ensure appropriate accounting and compliance
Document transaction details to ensure appropriate accounting
Current college student who has completed at least two years of an Accounting or Finance related program
Minimum 3.2 GPA
Strong written and verbal communication skills
Ability to work independently as well as part of a team
Experience in Microsoft Office Suite of software (Excel, Word, PowerPoint, etc.)",https://www.linkedin.com/jobs/view/externalApply/2465117593?url=https%3A%2F%2Fcareers-collegiumpharma%2Eicims%2Ecom%2Fjobs%2F1434%2Fintern%252c-accounting%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=YvpI&refId=4877536b-f860-4678-abfb-0fe362b8e71b&trackingId=%2FechpWy89O0AGrqs%2ByCTTg%3D%3D&trk=public_jobs_apply-link-offsite
Accounting Intern (Summer 2021) - Remote,Precisely | Trust in Data,"Burlington, MA","This internship is remote based and applicants can be based within Eastern time zone.

Precisely is a global leader in data integrity, providing accuracy and consistency in data for 12,000 customers in more than 100 countries, including 90 percent of the Fortune 100. Precisely’s data integration, data quality, location intelligence, and data enrichment products power better business decisions to create better outcomes. We are looking for talented individuals with the experience and motivation to join our innovative team.

Precisely is seeking an Accounting Intern who will join the Finance and Accounting team remotely and will be an individual contributor role focusing on global accounting close, audit and various other accounting initiatives.

The Opportunity Includes
A dynamic 10-week paid internship program
Apply college learning and implement innovative solutions to real-world challenges
Interaction, networking and exposure to various levels of leadership and management
Amazing mentorship opportunities
Top summer interns may be eligible to receive full time offers to join the team following the successful completion of their degree

Applicants Must Meet The Following Requirements
Ability to work 30 hours per week for 10 weeks
Legally authorized to work in the United States without the requirement for future sponsorship
Ability to work remotely which will require a working, reliable internet connection and a quiet and dedicated work space
Play role in monthly global accounting close process including preparing journal entries, expense accruals, account reconciliations and flux analysis
Assist in support of the Company’s external audits (and any quarterly or other interim reviews) for the consolidated company, and several foreign subsidiaries
Coordinate GL activities with the shared services team
Assist with special projects and process improvements
Other related duties as assigned
Currently enrolled in accredited college/university Bacheler’s degree program in Junior or Senior year, pursuing degree in Finance or Accounting
Prior accounting internship experience preferred
Basic knowledge of US GAAP accounting concepts
Proficient in the use of Microsoft Office Suite with strong Excel skills
Ability and readiness to embrace and successfully drive/implement change
Process optimization focused - vision with the ability to apply practical solutions and navigate through ambiguity
High-level of integrity along with the ability to handle sensitive information and maintain confidentiality
A strong work ethic, positive “can-do” attitude, and ability to meet deadlines
Team player; comfortable operating within a dynamic, complex organizational structure and able to be flexible and collaborate with team on different projects and needs",https://www.linkedin.com/jobs/view/externalApply/2492885667?url=https%3A%2F%2Fcareers-precisely%2Eicims%2Ecom%2Fjobs%2F1832%2Faccounting-intern-%2528summer-2021%2529---remote%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=NpgH&refId=4877536b-f860-4678-abfb-0fe362b8e71b&trackingId=ytYjo6gSmRsYlAxaJZ5kdA%3D%3D&trk=public_jobs_apply-link-offsite
Accounting Internship,Sunovion Pharmaceuticals,"Marlborough, MA","Sunovion & Sumitomo Dainippon Pharma America virtual Internship Program

Our virtual internship program offers college and university students an amazing opportunity to gain hands on experience within the pharmaceutical industry. This program allows students to work closely with business leaders while obtaining key industry insights. Interns will be responsible for completing both individual and group projects. Additionally, interns will participate in team building workshops and professional led seminars which will contribute to their career and professional development. We are seeking talented individuals within multiple areas across the organization.

Company Overview

Sunovion is a global biopharmaceutical company focused on the innovative application of science and medicine to help people with serious medical conditions. Sunovion’s spirit of innovation is driven by the conviction that scientific excellence paired with meaningful advocacy and relevant education can improve lives. The Company has charted new paths to life-transforming treatments that reflect ongoing investments in research and development and an unwavering commitment to support people with psychiatric, neurological, and respiratory conditions.

Sumitomo Dainippon Pharma America (SDPA) supports certain affiliates of Sumitomo Dainippon Pharma Group by providing professional shared services expertise to achieve greater efficiencies and enable discovery, development, and commercialization of innovative treatments to help patients.

Program Overview
Position will begin on Monday May 31, 2021.
Position is full-time Monday through Friday – up to 40 hours per week.
Candidates should be available to commit to 8 weeks minimum.

Internship Description

The Accounting intern will be responsible for assisting in various projects that support department initiatives related to standardized processes, documentation, improving processes, creating efficiencies and creating synergies. This role requires a high degree of collaboration with other members of the Corporate Accounting team as well as other key stakeholders within the broader Finance and Accounting functions.

The Accounting intern will work with the Senior Manager of Accounting on developing a timeline, project plan and deliverables for refining certain account analyses in Blackline.

Learning Goals
Gain insight into the pharmaceutical industry
Receive real-life experience into the day-to-day operations of a Corporate Accounting Team
Develop organizational skills to be able to complete a project in a timely manner
Demonstrate effective written communication skills
Learn to interact with diverse personalities
Participate in special projects that support the departments initiatives and objectives as assigned

Minimum Requirements
Undergraduate having completed their Sophomore year.
Accounting Major
Authorization to work in the U.S.
Abide by corporate policies, work in professional environment, and meet deadlines
Experience using Microsoft Office (Excel, PowerPoint, Word).
Confidential Data : All information (written, verbal, electronic, etc.) that an employee encounters is considered confidential.

Compliance :Achieve and maintain Compliance with all applicable regulatory, legal and operational rules and procedures, by ensuring that all plans and activities for and on behalf of Sunovion are carried out with the ""best"" industry practices and the highest ethical standards.

Mental/Physical Requirements : Fast paced environment handling multiple demands. Must be able to exercise appropriate judgment as necessary. Requires a high level of initiative and independence. Excellent written and oral communication skills required. Requires ability to use a personal computer for extended periods of time.",https://www.linkedin.com/jobs/view/externalApply/2403782041?url=https%3A%2F%2Fsunovion%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2F_Sun%2Fjob%2FUS-MA-Marlborough%2FAccounting-Internship_R00697&urlHash=9iym&refId=4877536b-f860-4678-abfb-0fe362b8e71b&trackingId=GRSuRlDo9stVwU6OsMPPqQ%3D%3D&trk=public_jobs_apply-link-offsite
Accounting Intern - Summer 2021,"Consigli Construction Co., Inc.","Milford, MA","Accounting Intern

Help with everyday accounting tasks.

Required Skills

Essential Functions

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
An ideal opportunity for College/University students in accounting or finance degree programs
Assist with quarter and year-end financial close and reporting
Help with account reconciliations
Handle major accounting related projects and report creations
Budgeting and planning
Audits
Spreadsheet preparation and analysis
Routine administrative tasks including filing, banking and handling of finance correspondence

Core Competencies
Pursuing a degree in Accounting
Previous intern experience working within an Accounting Department would be preferred, but is not required.
Desire and willingness to learn
Reliable transportation required
Attention to detail
Strong communication and organizational skills

Supervisory Responsibility
This position is not responsible for oversight or performance management of any employees.

Position Type/Expected Hours of Work

This is a full-time position. Standard work hours are Monday through Friday, 8 a.m. to 5 pm.

Required Experience
Pursuing a Bachelor’s Degree in Accounting",https://www.linkedin.com/jobs/view/externalApply/2342833870?url=https%3A%2F%2Fconsigli-openhire%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D423%26company_id%3D17365%26version%3D1%26jobBoardId%3D3349&urlHash=BQNT&refId=4877536b-f860-4678-abfb-0fe362b8e71b&trackingId=p5dFWt57JxbbRlNrBU0EDQ%3D%3D&trk=public_jobs_apply-link-offsite
Finance Intern,Brooks Automation,"Chelmsford, MA","Description

At Brooks, new ideas, new technologies and new ways of thinking are driving our future. Our customer focused culture encourages employees to embrace innovation and challenge the status quo with novel thinking and collaborative work relationships.

All we accomplish is grounded in our core values of Customer Focus, Achievement, Accountability, Teamwork, Employee Value and Integrity.

Brooks is seeking a Finance intern for our summer internship program. This position will work closely with our Finance team in support of our Brooks Life Sciences Products business.

Finance On-Boarding includes LMS for Oracle Cloud, Tableau, HFM, HP, SmartView, etc.

Intern would assist team members regarding a number of opportunities that may include:
AOP process (annual operating plan) June:
SharePoint Site Administration
Weekly R&Os & Flash dashboards
Go-Live data reviews, analysis, & validations
Commissions & new software integration
Audits, reporting, develop/refresh current working instructions as needed
Variance analysis and research as required
Month end financial close process and/or journals as needed
Other duties and projects as assigned

Type Of Degree (In Progress)/Skills/Unique Capabilities
Attention to detail is very important
Pursuing degree in Finance
Previous working experience or desire to work in a best in class financial environment
Good interpersonal and general communication skills (written, verbal, & presentation)
Strong Microsoft skills, especially Excel
Ability to multitask and prioritize workloads.
Works well with others in a team environment.
EOE M/F/Disabled/VET",https://www.linkedin.com/jobs/view/externalApply/2486491690?url=https%3A%2F%2Fcareers%2Ebrooks%2Ecom%2Fjob-detail%2Ffinance-intern-r4954%3Futm_campaign%3DLinkedIn&urlHash=2PFG&refId=4877536b-f860-4678-abfb-0fe362b8e71b&trackingId=ctag%2BLeWtSP2%2FSbbMy31Kg%3D%3D&trk=public_jobs_apply-link-offsite
Accounting Intern- Summer 2021,LoveShackFancy,"New York, NY","About Loveshackfancy

LoveShackFancy is a New York City-based lifestyle brand founded in 2013 by stylist, designer and creative director Rebecca Hessel Cohen. The brand originated from Rebecca’s desire to design the perfect bridesmaid dress for her own ethereal summer wedding at her family home in Bridgehampton, surrounded by swaying apple trees. From an initial collection of hand-dyed silk dresses, LoveShackFancy quickly gained a dedicated following for its charming pieces that whisper

Role Overview

Our Fall 2020 Accounting Intern will have the opportunity to work alongside our accounting team to make sure our business needs are being met. Organization and attention to detail are key elements to this role.

This internship is an unpaid role and the candidate MUST receive academic credit as a requirement.

KEY RESPONSIBILITIES:
Learn the different processes and work within several different accounting departments.
Sales Audit: chargebacks, gift card fulfillment, bank reconciliations
Accounts Payable: check assembly and filing, manual expense report auditing, check reconciliation
Financial Reporting: prep and audit, journal entry audit
Other ad hoc accounting assignments as needed

This job description may not be inclusive of all assigned duties, responsibilities, or aspects of the job described, and may be amended at any time at the sole discretion of the Employer.

Skills, Qualities & Behaviours
Currently enrolled in college or university
Ability to multi-task in a fast-paced environment
Accounting major preferred
Strong computer skills – Word, Excel, PowerPoint
Strong communication skills
Powered by JazzHR

So1yZZURcm",https://www.linkedin.com/jobs/view/externalApply/2486491690?url=https%3A%2F%2Fcareers%2Ebrooks%2Ecom%2Fjob-detail%2Ffinance-intern-r4954%3Futm_campaign%3DLinkedIn&urlHash=2PFG&refId=4877536b-f860-4678-abfb-0fe362b8e71b&trackingId=ctag%2BLeWtSP2%2FSbbMy31Kg%3D%3D&trk=public_jobs_apply-link-offsite
Accounting Intern (Remote),Kinesso,"New York, NY","General information

Agency: Kinesso

Job Function: Administration

Location: New York, United States

Job Ref#: 2131

Description & Requirements

Position Summary
The Accounting Intern will work with Accounting Managers and Staff Accountants on both the Kinesso and Matterkind teams to complete the day-to-day tasks related to agency and network financial reporting. The goal for the position will be to develop an understanding of the reporting responsibilities, as well as be able to assist in the quality and timely reporting up to Network and IPG Corporate.

Kinesso: The Accounting team monitors and ensures compliance with all accounting and financial reporting regulations including US GAAP and IPG Standard Policies and Procedures. This consists of providing accounting guidance and instructions to all local markets and regions at Kinesso. The team is also responsible for fulfilling all financial reporting requirements set by IPG Corporate. This includes the completion of variance commentaries, financial reporting schedules, and ad-hoc requests. The team is responsible for the completion of monthly and quarterly network controls.

Matterkind: The Accounting team is responsible for the integrity of the Matterkind US brand financial statements and as such focuses their efforts primarily on Network/IPG reporting requirements, regulatory compliance, monthly close and the controls environment. Beyond the recurring monthly close and maintenance of controls specific tasks the Matterkind controllership team works on a high degree of ad hoc projects based on the ever-changing digital media landscape and organizational direction

Job Responsibilities
Attend Pre-Close and Post-Close meetings and provide notes/comments to Accounting Managers.
Support monthly/quarterly close process, including working closely with regional/local finance personnel on key drivers of financial fluctuations as well as reporting to Network and IPG Corporate.
Assist Staff Accountants in performing Hyperion processes such as consolidating entities, running schedules, or pulling validation checks.
Review Variance Analysis provided by local markets and provide comments to Staff Accountant and Accounting Manager.
Assist Staff Accountant in maintaining SOX folder with appropriate control documentation.
Review and test key controls and accounts for Matterkind US
Requirements

Desired Skills & Experience
Must be enrolled in an accredited 4-year university program with a graduation date of December 2021 or Spring 2022
Ability to work virtually from the Unites States for 10 weeks between June 7 – August 13, 2021
Must be a minimum of 18 years of age
Desired Skills And Experience
Pursuing a bachelor's degree in Accounting or another related field
Excellent written and verbal communication skills
Self-directed and able to work with minimal supervision
Eager to tackle new projects and idea
Proficient computer skills, including Microsoft Office Suite (Word, PowerPoint, and Excel)
Employment Transparency

It is the policy of Kinesso, division of the Interpublic group, to provide equal employment opportunities to all employees and applicants for employment without regard to race, color, ethnicity, gender, age, religion, creed, national origin, sexual orientation, gender identity, marital status, citizenship, genetic information, veteran status, disability, or any other basis prohibited by applicable federal, state, or local law.

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.

The employer will make reasonable accommodations in compliance with the American with Disabilities Act of 1990. The job description will be reviewed periodically as duties and responsibilities change with business necessity. Essential and other job functions are subject to modification. Reasonable accommodations may be provided to enable individuals with disabilities to perform the essential functions.

For applicants to jobs in the United States: In compliance with the current Americans with Disabilities Act and state and local laws, if you have a disability and would like to request an accommodation to apply for a position with Kinesso, please email accommodation@mbww.com

About Us

Kinesso brings together the best minds in data, technology and media activation to deliver seamless data-driven marketing solutions. As a technology-enabler, Kinesso powers marketing systems through a proprietary suite of applications that integrate ad tech and martech. Kinesso’s application framework spans audience, planning, and activation, delivering insights and business outcomes for leading global brands.",https://www.linkedin.com/jobs/view/externalApply/2489686355?url=https%3A%2F%2Fflite%2Eavature%2Enet%2Fen_US%2Fcareers%2FJobDetail%2FAccounting-Intern-Remote%2F2770&urlHash=-bix&refId=4877536b-f860-4678-abfb-0fe362b8e71b&trackingId=2gUef10YviGKDFna%2B1ioBQ%3D%3D&trk=public_jobs_apply-link-offsite
Accounting/Finance Intern,Vibes,"Chicago, IL","About Vibes


We help marketers unlock new revenue by arming them with the technology and expertise they need to succeed in mobile marketing. The Vibes Mobile Engagement Platform enables marketers to easily manage all mobile communication channels including text messaging, push notifications, mobile wallet, app inbox, and mobile web campaigns — all through a single interface. Vibes has delivered more than ten billion mobile experiences on behalf of customers that include Discover, Home Depot, PetSmart, Foot Locker and Allstate, and is recognized as one of only four Tier 1 aggregators by the Common Short Code Administration (CSCA). To learn more about Vibes, visit www.vibes.com.


We are currently seeking an intern with an interest in accounting and finance. The top candidate will have a basic understanding of accounting principles. They will gain hands-on accounting and finance experience in a fast-paced environment. This is a paid internship, and the top candidate must be able to commit 40 hours a week.

Vibes cares about character and culture as much as competency. We strive to build a workplace where people are excited to come to work every day and feel empowered and motivated to do their best work.

Responsibilities

Assist with historical customer data review in both Salesforce and NetSuite
Collaborate with Finance and Revenue Operations on updating customer account attributes
Assist in building out month end reporting for FP&A
Assist with month-end financial close


Requirements & Qualifications

Currently pursuing a college degree (preferably in Accounting or Finance)
Must be proficient in MS Office (Word, Excel, PowerPoint and Outlook)
Must be proficient in MS Excel (Vlookups, Pivot Tables, and if statements at a minimum)
Must be organized, motivated and detail-oriented
Must be able to juggle multiple projects and work well under deadlines
Strong communication, project management and critical thinking skills
Strong attention to detail and ability to complete large volumes of work efficiently and effectively
Professional, reliable, driven and results-oriented

Our Core Values

Respect, honesty, and integrity for all stakeholders
Always be learning
Relentless focus on the customer
Never be satisfied
Create value
Seek accountability and ownership

Vibes is an equal opportunity employer that encourages and fosters diversity in the workplace. We offer a career building experience in a fast paced organization and industry. Please apply online at www.vibes.com",https://www.linkedin.com/jobs/view/externalApply/2488135509?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fvibesllc%2Fjobs%2F5177090002%3Fs%3DLinkedIn%26source%3DLinkedIn&urlHash=iZQM&refId=4877536b-f860-4678-abfb-0fe362b8e71b&trackingId=g9WPxbSb97McRswPhp3B9A%3D%3D&trk=public_jobs_apply-link-offsite
Finance Intern - Summer 2021,Xpanse,"Seattle, WA","It currently takes the same amount of time to process an average American mortgage as it does to walk nonstop from Manhattan to San Francisco! Xpanse is working to change that.

It’s our mission to create a universal platform that brings clarity, ease, automation and security to the origination process. Our SaaS platform will power the mortgage industry and its relationships with a massive network of third-party providers that are integral to the mortgage process. By focusing on the customer, using automation, real-time intelligence, big data, and analytics we are changing the way borrowers, lenders, servicers, and service providers take care of business.

Disrupting an industry is a team sport, so we are looking for the best and brightest to make an impact and change the future of an $11 trillion industry. We are growing rapidly in the Seattle Area and looking for Finance Interns currently completing their undergraduate degree to join our team for the summer of 2021.

What You Will Be Doing
Perform in-depth industry analysis searching for target companies
Audit company financials and update monthly budgeting and forecasting
Engage in financial research and strategic analysis for fast growing fintech startup
Apply critical thinking to solve complex business problems
Perform due diligence in acquisitions


Who You Are
A team-first mentality, and value collaborative results over personal accolades
An owner’s instinct and sense of responsibility
An ability to execute challenging gameplans and deliver measurable results
An eagerness to learn about new technologies and businesses


Basic Qualifications
Pursuing a bachelor's degree in Finance or related field

Xpanse is an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",https://www.linkedin.com/jobs/view/externalApply/2488135509?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fvibesllc%2Fjobs%2F5177090002%3Fs%3DLinkedIn%26source%3DLinkedIn&urlHash=iZQM&refId=4877536b-f860-4678-abfb-0fe362b8e71b&trackingId=g9WPxbSb97McRswPhp3B9A%3D%3D&trk=public_jobs_apply-link-offsite
Accounting Internship,Mueller Water Products,"Atlanta, GA","Job Summary

This position is a paid internship/co-op for a college student currently working towards a Bachelor’s degree in Accounting. The duration of this internship is expected to be between 3-6 months beginning in June 2021, with the possibility for extension based on business need. This position will be located at our corporate headquarters in Atlanta, GA. Ideal candidates will be local to the Atlanta area.

Primary Responsibilities
Assist with recording and maintaining timely, accurate, and complete financial records
Prepare and post journal entries
Perform general ledger and account reconciliation and analysis
Create and deliver summaries, reports, and charts
Assist stakeholders by answering questions and researching variances related to expenses or account balances
Perform special projects and ad-hoc financial reporting as required
Other duties may be assigned as well based on business need or learning opportunities

Critical Competencies
Drive for Results: Can be counted on to exceed goals successfully; is constantly and consistently one of the top performers; very bottom-line oriented; steadfastly pushes self and others for results
Customer Focus: Is dedicated to meeting the expectations and requirements of internal and external customers; gets first-hand customer information and uses it for improvements in products and services; acts with customers in mind; establishes and maintains effective relationships
Relationships: Gain the trust and respect of teammates and others by building relationships
Technical Competence: Applies and improves extensive or in-depth specialized knowledge, skills and judgment to accomplish a result or to accomplish one's job effectively
Innovation: Continuously looks for better ways to satisfy our consumers, both internal and external, with incremental improvements in quality, durability, service, and cost
Teamwork: Is able to lead and/or participate on cross functional teams to achieve a common goal

Qualifications
Currently enrolled in a degree program in Accounting
Proficient in Microsoft Office applications (Outlook, Word, Excel, PowerPoint)
Strong analytical and problem-solving skills
Well organized with good time management skills
Ability to work independently and as a member of a team

We are an equal opportunity employer. Employment selection and related decisions are made without regard to sexual orientation, race, color, age, disability, religion, national origin, citizenship status and creed.",https://www.linkedin.com/jobs/view/externalApply/2488135509?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fvibesllc%2Fjobs%2F5177090002%3Fs%3DLinkedIn%26source%3DLinkedIn&urlHash=iZQM&refId=4877536b-f860-4678-abfb-0fe362b8e71b&trackingId=g9WPxbSb97McRswPhp3B9A%3D%3D&trk=public_jobs_apply-link-offsite
