title,company,location,requirements,link
Summer 2021 Editorial Intern (Remote),The New York Times,"Gainesville, FL","About Us

Job Description

The New York Times is seeking inventive and motivated interns to join the Licensing Group. In this role you will understand all facets of editing, from story selection to collaborating with a team in achieving results. You will learn the relationship between the various editorial departments and functions. In addition, you will embed with the Editorial team to help produce the content for the News Service, Large Print Weekly, Spending Well, early and late Time Digest, and Photo/Graphics.

About Our Team

NYTLicensing is the content licensing division of The New York Times Company. We empower companies to connect with their audiences, using world-class journalism and content curation to elevate experiences and engage customers. We help organizations of all sizes streamline communications, supplement existing marketing campaigns and drive growth. We traditionally served other media organizations with our licensed content. It is now our goal to generate awareness of the NYTLicensing brand and drive revenue growth in new markets.

As a Licensing Editorial Intern, You Will
Learn to elevate and refine your copy-editing/proofing skills through various editorial projects
Participate in budgeting/planning of story selections and resources
Suggest products for use by the Sales team
Receive feedback from various editorial functions, e.g., Editorial Development, Syndicate
Learn to navigate and respond to client/sales requests for information about story use, rights, and availability
Learn to understand decisions that inform Editors’ curation choices of content for various projects

About You
Journalism coursework and/or edit experience
Curiosity about the news
An appreciation of language

About Our Summer Internships
Our internships are paid
They are 10 weeks long, starting on or around June 1, 2021
You will work remotely

Benefits And Perks
Interning at The New York Times is a unique opportunity to work at an innovative and historic global media organization dedicated to enhancing society by creating, collecting and distributing high-quality news and information
You will be helping to power, distribute and expand what is possible for our award-winning journalism
We run a week-long maker event during the summer, where Design, Product, Project, Marketing and Technology come together to work on creative, cross-functional projects
We have frequent panel discussions and talks by a wide variety of newsmakers and industry leaders
NYT interns benefit from competitive pay, great perks and influential networking

The New York Times is committed to a diverse and inclusive workforce, one that reflects the varied global community we serve. Our journalism and the products we build in the service of that journalism greatly benefit from a range of perspectives, which can only come from diversity of all types, across our ranks, at all levels of the organization. Achieving true diversity and inclusion is the right thing to do. It is also the smart thing for our business. So we strongly encourage women, veterans, people with disabilities, people of color and gender nonconforming candidates to apply.

The New York Times Company is an Equal Opportunity Employer and does not discriminate on the basis of an individual's sex, age, race, color, creed, national origin, alienage, religion, marital status, pregnancy, sexual orientation or affectional preference, gender identity and expression, disability, genetic trait or predisposition, carrier status, citizenship, veteran or military status and other personal characteristics protected by law. All applications will receive consideration for employment without regard to legally protected characteristics. The New York Times Company will consider qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local ""Fair Chance"" laws.",https://www.linkedin.com/jobs/view/externalApply/2469504266?url=https%3A%2F%2Fnytimes%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FNYT%2Fjob%2FGainesville-FL%2FIntern---Editorial_REQ-009211%3Fsource%3DLinkedin&urlHash=8wfY&refId=6801fadd-e03e-4793-b872-d911b5a76aaf&trackingId=YIx4%2Fxi0tNHRwrakrG8yKg%3D%3D&trk=public_jobs_apply-link-offsite
Editorial Assistant (Internship),Bain & Company,"Boston, MA","What Makes Us a Great Place To Work

We are proud to be consistently recognized as one of the world's best places to work, a champion of diversity and a model of social responsibility. We are currently ranked the #1 consulting firm on Glassdoor’s Best Places to Work list, and we have maintained a spot in the top four on Glassdoor's list for the last 12 years. We believe that diversity, inclusion and collaboration is key to building extraordinary teams. We hire people with exceptional talents, abilities and potential, then create an environment where you can become the best version of yourself and thrive both professionally and personally. We are publicly recognized by external parties such as Fortune, Vault, Mogul, Working Mother, Glassdoor and the Human Rights Campaign for being a great place to work for diversity and inclusion, women, LGBTQ and parents .

Who You'll Work With

Bain’s in-house editorial staff produces hundreds of reports, blog posts, videos and other multimedia items related to all aspects of business each year. The Editorial Assistant intern will assist the team in managing and maintaining Bain’s editorial process and online publications pages.

The internship provides opportunities to build skills that are foundational for a career in marketing, publishing and/or online media. Interns are full members of the team, attending regular team meetings and social events. The intern will work 20 hours per week remotely (laptop provided). There is a potential to extend the internship into the summer.

Under general supervision, the intern posts and maintains online publications pages; provides associated support to digital editors in the department; and creates and updates PowerPoint reports.

What You'll Do

Works with Deputy Editor, Digital Editors and Senior Coordinator to:
Make routine site improvements to Bain.com using the Episerver content management system
Prepare final HTML for posting articles, briefs and newsletters to Bain.com
Enter and maintain Editorial content for publication to Bain.com and various microsites
Proposes content for social posts that promote recently published material
Aids in production of reports on editorial activity and updates for department head and practice areas in accordance with pre-set guidelines; checks for quality, revises, and prepares materials for printing and publication, as appropriate to departmental activities
May perform specific projects requiring analytical skills, and basic office administrative or staff-support duties as required to meet specific operational objectives

About You
Pursuing a Bachelor’s or Master’s Degree, in English or Journalism preferred. Prior experience in a professional environment is preferred
Exceptional written communication skills to include thorough knowledge of grammar and punctuation are required
Familiarity with HTML, Photoshop and Google Analytics is a plus
Attention to detail, effective time management and strong verbal skills required
Candidates must possess an ability to learn quickly, multi-task and work independently
Comprehensive knowledge of document creation and editing is required
Comprehensive knowledge of word-processing, PowerPoint, spreadsheet and publishing software applications is needed

About Us

Bain & Company is a global consultancy that helps the world’s most ambitious change makers define the future.

Across 59 offices in 37 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition and redefine industries. We complement our tailored, integrated expertise with a vibrant ecosystem of digital innovators to deliver better, faster and more enduring outcomes. Our 10-year commitment to invest over $1 billion in pro bono services brings our talent, expertise and insight to organizations tackling today’s urgent challenges in education, racial equity and social justice, economic development and the environment. Since our founding in 1973, we have measured our success by the success of our clients, and we proudly maintain the highest level of client advocacy in the industry.",https://www.linkedin.com/jobs/view/externalApply/2456602885?url=https%3A%2F%2Fcsscareers-bain%2Eicims%2Ecom%2Fjobs%2F4856%2Feditorial-assistant-%2528internship%2529%2Fjob%3Fhub%3D8%26in_iframe%3D1&urlHash=H74F&refId=6801fadd-e03e-4793-b872-d911b5a76aaf&trackingId=m%2B40LQfekSyzPtO2POm7Mw%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, Editorial",Shutterstock,"Los Angeles, CA","The Opportunity

The Intern, Editorial position calls for a creative, self-motivated, detail-oriented, and disciplined individual to join our Editorial team and be part of the production process that enables us to deliver first-class, quality images to help tell that ‘story’.

The ideal intern is digitally and socially aware and has a keen interest in news, politics, fashion, red carpet events and/or sports.

Editorial is a full-service team, ranging from Financial forecasting & Accounts, Sales / Business Development, Business and Content Operations, Contributor Account Management, Marketing and Tech Project Management.

The position may include, but is not limited to, the following:
Work with our Business Development team to understand our client base and how we pitch to our customers.
Understand the financial aspect of the business and what considerations are required to remain profitable.
Learn the various different teams within Editorial and the wider Shutterstock organisation and understand the different ways of working.
Identifying activities that are required, creating a plan and following up with teams.
Work with the Editorial Production team, learning about the agency/photographer relationship and how to process incoming editorial content.
Learn the keywording process and how to add metadata to editorial images.
Work with our Editors and PR team to understand how to select images that will make an impact and share on our social media channels.
Visit our archive and learn how to scan and register images to our website.
Work with the assignment manager to shoot editorial assignments in and around London.
Attend editorial events and partake in the production process live behind the scenes.
Work with the editorial account managers to understand the client facing aspect of editorial.
Checking usage and compiling tearsheets.
Work with Marketing to help setup and organise external events for our clients or contributors
Shutterstock Principles

We are one team collectively focused on creating an unrivaled experience for our Customers and Contributors. Our principles represent the mindset of the employee who will thrive at Shutterstock. If you are passionate about what you do, and want to become part of a cutting-edge technology company building industry leading products, please apply.",https://www.linkedin.com/jobs/view/externalApply/2456602885?url=https%3A%2F%2Fcsscareers-bain%2Eicims%2Ecom%2Fjobs%2F4856%2Feditorial-assistant-%2528internship%2529%2Fjob%3Fhub%3D8%26in_iframe%3D1&urlHash=H74F&refId=6801fadd-e03e-4793-b872-d911b5a76aaf&trackingId=m%2B40LQfekSyzPtO2POm7Mw%3D%3D&trk=public_jobs_apply-link-offsite
Editorial Intern - 12 weeks,Tribune Publishing Company,"Chicago, IL","Overview

The Chicago Tribune’s newsroom internship program seeks college juniors, seniors and graduate students for 12-week paid internships. Opportunities will be considered in all newsroom departments: local news, sports, business, graphics, photo/video, entertainment, lifestyle, social media, digital production and copy editing.

To be eligible, candidates must have completed at least one internship at a daily news organization other than their college paper. Additionally, candidates must be able to work in the United States legally. Interns will work 40 hours a week and must be able to, and often do, cover major stories their first days on the job.

Send your cover letter, resume, work examples and the names of at least two professional and one school references to internships@chicagotribune.com . Limit your clips to five to seven pieces that represent your best work and show your range of experience. We prefer that candidates send clips or links to specific stories rather than linking to a personal website. Clips give us a chance to see what you believe is your best work. If you do send a link to your personal website, consider putting your best, most recent work at the top.

In your cover letter, please specify whether you’re interested in a fall, winter, spring or summer internship and whether you are seeking a reporting, editing, photography, audience/social media or other type of internship.

Deadlines: The deadline for the highly competitive summer reporting internship program is Nov. 1, however we do take internship applications on a rolling basis for other seasons of the year. The earlier you apply, the more internships you will be considered for. It is not uncommon for students to apply in October for an internship the following summer, and we hire many of our summer interns in January and February.

Tribune Publishing is committed to hiring people with diverse backgrounds, voices and visions. Be yourself. Bring yourself. Because that’s the only way we will deliver on our mission to provide meaningful journalism to the diverse communities we serve. We hold ourselves accountable for fostering inclusion and opportunity across race, gender, age, creed, identity and experience. Join us.",https://www.linkedin.com/jobs/view/externalApply/2263270466?url=https%3A%2F%2Fcareers-tribpub%2Eicims%2Ecom%2Fjobs%2F4013%2Feditorial-intern---12-weeks%2Fjob%3Fin_iframe%3D1&urlHash=VF_Q&refId=6801fadd-e03e-4793-b872-d911b5a76aaf&trackingId=hMd1c8PbSrfNapRMxuCb8A%3D%3D&trk=public_jobs_apply-link-offsite
Editorial Intern,Sharecare,"New York, NY","Sharecare is the leading digital health company that helps people -- no matter where they are in their health journey -- unify and manage all their health in one place. Our comprehensive and data-driven virtual health platform is designed to help people, providers, employers, health plans, government organizations, and communities optimize individual and population-wide well-being by driving positive behavior change. Driven by our philosophy that we are all together better, at Sharecare, we are committed to supporting each individual through the lens of their personal health and making high-quality care more accessible and affordable for everyone. To learn more, visit www.sharecare.com.

Job Summary

The Sharecare editorial team is seeking a summer intern to contribute to the department's work. This internship is designed to provide an aspiring journalist with the fundamental tools required to produce editorial health content at a high level. Over the course of the program, the intern will conduct a variety of tasks essential to keeping the editorial department operating efficiently, all of which are related to the overall goal of producing best-in-class health journalism.

This is a paid internship.

Essential Functions
Assisting in gathering and distributing the department's daily health news roundup
Updating existing articles for relevance and timeliness
Managing the department's tracking of newly published and updated articles
Tagging articles for optimal surfacing across the Sharecare platform (web and mobile)
Liaising with the social media, email and associated teams on promotion of new articles and updates
Assisting in the sourcing, tracking and writing/editing/publishing of email newsletters
Performing evidence-based, primary source research
Outlining and drafting an original article
Interviewing expert sources, as necessary
Publishing and promoting content on relevant channels
Qualifications
High school graduate
Currently working on or completed Bachelor's degree
Passionate about journalism
Bring a sincere interest in health news
Experience with the various forms of digital publishing (including web, social, email and mobile app)
Demonstrate high energy and a thirst for learning in a collaborative environment
Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled",https://www.linkedin.com/jobs/view/externalApply/2469030699?url=https%3A%2F%2Frecruiting%2Eadp%2Ecom%2Fsrccsh%2Fpublic%2FRTI%2Ehome%3Fr%3D5000701156206%26c%3D2176007%26d%3DExternalCareerSite%26rb%3DLINKEDIN&urlHash=a6c_&refId=6801fadd-e03e-4793-b872-d911b5a76aaf&trackingId=%2B2eS%2FZ%2Fn7qnh7hsqp04MwQ%3D%3D&trk=public_jobs_apply-link-offsite
"Editorial Intern, Summer 2021 - Everyday Health",Everyday Health Group,"New York, NY","Description

Position at Everyday Health - Professional

MedPage Today is a trusted medical news service for health professionals. Our award-winning journalists bring you daily specialty news, investigative reports, features, and multimedia stories. Internships offer mentorship in health journalism and the chance to establish a portfolio of published articles. Interns in our newsroom contribute to coverage of medical specialties and health policy.

This year, the paid summer internship will be conducted virtually. Circumstances allowing, the intern may have the opportunity to accompany staff covering an in-person medical conference, a press conference, or a federal agency hearing.

Responsibilities
Write at least two articles per week
Draft posts on social media
Learn and utilize internal content management system
Attend team video calls

Qualifications
Demonstrated interest in health or journalism
Self-starter mindset
Ability to communicate and collaborate in a remote work environment
Availability from May/June 2021 through August 2021

To apply, please submit a resume and cover letter by April 1.

#EverydayHealth",https://www.linkedin.com/jobs/view/externalApply/2472542853?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fj2-global%2Fjob%2FoYc0efw8%3Fsource%3DLI%26s%3DLinkedIn%26__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=apmj&refId=6801fadd-e03e-4793-b872-d911b5a76aaf&trackingId=PLEhdWVKL7iwfKeAPFJAiw%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, Corwin Editorial",SAGE Publishing,"Remote, OR","Overview

The Editorial Intern position provides administrative and publishing support to a team of Editors. This position will focus on pre- and post- publication tasks but will also include a variety of tasks that touch on many aspects of our production process, including manuscript review, photo research, permissions, contract drafting and data management. Training will be provided for all the processes listed and there is no prior publishing experience required.

This internship is paid, part time (15-24 hours per week during normal office hours). This position is for the 2021 spring and summer season with the potential to continue into the fall. This is a remote position that will require you to have an internet connection.

Essential Job Functions & Responsibilities

The job functions include, but are not limited to, the following:
Drafting contracts and other legal documents for newly signed books. Sending out appropriate tax forms for new authors as needed.
Supporting various aspects of book/content development, including seeking peer reviewers, collating reviews received, managing permissions, drafting permission logs, photo research and replacement and submitting author photos for processing.
Preparing files for the production process, including the tagging of manuscripts, identifying missing or low-resolution figures and images, renaming files for consistency, and following up on permissions.
Checking and entering metadata into SMART (our publishing program) while keeping track of missing or pending information.
Processing a high volume of book orders for reviewers, authors, and endorsers. Sending additional materials to authors, as needed.
Creating, running, and troubleshooting companion websites for select books.
Other general clerical duties.

Qualifications & Education

Any combination equivalent to, but not limited to, the following:
Must be an active student, currently enrolled in accredited college or university

SAGE U.S. Diversity and Inclusion (D&I) Charter

SAGE Publishing is committed to being an inclusive employer where all individuals are treated with fairness and respect, regardless of age, disability, gender identity, marriage and partnership status, pregnancy and parental responsibilities, race, religion and belief, sex, or sexual orientation.

We believe that diversity is a cornerstone of a vibrant culture. We want SAGE to be an organization where the most talented staff and high-potential staff are recruited, have the opportunity to grow, and want to work. We strive to achieve a better representation of diverse talent at all levels, including leadership, across our workforce.",https://www.linkedin.com/jobs/view/externalApply/2465793682?url=https%3A%2F%2Fjobs-sagepub%2Eicims%2Ecom%2Fjobs%2F5833%2Fintern%25252c-corwin-editorial%2Fjob%3Fin_iframe%3D1%26mode%3Djob%26iis%3DJob%2BBoard%26iisn%3DLinkedIn&urlHash=UzTy&refId=6801fadd-e03e-4793-b872-d911b5a76aaf&trackingId=UfnR6wS1KB%2F%2B7bYUfn2yww%3D%3D&trk=public_jobs_apply-link-offsite
"INTERN, EDITORIAL",American Academy of Neurology,"Minneapolis, MN","Great People. Great Mission. Great Benefits.

Surround yourself with fun, energetic, and hard-working professionals who are dedicated to helping neurologists worldwide provide the best possible care for their patients. The AAN’s headquarters, built in 2012, is a beautiful, energy-efficient office in downtown Minneapolis’s vibrant Mill District, just steps from the light rail, major bus lines, great parking options, walking/biking paths, and countless dining and entertainment options.

Position Summary

The Intern, Editorial position will assist with completing projects that help to enhance the journal sites and research related to updating features in the journals, updating of assigned materials on the journal websites, and performing editorial-related tasks. The Intern, Editorial will gain skills and understanding related to the peer review process.

Essential Accountabilities

Editorial-related tasks
Assist with keeping editorial board handbook up to date
Learn to solicit/suggest reviewers
Assist with proofing first proofs of journal articles
Train to use iThenticate software to detect plagiarism

Website updating
Assist with updating Podcasts, homepage, and web parts
Learn to add heat maps for mini-sites and Practice Current areas
Assist with uploading and publishing to YouTube
Learn to transcribe interviews

Handle special projects
Assist team to gather data to provide insight to editors regarding decision making, using journal-provided tools to access reports,
Learn to create videos and materials for annual meeting demos

This job description may not cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, activities, and responsibilities may change at any time with or without notice.

Education

QUALIFICATIONS:

High School diploma or GED is required
Currently enrolled as a student studying communications, public relations, or other related fields is required
Must be enrolled in an educational institution pursuing fulfillment of a degree

Additional Knowledge, Skills And Abilities

Must be proficient in MS Word, Excel, and Power Point is required
Excellent verbal and written communication skills are required
Ability to handle multiple projects simultaneously is required
Strong organizational skills are required
Strong attention to detail is required
Ability to handle confidential information is required
Strong customer service skills are required
Ability to excel and stay organized in a fast-paced environment with daily deadlines is required
Interest in communications and marketing is required
Understanding of media monitoring services is preferred
Understanding of A/P style is preferred
Interest in healthcare public relations is preferred

Additional Position Information

FLSA Classification: Non-exempt

Travel Requirements: No travel required

Location: Minneapolis, MN

Schedule: Rarely beyond standard work schedule required

Physical Requirements: Standard office setting, with ability to sit for long periods of time, occasional use of stairs; regular use of computer and office equipment, lifting up to 40 lbs. The physical demands are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

The American Academy of Neurology is an equal opportunity employer.

American Academy of Neurology

201 Chicago Avenue

Minneapolis, MN 55415

www.aan.com",https://www.linkedin.com/jobs/view/externalApply/2485323784?url=https%3A%2F%2Fworkforcenow%2Eadp%2Ecom%2Fmascsr%2Fdefault%2Fmdf%2Frecruitment%2Frecruitment%2Ehtml%3Fcid%3Da8f5b8eb-8533-448f-9879-ec87a4c79cef%26ccId%3D19000101_000001%26type%3DMP%26lang%3Den_US%26jobId%3D403683&urlHash=NHiB&refId=6801fadd-e03e-4793-b872-d911b5a76aaf&trackingId=0acy8CwUJyNprlpVo9bFNQ%3D%3D&trk=public_jobs_apply-link-offsite
Summer Intern Content Marketing,"Fluent, Inc","New York, NY","Description

Fluent Inc. (NASDAQ: FLNT) is a leading performance marketing company with an expertise in creating meaningful connections between consumers and brands. Leveraging our proprietary first-party data asset of opted-in consumer profiles, Fluent, Inc. drives intelligent growth strategies that deliver superior outcomes. Founded in 2010, the company is headquartered in New York City.

We’re looking for our 2021 Summer Intern candidates! This year will be our 11th year hosting a robust class of interns. As a Summer Intern at Fluent, you will gain a hands-on experience in digital marketing working with a diverse and passionate team. You will work within a department as a tightly knit team, with a manager whose role is to guide you throughout the summer and ensure that your time is spent making an impact for Fluent.

Our paid internship program starts on Monday, May 31st and runs 10 weeks through Thursday, August 5th. Interns will work alongside Fluent employees in the office Monday – Thursday from 9 am to 6 pm with an hour lunch every day.

Responsibilities
Conduct SEO research by identifying relevant keywords and opportunities for blog content; provide recommendations on new SEO tools for the team to leverage
Write 1-2 blog posts by leveraging keyword research to identify 1-2 informational blog topics and own editorial process from start to finish (submit content for review, upload blog to WordPress, coordinate with design intern on promotional assets for social)
Create 1 infographic. Draw inspiration from existing Fluent Pulse data to create an outline for an infographic, work with the design intern to bring the idea to life
Support Fluent Pulse initiative by monitoring industry trades for potential survey topics, attend bi-weekly Fluent Pulse meetings, assist with outline/copy for site updates, assist with copy for promotional assets & identify areas for improvement and recommended solutions for the Fluent Pulse site.


Requirements
Ability to consistently meet deadlines and work independently
Comfortable working in a fast-paced environment
Experience in Microsoft Office – Word, PowerPoint, and Excel a must
Communicates effectively through written and verbal methods
Ability to work under pressure and tight deadlines
Self-starter,
Pays close attention to detail
Creative thinker
Curious/willing to try new things


Benefits

Fluent Inc. participates in the E-Verify Program. As a participating employer, Fluent Inc. will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS), with information from each new employee’s Form I-9 to confirm work authorization. Fluent Inc. follows all federal regulations including those set forth by The Office of Special Counsel for Immigration-Related Unfair Employment Practices (OSC). The OSC enforces the anti-discrimination provision (
274B) of the Immigration and Nationality Act (INA), 8 U.S.C.
1324b.",https://www.linkedin.com/jobs/view/externalApply/2485323784?url=https%3A%2F%2Fworkforcenow%2Eadp%2Ecom%2Fmascsr%2Fdefault%2Fmdf%2Frecruitment%2Frecruitment%2Ehtml%3Fcid%3Da8f5b8eb-8533-448f-9879-ec87a4c79cef%26ccId%3D19000101_000001%26type%3DMP%26lang%3Den_US%26jobId%3D403683&urlHash=NHiB&refId=6801fadd-e03e-4793-b872-d911b5a76aaf&trackingId=0acy8CwUJyNprlpVo9bFNQ%3D%3D&trk=public_jobs_apply-link-offsite
Summer PR and social media intern,"Koroberi, Inc.","Raleigh, NC","Summer PR and social media intern

Koroberi, a business-to-business marketing agency, is seeking a PR and social media intern for the summer of 2021.

Our internship program provides the experience and understanding of agency work necessary to jumpstart a career in marketing. Koroberi interns are exposed to a wide range of agency disciplines through branding, digital, advertising, public relations, social media and design departments.

PR and social media intern responsibilities include:
Media monitoring: compile client editorial placements in monthly reports
Competitor intelligence research: conduct internet-based research on competitor activities and compile into monthly reports
Social media: help create and schedule posts for Facebook, LinkedIn, Twitter and Instagram
Content creation: draft, edit and proofread materials as necessary, adhering to proper voice, tense and AP style
Media relations: Update editorial pitching calendars, manage media distribution lists
Please note, additional responsibilities may be added based on company needs and/or intern capabilities and interests.

Qualifications

Preferred start early-mid May.

The ideal applicant is a rising junior or senior with a major in public relations, communications, marketing, journalism or a related field. Applicants must be organized, detail-oriented, have strong verbal and written communication skills, and experience with social media, Microsoft Office and AP Style. Be prepared to learn internal processes and tools like Dropbox Business, Slack, Meltwater, Harvest and more.

The selected intern is required to work 20 hours per week.

Compensation

This is a paid internship.

Powered by JazzHR

IXI4QkeJQl",https://www.linkedin.com/jobs/view/externalApply/2485323784?url=https%3A%2F%2Fworkforcenow%2Eadp%2Ecom%2Fmascsr%2Fdefault%2Fmdf%2Frecruitment%2Frecruitment%2Ehtml%3Fcid%3Da8f5b8eb-8533-448f-9879-ec87a4c79cef%26ccId%3D19000101_000001%26type%3DMP%26lang%3Den_US%26jobId%3D403683&urlHash=NHiB&refId=6801fadd-e03e-4793-b872-d911b5a76aaf&trackingId=0acy8CwUJyNprlpVo9bFNQ%3D%3D&trk=public_jobs_apply-link-offsite
