title,company,location,requirements,link
Visual and Graphic Design Internship (Fall 2021),Tesla,"Hawthorne, CA","Disclaimer: This position is expected to start around August or September 2021 and continue through the entire Fall term (i.e. through December/January) or into early Spring 2022 if available. We ask for a minimum of 12 weeks, full-time, for most internships. Please consider before submitting an application.

International Students: If your work authorization is through CPT, please consult your school before applying. You must be able to work 40 hours per week. Many students will be limited to part-time depending on their academic standing.

Internship Programs at Tesla

The Internship Programs Team is driven by the passion to recognize emerging talent. Our year-round program places the best students in positions that they will grow both technically and personally through their experience working closely with their Manager, Mentor, and team. We are dedicated to providing an experience that allows for the intern to experience life at Tesla by given them projects that are critical to their team’s success.

Instead of going on coffee runs and making copies, you’ll be seated at the table making critical decisions that will influence not only your team, but the overall achievement of Tesla’s mission.

Locations
Remote

About The Team

The Visual Design team is responsible for all internal and external graphic design needs throughout the company. In terms of customer-facing design, we create a lot of the sales, marketing and delivery content that our customers see. Additionally, the Visual Design team supports product development (vehicles, products, apparel) and we also support the design needs for all internal teams.

What To Expect

Interns will be working (virtually) alongside our team in creating designs for external and internal use. The scope of work will be very wide, and we treat the interns as if they are full-time team members. This means a lot of responsibility and exposure to work that has immediate relevance to our company’s mission. This internship (at least for the time being) will be one where the intern works from home.

Requirements

Specific project assignments and required technical aptitude will vary:
Must be working on a degree in a design field (preferably visual design, industrial design, UI/UX, graphic design etc)
Would prefer juniors or seniors at the university level.
Must be proficient in the Adobe creative suite of software
Beneficial to have experience in photography, retouching, motion graphics, and illustration.
Must be able to submit a portfolio showing both student and any previous internship work.",https://www.linkedin.com/jobs/view/externalApply/2348470349?url=https%3A%2F%2Fwww%2Etesla%2Ecom%2Fcareers%2Fsearch%2Fjob%2Fvisual-and-graphic-design-internship-fall-2021-80362%3Fsource%3DLinkedIn&urlHash=J_EB&refId=298b3d02-68dd-4d9e-a979-f8147a9da8e6&trackingId=bKZDpcQpih4I5IgTGTmCZg%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Intern,Chegg Inc.,"Providence, RI","Graphic Design Intern
Remote, United States

The design team at Chegg is looking for a passionate and creative summer intern to join our team. You’ll develop real-world experience and play a key role in our visual voice, collaborating with our creative team on internal and external projects. You’ll work closely with our Visual Designer to develop creative concepts and strategies, create meaningful work, and grow your skills technically and personally.

We’ll give you lots of freedom, but we’ll also make sure you get plenty of mentoring and guidance from us. All we ask in return is that you throw your energy into your work and help us influence, design, and create innovative products that will benefit millions of students just like you. If you’re passionate about education, innovation, and collaboration, we’d love to hear from you!

Responsibilities
Create and design print and digital marketing materials
Adhere to brand guidelines and complete projects according to the deadline
Explore your skills in the Adobe Creative Suite and work with a variety of media
Collaborate with our Visual Designer to develop design concepts
See projects through from conception to completion
Be an active member of our marketing and creative teams, attend team meetings, and coordinate projects with stakeholders

Requirements
Working toward a degree in graphic design or a related field (graphic design, visual communications, digital design)
Basic knowledge of layouts, typography, line composition, color, and other graphic design fundamentals
Must be proficient in Adobe Creative Suite software
Strong creative and analytical skills
Compelling portfolio of graphic design work
Nice to Haves
Experience working in Figma or Sketch
Experience with motion graphics

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/externalApply/2419654491?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OKAEEFWW%2F&urlHash=-39J&refId=298b3d02-68dd-4d9e-a979-f8147a9da8e6&trackingId=tuaLp6NjXo1h9vAd20vLMA%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Intern Summer 2021,Wedding Salon,New York City Metropolitan Area,"Company Description:
Launched in 2004 with Martha Stewart, Wedding Salon produces bridal shows, webinars and virtual events. The company connects couples with the best vendors in the weddings industry. Wedding Salon features the best in beauty, fashion, cakes, decor, honeymoons and so much more. Celebrity planners of Jessica Simpson, Demi Moore, and Christina Aguilera are known to frequent Wedding Salon events. Exciting clients include Vera Wang, David Tutera, and Victoria’s Secret.Wedding Salon is looking for driven and talented individuals to join our team.

Some Responsibilities May Include:
Create creative and inspiring graphics for multiple departments
Work on platforms such as adobe photoshop, illustrator, canva etc.
Collaborate with the social media department to assist them in content creation

Requirements:
Previous experience with editing softwares such as photoshop, illustrator and canva
Must provide some of your past work 
Office hours are 9:00am – 5:00pm but flexible schedule is permitted
MUST be enrolled in University and qualify to receive school credit for the internship and proof must be submitted.

Start Date: May 31st
Training: Week of May 3rd
Job Location: Remote
Job Type: Internship
Salary: Unpaid/School Credit
 Internship Benefits:
Network with bright minds from schools across the country
Participate in community social hours & zoom events
Work with teams & enjoy flexible hours
Explore your career path and discover true interests
Build resume with real work experience
Gain confidence in leadership roles
Very fun and a great experience!",https://www.linkedin.com/jobs/view/externalApply/2419654491?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OKAEEFWW%2F&urlHash=-39J&refId=298b3d02-68dd-4d9e-a979-f8147a9da8e6&trackingId=tuaLp6NjXo1h9vAd20vLMA%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Intern - Summer 2021,Clare,"New York, NY","About The Role

We’re on the hunt for a superstar graphic design intern to join our smart, passionate team. You’ll have the opportunity to develop fresh content to bring our marketing campaigns to life while learning new skills, and building your portfolio. You’ll also learn the ins and outs of building a direct-to-consumer e-commerce business. We offer valuable experience, hourly pay, or school credit, plus a fun, diverse and collaborative working environment. Our team is New York based but currently WFH remote due to COVID-19. APPLICANTS MUST BE BASED IN THE US, PREFERABLY WITHIN EASTERN STANDARD TIME ZONE.

Who You Are
Have a strong sense of layout, typography, form, color, imagery, and composition
Able to execute according to a plan and specific brand guidelines
Self-motivated, with a roll up your sleeves attitude, extremely organized, detail-oriented, and able to think and execute quickly
Able to meet tight deadlines while maintaining accuracy of work
You have a positive attitude, no task is too small and you’re compelled to go the extra mile to get things done
A problem solver, obsessed with making processes more efficient
A clear, effective verbal and written communicator
Current junior or senior undergraduate or graduate student

What You’ll Do
Design emails and marketing assets
Assist with the creation of social media assets including social feed images and Instagram stories, Instagram Reels & TikToks
Manage the cataloging and organization of assets
Follow a marketing calendar and meet deadlines to ensure content is created on time
Assist with photoshoots or other productions as needed
Work closely with marketing and editorial teams to support day-to-day content deliverables

Qualifications
Knowledge of Adobe Creative Suite - Photoshop specifically
Familiarity with Instagram Stories layouts and apps used to create them
Experience creating GIFs
Basic video editing skills
Front-end HTML / CSS and CMS experience is a plus
A passion for home and design is a plus
Must be a student and available ~30-40 hours/ week from May - August with the possibility of extending into the Fall semester.

About Us

Clare is an early-stage, e-commerce startup that’s on a mission to make paint shopping easier and more inspiring, so people everywhere can create a home they love. We’re challenging the status quo of paint, and we’re looking for smart, scrappy problem solvers with an entrepreneurial spirit to join our diverse and passionate team. Clare is venture-funded, with an A-list roster of investors who have backed top consumer brands like Warby Parker, Harry’s, Casper, Glossier and more.

We are an Equal Opportunity Employer and take pride in building a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, sexual orientation, national origin, age, marital or veteran status, medical condition or disability, or any other legally protected status.",https://www.linkedin.com/jobs/view/externalApply/2487830688?url=https%3A%2F%2Fclare%2Efreshteam%2Ecom%2Fjobs%2FgV8BGeyCbMRt%2Fgraphic-design-intern-summer-2021%3Fft_source%3D1000115150%26ft_medium%3D1000108897&urlHash=SoA8&refId=298b3d02-68dd-4d9e-a979-f8147a9da8e6&trackingId=A%2FzdzLrs8e5Z42hNP4AjUA%3D%3D&trk=public_jobs_apply-link-offsite
Design Intern - New York,Jack Morton Worldwide,"New York, NY","Design Intern

The Design Intern is responsible for supporting the creative team through innovative design to ensure the delivery of extraordinary creative solutions. While interning with the creative team, you'll be able to flex your design muscles, while also getting an opportunity to sit in on brainstorming sessions and client meetings. Due to the pandemic, many of our live experiences have turned virtual, so this Summer you'll learn how we continue to roll with the punches to deliver top tier virtual and hybrid events.

What You'll Do
Support Creative staff with design needs, like decks, presentations and comps
Help New Business team as needed on mood boards, and other pitch materials
Keep abreast of cultural events and trends that affect our audiences
Stay current on all industry trends and pop culture
Commit to 10 weeks (June – August) of inspiring work, learning, and fun, day in, day out


What You'll Bring To Jack
College degree or degree in progress. Great Fits: Degrees in Art History, Graphic Design, Art Direction, Fine Arts, and Film; preferably studied at a Design School
Creative and artistic presentation skills; the ability to think visually and collaborate with other creative team members
Experience in Photoshop, Illustrator, InDesign, Keynote, PowerPoint and/or other design programs
Knowledge of brand positioning and industry trends
Excellent attention to detail in any project you complete
Ability to work under tight deadlines
Flexibility to engage with the team and on the work, while participating virtually. At the moment, we have no planned 'live/in person' part of the Intern Program.


Who You Are
A rising college junior, senior, recent grad or grad student
Previous agency experience is a plus
Extraordinary! Both as a person and a multi-tasker
Detail-oriented: you leave nothing to chance
Creative problem solver: you're able to change course at the drop of a hat
Cool under pressure, prepared for every possible situation that might pop up
Passionate, Agile, Respectful, and Brave!


What You Gain
We provide an intern experience as extraordinary as the work we deliver for our clients. We take our work seriously, but not ourselves (check out our blog and Instagram for more on that). You can expect to learn and grow from the best in the business and gain valuable agency experience while meeting and working with incredible people during a summer you'll never forget. We'll do our best to provide a great experience, without setting foot into an office.

Extra Credit

All Creative intern applicants (Design, Illustration, Copywriting) must provide a link to your portfolio on your resume. Design and Illustration intern applicants should also ideally have a background in graphic design with advanced skills in Adobe CS; specifically Illustrator, InDesign, and Photoshop.

Overachiever? We love it. Feel free to add a note (300 words max) addressing the following when you apply:
Why are you interested in Jack and this particular role?
Tell us: ""Why choose me?""

Last but not least, we believe in diversity, equity and inclusion.
Jack Morton and Genuine are equal opportunity employers; we strongly value diversity at our companies. We do not discriminate on race, religion, color, national origin, disability, sexual orientation, gender identity, gender expression, age, marital status, veteran status, or any other basis prohibited by law. In 2020, Jack Morton and Genuine, as part of Interpublic Group (IPG), have been named to the Bloomberg Gender Equality Index (GEI), and Jack Morton has once again been designated a Best Place To Work For LGBTQ Workplace Equality by the Human Rights Campaign in their Corporate Equality Index.

We make our careers website accessible to any and all users. If you need an accommodation to participate in the application process, please contact us at JobAppAccommodation@ipgdxtra.com. This email address is not for general employment inquiries or vendors; rather it is strictly for applicants who require special assistance accessing our employment website. Due to volume, messages sent to this email address that are not related to an accommodation cannot be answered.

JOB SCAM ALERT***

We have recently become aware that individuals not associated with Jack Morton have fraudulently used our name – and the names of some of our employees – to solicit applications for fake jobs, to conduct fake job interviews and to make fake job offers. Any request to schedule an interview and any bona fide offer of employment will only come from an authorized representative of Jack Morton with an email address ""@jackmorton.com"". We will never require an applicant to provide credit card or banking information to cover any supposed advance costs.

If you have provided personal information in connection with a fake job offer or interview and you are concerned, we suggest that you take appropriate action.

Jack Morton takes these activities very seriously and are taking appropriate steps to shut down this fraudulent activity.

We urge you to be careful when sharing your personal information and to be aware of scams involving fake job postings and job offers.",https://www.linkedin.com/jobs/view/externalApply/2487698839?url=https%3A%2F%2Fgrnh%2Ese%2Fc3e9f95e2us&urlHash=RcNO&refId=298b3d02-68dd-4d9e-a979-f8147a9da8e6&trackingId=mFKNsnRWnhrOgO84vlJuQQ%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Intern,Where I'm From Apparel,"Columbus, Ohio Metropolitan Area","Graphic Designer
 Where I’m From Apparel is seeking a self-motivated, passionate & energetic designer to join our team for a summer internship. The Graphic Designer will be working in accordance with company leadership to conceptualize and execute a variety of design work. This is a position that offers an excellent opportunity to both learn and contribute to a growing company.

The ideal candidate will have relevant experience, a strong portfolio that demonstrates creativity, free thinking & deep understanding of design fundamentals. Must have advanced knowledge of Adobe Creative Suite, especially Adobe Photoshop & Adobe Illustrator. In addition, this is a fast paced start-up atmosphere, so the candidate must be flexible and willing to jump into any project as needed, at a moments notice.
 Duties & Responsibilities:
Create production artwork that is print-ready
Develop social media content, marketing campaigns, email design, web banners and in-store signage
Conceptualize and execute graphics for new products & apparel
Product photography

Qualifications & Experience:
Strong computer skills - Adobe CS - Illustrator & Photoshop
Design & Illustration talent to create unique, one-of-a-kind artwork & graphics
Strong communication and presentation skills
An interest in specialty retail
Passion for staying current on fashion and design trends
Abilityto quickly turn time sensitive graphic design work
A detail-oriented and self-motivated attitude with excellent time management & organizational skills
The ability to be ateam player and respond positively to constructive criticism
A strong work ethic and high performance standards
Some sort of illustration, photography and marketing exposure",https://www.linkedin.com/jobs/view/externalApply/2487698839?url=https%3A%2F%2Fgrnh%2Ese%2Fc3e9f95e2us&urlHash=RcNO&refId=298b3d02-68dd-4d9e-a979-f8147a9da8e6&trackingId=mFKNsnRWnhrOgO84vlJuQQ%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Internship (Remote),Selina,"New York, NY","Description

Who we are

Our Mission is to inspire authentic and meaningful connections.
Selina was born out of a desire to celebrate the nomadic lifestyle: to experience our planet’s most beautiful places, to build community, to engage with locals and fellow travelers, to work and enjoy new adventures.

What The Role Is

The Global Brand+Creative team at Selina is looking for a talented Graphic Design Intern to join our team. Are you a creative genius-in-the-making with a passion for design? Are you a recent (or soon-to-be) graduate looking for real-world experience with a talented and fun team? Are you eager to expand your skills and take on creative challenges? If so, we would love to hear from you!

What You Will Be Doing
Creating graphics for: special projects, marketing campaigns, posters, flyers, and social media for Selina Global.
Study design briefs and determine requirements
Conceptualize visuals based on requirements
Prepare rough drafts and present ideas
Develop illustrations, logos and other designs using software or by hand
Use the appropriate Brand colors, guidelines & layouts for each graphic
Work with copywriter and brand director to produce final design
Test graphics across various media
Amend designs after feedback
Ensure final graphics and layouts are visually appealing and on-brand

What You Need For This Internship
Prior experience creating graphics and a solid grasp of design concepts.
Comfort working in Adobe Creative Suite, especially InDesign, Photoshop and Illustrator.
Enthusiasm for the design process and attentiveness to different project goals.
Detail-oriented, organized, ability to prioritize time-sensitive assignments.
Working knowledge of HTML/CSS and jQuery is a plus, but not required.
Ability to work independently and complete assigned tasks within identified time frames
Quick Learner and Efficient
Able to work well under pressure
Knowledge of after effects is a plus
Experience with illustrations is a plus
Fluent English

What Can You Expect

Full remote Internship Opportunity - you can be based anywhere!
Multiple online training opportunities
Cultural events and wellness activities at Locations. Volunteering with Selina Gives Back; because sharing is caring
Huge Selina experience discounts on your stay, food & fun for you AND your friends & family (you can expect to become even more popular among your friends)
Have your birthday off",https://www.linkedin.com/jobs/view/externalApply/2452550078?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fselina%2Fjob%2Fo9dKefw4&urlHash=FzHl&refId=298b3d02-68dd-4d9e-a979-f8147a9da8e6&trackingId=tE6vv434hasP6jfX955ctg%3D%3D&trk=public_jobs_apply-link-offsite
"Intern, Graphic Design",United Way,"Remote, OR","About You

You believe in a culture of inclusive excellence and value the differences that make us each unique. You are professional and kind; curious and passionate about your work and studies; seek a stimulating and rewarding internship; and, sincere in your desire to help others. Join our internship program and gain valuable learning and working experience at a leading nonprofit organization.

About United Way Worldwide

United Way brings people, organizations, and communities together around a common cause, a common vision, and a common path forward. In many communities, we're the only nonprofit building up the cornerstones of education, financial stability and health—and the only nonprofit bringing people together from all walks of life to be a part of local solutions. We're engaged in nearly 1,800 communities across more than 40 countries and territories, where people are powering big ideas and big action by donating, volunteering and speaking out through United Way.

United Way Worldwide is located in Old Town Alexandria, VA. Our culture is People First—we take it seriously and, because of that, we take good care of people. We encourage growth and upward mobility—and want you to succeed in a diverse, inclusive, and ethical workplace. Take action, join our Internship—apply now.

Intern Experience At United Way Worldwide

Interns at United Way Worldwide gain valuable learning and working experience at a leading nonprofit organization. Our goal is to make every intern who works with us feel included, valuable, and productive. In addition to the hands-on experience you’ll receive working at the largest nonprofit in the world, you will be provided with weekly professional development workshops.

Applicant Requirements

The internship opportunities are open to current students of a college program, or within 2 years of graduating. Applicants must be eligible to work within the United States and have all documentation at the time of their application, including a Social Security Number.

POSITION DEPARTMENT

Creative Studios

Position Summary

United Way Worldwide is looking for a qualified intern to join our internal Creative Studios team. Our team supports internal clients from United Way Worldwide with creative projects that span across print, digital, and video. All design projects are required to adhere to the proper implementation of brand graphic standards.

Primary Projects

Interns can expect to work closely with the Creative Studio team and in tandem with internal clients on a variety of projects that may include:
Events, Website Development, Network Toolkits, Social Media, etc.
Intern will refine their design skills and learn hands-on about graphic design, digital asset management, video production and digital development in a fast-paced environment.


Required Skills
Passion to create on-brand, innovative designs for print and digital applications
Excellent design and software skills
Proficiency in the Adobe Creative Suite for digital and print design (InDesign, Illustrator, and Photoshop)
Proficiency in Microsoft Office Suite (Microsoft Word and Powerpoint)
Attention to detail
Interest in emerging web and digital technologies
Please have a portfolio of design samples to share for consideration


Preferred Skills
Knowledge of Digital Asset Management platforms and organization is a plus
Knowledge of HTML and CSS is a plus
Experience with animation or motion graphic design is a plus

PERKS
Weekly professional development workshops provided onsite
Chance to meet and work with top nonprofit experts in the country

LOCATION

This will be a 100% remote internship experience.

TIME FRAME

May 17 – August 6, 2021

EQUAL OPPORTUNITY EMPLOYER

United Way Worldwide seeks diverse, qualified professionals who want to make a difference in the world. We are an equal opportunity employer and recruit, employ, train, compensate, and promote qualified applicants without regard to race, color, religion, creed, disability, veteran status, marital status, age, sex (including pregnancy), sexual orientation, gender identity, gender expression, national origin or ancestry, genetic information, and other legally protected characteristics, in accordance with applicable laws. The EEO is the Law poster is available here: http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf. If you need a reasonable accommodation because of a disability for any part of the employment process, please e-mail aaron.gibson@uww.unitedway.org or call 571-360-6273 and provide the nature of your request and your contact information.

We are a charter member of Employers of National Service and encourage AmeriCorps, Peace Corps, and other national service alumni to apply.

DIVERSITY & INCLUSION STATEMENT OF PRINCIPLE

We take the broadest possible view of diversity.

We value the visible and invisible qualities that make you who you are.

We welcome that every person brings a unique perspective and experience to advance our mission and progress our fight for the health, education, and financial stability of every person in every community.

We believe that each United Way community member, donor, volunteer, advocate, and employee must have equal access to solving community problems.

We strive to include diversity, equity, and inclusion practices at the center of our daily work.

We commit to using these practices for our business and our communities.

Join us in embracing diversity, equity and inclusion for every person in every community.

LIVE UNITED.

Thank you for your interest in an internship opportunity with United Way Worldwide. You will be contacted if your qualifications are a good match and you are selected for an interview.",https://www.linkedin.com/jobs/view/externalApply/2486957897?url=https%3A%2F%2Fcareers%2Eunitedway%2Eorg%2Fjob%2Fintern-graphic-design&urlHash=9N70&refId=298b3d02-68dd-4d9e-a979-f8147a9da8e6&trackingId=BeFjOyLBaELQx%2BbTTtok0g%3D%3D&trk=public_jobs_apply-link-offsite
Marketing Design Intern (Summer 2021),Braze,"New York, NY","Who We Are

Braze delivers customer experiences across email, mobile, SMS, and web. Customers, including Seamless, HBO, Disney, Urban Outfitters, and Venmo, use the Braze platform to facilitate real-time experiences between brands and consumers in a more authentic and human way. And we do it at scale – each month, tens of billions of messages are sent to a network of over 2 billion active users through Braze.

Need more proof? Braze was named a Leader in the Gartner Magic Quadrant for Mobile Marketing Platforms in 2019 and the Forbes Cloud 100. The company has also been selected as one of Inc. Magazine’s Best Places to Work (2019 and 2020), and Crain's Best Places to Work in NYC (2019 and 2020).

What We're Looking For

We’re looking for a multifaceted, collaborative graphic design intern to work across a variety of marketing channels with a focus on digital marketing assets. You will partner with cross-discipline teams to activate the Braze brand voice and vision, driving sales of our innovative technology.

PLEASE NOTE: ONLINE PORTFOLIO REQUIRED

What You'll Do
Execute article graphics to be published on our site and promoted through social media.
Produce and polish presentations
Research competitive brands to help inform how we differentiate our visual aesthetic.
Assist in implementing brand standards and producing assets, such as sales sheets, emails and ad banners.
Assist with the graphic production of common libraries of assets and templates to make our output more efficient.


Who You Are

You have a strong attention to detail and you’re eager to help Braze achieve its mission and goals.
Available to commit to a 12 week internship, upon start date, up to 40 hours per week
Currently or recently enrolled in a 4 year university pursuing a degree in one of the related fields: Design, Communications, Marketing, or Advertising
Interested in pursuing a career in design across mediums
Knowledgeable of design software (Adobe Photoshop, Illustrator, InDesign, and AfterEffects, Keynote, Figma or Sketch, etc.)
Possess a portfolio that demonstrates versatility and a broad range of design knowledge and skills
Knowledgeable of website and mobile UI design fundamentals, including responsive best practices
Experience creating print materials for press and content-heavy, multi-page collateral
Exceptional attention to detail
Ability to prioritize tasks and juggle multiple projects
A self-starter with the ability to work independently and as part of a team
Prior internship experience in design or marketing strongly preferred


Bonus Points For
Proficiency with HTML, or Video Editing.
Proficiency with project management platforms like Asana, Trello or other.
Ability to illustrate abstract concepts.


What We Offer
Competitive compensation that includes equity
Generous time off policy to balance your work and life, including paid parental leave
Competitive medical, dental, and vision coverage for you and your dependents
Collaborative, transparent, and fun loving office culture

If you are a California resident subject to the California Consumer Privacy Act, click here to understand how Braze processes your personal information and how you can exercise your rights.

If you are located in the EU or UK visit our privacy policy to understand how Braze processes your personal information and how you can exercise your rights.",https://www.linkedin.com/jobs/view/externalApply/2464809543?url=https%3A%2F%2Fapp%2Egreenhouse%2Eio%2Fembed%2Fjob_app%3Ftoken%3D1455960%26gh_src%3Db73a210e1%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=oKZD&refId=298b3d02-68dd-4d9e-a979-f8147a9da8e6&trackingId=vYswxYKKq2Vf4HEnPKTAHA%3D%3D&trk=public_jobs_apply-link-offsite
Graphic Design Intern (Paid),Confidential,"New York, NY","Graphic Design Intern
Hi. We’re a Brooklyn-based creative agency seeking a part-time, paid design intern to join our team, working on social media projects for a major corporate client. We’re a small, creatively led agency, looking for a motivated intern who is ready to get involved with all aspects of the creative process, from concept to content creation, and grow and build new skills..

Job Responsibilities:
Partner with team to develop and design new content pieces; assist with in-house photography
Develop design layouts and detailed storyboards
Work with full creative team to brainstorm digital campaign and activation ideas
Work closely with team to ensure that projects are completed according to deadlines
 Skills and Experience:
Working towards a degree in Advertising, Communications, Fine Arts, Graphic Design, or related field, or equivalent experience
Creative thinking, graphic design and typography skills
Adobe Photoshop and Illustrator
Illustration or photography skills a plus
Passion for social media and emerging technologies and platforms
Collaborative and team oriented, but also capable of working independently
Willing to take on new challenges and learn new skills",https://www.linkedin.com/jobs/view/externalApply/2464809543?url=https%3A%2F%2Fapp%2Egreenhouse%2Eio%2Fembed%2Fjob_app%3Ftoken%3D1455960%26gh_src%3Db73a210e1%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=oKZD&refId=298b3d02-68dd-4d9e-a979-f8147a9da8e6&trackingId=vYswxYKKq2Vf4HEnPKTAHA%3D%3D&trk=public_jobs_apply-link-offsite
