title,company,location,requirements,link
Legal Intern,Chegg Inc.,"Providence, RI","Summer Legal Intern
Remote, United States

Your goal - to improve the education process and better the lives of students -- through interning in the Legal Department.

Organization: Legal Department

Role: Legal Intern

We are looking for a highly motivated self-starter to help us improve the education process and better the lives of all students. The Chegg legal team is looking for a dynamic and enthusiastic law school student to assist the legal department with various corporate legal projects and to learn how we operate.

Responsibilities
Assist with researching legal issues (including litigation), drafting contracts, creating legal policies and administrative duties
Assist with legal commercial and business projects
Provide general support to Chegg attorneys and paralegals
Collaborate with other team members on various projects as needed

Requirements
Currently enrolled as a 1L or 2L student in good standing at an ABA-accredited law school
Minimum 3.0 GPA
Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder)
Have the ability to work for 10 weeks in the summer
Have the ability to work 40 hours per week
Computer skills including Microsoft Word, Excel, and Outlook
Should have excellent research, writing, and interpersonal skills
Attention to detail, self-motivated, independent, organized and proactive
Able to multi-task and handle multiple assignments in a fast-paced environment
This position is perfect for someone looking to enter the corporate Legal environment. The possibility exists to extend the internship in the fall and spring semesters for law school credit.

Chegg out our intern program!

http://www.chegg.com/jobs/university

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/externalApply/2458240802?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OWTOEFWB%2F&urlHash=AOGw&refId=1fe94330-d8d5-467f-9eb7-54c49a8fb6fc&trackingId=4y0J7MlTlQorXLZiJUKSCQ%3D%3D&trk=public_jobs_apply-link-offsite
Legal Intern (Spring/Summer 2021),Notarize,"Boston, MA","At Notarize, we’re pulling the future closer. As the first company to complete a legal online notarization, online mortgage closing, online will, online auto sales, and countless other critical transactions, we’re proud of our role in bringing industries into the digital age.

Our business has grown exponentially (over 600%) in the past year, as companies in a wide variety of industries look to us to help their customers get crucial legal transactions processed remotely. We’ve been dealing with a number of challenging (but interesting!) scalability issues, as more and more global enterprise companies look to Notarize to help them speed up business processes and provide better customer service in a new, fully-remote world. We’re building the team that will operate a critical platform company in tomorrow’s economy. Come join us!

We’re looking for an intern to join our lean legal power team. In this role, you’ll work closely with our in-house legal team and other functional groups on a variety of legal issues. You’ll gain exposure to the inner workings of a legal team at a rapidly expanding startup SaaS company.

As Our Legal Intern, You Will
Aid in drafting and negotiating customer and vendor agreements including license agreements, non-disclosure agreements, master service agreements
Monitoring, and Researching state and federal law as they may relate to remote online notarizations and SaaS providers
Partnering with internal business partners to meet legal requests
Review and revise current company policies to ensure legal compliance & assist with due diligence requests

What We’re Looking For
Current enrollment in law school with 1+ years of program completed
Strong academic record
Strong written and verbal communication skills
Precise attention to detail
Motivation to learn and grow
Prior internship experience a plus
Exposure to SaaS/tech industry a plus

Position Logistics
Role is fully remote/work-from-home (within the continental United States)
Role pays $20/hour
Interns must be able to commit to 32-40 hours per week
Internship will begin ASAP and last through August 2021

Our Core Values
Solve Problems That Matter: We serve some of the most important moments in people's lives. It's a responsibility we embrace by focusing obsessively on the issues that will have a quantifiable impact on our customers and our company growth.
Yes Before No: We are optimistic about our ability to change lives by transforming outmoded processes. We believe our efforts can create a better future, and it is our attitude that will allow us to pull that future closer.
Start With Why: We don't presume to understand the intentions of the people around us, whether coworkers or customers. We ask honest questions and listen to feedback in order to gain insight, build trust, and create memorable experiences.
Stamp Together: We create a strong team and a welcoming workplace by valuing diverse perspectives. Every role in our organization is supported and valued equally, without regard to location or background.

Notarize is committed to building an inclusive environment for people of all backgrounds and everyone is encouraged to apply. We are an equal opportunity employer and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We'd love to hear from you.",https://www.linkedin.com/jobs/view/externalApply/2470549235?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fnotarize%2F8d92ea66-9e92-45ec-8131-379a4a1f7308&urlHash=rKeL&refId=1fe94330-d8d5-467f-9eb7-54c49a8fb6fc&trackingId=f1CuWi%2BkmhwSHDzY31S%2BEA%3D%3D&trk=public_jobs_apply-link-offsite
Legal Intern,Corsair,"Fremont, CA","Job Description

CORSAIR is looking for an energetic Legal Intern that will help the Legal Department in day-to-day activities. The legal intern will assist company attorneys by providing clerical and research support services including document preparation and review; interviewing clients and witnesses; research, investigations, and fact checking.

You Will
Research consumer law in Australia and China
Research consumer law in the EU
Research Trade Agreements Act (US)
Research DRAM class action settlement claim procedure
Compare GDPR & CCPA


You Are
Intellectually curious
Detail-oriented
Good communicator
Team player
Analytical


Who We Are

CORSAIR (NASDAQ: CRSR) is a leading global developer and manufacturer of high-performance gear and technology for gamers, content creators, and PC enthusiasts. From award-winning PC components and peripherals, to premium streaming equipment and smart ambient lighting, CORSAIR delivers a full ecosystem of products that work together to enable everyone, from casual gamers to committed professionals, to perform at their very best.

CORSAIR also includes subsidiary brands Elgato, which provides premium studio equipment and accessories for content creators, SCUF Gaming, which builds custom-designed controllers for competitive gamers, and ORIGIN PC, a builder of custom gaming and workstation desktop PCs and laptops

We will have two cohort tracks that you may choose from that span a 12-week period:
May 26th to August 18th, 2021
June 16th to September 8th, 2021


Internship Requirements
You are actively enrolled as a full-time student in an accredited institution and have completed at least one year of education.
You are pursuing either an Associate’s, Bachelor’s, Master’s, or Doctorate Degree, and returning for at least a final term following the summer internship.
You are able to fully commit to one of the two 12-week (40 hours per week) internship cohort tracks.
You must be at least 18+ years of age at the start of the internship.

We have many intern openings in a variety of departments, check them all out to see which suits your interests and professional development the best at corsair.com/careers.",https://www.linkedin.com/jobs/view/externalApply/2475141226?url=https%3A%2F%2Fedix%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%23%2Fjob%2F5936%2F%3Futm_medium%3Djobshare&urlHash=lwKv&refId=1fe94330-d8d5-467f-9eb7-54c49a8fb6fc&trackingId=%2BkpvQqgDpS7wYnqOqhAO2A%3D%3D&trk=public_jobs_apply-link-offsite
"STARZ - Intern, Legal",Lionsgate,"Santa Monica, CA","Position Description

Lionsgate/STARZ is seeking a virtual legal intern for Summer 2021. This intern will be supportingthe legal and business affairs team with contract analysis and comparative review for the international distribution of STARZPLAY.

Responsibilities
Review and analyze content distribution contracts for STARZPLAY
Review and summarize contract terms to create deal summaries
Assist in development and updating of standard agreements, forms and procedures
Provide research assistance
Participate in special projects and assist with ad hoc legal matters


Qualifications
Must be in first or second summer at ABA-accredited law school
Excellent verbal and written communication skills
Strong interest in media/television industry
Strong time management, organization and prioritization skills


Internship Details

Lionsgate Virtual Remote Internship Program –Summer 2021

Program Dates: June 21st–August 27th, 2021

The Lionsgate Internship Program is designed to identify, recruit and develop a diverse group of students that will gain meaningful educational experiences, professional growth and career opportunities.

Lionsgate has remote/virtual positions available within the United States to qualified individuals who live in certain areas of the United States. Remote opportunities are not available in all areas--specific questions about virtual/remote positions will be discussed during the interview process with your recruiter.**

Please read the following information carefully before submitting an application.

Important Dates

The Lionsgate Summer 2021 Internship program dates are: June 21st–August 27th, 2021.

All interns are required to attend orientation on Monday, June 21st, 2021.

Details
All internships will be virtual and remote
Interns can work a minimum of 30 hours/week and up to a maximum of 40 hours/week
Must be actively enrolled in an accredited college or university and pursuing an undergraduate or graduate degree during the length of the program
Interns must be current rising juniors through recent grads (within 6 months of internship start date)
Graduate students are eligible to apply
Interns must be available to work for the entire length of the program
All internships are paid


To Apply

All candidates must submit a resume (PDF preferred) toyour preferred area(s) of interest. The program offers internship opportunities in many departments, so candidates applying should keep in mind that they may be considered for departments not listed.
Submit a 1-paged resume (PDF preferred)
Submit a cover letter (Optional)
Explain why your background and experience make you a great fit for Lionsgate & Starz


About The Company

Starz (www.starz.com), a Lionsgate company (NYSE: LGF.A, LGF.B), is a leading global media and entertainment company that produces and distributes premium streaming content to worldwide audiences across subscription television platforms. Starz is home to the flagship domestic STARZ® brand, STARZ ENCORE, 17 premium pay TV channels and the associated on-demand and online services, including the highly rated STARZ app. With the launch of the STARZPLAY international premium streaming platform and STARZ PLAY Arabia, Starz is expanding its global footprint in a growing number of territories. Sold through multichannel video distributors, including cable operators, satellite television providers, telecommunications companies, and other online and digital platforms, Starz offers subscribers more than 7,500 distinct premium television episodes and feature films, including STARZ Original series, first-run movies and other popular programming.

Business Unit Overview

Starz
With the Company aligning its studio operations behind the growth of its streaming business, Starz has become one of the pre-eminent modern premium global streaming platforms. Offering subscribers more than 7.500 television episodes, including Starz original series and provocative documentaries, along with a broad catalogue of first-run movies, Starz is taking the lead in delivering relatable premium content that makes it the platform of choice among a wide spectrum of female, African-American and other historically underserved audiences. Its focused brand, premium content and freedom from legacy relationships position Starz at the forefront of the new bundles emerging throughout the media ecosystem, a compelling value proposition to complement virtually every kind of subscription platform.

Distinguished by its successful and focused content strategy, top programming, exceptional curation and speed to market, Starz has quickly scaled its platform to become one of the most widely distributed and fastest-growing OTT services in the world, with OTT subscribers making up more than half of its global subscriber base. The Starzplay International premium subscription service offers a “best of global SVOD” content portfolio in more than 50 countries throughout Europe, Latin America, Canada, Japan and India through a bespoke and expanding network of distribution partners. The Starzplay Arabia joint venture is one of the leading SVOD operators in the fast-growing Middle East and North Africa region. The proprietary and highly-rated Starz app, a proven hit with U.S. audiences, continues to roll out internationally.

EEO Statement

Lionsgate is an equal employment opportunity employer. All employees and applicants are evaluated on the basis of their qualifications, consistent with applicable state and federal laws. In addition, Lionsgate will provide reasonable accommodations for qualified individuals with disabilities. Lionsgate will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable state and federal law.",https://www.linkedin.com/jobs/view/externalApply/2469890234?url=https%3A%2F%2Fjobs%2Elionsgate%2Ecom%2FStarz%2Fjob%2FSanta-Monica-STARZ-Intern%252C-Legal-CA-90404%2F724981600%2F%3Flocale%3Den_DEBUG&urlHash=scbU&refId=1fe94330-d8d5-467f-9eb7-54c49a8fb6fc&trackingId=5T8KUeavBRnzHaoxvdteLA%3D%3D&trk=public_jobs_apply-link-offsite
Intern - Legal,Federal Reserve Bank of Boston,"Boston, MA","Job Summary

Job Description

This summer term full-time clerkship is an opportunity to gain public service experience and be part of the in-house legal team at the Federal Reserve Bank of Boston. We are seeking a law student who is eager to deepen their understanding of the Federal Reserve System, the central bank of the United States. The intern will be exposed to multiple internal client departments as well as different areas of the legal practice within the Federal Reserve Bank of Boston.

Job Description

This position is responsible for conducting legal research; drafting legal memoranda; supporting the in-house functions of the Federal Reserve Bank of Boston; and interacting with members of the legal department and participating in meetings.

Principal Accountabilities
Research and analyze various legal resources and authorities, e.g. case law, statutes and regulations, regulatory guidance, congressional/legislative history, and legal treatises.
Track and/or monitor pertinent legislation, legislative and regulatory developments, media/press reports and information, and cases; report as requested or assigned.
Handle personal and confidential material.
Prepare legal memoranda, reports, and varied other written documentation, properly and thoroughly citing sources/legal authority.
Relay and discuss legal information, and research results and analysis, to Legal Department colleagues and clients, both face-to-face and as otherwise may be requested or appropriate.
Attend select legal conference calls, meetings, seminars and webinars on pertinent topics and provide notes or de-briefings as requested or appropriate.
Other Accountabilities

Perform other duties as assigned.

Supervision

This position is not required to directly supervise other employees.

Knowledge And Experience

Applicants must have completed their first year of law school by the beginning of the internship, which is typically in late May. Applicants must generally be available for web-based videoconference interviews during January and February of 2021, which will likely be conducted via WebEx.

Candidates must supply a cover letter, résumé, and transcript. Undergraduate transcripts are acceptable if first-semester law school grades are not yet available, but all applicants must submit first-semester law school transcripts as soon as they are available.

Applicants should have outstanding academic records, evidence of strong research and writing skills, an interest in and commitment to public sector employment, maturity, and personal achievement.

The Federal Reserve Bank of Boston is committed to a diverse and inclusive workplace and to provide equal employment opportunities to all persons without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, age, genetic information, disability, or military service.

All employees assigned to this position will be subject to FBI fingerprint/ criminal background and Patriot Act/ Office of Foreign Assets Control (OFAC) watch list checks at least once every five years.

The above statements are intended to describe the general nature and level of work required of this position. They are not intended to be an exhaustive list of all duties, responsibilities or skills associated with this position or the personnel so classified. While this job description is intended to be an accurate reflection of this position, management reserves the right to revise this or any job description at its discretion at any time.

Job Qualifications

Federal Reserve Bank of Boston

Primary Location

MA-Boston

Full-time / Part-time

Full-time

Employee Status

Temporary

Overtime Status

Non-exempt

Job Type

Internship

Travel

No

Shift

Day Job

Job Sensitivity

Tier II CC@Hire/No CC@Rescreen",https://www.linkedin.com/jobs/view/externalApply/2445338906?url=https%3A%2F%2Ffrb%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3D267102%26lang%3Den&urlHash=4GJX&refId=1fe94330-d8d5-467f-9eb7-54c49a8fb6fc&trackingId=AnxIDOQj6p6aHgY1bSamHQ%3D%3D&trk=public_jobs_apply-link-offsite
"Legal Intern, Penguin Random House",Penguin Random House,"New York, NY","Legal Intern, Penguin Random House

Discover career opportunities in our LEGAL department as a Legal Intern .

The Penguin Random House (PRH) Legal Department is seeking a first-year law student for its Summer 2021 Legal Internship

Who We Are

Our dedicated team of publishing professionals is committed to helping authors realize their very best work and to finding innovative new ways of bringing stories and ideas to audiences worldwide. Find your story in our books!

INTERNSHIP PROGRAM

Penguin Random House offers 10-week remote paid internship opportunities available in our adult, children’s, and corporate divisions, this falling in the latter. Interns will be exposed to a variety of legal disciples, including defamation, copyright, right of publicity, privacy, trademark, and commercial law. They will be asked to conduct legal research, review books for legal concerns, draft contracts, and assist PRH’s legal team in tackling the variety of challenges associated with being a global publisher.

Program Dates: June 7, 2021 - August 13, 2021

Eligibility Requirements

To be eligible, you must be a first-year law student. You must be located in the US during the dates of the program.

APPLICATION DEADLINE: APRIL 18 TH 2021 at Midnight EST

To apply, applicants should attach a resume, law school transcript, and a cover letter extolling their love of books and/or desire to defend free speech.

Penguin Random House is the leading adult and children’s publishing house in North America, the United Kingdom and many other regions around the world. In publishing the best books in every genre and subject for all ages, we are committed to quality, excellence in execution, and innovation throughout the entire publishing process: editorial, design, marketing, publicity, sales, production, and distribution. Our vibrant and diverse international community of nearly 250 publishing brands and imprints include Ballantine Bantam Dell, Berkley, Clarkson Potter, Crown, DK, Doubleday, Dutton, Grosset & Dunlap, Little Golden Books, Knopf, Modern Library, Pantheon, Penguin Books, Penguin Press, Penguin Random House Audio, Penguin Young Readers, Portfolio, Puffin, Putnam, Random House, Random House Children’s Books, Riverhead, Ten Speed Press, Viking, and Vintage, among others. More information can be found at http://www.penguinrandomhouse.com/ .

Penguin Random House values the array of talents and perspectives that a diverse workforce brings. All qualified applicants will receive consideration for employment without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or protected veteran status.

Company: Penguin Random House LLC

Country: United States of America

State/Region: New York

City: New York

Postal Code: 10019

Job ID: 134321

134321 Penguin Random House LLC

Date: Mar 18, 2021

Location:
New York, NY, US, 10019

Nearest Major Market: Manhattan
Nearest Secondary Market: New York City
Job Segment: Intern, Book Publishing, Law, Summer Internship, Entry Level, Research, Publishing, Legal",https://www.linkedin.com/jobs/view/externalApply/2467428412?url=https%3A%2F%2Fjobsearch%2Ecreateyourowncareer%2Ecom%2FPRH_US%2Fjob%2FNew-York-Legal-Intern%252C-Penguin-Random-House-NY-10019%2F659715201%2F%3Futm_source%3DLILimitedListings&urlHash=EU3W&refId=1fe94330-d8d5-467f-9eb7-54c49a8fb6fc&trackingId=uVNsq0%2Fg%2BWjiVNSQ11j1eA%3D%3D&trk=public_jobs_apply-link-offsite
Spring 2021 Legal Intern,Sesame Workshop,"New York, NY","Sesame Workshop seeks a Spring 2021 Legal Intern. The legal intern would work alongside nine attorneys on a variety of matters including those related to television development and production, digital and consumer products licensing, product safety, events, marketing, publishing, advocacy, philanthropy and social impact initiatives.

Requirements

The legal intern should have a foundation and interest in intellectual property, entertainment, corporate, and non-profit law. Candidates should be intellectually curious, flexible, and interested in transactional law. Candidates should also possess a passion to learn from and contribute to an incredibly active in-house legal team with unique, challenging and exciting matters.

Responsibilities

Under the guidance and supervision of the Sesame Workshop attorneys, the legal intern may:
Provide support for Sesame’s anti-counterfeit program, including managing takedowns, and negotiating and drafting settlement agreements
Review and draft varying documents including license agreements, third party correspondences, and vendor agreements
Draft memoranda on various areas of law
Provide research and other assistance on various projects as needed


Work Schedule

Interns will be expected to work a maximum of 35 hours per week for approximately 15 weeks. The work hours and duration of the internship are flexible as we will work around your school schedule. Ideal candidate is open to working the Summer semester as well, however, an extension will be offered in Sesame Workshop’s sole discretion. The position is a remote work position.

Please Note

Applicants must have the legal right to work in the United States and must be currently enrolled in an accredited law school. Receiving school credit for this internship is optional. Due to the high volume of applications, we are unable to notify unsuccessful candidates.",https://www.linkedin.com/jobs/view/externalApply/2458020548?url=https%3A%2F%2Fjsco%2Ere%2F9mzca&urlHash=16uZ&refId=1fe94330-d8d5-467f-9eb7-54c49a8fb6fc&trackingId=WnLoz7zJLH1zizkc4PfVaQ%3D%3D&trk=public_jobs_apply-link-offsite
Legal Intern,Unite Us,"New York, NY","Who we are:

As our co-founders transitioned from military to civilian life, they encountered barriers and inefficiencies navigating the most basic health and social services. Together, they set out to improve that experience for others. Recognizing that social care is essential for better health outcomes, they embarked on a mission to connect people to the care they need, when they need it, in communities across the country. Unite Us has developed an intuitive and seamless technology solution that goes beyond the traditional referral method. We work side-by-side with local organizations, and track data and outcomes to build coordinated care networks that support all aspects of community health. Unite Us is boldly changing the nation's care delivery system. If you want to do well and do good, join Unite Us– we can build healthier communities together.

Description:

The Legal team at Unite Us handles all legal matters on behalf of the company, including contracting with customers, vendors, and other partners, intellectual property strategy, product counseling and together with the Head of Compliance, all privacy and information security related matters.

What You'll Do:

The legal intern will assist the Legal team in conducting research on key legal matters, reviewing contracts with support from the team, evaluating and recommending potential improvements to our legal operations and systems, and will generally be able to learn about the types of legal issues facing a growth stage technology company.

What's Required:

At least 1 year of law school
Interest in corporate law, healthcare or working at a growth stage company

Environmental Job Requirements & Working Conditions:

This position is based in NYC

Unite Us is committed to building a diverse team and fostering an inclusive culture, and is proud to be an equal opportunity employer. We embrace and encourage our employees' differences in race, religion, color, national origin, gender, family status, sexual orientation, gender identity, gender expression, age, veteran status, disability, pregnancy, medical conditions, and other characteristics. If you require assistance in applying for open positions due to a disability please email us at peopleops@uniteus.com to request an accommodation.",https://www.linkedin.com/jobs/view/externalApply/2486989538?url=https%3A%2F%2Fgrnh%2Ese%2Fbe023f702us&urlHash=ZCOM&refId=1fe94330-d8d5-467f-9eb7-54c49a8fb6fc&trackingId=eWroPUKE195dTCibPC7QGQ%3D%3D&trk=public_jobs_apply-link-offsite
Legal Intern (Summer 2021),Zynga,"San Francisco, CA","Description

Position at Zynga

Please note, this role will be virtual for Summer 2021. All interested candidates are encouraged to apply!

Zynga is a leading developer of the world’s most popular social games that are played by millions of people around the world each day. To date, more than 1 billion people have played our games across web and mobile, including Words With Friends, FarmVille, Zynga Poker, Merge Dragons, Empires & Puzzles, and CSR2.

Zynga is searching for stellar 1Ls to join its legal team for the summer!

Our products are global, cross-platform, and most of all, fun. And so is our legal department. As a legal intern, you will have the opportunity to gain exposure to all aspects of our in-house legal work, including corporate, commercial, intellectual property, privacy, product, litigation, employment and more. Level up your legal career with Zynga!

What We Are Looking For
Smart, energetic, fun, and flexible current 1L students who can commit to a minimum of 10 weeks this summer
Prior work experience preferred
Excellent written and verbal communication skills
Team attitude that no job is too big or too small
Strong enthusiasm for playing, studying, analyzing and learning about video games, game development, and the gaming industry

What We Offer You
Paid internship with interesting work, fun activities, and a rock star legal team
Culture of diversity and inclusion including employee resource groups
Work with cool people and impact millions of daily players

To Apply

Please submit your resume, cover letter, and transcripts (undergraduate and law school – unofficial is fine).

Zynga is an equal opportunity employer. We are proud of our diverse community; we do not discriminate on the basis of race, sex, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, medical condition, disability, or any other class or characteristic protected by applicable law. We welcome candidates, players, employees, and partners from all backgrounds. Join us!

Zynga will consider for employment all qualified applicants with criminal histories in a manner consistent with applicable law. Zynga is committed to providing reasonable accommodation to applicants with disabilities. If you need an accommodation during the interview process, please let us know.",https://www.linkedin.com/jobs/view/externalApply/2469535877?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fzynga%2Fjob%2Fog3vdfwL%3Fs%3DLinkedIn%26__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=X87e&refId=1fe94330-d8d5-467f-9eb7-54c49a8fb6fc&trackingId=iusJvGQ36q9syu10nL5ZCA%3D%3D&trk=public_jobs_apply-link-offsite
Graduate Intern - Legal,Port of Seattle,"Seattle, WA","This position meets the Essential Critical Infrastructure Workers criteria for Washington State. During the “Stay Home, Stay Healthy” order, most of this work can be performed remotely. Social distancing and personal protective equipment guidelines will be followed when required to work onsite.
The legal intern will support the Port’s Legal Department on a wide array of legal projects and tasks.
Some of your essential duties include:
- Carry out legal research projects, draft legal memoranda, assist in document production for litigation or public disclosure, perform other litigation assistance as necessary, and carry out legislative history research.
- If the intern is available and the Port deems it desirable, the internship may be extended through the intern’s third law school year, with the expected work at 10-15 hours per week.",https://www.linkedin.com/jobs/view/externalApply/2482500315?url=https%3A%2F%2Faa243%2Etaleo%2Enet%2Fcareersection%2Fjobdetail%2Eftl%3Fjob%3D000206&urlHash=I-qc&refId=1fe94330-d8d5-467f-9eb7-54c49a8fb6fc&trackingId=KOfqJ5syDCxSiC%2FMYSs5fA%3D%3D&trk=public_jobs_apply-link-offsite
