title,company,location,requirements,link
Social Media Intern,Saks OFF 5TH,"New York, NY","What This Position Is All About

The Social Media Intern, reporting to the Manager, will be responsible for supporting the Social Media Team in everyday initiatives relating to the Saks OFF 5TH social channels.

The Social Media Intern will help with content creation, image selection, and reporting and analytics. The ideal candidate will have a positive attitude, a creative eye and exceptional writing skills, all while being detail-oriented, results-driven, organized, and a dependable team player.

This is a part-time internship (20-25 hours per week) between Monday through Friday with no determined end date. There is schedule flexibility based on the Intern’s class schedule and the Intern has the option to work remotely.

Who Are You
Strong verbal and writing skills
Strong time and project management with exceptional attention to detail
Demonstrated ability to handle multiple projects simultaneously and meet tight deadlines
Self-motivated, proactive, and energetic individual with a high level of initiative and thrives working a fast-paced, challenging digital environment


You Also Have
Basic knowledge/background of e-commerce, social media marketing, and best practices
A third or fourth year student pursuing a Bachelor’s Degree in Marketing or Communications
Strong proficiency in Excel (including creating Pivot Tables/formulas), Word, and PowerPoint
Basic Adobe Photoshop experience would be a plus
Availability to work 20-25 hours per week, Monday through Friday (there is schedule flexibility based on class schedule and the option to work remotely).


As The Social Media Intern, You Will
Own our content calendar across all existing social media channels & manage postings.
Manage all projects and process docs to ensure streamlined workflow between social and internal departments.
Develop an optimal posting schedule, considering web traffic & customer engagement metrics.
Own community management responding to comments & actively engaging with customers & influencers posts.
Pull and analyze platforms’ reporting and analytics
Research best practices and industry insights, and proactively recommend best practices
Stay abreast of changes in all social platforms ensuring maximum effectiveness.
Build strong relationships with both external social media vendors and internal departments (i.e. Creative, Merchandising, Site Team, etc.)
Managing and monitoring all local Saks OFF 5TH social channels across Facebook and Instagram
Provide weekly recaps and insights on page performances to help optimize local strategy
Additional responsibilities as required


Your Life And Career At Saks OFF 5TH
Be part of an empowered, innovative team; work with an adventurous spirit and a customer-centric mindset; play a critical role in making decisions that will position us to win
Exposure to rewarding career advancement opportunities across different functions within our corporate offices, retail stores, photo studios, and distribution centers
A culture that promotes a flexible work environment
Benefits package for all eligible full-time employees (including medical, dental and vision)
An amazing employee discount and other exciting perks


Thank you for your interest with Saks OFF 5TH. We look forward to reviewing your application.

Saks OFF 5TH provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Saks OFF 5TH complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Saks OFF 5TH welcomes all applicants for this position. Should you be individually selected to participate in an assessment or selection process, accommodations are available upon request in relation to the materials or processes to be used.",https://www.linkedin.com/jobs/view/externalApply/2473692454?url=https%3A%2F%2Fwww%2Ecareershbc%2Ecom%2Fen%2Fjob%2F210001AH%2FSocial_Media_Intern%3Fsrc%3DSNS-102&urlHash=Pl0Z&refId=4221e7ee-b79d-45a6-a969-0275b69c54e2&trackingId=eTotNFNknJGNp8lNpot9sw%3D%3D&trk=public_jobs_apply-link-offsite
Brand Project Intern,Ubisoft,"San Francisco, CA","Company Description

Ubisoft is composed of over 18,000 talented people located in 55+ development studios and offices across the globe. With more than 80% of our teams dedicated to creation, Ubisoft is the biggest in-house creative force in the industry.

Home to the North American Ubisoft headquarters since 1996, Ubisoft San Francisco opened its development studio in 2009 and since developed Rocksmith® and Rocksmith 2014, to teach millions of people how to play guitar and bass. With a song library of over 1,500 songs and 9 years of support the Rocksmith franchise helped millions of players around the world on their musical journey. In 2017, the studio released the critically acclaimed South Park™: The Fractured But Whole™, in collaboration with Trey Parker, Matt Stone, and South Park Digital Studios. The studio is currently working on two unannounced projects.

Ubisoft’s worldwide network of video game development studios and business offices work hand-in-hand each day to deliver rich and innovative gaming experiences that reflect the creativity and diversity of their teams. This cross-studio collaboration model means every team member has the opportunity to participate in challenging projects based on iconic brands including Assassin's Creed®, Tom Clancy's Rainbow Six Siege®, Tom Clancy's The Division®, For Honor®, Rabbids®, Rayman®, Watch Dogs®, Far Cry®, The Crew®, Just Dance® and more. Ubisoft is a global leader in the video games and entertainment software industry.

With an expansive global distribution network, Ubisoft is also a company that stays in close contact with its local fans.

Ubisoft is committed to enriching player’s lives with original and memorable gaming experiences. We create worlds where people can express themselves, explore and discover new possibilities.

Are you looking to work with enthusiastic experts who are tackling game-changing challenges in entertainment and beyond? At Ubisoft, we offer an open environment where bright ideas are given a chance to shine and everyone is eager to share knowledge.

Join a great place to work and shape the future of games. Join us and create the unknown.

Job Description

Our Brand Project Management team is currently seeking a paid intern to join our Marketing & Consumer Experience division. As a Brand Project Intern, your primary job is to provide administrative project support to the Brand Project Management team. The ideal candidate is well-organized, curious, motivated, and has a genuine interest in video games. This person will learn the business processes for marketing activities from a large market publisher. This position will report to the manager of the Brand Project Management team.

WHAT YOU""LL DO
Creating skeleton requests for creative assets, as instructed by the Brand Project Manager.
Maintain the hygiene of our internal marketing folders for your product(s).
Track assets for distribution to our Canadian and Latin American offices.
Facilitate creative asset deliveries to 1st Party Publishers, Vendors, and Online Storefronts
Track assets in production with studios, agencies, or Ubisoft Creative Services.
Assist with reviewing our online retail sales channels for accuracy and completeness.
Assist with coordinating meetings.
At the direction of your manager, fulfill cross functional department requests.

Qualifications

WHAT YOU'LL BRING
Able to work on a Mac.
Have obtained or is currently pursuing a degree in marketing, communications, or business.
Familiar with all social media channels and their content publishing processes.
Basic understanding of file types like .aep, .psd, .psb, .mov, .jpg, .png. Basic understanding of video compression.
Ability to learn the basics of JIRA, Confluence, and Smartsheet quickly.
Ability to prioritize and handle multiple projects simultaneously.
Adaptability to changing priorities and deadlines.
Thrives in a fast-paced environment and demonstrates strong judgement.
Experience in a marketing environment/creative organization/production house is a plus.
General knowledge of production and creative terminology as it relates to print, TV, online, etc. is a plus.

Additional Information

Ubisoft is committed to creating an inclusive work environment that reflects the diversity of our player community. We are an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to their race, ethnicity, religion, gender, sexual orientation, age or disability status.

Skills and competencies show up in different forms and can be based on different experiences, that's why we strongly encourage you to apply even though you may not have all the requirements listed above.

At Ubisoft, you can come as you are. We embrace diversity in all its forms. We’re committed to fostering a work environment that is inclusive and respectful of all differences.",https://www.linkedin.com/jobs/view/externalApply/2485970571?url=https%3A%2F%2Fjobs%2Esmartrecruiters%2Ecom%2FUbisoft2%2F743999741188401-brand-project-intern&urlHash=Ts_O&refId=4221e7ee-b79d-45a6-a969-0275b69c54e2&trackingId=4RYGFw5vNVZuhNmApqYHsg%3D%3D&trk=public_jobs_apply-link-offsite
Marketing Intern,FINE,"Portland, OR","Various paid marketing tasks (working with Northview)

Other duties as assigned

Apply for this Position

Thank You
Your application was submitted successfully.

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number ""63879"". Message & data rates may apply. Please refer to our privacy policy for more information.",https://www.linkedin.com/jobs/view/externalApply/2488563492?url=https%3A%2F%2Ffine%2Etalentify%2Eio%2Fjob%2Fmarketing-intern-portland-oregon-fine-67%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DaDM1LGozeDk2dixlcHJvNjA2OGMxOTM1ODk4OTUyODg0ODIyNA&urlHash=NyZb&refId=4221e7ee-b79d-45a6-a969-0275b69c54e2&trackingId=GRoYAxYhYk6uSX6kUUGjjQ%3D%3D&trk=public_jobs_apply-link-offsite
Brand Marketing Intern (Summer 2021),Hasbro,"Pawtucket, RI","At Hasbro, we’re changing the face of play and entertainment. We’re looking for people who want to explore, experiment and innovate to come up with the best ideas. Our culture of Community, Passion, Integrity, Creativity and Inclusion has inspired our diverse team of highly skilled, highly creative and highly committed individuals for 90+ years and we believe the best is yet to come.

Imagine an internship where work feels like play – it’s fun, creative, challenging, and incredibly rewarding. At Hasbro, you work with an amazing team to help tell the world about the most beloved play brands by using a digital first mindset that bring our story driven play experiences to consumers around the world.

Everyday you’ll be working with digital first thinkers, innovative consumer marketers, and brilliant brand developers! You’ll help to manage global product development, marketing processes, line planning activities, and social strategies. In this exciting role, you will partner with cross-functional teams; including but not limited to regional or global marketing, design and development, packaging, engineering, demand planning, and costing on all phases of product development. You will assist on all consumer facing marketing activities such as advertising, communication, YouTube and other social strategies. Successful candidates are proactive, energetic, collaborative, responsive, flexible, creative, analytical, strategic and decisive.

What You’ll Do And What You’ll Learn
Partnering with cross-functional teams to execute key brand initiatives, including finding innovative ways to grow the business.
Using social insights to help drive product innovations through the system to better meet consumer demands.
Leveraging creative thinking and consumer insights to drive product innovations and better meet/exceed consumer demands.
Assisting in the development of overall go-to-market product strategy, primary assets for advertising and other marketing communications.
Applying consumer insights and competitive market expert segment and leveraging learnings on the product line.
Aligning best in class content and storytelling with strong commercial plans.


What You’ll Bring
Digitally savvy, (product development, consumer marketing, retail)
Presentation skills: can deliver complex information in a compelling way, uses story to persuade audience; captures interest, engages audience, uses supporting points to influence
Data analysis: can make sense of quantitative and qualitative information affecting the brand; exposure to Tubular, Net Base, etc. a plus


This Opportunity Is For You If

You are a marketing undergrad currently enrolled in classes or MBA Marketing student looking to work on iconic brands. May 2021 or earlier graduates are no longer elible for Hasbro internship opportunities.
You are keenly aware of the world around you, and love to learn from it
You thrive on figuring things out and making things happen
You are trend savvy and think broadly about competitive sets
You have an entrepreneurial spirit, but know how to leverage it within a corporate environment
You are comfortable experimenting, taking risks and challenging the status quo
You actively seek, and offer diverse points of view
Remote candidates in the US may be considered


About Hasbro

Hasbro (NASDAQ: HAS) is a global play and entertainment company committed to Creating the World's Best Play and Entertainment Experiences . From toys, games and consumer products to television, movies, digital gaming, live action, music, and virtual reality experiences, Hasbro connects to global audiences by bringing to life great innovations, stories and brands across established and inventive platforms. Hasbro’s iconic brands include NERF, MAGIC: THE GATHERING, MY LITTLE PONY, TRANSFORMERS, PLAY-DOH, MONOPOLY, BABY ALIVE, POWER RANGERS, PEPPA PIG and PJ MASKS, as well as premier partner brands. Through its global entertainment studio, eOne, Hasbro is building its brands globally through great storytelling and content on all screens. Hasbro is committed to making the world a better place for all children and all families through corporate social responsibility and philanthropy. Hasbro ranked among the 2020 100 Best Corporate Citizens by 3BL Media, has been named one of the World’s Most Ethical Companies® by Ethisphere Institute for the past nine years, and one of America’s Most JUST Companies by Forbes and JUST Capital for the past four years. We routinely share important business and brand updates on our Investor Relations website, Newsroom and social channels (@Hasbro on Twitter and Instagram, and @HasbroOfficial on Facebook.)

© 2020 Hasbro, Inc. All Rights Reserved.",https://www.linkedin.com/jobs/view/externalApply/2455491704?url=https%3A%2F%2Fjobs%2Ehasbro%2Ecom%2Fjob%2FPawtucket-Brand-Marketing-Intern-%2528Summer-2021%2529-Rhod-02861%2F712628000%2F%3Futm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=1eZ5&refId=4221e7ee-b79d-45a6-a969-0275b69c54e2&trackingId=jC9nZX9z%2F2tmjQXcWJ1UCQ%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern 2021,Supermajority,"New York, NY","Position Summary

Women are on the cusp of becoming the most powerful force in America. But to fundamentally transform this country, we need to pull together the millions of women who are already engaged and amplify and expand their civic engagement. Supermajority Education Fund is building women's power across the country by training and mobilizing a multiracial, intergenerational community who will lead the fight for gender equity. We provide women with the tools, resources, and knowledge they need to channel the energy and activism of this moment and build it into a long-term movement for change.

Since our founding in April 2019, Supermajority Education Fund and our related 501(c)(4) organization, Supermajority, have reached more than a million women through in-person conversations and online outreach. In August 2019, over 75,000 people from all 50 states completed our Women's* Poll, which led to the creation of the Majority Rules, a set of values to help us build the country we deserve. In September and October 2019, the Supermajority Education Fund Bus Tour met up with thousands of women across fourteen states. In December 2019 welcomed Pantsuit Nation, an online community of more than 3 million women and allies, into our organization. In 2020, we ran the country's largest woman-to-woman voter engagement program by offering strategic digital tools, training, and information to women and allies around the country. In 2021, we are continuing the work of engaging and mobilizing women across the country, in the wake of the coronavirus pandemic and it's disproportionate impact on women, specifically women of color.

Supermajority Education Fund is seeking two Social Media Interns who will support the Social Media Manager with daily execution of Supermajority Education Fund's social media platforms and with executing a small network of partner creators. All duties can be conducted virtually during the COVID-19 pandemic.

Responsibilities And Tasks

The Social Media Interns will be responsible for the following responsibilities:
Drafting, scheduling and posting social media content for Supermajority's social channels in daily collaboration with the Social Media Manager
Provide community management support on our social channels by responding to replies/direct messages, liking and commenting across channels and replying to partners/aligned activists
Being a thought partner with fellow members of the Communications and Brand team in brainstorming content ideas and content execution
Working across Supermajority's Communications and Brand team to execute content including aligned partner activations, breaking political/policy news and recruitment for events and other volunteer opportunities
Assisting the team with research, operations and administration, as needed

Required skills, knowledge, and qualifications:
Knowledge of and demonstrated proficiency in social channels: including but not
limited to Facebook, Twitter, Instagram, TikTok, Youtube and Clubhouse. Expertise in one particular social media channel over others is great as well!
Strong writing and social skills: is able to consolidate information for digital copy and will ask questions and for help when needed
Strong virtual communication and collaboration skill: Comfort with (or willingness to learn) daily interactions within Slack, Google Suite -- is responsive via email, and willingness to participate in group calls as their schedule permits.
Curiosity about politics, emerging technology and social media trends: and is excited to dig into ways to creatively engage young women and women of color with audience-first content that speaks to their lives and journeys on Day 1
Working for racial equity: Willingness to integrate an understanding of key racial equity concepts into work projects and interactions by addressing structural implications and disproportionate impacts of policies, activities, and decisions on race, class and other group identities within the context of the internship's responsibilities and projects

The strongest candidates will also have some of the following skills and experience:
Familiarity with Supermajority Education Fund's mission and brand and/or has an invested interest in building women of color's power and voice online
Familiarity with Instagram: Highlights, Stories, Reels, Guides and/or Lives.
Beginners experience with Excel, Powerpoint and/or Canva -- OR a strong willingness to gain skills in these areas
A beginners understanding of using Photoshop, Indesign, video editing and/or social-first video content creation -- OR a strong willingness to gain skills in these areas
Experience creating TikToks and a working knowledge of TikTok trends, top creators and algorithm


Compensation
Hourly rate for this position is $15/hour, 20 hours per week.


How To Apply

Please submit a resume by Friday, April 16th via the link above. Candidates may be asked to submit writing samples and/or complete a written assessment as part of the interview process. Applications will be reviewed as they are received.

New Venture Fund Careers
Supermajority Education Fund is a project of the New Venture Fund (NVF), a 501(c)(3) public charity that incubates new and innovative public-interest projects and grant-making programs. NVF is committed to attracting, developing and retaining exceptional people, and to creating a work environment that is dynamic, rewarding and enables each of us to realize our potential. NVF's work environment is safe and open to all employees and partners, respecting the full spectrum of race, color, religious creed, sex, gender identity, sexual orientation, national origin, political affiliation, ancestry, age, disability, genetic information, veteran status, and all other classifications protected by law in the locality and/or state in which you are working.

Supermajority Education Fund collaborates and shares resources with Sixteen Thirty Fund's Supermajority project.",https://www.linkedin.com/jobs/view/externalApply/2486992174?url=https%3A%2F%2Fgrnh%2Ese%2F21ee182a2us&urlHash=0Q4G&refId=4221e7ee-b79d-45a6-a969-0275b69c54e2&trackingId=pAeuxIkl4KXdOkuUdTIXIA%3D%3D&trk=public_jobs_apply-link-offsite
Brand Marketing Intern/Co-op - Spring 2021 (remote),SharkNinja,"Needham, MA","Brand Marketing Intern/Co-op (6 month assignment)
This co-op will begin remote with the expectation for the co-op to work onsite in Needham, MA when our offices re-open.
Are you interested in general management with a desire to develop brands? Do you have a passion for understanding the category and consumer? Do you want to be a part of developing breakthrough marketing campaigns that drive both profitable growth and brand healthy? If so, we invite you to learn more about the Brand Marketing Intern/Co-op role at SharkNinja.

Summary

The Brand Marketing Intern/Co-op will support the Brand Manager in developing a holistic marketing plan and end-to-end brand marketing execution. You will play key part in both the business analysis and brand development/marketing planning. This role provides the right candidate an opportunity to support the Brand, along with our strategic partners including consumer insights, creative, digital/web/e-commerce, sales strategy and product marketing. We are looking for a passionate individual who thrives in a creative, dynamic work environment. We are looking for someone who can think outside the box and have a passion for learning.

Focus Areas May Include

Coordination of consumer research activities

Marketing collateral review and feedback (retailer/web/social)

Packaging, instruction manual, quick start guide creation/updates and cross-functional approval

Competitive landscape/marketing plan analysis

Sample management for PR and other media events

Participation/preparation for team meetings and executive reviews

Category Database Management (NPD etc)

Support management of external agencies

Brainstorming & bringing new ideas to the table

Other Responsibilities And Tasks, As Assigned

Skills & Qualifications:

The ideal candidate will have completed 2+ years in a business/marketing degree program

2020 Grads will be considered

Must be able to work in Spring 2021

Experience working on Brand Marketing/ Management team is strongly preferred

Embraces change, collaborates well, has an open mind and passion to learn

General knowledge and interest of the retail industry

Thrive in a fast-paced environment

Ability to prioritize tasks across multiple teams and programs

Excellent communication (oral and written) skills

Keen attention to detail and organization

Analytical mindset and adeptness in problem-solving

Motivation to work independently and as part of a team

Proficient in Microsoft Office (Excel, PowerPoint, Word)

Our Intern/Co-op program is a great opportunity to learn about our business, build relationships and admit it, you've always wanted to add NINJA to your resume.

At SharkNinja, our purpose is to positively impact people’s lives every day in every home around the world. We work very hard to provide our consumers with high quality, exciting 5-star products that make life easier. We thrive on passion and innovation, and are looking for great people, with great ideas, who want to create the next big thing. We take a team approach to our projects, where everyone has a voice. We want individuals to push limits, look outside the box and think the unthinkable. With the explosive growth we have been experiencing, we’re looking for motivated individuals to join us on our exciting journey. People need to think big, move fast and want to make a significant impact. Are you ready?",https://www.linkedin.com/jobs/view/externalApply/2207375908?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fsharkninja%2F86ac27c4-fa4f-4f6d-878a-0396eb1ba083%3Flever-source%3DLinkedInJobs&urlHash=QF0Z&refId=4221e7ee-b79d-45a6-a969-0275b69c54e2&trackingId=MeZ77fUor2EZ8K%2FfnKyWvQ%3D%3D&trk=public_jobs_apply-link-offsite
Marketing Intern - Partnership Marketing,DHL Express,"Plantation, FL","We are looking for an exceptional Marketing Intern - Partnerships Marketing to create, plan, develop, and execute sponsorship activities. 

Passionate about Partnerships? Magnificent at Marketing? Special with Sponsorships?  Then, maybe you’re the go-getter Marketing Intern - Partnerships Marketing who can help us champion the remarkable global brand of the world’s most international company. You must be exceptionally creative, organized and detailed oriented to help support our global, regional, and local sponsorship and partnership activities.

Come join a dynamic Partnership team that’s part of a larger, customer-centric group of award-winning digital marketers, graphic designers and communicators. You’ll also interact with best-in-class agencies and counterparts from all over the globe to help drive our value proposition to the world.

The Marketing Intern will provide support with the follow duties:

Creates and implements 360° degree marketing campaigns for a portfolio of sponsored properties.
Event planning, management and execution from beginning to end
Manages internal stakeholders and external partners to ensure seamless activation of sponsorship events
Manages promotions, communications, and advertising associated with partnerships
Manages communications programs to targeted audiences, both internally and externally
Develops plans for advertising and promotion materials to support sponsorship activation
Prepares detailed status reports, timelines and post event recaps
Serves as advocate for the business by building and maintaining positive relationships.",https://www.linkedin.com/jobs/view/externalApply/2466623115?url=https%3A%2F%2Fars2%2Eequest%2Ecom%2F%3Fresponse_id%3Df2ec2d34ca7d326fae399cfbda752c6b&urlHash=EL4M&refId=4221e7ee-b79d-45a6-a969-0275b69c54e2&trackingId=GJZWZRLr3mL%2FLcnQQ97Qrw%3D%3D&trk=public_jobs_apply-link-offsite
Ad Operations Internship - Summer 2021,The Walt Disney Company,"New York, NY","Job Summary

We Are…

Disney Advertising Sales is responsible for advertising sales and integrated marketing for The Walt Disney Company’s entertainment and sports offerings through linear, digital, social, addressable and radio businesses. This includes ABC, ABC News, Disney Channels Worldwide, ESPN Networks, Freeform, Disney Digital, FX Networks, National Geographic Networks, Hulu, and its eight ABC-owned local stations. Disney Advertising Sales (or DAS) works with media agencies and consumer brands to sell advertising via a “one-stop shop” approach across TV, digital and radio platforms representing all of the Disney brands.

Disney’s Addressable Ad Operations team is seeking an Ad Operations Intern who will be an exceptional addition to our Advertising Operations team on one or more of our exciting brands. These brands are composed of The Walt Disney Company’s (NYSE: DIS) global entertainment and news television properties, owned television stations, as well as radio and publishing businesses. This includes the ABC Television Network, ABC Owned Television Stations Group, ABC Studios, ESPN, Hulu, Disney Channels Worldwide, Freeform, FX and National Geographic as well as Disney/ABC Domestic Television and Disney Media Distribution.

Responsibilities

A Day in the Life:

This is an opportunity for an individual who wants to gain exposure on how Disney helps to shape the digital entertainment marketing space. As an Ad Operations Intern you will be immersed in the world of digital operations, learning the complexities of the digital addressable advertising post sales ecosystem. You will interact and coordinate with nearly every business unit in order to understand how we receive and fulfill those advertising buys.

Interns will have a unique opportunity to work cross functionally with teams inside the Disney Ad Sales landscape that drive revenue and engagement for our partners. In this role, you will support Account Managers and Ad Ops Management in advertising reporting as well as some campaign trafficking. Interns will have the opportunity to meet and network throughout the Disney Advertising org by the end of the program.

Basic Qualifications

What You Bring to the Role:
Working knowledge of Microsoft Office Applications (Outlook, Excel, Word, PowerPoint)

Preferred Qualifications
Self-starter with strong written and verbal communication
Experience with marketing/advertising clubs or previous internships a plus
Keen attention to detail
Able to handle multiple projects simultaneously

Required Education
Enrolled as a junior, senior or graduate student in an accredited college/university in the semester prior to the internship or graduated within the past 18 months

Additional Information

Internship Eligibility:
Must be enrolled in a college/university taking at least one class in the semester/quarter (spring/fall) prior to participation in the internship program OR graduated within the past 18 months
Must be at least 18 years of age
Must not have completed one year of continual employment on a Disney internship or program
Must possess unrestricted work authorization
Program Dates: The approximate dates are early June – mid August, 2021. Interns will work 40 hours per week and need to provide full availability throughout the internship.

Work Environment: This is a remote internship. The internship requires a working, reliable internet connection as well as a quiet, dedicated work space.

778598BR",https://www.linkedin.com/jobs/view/externalApply/2458251055?url=https%3A%2F%2Fjobs%2Edisneycareers%2Ecom%2Fjob%2F-%2F-%2F391%2F19038047%3Fcid%3D14187&urlHash=9HNi&refId=4221e7ee-b79d-45a6-a969-0275b69c54e2&trackingId=ZwR9nqUe3vlmq3ocB6xPPA%3D%3D&trk=public_jobs_apply-link-offsite
Marketing Associate Intern - Job Boards - 2021 Summer,Uber,"San Francisco, CA","About The Role

We are looking for current students to join Uber as Performance Marketing interns during summer 2021 (12 weeks)!

You will be embedded in Uber’s Performance Marketing team and work closely with channel managers, creative teams, product and data science under the supervision of a manager on our Paid Channels team!

What You’ll Do
Work with your mentor closely to define the problem, scope your project, develop and prototype the solution, and measure the impact
Conduct deep data analysis to drive business decisions
Develop and validate critical data pipelines
Develop and supervise product metrics via dashboards to measure the performance of paid media campaigns
Partner with engineers, data scientists, and product managers to understand business use cases to and develop solutions, and present findings
Sync and collaborate with partners, cross-functional teams and senior management
Optimize campaigns through data-centric decision making, creative and keyword expansion and location targeting

What You’ll Need

Currently enrolled as a Bachelors student in Communications, Marketing, Journalism, Statistics, Computer Science, Economics, Engineering, or any relevant field with at least one semester remaining to complete.

Bonus Points If
Experience in digital marketing channels
An understanding of media buying, tracking and attribution
Ability to communicate efficiently with both technical and business partners
Highly detail-attentive
Basic-Intermediate understanding of Excel and/or Google Sheets
Comfortable to analyze performance data and to develop conclusions based on insights
Familiar with data visualization via open-source libraries/packages or third-party tools (i.e. Tableau, Mixpanel, Looker, or similar)
Multilingual
Strong passion to take initiative to succeed within the industry

About The Team

Performance Marketing (San Francisco) Uber’s Job Boards channel team is responsible for supplying earners (drivers and delivery drivers) to the mobility and delivery marketplaces. In this role, you could help our team in developing the strategy and automating the management of digital acquisition campaigns. We collaborate with internal and external teams, building industry-first technology to reach performance marketing goals at a global scale.

We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have a curiosity, passion and collaborative spirit, work with us, and let’s move the world forward, together.

Uber is proud to be an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.",https://www.linkedin.com/jobs/view/externalApply/2458189130?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D874%26rx_jobId%3D101602%26rx_url%3Dhttps%253A%252F%252Funiversity-uber%2Eicims%2Ecom%252Fjobs%252F101602%252Fjob%253Fiis%253Dmarketing%2526iisn%253DLinkedin%2526iisp%253Dpaid%2526linkedin_sponsored%253Dsponsored%2526rx_campaign%253DLinkedin1%2526rx_group%253D1462%2526rx_job%253D101602%2526rx_medium%253Dpost%2526rx_r%253Dnone%2526rx_source%253DLinkedin%2526rx_ts%253D20210404T191512Z&urlHash=fbYx&refId=4221e7ee-b79d-45a6-a969-0275b69c54e2&trackingId=yT94Py9U%2BE7p1Sn1tCPOQA%3D%3D&trk=public_jobs_apply-link-offsite
"Undergrad Marketing Strategy and Operations Intern, Agency - Summer",Curology,"San Francisco, CA","Our mission is simple: to make personalized skincare accessible and convenient for all. Awarded one of Inc's Best Workplaces 2019 and 2020 Forbes #8 Startup Company, Curology is a leader in direct-to-consumer ecommerce and has been featured in Vogue, Allure, Harper’s Bazaar, and Business Insider.

Curology is creating the next generation of skincare through customized treatment plans and formulas with powerful prescription ingredients for acne and anti-aging. We believe great skin shouldn’t be a luxury, but a fact of life.

Curology is creating the next generation of skincare through customized treatment plans and formulas with powerful prescription ingredients for acne and anti-aging. We believe great skin shouldn’t be a luxury, but a fact of life.

As an Undergrad Marketing Strategy and Operations Intern you will support our growth in the anti-aging market. This is a unique opportunity to help build a business from the ground up, with the financial backing and growth trajectory of a successful startup.

What will you do as an Undergrad Marketing Strategy and Operations Intern?
Help us tackle challenging problems, and help drive growth at a high-growth startup.
Take on a variety of responsibilities ranging from day-to-day operations to highly strategic projects.
Use your unique perspective to help us think creatively about how to approach many of the biggest challenges and opportunities facing our company.
Work with various stakeholders across different functions (i.e., User Acquisition, Engineering, Creative, Brand, Product, etc.)

Competencies
Attention to Detail. Prizes clean work, documentation, and details that allow for cross-functional buy-in
Collaborative. Able to work with people at all levels, across the organization in order to achieve the company’s strategic vision
Action oriented. Unafraid to get into the weeds to get stuff done. No task too big or too small.
Logical. Able to take inputs and reach a logical, structured conclusion.
Strategic. Aligns the day-to-day to a long term goal.
Team Player & Influential. Values relationships with their team and the success of the team as a whole.
Effective communicator and listener. Chooses the right method of communicating their thoughts with clarity and precision. Listens well and treats communication as a two-way road

Curology encourages applications from people of all races, religions, national origins, genders, sexual orientations, gender identities, gender expressions and ages, as well as veterans and individuals with disabilities. Notice to Applicants under the CCPA.",https://www.linkedin.com/jobs/view/externalApply/2475162257?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fcurology%2F3699cc66-99de-45f4-8ab8-fa148cb048ff%3Flever-source%3DLinkedIn&urlHash=uZSb&refId=4221e7ee-b79d-45a6-a969-0275b69c54e2&trackingId=yxrl%2BgINC7DB2BbZwyIbXw%3D%3D&trk=public_jobs_apply-link-offsite
