title,company,location,requirements,link
Ad Operations Internship - Summer 2021,The Walt Disney Company,"New York, NY","Job Summary

We Are…

Disney Advertising Sales is responsible for advertising sales and integrated marketing for The Walt Disney Company’s entertainment and sports offerings through linear, digital, social, addressable and radio businesses. This includes ABC, ABC News, Disney Channels Worldwide, ESPN Networks, Freeform, Disney Digital, FX Networks, National Geographic Networks, Hulu, and its eight ABC-owned local stations. Disney Advertising Sales (or DAS) works with media agencies and consumer brands to sell advertising via a “one-stop shop” approach across TV, digital and radio platforms representing all of the Disney brands.

Disney’s Addressable Ad Operations team is seeking an Ad Operations Intern who will be an exceptional addition to our Advertising Operations team on one or more of our exciting brands. These brands are composed of The Walt Disney Company’s (NYSE: DIS) global entertainment and news television properties, owned television stations, as well as radio and publishing businesses. This includes the ABC Television Network, ABC Owned Television Stations Group, ABC Studios, ESPN, Hulu, Disney Channels Worldwide, Freeform, FX and National Geographic as well as Disney/ABC Domestic Television and Disney Media Distribution.

Responsibilities

A Day in the Life:

This is an opportunity for an individual who wants to gain exposure on how Disney helps to shape the digital entertainment marketing space. As an Ad Operations Intern you will be immersed in the world of digital operations, learning the complexities of the digital addressable advertising post sales ecosystem. You will interact and coordinate with nearly every business unit in order to understand how we receive and fulfill those advertising buys.

Interns will have a unique opportunity to work cross functionally with teams inside the Disney Ad Sales landscape that drive revenue and engagement for our partners. In this role, you will support Account Managers and Ad Ops Management in advertising reporting as well as some campaign trafficking. Interns will have the opportunity to meet and network throughout the Disney Advertising org by the end of the program.

Basic Qualifications

What You Bring to the Role:
Working knowledge of Microsoft Office Applications (Outlook, Excel, Word, PowerPoint)

Preferred Qualifications
Self-starter with strong written and verbal communication
Experience with marketing/advertising clubs or previous internships a plus
Keen attention to detail
Able to handle multiple projects simultaneously

Required Education
Enrolled as a junior, senior or graduate student in an accredited college/university in the semester prior to the internship or graduated within the past 18 months

Additional Information

Internship Eligibility:
Must be enrolled in a college/university taking at least one class in the semester/quarter (spring/fall) prior to participation in the internship program OR graduated within the past 18 months
Must be at least 18 years of age
Must not have completed one year of continual employment on a Disney internship or program
Must possess unrestricted work authorization
Program Dates: The approximate dates are early June – mid August, 2021. Interns will work 40 hours per week and need to provide full availability throughout the internship.

Work Environment: This is a remote internship. The internship requires a working, reliable internet connection as well as a quiet, dedicated work space.

778598BR",https://www.linkedin.com/jobs/view/externalApply/2458251055?url=https%3A%2F%2Fjobs%2Edisneycareers%2Ecom%2Fjob%2F-%2F-%2F391%2F19038047%3Fcid%3D14187&urlHash=9HNi&refId=a1f5bf39-1b8b-40a7-8307-c2275543be4d&trackingId=X3t7Rpfr7NYdIRFjz7OR8A%3D%3D&trk=public_jobs_apply-link-offsite
Business Operations Intern,LinkedIn,"Sunnyvale, CA","LinkedIn is seeking an Intern to join the Business Operations team within the Technology Infrastructure group based in Sunnyvale, CA. The candidate will play a key role in all financial reporting, strategic planning and analysis activities supporting our production infrastructure organization. This is a great opportunity to join a globally recognized company experiencing significant growth, and help contribute to the vision of creating economic opportunity for every member of the global workforce. With our successful core product offerings and expanding portfolio of innovative new products and features, our need for highly talented professionals has never been greater!

The successful candidate will partner with key budget owners and engineering stakeholders to gather, analyze, report and communicate financial and operational information with a goal to continuously improve LinkedIn’s cost to serve. The candidate will track key financial trends, develop forecasting models and scenario analysis, and identify creative operational improvement opportunities within our production infrastructure organization.

The candidate will join a small team and have a significant impact on how LinkedIn manages its engineering resources and makes investment decisions to expand LinkedIn’s infrastructure footprint both on-premise and on the cloud.

Responsibilities:

-Prepare and assist in developing monthly, and quarterly budget review packages and financial analysis for leadership to draw insights and develop appropriate action plans to meet budget targets
-Play key role to support Tech FP&A and Engineering functions - responding to questions on financial/budget reporting, preparing ad hoc analyses, pulling supporting data, etc.
-Support proactive engagement with service owners to validate business needs, and build ROI driven business plans highlighting short-term and long-term financial impact
-Help drive monthly and quarterly internal budget operations such as highlighting variances and associated drivers, reconciling monthly budget spends, and collaborating with engineering leaders to understand demand drivers and adjusting budget forecasts
-Support annual planning/forecasting tasks related in collaboration with FP&A and supported engineering functions (collection of inputs, bottoms-up budget modeling support, demand consolidation and analysis)
-Play key role in defining, validating and implementing prototype dashboards summarizing the cost of running and buying LinkedIn’s on-premise and cloud infrastructure resources (compute, storage, network, data centers)
-Support cost-to-serve optimization initiatives supporting service leaders in making optimum, total cost of ownership decisions
-Design reports and dashboards to visualize operational metrics

Basic Qualifications:

-Currently pursuing a BS/BA degree in a technical (engineering) or business field (MIS, Supply Chain, or similar), or pursuing a Master's or MBA with a concentration in Operations, Finance, Strategy, or a related field. Must be returning to the program after the completion of the internship
-3+ years of experience in technology operations, banking, management consulting, and/or FP&A.
-Experience with Excel skills (sumifs, vlookup, pivot tables, index match, etc.)

Preferred Qualifications:

-Pursuing Masters or MBA degree with a concentration in Operations, Finance, Strategy or related field
-Experience driving business operations and financial planning within the tech infrastructure space.
-Experience in MS PowerPoint and SQL
-Experience with Power BI, Tableau or similar product
-Understanding of tech infrastructure and cloud operations (compute, storage, network, data centers) and trends (on-premise vs. cloud, software defined storage, network virtualization)
-Proven success in financial reporting, planning and analysis (internal/management reporting, budget/forecast vs. actual, trend & scenario analysis, ROI analysis, operational modeling, etc.)
-Working knowledge of financial concepts such as capital & operational expenses, depreciation & amortization, accrual, fixed assets, cost center, chart of accounts, etc.
-Detail-oriented with strong organizational skills
-Proven track record of executing under tight deadlines and ensuring deliverable timelines are met
-Strong analytical, organizational, relationship building, and written/verbal communication skills
-Ability to work cross-functionally, drive change and improve end-to-end processes
-Self-motivated and works efficiently on multiple tasks


Equal Opportunity Statement
LinkedIn is committed to diversity in its workforce and is proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class. LinkedIn is an Affirmative Action and Equal Opportunity Employer as described in our equal opportunity statement here: https://lnkd.in/equalemploymentopportunity2017. Please reference http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf and https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf for more information.

LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful.

If you need a reasonable accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us at accommodations@linkedin.com and describe the specific accommodation requested for a disability-related limitation.

Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to:

-Documents in alternate formats or read aloud to you
-Having interviews in an accessible location
-Being accompanied by a service dog
-Having a sign language interpreter present for the interview

A request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response.

LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.

Pay Transparency Policy Statement
As a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.

Global Data Privacy Notice for Job Candidates
This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice",https://www.linkedin.com/jobs/view/externalApply/2458251055?url=https%3A%2F%2Fjobs%2Edisneycareers%2Ecom%2Fjob%2F-%2F-%2F391%2F19038047%3Fcid%3D14187&urlHash=9HNi&refId=a1f5bf39-1b8b-40a7-8307-c2275543be4d&trackingId=X3t7Rpfr7NYdIRFjz7OR8A%3D%3D&trk=public_jobs_apply-link-offsite
"SCM Strategic Ops Intern, Summer 2021",Samsung Electronics America,"Ridgefield Park, NJ","Position Summary

Samsung has been a leading force in innovation for decades. We believe that technology can, and should, make the world a better place, so we create new possibilities for people everywhere. We strive to create a place of endless learning where we’re pushed to discover our true potential. Our interns take real-world business problems and lead the charge on formulating creative solutions. Our structured program prepares every intern for success by allowing them to fully integrate into our dynamic culture while contributing their own unique ideas. We create opportunities for both undergraduate and graduate students to impact change and make the impossible possible. Join #LifeatSamsung.

Role and Responsibilities



If you have ambitions to be a part of a Best in Class organization and are passionate about Technology and Innovation, Samsung is the place to be. Our dynamic culture offers both great challenges and great reward, while working among the very best talent in the industry on the most innovative products in the world. This is your opportunity to provide a fresh perspective to our ever-changing industry. Samsung’s Supply Chain has been recognized as one of the key component for the company’s continuous success, and has been retaining its leadership position in the industry for several years. Supply Chain is becoming a key differentiator and an enabler of business growth, so if you are looking for an experience working with one of the best and high-functioning team of Supply Chain experts, this would be the best opportunity for you.



Position Summary and Project Details:

This role will support SCM T/F team to design a best-in-class Supply Chain model for the largest growing online account: Amazon
This role will take the lead on gathering data, insight, and feedback from SCM experts and various business leads, then perform a deep-dive analysis, find areas of improvement, and propose solutions for both short and long term period
Project will mainly focus on standardizing forecasting process and operations for all product categories
This role will help creating an operational scorecard and internal targets to measure and trace success, once plans are implemented

General Duties include but are not limited to:

Working cross-functionally within Supply Chain division, and also engage with Sales, Logistics and Product marketing
Present findings and updates to leaders and gather feedback

Skills and Qualifications



Qualifications:

Pursuing a Masters of Business Administration
Advanced in Microsoft Office Excel and PowerPoint
Proficiency in Tableau and/or Alteryx will be helpful, but not a requirement
Strong communication skills, in both speaking and writing
Experience in Project management (process mapping, documentations and presentation)
Experience in Supply Chain Forecasting and Operations will be helpful, but optional
Must be flexible to work outside of regular business hours (due to deadlines and different time zones)

Internship Eligibility:

Must be enrolled in an accredited University
Proper work authorization
Maintain a 3.0 or higher GPA
Attend New Hire Orientation on first day

* Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here .



* Samsung Electronics America, Inc. and its subsidiaries are committed to employing a diverse workforce, and  provide Equal Employment Opportunity for all individuals regardless of race, color, religion, gender, age, national origin, marital status, sexual orientation, gender identity, status as a protected veteran, genetic information, status as a qualified individual with a disability, or any other characteristic protected by law.",https://www.linkedin.com/jobs/view/externalApply/2486459167?url=https%3A%2F%2Fsec%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2FSamsung_Careers%2Fjob%2F85-Challenger-Rd-Ridgefield-Park-NJ-USA%2FSCM-Strategic-Ops-Intern--Summer-2021_R38835&urlHash=AC9u&refId=a1f5bf39-1b8b-40a7-8307-c2275543be4d&trackingId=qMG%2FglDwQJQFL9x2ey41RA%3D%3D&trk=public_jobs_apply-link-offsite
League Operations Intern,Electronic Arts (EA),"Redwood City, CA","League Operations Intern

Redwood City, Ca/Remote

The Competitive Gaming Entertainment organization (CGE) is built around creating highly engaging competitive programs that aim to make stars of all our players. CGE is building exciting events and content, creating fans, building viewership, creating overall loyalty, and determining the right monetization approaches and delivery.

The Apex CGE team is building a team to drive competitive gaming for Apex Legends' esports events globally. We are looking for passionate, determined, and humble individuals with the imagination to innovate and lead in the industry. Together we will inspire the world to play competitively and make stars of all our players.

As a Summer League Operations Intern, you’ll contribute to essential projects to shape the success of Apex Legends competitive gaming. Your collaborative mindset will strengthen the relationship between players and the Apex Legends CGE team, and you’ll join a tightly integrated team that crafts strategies to grow the business and focus on what drives player and viewer engagement.

Responsibilities
Assist the League Operations team with the day-to-day operation of our competitions
Respond directly to ALGS players and teams support inquiries
Work closely with the Player Engagement Manager to gather feedback from players on all aspects of the ALGS competitive experience and conduct and analyze player surveys to provide insights and recommendations for improvement
Prepare comprehensive feedback reports, identifying trends and areas of concern
Independently research and participate in group research around the discovery of growth areas that lead to insights and recommendations on product features to be pitched to the Apex CGE
Foster strong relationships with several of our internal cross-functioning teams, such as Marketing, Global Analytics, Legal, Events, Competitive Gaming Operations, and Web
Final Project: Prepare and present a competitive analysis of several leading esports programs that will improve awareness inside of the Apex CGE as well as provide opportunities to implement best practices based on learnings

Requirements
Esports experience (paid or volunteer) in community management, player relations, tournament organization, or as a current or former competitor
A passion for Apex Legends and other esports titles
Curiosity around competitive tournament and ecosystem design challenges, matched with a creative and forward-thinking approach to solving them
Excellent oral and written communication skills; comfortable with presenting data-driven insights
Exceptional analytical and problem-solving skills
Ability to work under tight deadlines and prioritize tasks and projects",https://www.linkedin.com/jobs/view/externalApply/2434207150?url=https%3A%2F%2Fea%2Egr8people%2Ecom%2Fjobs%2F164514%2Fleague-operations-intern%3Fsid%3D4&urlHash=6NxG&refId=a1f5bf39-1b8b-40a7-8307-c2275543be4d&trackingId=tHPccVWNCwMRNc7%2Fcdr7zg%3D%3D&trk=public_jobs_apply-link-offsite
Operations Intern,2K,"Novato, CA","Who We Are

2K is a leading global developer and publisher of some of today’s most popular games and is most well-known for several of its critically-acclaimed franchises, including NBA 2K, Borderlands, BioShock, Mafia, WWE 2K, Sid Meier’s Civilization, XCOM, PGA TOUR 2K and more.

What We Need

The Operations team at 2K is looking for a driven and intellectually curious intern to help drive key operational projects forward under the supervision of a Senior Project Manager.

What You Will Do
Work collaboratively with your Project Manager and teammates to define and execute projects: develop plans, manage expectations, communicate progress effectively to all involved and deliver results on time
Work closely with your Project Manager and project team to help track major activities and milestones and help organize operations schedules
Help maintain project documentations, perform project research, and assist in data entry tasks
Assist with driving key tasks to completion and escalating when the project is at risk when appropriate
Assist with the game code distribution process for departments
Help prepare weekly project reports to update project stakeholders and leadership of project status
Coordinate and assist with presentations for project initiatives or special projects



Who We Think Will Be a Great Fit
You are enrolled in either a college or university at the time of the internship
Area of interest in Project Coordination/Management and Operations
Familiarity with the gaming market and industry trends
Ability to self-prioritize effectively and being extremely organized
Solid written and oral communication skills",https://www.linkedin.com/jobs/view/externalApply/2434207150?url=https%3A%2F%2Fea%2Egr8people%2Ecom%2Fjobs%2F164514%2Fleague-operations-intern%3Fsid%3D4&urlHash=6NxG&refId=a1f5bf39-1b8b-40a7-8307-c2275543be4d&trackingId=tHPccVWNCwMRNc7%2Fcdr7zg%3D%3D&trk=public_jobs_apply-link-offsite
Operations Research Science Intern,Amazon,"Seattle, WA","Description

As a Research Scientist you will use your experience to develop new strategies to improve the performance of Amazon’s systems and networks. Working closely with fellow research scientists and product managers, you will use your experience in modeling, statistics, and simulation to design models of new policies, simulate their performance, and evaluate their benefits and impacts to cost, reliability, and speed of our fulfillment network.

Our teams are looking for experience in network and combinatorial optimization, algorithms, data structures, statistics, and/or machine learning. This position requires superior analytical thinking, and ability to apply their technical and statistical knowledge to identify opportunities for industrial research. You should be able to mine and analyze large data, and be able to use necessary programming and statistical analysis software/tools to do so.


Basic Qualifications
Enrolled in a Master’s or Ph.D. degree in Operations Research, Industrial Engineering, Statistics, Mathematics, Economics, Computer Science, or similar technical field
2+ years’ experience working with statistics and probability, particularly their application in systems analysis and operations research
Fluency in at least one programming or scripting language (ex., Python, Java, C, C++)
Experience with SQL and Statistical/mathematical programming software packages (ex., R, SPSS, CPLEX, LONDO or Xpress etc)
Experience in problem solving and data analytics
Preferred Qualifications
Enrolled in Ph.D. in relevant discipline (see basic qualifications)
Experience with inventory planning and supply chain management (forecasting, planning, optimization, and/or logistics)
Excellent written and verbal communication skills
Experience working with data mining on large datasets (“big data”)

Company - Amazon.com Services LLC
Job ID: A1229563",https://www.linkedin.com/jobs/view/externalApply/2431568956?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1229563%2Foperations-research-science-intern%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=UkTI&refId=a1f5bf39-1b8b-40a7-8307-c2275543be4d&trackingId=g7QK7wB1dZJNIxYB%2FkYRwA%3D%3D&trk=public_jobs_apply-link-offsite
"Undergrad Marketing Strategy and Operations Intern, Agency - Summer",Curology,"San Francisco, CA","Our mission is simple: to make personalized skincare accessible and convenient for all. Awarded one of Inc's Best Workplaces 2019 and 2020 Forbes #8 Startup Company, Curology is a leader in direct-to-consumer ecommerce and has been featured in Vogue, Allure, Harper’s Bazaar, and Business Insider.

Curology is creating the next generation of skincare through customized treatment plans and formulas with powerful prescription ingredients for acne and anti-aging. We believe great skin shouldn’t be a luxury, but a fact of life.

Curology is creating the next generation of skincare through customized treatment plans and formulas with powerful prescription ingredients for acne and anti-aging. We believe great skin shouldn’t be a luxury, but a fact of life.

As an Undergrad Marketing Strategy and Operations Intern you will support our growth in the anti-aging market. This is a unique opportunity to help build a business from the ground up, with the financial backing and growth trajectory of a successful startup.

What will you do as an Undergrad Marketing Strategy and Operations Intern?
Help us tackle challenging problems, and help drive growth at a high-growth startup.
Take on a variety of responsibilities ranging from day-to-day operations to highly strategic projects.
Use your unique perspective to help us think creatively about how to approach many of the biggest challenges and opportunities facing our company.
Work with various stakeholders across different functions (i.e., User Acquisition, Engineering, Creative, Brand, Product, etc.)

Competencies
Attention to Detail. Prizes clean work, documentation, and details that allow for cross-functional buy-in
Collaborative. Able to work with people at all levels, across the organization in order to achieve the company’s strategic vision
Action oriented. Unafraid to get into the weeds to get stuff done. No task too big or too small.
Logical. Able to take inputs and reach a logical, structured conclusion.
Strategic. Aligns the day-to-day to a long term goal.
Team Player & Influential. Values relationships with their team and the success of the team as a whole.
Effective communicator and listener. Chooses the right method of communicating their thoughts with clarity and precision. Listens well and treats communication as a two-way road

Curology encourages applications from people of all races, religions, national origins, genders, sexual orientations, gender identities, gender expressions and ages, as well as veterans and individuals with disabilities. Notice to Applicants under the CCPA.",https://www.linkedin.com/jobs/view/externalApply/2475162257?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fcurology%2F3699cc66-99de-45f4-8ab8-fa148cb048ff%3Flever-source%3DLinkedIn&urlHash=uZSb&refId=a1f5bf39-1b8b-40a7-8307-c2275543be4d&trackingId=07rHz7NNsDsZ%2FwtQG21Cog%3D%3D&trk=public_jobs_apply-link-offsite
Growth Operations Intern (Summer 2021 - Remote),Clearcover,"Chicago, IL","Who's Clearcover?

Clearcover is the smarter car insurance company. We use powerful technology to offer everyday drivers better coverage for less money. We're proud to be one of the fastest growing startups in Chicago, and we're currently looking for a Growth Operations Intern to join our growth team.

What will you do?

Process ownership; you will assist the growth ops team in the completion of many partner onboarding tasks to help fuel our growth across multiple channels.
The preparation of sales analyses and reports for relationship managers, growth leadership, and our partners.
Develop and distribute communication pieces, such as surveys, commission statements, and month end performance reports.
Assist in administration of Growth team process documents and contracts.
Collaborate with a variety of cross-functional teams on special projects as assigned.

What do you need?

You're a college student with an interest in business and technology.
You're flexible and can adapt to a fast-paced environment. You are resilient and can navigate ambiguity to get things done.
You're analytical. You have experience reviewing, analyzing, and interpreting data.
You're organized. You follow through on your commitments and are incredibly attentive to detail.
You're patient. You are comfortable with constant change and prioritization that comes with working at a startup.
You're an entrepreneur. You have experience growing and creating ideas either on campus or through internships. You are confident when it comes to sharing your own ideas.

What is in it for you?

Competitive hourly pay
12 week summer internship
Remote experience
Exposure to a startup company
Understanding of the insurance industry
Collaborative team culture
High-energy work environment

Clearcover is an Equal Opportunity Employer (EOE) that welcomes and encourages all applicants to apply regardless of age, race, color, religion, sex, sexual orientation, gender identify and/or expression, national origin, disability, veteran status, marital or parental status, ancestry, citizenship status, pregnancy or other reasons prohibited by law.",https://www.linkedin.com/jobs/view/externalApply/2486991299?url=https%3A%2F%2Fgrnh%2Ese%2F717f50a92us&urlHash=jaGU&refId=a1f5bf39-1b8b-40a7-8307-c2275543be4d&trackingId=qn%2BLxdb1r7OrU1ILtpT8sQ%3D%3D&trk=public_jobs_apply-link-offsite
Intern-Operations,Infineon Technologies,"Leominster, MA","In Your New Role You Will

In this internship position, you will report in to the HiRel organization, based in Leominster, MA, which manufactures radiation hardened discrete semiconductors for the space market and other high reliability markets such as Military, Aerospace and Medical. This is a great opportunity to gain hands-on experience with continuous process improvement projects and work in a role where you will gain exposure and visibility, while working to support Operations Management objectives. Additionally, you will work closely with and collaborate with Planning, Purchasing, Manufacturing, Engineering, and Quality teams. Apply now.
Collect and compile data from various sources and present the information in formats suitable for use in a continuous improvement environment. The data collection process will include evaluation and investigation of problems using Root Cause Corrective Action tools
Generate weekly Operations reports, working to automate the reports if possible.
Analyze report results for concerning trends and alert management accordingly
Learn and develop skills related to Continuous Improvement
Continuous Improvement projects assigned as a sole contributor or member of a larger team
You are best equipped for this task if you have:
Recently graduated (within 1 year) with a Bachelors degree in Industrial Engineering, Manufacturing Engineering or a related technical field; OR are currently enrolled in an accredited university program in these fields of study
0-1 years experience in a manufacturing environment
The ability to define problems, collect and analyze data and draw valid conclusions
The ability to work in a dynamic work environment
Outstanding communication skills, both oral and written
Strong experience with Excel, PowerPoint, Word and Outlook
The willingness to learn and grow
Infineon Power & Sensor Systems (PSS) semiconductors play a vital role in enabling intelligent power management, smart sensitivity as well as fast and reliable data processing in an increasingly digitalized world. IR HiRel, part of Infineon PSS, is a leader in high-reliability, rad hard power management and RF solutions for space and other extreme environments.

Our leading-edge power devices make chargers, adapters, power sources and lighting systems smarter, smaller, lighter and more energy-efficient. Our trusted sensors increase the context sensitivity of “things” and systems such as HMI, and our RF chips power fast and reliable data communication.

– We drive leading-edge power management, sensing and data transfer capabilities –

Click here for more information about working at PSS with interesting employee and management insights and an overview with more #PSSDreamJobs.
Part of your life. Part of tomorrow.

We make life easier, safer and greener – with technology that achieves more, consumes less and is accessible to everyone. Microelectronics from Infineon is the key to a better future. Efficient use of energy, environmentally-friendly mobility and security in a connected world – we solve some of the most critical challenges that our society faces while taking a conscientious approach to the use of natural resources.

IR HiRel Products Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy, childbirth, or related medical conditions), gender identity, national origin, ancestry, citizenship, age, physical or mental disability, legally protected medical condition, family care status, military or veteran status, marital status, domestic partner status, sexual orientation, or any other basis protected by local, state, or federal laws. Applicants with questions about access or requiring a reasonable accommodation for any part of the application or hiring process should contact the Talent Network by phone at (408) 503-2194.

Employment at Infineon is contingent upon proof of your legal right to work in the United States under applicable law, verification of satisfactory references and successful completion of a background check and drug test, and signing all your on-boarding documents .

In some instances, if applicable, U.S. export control laws require that Infineon obtain a U.S. government export license prior to releasing technologies to certain persons. This offer is contingent upon Infineon's ability to satisfy these export control laws as related to your employment and anticipated job activities. The decision whether or not to submit and/or pursue an export license to satisfy this contingency, if applicable, shall be at Infineon's sole discretion.

Important Notice

Infineon Technologies takes data privacy and identity theft very seriously. As such, we do not request personally-identifiable information (PII) from applicants over the internet or electronically. Please kindly refrain from disclosing your PII electronically during the application process or to unauthorized websites that may purport to be Infineon or any of our affiliates.",https://www.linkedin.com/jobs/view/externalApply/2475164406?url=https%3A%2F%2Fwww%2Einfineon%2Ecom%2Fcms%2Fen%2Fcareers%2Fjobsearch%2Fjobsearch%2F316042-Intern-Operations%2F%23%21source%3D400&urlHash=lH3s&refId=a1f5bf39-1b8b-40a7-8307-c2275543be4d&trackingId=1Kv294GeOm2G%2BiCHbhS%2BZg%3D%3D&trk=public_jobs_apply-link-offsite
Operations Intern,BD,"Warwick, RI","Job Description

Job Description Summary

Under the leadership and direction of the Director, Manufacturing Integrator, this internship will offer the opportunity for a student to gain Operations experience by working in a dynamic environment for a leading global medical device company.

The Operations department is responsible for manufacturing and delivering all BDI Surgery finished good product offerings. This intern will provide support and customer service for internal cross-functional teams. The ideal candidate for this position is someone who is highly motivated to grow within the organization in the future and thrives in an environment of creativity and accountability.

This individual will assist in areas of project management, data analysis and reporting, facilitation/leadership of meetings, and helping to drive alignment between the commercial and operational sides of the business. In addition, this individual will gain exposure to international business, product development, QA/RA systems, and commercial strategy.

The Operations Intern will participate in data gathering and analysis, weekly project meetings, quarterly all employee meetings, attend other company meetings, and will have the opportunity to participate in several 1:1 meetings with the leadership at BDI Surgery to discuss career options in the medical device field.

This is a paid position.

Formal Education
Business major or equivalent undergrad or masters level program (e.g. MBA)

Specialized Skills
Good interpersonal skills
Strong analytical, communication, and organizational skills
Must have the ability to work on several projects simultaneously
Must be comfortable working in a fast-paced environment of accountability
Must be able to analyze data/make data-based recommendations
Understanding of Microsoft Office Software applications (Excel, PowerPoint, Project, Visio) and web-based systems

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status.

Primary Work Location
USA RI - Warwick

Additional Locations

Work Shift

Job Category: Operations",https://www.linkedin.com/jobs/view/externalApply/2461196438?url=https%3A%2F%2Fjobs%2Ebd%2Ecom%2Fjob%2F-%2F-%2F159%2F19108578%3Fsource%3DAPPLICANT_SOURCE_LINKEDIN%26ss%3Dpaid%26utm_source%3Dlinkedin%2Ecom%26utm_medium%3Djob_posting%26utm_campaign%3D2016media&urlHash=AjrU&refId=a1f5bf39-1b8b-40a7-8307-c2275543be4d&trackingId=VXyJg0lb2hNW4pxFn2qMdQ%3D%3D&trk=public_jobs_apply-link-offsite
