title,company,location,requirements,link
Intern - Research Undergrad 2021,IBM,"New York, NY","Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
Start and end dates for this Internship are during Summer 2021 (3 months).

At IBM Research, we invent things that matter to the world. Today, we are pioneering the most promising and disruptive technologies that will transform industries and society, including the future of AI, Blockchain and Quantum Computing. We are driven to discover. With more than 3,000 researchers in 12 labs located across six continents, IBM Research is one of the world’s largest and most influential corporate research labs.

We are seeking candidates with proven interest and experience in implementing innovative software solutions and applications. You will work in close collaboration with other researchers and engineers to create, maintain and support world-class applications and/or infrastructure. You will also deliver production level-code to support the commercialization of the resulting assets. Demonstrated communication skills are essential.

Candidates should have basic knowledge in one or more of the following skills:

Programming skills (C/C++, Java, Python, Javascript, Node.js, etc.)
Software engineering practices including agile techniques
Building cloud applications using APIs and services
System building/debugging/testing skills
Machine learning techniques and machine learning toolkits such as R, scikit-learn, Theano, Caffe, Torch
Programming on GPUs
Scale-out programming (e.g. MPI)

Candidates must be willing to work in any of the following locations: Albany, NY; Almaden, CA; Austin, TX; Cambridge, MA;
Yorktown Heights, NY. Pursuing a Bachelor's degree in Computer Science, Computer Engineering or a related area is required.

The World is Our Laboratory: No matter where discovery takes place, IBM researchers push the boundaries of science, technology and business to make the world work better. IBM Research is a global community of forward-thinkers working towards a common goal: progress.

Required Technical and Professional Expertise
Programming skills (C/C++, Java, Python, Javascript, Node.js, etc.)
Software engineering practices including agile techniques
Building cloud applications using APIs and services
System building/debugging/testing skills

Preferred Technical And Professional Expertise
Machine learning techniques and machine learning toolkits such as R, scikit-learn, Theano, Caffe, Torch
Programming on GPUs
Demonstrated written and verbal communication skills
None

About Business Unit

With more than 3,000 researchers in 12 labs located across six continents, IBM Research brings together hundreds of researchers who possess unparalleled industry expertise to address some of the world's most challenging problems. Join us as we do pioneering work in areas such as cognitive computing, augmented intelligence, quantum computing, and blockchain, to name a few.

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM

IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

IBM intends this job to be performed entirely outside of Colorado.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",https://www.linkedin.com/jobs/view/externalApply/2470841507?url=https%3A%2F%2Fibm%2Econtacthr%2Ecom%2F81922401%3FCodes%3DSN_LinkedIn&urlHash=8V-Z&refId=568b09ef-bfd9-4551-8779-1e9ee6eeaa28&trackingId=KMGlGtphFme98fBPpwWxpA%3D%3D&trk=public_jobs_apply-link-offsite
Research Intern - Research Assistant,Microsoft,"Redmond, WA","Virtual Internship

Participation in the Research Internship Program requires that you are physically located in the United States or Canada for the duration of the internship

Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.

Many physicists have wondered how the universe chooses its basic laws. One idea is that the laws-or the parameters that characterize them, such as the masses of the different quarks and leptons, can evolve in time. Several mechanisms have been proposed, which can be visualized as a point representing the universe moving on a vast landscape of possible laws. This turns out to be a process that can be efficiently simulated by a deep neural network. We continue our work started in 2020 building and running models to investigate this and other ideas about how the universe chose or learnt its laws. Project co-led by Microsoft researcher Jaron Lanier, Lee Smolin of the Perimeter Institute for Theoretical Physics, and Stephon Alexander of Brown University.

Responsibilities

Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, interns learn, collaborate, and network for life. Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, students are paired with mentors and expected to collaborate with other interns and researchers, present findings, and contribute to the vibrant life of the community. Research internships are available in all areas of research, and are offered year-round, though they typically begin in the summe

Qualifications

In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position. After you submit your application, a request for letters may be sent to your list of references on your behalf. Note that reference letters cannot be requested until after you have submitted your application, and furthermore, that they might not be automatically requested for all candidates. You may wish to alert your letter writers in advance, so they will be ready to submit your letter.

Required Qualifications
Must have at least 1 year of experience in research related to machine learning or closely related topics and physics.”
Must currently be a PhD candidate in math, physics, computer science, or closely related fields
Participation in the Research Internship Program requires that you are physically located in the United States or Canada for the duration of the internship

Preferred Qualifications
Has demonstrated a broad understanding of varied approaches to machine learning in theoretical physics by having been a TA, participated in a review paper, organized meetings or conferences, or similar.
Has been noted for creativity and originality in research.
Is able to self-discipline and function well in physical isolation from collaborators, in light of the likely requirement that work will still be done remotely.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://www.linkedin.com/jobs/view/externalApply/2468024026?url=https%3A%2F%2Fcareers%2Emicrosoft%2Ecom%2Fus%2Fen%2Fjob%2F1006606%2FResearch-Intern-Research-Assistant%3Fjobsource%3Dlinkedin%26utm_source%3Dlinkedin%26utm_medium%3Dlinkedin%26utm_campaign%3Dlinkedin-feed&urlHash=oB_d&refId=568b09ef-bfd9-4551-8779-1e9ee6eeaa28&trackingId=RDB3%2BRvJQNTHabjJVN3l1Q%3D%3D&trk=public_jobs_apply-link-offsite
Research Intern,Adobe,"New York, NY","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Adobe Research is looking for forward-thinking minds who are excited about pushing the state of the art in research areas that impact Adobe’s products and future endeavors. Research and Engineering internships for Spring, Summer and Fall of 2021 are now open to applicants pursuing PhD and master's degrees. To protect your health and ours, all internships will be remote.

Working directly with one or more researchers, you will have access to robust computational resources and elite product and design teams, empowering you to see your work touch millions of screens across the globe.

The Opportunity Adobe Research creates new algorithms and interfaces to extract, analyze, model, animate, and render 2D and 3D geometry, material, lighting, and appearance for a variety of applications. Our efforts include new forms of 3D drawing and painting, 3D computational capture and imaging, physical simulation, synthesis and editing of vector graphics, animation and motion design, as well as advanced photorealistic rendering algorithms using machine learning.

Our research labs actively publish in leading journals and conferences, invent new products, and create compelling creative tools. We are especially interested in fostering ongoing collaborations that last beyond the internship and become part of your PhD thesis.

What you will do
Under the direction of an Adobe Research mentor, pursue a research problem that pushes the boundaries of the field
Develop new algorithms, run experiments, and produce demonstration prototypes
Document and present your work, both verbally and in writing
What you will need
Current PhD or master's student in computer science, or related field
Sufficient research skills and background in your chosen subject area",https://www.linkedin.com/jobs/view/externalApply/2427888377?url=https%3A%2F%2Fadobe%2Ewd5%2Emyworkdayjobs%2Ecom%2Fexternal_university%2Fjob%2FSeattle%2FResearch-Intern_R103084%2Fapply%3Fsource%3DLinkedIn&urlHash=uJZC&refId=568b09ef-bfd9-4551-8779-1e9ee6eeaa28&trackingId=TlW35VmxoVZMLRxwc5J2Zw%3D%3D&trk=public_jobs_apply-link-offsite
Research Intern (Summer 2021) - Washington,Institute for Higher Education Policy,"Washington, DC","The Institute for Higher Education Policy (IHEP) is a nonpartisan, nonprofit organization committed to promoting access to and success in higher education for all students. Based in Washington, D.C., IHEP develops innovative policy- and practice-oriented research to guide policymakers and education leaders, who develop high-impact policies that will address our nation’s most pressing education challenges.

Job Summary

IHEP is seeking an intern to support their research team. In this role, interns are likely to perform literature reviews, participate in quantitative and qualitative data collection and analysis, summarize information from postsecondary-themed events, external meetings, and/or new research studies, and support the development of research and policy reports as well as advocacy materials/efforts on topics such as higher education value, higher ed in prison, postsecondary data, and college completion and affordability.

Primary Responsibilities
Support IHEP’s research team with quantitative and qualitative research and analysis of policy- and practice-relevant postsecondary education issues, including conducting literature, legislation, and policy scans, performing data analyses, and summarizing findings.
Prepare PowerPoint presentations, memos, and other content to inform the work of the research team.
Support the research team in preparing responses to time-sensitive requests from media and policymakers.
Attend select virtual meetings with organizational partners.
Collaborate with and provide assistance to other departments and staff as needed.

Qualifications
Current graduate student pursuing a master’s degree or Ph.D. in an education- or policy-related field.
Availability to work a minimum of 20 hours per week through the spring semester.
Strong written and oral communication skills.
Strong critical thinking and problem-solving skills.
Some prior experience with quantitative and qualitative data analysis, data collection, and higher education data sets.
A keen interest in public policy, postsecondary education research and advocacy, and the commitment to work in an equity-minded organization.
Excellent organizational and follow-through skills and attention to detail.
Ability to work both independently and collaboratively with a dynamic group of partners and consultants.
Strong computer skills, including proficiency in MS Office applications (Word, Excel, PowerPoint, Outlook).

How To Apply

Compensation is competitive and commensurate with experience. This position is remote and can be based anywhere within in the United States. Interested candidates should provide:
a cover letter
a resume
a list of at least three references (including at least one direct supervisor)
We will review applications on a rolling basis, but have a priority deadline to apply by April 12, 2021.

The Institute for Higher Education Policy is an Equal Opportunity Employer and encourages diversity in all facets of the organization’s work.",https://www.linkedin.com/jobs/view/externalApply/2492448010?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3D070a93887b2c%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgadd97ddgaadfbdd79ddd9dd8fdd8add9fade3deecacdfec3ddcg3e&urlHash=XU9Q&refId=568b09ef-bfd9-4551-8779-1e9ee6eeaa28&trackingId=EZrQwImHNQLIpT6jJU115w%3D%3D&trk=public_jobs_apply-link-offsite
Research Intern 2021,Corning Incorporated,"Corning, NY","Requisition Number: 45891

Corning is one of the world’s leading innovators in materials science. For more than 160 years, Corning has applied its unparalleled expertise in specialty glass, ceramics, and optical physics to develop products that have created new industries and transformed people’s lives.

Corning succeeds through sustained investment in R&D, a unique combination of material and process innovation, and close collaboration with customers to solve tough technology challenges.

Corning’s Environmental Technologies segment manufactures ceramic substrates and filter products for emissions control in mobile and stationary applications around the world.

Scope of Position Corning’s summer internship experience is rich with hands-on learning. You’ll live, work, and experience the communities in which Corning operates, while building on-the-job skills. As our Intern, you will assist our operations group in Scientific Computing with cluster performance and optimization.

The purpose of our Intern Program is to raise the bar on talent by strengthening our pipeline for entry level roles for immediate and future needs.

To be considered for an internship at Corning Incorporated, you must be actively enrolled at a college or university as a full-time student seeking a bachelor’s degree or higher. You must also have a current cumulative GPA of 3.00 or higher (on a 0.00 to 4.00 scale).

Shape your future; apply today!

Program Benefits
Competitive salaries
Housing assistance
Travel reimbursement


Intern Activities
Social and networking events
Volunteer opportunities
Community Involvement Position

Scope Details: This internship is with the software engineering team in the Scientific Computing group, which exists to enhance the modeling capabilities of Corning Incorporated. Our team works with a variety of development frameworks and state of the art hardware to deliver solutions that enhance Corning’s ability to innovate. Our software engineers are responsible for the full systems development life cycle for projects that use a variety of back end, front end, and database technologies. Day to Day Responsibilities: Work with a senior software engineer(s) and our modeling community to improve Corning’s modeling processes. This internship will involve developing a proof of concept GIS system for Corning. It will involve deploying a GIS database and web server in a Kubernetes cluster as well as testing the system by developing applications that can work with the system.

Travel requirements : None

Hours Of Work/work Schedule/flex-time
Normal Business Hours 8:00-5:00.
Duration: Summer 2021, 8-12 weeks.


Required Education
Pursuing Bachelor's Degree in Computer Science, Software Engineering, or similar degree requiring significant programming and project development.


Required Skills
Experience developing in an object-oriented programming language (Python, Java, etc.) and an ability to adapt to other languages.
A strong desire to learn new technologies such as relational databases.


Desired Skills
Collaborative work using a version control system.
Experience developing a project from end to end.
Experience with agile development approaches, automated unit testing / test-first design.
Experience with command line Linux.
Coursework, beyond what is required for the degree, in mathematics or science.


Soft Skills
Flexibility and the ability to manage change.
Ability to understand corporate culture and organizational awareness.
Results oriented with strong customer focus.
Creative problem-solving and rigorous decision making.

This position does not support immigration sponsorship.

We prohibit discrimination on the basis of race, color, gender, age, religion, national origin, sexual orientation, gender identity or expression, disability, veteran status or any other legally protected status.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",https://www.linkedin.com/jobs/view/externalApply/2488008381?url=https%3A%2F%2Fcorningjobs%2Ecorning%2Ecom%2Fjob%2FCorning-Research-Intern-2021-NY-14831%2F729565500%2F%3Futm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=dSu2&refId=568b09ef-bfd9-4551-8779-1e9ee6eeaa28&trackingId=uYjVg%2BrLH9ElLII4vwB9VQ%3D%3D&trk=public_jobs_apply-link-offsite
Summer Research Internship,The Center for Health Information and Analysis,"Boston, MA","The mission of the Center for Health Information and Analysis (CHIA) is to monitor the Massachusetts health care system and to provide reliable information and meaningful analysis for those seeking to improve health care quality, affordability, access, and outcomes.. CHIA also acts as a principal repository for health care data collected by the state and is responsible for key data assets such as the Massachusetts All-Payer Claims Database and the Massachusetts Acute Hospital Case Mix Databases.

CHIA’s Research Team is seeking a summer research intern. This is a temporary position that will run approximately June through September, though exact timing may be flexible.

The research intern will provide analytical and programming assistance for projects on health care access, affordability, utilization, and quality. Applicants should be current students or recent graduates of quantitative-oriented degree programs with an interest in health care, substantive prior experience working with data, and the ability to clearly communicate results to diverse audiences. The successful candidate will communicate proactively, work both independently and collaboratively, have excellent attention to detail, and aspire for continuous learning and professional development.

The internship will be conducted remotely, with regular meetings conducted via Zoom and/or Microsoft Teams, and expected hourly rate is $20 - $27/hour.

Specifically, the Research Intern will:

Work independently as well as collaboratively with team members in carrying out analyses as outlined in analytical plans
Implement data management tasks (e.g. merging, recoding, rearranging) to facilitate data analysis
Participate in quality assurance processes to ensure that reported data is reliable and accurate
Assist in preparation of reports and presentations on the results of such analyses
Communicate results at team meetings and agency-wide meetings
Conduct literature search on topics of interest and summarize findings in formats appropriate for internal review and distribution
Other duties as assigned
Preferred Qualifications:

Bachelor’s degree in social sciences, public policy, or quantitative field strongly preferred; current students or recent graduates of advanced degree programs a plus
Experience in health care or survey data analysis preferred
Experience with data management and analysis using SAS and/or other major statistical packages or languages (e.g. R, Stata, Python, SQL, SPSS Syntax) strongly preferred
Excellent oral, written, and interpersonal skills and the ability to work in teams

To apply visit: http://www.chiamass.gov/join-our-team/

2/24/2021

At CHIA, we are committed to earning a reputation as a great place to work and build a career. So if you're excited to be part of a diverse and innovative team responsible for identifying opportunities to improve health care in Massachusetts, come join us! To apply and for more information visit: https://www.chiamass.gov/join-our-team/

CHIA is an Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.

If you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Tonya Bourassa 617-701-8127.

Information submitted by applicants is collected through the JazzHR Platform, your submission of application materials constitutes your express consent for this information to be provided to JazzHR for processing. Please do not include any personally identifiable information with your application materials other than that specifically requested by CHIA. CHIA requests basic information such as name, address, telephone number, and email address. You may also self identify race/ethnicity, gender, disability and/or veteran status if you so choose. However, you should not provide more detailed personal information such as your date of birth or Social Security Number with your application materials.

In compliance with federal laws, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Powered by JazzHR

z1exFHTYgI",https://www.linkedin.com/jobs/view/externalApply/2488008381?url=https%3A%2F%2Fcorningjobs%2Ecorning%2Ecom%2Fjob%2FCorning-Research-Intern-2021-NY-14831%2F729565500%2F%3Futm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=dSu2&refId=568b09ef-bfd9-4551-8779-1e9ee6eeaa28&trackingId=uYjVg%2BrLH9ElLII4vwB9VQ%3D%3D&trk=public_jobs_apply-link-offsite
Fall 2021 Research Intern,The Thomas B. Fordham Institute,"Washington, DC","We are currently accepting applications for our Fall 2021 internships. Please see below for more information about theinternshipand how to apply.The Thomas B. Fordham Institute, based in Washington, D.C., provides severalinternshipsthroughout the year. Fordham'sresearchinternshipsinvolve diverse and meaningful responsibilities, including:
Research. The Fordham Institute's primary topics of interest are high standards and accountability systems; charter schools and school choice; curriculum and pedagogy; teacher quality; and the federal role in education. We seekinternswith experience and interest in the education field who can perform high-qualityresearchand write clearly and convincingly.Researchtasks include assisting with Fordham's ongoingresearchstudies as well as smaller day-to-day projects.
Commentary. The Fordham Institute is devoted to reforming K12 education. One of the main ways in which we do this is through our ongoing commentary. These outlets include the weekly publication of an influential national magazine, The Education Gadfly; a lively, interactive website and blog; a weekly podcast segment; and the publication of opinion pieces in various national publications.Researchinternsfrequently have the opportunity to contribute to these various media.
Administrative duties. In addition to the above responsibilities,interns occasionally assist with fielding phone calls, staffing education events, managing mail, answering e-mail queries, helping with Fordhams website, and other miscellaneous office duties.Qualifications:We seek resourceful, intelligent, organized, hard-working individuals who are capable of excelling in an intellectually stimulating and often intense work environment.Qualified candidates will have a Bachelor's degree or equivalent experience,prior research experience, strong writing skills, an interest in education, and proficiency in major Microsoft Office applications.The 6 month internship will run from June or July through the end of 2021 or early 2022 (we can be flexible on start and end dates). All researchinternshipsare full-time positions (Monday through Friday, 9:00 am to 6:00 pm) and the position pays $20.00 per hour.The Thomas B. Fordham Institute is an equal opportunity employer.Please browse our website for more information about our organization.TO APPLY:PLEASE DO NOT APPLY THROUGH IDEALIST.Individuals interested in aresearchinternshipshould submit 1) a brief cover letter, 2) resume, and 3) no more than three page writing sample (ideally combined into a single attachment)HERE (https://fordhaminstitute.org/about/careers)APPLICATIONS ARE DUE BY March 31, 2021OfficesNational",https://www.linkedin.com/jobs/view/externalApply/2493289940?url=http%3A%2F%2F9nl%2Ees%2FVUT7ot%3Fjz%3D4nmxk33351505AYANYAAVAAAQAAAAAAKQ%26tracking-details%3DYmlkPTAuMjEmYmlkdHlwZT1jcGMmc3JjPUxpbmtlZEluXy1fUHViemVlJmpJZD1hOTJkZGE1MjhkYzdhMjQ1YmUwZWRmZDM2ZTliYzJmMyZlbWQ9MC4wMCZwaElkPW5teGsmZUJpZD0wLjIx&urlHash=5pdf&refId=568b09ef-bfd9-4551-8779-1e9ee6eeaa28&trackingId=%2FCpmMWjtUILjeESc%2B2wLgg%3D%3D&trk=public_jobs_apply-link-offsite
Research Intern,JLL,"New York, NY","About JLL –

We’re JLL—a leading professional services and investment management firm specializing in real estate. We shape the future of real estate for a better world by using the most advanced technology to create rewarding opportunities, amazing spaces and sustainable real estate solutions for our clients, our people and our communities. As a Fortune 500 company, we help real estate owners, occupiers and investors achieve their business ambitions. We have nearly 300 corporate offices across 80 countries, with a team of more than 93,000 individuals and believe a diverse and inclusive culture is one where everyone succeeds. That’s why we’re committed to creating an environment where we all feel welcomed, valued and empowered to achieve our full potential.

With us, you’ll have a chance to innovate with the world’s leading businesses, put that expertise into action on landmark projects, and work on game-changing real estate initiatives. You’ll also make long-lasting professional connections and be inspired by the best. We’re focused on opportunity and want to help you make the most of yours. Achieve your ambitions—join us at JLL.

What This Job Involves

Summer Intern, Research – New York / Tri-State Market

Take the opportunity to start your career early in the commercial real estate field! Spend time learning what it’s like to work in the fast-paced, entrepreneurial, team-oriented environment at JLL.

Interns are an important part of what makes JLL a great place to work. Within our program, interns are an integral part of our team working alongside real estate analysts, transaction professionals and other associates. You will gain valuable insight into the commercial real estate industry while being exposed to multiple lines of business over the course of your internship.

JLL is looking for qualified interns to join our 2021 summer internship program. The ideal candidate should be prepared to work in a fast-paced team environment and will finish the internship having gained broad experience in various aspects of Commercial Real Estate.

The Research Intern will work collaborate with analysts to support ad-hoc projects such as researching economic trends as well as support the salesforce with requests from clients such as employment statistics, market trends, demographics and property intel. Successful candidates are passionate about what drives their city, economics and commercial real estate.

Program Details-
Beginning June 2021
Length of program runs 8-10 weeks
Full time (40 hours per week)
Located in New York City, NY

Qualifications-
Current undergraduate students majoring in- Real Estate, Urban Planning, Economics, Finance, Business Administration, or a related field
Desire to work in the Commercial Real Estate industry
Rising seniors and 2021 graduates highly preferred

Skills & Abilities-
Highly energetic with ability to work independently and with minimal direction
Must be outgoing and can connect with individuals on the phone
Written and verbal communicative skills
Detail-oriented, highly organized and creative
Proven record of providing excellent customer service
Ability to develop and maintain positive customer relationships
Comfortable presenting ideas and solutions to leadership and key stakeholders
Strong financial and analytical skills
General business experience

Technical Qualifications-
Strong analytical skills interest in analyzing data
Strong excel skills
Customer service mindset
Able to think critically and problem solve
Strong written and oral communication skills
Strong knowledge of PC, Windows, Internet applications, Microsoft Word, Excel and PowerPoint a must
Adept at learning new programs. Position may require one to learn a variety of real estate related software applications
Please only apply to one internship posting.

About JLL Research-

JLL Research consists of 570+ full-time professionals globally and is the largest research group in the real estate industry and among the best of any world-wide professional services firm. Our mission is ""To create clear business advantage for our clients through the strategic use of accurate data, market intelligence and innovative thinking from around the world."" Our research activities include maintaining comprehensive property market databases; analyzing current market conditions and future trends; recognizing the factors that drive property performance and occupancy trends; and providing research-led strategy and advice to investors, developers and occupiers around the world. We are focused no developing new metrics and methodological tools to capture and recognizing he factors driving office, retail and warehousing/logistics real estate markets across the world and bring insight to the future for our clients.

What You Can Expect From Us

We succeed together—across the desk and around the globe and believe the best inspire the best, so we invest in supporting each other, learning together and celebrating our success.

We can’t wait to see where your ambitions take you at JLL.

Apply today!

JLL Privacy Notice

Jones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL’s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.

For more information about how JLL processes your personal data, please view our Candidate Privacy Statement .

For additional details please see our career site pages for each country.

For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here .

Jones Lang LaSalle (“JLL”) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process – including the online application and/or overall selection process – you may email us at Accommodation.Reques@am.jll.com . This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL.",https://www.linkedin.com/jobs/view/externalApply/2465364363?url=https%3A%2F%2Fjll%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2Fjllcareers%2Fjob%2FNew-York-NY%2FResearch-Intern_REQ136208%3Fsource%3DAPPLICANT_SOURCE-6-42&urlHash=SX9u&refId=568b09ef-bfd9-4551-8779-1e9ee6eeaa28&trackingId=Wwq86CkWhN6PdU1R3iWMjQ%3D%3D&trk=public_jobs_apply-link-offsite
Research Intern,Berkshire,"Boston, MA","Berkshire’s Summer Internship program provides Sophomore or Junior undergraduate students an enriched experience with hands-on opportunities through projects and real-life situations. Under the general direction of the SVP, Head of Research, Chief Economist, the Research Intern will assist in developing market analysis tools, reports and dashboards while working on a summer project that will consist of creating a real estate performance dashboard.

At the end of the summer, the intern will prepare and deliver a presentation to Berkshire’s Senior Leadership Team summarizing their work with Berkshire, the insights they gained through their internship experience, and recommended process enhancements.

The Company may revise this job description from time to time as business needs require. It is not intended to be an exhaustive listing of all the functions of the job, nor is to limit the Company right to assign other functions to an employee in this position. This job description does not constitute a written or implied contract of employment.",https://www.linkedin.com/jobs/view/externalApply/2416527509?url=https%3A%2F%2Frecruiting%2Eultipro%2Ecom%2FBER1009TBG%2FJobBoard%2F66b80eac-9323-4c54-9e00-7b3d65cf651d%2F%2FOpportunityDetail%3FopportunityId%3D668be1ca-93c0-4ca9-b94b-ceeb9b4efe26&urlHash=lfbl&refId=568b09ef-bfd9-4551-8779-1e9ee6eeaa28&trackingId=g%2BfTo6wQ5iDAqk3KUflfVg%3D%3D&trk=public_jobs_apply-link-offsite
Research Intern,Perceptive Automata,"Boston, MA","At Perceptive Automata, we use our understanding of human behavior, computer vision, and machine learning to make autonomous vehicles safer for people on and near the road.

We offer summer internships to qualified graduate students. As a member of our small team, you will have the opportunity to develop and use a wide range of skills while helping to analyze our experiments and data sets. Your contributions will have an out-sized effect on our research efforts.

Strongly Preferred Skills & Background
Background in a quantitative field (Machine Learning, Computer Science, Mathematics, Physics, or equivalent field) or track record of related work experience
Strong programming skills in Python
Experience working with broad datasets in variable format
Comfortable operating and developing in a Linux environment
High degree of self-motivation and initiative
Strong communication skills (both written and verbal)
Eagerness to learn and master new skills
Also Helpful:
Experience with human annotator data
Experience with active learning
Experience with Bayesian statistics
Previous work in a team on large-scale Python projects
Perks:
Competitive Compensation
Modern urban office space with natural light and greenery
Lunch provided daily by local restaurants
Unlimited healthy snacks & beverages
Journal clubs, guest speakers & learning opportunities
In-office gaming, board games & books
Office lending library
Company outings
Diverse events organized by team members on an ad-hoc basis
Company Overview:
Perceptive Automata is a machine learning and computer vision company started by Harvard and MIT scientists that is developing a novel approach to help make autonomous vehicles safer for others on (or near) the road. We are supported by top Silicon Valley investors and global car makers and are growing rapidly in response to increasing demand for this technology.

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number ""63879"". Message & data rates may apply. Please refer to our privacy policy for more information.",https://www.linkedin.com/jobs/view/externalApply/2483990327?url=https%3A%2F%2Fperceptive-automata%2Etalentify%2Eio%2Fjob%2Fresearch-intern-boston-massachusetts-perceptive-automata-4590439002%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGozc202YixlcHJvNjA2ZGI4OGZlNmYzNDMyNzU2NDc5Nw&urlHash=tBOe&refId=568b09ef-bfd9-4551-8779-1e9ee6eeaa28&trackingId=h7G5OlbNT82tBHhPT%2BBqMQ%3D%3D&trk=public_jobs_apply-link-offsite
