title,company,location,requirements,link
Social Media Intern,Saks OFF 5TH,"New York, NY","What This Position Is All About

The Social Media Intern, reporting to the Manager, will be responsible for supporting the Social Media Team in everyday initiatives relating to the Saks OFF 5TH social channels.

The Social Media Intern will help with content creation, image selection, and reporting and analytics. The ideal candidate will have a positive attitude, a creative eye and exceptional writing skills, all while being detail-oriented, results-driven, organized, and a dependable team player.

This is a part-time internship (20-25 hours per week) between Monday through Friday with no determined end date. There is schedule flexibility based on the Intern’s class schedule and the Intern has the option to work remotely.

Who Are You
Strong verbal and writing skills
Strong time and project management with exceptional attention to detail
Demonstrated ability to handle multiple projects simultaneously and meet tight deadlines
Self-motivated, proactive, and energetic individual with a high level of initiative and thrives working a fast-paced, challenging digital environment


You Also Have
Basic knowledge/background of e-commerce, social media marketing, and best practices
A third or fourth year student pursuing a Bachelor’s Degree in Marketing or Communications
Strong proficiency in Excel (including creating Pivot Tables/formulas), Word, and PowerPoint
Basic Adobe Photoshop experience would be a plus
Availability to work 20-25 hours per week, Monday through Friday (there is schedule flexibility based on class schedule and the option to work remotely).


As The Social Media Intern, You Will
Own our content calendar across all existing social media channels & manage postings.
Manage all projects and process docs to ensure streamlined workflow between social and internal departments.
Develop an optimal posting schedule, considering web traffic & customer engagement metrics.
Own community management responding to comments & actively engaging with customers & influencers posts.
Pull and analyze platforms’ reporting and analytics
Research best practices and industry insights, and proactively recommend best practices
Stay abreast of changes in all social platforms ensuring maximum effectiveness.
Build strong relationships with both external social media vendors and internal departments (i.e. Creative, Merchandising, Site Team, etc.)
Managing and monitoring all local Saks OFF 5TH social channels across Facebook and Instagram
Provide weekly recaps and insights on page performances to help optimize local strategy
Additional responsibilities as required


Your Life And Career At Saks OFF 5TH
Be part of an empowered, innovative team; work with an adventurous spirit and a customer-centric mindset; play a critical role in making decisions that will position us to win
Exposure to rewarding career advancement opportunities across different functions within our corporate offices, retail stores, photo studios, and distribution centers
A culture that promotes a flexible work environment
Benefits package for all eligible full-time employees (including medical, dental and vision)
An amazing employee discount and other exciting perks


Thank you for your interest with Saks OFF 5TH. We look forward to reviewing your application.

Saks OFF 5TH provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Saks OFF 5TH complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Saks OFF 5TH welcomes all applicants for this position. Should you be individually selected to participate in an assessment or selection process, accommodations are available upon request in relation to the materials or processes to be used.",https://www.linkedin.com/jobs/view/externalApply/2473692454?url=https%3A%2F%2Fwww%2Ecareershbc%2Ecom%2Fen%2Fjob%2F210001AH%2FSocial_Media_Intern%3Fsrc%3DSNS-102&urlHash=Pl0Z&refId=d6e76444-9fe0-404d-8fc3-5219405ef868&trackingId=tOPoBgbdNYVLMGF98%2BTlrA%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern,Staples Stores,"Framingham, MA","Description

Staples US Retail Marketing is looking for an enthusiastic intern to join our team and provide creative ideas to help achieve our goals. As a Social Media Specialist at Staples U.S. Retail, you will gain hands on experience as part of our retail marketing and media teams focusing on the day to day operations and project support for our social media program.

In this role you can expect every day to be a little different than the day before, always having a keen eye on how we engage and communicate with our customers across social media platforms. You will have administrative duties in developing and implementing key components of our social media strategy including social profile maintenance, creative brief development, social listening monitoring and creative showcases and reporting. This internship will help you acquire skills and provide you with experience implementing various creative and communication strategies. Ultimately, you will gain broad marketing experience and should be prepared to enter a fast-paced work environment.

Impact On Business & Key Responsibilities
Create and publish organic and paid social media content for Staples social platforms (Facebook, Instagram, LinkedIn, Pinterest, Snapchat, TikTok, and YouTube)
Create and review social listening reports to uncover new insights and trends
Manage messaging calendar as all social platforms
Collect upcoming creative executions to showcase strategy and upcoming priorities
Provide inputs into creative briefs and planning
Activate the field with local social content at the store level
Stay on the pulse of trends, identifying key consumer insights against target audiences to inform creative development, platform innovation, brainstorming and real-time social media opportunities


Communication/Interactions
Disciplined and detail-oriented personality
Strong desire to learn along with professional drive
Excellent verbal and written communication skills
Creative and passionate about art as a storytelling mechanism
Highly collaborative team player who is always ready to roll-up their sleeves and get the job done
Experience with large enterprise, corporate ways-of-working both virtually and in person a nice to have


Qualifications

Essential skills and experience:
A college student or graduate who possesses a relevant degree or an equivalent level of real-life experience


Preferred Skills And Experience
Excellent knowledge of MS Office, PowerPoint, and Excel
Interest in customer insights and application to marketing strategy
Experience publishing and creating content on social media platforms
100K+ followers on Tik Tok (just kidding but strong passion for social media as a communication platform)


Click to learn more about the employee benefits, programs and perks offered at Staples.

Staples is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other basis protected by federal, state, or local law.",https://www.linkedin.com/jobs/view/externalApply/2466666922?url=https%3A%2F%2Fwww%2Eapplytracking%2Ecom%2Fx%2Easpx%3Fmethod%3Ddirect%26type%3Dapply%26board%3DD92FCD45-1292-4AE2-B555-D7A273418B42%26Job%3D1155858%26ClientCode%3D17604&urlHash=Q-c6&refId=d6e76444-9fe0-404d-8fc3-5219405ef868&trackingId=lthSDajz8VII0%2BELsGgv9A%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern 2021,Supermajority,"New York, NY","Position Summary

Women are on the cusp of becoming the most powerful force in America. But to fundamentally transform this country, we need to pull together the millions of women who are already engaged and amplify and expand their civic engagement. Supermajority Education Fund is building women's power across the country by training and mobilizing a multiracial, intergenerational community who will lead the fight for gender equity. We provide women with the tools, resources, and knowledge they need to channel the energy and activism of this moment and build it into a long-term movement for change.

Since our founding in April 2019, Supermajority Education Fund and our related 501(c)(4) organization, Supermajority, have reached more than a million women through in-person conversations and online outreach. In August 2019, over 75,000 people from all 50 states completed our Women's* Poll, which led to the creation of the Majority Rules, a set of values to help us build the country we deserve. In September and October 2019, the Supermajority Education Fund Bus Tour met up with thousands of women across fourteen states. In December 2019 welcomed Pantsuit Nation, an online community of more than 3 million women and allies, into our organization. In 2020, we ran the country's largest woman-to-woman voter engagement program by offering strategic digital tools, training, and information to women and allies around the country. In 2021, we are continuing the work of engaging and mobilizing women across the country, in the wake of the coronavirus pandemic and it's disproportionate impact on women, specifically women of color.

Supermajority Education Fund is seeking two Social Media Interns who will support the Social Media Manager with daily execution of Supermajority Education Fund's social media platforms and with executing a small network of partner creators. All duties can be conducted virtually during the COVID-19 pandemic.

Responsibilities And Tasks

The Social Media Interns will be responsible for the following responsibilities:
Drafting, scheduling and posting social media content for Supermajority's social channels in daily collaboration with the Social Media Manager
Provide community management support on our social channels by responding to replies/direct messages, liking and commenting across channels and replying to partners/aligned activists
Being a thought partner with fellow members of the Communications and Brand team in brainstorming content ideas and content execution
Working across Supermajority's Communications and Brand team to execute content including aligned partner activations, breaking political/policy news and recruitment for events and other volunteer opportunities
Assisting the team with research, operations and administration, as needed

Required skills, knowledge, and qualifications:
Knowledge of and demonstrated proficiency in social channels: including but not
limited to Facebook, Twitter, Instagram, TikTok, Youtube and Clubhouse. Expertise in one particular social media channel over others is great as well!
Strong writing and social skills: is able to consolidate information for digital copy and will ask questions and for help when needed
Strong virtual communication and collaboration skill: Comfort with (or willingness to learn) daily interactions within Slack, Google Suite -- is responsive via email, and willingness to participate in group calls as their schedule permits.
Curiosity about politics, emerging technology and social media trends: and is excited to dig into ways to creatively engage young women and women of color with audience-first content that speaks to their lives and journeys on Day 1
Working for racial equity: Willingness to integrate an understanding of key racial equity concepts into work projects and interactions by addressing structural implications and disproportionate impacts of policies, activities, and decisions on race, class and other group identities within the context of the internship's responsibilities and projects

The strongest candidates will also have some of the following skills and experience:
Familiarity with Supermajority Education Fund's mission and brand and/or has an invested interest in building women of color's power and voice online
Familiarity with Instagram: Highlights, Stories, Reels, Guides and/or Lives.
Beginners experience with Excel, Powerpoint and/or Canva -- OR a strong willingness to gain skills in these areas
A beginners understanding of using Photoshop, Indesign, video editing and/or social-first video content creation -- OR a strong willingness to gain skills in these areas
Experience creating TikToks and a working knowledge of TikTok trends, top creators and algorithm


Compensation
Hourly rate for this position is $15/hour, 20 hours per week.


How To Apply

Please submit a resume by Friday, April 16th via the link above. Candidates may be asked to submit writing samples and/or complete a written assessment as part of the interview process. Applications will be reviewed as they are received.

New Venture Fund Careers
Supermajority Education Fund is a project of the New Venture Fund (NVF), a 501(c)(3) public charity that incubates new and innovative public-interest projects and grant-making programs. NVF is committed to attracting, developing and retaining exceptional people, and to creating a work environment that is dynamic, rewarding and enables each of us to realize our potential. NVF's work environment is safe and open to all employees and partners, respecting the full spectrum of race, color, religious creed, sex, gender identity, sexual orientation, national origin, political affiliation, ancestry, age, disability, genetic information, veteran status, and all other classifications protected by law in the locality and/or state in which you are working.

Supermajority Education Fund collaborates and shares resources with Sixteen Thirty Fund's Supermajority project.",https://www.linkedin.com/jobs/view/externalApply/2486992174?url=https%3A%2F%2Fgrnh%2Ese%2F21ee182a2us&urlHash=0Q4G&refId=d6e76444-9fe0-404d-8fc3-5219405ef868&trackingId=T6yd6vAJfSIJ3Yw%2Blh7BXg%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern,Chegg Inc.,"Providence, RI","Social Media Intern
Remote, United States

As our Social Media Intern, you will leverage our social media platforms to build brand awareness and drive engagement amongst our audiences. You’ll work closely with internal teams to uphold our social media customer service experience, act as the face and voice of our business, and infuse our tone throughout our social media platforms. You will interact daily with our social media communities and play a key role in the development of social media strategies and content.

Responsibilities
Work alongside the Social Media Team to help execute monthly social media strategies
Assist in the growth of the brand through existing social media platforms (Instagram, Twitter, Facebook, LinkedIn)
Develop new ideas and strategies for expansion on new social media platforms (Pinterest, Tik Tok, YouTube)
Interact with followers and potential customers by communicating and answering questions through the company's social pages
Provide creative insight into topics to be included in monthly editorial calendars and seek creative ways to spread our message
Deliver feedback on content performance
Collaborate with the Marketing team, attend relevant meetings, and understand how social fits into broader marketing strategy and goals

Requirements
Majoring in business, marketing, journalism, advertising, public relations, or a communications-related field
Some social media management experience
Extremely strong written and verbal communication skills
Strong customer service experience with proven ability to solve problems
High-level understanding of social media analytics
Excellent attention to detail and a high motivation to learn
Comfortable working with Microsoft Office and Slack
Energetic, creative, resilient, and team-oriented
Entry-level understanding of marketing strategy
Ability to work 40 hours per week
Chegg out our intern program!

http://www.chegg.com/jobs/university

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

Chegg is an equal opportunity employer

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI",https://www.linkedin.com/jobs/view/externalApply/2419651964?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OWZEEFWH%2F&urlHash=WqtJ&refId=d6e76444-9fe0-404d-8fc3-5219405ef868&trackingId=3FL1jlqsUjfAXjZEvhgEPA%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern,Longitude PR,"Charleston, SC","Longitude PR, a brand new travel and hospitality PR firm, is seeking a creative, entrepreneurial social media intern to help launch the brand’s presence across social media platforms, specifically Instagram. This position provides the opportunity to gain valuable hands-on experience creating, managing and executing content directly under the guidance of the CEO/Founder.
 This is an unpaid internship, eligible for college credit only. Work schedule is flexible, with an estimation of 10-15 hours per week.

Responsibilities:
Work directly with CEO to develop social media strategy and content calendar
Gather and edit digital assets for use on social platforms
Develop and execute social media posts
Track social media engagement to identify high-performing posts
Brainstorm ideas for creative campaigns
 Qualifications/Skills:
Passion for the travel and hospitality industry
Degree or pursuit of degree in Communications or other related field
Excellent knowledge of social media platforms, especially Instagram
Working knowledge of social media analytics
Experience creating social media content calendars
Proactive, entrepreneurial approach
Creative mindset
Strong written and verbal communications skills",https://www.linkedin.com/jobs/view/externalApply/2419651964?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OWZEEFWH%2F&urlHash=WqtJ&refId=d6e76444-9fe0-404d-8fc3-5219405ef868&trackingId=3FL1jlqsUjfAXjZEvhgEPA%3D%3D&trk=public_jobs_apply-link-offsite
Content Intern - Spring/Summer 2021,Curated,"Boston, MA","If you are passionate about writing, editing, video production, photography, social media, or podcasting, come join our Content team for the summer at Curated!

Curated is an outdoors gear e-commerce site where you shop with an expert. As a Content Intern, you will join a dynamic :50-person startup humanizing the online shopping experience. You will collaborate with experts across a diversity of fields - including skiing, snowboarding, golf, cycling, camping, and fly fishing, create engaging content that resonates with our audience, learn and implement search engine optimization and social media marketing best practices, and understand the dynamics of remote team collaboration. This role is perfect for someone who is excited to share the in-depth gear knowledge of Curated experts and tell stories with compelling narratives and design.

Our team is comprised of industry veterans from companies, such as Google, LinkedIn, Facebook, and National Geographic, with multiple successful exits under their belt. We're supported by Forerunner Ventures (Warby Parker, Glossier, Away, Jet.com) and are growing fast as we continue to gain traction.

Due to the COVID-19 pandemic, this internship will be virtual and we welcome applications from students across the United States.

About The Role

Last year’s Content interns provided an enormous amount of value, immersing into every stage of content production and contributing in the following ways:
Pitched ideas, researched and designed new formats, and coordinated end-to-end content production, including new articles on the Expert Journal, video series on Youtube, product page modules, and social media campaigns on Instagram and Facebook
Sourced and organized content from Curated experts
Edited and published content, and provided feedback to writers
Supported strategies for distributing content across social media and marketing platforms
Learned and implemented our brand style and voice
Conducted user research to uncover actionable insights for improving content
Monitored and reported on content performance
Researched industry trends, including best practices on multiple platforms and successful engagement campaigns
And much more!
If you are passionate about content creation, have a knack for storytelling, an interest in design, and love the outdoors, come work with us!

Basic qualifications:
You are able to complete a full-time virtual internship spanning at least 10 weeks
You are passionate about what we do
Preferred qualifications:
You have a passion for storytelling
You have excellent written and verbal communication skills
You have meticulous attention to detail
You are self-motivated and highly organized with a strong work ethic
You are a great teammate and are able to work cross-functionally with partners in all areas
You have writing, editing, graphic design, Final Cut Pro, Adobe Creative Suite, and/or Photoshop experience
You have an interest and/or experience in golf, fly fishing, camping, cycling, skiing, and/or snowboarding
If you are interested, please submit your resume and cover letter, and, if available, a link to your portfolio.

About Curated

Curated inspires people to pursue their passions. Whether it be skiing, snowboarding, cycling, camping, or fly fishing, Curated connects you with an expert who helps you find your perfect gear for adventure.

About The Team

Our goal is to empower experts to create the best possible e-commerce experience for their customers. We’re a team of :50, spread out across the San Francisco Bay Area, Atlanta, New York City, Montana, Colorado, Brazil, and Europe. We care about our experts, the outdoors, and each other.

Our commitment to diversity and inclusion

Curated is an equal opportunity employer and we value diversity. We encourage candidates of all backgrounds to apply, as we strive to build a marketplace that serves every demographic with the highest level of quality and respect. We’re committed to growing and empowering a more equitable, diverse, and inclusive community within both the outdoor and the tech industries.

https://www.curated.com

Powered by JazzHR

N3iCqplNvL",https://www.linkedin.com/jobs/view/externalApply/2419651964?url=https%3A%2F%2Fjobs%2Echegg%2Ecom%2Fjob%2FCHEGA0056OWZEEFWH%2F&urlHash=WqtJ&refId=d6e76444-9fe0-404d-8fc3-5219405ef868&trackingId=3FL1jlqsUjfAXjZEvhgEPA%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern,Boston Medical Center (BMC),"Boston, MA","Social Media Intern

Boston Medical Center (BMC) is more than a hospital. It's a network of support and care that touches the lives of hundreds of thousands of people in need each year. It is the largest and busiest provider of trauma and emergency services in New England. Emphasizing community-based care, BMC is committed to providing consistently excellent and accessible health services to all-and is the largest safety-net hospital in New England. The hospital is also the primary teaching affiliate of the nationally ranked Boston University School of Medicine (BUSM) and a founding partner of Boston HealthNet - an integrated health care delivery systems that includes many community health centers. Join BMC today and help us achieve our Vision 2030 which is a long-term goal to make Boston the healthiest urban population in the world.

Position: Social Media Intern

Department: Social Media II

Schedule: Part Time

Position Summary

This Social Media internship position will provide the opportunity to gain professional experience in social media, corporate communications and content marketing as a member of the Communications and Marketing Department at Boston Medical Center. The intern will experience what it's like to be a valued member of a fast-paced team, and work on day-to-day projects as well as larger communication campaigns in support of the institution's key goals and objectives.

The Candidate's Job Responsibilities May Include
Drafting copy/developing assets for BMC social media accounts (Facebook, Twitter, LinkedIn, Instagram)
Assisting with community management across all social accounts
Taking photos for social media posts
Creating Instagram story content (video, photos, graphics)
Developing content for weekly social media series
Trivia Tuesday, Friday on the Farm, Thursdays in the Teaching Kitchen, #BMCProud, Follow Friday, etc
Uploading social media copy to social media scheduling tool
Developing creative ideas for social media campaigns and content
Assisting with video and photography shoots at the hospital
Assisting with metrics reports
Helping the team stay up to date with social media trends and updates
Supporting the team with various content/communication projects

Preferred Skills
Experience working with social media for a brand
Experience with a social media scheduling tool (Hootsuite, Spredfast, Sprinklr)
Strong writing
Photography
Graphic design
Req id: 18388",https://www.linkedin.com/jobs/view/externalApply/2489055142?url=https%3A%2F%2Fjobs%2Ebmc%2Eorg%2Fjobs%2F18388%2Fbmcrms%2Fboston%2Fgeneral-positions%2Fsocial-media-intern%2F%3Futm_source%3DLinkedIn&urlHash=Y_0G&refId=d6e76444-9fe0-404d-8fc3-5219405ef868&trackingId=MaXqz18v8DvYnR6hyZ0l1w%3D%3D&trk=public_jobs_apply-link-offsite
Social Media Intern,Beatport,"Remote, OR","Beatport is looking for a Social Media Intern to join our team in Berlin. We are looking for someone with all-round knowledge of social media channels and willingness to learn analytical tools. Someone with a strong voice and innovative ideas in content and communication. If you are ready to contribute with your ideas to the success of Beatport as a company and Beatport as a brand, we would like to speak with you. This role is directly reporting to the Head of Content.
Please be aware that we can only accept Berlin or UK candidates' applications if the Internship is part of your studies (mandatory internship).

Responsibilities
Working with the Media division, you will support the Marketing, Digital Marketing, Label Management, Artist Management and Curation teams, to schedule and post content on a daily basis.
Content will include but is not limited to: video, image, stories, live streams, conversation starters, questions and everything in between.
You will be expected to source third party content and repurpose it for usage on Beatport's channels.
You will interact with Beatport's social community using Beatport's distinctive voice.
Assist in setting up giveaways
The role also requires support in the preparation of social media strategies for product and campaign launches.
Support the delivery of brand campaigns to support client objectives.
You will be expected to support the set up of paid advertising and promotion on all platforms and report on the results.
Weekly and monthly analysis of channel performance and reporting.
There will be scope in this role to offer creative input on all marketing initiatives, content creation & video editing.
Requirements
Working towards a degree in Social Media, Marketing or otherwise related field, or equivalent experience.
Highly organized and thorough, able to work in an agile and dynamic environment.
Good verbal and written communication skills.
An insatiable appetite for Social Media and an early adopter with the latest trends.
The willingness to listen to feedback and use it to improve.
Reliable, friendly, easy going, good sense of humor and enjoy working in an open plan environment.
Enthusiasm, genuine interest and familiarity with electronic music of all genres.
Native English speaker is a plus
Software
Proficient in Mac OS environment
Proficient skills on all social media platforms, analytical tools and ad managers.
Proficient skills using OBS and video streaming servers.
Proficient in using all Office applications including Google Docs, Microsoft and Apple apps.
Basic Adobe Suite knowledge a plus.
EQUAL EMPLOYMENT OPPORTUNITY
Beatport strongly supports equal employment opportunity for all applicants regardless of race, color, religion, sex, gender identity, pregnancy, national origin, ancestry, citizenship, age, marital status, physical disability, mental disability, medical condition, sexual orientation, genetic information, or any other characteristic protected by state or federal law.
HIRING PRACTICES
The preceding job/intern description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job. Beatport's recruitment policies are designed to place the most highly qualified persons available in a timely and efficient manner. Beatport may pursue all avenues available, including promotion from within, employee referrals, outside advertising, employment agencies, Internet recruiting, job fairs, college recruiting and search firms.",https://www.linkedin.com/jobs/view/externalApply/2487214855?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2Fb7c06dd0a4146e4ed14de53ecc4b21a2&urlHash=HmSe&refId=d6e76444-9fe0-404d-8fc3-5219405ef868&trackingId=UjSaDvxu%2FF5J3SDL6o4eWw%3D%3D&trk=public_jobs_apply-link-offsite
Social Media & PR Intern,Formlabs,"Somerville, MA","To reinvent an industry, you have to build the best team. Join Formlabs if you want to bring groundbreaking professional 3D printers to the desktop of every designer, engineer, researcher, and artist in the world.

Communications at Formlabs supports the storytelling and marketing of the company's mission, products and people. Communication crosses many departments and disciplines - content, social media, design and more.

If you have a passion for communicating stories and a desire to understand and learn more about the 3D printing industry, then we want you as a Social Media and PR Intern.

The Job:

Assist in the creation and copywriting of incredible content from product launches to blogs and whitepapers
Help to maintain and organize our content calendar, assist in project managing team-wide efforts, and work across teams to ensure we can pull off amazing and ambitious content.
Contribute to and support PR output efforts with research, deadline tracking, and content writing
Track the 3D printing industry for media and social media ideas
Work with other marketing teams to highlight, promote and share exciting work
Support reporting results and creatively approach new reporting standards
Help grow our business through creative thinking and optimization of ongoing efforts
Understand intricacies of a booming industry

You:

Passionate, driven, and ready to take on any challenge
Social media fluent and tech savvy
A deep understanding of platforms
Excellent communication and interpersonal skills
Fluent and fast at copywriting
Ability to think creatively and produce superb work under multiple deadlines
Masterfully prioritize and manage time tasks
Strong desire to learn and implement PR strategies
An interest in gaining hands-on social media experience

Bonus Skills (Optional):

Prior PR experience
Experience working in a startup
A passion for technology
Social media management skills and an understanding of the latest trends and what's next

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Even if you don't check every box, but see yourself contributing, please apply. Help us build an inclusive community that will change the face of 3D printing",https://www.linkedin.com/jobs/view/externalApply/2486961726?url=https%3A%2F%2Fgrnh%2Ese%2F6a8bb62a1us&urlHash=6RsB&refId=d6e76444-9fe0-404d-8fc3-5219405ef868&trackingId=L7XolOB4Pu5INsOlrfp3pg%3D%3D&trk=public_jobs_apply-link-offsite
Digital Social Media Intern (Paid),Confidential,"New York, NY","We’re a small, Brooklyn-based creative agency seeking a part-time, paid intern to join our team, working on social media for a major corporate client. We’re looking for someone who is ready to get involved with all aspects of the project management + creative process, from concept to content creation.

As a digital social media intern, you'll work closely with our project manager to manage and deliver files and respond to client requests, and work with our creative team to help develop copy, assist with photoshoots, and monitor social conversations.

Job Responsibilities:
Partner with project manager to manage creative workflow, feedback, and timelines
Assist with organizing assets as they arrive from client and partners
Participate in internal and client meetings, and take detailed notes
Prepare files for delivery to client
Assist with in-house photo shoots
Work with team to brainstorm digital campaign and activation ideas
Optional: Opportunities to learn + assist with graphic design or copywriting work, if desired

Skills and Experience:
Working towards a BA or BS degree, or equivalent work experience
Familiarity with Mac OS, Google Docs and Microsoft Office
Proactive and organized
Initiative, willingness to take on new challenges and learn new skills
Flexibility to work well with a small team in a creative environment",https://www.linkedin.com/jobs/view/externalApply/2486961726?url=https%3A%2F%2Fgrnh%2Ese%2F6a8bb62a1us&urlHash=6RsB&refId=d6e76444-9fe0-404d-8fc3-5219405ef868&trackingId=L7XolOB4Pu5INsOlrfp3pg%3D%3D&trk=public_jobs_apply-link-offsite
