title,company,location,requirements,link
Software Engineering Intern,Sony Electronics,"San Diego, CA","Sony Electronics, Inc. look for the risk-takers, the collaborators, the inspired and the inspirational. We want the people who are brave enough to work at the cutting edge and create solutions that will enrich and improve the lives of people across the globe. So, if you want to make the world say wow, let's talk.

We are looking for an aspiring developer with a background in developing web or android applications and server APIs.

The ideal candidate enjoys development as their side hobby, exploring new web frameworks and languages, and is fastidious about their code. Using and/or contributing to open-source projects is big plus as well as experience with unit testing code, continuous integration and test-driven development.

This position is based at Sony Electronics U.S. Headquarters, located in San Diego, CA.

Job Requirements
Experience building web services and applications with one or more of:
NodeJS, MySQL, PHP, Java, Angular, Backbone, Underscore
Familiarity with linux and scripting languages
Experience with client-server architecture and web services
AWS, Docker, and CI/CD experience preferred
Strong interest in pursuing a design and development career path
Sony Electronics is an Equal Opportunity Employer that values employees with a broad cross-cultural perspective. We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond. All applicants will receive fair and impartial treatment without regard to race, color, religion, sex, national origin, ancestry, citizenship status, age, legally protected physical or mental disability, protected veteran status, status in the U.S. uniformed services, sexual orientation, gender identity or expression, marital status, genetic information or on any other basis which is protected under applicable federal, state or local law.

Disability Accommodation for Applicants to Sony Electronics, Inc.

Sony Electronics, Inc. provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job application procedures. For reasonable accommodation requests, please contact us by email at talenthelp@am.sony.com , or you can mail your resume to: Sony Electronics, Human Resources Department, 16535 Via Esprillo, San Diego CA 92127. Please indicate the position you are applying for.

EEO is the Law

EEO is the Law Supplement

Right to Work (English/Spanish)

E-Verify Participation (English/Spanish)",https://www.linkedin.com/jobs/view/externalApply/2492325818?url=https%3A%2F%2Fsonyglobal%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSonyGlobalCareers%2Fjob%2FSan-Diego%2FSoftware-Engineering-Intern_JR-105249%3Fsource%3DLinkedin&urlHash=Icce&refId=a25fb7d4-acb1-4d0d-b890-32d4aaab476f&trackingId=QAk3ERuhwLb5EEHL9Wqbbw%3D%3D&trk=public_jobs_apply-link-offsite
Summer 2021 Internship: Software Engineer,Walmart,"Bentonville, AR","Day To Day Responsibilities

Position Summary... What you'll do...

Managing small to large-sized complex projects
Modeling compliance with company policies and procedures and supporting company mission, values, and standards of ethics and integrity
Participating in the discovery phase of projects to come up with high level design
Supporting the implementation of business solutions
Troubleshooting business and production issues

Minimum Qualifications...

Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.

Preferred Qualifications...

Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.
Primary Location...805 SE MOBERLY LN, BENTONVILLE, AR 72712, United States of America",https://www.linkedin.com/jobs/view/externalApply/2473683734?url=https%3A%2F%2Fclick%2Eappcast%2Eio%2Ftrack%2F6g8ypu0-org%3Fcs%3D4c%26jg%3D1yfx%26bid%3DlUf2CslKyPxm6i440ZgUYA%3D%3D&urlHash=PQ89&refId=a25fb7d4-acb1-4d0d-b890-32d4aaab476f&trackingId=tUH%2B1hT04ok%2Ba9VaEpoVHw%3D%3D&trk=public_jobs_apply-link-offsite
"2021 Software Engineer, Intern",Zoom,"San Jose, CA","Zoomies help the world connect — and deliver happiness while doing it. We set out to build the best video conferencing product for the enterprise, and today help people communicate better with products like Zoom Phone, Zoom Rooms, Zoom Video Webinars, Zoom Apps, and OnZoom.

We’re problem-solvers and self-starters, working at a fast pace to design solutions with our customers and users in mind. Here, you’ll work across teams to dig deep into impactful projects that are changing the way people communicate, and enjoy opportunities to advance your career in a diverse, inclusive environment.

As a Software Engineering Intern, you will have opportunities to work across our stack, developing software ranging from Web Server to business application layer for our distributed, cloud-hosted backend. This paid internship is for a duration of approximately 10 - 12 weeks during the Summer of 2021. The program offers cutting edge projects, as well as a mix of additional types of learning in areas of leadership and business acumen -- and is packed full of fun! Our goal is to provide our interns with world-class managed experiences, so we can ensure happiness occurs every step of the way!

Responsibilities
Assist with building and maintaining Zoom product features and services.
Build, deploy and upgrade our real-time compute infrastructure.
Design and implement features to improve our systems.
Connect with customers to understand their goals and needs and translate those into solutions our team can deliver.
Configure tooling for systems scalability, ensure we have the capacity for future growth.
Ensure our systems are continuously monitored and running efficiently with a consistent, unified experience across products, platforms, and devices.
Test current algorithms and write testing documents.
Collaborate with internal stakeholders across the business to drive the delivery of features, processes, and happiness.

Requirements
At least 18 years old, currently enrolled in a four-year academic institution completing an undergrad, grad, or Ph.D. degree in Computer Science, Human-Computer Interaction, Electrical Engineering, Information Systems, Information Technology, or a related STEM field.
Legally authorized to work in the United States. Due to the limited duration of this program, sponsorship for employment visa status is not available for this position.
Availability to complete the full 10-12-week internship program during Summer 2021, with a time commitment of approximately 30-40 hours per week.
0-2 years of coding experience preferably in C/C++, Python, and/or Java for core engineering roles.
Self-starter, ability to envision solutions and take initiative to see the solution to the end despite challenges.
Ability to crystallize vague concepts into concise plans with clear documentation.
Detail-oriented, organized, ethical, responsible, and self-motivated.
Team player, ability to work effectively in a matrix organization.
Strong communication skills and a desire to learn something new.
A passion for creating products that resonate emotionally with people.
A passion for Zoom’s mission, vision, values, and culture.

Nice To Have
HTML/CSS/Javascript/jQuery/AJAX/Linux/SQL/MATLAB.
REST and Microservice Architecture.
Hands-on technical knowledge in Mac OS, Windows, G-Suite, Microsoft Office products, anti-malware, network, VPN, etc.

Explore Zoom
Hear from our leadership team
Browse Awards and Employee Reviews on Comparably
Visit our Blog
Zoom with us!
Find us on social at the links below and on Instagram",https://www.linkedin.com/jobs/view/externalApply/2477246145?url=https%3A%2F%2Fzoom%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FZoom%2Fjob%2FSan-Jose-CA%2FSoftware-Engineer--Intern_R3211%3Fsource%3Dlinkedin&urlHash=anLf&refId=a25fb7d4-acb1-4d0d-b890-32d4aaab476f&trackingId=63OJrvwNXQIQS3npIdCfHQ%3D%3D&trk=public_jobs_apply-link-offsite
Full Stack Software Engineer Intern,Lenovo,"Raleigh, NC","Position Description:
Lenovo's Cloud & Software Engineering Lab is seeking a Full Stack Software Engineer Intern to join our 2021 Summer Internship Program.

The Software Engineering team is responsible for building highly available production client and /or cloud applications for our emerging platform or application projects. You'll be part of a highly dynamic agile software development team and will be involved in the solution design through the development and deployment cycles.

In this role, you will gain valuable experience in developing well-tuned code that may be included as part of our next software release. You will implement code fixes under the direction of software architects and senior developers. You'll work in emerging and traditional technologies (such as C#, C++, Angular5, Java, React, Microservices, HTML / HTML5, CSS Preprocessors, NoSQL databases, relational databases, and AWS/Cloud Infrastructure).

Position Requirements:
Minimum Requirements:
Must be a rising Sophomore or higher pursuing a degree in Computer Science or related field.
Experience with one or more general purpose programming languages including but not limited to: Java, C# or C++

Preferred Requirements:
Experience with Html5, CSS and with JavaScript Frameworks such as Angular
Have strong problem solving and analytical skills.
Ability to work well on your own and on teams; experience with and an appreciation for agile principles and practices

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",https://www.linkedin.com/jobs/view/externalApply/2470842675?url=https%3A%2F%2Fcareers%2Epeopleclick%2Ecom%2Fcareerscp%2Fclient_lenovo%2Fexternal%2Fresults%2FjobDetails%2FjobDetail%2Ehtml%3FjobPostId%3D169299%26localeCode%3Den_US%26source%3DLinkedIn%26sourceType%3DPREMIUM_POST_SITE&urlHash=Vt-K&refId=a25fb7d4-acb1-4d0d-b890-32d4aaab476f&trackingId=Xo1WTNkxalha9Jf5rDc7Vw%3D%3D&trk=public_jobs_apply-link-offsite
Software Development Intern,PTC,"Boston, MA","Job Description

Software Development Intern- R&D
Boston, MA

The Product organization is at the forefront of innovation in AR, CAD, Industrial IoT, ALM, PLM, Retail, and SLM. We are working hard to deliver the most innovative products in a global industrial landscape that is changing fast. With some of the most innovative thinkers in technology platforms and solutions, our domain expertise gives PTC its competitive edge.

Your Impact
We are seeking a curious, collaborative and motivated intern who will work with a team of software engineers to develop and support connected applications built on Thingworx platform and Thingworx integration with Azure.

Your Team
The intern will review ideas, design and code with their mentor and the other team members. They will get exposure to the best-in-class processes and tools such as git, Jira, Bitbucket, Agile Scrum and continuous integration/continuous deployment.

Your Day-to-Day
Acquire knowledge necessary to perform job assignments (technology, product and process)
Write well documented & high performing code including source code documentation that meets organizational standards
Create and run unit tests. Deliver automated tests to QA for inclusion in a regression test bed when appropriate.
Work with publications team to help document features

Basic Qualifications
Must be enrolled in some type of degree program in one of the following or related fields: Computer Science and Engineering
Problem-solving skills
Java programming/Object Oriented Design

PTC Company Description

About PTC (NASDAQ: PTC) PTC unleashes industrial innovation with award-winning, market-proven solutions that enable companies to differentiate their products and services, improve operational excellence, and increase workforce productivity. With PTC, and its partner ecosystem, manufacturers can capitalize on the promise of today’s new technology to drive digital transformation.
Region
The Americas
Subregion
North America
PTC Org
R&D - Research and Development
Job Type
Academic Coop / Intern",https://www.linkedin.com/jobs/view/externalApply/2465469841?url=https%3A%2F%2Fcareers%2Eptc%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D2%26siteid%3D5213%26jobId%3D3114068&urlHash=zAJg&refId=a25fb7d4-acb1-4d0d-b890-32d4aaab476f&trackingId=EZBVT3nc29IeTuv5pxj%2BLQ%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Internship,Brooks Automation,"Chelmsford, MA","Description

Reporting to the Robot Software Engineering manager, the intern will be given one of the independent work projects to complete with guidance from their manager. As part of this, they will work with the software development and quality assurance team members to learn how to use and troubleshoot Brooks robots.

Brooks Automation offers the industry’s most advanced and reliable robots for operation in vacuum and isolation environments. Setting the industry standard for vacuum robot automation, Brooks’ MagnaTran family of robots deliver unparalleled cleanliness, repeatability and throughput. These state-of-the-art vacuum robots, designed specifically for tool automation in semiconductor wafer processing and other complex manufacturing environments, enable OEMs to build proven reliability and performance into their automation platforms.

Type Of Degree (In Progress)/Skills/Unique Capabilities
Bachelors in Computer Science, Computer Engineering, Electrical Engineering, Robotics, or related area
Masters in Computer Science, Computer Engineering, Electrical Engineering, Robotics, or related area
Software development with Python or Javascript as described in the project descriptions above. Familiarity with source control tools, such as Git or similar, is a plus. Familiarity with Azure DevOps or other bug-tracking / work-flow system is a plus.
EOE M/F/Disabled/VET",https://www.linkedin.com/jobs/view/externalApply/2486491683?url=https%3A%2F%2Fcareers%2Ebrooks%2Ecom%2Fjob-detail%2Fsoftware-engineering-internship-r3983%3Futm_campaign%3DLinkedIn&urlHash=t6Ry&refId=a25fb7d4-acb1-4d0d-b890-32d4aaab476f&trackingId=pFCL7Ndi4rvf3t9TtjV3%2Bg%3D%3D&trk=public_jobs_apply-link-offsite
Software Development Intern,Thermo Fisher Scientific,"Carlsbad, CA","Summary Of Internship

The Software Development Internship position provides an opportunity for engineering students who are currently pursuing a computer science, computer engineering, or like engineering degree to get hands on experience working with engineers in a fast-paced software design and software environment. The software intern will contribute to software development projects in creating design and innovation workshops, with the purpose of discovering new ways of working, providing innovation solutions, actions, and initiatives around field service management and customer experience. The position starts in June, paid working 40 hours per week through August.  Opportunity exists for this position to continue through the academic year on a part-time basis to allow for class schedules.

Essential Functions
Provide engineering support related to product development projects including testing and design
Provide support in business process analysis and mapping
Support a variety of software engineering activities and may be assigned to a variety of engineering tasks throughout the department
Be involved with many aspects of software design and analysis tasks
Provide feedback on specifications and designs
Learn about software engineering and instrumentation through daily activities.
Accept candid feedback and look for areas of improvements
Specific tasks will be tailored to the software interns experience level and abilities
A software intern works under the close supervision of engineers, project managers, and software engineering managers
Skills and Abilities
Ability to work independently and as a member of a cross-functional team in an Agile environment
Willingness to learn, be mentored, and improve
Desire to contribute and improve design of new and existing scientific instrumentation products
Exceptional customer focus
Desire to teach other engineers about technology in area of expertise
Familiarity with Front-end and back end engineering, Web development, data engineering and data science
Familiarity with of least one software development tool set such as C#, HTML and RPA Software
Aptitude for writing software programs

Qualifications
Pursing an undergrad Engineering Degree
Previous Internship Experience
Development experience with JAVA, Python is preferred

To qualify, applicants must be legally authorized to work in the United States, and should not require, now or in the future, sponsorship for employment visa status.",https://www.linkedin.com/jobs/view/externalApply/2493626207?url=https%3A%2F%2Fthermofisher%2Econtacthr%2Ecom%2F81911398%3FrefId%3D34jd24&urlHash=hW6T&refId=a25fb7d4-acb1-4d0d-b890-32d4aaab476f&trackingId=MXuHH8ETHLCEBlWJlSq7JQ%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Intern,Lockheed Martin,"Littleton, CO","Description:We are a dynamic and diverse team on a recurring multi-year, critical program, seeking a software development intern who likes to be challenged, solve problems, and be a contributing member of a highly skilled DevOps team. You will be on the leading edge focusing on technical analysis, software automation, and enhancements to systems currently under development to creatively solve our customer's needs.

As a member of our Code Name: “DogPatch” software team, you will work directly with domain experts and technical staff to support products integrated into Lockheed Martin “Skunk Work” product lines. While we can’t tell you what it’s for…once you’re briefed into the program, you’ll find it to be one of the most interesting and rewarding missions you could ever be part of!

Our intern experience focuses on building the ‘Next Generation of Engineer’. We assign a work ‘buddy’ to help you acclimate to the new team, set-up your development environment, support you with your work assignments and introduce you to your co-workers and peers to help you feel like a part of our team. You are supported by an Intern organization that hosts seminars to further your technical and professional business skills, creates social events and team building exercises, and collaborates on a ‘summer project’ to build upon your existing engineering skills. If this sounds like something you’d find interesting and exciting – joining the Lockheed Martin Rotary & Mission Systems could be the place for you!

Basic Qualifications

College student actively enrolled in a Computer Science, Computer Engineering, Software Engineering, or other related degree program from an accredited college/university. You should be familiar with Object-Oriented programming or scripting languages. You should also have a good understanding of the constructs of software development principles along with good written and verbal communication skills.

Desired Skills

Prefer experience in a Windows environment using MS Visual Studio. Experience with Agile software development and/or tools such as JIRA, Jenkins, Confluence, GIT, and Bitbucket is a bonus.

Job.Qualifications

BASIC QUALIFICATIONS:

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.

Experience Level

Co-op/Summer Intern",https://www.linkedin.com/jobs/view/externalApply/2493629939?url=https%3A%2F%2Fwww%2Elockheedmartinjobs%2Ecom%2Fjob%2F-%2F-%2F694%2F19151672&urlHash=vk-W&refId=a25fb7d4-acb1-4d0d-b890-32d4aaab476f&trackingId=XtS5mrEWXCzK3ZSTxMiMhQ%3D%3D&trk=public_jobs_apply-link-offsite
2021 Summer Intern - Software Developer,Adobe,"New York, NY","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Job Description

Plans, designs, develops, and tests software systems or applications for software enhancements and new products used in local, networked, cloud-based or Internet-related computer programs. Develops software and tools in support of design, infrastructure and technology platforms. Using current programming language and technologies, develops code, completes programming, and performs testing and debugging of code.

Skills & Responsibilities
Responsible for the design, development, testing, troubleshooting, measurement, optimization, and improvement of software, new products, and code libraries across platforms.
Contributes to domain expertise which leads to product enhancements & industry breakthroughs.
Partners with cross functional experts (Product Management, Design, etc.) to determine customer focused solutions
Leverages best practices, articulates ideas, & markets them across team and organization. -Promotes a culture of continuous learning.
Is comfortable with taking reasonable amounts of risk
Leads application/framework/service design efforts, optimizing for quality, testability, and scale.
Uses appropriate & relevant programming languages and technologies, writes code, tests & deploys to meet business requirements.
Interacts with customers to define requirements and identify necessary modifications.
Communicates clearly with the team and management to define & achieve goals.",https://www.linkedin.com/jobs/view/externalApply/2427881143?url=https%3A%2F%2Fadobe%2Ewd5%2Emyworkdayjobs%2Ecom%2Fexternal_university%2Fjob%2FAustin%2FSoftware-Developer_R100748%2Fapply%3Fsource%3DLinkedIn&urlHash=u0Yg&refId=a25fb7d4-acb1-4d0d-b890-32d4aaab476f&trackingId=6Ko%2BbbCqVkVx5T25HlM2tQ%3D%3D&trk=public_jobs_apply-link-offsite
Software Engineering Internship - Raleigh,Imangi Studios,"Raleigh, NC","Position: Software Engineering Intern

Department: Engineering

Summary: Imangi Studios is seeking an eager Software Engineering Intern to join our team and contribute to industry-leading mobile games!

As a Software Engineering Intern, you will work with our talented team of game developers on unit testing, optimization, and bug fixes.

Given the ongoing pandemic, this is a remote opportunity enabled by remote-support software systems for meetings and team communication.

Responsibilities
Work on gameplay features in an established framework.
Implement and maintain tools.
Provide time estimates to leaders and management.

Qualifications
Currently working toward a bachelor’s degree in computer science at a university in the greater Raleigh-Durham, North Carolina area.
Knowledge of one of the following programming languages: C#, C, C++, or Java
Experience with the Unity 3D engine
Knowledge of vector math
Skills to recognize, then adhere to the existing coding style and practices
Strong problem-solving skills
Ability to work in a collaborative environment with ALL departments (engineers, artists, etc.)
Strong interest in making mobile-specific games

Preferred Additional Experience
Knowledge of source control (Perforce, Git, etc.)
Android and iOS development experience
Web services
Unreal Engine 4 experience
Python
Knowledge of 2 or more programming languages: C#, C, C++, or Java",https://www.linkedin.com/jobs/view/externalApply/2492452498?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3D122958b1d392%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfadde7ddeadd7bddb9dd89adefddfaadcfddd3de7cdcefec3ddcg3e&urlHash=Jkwm&refId=a25fb7d4-acb1-4d0d-b890-32d4aaab476f&trackingId=uDVbthmd%2F2vTBymG8fuOmg%3D%3D&trk=public_jobs_apply-link-offsite
