Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
18,"Commercial Banking Intern - Summer 2021 (Phoenix, AZ)","BOK Financial","Phoenix, AZ","Req ID: 57141

Areas of Interest: Commercial Banking

BOK Financial (BOKF), Headquartered in Tulsa, Oklahoma, BOK Financial Corporation (NASDAQ: BOKF) is a top 25 U.S.-based financial services holding company with operations in ten states – Oklahoma, Texas, Arkansas, Arizona, Colorado, Kansas/Missouri, New Mexico, Nebraska and Wisconsin. The company began more than 100 years ago in Tulsa and has successfully diversified into a variety of industries, businesses and geographies. .

Base Salary Range:$55,148 - $67,403

Bonus Type: Not Bonus Eligible

Accelerated Career Track Intern - Commercial Banking

The ACT Intern Program is a summer- long intensive 10 week program, starting in May 2021.

Company Overview

Our success starts with our incredible talent, with many of our tenured employees starting out as BOKF interns. You can do the same! Our intern program has a proven tradition of excellence, including a collaborative work environment, a commitment to our communities, and a path to growth and development.

About The Role

We will invest in every aspect of your personal and professional growth in this ten-week program. We will teach you the ins and outs of financial services. You will develop your professional skills to prepare for a career with us. Internal training and self-study courses will allow you to build your skills specific to our operations, markets, and strategies. You will bring your enthusiasm, point of view, and energy to make a difference.

What You Can Expect

You’ll work with peers on process improvements or special assignments to support departments. You’ll work on special projects, make presentations, and network with people across our banking footprint. You’ll participate in Battle of the Interns to tackle a real business challenge and present your team’s findings to a panel of judges. This is an exciting and rewarding opportunity, which may result in your process improvements being implemented and impacting our bottom line.

Building relationships across all levels of the company is one of the program’s many perks. Access to senior leadership is available to everyone and something you won’t find at other companies. You will develop your skills around time management, presentation, sales, leadership, communication, and building relationships to drive outcomes. You’ll learn from managers and mentors on what it takes to build a successful career.

Team Culture

We are a goal-oriented team. We value initiative, and we care about the quality of our work. Mentorship within the team is a common practice. We take great pride in offering opportunities for our Interns and staying true to ourselves. The caring spirit we have for our coworkers allows for plenty of laughter and learning.

We understand everyone has different strengths and opportunities for growth and we strive to have the right mix of competencies in order to get the most out of the team dynamic. We act with honor and truthfulness and live our company values every day. Our foundation of integrity builds coworker trust, relationships, and effective interpersonal relationships.

How You’ll Spend Your Time
You will participate in classroom, self-study, and hands-on curriculum.
You will build relationships with managers, mentors, and peers.
You will participate in special projects, present data, analyze situations, draw conclusions, and make recommendations when required.
You will participate in Battle of the Interns on a project team.

We’d Like to Talk to You if You Have These Hard & Soft Skills

GRIT: You are committed to doing your best work and staying the course under the best and most challenging of circumstances.

RESULTS ORIENTED: You show initiative as you focus on the desired deliverables, while meeting and exceeding your goals.

TECH SAVVY: You have an innate curiosity and think deeply, rationally, and creatively with solid PC skills including spreadsheet, database, and MSOffice.

COMMUNICATION: You need exceptional verbal and written communication to express yourself clearly and concisely to internal and external clients, including C-level audiences.

PROJECT MANAGEMENT: You effectively prioritize tasks and juggle multiple priorities.

BOK Financial is a stable and financially strong organization that provides excellent training and development to support building the long term careers of our employees. With passion, skill and partnership you can make an impact on the success of the bank, our customers and your own career!

Apply today and take the first step towards your next career opportunity!

BOK Financial is an equal opportunity employer. We are committed to providing equal employment opportunities for training, compensation, transfer, promotion and other aspects of employment for all qualified applicants and employees without regard to sex, race, color, religion, national origin, age, disability, sexual orientation, genetic information or veteran status.

Please contact recruiting_coordinators@bokf.com with any questions.","https://www.linkedin.com/jobs/view/externalApply/2446638668?url=https%3A%2F%2Fjobs%2Ebokf%2Ecom%2Fjob%2FTulsa-Commercial-Banking-Intern-Summer-2021-%2528Tulsa%252C-OK%2529-OK-74101%2F673443600%2F%3FfeedId%3D165500%26utm_source%3DLinkedInJobPostings%26utm_campaign%3DBankofOklahoma_Sponsored%26Codes%3DLINKEDIN&urlHash=K2m2&refId=8f47cd87-c0b5-4adb-a6bc-632194276729&trackingId=HnLO9YRvHOHCWpf%2BVomdfQ%3D%3D&trk=public_jobs_apply-link-offsite",0.019158826012839796,
9,"Internship - FX and Global Banking Product Intern","Silicon Valley Bank","San Francisco, CA","As part of Silicon Valley Bank’s Commercial Bank Product Division, the FX and Global Banking Product team is responsible for products that drive growth and enable our innovation economy clients to manage their global operations. These products include foreign exchange, foreign currency account solutions and cross border payments in 90+ currencies. The FX and Global Banking team supports FX services which is the largest core fee revenue component for the Product Division.

For nearly 40 years, SVB Financial Group and its subsidiaries have helped innovators, their companies and their investors move bold ideas forward.

In this position you’ll gain real life experience in product management, relationship management and global banking in an exciting and high growth part of SVB.

Under supervision from senior team members the intern will have the exciting opportunity to work across the teams in FX and Global Banking and have exposure to various initiatives to support a high growth, global business.

Work as part of a team and participate in projects that may include the following
Analyze problems and use data and reports to recommend solutions
Prepare presentations on various initiatives and topics
Participate in team meetings and internal calls with other groups to learn about various roles and functions within the team and broader organization

Special Projects
Work on initiatives to improve administration and efficiency global bank network management


Qualifications
Candidates must be students currently enrolled in a college/university
Open to all majors (finance, economics or international business preferred)
Seeking Undergrad or Masters level students
Candidate should have a minimum GPA of 3.5 (preferred)
Excellent verbal, written, and interpersonal communication skills
Strong organizational and time management skills","https://www.linkedin.com/jobs/view/externalApply/2472225535?url=https%3A%2F%2Fsvbank%2Etaleo%2Enet%2Fcareersection%2Fex%2Fjobdetail%2Eftl%3Fjob%3D9082%26lang%3Den%26SID%3D38&urlHash=O346&refId=8f47cd87-c0b5-4adb-a6bc-632194276729&trackingId=MSnBqD%2BEAN0YN2qSvw8h%2Bg%3D%3D&trk=public_jobs_apply-link-offsite",0.04908131441982425,
6,"Portfolio Management Internship (2021)","Byline Bank","Wisconsin, United States","Byline Bank, a leader in small business and government-guaranteed lending, is the one of the Top 10 Small Business Administration 7(a) lenders and a leading USDA lender in the United States.

Byline Bank is currently seeking an Intern for the Portfolio Manager department that is available throughout the year. The Internship program will give an in-depth exposure to the world of commercial banking, specifically from a leader in the area of Small Business lending.

Byline specializes in providing small business owners with solutions to make their dreams come true. You will also have the opportunity to sit in on weekly department meetings and various trainings. You will work directly with senior leaders across Byline to help guide your focus for the future!

Portfolio Management Intern

As a Portfolio Manager Intern you will be responsible for providing various servicing and administrative support duties as the Portfolio Management Team’s liaison on assigned loan accounts.

Key Responsibilities
Update dates/valuations in nCino portal such as appraisal and site visits.
Upload documents into nCIno portal to include: financial statements, certificates of insurance, appraisals, site visit reports, WAR reports and servicing actions
Enter financial reporting requirements for new loans assigned to PM group and existing loans in PM group.
Aid with the financial statement collections and notifications: issue mass email for staff members.
Assist in gathering documentation needed, as well as, ordering site visits and equipment appraisals from third party vendors.
Ordering environmental reports.
Aide in clearing exceptions in purchase demand kits (title policies, life insurance policies and UCC releases).
Update nCino when a new account is assigned to a PM.
Account transfers submissions.
Pulling Loan Statements or Deposit Statements for Borrowers.
Processing Wire Requests for our borrowers and getting signed wire agreements with our borrowers.
Order tract/title searches for servicing actions (i.e. releases and refiles).


Qualifications
Junior or senior majoring in Finance or Accounting.
Strong written communication skills required.
Ability to work independently.
Strong organization skills; ability to multi-task.
Detail-oriented and accuracy a must.
Confident in a professional office environment.

Join a highly motivated, dedicated group of people with a team collaboration approach to work. Byline Bank is a fast-paced, growing organization where team members take pride in their work and enjoy the organization’s successes together.

Byline is an Equal Opportunity Employer and encourages veterans, women, minorities, and people with disabilities to apply. If you require reasonable accommodation during any part of the hiring process, please submit requests directly to applicant@bylinebank.com.","https://www.linkedin.com/jobs/view/externalApply/2495818349?url=https%3A%2F%2Frecruiting%2Eultipro%2Ecom%2FBYL1000%2FJobBoard%2F446e24c7-390a-0a3d-1e47-3f239e527bd7%2F%2FOpportunityDetail%3FopportunityId%3Dda05df4c-8f2d-4eab-adff-1b358b3c3b43%26utm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=Uen3&refId=8f47cd87-c0b5-4adb-a6bc-632194276729&trackingId=T20RG2jBIMoGjKgA1DncVQ%3D%3D&trk=public_jobs_apply-link-offsite",0.03833586333882828,
10,"Relationship Management Intern","First Republic Bank","Boston, MA","Description

At First Republic, we care about our people. Founded in 1985, we offer extraordinary client service in private banking, private business banking and private wealth management. We believe that personal connections are everything and our success is driven by the relationships we form with our colleagues and clients. You'll always feel empowered and valued here.

Putting you first
As an intern, you will gain hands-on experience at a high-growth company that values its people. You'll earn a competitive starting wage while absorbing a culture that emphasizes collaboration, entrepreneurial thinking and quick decision-making. Start doing the best work of your life here.

Responsibilities

Relationship Management
As an intern, you'll work closely with Relationship Managers and Bankers with their day-today tasks, with a focus on taking care of existing clients and supporting new client relationships. You will gain exposure to other departments as you partner with them to deliver extraordinary service to our clients.

What You'll Do As a Relationship Management Intern
Provide direct support to Relationship Managers on administrative duties related to portfolio management.
Collaborate with marketing to leveraging existing client touchpoints, from events to holiday cards to marketing mailers.
Partner with our Eagle Intelligence team to identify new ways to serve our existing clients.
Help track results from business development efforts using a variety of tools.
Assist with administrative tasks including but not limited to business expense requests, team event planning and list management.
Qualifications

You could be a great fit if you have:
Service-centered mindset with an ability to problem-solve independently and collaborate effectively with others.
Strong verbal and written communication skills.
Superior attention to detail and ability to manage multiple tasks concurrently.
Discretion with confidential information.
Proficient in Microsoft Office (Outlook, Word, Excel).
Two years of undergraduate experience in finance, economics, business administration or similar
Job Demands
Must be able to review and analyze data reports and manuals; must be computer proficient.
Must be able to communicate effectively via telephone and in person.
Own your work and your career - apply now
Are you willing to take initiative and make decisions? Are you willing to go the extra mile because you love what you do and how you can contribute as a team? Do you want the freedom to grow and the opportunity to take charge of your own career? If so, then come join us.

We want hard working team players. You'll have the independence to learn, lead and drive change. A culture of extraordinary service, empowerment and stability - that's the First Republic way.

This job description is not intended to be all-inclusive. Employee may perform other related duties as assigned to meet the ongoing needs of the organization. The Company is an equal opportunity employer. In this regard, the Company makes reasonable accommodations for qualified applicants and employees with disabilities in order to enable them to perform all essential job functions, unless doing so creates an undue hardship.

First Republic is subject to federal laws that restrict the employment of individuals with certain types of criminal histories, including FDIA Section 19 and FINRA. To the extent not inconsistent with our obligations under those federal laws and regulations, First Republic will consider qualified candidates with criminal histories in a manner consistent with the Los Angeles and San Francisco ban-the-box laws.","https://www.linkedin.com/jobs/view/externalApply/2426221566?url=https%3A%2F%2Fclick%2Eappcast%2Eio%2Ftrack%2F6dczhbh-org%3Fcs%3Dg9%26jg%3D1oei%26bid%3DlUf2CslKyPxm6i440ZgUYA%3D%3D&urlHash=0P9h&refId=8f47cd87-c0b5-4adb-a6bc-632194276729&trackingId=zBcFBhsYMmyu8p0abChBzQ%3D%3D&trk=public_jobs_apply-link-offsite",0.027089615552624104,
11,"Banking Intern","Arvest Bank","Lawton, OK","Preferred Qualifications 1 year sales/retail experience and 1 year cash handling experience. College Senior with emphasis in Accounting.

Description

SUMMARY: Under close direction, the incumbents provide support to an assigned department on an as–needed basis.

ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.
Assist with special projects as directed by management or senior associates.
Perform basic entry level duties as directed.
Provide administrative support such as filing, typing and/or creating spreadsheets etc.
Understand and comply with bank policy, laws, regulations, and the bank's BSA/AML Program, as applicable to your job duties. This includes but is not limited to; complete compliance training and adhere to internal procedures and controls; report any known violations of compliance policy, laws, or regulations and report any suspicious customer and/or account activity.

Team Accountabilities
Cross-sell other services of the bank.
Support and uphold the Arvest Mission Statement.
Uphold the Arvest Code of Ethics and ensure that confidential information is safeguarded.
Maintain a high level of cooperation and rapport with all associates in order to ensure accurate and efficient operations and service.
Formulate and communicate new ideas and suggestions that will improve profitability and efficiency for the bank's overall operation.
Promote professionalism at all times.


Qualification Requirements

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.

EDUCATION And/or EXPERIENCE
Completion of 25 college credit hours required
Major related to the position the applicant is applying preferred
Previous related experience preferred.


Other Skills And Abilities
Must be able to arrive at work on time, work on site and have regular work attendance
Must be able to work cooperatively with other co-workers regardless of personality, presence or communication style
Must be able to provide cordial customer service regardless of customer personality, presence or communication style
Must be able to perform several tasks at once
Must be able to work in a stressful atmosphere
Must be able to rotate job tasks
Must be able to occasionally work overtime
Must be able to greet others cordially
Must be able to coordinate multiple and changing priorities
Must be able to verbally communicate with all other associates
Must be able to operate telephone, scanner, copier and FAX machines
Must be able to move from department, division, or bank to department, division or bank to attend meetings
Must be able to operate personal computer keyboard in order to create reports, schedules and other appropriate documentation.


Physical Demands

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to stand, walk, sit, and to talk and hear. The employee must occasionally reach with hands and arms; stoop, kneel, or crouch.

The employee may occasionally be required to lift or move up to 25 pounds.

Specific vision abilities required by this job include close, distance and color vision and the ability to adjust focus.

Work Environment

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.

The noise level in the work environment is usually moderate.","https://www.linkedin.com/jobs/view/externalApply/2494028824?url=https%3A%2F%2Fwww%2Eappone%2Ecom%2FMainInfoReq%2Easp%3FR_ID%3D3552763%26B_ID%3D44%26fid%3D1%26Adid%3D0%26ssbgcolor%3DFFFFFF%26SearchScreenID%3D2087%26CountryID%3D3%26LanguageID%3D2%26InternalJobCode%3D105213&urlHash=WHo7&refId=8f47cd87-c0b5-4adb-a6bc-632194276729&trackingId=QHpFwSikIz%2F2MRW9WAwPbg%3D%3D&trk=public_jobs_apply-link-offsite",0.022385980540140443,
1,"Commercial Banking Intern, Summer 2021","BMO Harris Bank","Atlanta, GA","Address

3348 Peachtree Rd NE

Job Family Group

Commercial Sales & Service
As a co-op/intern student at BMO, you will have the opportunity to be heard, keep growing and make a difference. You will be part of our campus program to gain the skills and knowledge needed to take on roles similar to the description listed below.

Our student experience is designed to integrate you to the BMO team from day one by adding value in the work you do. You will have the opportunity to participate in programs such as the Women in Technology Mentorship Program, BMO First Friend peer assignment, BMO Social Squad student-led activities , BMO U corporate learning platform and access to various Employee Resource Groups to further develop your network within BMO.

Interested in learning more about our campus program? S tay up-to-date with BMO Campus Recruitment by following us on Twitter @BMOonCampus & Instagram @BMO_on_Campus .

This position is open in multiple US locations.

Facilitates decisioning and analysis of all types of credit information to support lending decisions and processes for the bank. Maintains and promotes a client service environment to satisfy and exceed customer needs and expectations. This role will make credit decisions and recommendations in accordance with sound credit-granting principles and in compliance with Bank Policies & Procedures.

Acts timely, efficiently and independently, taking ownership of client satisfaction.
May include focused calling and pipeline management activities.
Provides advice and guidance to assigned business/group on implementation of solutions.
Breaks down strategic problems, and analyses data and information to provide insights and recommendations.
Conducts thorough analysis of client capital and credit risk.
Provides accurate financial analysis and risk assessment of new and existing customers.
Partners with internal stakeholders for accurate, detailed client information.
Develops credit information to make lending decisions on new, renewal and extension loans.
Assists in negotiations of terms and conditions of all decisions made via phone and e-mail interaction with clients.
Prepares summary, present facts and offer opinions concerning credit worthiness.
Minimizes BMO’s risk exposure by adhering to internal credit policies and procedures with respect to lending decisions.
Provides input into the planning and implementation of operational programs.
Builds effective relationships with internal/external stakeholders.
Focus may be on a business/group.
Thinks creatively and proposes new solutions.
Exercises judgment to identify, diagnose, and solve problems within given rules.
Works mostly independently.
Broader work or accountabilities may be assigned as needed.
Qualifications:
Typically between 3 – 5 years of relevant experience and post-secondary degree in related field of study or an equivalent combination of education and experience.
Credit qualification required.
3-5 years of previous Commercial Loan and Credit analyst experience required.
In depth specific functional knowledge and broad business knowledge.
Strong analytical skills.
Exceptional skills in quantitative analytics and credit analysis skills.
Highly developed written and oral communication skills.
Strong proficiency in Microsoft Office products and the Internet.
Strong interpersonal skills.
Ability to work under limited supervision.
Basic understanding of risk management concepts
Ability to learn and adapt quickly.
Excellent capability to independently and proactively service multiple clients.
Specialized knowledge from education and/or business experience.
Verbal & written communication skills - In-depth.
Collaboration & team skills - In-depth.
Analytical and problem solving skills - In-depth.
Influence skills - In-depth.
As a full-time employee, we would require 3-5 years of experience, however as part of the BMO campus program, we are looking for motivated individuals with a strong desire to learn.

We’re here to help

At BMO Harris Bank we are driven by a shared Purpose: Boldly Grow the Good in business and life. It calls on us to create lasting, positive change for our customers, our communities and our people. By working together, innovating and pushing boundaries, we transform lives and businesses, and power economic growth around the world.

As a member of the BMO Harris Bank team you are valued, respected and heard, and you have more ways to grow and make an impact. We strive to help you make an impact from day one – for yourself and our customers. We’ll support you with the tools and resources you need to reach new milestones, as you help our customers reach theirs. From in-depth training and coaching, to manager support and network-building opportunities, we’ll help you gain valuable experience, and broaden your skillset.

To find out more visit us at https://jobs.bmoharris.com .

BMO Harris Bank is committed to an inclusive, equitable and accessible workplace. By learning from each other’s differences, we gain strength through our people and our perspectives. BMO Harris Bank N.A. is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law. Accommodations are available on request for candidates taking part in all aspects of the selection process. To request accommodation, please contact your recruiter.","https://www.linkedin.com/jobs/view/externalApply/2482865224?url=https%3A%2F%2Fbmo%2Ewd3%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FAtlanta-GA-USA%2FCommercial-Banking-Intern--Summer-2021_R210008225-1%3Fsource%3DSocial_Linkedin&urlHash=zOtT&refId=8f47cd87-c0b5-4adb-a6bc-632194276729&trackingId=NMIcoqzJHYR2Puc%2BVTNz%2Fw%3D%3D&trk=public_jobs_apply-link-offsite",0.018294900180067825,
15,"Intern - Credit Analyst, Real Estate Banking Group","Zions Bank","Salt Lake City, UT","Intern – Credit Analyst, Real Estate Banking Group

2021 Paid Summer Intern

May thru mid-August

Zions Bank recognizes that its strength comes from the dedication, experience and talents of its diverse employee base. As we usher in the next generation of banking, we’re committed to being the premier employer of choice. We’re proud to have ranked among American Banker magazine’s “Best Banks to Work For” every year since 2013, as Best Employer from Utah’s Best of State and among the Best Places to Work in Idaho. Make the leap into a new era of banking. Let us transform your career.

The Intern Will Work On Or Be Exposed To The Following

Zions Bank has an opportunity for an intern to work in our Real Estate Banking Group.
Analyze financial statements of borrowers and guarantors and underwrite key strengths and weaknesses.
Analyze borrower financial statement ratios and compare to the industry averages and generate a summary of questions/issues to discuss as part of loan underwriting.
Analyze individual tax returns and credit reports to calculate debt to income ratio and personal cash flow available to service debt.
Perform research on individual owners and businesses and provide a summary of any findings.
Review industry research reports to provide a summary of the specific industry for commercial and industrial loans.
Assist in completing annual file/loan reviews.
Various clean-up/data projects.


Qualifications
Currently working on a Master’s or Bachelor's degree with strong emphasis in finance, accounting, business or related coursework.
Basic working knowledge or interest of financial and spread analysis, credit, lending and underwriting processes and principles.
Knowledge or interest in working with various types of loans, credit risk, legal and regulatory requirements.
Requires strong interpersonal and customer service skills.
Good communication skills, both verbal and written, is essential.
Detail oriented with strong analytical, organizational and problem-solving skills
Ability to make sound decisions and be inquisitive. Is not afraid to ask questions or make recommendations.
Working knowledge of computer software programs including Excel, Word, Power Point, etc.","https://www.linkedin.com/jobs/view/externalApply/2466490566?url=https%3A%2F%2Fclick%2Eappcast%2Eio%2Ftrack%2F8c66vki%3Fcs%3Di2e%26sjg%3D31zc&urlHash=4P9g&refId=8f47cd87-c0b5-4adb-a6bc-632194276729&trackingId=ki1B%2BRW6pOLEPU4NJ5YS9w%3D%3D&trk=public_jobs_apply-link-offsite",0.12733216642194892,
12,"Bank Operations Intern","Federal Home Loan Bank of New York","New York, NY","The Bank Operations intern will be primarily assigned to projects and tasks related to the daily operation and future goals of the Credit Operations department. They will also be asked to assist in other areas within Bank Operations (Electronic Payments, Custody and Pledging).
Credit Operations functions will include daily Municipal Letter of Credit (MULOC) processing and, if on-site, Robotic processing of Credit of Credit mailing labels, as well as assistance with Merger and Stand-by Letter of Credit processing.

Essential Duties
Municipal Letter of Credit (MULOC) processing, including new request and renewal processing
Robotic Process Automation (RPA) testing of the FedEx Letter of Credit BOT, including active participation in ongoing robotic efforts related to the MULOC renewal process.
Assist with the coordination of any/all Merger transactions
Assist with Stand-by Letter of Credit underwriting efforts, including new and/or amendment requests
Daily Rate distribution to our member banks
Assist with Global Authorization Form processing and corresponding User entitlements
Perform associated data analysis to support /enhance project efforts
Familiarize themselves with Bank Operation's workflow diagram mappings
Familiarize themselves with test script documentation and perform User Acceptance Testing (UAT)
Other Duties
Review Members' margin letters for verification in the Bank's Collateral System
Requirements

Education -
Two years college in a related major - Finance, Business Administration, Accounting
Skills-
Proficiency in Microsoft suite of Office products. Responsibility, Dependability, and Reliability. Must be a self-starter and fast learner willing to learn and able to multi-task.

The Candidate Should Possess The Following Abilities
write and speak professionally
communicate effectively
build and maintain relationships
collaborate with others
manage time effectively
critical thinking
take initiative
be receptive and willing to learn
Experience-
General work experience in a fast-paced environment. Experience and/or an interest in the Banking/Financial industry is preferred, but not required
Due to the Covid-19 environment, the intern may be required to work remotely full time.","https://www.linkedin.com/jobs/view/externalApply/2467071913?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2F40f36f73224aec87ce4f4007a50d71cb&urlHash=7VHA&refId=8f47cd87-c0b5-4adb-a6bc-632194276729&trackingId=5VjIJrdTrVLm8xaVL0rBSA%3D%3D&trk=public_jobs_apply-link-offsite",0.03465388780283386,
4,"2021 Summer Intern - Investment Banking - Public Finance","Loop Capital Markets","Chicago, IL","Position Summary

Loop Capital's Public Finance Division provides specialized banking practices in healthcare, housing, project finance and transportation as well as market, bondholder and credit analysis, and complex quantitative modeling.

The Public Finance Division seeks a summer intern to support senior bankers, associates, and analysts on all aspects of business development, including ongoing client coverage, deal execution and requests for proposals.

Essential Duties
Create, update and review debt profiles for target clients
Analyze financial data
Prepare client memos, presentation materials, and proposals for new and existing clients
Run new money and refunding numbers as needed
Provide analytical support on co-managed and senior managed financings
Shadow full-time employees as they interact with potential and existing clients


Qualifications
Current enrollment at an undergraduate institution with a record of strong academic performance
Exceptional problem solving, organization and communications skills
Capacity to learn quickly and execute accurately
Successful interns are able to multitask and manage a variety of projects in a dynamic, team-oriented environment
Strong quantitative background; ability to work with mathematical concepts such as probability and statistical inference, algebra, discounted cash flows and accounting principles
Strong interest in and knowledge of the financial markets preferred
Advanced knowledge of the Microsoft Office Suite
Attention to detail, initiative, enthusiasm and self-motivation; demonstrated accuracy and thoroughness in work product","https://www.linkedin.com/jobs/view/externalApply/2427795816?url=http%3A%2F%2Fwww%2Eloopcapital%2Ecom%2Fcareers%2Fopen-positions%3Fgnk%3Djob%26gni%3D8a78839e74e27e2501750457974e6f93%26gns%3DLinkedIn%252BLimited&urlHash=iJNA&refId=8f47cd87-c0b5-4adb-a6bc-632194276729&trackingId=I7SaxDQNIrO2CV6feMLChQ%3D%3D&trk=public_jobs_apply-link-offsite",0.02374512934388668,
19,"Treasury Intern","Horizon Global","Plymouth, MI","POSITION Treasury Intern
EMPLOYMENT TYPE Salaried / Exempt
LOCATION Plymouth, MI

Summary

Horizon Global seeks a seasoned, energetic, and professional Treasury intern to work closely with the finance team to handle essential banking activities. The Treasury intern will oversee daily cash position utilizing various banking platforms. Management and distribution of Treasury related reports to Senior management. Engage in special projects as assigned.

Responsibilities
Review bank activity to ensure all payments are processed and properly recorded.
Deposit checks that falls out of the normal Accounts Receivable process.
Perform cash, bank, and account reconciliations.
Resolve errors and discrepancies through the use of transaction reports.
Identify opportunities for cash management process improvement.
Maintain Treasury Dashboard for upper management reporting requirements.
Manage Treasury Department mail.
Maintain and distribute daily and weekly Treasury reports to Senior Management.
Participate in special projects, as assigned.
Qualifications
Working towards a B.S. in a business field.
Strong analytical skills and time management skills.
Strong Microsoft Office and computer skills, specifically Microsoft Excel.
Minimum of 2-3 years office related work experience.
Must be trustworthy with highly confidential information; calm under pressure and meets deadlines.
Superior communication skills, solid organizational skills and the ability to work independently.","https://www.linkedin.com/jobs/view/externalApply/2486651210?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2F43f58aacd48cebb08f4ce5939762e771&urlHash=XYa4&refId=8f47cd87-c0b5-4adb-a6bc-632194276729&trackingId=7fwX3FIxS%2BI5D5yifiPecA%3D%3D&trk=public_jobs_apply-link-offsite",0.020116767303350803,
