Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
8,"Political Campaigns Intern (Fall)","Applecart","New York, NY","Company Description

Applecart deploys proprietary technology to run smarter advertising campaigns. We work with some of the nation’s most prominent corporations, non-profit organizations and political candidates to activate and communicate with key target audiences at a scale and level of efficacy previously thought impossible. Part high-level strategic consultancy, part cutting edge data R+D lab, Applecart offers proven solutions derived from objective, iterative experimentation. Our core offering is a proprietary social graph that leverages publicly-available data to map real-world relationships between individuals at national scale. Our roots are in politics, where we have tested and honed our methods at every level, in high-impact circumstances. We’re branching out beyond political campaigns to tackle new advertising challenges in which determining “who knows whom” provides decisive advantages for our clients.

Applecart’s political work has been featured by The Colbert Report CNN, The Washington Post, The Associated Press, USA Today, The Huffington Post, among other prominent news outlets.

Job Description

We are looking for a creative, self-motivated, flexible thinker to join our team as a Political Campaigns Intern. This individual will join our rapidly growing start-up, as a member of our Political Campaign Services team. Working with Applecart’s team of co-founders, political strategists, and data scientists, the will assume meaningful responsibilities to help meet client needs, win campaigns, and develop political campaign best practices.

Responsibilities/Duties
• This individual will work closely with our Political Campaign Services team, as well as the Partners, across varied high-impact business and client-facing functions.
• Responsibilities may include, but are not limited to the following:
• Assisting in general campaign activities to make sure every campaign actor has the data they need to succeed
• Exploring Applecart’s current and past databases to produce analyses and associated learnings
• Building insight-rich reports for our clients
• Managing voter mobilization campaigns
• Developing proposal and pitch materials for prospective clients
• Building case studies of current and past campaign successes
• Researching developments in political news and science (including research into political candidates, the histories of certain political geographies, and the academic literature of modern political campaigns)

Logistical Details
• Location: New York, NY
• Application deadline: Sept. 1, 2017 (applications reviewed on rolling basis)
• Internship term: Fall 2017
• Applications will be reviewed on a rolling basis
• This is a paid internship

Qualifications

Education and Experience
• Currently enrolled in or recent graduate from a BA/BS program at a four-year college or university in political science, statistics, computer science, or related fields
• Experience working on a small team to complete time-sensitive, detail-oriented projects

Required Qualities
• Ability to work well in a fast-paced, self-motivated work environment with a small team that provides potential for outsized impact
• Exceptionally strong written and verbal communication skills
• Particularly sharp attention to detail
• A very quick and eager learner
• Great comfort and confidence in problem-solving as a team and autonomously
• Passion for American politics and interest in the nuts and bolts of political campaigns; self-proclaimed political junkies welcome
• Interest in data-driven decision making; quantitative work experience a plus
• Fluency with Microsoft Office required; SQL experience preferred

Additional Information

For additional information, or to apply, please visit: https://applecart.recruiterbox.com/jobs/fk0fh9a","https://jobs.smartrecruiters.com/Applecart/743999658379458-political-campaigns-intern-fall-?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",8.76255236054863E-4,
19,"","","","","https://www.linkedin.com/jobs/view/externalApply/2477913844?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp3265716%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=SKW6&refId=ae9a4c6e-f504-4a71-8173-2b14bc3ef71b&trackingId=bhsCECN7Jc%2Bs6JFKqcrnLg%3D%3D&trk=public_jobs_apply-link-offsite",8.384969166383225E-4,
187,"Volunteer: PR/Marketing Internship","The Borgen Project","Frederick, MD","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is hiring a Public Relations/Marketing Intern who will work remotely. This public relations intern will be involved in a variety of aspects of marketing and communications.

Create a branding campaign.
Conduct an informal focus group and gather feedback for market research.
Pitch story ideas to print, broadcast and digital media.
Create and implement a fundraising strategy.
Plan, market and present at an informational meeting.
Utilize social media and develop strategies for web-based messaging.
Assist with The Borgen Project's advocacy efforts.
Take on assignments as needed.
Details This is an unpaid internship, although college credit is available. The internship is 12-hours per week for 12-weeks.

Start Date New programs begin every month, you choose the month you wish to start.

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good.","https://www.linkedin.com/jobs/view/externalApply/2410573725?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp3261437%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=QilS&refId=75a4818e-35c8-47fa-a874-382a5e568182&trackingId=xSiAzZBdn%2BVe96A9mW9EdQ%3D%3D&trk=public_jobs_apply-link-offsite",0.008063134743680575,
7,"Campaign Intern: Right to Repair (FALL)","U.S. PIRG","Boston, MA","Company Description

U.S. PIRG is an advocate for the public interest, working to win concrete results on real problems that affect millions of lives, and standing up for the public against powerful interests when they push the other way.

The problems we face don’t care if you’re a liberal or a conservative, or if you live in a red or blue state — they affect each and every one of us. That’s why, for decades, we’ve taken a non-partisan, fact-driven, results-oriented approach to our work. And with your help, we can take on the difficult challenges ahead.

Job Description

We think you should be able to fix your stuff.

We generate way too much waste, and companies use their power in the marketplace to make things harder to repair. Some companies design products to be impossible to repair -- such as gluing the battery in a smartphone so it cannot be replaced -- or making repair proprietary so that only the manufacturing company can do the repairs.

We should give every consumer and every small business access to the parts, tools, and service information they need to repair products so we can keep things in use and reduce waste.

Join with the Public Interest Network’s Right to Repair campaign, working to pass legislation to reduce waste and increase repairs. Help us stand up to tech giants who would prefer we just throw it out and not repair it, as we coordinate our affiliates in a number of target states to pass legislation.

Get hands-on experience meeting with legislators, building coalitions and working with the media. Working directly with the Campaign Director, your internship will involve:
• Writing: Create and distribute media materials, including blog entries, press releases, press advisories, letters-to-the-editor, and issue fact sheets.
• Media Outreach: Organize press conferences, coordinate social media program, call reporters, and maintain a good working relationship with elected officials, issue experts and coalition partners.
• Public Official Outreach: Help us build support from local elected officials by communicating our message to their offices.
• Social Media: Help us design materials, shareable images and social media content, for coordinated distribution by our campaign team

Qualifications

Graduated or enrolled in a bachelor’s or associate's degree program in communications, journalism, political science, public relations or a closely related field preferred, but not required.

Additional Information

All your information will be kept confidential according to EEO guidelines.

This internship is unpaid","https://jobs.smartrecruiters.com/USPIRG/743999675374501-campaign-intern-right-to-repair-fall-?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",8.897851536576772E-4,
70,"Volunteer: PR/Marketing Internship","The Borgen Project","New York, NY","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is hiring a Public Relations/Marketing Intern who will work remotely. This public relations intern will be involved in a variety of aspects of marketing and communications.

Create a branding campaign.
Conduct an informal focus group and gather feedback for market research.
Pitch story ideas to print, broadcast and digital media.
Create and implement a fundraising strategy.
Plan, market and present at an informational meeting.
Utilize social media and develop strategies for web-based messaging.
Assist with The Borgen Project's advocacy efforts.
Take on assignments as needed.
Details This is an unpaid internship, although college credit is available. The internship is 12-hours per week for 12-weeks.

Start Date New programs begin every month, you choose the month you wish to start.

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good.","https://www.linkedin.com/jobs/view/externalApply/2477918060?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp3264626%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=czkG&refId=a788b816-a0ac-4e96-9090-8070c1c37d35&trackingId=ghMO5tIwDdCH%2BVsxaXP04w%3D%3D&trk=public_jobs_apply-link-offsite",0.008063134743680575,
171,"Volunteer: PR/Marketing Internship","The Borgen Project","Pittsburgh, PA","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is hiring a Public Relations/Marketing Intern who will work remotely. This public relations intern will be involved in a variety of aspects of marketing and communications.

Create a branding campaign.
Conduct an informal focus group and gather feedback for market research.
Pitch story ideas to print, broadcast and digital media.
Create and implement a fundraising strategy.
Plan, market and present at an informational meeting.
Utilize social media and develop strategies for web-based messaging.
Assist with The Borgen Project's advocacy efforts.
Take on assignments as needed.
Details This is an unpaid internship, although college credit is available. The internship is 12-hours per week for 12-weeks.

Start Date New programs begin every month, you choose the month you wish to start.

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good.","https://www.linkedin.com/jobs/view/externalApply/2477915486?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp3265706%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=xlyw&refId=75a4818e-35c8-47fa-a874-382a5e568182&trackingId=1IK7TrS9IghtkUn9R2AVWg%3D%3D&trk=public_jobs_apply-link-offsite",0.008063134743680577,
21,"","","","","https://www.linkedin.com/jobs/view/externalApply/2477913844?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp3265716%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=SKW6&refId=ae9a4c6e-f504-4a71-8173-2b14bc3ef71b&trackingId=bhsCECN7Jc%2Bs6JFKqcrnLg%3D%3D&trk=public_jobs_apply-link-offsite",8.384969166383225E-4,
38,"Volunteer: PR/Marketing Internship","The Borgen Project","Swainsboro, GA","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is hiring a Public Relations/Marketing Intern who will work remotely. This public relations intern will be involved in a variety of aspects of marketing and communications.

Create a branding campaign.
Conduct an informal focus group and gather feedback for market research.
Pitch story ideas to print, broadcast and digital media.
Create and implement a fundraising strategy.
Plan, market and present at an informational meeting.
Utilize social media and develop strategies for web-based messaging.
Assist with The Borgen Project's advocacy efforts.
Take on assignments as needed.
Details This is an unpaid internship, although college credit is available. The internship is 12-hours per week for 12-weeks.

Start Date New programs begin every month, you choose the month you wish to start.

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good.","https://www.linkedin.com/jobs/view/externalApply/2410579461?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp3260635%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=L21T&refId=a788b816-a0ac-4e96-9090-8070c1c37d35&trackingId=a8XnpUGIWYPgwqEQkKtBrQ%3D%3D&trk=public_jobs_apply-link-offsite",0.008063134743680579,
55,"Integrated Marketing Campaigns Intern II","Seagate Technology","Fremont, CA","About Our Group

Use CTRL Shift V when copying text from Word document into each section to ensure proper formatting. Recommend drafting the job description in word document. CTRL A to select All, CTRL C to Copy, and then in Job Profile CTRL Shift V to Paste into the job description.

Introductory paragraph about the team / line of business, key deliverables, how it fits into overall company strategy. Consider noting if it's global, who they partner with etc.

About The Role - You Will

Use CTRL Shift V when copying text from Word document into each section to ensure proper formatting. Recommend drafting the job description in word document. CTRL A to select All, CTRL C to Copy, and then in Job Profile CTRL Shift V to Paste into the job description.

About You

Bullets about key tasks/responsibilities/deliverables and scope

Use CTRL Shift V when copying text from Word document into each section to ensure proper formatting. Recommend drafting the job description in word document. CTRL A to select All, CTRL C to Copy, and then in Job Profile CTRL Shift V to Paste into the job description.

Bullets about the soft skills, behaviors, characteristics required for the role as well as language requirements like fluent in English etc - examples include communication skills, relationship building, detail-oriented

Your Experience Includes

Bullets on additional preferred skills or experience.

Use CTRL Shift V when copying text from Word document into each section to ensure proper formatting. Recommend drafting the job description in word document. CTRL A to select All, CTRL C to Copy, and then in Job Profile CTRL Shift V to Paste into the job description.

Bullets on accomplishments, hard skills, relevant experiences candidates may have
Add in Bachelors and/or equivalent experience for select roles only here (interns, grads, legal, engineering, and other US jobs as noted)

Location:

Use CTRL Shift V when copying text from Word document into each section to ensure proper formatting. Recommend drafting the job description in word document. CTRL A to select All, CTRL C to Copy, and then in Job Profile CTRL Shift V to Paste into the job description.

Site Information section should be updated via the Site Overview Document found in TA Toolkit on HRSO for each Seagate specific site.

Location: Fremont, USA, Research Center
Travel: None","https://www.linkedin.com/jobs/view/externalApply/2434795724?url=https%3A%2F%2Fseagatecareers%2Ecom%2Fjob%2FFremont-Integrated-Marketing-Campaigns-Summer-Intern-CA-94536%2F716531600%2F%3FfeedId%3D326100%26utm_source%3DLinkedInJobPostings%26utm_campaign%3DSeagate_LinkedIn%26source%3DAPPLICANT_SOURCE-3-387&urlHash=_1ek&refId=a788b816-a0ac-4e96-9090-8070c1c37d35&trackingId=%2BT1U6xhOapWZQvEgaTPWNw%3D%3D&trk=public_jobs_apply-link-offsite",8.463589501993253E-4,
5,"Political Campaign Intern","Sean Hayes 4 NYC Council","New York, NY","","https://www.internships.com/posting/sam_4001941832?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",8.384969166383225E-4,
