Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
29,"Data Analytics/Scientist Intern","Edwards Lifesciences","Irvine, CA","Edwards offers its university talent an opportunity to create innovative, life saving devices and techniques that help physicians provide better opportunities for patients around the world. As a global leader in treating advanced cardiovascular disease, we know that millions of people benefit from our passion, our focus, and our innovation.

Project Description

Participate in an IT Data and Analytics Data Science project to evaluate Service Now helpdesk tickets over the last 2 years and apply predictable analytics algorithms to surface insight from customer support tickets sharing common data across Service Now and JIRA.

Key Deliverables
Predictive Down Time analysis
Text Mining
Data Mapping
Data Wrangling and Prep
Participate in Data Analytics Governance council
Read out to IT leadership team on insight gathered from support calls
Pattern Analysis
Recommend actions and how to operationalize insight into an on-going sustainable model/algorithm

Education And Experience
Pursuing Bachelor's, Master's Degree, or PhD in computer science, information technology or equivalent are of study.
Currently enrolled as a student for the duration of the Internship project
Must be in good scholastic standing (3.0+ GPA or equivalent).
Permanent residency is required

Additional Skills
Proficient with SQL and Python
Ability to draw credible conclusions and recommendations
Familiar with AWS Platform a plus
Ability to learn and maintain knowledge of processes, procedures and products of assigned area
Ability to work within a cross-functional team and matrix management structure Strong written and verbal communication skills
Strong customer service orientation; strong interpersonal abilities
Solid analytical capability: ability to exercise sound judgment; strong decision making skills
Strong attention to detail; high degree of quality orientation
Strong organization and prioritization skills; ability to perform multiple tasks and meet deadlines in a fast-paced dynamic environment.
Ability to take direction from multiple people; ability to flex to the work styles of others
Ability to be a collaborative team player in a fast paced/changing environment; self-motivated and directed
Edwards is an Equal Opportunity/Affirmative Action employer including protected Veterans and individuals with disabilities.","https://www.linkedin.com/jobs/view/externalApply/2482246413?url=https%3A%2F%2Fedwards%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FEdwardsCareers%2Fjob%2FUSA---California--Irvine%2FData-Analytics-Scientist-Intern_Req-7318%3Fsource%3DLinkedin&urlHash=0xSc&refId=302361b6-ce28-49c7-8f6b-14e61ad1aa65&trackingId=ScqkY1xigzFzaSfOkc%2FI4A%3D%3D&trk=public_jobs_apply-link-offsite",0.01295469294042941,
49,"Data Scientist Intern","Nouryon","Radnor, PA","We are looking for a dynamic individual for our Data Scientist Intern position located at our corporate office in Radnor, PA.  This individual will utilize knowledge of data engineering and/or machine learning to enhance existing business steering tools and develop new resources.  In addition, will assist with challenges of data errors that were introduced at the point of entry needs to be cleaned before consumed for analytics and the data may be in an unstructured format coming from source system.

Key Responsibilities:



•           Assist analysts with the development of new data driven tools


•           Inject machine learning solutions to enhance ease of use and quality of insights


•           Assist in the maintenance of SQL database and associated data pipelines

Key Activities:


Machine Learning:


•           Assist with the development of time series anomaly detection and notification system using Azure resources


•           Maintain, track and enhance forecasting models with a goal to improve accuracy


•           Create forecast for other datasets as requested 

Data Visualization:


•           Develop power bi dashboards that allows business users to interact with all machine leaning developments


•           Potentially develop custom visualizations using d3.js or TypeScript

Data Wrangling:


•           Harvest web data using python web scraping packages


•           Data cleaning/manipulation using python and/or T-SQL

Job Requirements/Candidate Profile:


Experience:


•           Course work and/or projects relating to advanced data analytics and/or data engineering

Education:


•           Undergraduate or Graduate level student pursuing a degree in Data Science, Business Analytics, Applied Statistics/Math, Computer Science, Information Systems, Finance or any related fields of study

Competencies:


•           Working knowledge of SQL, Python/R


•           Interest in the application of data science within the context of managerial accounting and finance

Skills/Knowledge:


•           General Programming languages: R, Python (preferred), JavaScript


•           Data Management: MS SQL Server, Power Query, excel, Json data structure, XML


•           Data Visualization: Power BI, D3.Js


•           Cloud services: Azure (Data factory, logic apps, ML Studio, etc.)
About Nouryon","https://www.linkedin.com/jobs/view/externalApply/2494046498?url=https%3A%2F%2Fwww%2Enouryon%2Ecom%2Fvacancies%2Fn0003495%2F&urlHash=gzGc&refId=0b254c66-f327-45ee-a0ab-ecac4352e7a9&trackingId=MBrvqAATJI91%2BCypDVp1BQ%3D%3D&trk=public_jobs_apply-link-offsite",0.011276960665011743,
25,"Data Scientist Internship","Fifth Third Bank","Cincinnati, OH","Make banking a Fifth Third better®

We connect great people to great opportunities. Are you ready to take the next step? Discover a career in banking at Fifth Third Bank.

General Function

The Data Scientist Internship is designed to provide students with the opportunity to work on a real-world data science problem in the banking industry. The intern will work on an analytical project from start to finish, gaining experience in data analysis, statistical analysis, and algorithm development. The intern is integrated into the group’s day-to-day activities and projects.

Responsible and accountable for risk by openly exchanging ideas and opinions, elevating concerns, and personally following policies and procedures as defined. Accountable for always doing the right thing for customers and colleagues and ensuring that actions and behaviors drive a positive customer experience. While operating within the Bank's risk appetite, achieves results by consistently identifying, assessing, managing, monitoring, and reporting risks of all types.

Essential Duties And Responsibilities
Perform assignments as determined by the Assignment Leader.
Perform specific projects as assigned by the Assignment Leader or Program Manager, utilizing project management skills to manage and report back on project status.
Actively participate in community volunteerism projects.
Actively participate in development activities (training classes, speaker series, etc.), supplementing on-the-job learning that occurs throughout the program.
Deliver a formal presentation to Decision Sciences Group (DSG) leaders.
Build a network of resources within DSG and across functions.
Effectively communicate with others, demonstrating strong verbal and written communication skills.
Perform all work in accordance with established safety procedures.
Perform any other duties as assigned.

Minimum Knowledge, Skills And Abilities Required
Qualified Data Science internship candidates must have a strong academic record (targeted minimum 3.0 cumulative GPA) with at least 1-2 years of college coursework completed, and an interest in pursuing a career in data science.
Solid candidates should have relevant internship and/or work experience, strong written and verbal communication skills, demonstrated proficiency in critical thinking, leadership, business acumen, relationship building and teamwork through extracurricular activities, work experience, or academic pursuits.
Demonstrates entry-level use and basic familiarity with software applications including Microsoft Office Products such as Word, Excel, PowerPoint, and Outlook. Shows aptitude to learn additional software applications as required by Internship.
Possesses professional customer service skills. Able to respond to standard requests from internal and external customers.
Able to solve routine problems by following defined procedures.
Capable of managing own time to meet deadlines set by Manager and Assignment Leader.
Capable of completing work with direction, guidance and instructions from others.
Demonstrates abilities to perform and communicate. Appropriately chooses most effective form of communication (meeting, fax, phone or email). Responds quickly to requests.
Can convey a positive first impression and develops positive working relationships. Understands and knows how to get along with co-workers.
Selected candidates should be able to work in the Cincinnati headquarters.
Data Scientist InternshipLOCATION -- Cincinnati, Ohio 45263
Fifth Third Bank, National Association is proud to have an engaged and inclusive culture and to promote and ensure equal employment opportunity in all employment decisions regardless of race, color, gender, national origin, religion, age, disability, sexual orientation, gender identity, military status, veteran status or any other legally protected status.","https://www.linkedin.com/jobs/view/externalApply/2438912492?url=https%3A%2F%2Ffifththird%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2F53careers%2Fjob%2FCincinnati-OH%2FData-Scientist-Internship_R17140%3Fsource%3DLinkedIn&urlHash=LutV&refId=302361b6-ce28-49c7-8f6b-14e61ad1aa65&trackingId=2VkNNgdH%2FIXzchR4gkBz1Q%3D%3D&trk=public_jobs_apply-link-offsite",0.004838027131420458,
67,"Data Scientist Intern","Leidos","Arlington, VA","Description

Job Description:

At Leidos we combine our deep customer expertise with tailored analytic systems to distill big multi-media datasets into valuable knowledge and insights.We work side-by-side with advanced research and development organizations such as Amazon, Google, and various top-20 universities to develop solutions.

The fields of data science, data engineering, and artificial intelligence, are expected grow rapidly in the next decade. While these trends are somewhat self-evident and obvious, the challenge for Leidos is to identify talented individuals and implement market-tested technical capabilities in data science and engineering to capture value in new business ventures or on-contract-growth opportunities.

The Data Science & Engineering team at Leidos is looking for intern to work in our Arlington, VA office. This is an exciting opportunity to apply your academic knowledge to real-world strategic company initiatives.

The Internship Will Offer An Opportunity For The Successful Candidate To Work With Leading Leidos Practitioners And Team Members In Data Science And Engineering On One Or More Of The Following Projects

Support machine learning/deep learning projects in multi-media image, text, or audio processing (models exist, refinements sought with performance assessment); Construct synthetic data sets based on CG artifacts to develop supervised training capabilities in specific domains (security, health care, environmental studies, logistics) Assess advanced data science tools or methods and prepare technology forecast/assessment summaries (some candidate technologies identified); Participate in other data science /developer based projects.

Primary Responsibilities
Understanding of basic project or systems engineering concepts and principles with demonstrated uses in coursework (term projects) or capstone projects
Able to work in one or more programming and analysis language, such as Python, R, MatLab, Java, Javascript, or similar
Experience with data analysis including data modeling/representation such as XML, JSON, DDF, or similar
Works with the users and subject matter experts to gather and fine tune requirements and interact with the stakeholders on a periodic basis to ensure that the application built meets expectations.
Tasking by project team as needed

Basic Qualifications
Currently pursuing an undergraduate education in Computer Science, Data Science, Systems Engineering, or related field, with at least 2+ years completed. Maintain a minimum 3.0 cumulative GPA (on a 4.0 scale).
Ability to obtain DoD security clearance- US Citizenship required.
Demonstrated knowledge of data science methods: classification, regression, change detection, ML/DL, time series, model building – training-validation-testing, etc.
Must be detail-oriented, have excellent organizational skills, and the ability to work with minimal supervision
Must have strong written and verbal communication skills

External Referral Bonus

Ineligible

Potential For Telework

No

Clearance Level Required

None

Travel

Yes, 10% of the time

Scheduled Weekly Hours

40

Shift

Day

Requisition Category

Intern

Job Family

Intern Technical

Pay Range

Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company’s 38,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Va., Leidos reported annual revenues of approximately $11.09 billion for the fiscal year ended January 3, 2020. For more information, visit www.Leidos.com.

Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here.

Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com.

All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws.","https://www.linkedin.com/jobs/view/externalApply/2468771422?url=https%3A%2F%2Fcareers%2Eleidos%2Ecom%2Fjobs%2F6254067-data-scientist-intern%3Ftm_job%3DR-00047593%26tm_event%3Dview%26tm_company%3D2502%26bid%3D56&urlHash=f93y&refId=5dcd03da-b0b9-42ab-95bc-aa7439c2aceb&trackingId=HWSq0Y%2BKPAn7k9h5CMQKvQ%3D%3D&trk=public_jobs_apply-link-offsite",0.005545587773688899,
3,"","","","","https://www.linkedin.com/jobs/view/externalApply/2501640018?url=https%3A%2F%2Fwww%2Eziprecruiter%2Ecom%2Fjobs%2Fum-705b9d8a%2Fdata-engineer-intern-96805c1d%3Fenc_campaign_id%3De5c5742c%26tsid%3D122001595&urlHash=6k9G&refId=8a8631a2-fedb-4bed-b62f-f7290d565728&trackingId=C4a2XDJSq8jkQUN8DUQ5Xg%3D%3D&trk=public_jobs_apply-link-offsite",0.003787413161190086,
17,"Data Scientist Summer Intern","Jacobs","Herndon, VA","Critical Mission Solutions

Your mission is our mission.

We're invested in you and your success. Everything we do - whether Aerospace, Defense, Intelligence, Information Technology, Cybersecurity, Nuclear, Automotive, or Telecommunications - is more than just a project. It's our challenge as human beings, too. That's why we bring a thoughtful and collaborative approach to every one of our partnerships.

It's our promise to challenge the status quo as we redefine how to solve the world's greatest challenges, and transform big ideas into intelligent solutions for a more connected, sustainable world.

Design your career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed -today and into tomorrow.

Your Impact

Are you curious and eager to learn how to protect America against cybersecurity threats? We want to talk to you!

Jacobs Cyber Security Intern Program is designed to offer candidates an opportunity to work alongside cyber professionals on mission critical programs in fast-paced, technology environments. Jacobs Critical Mission Solutions (CMS) provides security risk management, full lifecycle IT service management, systems integration, and cybersecurity solutions to the federal intelligence community, DoD, and other government clients. Our interns will be able to grow their skills, learn new strategies, and make an impact on keeping America safe at home and abroad.

If you are interested in jumpstarting your cyber career, apply below to #JoinJacobs!

#CyberIntern

Here’s What You’ll Need

A Data Scientist needed to support our customer’s mission researching new and innovative ways to detect botnets, as well as methods to automatically discover and classify devices and infrastructure in botnet infected networks using large quantities of cyber security data.

Responsibilities
Working with a variety of both structured and unstructured data sources.
Producing innovative research into anomaly detection, classification, discovery, and pattern-of-life from large cyber security data sets with technical supervision.
Working alongside developers to scale prototyped machine learning applications in distributed computing platforms such as Spark.
Collaborating with an interdisciplinary team of data scientists, software engineers, dev ops engineers, and subject matter experts.
Utilizing strong communication skills to report findings to a non-technical audience of decision makers.


Preferred Qualifications
Bachelor's Degree in a quantitative field (e.g., statistics, operations research, computer science, mathematics, physics, computational chemistry/biology, engineering, quantitative social sciences)
Knowledge of programming languages Python, Scala, Java or R - Proficiency with query languages (SQL).
Understanding of identifying supervised and unsupervised machine learning algorithms to apply to new types of data with actionable results.
Knowledge of concepts related to
Distributed computing (e.g., Map-Reduce, Spark, and other technologies in the Hadoop ecosystem).
Proof-of-concept visualizations to convey results to non-technical audiences (e.g., Tableau, D3, Matplotlib, R GGplot).
Applying machine learning algorithms to large (TB/PB scale) data sets.
Deep learning architectures and frameworks (e.g., Caffe, TensorFlow, Keras).


Clearance Requirement Ability to obtain a US government security clearance.
The position for which you are applying for requires a US government security clearance. This is to advise you, that should you be extended an offer, if you possess a dual citizenship (i.e., citizen of the US and another country), to be granted a clearance you will be required to relinquish your citizenship in the foreign country.


Essential Functions

Physical Requirements
Working at a computer or desk (Considerations Sitting, Eyes, Hands)
May involve long periods of sitting

Work Environment
An inside office environment (Considerations Closed quarters, lighting, and temperature fluctuations)
Needs to be able to work well with and support co-workers and clients
Needs to have clear, concise and accurate communication skills

Equipment and Machines
Standard office equipment and machines, computer workstation

Attendance
Punctuality and regular attendance are necessary to meet deadlines
Regular attendance is necessary and required


Other Essential Functions
Must be able to communicate effectively
Must demonstrate professional behavior at all times when dealing with clients, management and employees
Grooming and dress must be appropriate for the position and must not impose a safety risk to the employee or others
Must be able to support and work in a proactive team environment
Must hold the safety of yourself and those around you as the number one priority in the workplace
Jacobs is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, religion, creed, color, national origin, ancestry, sex (including pregnancy, childbirth, breastfeeding, or medical conditions related to pregnancy, childbirth, or breastfeeding), age, medical condition, marital or domestic partner status, sexual orientation, gender, gender identity, gender expression and transgender status, mental disability or physical disability, genetic information, military or veteran status, citizenship, low-income status or any other status or characteristic protected by applicable law. Learn more about your rights under Federal EEO laws and supplemental language.

At Jacobs, we’re challenging today to reinvent tomorrow by solving the world’s most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good. With $13 billion in revenue and a talent force of more than 55,000, Jacobs provides a full spectrum of professional services including consulting, technical, scientific and project delivery for the government and private sector.","https://www.linkedin.com/jobs/view/externalApply/2505583020?url=https%3A%2F%2Fwww%2Eapplytracking%2Ecom%2Fx%2Easpx%3Fmethod%3Ddirect%26type%3Dapply%26board%3DD92FCD45-1292-4AE2-B555-D7A273418B42%26Job%3DJOI00002D%26ClientCode%3D18633%26Src%3DJB-10147&urlHash=cYBe&refId=8a8631a2-fedb-4bed-b62f-f7290d565728&trackingId=dDtuNfxqVS7V%2Beii2EoU4A%3D%3D&trk=public_jobs_apply-link-offsite",0.004423065528061166,
45,"Data Scientist Intern- Darwin","SparkCognition","Austin, TX","SparkCognition catalyzes sustainable growth for their clients throughout the world with proven artificial intelligence (AI) systems, award-winning machine learning technology, and a multinational team of AI thought-leaders. Clients are trusted with advancing lives, infrastructure, sustainability, and financial systems across the globe. They partner with SparkCognition to understand their industry’s most pressing challenges, analyze complex data, empower decision-making, and transform human and industrial productivity. With leading-edge artificial intelligence products—Darwin®️, DeepArmor®️, SparkPredict®️, and DeepNLPTM—SparkCognition’s clients can adapt to a rapidly changing digital landscape and accelerate their business strategies.

We are seeking a Data Science Intern to join our team of engineers, data scientists, and designers to deliver the next generation of cognitive analytics solutions. At SparkCognition, you will develop the latest tools in Machine Learning, Automated Machine Learning (AutoML), and Deep Learning to solve challenging real-world problems. This is a paid internship that requires a highly motivated and results-driven personality who will thrive in a fast-paced environment. This is an excellent opportunity for an individual who wants to work as part of a skilled team to gain valuable experience with a variety of products and industries.

Who You Are

You’re a junior or above pursuing a degree in Computer Science with a Data Science concentration or Masters/PhD candidates in Math/Physics/Statistics and are interested in crafting solutions to complex problems. You are a highly motivated and results-driven individual who thrives in fast-paced environments.

What You’ll Do
Work on our Darwin team of data scientists and machine learning engineers to improve forecasting capabilities
Work on transformer and attention-based neural network models to make forecasting predictions that are explainable.
Be paired with a data science mentor to guide you throughout the internship
What We’re Looking For
Currently pursuing a Bachelors, Masters, or PhD in Computer Science (or related field)
Positive attitude and a strong team player
Available to work 40 hours a week starting June 7, 2021 and ending August 13, 2021
Expertise with Python or similar Machine Learning languages/packages
Expertise with Machine Learning algorithms and techniques
Familiarity with neural networks and at least one deep learning framework (Tensorflow, PyTorch)
Detail-oriented self-starter who can independently manage deadlines in a remote environment
SparkCognition is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity and/or expression, national origin, protected veteran status, disability or genetics and will not be discriminated against on the basis of such characteristics or any other status protected by the laws or regulations in the locations where we operate. If you need assistance or an accommodation due to a disability, you may contact us at accommodations@sparkcognition.com.

Powered by JazzHR

hSs2CdHJd7","https://www.linkedin.com/jobs/view/externalApply/2479006682?url=https%3A%2F%2Fxerox%2Eavature%2Enet%2Fen_US%2Fcareers%2FJobDetail%2FResearch-Intern-Road-Analytics-Engineer%2F24450%3Fsource%3DLinkedIn&urlHash=Qe6w&refId=0b254c66-f327-45ee-a0ab-ecac4352e7a9&trackingId=nAyNvKPg9w36TjjlO8mEtQ%3D%3D&trk=public_jobs_apply-link-offsite",0.01744503209389646,
37,"Data Engineer Intern","DigiCert, Inc.","Lehi, UT","POSITION

Data Engineer Intern

LOCATION

Lehi

About Digicert

DigiCert is a leading provider of scalable security solutions for a connected world. The most innovative companies, including the Global 2000, choose DigiCert for its expertise in identity and encryption for web servers and Internet of Things devices. DigiCert supports SSL/TLS and other digital certificates for PKI deployments at any scale through its certificate lifecycle management platform, Central®. The company has been recognized with dozens of awards for its enterprise-grade management platform, fast and knowledgeable customer support, and market-leading growth.

Key Responsibilities
This position will mainly interact with internal Data Engineering Infrastructure
Design and implement processes supporting data transformation, data structures, metadata, dependency and workload management.
Identify bottlenecks and implement fixes to maintain optimum pipeline health
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
Develop end-end data integration solutions
Share team responsibilities for all aspects involved with maintaining a high level of uptime
Work with data and analytics experts to strive for greater functionality in our data systems


Requirements
Experience working on Data Engineering projects.
Pursuing Bachelor’s degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field
Knowledge of CI/CD engineering concepts
Working knowledge of large-scale data pipelines
Familiarity with the below:
big data tools: Spark, Kafka, etc.
pipeline and workflow management tools: Luigi, Airflow, etc.
stream-processing systems: Storm, Spark-Streaming, etc.
object-oriented/object function scripting languages: Python, Go, etc.
Knowledge of building containerized applications
Experience using GIT for version control


Preferred Qualifications
Experience with MariaDB AX/MPP
Experience with CDC, Debezium
Experience with Kubernetes, Nutanix-Karbon
Experience in defining and implementing testing framework
Experience with relational SQL and NoSQL databases: MariaDB, PostgreSQL, Cassandra
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvements
Working knowledge of message queuing, stream processing, and highly scalable data stores


Digicert Benefits

DigiCert offers a competitive benefits package for all of our full-time employees. If you want to know more about them, please reach out to us at Life@digicert.com.

To learn about our culture please visit -> https://www.linkedin.com/company/digicert-inc-/life/culture/?viewAsMember=true

DigiCert is an Equal Opportunity employer and is committed to diversity in its workforce. In compliance with applicable federal and state laws, DigiCert prohibits discrimination on the basis of race or ethnicity, religion, color, national origin, sex, age, sexual orientation, gender identity/expression, veteran’s status, status as a qualified person with a disability, or genetic information. Individuals from historically underrepresented groups, such as minorities, women, qualified person with disabilities, and protected veterans are strongly encouraged to apply.","https://www.linkedin.com/jobs/view/externalApply/2470893094?url=https%3A%2F%2Fwww%2Edigicert%2Ecom%2Fcareers%2F%3Fgh_jid%3D5151474002&urlHash=Tj9Q&refId=302361b6-ce28-49c7-8f6b-14e61ad1aa65&trackingId=gpIcogjqOwQkkFhIMJIjBg%3D%3D&trk=public_jobs_apply-link-offsite",0.006832833361125691,
14,"Data Scientist Research Intern","Audible, Inc.","Trenton, NJ","Description

Good storytelling starts with great listening. At Audible, that means each role and every project has our audience in mind. Because the same people who design, develop, and deploy our products also happen to use them. To us, that speaks volumes.

About The Role

We are looking for Data Scientist Research Interns to help drive innovation for our user interfaces on Audible products. You will be expected to work closely with our team members on the study of user behaviors, gain deeper understanding of our user experience and help make better data-driven recommendations to our product.

About The Team

Audible Data Scientists are members of a global interdisciplinary research team with an integral role in the design and integration of models to automate decision making throughout the business in every country. We empower the cutting-edge machine learning and deep learning techniques in the many areas of the business. We translate business goals into agile, insightful analytics and seek to create value for both stakeholders and customers and convey findings in a clear, actionable way to managers and senior leaders.

About You

You will have an opportunity to make the best of your skillsets to both develop advanced scientific solutions and drive critical customer and business impacts. You will play a key role to drive end-to-end solutions from understanding our business and business requirements, identifying opportunities from a large amount of historical data and engaging in cutting-edge research to solve the business problems. You will be at the heart of an agile and growing area at Audible.

As a Data Scientist Research Intern, you will...
Be responsible for the Customer: segmentation, clustering, acquisition, retention, engagement, recommendations.
Be responsible for Content: (e)valuation, natural language processing, attributes & representations (in text, audio, cover art), recommendations, trends.
Perform user click steam analysis, search engine optimization, and recommendations.
Deal with casual inference econometrics, structural econometrics.

Basic Qualifications
Currently pursuing a MS/PhD in computer science, statistics, mathematics, economics, operations research, data science or another discipline involving experimental design and quantitative analysis of experimental data
1+ year of hands-on experience with machine learning, predictive modeling, and statistical analysis techniques in a business environment
Development experience with Python or equivalent scripting languages
Demonstrated knowledge in of extracting data using SQL
Experience with AWS, ability to build models on messy, real-world, big data
Preferred Qualifications
Ability to tackle very loosely defined problems and consistently deliver elegant, modular and scalable solutions in a timely manner.
About Audible

At Audible, we innovate and inspire through the power of voice. We're changing the narrative on storytelling. As a leading producer and provider of audio storytelling and spoken-word entertainment, we've redefined the ways people access, discover, and share stories. The stories we tell have the ability to transport and transform everyday moments into meaningful experiences and it's our people who make Audible's service possible. We're listeners, storytellers, and problem-solvers. Our perspectives and experiences power our ideas and come together in our mission to unleash the power of the spoken word.

Audible is committed to a diverse and inclusive workplace. Audible is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


Company - Audible, Inc.
Job ID: A1504690","https://www.linkedin.com/jobs/view/externalApply/2478346434?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F1504690%2Fdata-scientist-research-intern%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Daudible%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=sFJD&refId=8a8631a2-fedb-4bed-b62f-f7290d565728&trackingId=lr2XTQ%2BOAHM8icDRna%2FooA%3D%3D&trk=public_jobs_apply-link-offsite",0.006382550384976102,
34,"MMS Internship Program - Data Scientist Intern (REMOTE)","BD","Remote, OR","Job Description

Job Description Summary

The BD Medication Management Solutions (MMS) division proudly offers a Virtual Summer Internship Program for undergraduate or graduate students. Through this program, the student will have the chance to gain real-world experience in solving data science problems that help improve healthcare. The student will work with a data science organization that is developing machine learning algorithms to tackle challenging healthcare problems such as Opioid Diversion, Inventory Optimization and Diagnosing medical device failures.

Key Responsibilities
Work with data science team to develop new algorithms and improve existing algorithms
Develop automation tools to improve the efficiency of data science team
Write unit tests and improve the test coverage of existing code
Create new production monitoring metrics and monitoring mechanisms

Required

Qualifications
Senior level candidates (graduating on or before Summer 2022) in STEM or Graduate student in STEM (ideally in Statistics, Computer Science or Math)
Good R or Python programming skills
Good understanding of ML methods
Familiarity working with version control software
The candidate must be legally authorized to work in the United States without limitations and require no sponsorship for visa status now or in the future (e.g. H1-B status)

Preferred
GPA minimum of 3.5
Experience with building docker containers
Experience with software development

Primary Work Location
USA CA - San Diego Bldg A&B

Additional Locations

Work Shift","https://www.linkedin.com/jobs/view/externalApply/2474682571?url=https%3A%2F%2Fjobs%2Ebd%2Ecom%2Fjob%2F-%2F-%2F159%2F19006272%3Fsource%3DAPPLICANT_SOURCE_LINKEDIN%26ss%3Dpaid%26utm_source%3Dlinkedin%2Ecom%26utm_medium%3Djob_posting%26utm_campaign%3D2016media&urlHash=PS_L&refId=302361b6-ce28-49c7-8f6b-14e61ad1aa65&trackingId=y2zZZG9ummwBWV76kZ3fuA%3D%3D&trk=public_jobs_apply-link-offsite",0.007981005219437952,
