Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
31,"2021 Summer Graduate Intern - Global Drug Development - Data Science","Novartis","East Hanover, NJ","Sourcing Statement

You are applying to be part of the Novartis Talent Pool. We are not currently recruiting for this role but we are building a pipeline for future opportunities. If you would like to be considered for a similar position in future, then please submit your CV.

Job Description

799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

There is a need to organize and structure the growing database for the new development projects. There are multiple data sources, types, data providers and data users. There needs to be established a thoughtful and practical process of data gathering, processing and delivering for further analysis.

Objectives & key deliverables: A data specification document to describe the available data and to establish best practices (through training, user guide) for data providers.

EEO Statement
The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, marital or veteran status, disability, or any other legally protected status. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration and empowers our people to unleash their full potential.

Minimum Requirements

Candidate should be in an accredited degree-granting college or university pursuing an undergraduate degree.
Programming background (R, RShiny)
familiarity with databases, data analysis.
Attention to detail


Preferred Competencies/Experiences:
Familiarity with life science/laboratory work environment


Division
Global Drug Development

Business Unit
TECHNICAL R & D GDD

Country
USA

Work Location
East Hanover, NJ

Company/Legal Entity

Novartis Pharmaceuticals

Functional Area
Research & Development

Job Type
Full Time

Employment Type
Internship

Shift Work
No","https://www.linkedin.com/jobs/view/externalApply/2502186213?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3Fpartnerid%3D13617%26siteid%3D5268%26PageType%3DJobDetails%26jobid%3D2727850%26frmSiteId%3D5260%26codes%3DLIIN-W&urlHash=e1HX&refId=d22ae8b1-cdfb-425f-acc5-a9a883eb3c56&trackingId=h8wZ%2BRMr3m%2B2lhbQXrrbNQ%3D%3D&trk=public_jobs_apply-link-offsite",0.001739983326897612,
27,"2021 Summer Graduate Intern - Oncology - Data Science","Novartis Oncology","East Hanover, NJ","Sourcing Statement

You are applying to be part of the Novartis Talent Pool. We are not currently recruiting for this role but we are building a pipeline for future opportunities. If you would like to be considered for a similar position in future, then please submit your CV.

Job Description

799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

Building new capabilities and automation of existing capabilities in Enterprise Analytics and Data Science is a priority for SDD. Enterprise Analytics is how we measure, track, monitor, draw insights from existing data assets as well as account based information to define the resource allocation and optimization strategy for various Oncology Brands by providing analytical support via data science.

This job will work closely with the Data Science within Novartis Oncology Strategic Insights and Analytics team as well as Data Science & AI team. In addition to conducting data science, this position will also work closely with the market access teams to conduct account affiliation analysis.

Major Accountabilities

Assist in creation of new capabilities and automation of existing capabilities working with brand Analysts, and external vendors to support KPI metrics and dashboards
Support the problem solving on Metrics and KPIs- Especially as these relate to existing projects. Develop appropriate communications (e.g., presentation documents) to share with broader organization. Also identify data needs, and set up back-end models to understand impact of channels/tactics.
Work on Data Science and AI related questions utilizing existing data assets.
Collaborate with brand analysts on creation of NPP target Lists, segmentation, and response models. Identify areas for the application of big data predictive analytics applications in NPP efforts.
Challenge the status quo, and bring academic insights.
Collaborate cross-functionally in a matrix organization that consists of Digital team, Brand Teams, Brand Analysts, DS and AI team; share best practices across the organization


EEO Statement
The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, marital or veteran status, disability, or any other legally protected status. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration and empowers our people to unleash their full potential.

Minimum Requirements

Candidate should be in an accredited degree-granting college or university pursuing a graduate degree

Pursuing Graduate Degree in Quantitative Disciple (e.g. Mathematics, Statistics, Engineering, Operations Research or Business).

Experience:
Ability to synthesize complex and diverse set of information; influence without authority various stakeholders to steer towards a solution
Strong written and oral communication skills, including the ability to translate a complex analysis into simple ‘business speak’ and present analytical results to internal clients up to the executive level
Ability to work under pressure, demonstrating initiative and flexibility through effective and innovative leadership ability
Ability to understand new data sources in a short timeframe and incorporate them into standard analyses. Attention to detail and quality focused.
Good organizational, planning, resource and project management skills
Good interpersonal and communication skills,
Experience in data visualization and dashboard tools like Tableau a plus
Learning agility - ability to pick up new trends and learn quickly


Strong interpersonal skills and ability to influence without authority

Commitment to Diversity & Inclusion
Novartis embraces diversity, equal opportunity and inclusion. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusion workplace that cultivates bold innovation through collaboration, and empowers our people to unleash their full potential. Novartis is an equal opportunities employer and welcomes applications from all suitably qualified persons.

Join our Novartis Network
If this role is not suitable to your experience or career goals but you wish to stay connected to learn more about Novartis and our career opportunities, join the Novartis Network here: https://talentnetwork.novartis.com/network

Division
ONCOLOGY

Business Unit
ONCOLOGY BU

Country
USA

Work Location
East Hanover, NJ

Company/Legal Entity

Novartis Pharmaceuticals

Functional Area
Data Science

Job Type
Full Time

Employment Type
Internship

Shift Work
No

#NovOn","https://www.linkedin.com/jobs/view/externalApply/2499791205?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3Fpartnerid%3D13617%26siteid%3D5268%26PageType%3DJobDetails%26jobid%3D2725128%26frmSiteId%3D5260%26codes%3DLIIN-W&urlHash=M2Ji&refId=d22ae8b1-cdfb-425f-acc5-a9a883eb3c56&trackingId=Fky9UQz2VjG0mRVG7C6%2F%2Bg%3D%3D&trk=public_jobs_apply-link-offsite",0.001947608857468194,
100,"Machine Learning Scientist Intern, Summer 2021","Apex Clearing Corporation","Portland, OR","Machine Learning Scientist Intern, Summer 2021
This position is not eligible for current and/or future Visa Sponsorship. Paid Internship.

Internship Timeline

Application Ends: April 15, 2021
Selection by: April 30, 2021
Start: June 14, 2021 – August 13, 2021

Apex delivers speed, efficiency & flexibility through technology solutions to firms ranging from innovative start-ups to blue-chip brands. We embrace a culture of growth, experimentation, and creativity. Employees of Apex are asked to exercise their own responsibility, allowing each person to have a measurable impact on the business with opportunities for advancement and personal growth.

As a Machine Learning Scientist Intern, you will work with the data science team to train models that support Apex Clearing's ever-growing and expanding business. We partner with some of the industry's hottest next-generation stock trading products. This is an incredible opportunity for a technical intern to join a team focused on data-driven innovation within the fintech industry.

We are looking for an ML intern to work remotely with our data science team. The intern must be able to commit to a 10 week full-time (40hrs/week) internship during Summer 2021.

What You'll Do All Day
Collaborate on a daily basis with other data scientists on the team
Take direction from and be mentored by an experienced team member
Continuously learn the tools and techniques we use to develop our solutions (e.g., TensorFlow, PyTorch, scikit-learn, Prophet, Google Cloud Platform)
Work on a project of interest to you and that benefits the team. Possibilities include training embeddings to use as features in other models, applying NLP to extract topics from unstructured text, and building a model that outputs the likelihood of a failed cash transfer. Occasionally you will be pulled in to assist on efforts with the team's regular work.
Seek out peer feedback and incorporate it into your work


The Skills You'll Need To Succeed
Be currently enrolled in a full-time masters or PhD program in computer science, statistics, or another technical field (strong undergraduate candidates with appropriate preparation will also be considered)
Have experience with Python and the ability to write clean code
Solid grasp of core machine learning models, algorithms, and practices
Strong mathematical foundation and intuitions
Be able to commit to a 10 week full-time (40hrs/week) internship during Summer 2021
Excellent problem-solving skills with high attention to detail
Effective inter-personal, verbal, and written communication skills


Preferred Skills
Have a real passion for machine learning and data science, as demonstrated by previous internships, work experience, projects, or publications
SQL proficiency
Experience working with large data sets in cloud computing environments
Either previous knowledge in financial markets or a solid interest in learning


PLEASE NOTE: Due to the unprecedented situation of COVID, PEAK6 has decided to protect our current and future employees by managing our business remotely. This is inclusive of interviewing, onboarding and each role day-to-day. Please consider that our roles will not be remote long-term and will return to an office setting once we're safe to do so following the guidance of the local health authorities and the CDC.","https://www.linkedin.com/jobs/view/externalApply/2495184456?url=https%3A%2F%2Fgrnh%2Ese%2Fbf018ac11us&urlHash=ChgM&refId=60637599-0f4a-41e1-a164-5ae210157b98&trackingId=mp4i3q7gt2oZTSXYJHXLxA%3D%3D&trk=public_jobs_apply-link-offsite",0.0022712661028442107,
114,"Data Analytics Intern, Marketing - Summer 2021","SimplifyVMS","Watertown, MA","b'Seeking a data science intern skilled in analytics and machine learning model development including deep learning, predictive and prescriptive analytics.

Please note this is a summer internship with an expected duration of May/June - August 2021.

Core Responsibilities
Learn and understand fundamentals of Health Insurance business and regulatory environment as applies to marketing analytics
Collect, combine and analyze structured and unstructured data from several internal and external data sources
Development of machine learning models that apply business knowledge to predict key business KPIs and member journey metrics, designed to improve marketing outreach campaigns and member experience

Skills
Currently enrolled in Master\xe2\x80\x99s degree in Computer Science, Statistics, Data Science or similar technical subject area
Strong understanding of Machine Learning algorithms including neural networks
Strong programming skills in Python and SQL required
Experience with advanced Python packages such as TensorFlow strongly preferred
Experience with Survival Modeling preferred, but not require
'","https://www.linkedin.com/jobs/view/externalApply/2484825815?url=https%3A%2F%2Ftufts%2Esimplifycareers%2Ecom%2Fjobs%2Fdata-analytics-intern-marketing-summer-2021&urlHash=nLUn&refId=60637599-0f4a-41e1-a164-5ae210157b98&trackingId=6sQs4BakCkmLeUjYaJbUMw%3D%3D&trk=public_jobs_apply-link-offsite",0.068333357295383,
128,"Machine Learning Intern","Whitney, Bradley & Brown (WBB)","Crystal Spring, PA","JOB TITLE: Machine Learning Intern

Project Overview

WBB is seeking applicants with strong software development skills, and a keen interest in machine learning to join our team. In this role, you will have the opportunity to develop state of the art machine learning algorithms and deploy them in the big data stack.

Job Description And Responsibilities
Using your creative and technical skills, implement cutting edge machine learning algorithms in Python, Java, C++, or other object-oriented languages as appropriate
Implement these algorithms in the Big Data stack, including Hadoop, MapReduce, Spark, Storm, and MongoDB
Collaborate with co-workers, leadership, and clients to understand client problems, identify solutions, and demonstrate their software solutions
Collaborate with co-workers to execute standard software development activities including design, development, implementation, test, documentation, and support using standard established software engineering principles
Eagerly pursue the current and emerging trends in software development best practices, service-oriented architectures, web development, and cloud computing


Required Skills And Qualifications
US citizenship with the ability to obtain a clearance
Working towards a Bachelor’s degree or higher in Computer Science, Software Engineering, Information Studies, Human Computer Interaction, Mathematics, or other related discipline
Academic or professional experience in some or all of the following areas preferred: Object-oriented software design and development in Java technologies, web design (Javascript, HTML/CSS, MVC), or cloud computing (Hadoop, MapReduce, MongoDB)
A demonstrated interest in machine learning through course work or experience
Applicants must be able to work 40 hours per week
Excellent verbal and written communication skills


Desired Skills And Qualifications
3.0 GPA or above
Working knowledge of version control systems such as Subversion or Git, and bug tracking tools such as JIRA (School experience is sufficient)

WORK LOCATION: Crystal City, VA or Remote

TRAVEL: None

KEY WORDS : Machine Learning, Artificial Intelligence, data mining, python, java

WBB is a professional services and management consulting company that provides innovative products and services that solve government and commercial customer’s toughest problems. For more than 40 years, WBB has set the standard for excellence in consulting services, while providing its employees with an outstanding work environment with ample opportunities for growth and success. WBB continues to enjoy impressive growth, which is directly attributed to the company’s hiring practice of always hiring the very best professionals from government, military, and industry.

We are proud of our diverse environment and are an Equal Opportunity Employer. WBB is committed to a policy of equal employment opportunity. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

WBB participates in E-Verify.

WBB does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of WBB and WBB will not be obligated to pay a placement fee.","https://www.linkedin.com/jobs/view/externalApply/2466341440?url=http%3A%2F%2Fwbbinc%2Ehrmdirect%2Ecom%2Femployment%2Fjob-opening%2Ephp%3Freq%3D1548423%26&urlHash=2gDS&refId=9cb1b286-3abd-4b6c-8396-875c4bebdbff&trackingId=xsM05l2tqs0VJ0oLgZj%2BKg%3D%3D&trk=public_jobs_apply-link-offsite",0.007275768200822825,
72,"The 2021 Launch Program: Data Science Intern","Red Ventures","Charlotte, NC","Launch Your Career: As a Launch cohort member, you will skip the entry-level grunt-work, and start making a real impact on Day 1. As part of the Red Ventures Launch program, you'll find unparalleled opportunities to make a real impact and advance your career – fast.

Already know where you want your career to go? Looking to explore some options first? (All of the above is a perfectly valid answer.)

Red Ventures offers the unique opportunity to gain valuable experience across a multitude of roles, teams, and even industries. Our business leaders and mentors are hyper-focused on defining personalized career paths for our talent – setting you up to unlock enormous potential within the first few years of your career.

What You'll Do
Data Science Associates transform millions of impressions and unstructured data from our digital properties into powerful insights that help us deepen connections between brands and consumers.
Use advanced machine learning, statistical modeling and optimization techniques to build real-world solutions for online and offline decision-making
Own data science projects from start to finish with limited guidance
Collect and mine data from disparate data sources, digging deeper to understand the process behind the data
Communicate effectively with business and data science leaders on project status, timeline and technical results
Translate business opportunities into data science problems, clearly defining project scope + performance metrics to measure success
We don't believe in busywork, and we definitely don't believe in wasting time or talent on getting coffee. As a Red Ventures Intern, you'll be expected to contribute new ideas, take ownership of meaningful projects, and make a real impact on our business.
Typically, RV Interns receive an in-depth onboarding experience and participate in 1-2 large projects over the summer. With guidance from your mentors, you'll drive strategy, build tests, pivot, improve, and iterate until finally presenting results to your business team and RV senior leadership at the end of the summer.
Our culture is built on feedback, and our Interns are no different. You'll receive two structured performance reviews over the summer, where your manager will work with you to identify key strengths, opportunities, and goals. Top-performing interns will be eligible for full-time offers at the end of the summer.


What We're Looking For
Graduating Winter 2021 or Summer 2022 with a relevant PhD or Masters equivalent
Experience solving complex problems through the use of predictive modeling
Extensive experience in querying and processing data from complex relational databases
Extensive training and knowledge in machine learning, statistical modeling and/or optimization.
Expertise in deep learning, NLP, reinforcement learning, recommend systems preferred
Demonstrated ability to synthesize data into actionable insights and communicate recommendations to leadership
Solid interpersonal and communication skills, with a track record of working well with business stakeholders
Knowledge of digital attribution and digital data investigation and testing skills is preferred
Statistical programming knowledge (e.g., R or Python) is required
Work Perks:
Subsidized meals at our onsite cafes, smoothie bars and coffee bars
Free onsite fitness classes, premier wellness center, spin studio, basketball court, bowling alley, and yoga studio
Casual dress code


Who We Are

Founded in 2000, Red Ventures is a portfolio of growing digital businesses that bring consumers and brands together through integrated e-commerce, strategic partnerships and many proprietary brands including Bankrate, AllConnect.com and Reviews.com. Headquartered south of Charlotte, NC, Red Ventures has over 3000 employees in offices across the US, as well as London and Sao Paulo. For more information, visit www.redventures.com.

We offer competitive salaries and a comprehensive benefits program for full-time employees, including medical, dental and vision coverage, paid time off, life insurance, disability coverage, employee assistance program, 401(k) plan and a paid parental leave program.

Red Ventures is an equal opportunity employer that does not discriminate against any employee or applicant because of race, creed, color, religion, gender, sexual orientation, gender identity/expression, national origin, disability, age, genetic information, veteran status, marital status, pregnancy or any other basis protected by law. Employment at Red Ventures is based solely on a person's merit and qualifications.

We are committed to providing equal employment opportunities to qualified individuals with disabilities. This includes providing reasonable accommodation where appropriate. Should you require a reasonable accommodation to apply or participate in the job application or interview process, please contact accommodation@redventures.com.","https://www.linkedin.com/jobs/view/externalApply/2495176323?url=https%3A%2F%2Fgrnh%2Ese%2F524e4bd41us&urlHash=Pni1&refId=093167ad-f936-4dfd-972c-84dbd7179a4f&trackingId=L2BJexu%2BfCuaw6LjLadYMg%3D%3D&trk=public_jobs_apply-link-offsite",0.002073250567063016,
154,"Data Scientist Intern","Data Axle","Papillion, NE","General Summary: This position is designed to teach a college level student about applicable lines of business. This position will assist and support the daily running of assigned departmental programs and procedures to facilitate completion of projects. Essential Job Functions: 1. Provide support on essential departmental duties. 2. Work with team on special projects. 3. Assist with the development of presentations, letters, and other materials for projects. 4. Coordinate daily workflow to ensure that deadlines are being met. 5. Design and type general correspondence, memoranda, charts, tables and graphs. 6. Proofread copy for spelling, grammar and layout, making appropriate changes. 7. Maintain project files.
Knowledge, Skill, and Abilities: 1. Ability to communicate in an articulate, professional manner. 2. Ability to quickly assess situations and provide appropriate feedback. 3. Strong working knowledge of PC software applications; specifically word processor, spreadsheet and presentation software. 4. Self starter with an aptitude for learning. 5. Ability to work as a team member. 6. Excellent organization and time management skills. Education, Experience, and Certification: 1. High school diploma or equivalent required. 2. Current enrollment in an applicable degree program is required. 3. 6 to 12 months prior work experience is preferred.","https://www.linkedin.com/jobs/view/externalApply/2477248486?url=https%3A%2F%2Frecruiting%2Eadp%2Ecom%2Fsrccar%2Fpublic%2FRTI%2Ehome%3Fd%3DExternal%26c%3D1130007%26r%3D5000704910700%26sid%3D135&urlHash=thFb&refId=0a0f665b-23f1-4521-8322-ef92052b0325&trackingId=VBQyzrHBCWeCUhzjOsqIVg%3D%3D&trk=public_jobs_apply-link-offsite",0.0018726266175181033,
40,"Summer Intern - Genomics and Data Science","54gene","Washington DC-Baltimore Area","Are you passionate about increasing the representation of diversity in genomics?

Come join the Genomics and Data Science group at 54Gene. Our mission is to deliver on the promise of precision medicine for African populations and to use genomic insights to benefit populations across the globe.

We are looking for enthusiastic and engaged undergrad, masters or PhD students to fill several internship positions, commencing June 2021. The positions will be 8-week paid internships and will provide successful applicants with valuable experience with some of the key tools and concepts around the processing, analysis and interpretation of genomic sequence and genotyping array data. We are seeking candidates with strong analytical skills, some programming experience (e.g. C++/Python), and experience with at least one statistical software package (e.g. R). Familiarity with *nix environments, basic bioinformatics techniques, and concepts in data science is preferred. Familiarity with GWAS and statistical genetics would also be preferred. 

Start Date:
June 2021

Duration:
8 weeks (paid internship)

Potential projects include:
Population genetics of genetic groups in Nigeria, including machine learning based approaches to classification of ancestry and quantification of admixture
Genome-wide and phenome-wide association studies
Rare variant annotation and interpretation
Implementation and application of best-practices pipelines for alignment and genotyping of whole-genome sequence data
Design of cloud-based pipelines to QC and process genotyping array data
Imputation of genotyping arrays into an African whole-genome sequence reference

Equal Opportunity Employer
54gene celebrates diversity and is proud to be an inclusive employer. We do not discriminate based upon race, religion, color, ancestry, national origin, sex, gender (including pregnancy, childbirth or related medical condition), sex orientation, gender identity or gender expression, age, marital status, genetic information, status as a protected veteran, status as an individual with mental or physical disability, or any other applicable legally protected status or characteristics.","https://www.linkedin.com/jobs/view/externalApply/2503670540?url=https%3A%2F%2F54gene%2Ecom%2Fcareers%2Ehtml&urlHash=oGVE&refId=d22ae8b1-cdfb-425f-acc5-a9a883eb3c56&trackingId=Bt1TGBSDqJvZDDsYLTlW3w%3D%3D&trk=public_jobs_apply-link-offsite",0.010281666801273678,
8,"Data Science Intern, Autonomous Systems","Nuro","Mountain View, CA","Who We Are

Nuro is a robotics start-up whose mission is to accelerate the benefits of robotics for everyday life. We have an elite team of entrepreneurs and engineers, designers, and scientists. We believe AI and robotics are at the cusp of transforming daily life and we are dedicated to building meaningful products with this technology. Join us and play a critical role in our mission.

About The Role

In this role, you will play a major role in analyzing & visualizing large amounts of autonomy data and building a platform that enables monitoring and progress. Autonomy data and metrics are large and growing keys to our business success and an effective platform is critical to provide the team with up-to-date insights. This position demands broad expertise in data analysis and visualization, social skills to work with internal customers, and determined execution.

About The Work
Build and maintain dashboards, reports, and statistical analysis
Work with autonomy stakeholders to design effective ways of summarizing and identifying trends from large amounts of data
Collaborate closely with the infrastructure team to effectively organize our data and build data extraction and analysis pipelines


About You
Must be pursuing a B.S. or M.S. in Statistics, Business Analytics, Data Science, or related fields
Large appetite for and experience building dashboards and visualization tools such as Looker, Data Studio, or similar tools
Passion for large-scale data analysis
Strong coding skills in Python and SQL
Excellent communication, presentation, interpersonal, and analytical skills; the ability to work with non-technical customers to solve problems
You have start-up DNA: You have demonstrated an ability to thrive in the ambiguity of a dynamic, start-up environment or have the DNA to do so

Bonus Points
Experience with robotics and autonomy
Experience with Google tools (Google Data Studio, BigQuery, etc.), R, Python, Looker, d3.js or Tableau
Experience implementing machine learning and data science workloads

At Nuro, we celebrate differences and are committed to a diverse workplace that fosters inclusion and psychological safety for all employees. Nuro is proud to be an equal opportunity employer and expressly prohibits any form of workplace discrimination based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, veteran status, or any other legally protected characteristics.","https://www.linkedin.com/jobs/view/externalApply/2504182365?url=https%3A%2F%2Fgrnh%2Ese%2Ff0b507e41&urlHash=bQip&refId=8562b59c-145f-4d1f-b6e8-e36ca94dcb5c&trackingId=WUaCAGrqufTMoskXxcUbWA%3D%3D&trk=public_jobs_apply-link-offsite",0.012742926304886933,
43,"Data Science Intern","Prealize Health","Palo Alto, CA","2021 Job Description:

Based in Palo Alto, California, Prealize Health is a predictive analytics company that leverages machine learning and clinical expertise to help patients obtain better care, sooner. Most of healthcare today is very reactive – with care being delivered when someone is already ill. We believe that healthcare should be about keeping individuals and their families well – to prevent them from ever becoming sick. Building on years of published research from our founders at Stanford University, our mission is to give patients, providers, and payers the insights they need to improve patient health and prevent adverse medical events. Through machine learning and the extensive experience of our founders, team, and advisors in healthcare, we are committed to helping healthcare organizations see around the corner so that they can take a proactive approach to helping patients.

We are seeking a Data Science Intern to join our team this summer. You will work closely with other

data scientists, product managers and clients to help develop data-driven products that will directly

affect patient lives. Your contribution in data modeling and machine learning applications will be crucial

to our mission and the success of the company.

As a Data Science Intern you will:
Develop and apply methods in machine learning, deep learning and statistics to expand and improve our product offerings
Work closely with our clients to understand their needs and translate them into ML- powered solutions that identify and prevent any type of bias
Work with our product team to ensure we create the highest value products possible for our partners
Work with our engineering team to enhance the quality, robustness, and extensibility of our platform for millions of patients
Work with our advisors and keep up to date on relevant literature to ensure we use the best approaches available
Document and present your work to the team
You will love this job if:
You enjoy translating high-level goals and business use cases into concrete implementations
You are passionate about making an impact in healthcare and want to work in a fast- paced environment
You love to collaborate with technical and non-technical stakeholders
You are passionate about scalable and reproducible machine learning
Qualifications

:
Pursuing a degree in computer science, math, statistics, biostatistics, bioengineering or
any related field
Fluent in Python, R, or similar programming language
Experience working with machine learning regression and classification approaches
(random forests, neural networks, etc.)
Familiar with software development tools, like version control
Experience working on interdisciplinary, collaborative projects
Ability to research and come up with strategies to solve novel challenges
Excellent communication skills
Nice to Have but Not Required:

Experience

in deep learning

Experience

in the healthcare domain, including healthcare finance

Powered by JazzHR

ORCx4BpiZd","https://www.linkedin.com/jobs/view/externalApply/2445714011?url=https%3A%2F%2Fsailpoint%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSailPoint%2Fjob%2FHeadquarters-Austin-Texas-USA%2FEngineering-Intern_R003519%3Fsource%3DLinkedin&urlHash=0r5z&refId=d22ae8b1-cdfb-425f-acc5-a9a883eb3c56&trackingId=jYbI5q6FFnuCOCJ5Az12sg%3D%3D&trk=public_jobs_apply-link-offsite",0.003908864722682957,
