Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
165,"Training and Ops Services Intern","Krystal Restaurants LLC","Atlanta, GA","Overview

Krystal Restaurant LLC is committed to attracting, retaining and hiring strong diverse talent for our Restaurants and Restaurant Support Center (RSC) across various roles at all levels in the organization. The Intern program is a vital component to early identification of diverse talent pools and strengthening our pipeline in support of growing our iconic brand and business. We will offer real-life hands on working experience via specific work and/or projects in a niche, dynamic and fast paced environment in the Quick Service Restaurant (QSR) Industry.
Our Restaurants are the heart of our business where our team members serve customers everyday across approximately 300 locations in the Southeast region of the United States. The Restaurant Support Center is comprised of various functions (Human Resources, Training & Operation Services, Finance/Supply Chain, Real-Estate/Construction, Marketing, Operations, Franchise, and IT) in service of supporting the overall operations and all employees at our Restaurants.
The Intern's specific work and/or project will be defined for each opportunity in the Restaurant or Department at the Restaurant Support Center; however, they may be asked to partner on other initiatives for another Restaurant or department at the RSC. They will have distinct goals, development opportunities and interactive activities with other leaders/interns to develop and build their network.

Responsibilities
Spend A Day in the Life at Restaurant- Work at a Restaurant and Market Visit-Understand our business, brand, products and the communities we serve
Learn about the various stakeholders/recipients of the work/project - ensure alignment on deliverables that contributes directly to the restaurant/organization goals
Share best practices, key learnings, and tools on products, process/system improvements and other projects
Provide knowledge transfer, documentation and next steps prior to ending Internship
Responsible for working with on key Work/Projects aligned to the functions/field strategic focus areas (People, Sales, Profit, Operations and Culture)
Spending time with the respective stakeholders' teams to learn their needs
Gathering and documenting reporting requirements
Configuration and generation of reports within the HR Information System
End user validation testing to ensure reporting requirements are met
Participate in final Intern presentations and present to the Krystal Leadership Team
MINIMUM QUALIFICATIONS
Minimum GPA: 3.0/On a 4.0 Scale
Must be returning to school in Fall of 2021
Pursuing an undergraduate/graduate degree in the Food Hospitality Industry or other related Degree to the work/project as defined above -(Additional information will be provided by the Hiring Manager)
Strong Project Management
Proficient in Microsoft office suite
Excellent oral and written communication skills
Ability to work with internal or external customers in a fast-paced environment
Comfortable working in a physical or remote environment
Ability to work in a dynamic and agile organization
Customer service
PREFERRED QUALIFICATIONS (We can include this to potentially attract more seasoned interns)
Leadership in organization (In school, community, etc.)
Prior in internships, work experience in Food/Beverage Industry or related major
KRYSTAL GUIDING PRINCIPLES
Grow and Evolve- Begin with the end in mind
Make Informed Decisions-Utilize all resources
Value the Truth-Integrity
Enjoy Your Work-Have Fun
Be Accountable to Our Guest-Excellent Experience- Food, Service, Clean
Find A Way-Whatever it Takes!
EDUCATION REQUIREMENT (Will be different if graduate student)
Must have completed Freshmen year
Rising Sophomore
Hospitality or Business Management major or related field of study for the functional area targeting to work in
The details above are intended to describe the essential nature and requirements of work/projects performed by the Intern. Statements are not intended to be construed as an exhaustive list of all duties, responsibilities and skills required for this position.
This position will require a pre-hire background check prior to or during the recruiting and onboarding process.
PROCESS/TIMELINE
Candidates are asked to apply after recruiting event with the school by no later than 1 week after the event
Panel video/on campus interviews by 10/30/2020 latest or early to ensure not to lose top candidates
Region Vice President of Restaurants/District Managers or RSC Department Lead video chat by 11/13/2020
Final Intern selections made by 12/1/2020
First day and onboarding by 6/1/2020","https://www.linkedin.com/jobs/view/externalApply/2429139792?url=https%3A%2F%2Fwww%2Ehospitalityjobsite%2Ecom%2Fjob%2Easp%3Fid%3D1459513499%26aff%3D16AE119E-722C-4962-8098-083243C4FF3F&urlHash=WuxS&refId=e20c86e6-5b0c-4422-9f08-6ccd531f24c6&trackingId=G5pLXWkQ7gxbzPSxj%2Fbckw%3D%3D&trk=public_jobs_apply-link-offsite",0.0012935813476879607,
202,"Geographic Information Systems (GIS) Intern","Historic Macon Foundation","Macon, GA","Employer Historic Macon Foundation Location Macon is a hidden gem undergoing an exciting renaissance. Salary $2,000 stipend Posted Apr 05, 2021 Closes Apr 23, 2021 Job Function Education / Teaching, Research, Volunteer Services Focus Areas Arts / Culture / Humanities, Capacity Building / Volunteerism, Education, Housing / Shelter, Philanthropy / Social Responsibility Position Type Intern Degree Level High School Willingness to Travel 50
75% Experience Level Entry-level You need to sign in or create an account to save The GIS internship is a full-time, entry-level, two-month position responsible for fulfilling our mission by providing professional GIS expertise to support the organization's programming. This position will be responsible for supplying ongoing technical support as needed and for the completion of multiple mapping initiatives, including, but not limited to: Creation of a layer mapping properties with HMF preservation easements; Creation of a layer mapping historic rehabilitation tax-incentive projects; Identification and mapping of mid-century architecture in Macon; Mapping of HMF rental units; Mapping of property ownership in target areas. The GIS Intern will also be tasked with developing and completing a capstone project for their internship. This project will be tailored to the interests of the candidate and in the past has been used for HMF publications and educational materials. Other duties may be assigned as necessary during the internship. This position reports to the Director of Preservation Field Services and works closely with staff, board members and numerous committee members and volunteers. Required Qualifications: Current college or graduate-level student in geographic information systems or closely aligned field; Knowledge of GIS programs and computer software and hardware; Knowledge of map creation using cartographic principles; Ability to relate GIS information to people of various knowledge levels of the subject; Ability to solve problems using the GIS suite of tools; Candidate must be able to work independently and have excellent organizational and research skills; Knowledge of and appreciation for Macon and Georgia history is a plus. HMF Core Values: We are innovative and leaders in our field. We are scrappy and we hustle. We are stewards of financial, built, and environmental resources. We are bigger than our mission. We are an extended family. Application instructions: Interested applicants should email a cover letter, resume and three references (including one professor or teacher) to . Preference will be given to students from historically underrepresented groups. Social share Similar jobs Jean League Newton, AIA, Internship Macon is a hidden gem undergoing an exciting renaissance. $2,000 stipend Historic Macon Foundation Jean League Newton, AIA, Internship You need to sign in or create an account to save New Lanier Education Coordinator Macon is a hidden gem undergoing an exciting renaissance!. $25,000
28,000 - commensurate with experience, per annum plus benefits Historic Macon Foundation 12 days ago Lanier Education Coordinator You need to sign in or create an account to save More searches like this Education / Teaching Philanthropy / Social Responsibility up to $29,999 Intern jobs in Macon Research Philanthropy / Social Responsibility up to $29,999 Intern jobs in Macon Volunteer Services Philanthropy / Social Responsibility up to $29,999 Intern jobs in Macon Similar jobs Jean League Newton, AIA, Internship Macon is a hidden gem undergoing an exciting renaissance. $2,000 stipend Historic Macon Foundation Jean League Newton, AIA, Internship You need to sign in or create an account to save New Lanier Education Coordinator Macon is a hidden gem undergoing an exciting renaissance!. $25,000
28,000 - commensurate with experience, per annum plus benefits Historic Macon Foundation 12 days ago Lanier Education Coordinator You need to sign in or create an account to save","https://www.linkedin.com/jobs/view/externalApply/2492769404?url=https%3A%2F%2Fwww%2Eresume-library%2Ecom%2Ffeed%2Fclick%2F551%2F35556060%3Fdpj%3Dyes&urlHash=NKRX&refId=5509c89d-bb97-4bbe-b863-0f13de4dcfea&trackingId=kcq19exi59BalXo3GEck4g%3D%3D&trk=public_jobs_apply-link-offsite",0.0025753054936572956,
26,"Professional Education and Development - Intern","CooperCompanies","Gilbert, AZ","CooperVision, a division of CooperCompanies (NYSE:COO), is one of the world’s leading manufacturers of soft contact lenses. The Company produces a full array of daily disposable, two-week and monthly contact lenses, all featuring advanced materials and optics. CooperVision has a strong heritage of solving the toughest vision challenges such as astigmatism, presbyopia and childhood myopia; and offers the most complete collection of spherical, toric and multifocal products available. Through a combination of innovative products and focused practitioner support, the company brings a refreshing perspective to the marketplace, creating real advantages for customers and wearers. For more information, visit www.coopervision.com

Who We Are

Paragon Vision Sciences, Inc., a Cooper Vision specialty eye care company, is a world leading manufacturer of specialty contact lenses and oxygen permeable contact lens materials. Our CRT® lens (a class three medical device) is considered the lens of choice by many eye care professionals around the world. Paragon’s office is located in Gilbert, Arizona.

Why Work With Us

We are certified as a Great Place to Work® ! Our environment recognizes each employee as a vital member of the team. Integrity and respect are fundamental to our working relationships. We are friendly, inventive, and dedicated. We don’t quit until the job is done right! Our lenses don’t just change vision, they change lives. Join a team that is passionate about improving other’s visual health and quality of life.

Job Summary

The Professional Education & Developmentintern will be responsible for the development, socialization and execution of strategies to measurably grow CooperVision Specialty EyeCare Americas educational touchpoints with internal & external audiences, including CooperVision Specialty EyeCare’s sales organization, practicing eye care professionals, and optometry students in partnership with the broader commercial organization. The role will partner internally with brand marketing and marketing communications to develop specific plans and programs that provide customers comprehensive information about CooperVision Specialty EyeCare’s activities in the marketplace, and will serve as Professional Affairs point of contact with the brand, marcom and customer marketing teams to provide OD input on product messaging, including new product launch messaging, product messaging and the associated LARs review processes.

Essential Functions & Accountabilities

Professional Education and Development
Support the professional educational and development strategy to improve the quality and quantity of CV SEC’s message touchpoints both internally and externally.
Assist in developing and coordinating professional learning programs in alignment with CV SEC goals and initiatives.
Implements professional learning opportunities through multiple delivery models including programs for both live events and digital/online platforms.
Analyze and use data to identify professional development needs and evaluates, improves and reports on program effectiveness.
Recommend, develop and track success metrics of educational programs
Ensures compliance with all regulatory and CV SEC requirements in both the LARs review process.

Product Messaging and Content Development
Creates appropriate, relevant content for Professional and Academic Affairs’ presentations at national and regional trade shows, doctors’ group meetings, state-level professional societies, Professional Advancement Consultant events, and other key account events.
Supports and executes, in partnership with marketing, commercial and corporate account teams, customer-specific product content for new product & services innovation or brand extensions.
Ensures updated product messages are identified and incorporated into content delivered by the Professional and Academic Affairs team, associated consultants and internal partners.


Qualifications

Knowledge, Skills and Abilities:
Doctor of Optometry candidate (enrolled in an Optometric university)
Excellent written, oral, teaching and presentation skills.
Strong project management and organization skills
Hands-on go-getter, willing to roll up his/her sleeves and personally act to drive success.
Excellent applied qualitative and quantitative analytic skills.
Proficiency with office software including Microsoft Office, Outlook, and Adobe.


Work Environment
Remote work environment, home office
Willing to report to Gilbert, AZ CooperVision Specialty EyeCare Office twice throughout internship
This is a paid internship
Sedentary to light physical effort necessary to perform the job.
Prolonged sitting in front of a computer


Experience
Experience in writing and publication of scientific/clinical materials.
Not required, but prior experience in optometry or ophthalmology practice or optical industry is a plus.


Education
Current optometry student
Bachelor’s degree required
Minimum 3.0 GPA requirement


Affirmative Action/Equal Opportunity Employer. Minority/Female/Disability/Veteran

Job

Manufacturing

Primary Location

United States-Arizona-Gilbert

Organization

CVI Paragon

Schedule

Full-time

Unposting Date

Ongoing","https://www.linkedin.com/jobs/view/externalApply/2477166720?url=https%3A%2F%2Fcoopervision%2Etaleo%2Enet%2Fcareersection%2F12%2Fjobdetail%2Eftl%3Fjob%3DGIL0008%26lang%3Den%26src%3DLinkedIn&urlHash=HF7G&refId=faa4a22f-3b0f-4b0a-9710-3636b5fa5201&trackingId=d5%2Bm2NjtoUIDh1jDDZ4K6A%3D%3D&trk=public_jobs_apply-link-offsite",0.0011407621887442872,
130,"Policy, Research, and Advocacy Intern","NALEO Educational Fund","Washington, DC","Policy, Research, and Advocacy Intern
Unpaid | Washington, DC

THE ORGANIZATION
The National Association of Latino Elected and Appointed Officials (NALEO) Educational Fund was established in 1981 to promote the full participation of Latinos in the American political process, from citizenship to public service. NALEO Educational Fund achieves its mission through integrated strategies that include increasing the effectiveness of Latino policymakers, mobilizing the Latino community to engage in civic life and promoting policies that advance Latino political engagement.

Founded in 1981 by the late Congressman Edward R. Roybal, NALEO Educational Fund is a 501(c)3 non-profit organization governed by a 15-member Board of Directors and
a 35-member Board of Advisors. Headquartered in Los Angeles, the NALEO Educational Fund maintains offices in Houston, New York City, Orlando, Phoenix and Washington, D.C.

THE INTERNSHIP
The Policy, Research, and Advocacy (PRA) Intern will provide programmatic, research and analytical support to NALEO Education Fund’s, Policy, Research, and Advocacy Department, and gain a valuable educational experience about ensuring that Latinos are able to fully participate in our political process, The intern will learn about the public policy implications of a broad range of issues affecting Latino participation and representation, including voting rights, naturalization, immigration, Census policy, Congressional staff and diversity issues, and election and governance issues. Learning opportunities may range from assisting in developing reports; legislative research; and assisting in NALEO’s ‘Staff Up Congress’ initiative, to
increase the number of qualified and talented staffers of color that desire to put their skills to work in the halls of Congress.

Internships hours vary depending on availability, with 32 hours per week preferred. This is an unpaid position. Should applicants wish to receive academic credit for their service they must consult with their academic institution to determine expectations and requirements. Position is available in the Washington, DC office.

Qualifications & Skills
Applicants should be undergraduate or graduate students with interest in issues relating to policy research, advancement of the Latino community, nonprofits, and/or politics.
Able to manage multiple tasks/projects, possess good written and verbal communication skills, show strong attention to detail, and exhibit a professional demeanor in the office environment.
Self-motivated and extremely organized, comfortable with developing and building relationships.
Ability to work respectfully with people of all cultural and socioeconomic backgrounds.
Supportive of the NALEO Educational Fund mission and philosophy.

PHYSICAL AND MENTAL DEMANDS
The position requires certain physical and mental demands, including the following:
Ability to detect, discern, recognize, and perceive auditory and visual information within normal ranges;
Dexterity to read, write, type, operate office equipment such as a computer, printer, telephone, calculator, copier, fax machine, pencils, pens, and stapler;
Ability to remain in a stationary position 50 percent of the time.
Ability to lift and carry up to 25 pounds
Once hired, employees requiring reasonable accommodations to perform the demands of the position should contact Human Resources.

DISCLAIMER
Nothing in this internship opportunity description restricts management’s right to assign or reassign duties and responsibilities to this position at any time.

NALEO Educational Fund is an equal opportunity employer. Applications are evaluated on the basis of job qualifications and not race, sex, color, disability, national origin, religion, creed, age, marital status, sexual orientation, gender expression, gender identity, citizenship or authorized alien status, or veteran status, or any other basis protected by law.","https://www.linkedin.com/jobs/view/externalApply/2408683237?url=https%3A%2F%2Fnaleo%2Eorg%2Femployment%2F%3Fgnk%3Djob%26gni%3D8a7883d072e8b0dc017358c892983677%26gns%3DLinkedIn%252BLimited&urlHash=ZNaF&refId=a1dd83e8-1926-40b7-98ab-4d234cb5c720&trackingId=l8MQY%2FFAVMlq5et7lUit%2Bw%3D%3D&trk=public_jobs_apply-link-offsite",0.001805116527305568,
141,"Product Development Intern - Summer Paid Internship","UWorld","Irving, TX","UWorld is the worldwide leader in online practice question banks. Since 2003, millions of students have used UWorld’s products to prepare for their high-stakes examinations. At UWorld we have a relentless focus on quality and we are rapidly expanding and innovating. We know that students facing difficult, high- stakes exams need great practice resources, so they can perform their best.

UWorld is providing an internship opportunity for students to apply their business/marketing education to real life experiences in our UWorld internship role. As the UWorld Business Development Intern, you will use various tools to research current strategies and build account information to help the sales team position the most appropriate solutions for business growth and development.

The ideal candidate will possess the following

Requirements
Junior or Senior classification in Fall 2021
(Ideal candidate is from a College of Education, College of Information, or College of Engineering)

Job Duties
Develop scripts for the creation of online training and tutorials for learning management and data and reporting systems; review completed video tutorials; and provide feedback on effectiveness from an end-user perspective.
After becoming familiar with the UWorld learning management system create assignments based on input from content teams; complete assignments to generate a substantial amount of data; and review roll up reporting with product team to ensure that a visually accurate story is told.


Skills Needed
Strong and effective communication skills, strong technology usage experience (preferably with online learning), and collaborative mindset.

Compensation And Benefits
Paid internship at a $15/hr rate
Flexible hours to meet school demands if needed
20-40 hours per week
Duration May - August","https://www.linkedin.com/jobs/view/externalApply/2486622916?url=https%3A%2F%2Fwww%2Eservingschools%2Ecom%2Fjob%2Fsdy33l%2Fschool-teaching-internship%2Fbiddeford%2Fme&urlHash=Lgym&refId=9d3dfc40-4753-41a6-bdef-4d69d343d801&trackingId=mRbcIVxonlo3WpWX14kwIw%3D%3D&trk=public_jobs_apply-link-offsite",0.00781406527681549,
142,"Rabbinic Intern","Hillel International","Boston, MA","Rabbinic Engagement Intern Northeastern Hillel Role Overview
Join Northeastern Hillel as a part-time Rabbinic Engagement Intern to help enrich the lives of students and shape the future of Jewish life on campus. With your infectious passion for engaging others on their Jewish journey, you will focus on connecting students with opportunities for development of their Jewish sense of self and identity. You will be a relationship builder, connecting with students where they are, from coffee on campus, Pavement, and Tattes to meeting up at the nearest husky statue. In this role, you will embrace Hillel’s pluralistic approach and serve as a Judaic role model and resource for students.

You will proactively develop relationships with students less connected to Hillel, through our Community Building Initiative. You’ll spend time getting to know what makes these students inspired and help connect them to opportunities (and create their own) that speak to their passions. You’ll also help them get access to Jewish life and learning in ways that make sense for them. They will feel proudly part of Northeastern Hillel on their own terms.

This position is a part-time role where you’ll spend 15 hours a week, during the academic year, engaged in the work.

What You’ll Do
Personally reach out to, and engage 75 – 100 students who are currently on the periphery of Jewish life at Northeastern
Recruit students for the Jewish Learning Fellowship, and teach 2-3 tracks
Train and empower students to reach out to other students who wouldn’t otherwise have connected to Judaism while at Northeastern
Supervise the Jewish Learning Chair on our student board
Work with students to identify what is missing in the current Jewish offerings and fill these gaps by creating new programs and initiatives on campus.
Attend Shabbats and other large scale Hillel programs as a way to build relationships and engage new students in attendance at these programs.
Attend weekly staff and supervision meetings
Lead the Passover Seder
Help faciliate holiday programs
Lead at least one Havdallah event a month
What You've Accomplished
Currently enrolled in an accredited rabbinic program.
2 or more years of professional work experience.
Experience with Hillel, youth movements, Jewish overnight camps or experiential Jewish education is a plus.
Proven success in community building and outreach.
Experience with volunteer management or intern management a plus.
Musical skills and worship ru’ach (spirit) is a plus.
What You’ll Bring to the Job
Strong knowledge base of Jewish content. This ranges from traditional Jewish texts to contemporary Jewish wisdom, culture and unconventional Jewish sources. You can frame and illuminate contemporary experience through Torah.
Commitment to Jewish pluralism. You believe that there are multiple, equally valid, paths within Judaism and you are excited about helping individual discover and journey on the path suitable to them.
Entrepreneurial mindset. You love discovering new opportunities to impact Jewish Life & Learning and you are not afraid to take calculated risks to further your mission. You have a track record of innovation.
Strategic planning skills. You think strategically about how to reach, and impact students not involved in the traditional networks, and can utilize methodologies of community organizing to manage and strategize for success.
Solution-driven orientation. You see problems not as impediments but as challenges to overcome or learn from.
Proactivity. You see what needs to be done, without others having to point it out - and you get it done.
Organization and Efficiency. You keep track of, and responsibility for, the many moving parts in your work, you plan carefully to deliver to agreed timetables. You are punctual and respectful of other people’s time.
Excellent interpersonal skills. You are an effective communicator and a great listener. You are instinctively curious about others and people enjoy talking to you. You have an outgoing personality and love meeting new people. You are comfortable and confident in crowds.
Team player. You work well within a team and value the insights and experiences of others. You appreciate structured supervision as a means of accountability as well as a growth opportunity.
What You’ll Receive
A set stipend for the 40 week commitment.
Great professional development, mentoring, and skill building opportunities.
Flexible work schedule and a great team of colleagues invested in your success.
About Northeastern Hillel
Northeastern Hillel creates a community in which students can celebrate Judaism, explore the issues that are essential to their lives and engage in making the world a better place.

At a time when many students are exploring what it means to be part of a history and a people and thinking more deeply about questions of identity,Northeastern Hillel provides a rich framework for Jewish peoplehood.

At Northeastern Hillel, we enrich the lives of students through Jewish experience. Northeastern Hillel’s team of six professionals are here to support the more than 1,000 Jewish students at Northeastern. We hope you’ll join us.

About Hillel International

In 1923, Rabbi Benjamin Frankel started Hillel with humble means, a noble mission and a breathtaking vision: to convey Jewish civilization to a new generation. Today, Hillel International continues to enrich the lives of Jewish students and is the largest Jewish campus organization in the world at more than 550 colleges and universities across North America and around the world. As Hillel evolves as an organization, the mission remains steadfast: to create lasting connections with every Jewish student that foster an enduring commitment to Jewish life, learning, and Israel and train them to become the next Jewish leaders.

Northeastern Hillel is affiliated with Hillel International. Hillel International enriches the lives of Jewish students so they may enrich the Jewish people and the world, and envisions a world where every student is inspired to make an enduring commitment to Jewish life, learning and Israel.

Hillel is an equal opportunity employer. We are committed to creating an accepting and inclusive environment for all.","https://www.linkedin.com/jobs/view/externalApply/2425256944?url=https%3A%2F%2Fphh%2Etbe%2Etaleo%2Enet%2Fphh02%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DHILLEL%26cws%3D37%26rid%3D3003%26source%3Dlinkedin&urlHash=a_gq&refId=9d3dfc40-4753-41a6-bdef-4d69d343d801&trackingId=Hb%2BTqsgUzbHJUxXNLol2kw%3D%3D&trk=public_jobs_apply-link-offsite",0.0010409122885592364,
139,"Scientific Education, Hematology, Summer Intern","Bristol Myers Squibb","Summit, NJ","At Bristol Myers Squibb, we are inspired by a single vision – transforming patients’ lives through science. In oncology, hematology, immunology and cardiovascular disease – and one of the most diverse and promising pipelines in the industry – each of our passionate colleagues contribute to innovations that drive meaningful change. We bring a human touch to every treatment we pioneer. Join us and make a difference.

Support Scientific Education, Hematology, Team in reviewing unsolicited grants, preparing RFEs, developing needs assessments and learning objectives aligned with strategy, and other key projects in Scientific Education as assigned.

Key Responsibilities
Reconciliations/Outcomes Assessment Review received items in database and triage to Grant Managers; make initial assessments daily
Overdue Account Monitoring Review overdue accounts weekly and send to requesting organizations instructions how to fix
Assist in grant review of unsolicited grant requests in hematology
Maintain Heme SharePoint organization and inventory
General research to support new Ed Obj across Sci Ed to address patient shared decision making, technology as element of patient care, clinical trial understanding/or overall education needs in research/development, gather QI measures or Patient Reported Outcomes measures to include in Ed Obj etc.
Disease specific Needs Assessments Conduct needs assessment/gather data
Assist in developing therapeutic area specific requests for education (RFEs) to support Associate Director and Senior Manager.
Assist or take on special projects as needed based on bandwidth of the Senior Director, Associate Director and Senior Manager
Qualifications And Experience

Prefer candidate has some pharmaceutical industry experience, ideally working in IME or similar area; experience in hematology a plus, experience working across a matrixed team. Ideally, a pharmacy student or pharmacist but not required. Positive attitude and eagerness to learn and develop are definitely factors that will be needed. Ability to develop strong relationship across a wide variety of teams.

BMSINTERN, BMSEC

Around the world, we are passionate about making an impact on the lives of patients with serious diseases. Empowered to apply our individual talents and diverse perspectives in an inclusive culture, our shared values of passion, innovation, urgency, accountability, inclusion and integrity bring out the highest potential of each of our colleagues.

Bristol Myers Squibb recognizes the importance of balance and flexibility in our work environment. We offer a wide variety of competitive benefits, services and programs that provide our employees with the resources to pursue their goals, both at work and in their personal lives.","https://www.linkedin.com/jobs/view/externalApply/2279082045?url=https%3A%2F%2Fhttpslink%2Ecom%2FYjk85M%3Fjz%3D4tptp17405479AQADOAIAAABQ%26tracking-details%3DYmlkPTAuMDAmYmlkdHlwZT1vcmcmc3JjPUxpbmtlZEluX09yZ2FuaWMmaklkPWNiODgwMTljMzUxMWU3ZmZjMmQwMzU3MDMwYTFhZDdhJmVtZD0wLjAwJnBoSWQ9dHB0cCZlQmlkPTAuMA%26source%3DLinkedIn_Slots&urlHash=TqZe&refId=9d3dfc40-4753-41a6-bdef-4d69d343d801&trackingId=yu4TZgsQx9fHfIp6KFRLwQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0011361851396444024,
220,"Summer Policy and Advocacy Intern","Goodwill of Western Missouri & Eastern Kansas","Kansas City, KS","Responsibilities

Internships are valuable opportunities for trainees to try out a career, apply their education in a hands-on way, and build a professional network. This intern will play an active role in the Mission Department researching policy issues, preparing staff for events and meetings, and drafting communications to elected officials.

Objective

This intern will support the Mission Department in executing Goodwill's advocacy strategy. This includes, but is not limited to, building a list of priority elected officials and their bios, deciding which legislative issues and bills to track, and putting together talking points and biographies for meetings. Through this experience, an intern will gain research skills, intimate knowledge of the legislative process, a working knowledge of a number of policy issues that impact persons with barriers and workforce development, and an opportunity to develop networking abilities.

Essential Functions

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Conduct legislative research and bill/ordinance tracking on Goodwill’s priorities in the federal government, state governments of Kansas and Missouri, and various local cities and counties
Provide staff with support in research and analysis of various topics, organizations, elected officials, and other key players
Assist in the development of one-pagers on issues and officials to help prepare staff for meetings
Attend community meetings and events to build relationships with key organizations and individuals in an effort to educate about Goodwill and advocate for our mission
Keep staff abreast of trends and movements within workforce development, nonprofit regulation, economic stimulus, and all other topics of interest to Goodwill

Qualifications

The Policy and Advocacy Intern will be a student or recent graduate with the following:
A degree in (or pursuing) Political Science, Nonprofit Management, Communication or a related field
Familiarity with the legislative process and local and/or state officials a plus
Effective research ability
Excellent oral and written communication skills
Outstanding internal and external customer service skills
Ability to maintain confidential information
Professional demeanor
Ability to self-manage and take initiative

Overview

Goodwill of Western Missouri & Eastern Kansas has a rich, 125 year+ history. Everyone knows Goodwill for our thrift stores, but few know what Goodwill is really all about. The sale of unwanted items provides funds that stay local, helping us to support thousands of job seekers with barriers to employment. We believe in the Power of Work and are committed to helping people earn and keep jobs in the community. That’s why 88¢ of every dollar Goodwill spends goes directly into our mission, not into shareholders’ pockets.

Visit www.mokangoodwill.org to learn more about our agency.

Goodwill of Western Missouri & Eastern Kansas provides equal employment opportunities to all employees and applicants without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, age, disability or genetic information, and encourages people of all backgrounds to apply for available positions. Individuals needing accommodations to complete an application may contact Human Resources at 816.842.7425.","https://www.linkedin.com/jobs/view/externalApply/2501452306?url=https%3A%2F%2Fcareers-mokangoodwill%2Eicims%2Ecom%2Fjobs%2F8727%2Fsummer-policy-and-advocacy-intern%2Fjob&urlHash=AAvi&refId=9bce707c-c7c6-41ef-be99-56bb4280f60e&trackingId=VfJZWKeJ4dzqr0UnlZuj8Q%3D%3D&trk=public_jobs_apply-link-offsite",0.0038825092784223105,
72,"Intern","Mercy","Rogers, AR","Overview
The pharmacy intern works under the supervision of pharmacists in preparing and distributing medications, maintaining the drug inventory and maintaining patient records. The pharmacy intern licensure qualifies the intern for preparing and dispensing drug orders. All interns work under the supervision of a licensed pharmacist. Performs duties and responsibilities in a manner consistent with our mission, values, and Mercy Service Standards.

 

Qualifications
Education: Required High School diploma or equivalent with strong mathematical skills. Completion of education of one year in pharmacy school to obtain Pharmacy Intern License.
Licensure: Intern license is maintained through year 4 of pharmacy school.
Experience: Retail or hospital experience preferred.
Certifications: Licensed pharmacy intern.
Other: Completion of 2 years of pharmacy school.
Preferred Education:
Preferred Licensure:
Preferred Experience:
Preferred Certifications:
Preferred Other:","https://www.linkedin.com/jobs/view/externalApply/2505468646?url=https%3A%2F%2Fcareers-mercy%2Eicims%2Ecom%2Fjobs%2F846149%2Fjob&urlHash=x8CA&refId=92d1fbc2-3334-4732-97da-f9652df10d07&trackingId=ArBWo0tQMULO7K63Blq0MQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0024234058327607944,
170,"","","","","https://www.linkedin.com/jobs/view/externalApply/2473977372?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fmccarthy-building-co%2Fjob%2Foxl1cfwP&urlHash=nPcX&refId=e20c86e6-5b0c-4422-9f08-6ccd531f24c6&trackingId=M82gEtXRvjKXuckl2b8%2FOA%3D%3D&trk=public_jobs_apply-link-offsite",0.00101883628179635,
