Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
10,"Investments Intern - Quantitative Equity","T. Rowe Price","Baltimore, MD","A career at T. Rowe Price says you want to contribute and make a difference at a leading global investment management firm where success results from the dedication our associates have in building success for our clients. We are a growing organization of associates from diverse backgrounds, experiences, and perspectives.

We take a long-term view on associates and their careers. Our associates do phenomenal work with purpose, and as a result, we provide growth opportunities through in-person and online training, management development programs, and career development on the job.

If you are seeking a meaningful work experience along with a workplace culture that thrives on teamwork, we invite you to explore the opportunity to join us.



PRIMARY PURPOSE OF THE POSITION:

The Quantitative Summer/Fall Intern will collaborate with senior colleagues in quantitative investment research using structured financial data and unstructured alternative data.  Additionally, the intern will conduct rigorous research evaluating predictive learning algorithms, in the context of stock selection and signal generation, including data preparation, algorithm implementation, back testing, and publishing internal research documents.

QUALIFICATIONS:

Preferred

Graduate (Master or PhD) student majoring in Computer Science, Statistics, Applied Mathematics or Financial Engineering
Quantitative or analytical background
Knowledge of investments and quantitative analysis
Familiarity with code libraries used for predictive algorithms and machine learning in Python or R
Hands-on experiences with implementing/applying natural language processing algorithms in processing large-scale textual data

Required

Cumulative GPA of 3.5 or higher
Demonstrated experience in wrangling unstructured data, and the scripting skills required to interact with them in R, Python and SQL.
Coursework in predictive techniques; including the selection, configuration, optimization, and comparison of algorithms.
Intellectual curiosity and strong analytic and problem-solving skills
Attention to detail and accuracy coupled with sound judgment
Highly motivated self-starter with the ability to work collaboratively and independently
Ability to analyze a variety of information, to quickly draw relevant conclusions, and to summarize and communicate results effectively
Ability to work both independently and as part of a larger team

T. Rowe Price is committed to providing our associates with a comprehensive total rewards benefit program, including wellness, retirement and quality-of-life benefits. Please view What We Offer to see what's available to you.



T. Rowe Price is an equal opportunity employer and values diversity of thought, gender, and race. We believe our continued success depends upon the equal treatment of all associates and applicants for employment without discrimination on the basis of race, religion, creed, colour, national origin, sex, gender, age, mental or physical disability, marital status, sexual orientation, gender identity or expression, citizenship status, military or veteran status, pregnancy, or any other classification protected by country, federal, state, or local law.","https://www.linkedin.com/jobs/view/externalApply/2443248297?url=https%3A%2F%2Fars2%2Eequest%2Ecom%2F%3Fresponse_id%3D3c3d88b4e2dfc735f1490bb4cd5c7991&urlHash=MvWv&refId=4ded723f-0e6f-4c39-bdd8-1b238b4433fa&trackingId=oaGmy6EvsJhsTQ%2BLwZjAbw%3D%3D&trk=public_jobs_apply-link-offsite",0.021179895028157116,
9,"Students - Equity Trading Desk Internship Fall 2016","SMB Capital","New York, NY (+1 other)","SMB Capital is looking for an Equity Trading Desk Intern.

We will teach you how to trade U.S. equities. You will have access to and be a part of our trading desk in NYC. We require your commitment of 15-20 hours a week. Preferably your school schedule allows for you to be present every morning (9am-12:30 pm) or every afternoon (12:30 pm-4 pm) or a combination such that you will be able to come in every day.

PLEASE only apply if you attend a school within 30 miles of NYC

In addition, you will also help us maintain our commercial website, which teaches new traders how to trade U.S. equities. Consequently, intermediate - advanced web page skills + simple video editing software experience are a huge plus.

We are searching for a student with a passion for the markets. This opportunity requires an unusual attention to detail, ability to work well under pressure, and ability to multi task. We are a friendly group, located in Midtown East, where casual dress is the norm. As compensation we will work with your university to grant you credit for the job. A discretionary bonus may be granted based upon your performance and commitment to the job. Most importantly, top talent will be offered an opportunity to join our trading desk upon graduation.

Please view our websites at www.smbcap.com and www.smbtraining.com to learn more about us.
• Learn how to trade equities
• Access to a successful proprietary trading desk
• Assist with the completion and maintenance of our commercial website
• Assist editing our training videos
• A place you will enjoy working","https://smbcapital.applicantstack.com/x/detail/a2vkn4mixuam/aaib?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.009142094983552633,
13,"Equity Now Intern","Legends Charter School","Lanham, MD","Equity Now is very excited to kick off our Internship Program. Our values of Collaboration , Respect , Excellence , Love , and Diversity are also the foundation of qualities we desire in our interns. We appreciate your interest in our program and look forward to reviewing your application and resume. Please read below additional information about our program.

Our internships cover the following disciplines: Information Technology, Curriculum & Instruction, and Business Administration. You will have the opportunity to receive valuable work experience that will allow you to better define career and personal aspirations. The projects address Equity Now's day to day business needs and you will play an integral part in developing solutions. Additionally, you will participate in networking and professional development activities. Other internship details:
Duration: 12 weeks
Location: Lanham, Maryland
Compensation: Class Credit, Experience

This is an excellent opportunity to work alongside experts within the field of education reform, business operations and information technology. Our goal is not just to give you valuable work experience, but to find the next generation of Legends for Equity Now.

We look forward to welcoming you to our team!

Required Skills
Applicants must be able to pass a criminal background check.
Good understanding of Windows and Microsoft Office applications
Effectively listening and communicating with others through written, oral, and non-verbal cues
Being eager to learn new things and new ways of working
Problem solving and planning, specifically analyzing situations to create action plans
Flexibility in dealing with a variety of situations
Working with a diversity of individuals
Exercising clear judgment and integrity in decision‐making
Being aware of his/her own strengths and weaknesses and working relentlessly to improve upon weaknesses and strengths
Accepting responsibility for success and failures and showing a balance of confidence and humility","https://www.linkedin.com/jobs/view/externalApply/2473652775?url=https%3A%2F%2Frecruitingbypaycor%2Ecom%2Fcareer%2FJobIntroduction%2Eaction%3Fid%3D8a78879f755355830175746cab4323a9%26source%3DLinkedIn%252BLimited&urlHash=VuAj&refId=4ded723f-0e6f-4c39-bdd8-1b238b4433fa&trackingId=4QrCinb%2FglL8OPb715ZwXw%3D%3D&trk=public_jobs_apply-link-offsite",0.016542946509509486,
15,"Equity and Health Planning Intern","Puget Sound Regional Council","Seattle, WA","Equity& Health Planning Intern

Closes: Open until filled with applications reviewed beginningMarch 26, 2021.
Status: Temporary part-time positionup to 32 hours per week and up to 3 months; nonexempt FLSA status.
Salary: $21 per hour with limited benefits.
Timeline: Position to begin June/July 2021.
Location: Puget Sound Regional Council, Downtown Seattle, Washington

About Psrc

The Puget Sound Regional Council is the regional transportation, growth management and economic development planning agency serving Seattle and the central Puget Sound. PSRC brings together the region’s diverse counties, cities and towns, native tribes, ports, the state of Washington and civic interests to help the region thrive, now and into the future. The agency serves as the region’s Metropolitan Planning Organization and is the regional leader for growth management, transportation, and economic development under state and federal laws. PSRC seeks to support an inclusive region and build a work culture which embraces diversity and promotes equity. Visit www.psrc.orgto find out more. PSRC is an equal opportunity employer.

The Internship

Planning policies, regulations and government practices have perpetuated historic inequities and resulted in discrimination and reduced access to opportunity. While discriminatory laws have been overturned, aspects of systemic racism persist, and inequitable outcomes continue. VISION 2050, the region’s long-range plan, works to address current and past inequities and improve public health, particularly among communities of color, people with low incomes, and historically underserved communities. PSRC is collaborating with its members and community partners to develop a regional equity strategy and is addressing equity and health through its regional planning efforts.
PSRC is seeking an Equity & HealthPlanning Intern to join its Planning Department this summer to aid in the development and implementation of the Regional Equity Strategy and to advance health equity. Qualified candidates will have excellent analytic and communication skills, as well as a keen interest in advancing racial equity and regional planning policy. Depending on qualifications and interests, the successful candidates may support Planning and Data departments and work on a range of data analysis and planning activities, including research on the state of the art of health equity and how equity can be integrated into transportation and growth management planning.

The Equity & Health Intern will work with Planning and Data staff to provide research and evaluation of equity practices and engage staff from allied agencies and partners. The intern will also conduct and synthesize research and data analysis and support evaluation of equity policies and practices. The intern will support efforts to convene partners and facilitate conversation, exchange, and collaboration to increase consistency and coordination across equity planning efforts.

The Candidate

The ideal candidate is passionate about working to advance racial and social equity in the Puget Sound region and has demonstrated an interest in equity and health policy through lived experience, coursework, or past professional experience. This is an opportunity to grow and learn as an emerging planning professional.

The Ideal Candidate Will Have The Ability To

Analyzeplanningpolicies, strategies, and implementation actions developed under state planning legislation and federal requirements.
Assist with research related to equity and health best practicesin the central Puget Sound region and peer regions.
Familiarity with commonly used demographic, land use, and other planning datasets is a plus.
Provide support for events, committee, and board meetings by organizing logistics, preparing materials and assisting in registration and conduct of meetings.

Successful Candidates Should Also Possess

Excellent attention to detail, organization, and problem-solving skills, as well asaptitudes to work independently and as part of a team.
Effective oral and written communicationabilities towork with the general public, professionals, and agency staff.

Experience And Education

Enrollment in a Bachelor’s/Master’s degree in urban planning, public health, community development, sociology, geography, public administration, or related field.
Or, at least one-year experience in planning, health, or related field.
Or, any combination of education or lived experience in a related field that would provide the applicant with the desired skills, knowledge, and ability required to perform the job.

To Apply

To be considered, applicants must submit a cover letter, resume, and completed, signed PSRC application.
The voluntary and confidential Equal Employment Opportunity, Applicant’s Invitation to Self-Identify – Veteran Status, and Voluntary Self-Identification of Disability forms are appreciated for applicant tracking purposes.
For application materials, please visit https://www.psrc.org/about/careers.
Completed materials can be emailed to hrdept@psrc.org, faxed to 206-587-4825, or mailed to:
Puget Sound Regional Council, attn.: HR, 1011 Western Ave., Suite 500, Seattle, WA 98104","https://www.linkedin.com/jobs/view/externalApply/2451014711?url=http%3A%2F%2F9nl%2Ees%2Fkoh0UK%3Fjz%3D4e1uq70804681D4ADOAIAAABQ%26tracking-details%3DYmlkPTAuMDAmYmlkdHlwZT1vcmcmc3JjPUxpbmtlZEluX09yZ2FuaWMmaklkPTZmMmVhMTIyOTExYmZjMTBlNDQ4Mzc5MjBkYzBlZDU4JmVtZD0wLjAwJnBoSWQ9ZTF1cSZlQmlkPTAuMA&urlHash=0BQL&refId=4ded723f-0e6f-4c39-bdd8-1b238b4433fa&trackingId=TROqSEKU58NFrO9j7DGtuA%3D%3D&trk=public_jobs_apply-link-offsite",0.011689890883141771,
18,"Internship - Diversity Equity & Inclusion Intern","Silicon Valley Bank","Santa Clara, CA","Are you curious about pursuing a career in Human Resources (HR)? We have a terrific opportunity for you to join our team as a Diversity Equity &amp Inclusion (DE&ampI) Intern. In this role, you will learn about the various responsibilities of the DE&ampI department and what it takes to be part of a high-performance HR team. We invite you to gain broad exposure to the DE&ampI function across numerous areas, including recruiting, talent development and management, risk management, compliance, employee engagement, general HR administration and policy creation.

Are you excited to work with and learn from HR leaders in a dynamic, project-focused environment where best in class practices are developed? This internship will provide you the opportunity to gain hands-on experience as you support our DE&ampI team with ongoing projects in collaboration with different HR specialty groups – Talent Acquisition &amp Planning, Benefits, Compensation, Partnerships &amp Solutions – as well as other corporate functions outside of HR, including Marketing and Legal groups.

Main Responsibilities
Coordinate and schedule meetings with key project stakeholders
Conduct research for thought leadership diversity, equity &amp inclusion topics
Provide project support for DE&ampI-related initiatives
Support various ad-hoc DE&ampI projects and administrative tasks as needed


Qualifications
Seeking the following Majors An interest in Human Resources and related subjects – including Psychology, Business Management, Sociology
Seeking Undergrad or Masters level students
Proficiency in MS Office – Word Excel Power Point
Adept with technology and learning new systems
Strong written and verbal communication skills
A self-starter who can operate with minimal direction
A curiosity to learn and inquisitiveness to ask questions
Keen attention to detail and strong organizational skills

LOCATION - Virtual","https://www.linkedin.com/jobs/view/externalApply/2482836849?url=https%3A%2F%2Fsvbank%2Etaleo%2Enet%2Fcareersection%2Fex%2Fjobdetail%2Eftl%3Fjob%3D9287%26lang%3Den%26SID%3D38&urlHash=t44a&refId=4ded723f-0e6f-4c39-bdd8-1b238b4433fa&trackingId=Zf6qiosO1cWXu1z7p5%2B%2B9Q%3D%3D&trk=public_jobs_apply-link-offsite",0.012593200633202727,
17,"Intern, Diversity, Equity, Inclusion, & Belonging","Planet","San Francisco, CA","Welcome to Planet. We believe in using space to help life on Earth.

Planet designs, builds, and operates the largest constellation of imaging satellites in history. This constellation delivers an unprecedented dataset of empirical information via a revolutionary cloud-based platform to authoritative figures in commercial, environmental, and humanitarian sectors. We are both a space company and data company all rolled into one.

Customers and users across the globe use Planet's data to develop new technologies, drive revenue, power research, and solve our world’s toughest obstacles.

As we control every component of hardware design, manufacturing, data processing, and software engineering, our office is a truly inspiring mix of experts from a variety of domains.

We have a people-centric approach toward culture and community and we strive to iterate in a way that puts our team members first and prepares our company for growth. Join Planet and be a part of our mission to change the way people see the world.

Planet is headquartered in San Francisco, California, Earth.

About The Role

The Global Talent & Belonging team is a vital force within the company tasked to attract and empower the next wave of our workforce. We look after Recruiting, Talent Brand, Diversity, Equity, Inclusion and Belonging (DEIB). Recognizing the unique moment we are in on this Planet, we have doubled down on our commitments to creating a healthy culture where everyone has an equitable opportunity to belong and succeed. We are excited to offer a unique opportunity for a student to witness and engage in our journey to enable more equitable systems. You will get to collaborate with all members of our team and will also have the opportunity to join and help produce key DEIB programming and events.

Impact You’ll Own
Participate in team ideation sessions and standups, Racial Justice Action Group and Belonging Taskforce meetings among other Employee Resource Group experiences
Conduct internal research to measure effectiveness of current programs and initiatives
Conduct external research and present findings on case studies of some of the most successful equitable systems, inclusion recruiting and accessibility initiatives in tech
Collaborate with key members of the team to create Planet’s first ever Diversity and Belonging website
Coordinate various discussions and experiences that aim to invite people in to talk about key topics relating to our work in DEIB
Write and produce internal and external blogs that document key aspects of our work in DEIB


What You Bring
A passion for our mission to Use Space to Help Life on Earth
A strong personal connection with work in Diversity, Equity, Inclusion and Belonging
Ongoing educational pursuits in sociology, psychology, organizational development or related discipline
Unique creative talents in any of the following: copywriting, visual design or video production (or strong willingness to grow these skills!)
Previous organizing and/or advocacy experience


Some Press About Us

Our CEO, Will Marshall featured on TED and featured in a Planet Blog

“Planet: Bringing Space Back Down to Earth”

Tiny, privately owned satellites are changing how we view the Earth features in NBC News

“Planet And Rocket Lab Create Mission Patch To Honor Women In Aerospace” —Planet Blog

Why We Care So Much About Belonging.

We’re dedicated to helping the whole Planet, and to do that we must strive to represent all of it within each of our offices and on all of our teams. That’s why Planet is guided by an ultimate north star of Belonging, dreaming big as we approach our ongoing work with diversity, equity and inclusion. If this job intrigues you, but you’re thinking you might not have all the qualifications, please... do apply! At Planet, we are looking for well-rounded people from around the world who can contribute to more ways than just what is listed in this job description. We don’t just fill positions, we aspire to fulfill people’s careers, most excited about folks who are motivated by our underlying humanitarian efforts. We are a few orbits around the sun before we get to where we want to be, so we hope you’re excited to come along for the ride.","https://www.linkedin.com/jobs/view/externalApply/2437147582?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fplanetlabs%2Fjobs%2F2628619%3Fgh_src%3De56b92851us%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=IURN&refId=4ded723f-0e6f-4c39-bdd8-1b238b4433fa&trackingId=CABgaeN8v0oC37aphsDvcA%3D%3D&trk=public_jobs_apply-link-offsite",0.009660147032620615,
3,"Investments Intern","FM Global","Wrentham, MA","More information about this job:
Overview:

Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Responsibilities:

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines ? Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics ? total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly/monthly/quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other Investments and Operations related projects

Qualifications:
• MBA with a strong academic record
• Strong quantitative and presentation tools expertise (Microsoft Office skills (Excel, PowerPoint, Word) very helpful for the internship work
• Experience with Bloomberg and FactSet a plus
• Strong quantitative skills and mindset
• Keen interest in learning aspects of investment management","https://www.jobs4millennials.com/Wrentham-Massachusetts-USA-job/INVESTMENTS-INTERN/12aa13f3cd9924be/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.3663147854795476,
5,"Investment Analyst Internship (Equities) - New York","Into City Prep","New York, NY","Investment Analyst Intern

Seeking a hardworking undergraduate or recent graduate passionate about investing across in equities and/or fixed income, commodities and bonds. You may get involved in conducting research to support the development of investment strategies and evaluate potential investment opportunities

Responsibilities And Duties
• Building, reviewing and updating financial models
• Comparing the theoretical valuation to the market price of the equity to determine whether shares are rated as Buy, Sell or Hold
• Financial modelling, and writing research notes
• Modeling sophisticated financial instruments
• Researching macroeconomic themes
• ﻿Creating visualizations and dashboard views using various data sets
• ﻿Researching ESG factors and their impact on investments

Qualifications And Skills
• Student in penultimate year, final year or recent graduate (graduated within last 3 years).
• Strong academics in business, accounting, economics, finance. Will consider other degrees.
• Cross cultural work experience a plus
• Working knowledge of Excel, Power Point and Word
• Excellent analytical skills
• Strong presentation skills; oral and written

Benefits And Perks
• A dedicated mentor will be offered to guide you as you progress through your investment internship journey.
• Unparalleled early exposure to the investment banking processes and acquiring strong financial analysis skills.
• This opportunity provides potential for academic credits based on the university rules.

Powered by JazzHR

p73TBrCiUc","https://www.usajobcentral.com/job/investment-analyst-internship-equities-new-york-in-new-york-new-york/5836-1155034356F4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.00868092105263158,
7,"Private Wealth Equity Intern","CIBC","Boston, MA (+1 other)","We’re building a relationship-oriented bank for the modern world. We need talented, passionate professionals who are dedicated to doing what’s right for our clients.

At CIBC, we embrace your strengths and your ambitions so you feel empowered at work. Our team members have what they need to make a meaningful impact and feel truly valued for who they are and what they contribute.

To learn more about CIBC, please visit CIBC.com

Job Description

OUR SUMMER INTERNSHIP PROGRAM is designed to offer great work experience to compliment your classroom training and career goals. We are devoted to finding, selecting and training interns who will make a positive impact on our company. Intern Program activities allow you an opportunity to meet and network with company executives, employees, and fellow interns, as well as learn more about banking and the financial industry.

Interns are assigned to a CIBC Private Wealth equity analyst for the summer, and placement decisions are based on interests, skills, and position availability. Throughout the summer, interns are provided with direction, coaching and mentoring so they may perform at their personal best.

RESPONSIBILITIES

Specific internship responsibilities determined closer to start date and depend on the needs of the hiring department. Responsibilities may include, but are not limited to:
• Learning the basics of equity investment research and portfolio management
• Researching multiple public companies, including reading SEC filings, sell side reports, industry research, and web-based research. Writing a detailed investment report and preparing a financial model of one or more public companies.
• Learning the basics of the industry that your host analyst covers
• Listening to and summarizing earnings conference calls of public companies.
• Learning how to use Factset to assist in the investment research.

ACTIVITIES (anticipated, subject to change): Weekly, June - early August
• Orientation Kickoff featuring panel of former interns
• Social networking event with internal intern program alumni
• Informational Session series with Bank executives from across the organization
• Introduction and meeting with our President & CEO, Mike Capitides
• Commercial Banking Training Program (CBTP) Workshop & Shadow Day - learn more about post-graduate career opportunities
• Shadowing Program with departments across the organization
• Volunteer opportunity with a local non-profit organization
• Networking opportunities to connect you with other interns and employees
• Team-building events
• Attend meetings with public company management teams, sell side equity analysts, and weekly investment team meetings.

INTERNSHIP BASICS
• 10-12 week duration desired, flexible start and end dates
• 40-hour work week, Monday through Friday
• Paid opportunity
• Located Chicago Loop or Chicago suburbs
• Opportunity to attend weekly intern program activities

QUALIFICATION
• College student pursuing Bachelors degree
• Accounting, Finance, Business, Economics major preferred, but not required
• Strong verbal and written communication skills
• Good attention to detail
• Ability to multi-task in a fast-paced environment
• Strong knowledge of MS Office - Word, Excel, PowerPoint
• Graduation Date of June 2022 or earlier
• Minimum cumulative GPA of 3.0 preferred
• Enthusiastic to learn and grow from their internship experience
• Willing to ask questions, as needed
• Interest in equity research and investment management

What You Need to Know
• CIBC is committed to creating an inclusive environment where all team members and clients feel like they belong. We seek applicants with a wide range of abilities and we provide an accessible candidate experience. If you need accommodation during the application or interview process, please contact Mailbox.careers-carrieres@cibc.com
• You need to be legally eligible to work at the location(s) specified above and, where applicable, must have a valid work or study permit

Expected End Date

2021-08-31

Job Location

100 Federal Street, 37th Floor

Employment Type

Temporary (Fixed Term)

Weekly Hours

40","https://www.internships.com/posting/sam_4015275160?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.013663622687024958,
11,"Systematic Fixed Income Strategy Intern","GMO","Boston, MA","Company Profile

Founded in 1977, GMO is a private partnership committed to delivering superior investment performance and advice to our clients.  We offer strategies where we believe we are positioned to add the greatest value for our investors.  These include multi-asset class portfolios as well as dedicated equity, fixed income, and absolute return offerings, many of which employ the firm’s proprietary 7-year asset class forecasting framework.  Our client base is comprised primarily of institutions, including corporate and public defined benefit and defined contribution retirement plans, endowments, foundations, and financial intermediaries.

GMO, whose sole business is investment management, employs approximately 470 people worldwide and is headquartered in Boston with offices in San Francisco, London, Amsterdam, Sydney, and Singapore. We manage roughly $60 billion in client assets using a combination of top-down and bottom-up approaches that blend traditional fundamental insights with innovative quantitative methods to identify undervalued asset classes and securities. Our valuation-based approach embeds several key factors, including: a long-term investment horizon, discipline, conviction, and a commitment to research. Our research emphasizes not only identifying and exploiting pricing dislocations but also understanding the long-term drivers of return in the markets in which we invest. We are known for our candor in sharing our views with clients and for our willingness to take bold, differentiated positions when opportunities warrant.

Position Overview

The Systematic Fixed Income Strategy group is looking for a talented and driven individual to join our quantitative strategy efforts. The team is responsible for conducting research and establishing strategy across current Fixed Income capabilities and developing new strategies and products. Particular areas of focus are systematic credit capabilities in corporate credit, and the development of a framework to allocate risk across various sectors of fixed income in specific quantitative solutions projects.

The successful candidate will work on a number of projects related to the development of new systematic fixed income strategies. This would range from working with the team to develop quantitative fixed income solutions that combine existing capabilities, create factor and model attribution of existing strategies, and contribute to white papers and insight materials created by the team. He/she will develop critical insight in the development and management of fixed income strategies and gain exposure to multiple sectors of fixed income across emerging markets, corporate credit, and developed rates and currencies. This role offers insight into the investment product and strategy landscape in systematic fixed income more broadly. The individual will participate in research and project meetings and will be provided with opportunities to learn about and meet with other teams at GMO.

Department Profile

The Fixed Income team is responsible for managing portfolios and conducting research across all major sectors of fixed income and currencies. The team values clarity of roles and decision-making while maintaining a culture of intellectual curiosity, debate, respectful disagreement, candor, and collegiality.

Responsibilities
Conduct strategy and quantitative fixed income solutions research and design applying existing strategies and capabilities to meet specific investment needs
Create and enhance interactive tools for analysis and visualization of current fund and strategy positioning, performance and risk characteristics
Improve and extend connectivity on data and coding architecture and infrastructure within the fixed income and across other teams as appropriate.
Assist various members of the Fixed Income team with related research projects including contributing to white papers and broad research initiatives.

Profile And Requirements
Working on a degree in Computer Science, Quantitative finance, Applied Mathematics/Statistics, Engineering or similar
Hands-on experience with programming in Matlab, or another language like R, Python, Java, C# or Julia
Programming proficiency in SQL
Basic understanding of statistics and econometric concepts
Interest in understanding the sources of returns for major asset classes, signal construction, portfolio theory and translation from model to markets.
Exceptional attention to detail
Ability to prioritize multiple tasks, set goals and meet deadlines
Ability to work effectively and efficiently with moderate supervision
Effective verbal and written communication skills","https://www.linkedin.com/jobs/view/externalApply/2483836102?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fgmo%2F3f6c5872-d008-454c-b6c0-6dd414526fe5%2Fapply%3Flever-source%3DLinkedIn&urlHash=nr-P&refId=4ded723f-0e6f-4c39-bdd8-1b238b4433fa&trackingId=yBZq9wkr33DUPEY9oJhsVQ%3D%3D&trk=public_jobs_apply-link-offsite",0.010246655959601154,
