Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
1,"Investments Intern","Factory Mutual Insurance Company","Waltham, MA","Overview

Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Responsibilities

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other Investments and Operations related projects

Qualifications
• MBA with a strong academic record
• Strong quantitative and presentation tools expertise (Microsoft Office skills (Excel, PowerPoint, Word)) very helpful for the internship work
• Experience with Bloomberg and FactSet a plus
• Strong quantitative skills and mindset
• Keen interest in learning aspects of investment management","https://jobs-fmglobal.icims.com/jobs/10552/investments-intern/job?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.03919290169525824,
2,"Investments Intern","FM Global","Massachusetts","More information about this job:
Overview:

Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Responsibilities:

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines ? Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics ? total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly/monthly/quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other Investments and Operations related projects

Qualifications:
• MBA with a strong academic record
• Strong quantitative and presentation tools expertise (Microsoft Office skills (Excel, PowerPoint, Word) very helpful for the internship work
• Experience with Bloomberg and FactSet a plus
• Strong quantitative skills and mindset
• Keen interest in learning aspects of investment management","https://www.genzjobsearch.com/Hyde-Park-Massachusetts-USA-job/INVESTMENTS-INTERN/f227f1903a1a8a3d/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.3723325289273406,
14,"2021 Investment Summer Intern - Master's Student","Guardian Life","New York, NY","Position Summary

The 2020 Summer Internship for Fixed Income Quantitative Research and Strategy in Guardian Life's Investments Department will focus primarily on fixed income quantitative analysis and how it is applied to the investment process.

This program provides an opportunity for the intern to utilize his/her programming skills (Python, R, VBA preferred), knowledge of fixed income securities and derivatives and analytical/statistical knowledge in the areas of model development, portfolio optimization and data analysis. Seeking Master’s student with relevant coursework in machine learning, big data and artificial intelligence would be a plus.

The intern(s) will also be exposed to multiple aspects of the Investment process through attendance at regular investment department meetings and through interfacing with various subject matter experts in the areas of corporate credit risk, structured finance, derivatives and of course quantitative research.

At the conclusion of the program, the intern would be expected to make a presentation discussing the various projects worked on during the internship.

Internship Overview

Our Internship Program is a paid 10-week learning experience where you will be immersed in the daily environment of a thriving Fortune 250 global financial services company.

You will gain invaluable industry and organizational knowledge through daily business interactions and job assignments, in addition to engaging in projects that directly affect our business, interact with senior leaders in conversational settings, and network with employees and interns across our regional offices.

Primary Location

United States-New York-New York

Job

Investments

Schedule

Full-time

Shift

Day Job

Job Type

Standard

Travel

Yes, 10 % of the Time

Job Posting

Oct 16, 2020, 10:11:27 AM

~Housing is not provided~

Applicants must be eligible to work in the U.S. without company sponsorship, now or in the future, for employment-based work authorization. F-1 visa holders with Optional Practical Training (OPT) who will require H-1B status, TNs, or current H-1B visa holders will not be considered. H1-B and green card sponsorship is not available for this position.

About Guardian

Guardian has been helping people protect their futures and secure their lives for more than 150 years. Every day, we serve approximately 27 million people through a range of insurance and financial products. As one of the largest mutual insurance companies, we know what matters most: putting the needs of our customers first. Because everyone deserves a Guardian. Learn more about Guardian at guardianlife.com

Guardian is an equal opportunity employer. All qualified applicants will be considered for employment without regard to age, race, color, creed, religion, sex, affectional or sexual orientation, national origin, ancestry, marital status, disability, military or veteran status, or any other classification protected by applicable law.

© Copyright 2019 The Guardian Life Insurance Company of America, New York, NY.","https://www.linkedin.com/jobs/view/externalApply/2277225161?url=https%3A%2F%2Fguardian%2Etaleo%2Enet%2Fcareersection%2Fgl_ex%2Fjobdetail%2Eftl%3Fjob%3D20001350%26lang%3Den%26src%3DSNS-102&urlHash=_BLl&refId=4f56746c-fd3f-4183-a080-968e803609da&trackingId=M0OLyTNhq7o1ICNu2Cbahg%3D%3D&trk=public_jobs_apply-link-offsite",0.009818841911764707,
11,"Systematic Fixed Income Strategy Intern","GMO","Boston, MA","Company Profile

Founded in 1977, GMO is a private partnership committed to delivering superior investment performance and advice to our clients.  We offer strategies where we believe we are positioned to add the greatest value for our investors.  These include multi-asset class portfolios as well as dedicated equity, fixed income, and absolute return offerings, many of which employ the firm’s proprietary 7-year asset class forecasting framework.  Our client base is comprised primarily of institutions, including corporate and public defined benefit and defined contribution retirement plans, endowments, foundations, and financial intermediaries.

GMO, whose sole business is investment management, employs approximately 470 people worldwide and is headquartered in Boston with offices in San Francisco, London, Amsterdam, Sydney, and Singapore. We manage roughly $60 billion in client assets using a combination of top-down and bottom-up approaches that blend traditional fundamental insights with innovative quantitative methods to identify undervalued asset classes and securities. Our valuation-based approach embeds several key factors, including: a long-term investment horizon, discipline, conviction, and a commitment to research. Our research emphasizes not only identifying and exploiting pricing dislocations but also understanding the long-term drivers of return in the markets in which we invest. We are known for our candor in sharing our views with clients and for our willingness to take bold, differentiated positions when opportunities warrant.

Position Overview

The Systematic Fixed Income Strategy group is looking for a talented and driven individual to join our quantitative strategy efforts. The team is responsible for conducting research and establishing strategy across current Fixed Income capabilities and developing new strategies and products. Particular areas of focus are systematic credit capabilities in corporate credit, and the development of a framework to allocate risk across various sectors of fixed income in specific quantitative solutions projects.

The successful candidate will work on a number of projects related to the development of new systematic fixed income strategies. This would range from working with the team to develop quantitative fixed income solutions that combine existing capabilities, create factor and model attribution of existing strategies, and contribute to white papers and insight materials created by the team. He/she will develop critical insight in the development and management of fixed income strategies and gain exposure to multiple sectors of fixed income across emerging markets, corporate credit, and developed rates and currencies. This role offers insight into the investment product and strategy landscape in systematic fixed income more broadly. The individual will participate in research and project meetings and will be provided with opportunities to learn about and meet with other teams at GMO.

Department Profile

The Fixed Income team is responsible for managing portfolios and conducting research across all major sectors of fixed income and currencies. The team values clarity of roles and decision-making while maintaining a culture of intellectual curiosity, debate, respectful disagreement, candor, and collegiality.

Responsibilities
Conduct strategy and quantitative fixed income solutions research and design applying existing strategies and capabilities to meet specific investment needs
Create and enhance interactive tools for analysis and visualization of current fund and strategy positioning, performance and risk characteristics
Improve and extend connectivity on data and coding architecture and infrastructure within the fixed income and across other teams as appropriate.
Assist various members of the Fixed Income team with related research projects including contributing to white papers and broad research initiatives.

Profile And Requirements
Working on a degree in Computer Science, Quantitative finance, Applied Mathematics/Statistics, Engineering or similar
Hands-on experience with programming in Matlab, or another language like R, Python, Java, C# or Julia
Programming proficiency in SQL
Basic understanding of statistics and econometric concepts
Interest in understanding the sources of returns for major asset classes, signal construction, portfolio theory and translation from model to markets.
Exceptional attention to detail
Ability to prioritize multiple tasks, set goals and meet deadlines
Ability to work effectively and efficiently with moderate supervision
Effective verbal and written communication skills","https://www.linkedin.com/jobs/view/externalApply/2483836102?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fgmo%2F3f6c5872-d008-454c-b6c0-6dd414526fe5%2Fapply%3Flever-source%3DLinkedIn&urlHash=nr-P&refId=eefeff51-ec12-4584-9c8d-aae6394a8667&trackingId=GJw6cweMSD69YOzR2HOzdQ%3D%3D&trk=public_jobs_apply-link-offsite",0.012800079104697508,
3,"Investments Intern","FM Global","Wrentham, MA","More information about this job:
Overview:

Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Responsibilities:

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines ? Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics ? total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly/monthly/quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other Investments and Operations related projects

Qualifications:
• MBA with a strong academic record
• Strong quantitative and presentation tools expertise (Microsoft Office skills (Excel, PowerPoint, Word) very helpful for the internship work
• Experience with Bloomberg and FactSet a plus
• Strong quantitative skills and mindset
• Keen interest in learning aspects of investment management","https://www.jobs4millennials.com/Wrentham-Massachusetts-USA-job/INVESTMENTS-INTERN/12aa13f3cd9924be/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.3723325289273406,
4,"Systematic Fixed Income Strategy Intern","GMO","Boston, MA (+1 other)","Company Profile

Founded in 1977, GMO is a private partnership committed to delivering superior investment performance and advice to our clients.  We offer strategies where we believe we are positioned to add the greatest value for our investors.  These include multi-asset class portfolios as well as dedicated equity, fixed income, and absolute return offerings, many of which employ the firm’s proprietary 7-year asset class forecasting framework.  Our client base is comprised primarily of institutions, including corporate and public defined benefit and defined contribution retirement plans, endowments, foundations, and financial intermediaries.

GMO, whose sole business is investment management, employs approximately 470 people worldwide and is headquartered in Boston with offices in San Francisco, London, Amsterdam, Sydney, and Singapore. We manage roughly $60 billion in client assets using a combination of top-down and bottom-up approaches that blend traditional fundamental insights with innovative quantitative methods to identify undervalued asset classes and securities. Our valuation-based approach embeds several key factors, including: a long-term investment horizon, discipline, conviction, and a commitment to research. Our research emphasizes not only identifying and exploiting pricing dislocations but also understanding the long-term drivers of return in the markets in which we invest. We are known for our candor in sharing our views with clients and for our willingness to take bold, differentiated positions when opportunities warrant.

Position Overview:

The Systematic Fixed Income Strategy group is looking for a talented and driven individual to join our quantitative strategy efforts. The team is responsible for conducting research and establishing strategy across current Fixed Income capabilities and developing new strategies and products. Particular areas of focus are systematic credit capabilities in corporate credit, and the development of a framework to allocate risk across various sectors of fixed income in specific quantitative solutions projects.

The successful candidate will work on a number of projects related to the development of new systematic fixed income strategies. This would range from working with the team to develop quantitative fixed income solutions that combine existing capabilities, create factor and model attribution of existing strategies, and contribute to white papers and insight materials created by the team. He/she will develop critical insight in the development and management of fixed income strategies and gain exposure to multiple sectors of fixed income across emerging markets, corporate credit, and developed rates and currencies. This role offers insight into the investment product and strategy landscape in systematic fixed income more broadly. The individual will participate in research and project meetings and will be provided with opportunities to learn about and meet with other teams at GMO.

Department Profile
The Fixed Income team is responsible for managing portfolios and conducting research across all major sectors of fixed income and currencies. The team values clarity of roles and decision-making while maintaining a culture of intellectual curiosity, debate, respectful disagreement, candor, and collegiality.
Responsibilities:
• Conduct strategy and quantitative fixed income solutions research and design applying existing strategies and capabilities to meet specific investment needs
• Create and enhance interactive tools for analysis and visualization of current fund and strategy positioning, performance and risk characteristics
• Improve and extend connectivity on data and coding architecture and infrastructure within the fixed income and across other teams as appropriate.
• Assist various members of the Fixed Income team with related research projects including contributing to white papers and broad research initiatives.
Profile and Requirements:
• Working on a degree in Computer Science, Quantitative finance, Applied Mathematics/Statistics, Engineering or similar
• Hands-on experience with programming in Matlab, or another language like R, Python, Java, C# or Julia
• Programming proficiency in SQL
• Basic understanding of statistics and econometric concepts
• Interest in understanding the sources of returns for major asset classes, signal construction, portfolio theory and translation from model to markets.
• Exceptional attention to detail
• Ability to prioritize multiple tasks, set goals and meet deadlines
• Ability to work effectively and efficiently with moderate supervision
• Effective verbal and written communication skills","https://www.glassdoor.com/job-listing/systematic-fixed-income-strategy-intern-gmo-JV_IC1154532_KO0,39_KE40,43.htm?jl=4047281224&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.015199738379075383,
13,"International Equity Trader","Jefferies","New York, NY","We are currently seeking an individual for a position in our New York office on the International Trading desk.
Job Summary and Responsibilities:
- The applicant will be engaged in global trading activities and work within an existing team environment in NY and overseas.
- Strong candidates will have experience handling cross currency equity risk, leverage client relationships, and provide content.
- We are looking for a self-starter who is motivated with high energy and a great attitude. Ability to work with internal product desks globally.","https://www.linkedin.com/jobs/view/externalApply/2479775094?url=https%3A%2F%2Fjefferies%2Etaleo%2Enet%2Fcareersection%2Fjobdetail%2Eftl%3Fjob%3D2100018Z&urlHash=HVxU&refId=59ef6bc6-f3f9-451b-94fd-a1dc10e40b85&trackingId=pnRTMBbPTJ7wM8eRNslXtw%3D%3D&trk=public_jobs_apply-link-offsite",0.030539923398902526,
5,"Corporate and Investment Banking Internship, Fixed Income Trading - 6 months","Société Générale","New York, NY","Responsibilities

Societe Generale Global Markets Division (MARK) provides hard-working, talented graduates with the opportunity to develop exceptional careers within the finance industry. The Off Cycle Analyst Program provides exposure to large Fixed Income, Equity and Commodity trading floors as well as to our Prime Brokerage business and other banking activities. This 6 month Internship has a variety of opportunities across our New York office. The program will enable you to benefit from ongoing networking and development opportunities inside and outside of your assigned team.

Profile required

Program Benefits
• Opportunities in Equity, Fixed Income, and Prime Services, making markets in hundreds of financial products.
• Provide an insight into the day-to-day functioning of Capital Markets, and contribute firsthand the trading of global risk and capital flows
• Deep understanding of a wide range of trades implemented by key market investors across Global Banks, Hedge Funds Insurers, Pension funds, Real Money managers and Corporate Accounts
• Invaluable opportunity to demonstrate your potential in a competitive trading floor environment working for a ~$1.45tn asset global bank

Intern Responsibilities:
• Calculating value-at-risk figures for the trading strategies of prime brokerage clients
• Analyzing Trading Desk hedging strategies and risk exposures
• Deconstructing client trading behavior to find opportunities to further product reach
• Engaging clients directly in social settings to deepen client relationships

Business insight

Societe Generale is looking for students who maintain:
• Strong academic record
• Flexibility, innovative thinking, energy, drive and enthusiasm
• Exceptional interpersonal, communication and analytical skills
• Interest in financial markets and global geopolitics
• Ability to work effectively in both a team and independently

We are an equal opportunities employer and we are proud to make diversity a strength for our company. Societe Generale is committed to recognizing and promoting all talents, regardless of their beliefs, age, disability, parental status, ethnic origin, nationality, sexual or gender identity, sexual orientation, membership of a political, religious, trade union or minority organisation, or any other characteristic that could be subject to discrimination.

Reference: 20000RZI
Entity: SG Americas Securities
Starting date: immediate
Publication date: 2021/03/25","https://www.glassdoor.com/job-listing/corporate-and-investment-banking-internship-fixed-income-trading-6-months-soci%C3%A9t%C3%A9-g%C3%A9n%C3%A9rale-JV_IC1132348_KO0,73_KE74,90.htm?jl=4043414828&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.010414985884978993,
12,"International Equity Trader","Jefferies","New York, NY","We are currently seeking an individual for a position in our New York office on the International Trading desk. 

Job Summary and Responsibilities:
The applicant will be engaged in global trading activities and work within an existing team environment in NY and overseas.
Strong candidates will have experience handling cross currency equity risk, leverage client relationships, and provide content.
We are looking for a self-starter who is motivated with high energy and a great attitude. Ability to work with internal product desks globally.

Desired Skills / Characteristics:
5-10 years of relevant experience
Strong client relationships
Currently working in International trading is preferable
Ability to work under pressure in a high stress environment
A resourceful self-starter, ability to work autonomously and as a team player
Extremely organized
Strong quantitative, analytical and communication skills
Strong attention to detail, accuracy and timeliness is essential as well as multi-tasking
Strong understanding of professional ethics and regulatory environment
Series 55, 7, 63 certifications preferred  ","https://www.linkedin.com/jobs/view/externalApply/2483836102?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fgmo%2F3f6c5872-d008-454c-b6c0-6dd414526fe5%2Fapply%3Flever-source%3DLinkedIn&urlHash=nr-P&refId=eefeff51-ec12-4584-9c8d-aae6394a8667&trackingId=GJw6cweMSD69YOzR2HOzdQ%3D%3D&trk=public_jobs_apply-link-offsite",0.013888085828596795,
15,"Summer 2021 Intern-Marketing","Commonfund","Wilton Center, CT","About Commonfund
Commonfund was founded in 1971 as an independent asset management firm with a grant from the Ford Foundation. Together with or through its affiliates, Commonfund today manages customized investment programs for endowments, foundations and public pension funds. Among the pioneers in applying the endowment model of investing to institutional portfolios, we provide extensive investment flexibility using independent investment sub-advisers for discretionary and non-discretionary outsourcing engagements. Investment programs incorporate active and passive strategies in equities and fixed income, hedge funds, real assets and private capital. For additional information about Commonfund, please visit www.commonfund.org.

Asset Management Summer 2021 Intern: Marketing Department
Our marketing department supports the entire firm’s initiatives in a variety of ways including, sales presentations, event management, preparing marketing and research materials, along with managing the company website. This role will work closely with our team and focus on digital marketing projects. The intern will work with our HubSpot and BrightEdge platforms on marketing campaigns, social media and Search Engine Optimization (SEO), as well as reporting/analytics. This candidate should have an interest in online digital technologies (familiarity with html a plus) and be well-organized. This role is based in Wilton, CT.

How the intern program works:
The program runs for 10 weeks from June until August. We generally have a set start date in early June but are flexible for students on a different school schedule.  
This position will begin virtually and will be in person in our Wilton, CT office when we reopen. 
 A resume and cover letter are required for the application process.
Skills and attributes we look for:
A demonstrated interest in asset management, investments or capital markets
A strong proficiency with Microsoft Office programs including Excel, Word and PowerPoint
A demonstrated ability to work independently and as part of a team
Strong written and verbal communication skills
Excellent organizational skills and attention to detail
Strong analytical/problem solving skills 
 To learn more about Commonfund, the program and to apply, go our website:  www.commonfund.org/careers","https://www.linkedin.com/jobs/view/externalApply/2501808847?url=https%3A%2F%2Fwww%2Ecommonfund%2Eorg%2Fabout%2Fcareers%2F&urlHash=Wtf6&refId=4f56746c-fd3f-4183-a080-968e803609da&trackingId=EPmVWS%2FLhmMMIYUhUjvcJw%3D%3D&trk=public_jobs_apply-link-offsite",0.0215278339229201,
