Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
5,"Intern: Public Policy and Government Affairs","Biogen","Cambridge, MA","Job Description

This position is for a 12 week internship from June – August

The Public Policy & Government Affairs (PPGA) team is seeking an intern to support government affairs work in Massachusetts, the location of Biogen’s global corporate headquarters. The ideal candidate will be detailed-oriented and possess strong relationship management and interpersonal skills.

Position Description

Examples of intern activities include:
• Educate state policymakers about Biogen’s business and patients and advocate for legislative solutions focused on patient affordability and access
• Help further PPGA’s goals relative to aducanumab/AD and explore opportunities for Biogen to collaborate and advance implementation of MA Alzheimer’s policy, including in the areas of early detection and diagnosis and health equity
• Maximize opportunities to establish connectivity to the business, including with the brand teams & field teams
• Assist on local issues as they arise as related to Biogen’s Cambridge and Weston sites
• Work in collaboration with Corporate Affairs on reputation management activities directed at local and state policymakers, leveraging Biogen’s corporate social responsibility work and corporate campaigns
• Work to leverage Biogen’s memberships in business and industry groups including MassBio and local Chambers of Commerce
• Ensure Biogen is maximizing opportunities available through the Massachusetts Life Sciences Center - the economic development agency for the sector - including initiatives related to STEM and D&I
• Explore opportunities to increase Biogen Political Action Committee (PAC) engagement

Traditional methods of advocacy and legislative timelines have been impacted due to COVID-19, but this position will involve creative methods to continue to build Biogen’s reputation and advance public policy priorities in the current environment. Success in this role ensures Biogen maintains its leadership in the local biopharma community and in policy development. It is also an opportunity for the candidate to learn more about the goals and work of the entire PPGA team while focusing on state and local government affairs in Massachusetts.

Qualifications

To participate in the Biogen Internship Program, students must meet the following eligibility criteria:
• Legal authorization to work in the U.S.
• Grade point average of 3.2 or higher preferred
• At least 18 years of age prior to the scheduled start date
• Be currently enrolled in an accredited college or university

Education

BS or MS in Political Science, Government, or related discipline.

Additional Information

All your information will be kept confidential according to EEO guidelines","https://www.internships.com/posting/sam_4041075206?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0350363072012178,
11,"U.S. Federal Government Relations Intern","Habitat for Humanity International","Washington, DC","We are Habitat
Habitat for Humanity International is pursuing a highly motivated intern to support our U.S. policy and advocacy work by conducting communication, research, mobilization and analysis on local, state and federal legislative issues related to affordable housing and homeownership.

What will you build?
As a U.S. Federal Government Relations Intern, you will have the opportunity to help Habitat affiliates across the nation build their capacity to engage in advocacy and policy change. You will work on a wide array of projects related to Habitat’s federal policy work, possibly including covering coalition meetings, communicating with legislative offices, covering virtual hearings on Capitol Hill, working with Habitat affiliates to help them engage in advocacy, tracking legislation, researching policy issues, and supporting Habitat affiliates on unique local housing issues. You will gain hands-on experience researching and analyzing legislation at all levels of government, and creating advocacy tools to support federal housing policy solutions.

Due to COVID-19, this position must be performed remotely.
This position is part-time, 2-4 days/week, unpaid internship from May - August, with flexibility on start and end date..
Primary Responsibilities
Track and analyze trends in federal housing policy and legislation
Produce tools and resources to support policy priorities and build advocacy knowledge among Habitat affiliates
Provide technical assistance to Habitat affiliates on advocacy issues
Represent Habitat for Humanity at coalition meetings and policy events
Engage legislative offices about Habitat’s policy priorities
Support efforts on appropriations work
Minimum Qualifications
Current Undergraduate
Exceptionally strong communications skills; must be able to easily communicate with Habitat affiliates across the country
Strong writing and interpersonal skills
Willingness to take on individual projects as well as work in a team
Comfort with research and analysis
Great organizational skills and the ability to juggle varied tasks while meeting deadlines
Consistent attention to detail
Microsoft Office savvy
Active support of HFHI Values:
Humility – We are part of something bigger than ourselves
Courage – We do what’s right, even when it is difficult or unpopular
Accountability – We take personal responsibility for Habitat’s mission
Preferred Qualifications
Advocacy or policy experience
Nonprofit experience
Enthusiasm for social justice
Interest in affordable housing issues
What’s in it for you?
This position will give you a chance to contribute to a top notch non-profit organization and develop advocacy specialties that will increase your professional growth. At the end of the internship, you will increase your knowledge about the affordable housing issues facing the country. You will gain experience in tracking and analyzing legislation in multiple states and learn the art of advocacy mobilization. You will also have ample opportunity to work with policy experts in our office and the field. In addition to current projects in the office, your supervisor will work with you to develop a project that you can “own” and develop during the course of your internship. We invite you to join us in this journey to advocate for the urgent need for adequate, affordable shelter.

Safeguarding: HFHI requires that all employees take seriously their ethical responsibilities to safeguarding our intended beneficiaries, their communities, and all those with whom we work. Managers at all levels have responsibilities to support and develop systems that create and maintain an environment that prevents harassment, sexual exploitation and abuse, safeguards the rights of beneficiaries and community members (especially children), and promotes the implementation of Habitat for Humanity’s code of conduct.","https://www.linkedin.com/jobs/view/externalApply/2458043707?url=https%3A%2F%2Fwww%2Ehabitat%2Eorg%2Fabout%2Fcareers%2Fus-federal-government-relations-intern-6218br&urlHash=58EF&refId=0b2bf597-c556-4e1f-b3e2-9a729ee41eea&trackingId=WcCgq%2BzI563Q%2FWJUASvyiw%3D%3D&trk=public_jobs_apply-link-offsite",0.032291527402556974,
8,"Public & Government Affairs Intern","Everbridge","Burlington, MA","Public & Government Affairs Intern at Everbridge in Burlington, Massachusetts

Posted in Other about 8 hours ago.

------------

Job Description:

Everbridge: a fast-growing global provider of SaaS-based critical communications and enterprise safety solutions are currently seeking for a Public & Government Affairs Intern.
The ideal candidate is a self-starter who thrives in a fast-paced environment and is equipped with concise written and verbal communication, and excellent time-management and organizational skills. A creative outlook and collaborative spirit are musts, as well as the ability to work independently and with a group.

What you'll do:
• Visibility pre- and post-conference: You will contribute to support the organization and follow up of a policy conference by a Brussels-based pan-European media platform. You will also identify and follow-up with senior civil servants dealing with public warning systems and/or emergency communications in five member states, to solicit interest in participating, address them personalized invitations and follow up post conference to ensure engagement and company product recognition.
• EU legislative train- digital agenda coverage and inputs: You will review and integrate the in-house government affairs activities with identification of the key policymakers, stakeholders, events, papers, initiatives, panel discussions, in the field of the EU Digital Agenda at the EU Commission and EU Parliament level. You will identify the schedule of future public consultations and contribute strategic policy inputs in line with Everbridge's business development objectives for public waring systems and critical event management.
• Market review and Analysis: review the reports of the major multilateral development banks and rationalize their organization on the shared drive, including preparing a taxonomy of the relevant information for ease of access by marketing staff. You will also monitor the work programs published by the main EU Directorates General involved with implementing the EU Digital Agenda (DG COMM, DG DIGIT, DG REGIO, etc..) as well as the research grant funding objectives expected to be published in April 2021, a per the Presentation outlining Horizon Europe
Bridger Culture:
At Everbridge, we have a mission that matters-to keep people safe and businesses runningduring critical events. Our Bridgers join Everbridge to make a positive impacton the world through their work. The core of our company culture is built around making a difference. Our people are dedicated to solving problems during difficult times and challenging situations as our software was built to save lives.We are a rapidly growing organization transforming the field of critical event management and need passionate, committed and determined individuals to help us carry out our mission. Our environment is dynamic, and our culture is constantly evolving and expanding in order to provide the best employee experience.Click hereto learn more about what we do. Passionate about our mission? Want to #BeTheBridge? Apply to be a part of our team today!Everbridge is an Equal Opportunity/Affirmative Action Employer. All qualified Applicants will receive consideration for employment without regard to race, creed, color, religion, or sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state, or local law","https://www.internships.com/posting/bug_38967425043?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.054309557730362605,
12,"IN-21039 U.S. Government Relations Summer 2021 Intern","World Wildlife Fund","Washington, DC","World Wildlife Fund (WWF), one of the world’s leading conservation organization, seeks a Policy and Government Affairs Summer 2021 Intern. The Policy and Government Affairs department of the World Wildlife Fund is seeking part-time to full-time interns for policy research, analysis, and outreach. Given the diversity of issues that the USGR staff covers, research, and analysis may entail working with legislation, regulations, and potentially court cases. By contrast research, analysis, and support may include assessment of government agencies' roles, policies, and positions on issues relating to WWF's mission, or writing of brief materials about U.S. government agencies. Outreach may entail covering congressional hearings and markups, and preparing and attending congressional, administration, and/or NGO coalition briefings. Subject matter will cover many of the issues in which WWF is involved, including biodiversity conservation (e.g., endangered species and habitat protection), natural resource management (e.g., fisheries, forestry, and agriculture), environment and security, climate change, and energy.
Research, writing & analysis on various topics which may include food and water security, foreign assistance, marine and fisheries issues, species and climate change, as well as USAID specific topics
Legislative tracking and research
Attend Congressional hearings and briefings, and NGO coalition meetings
Outreach to Capitol Hill and the Administration on legislation and rulemaking

Only enrolled students are eligible for this internship as you must be able to receive academic credit from your current academic institution. Able to work either part time or full time, depending on class schedule and availability. Please note This internship is for Summer 2021.

Desired Skills And Qualities
Undergraduate student
Interest in conservation and international development issues with a concentration in International Relations, Public Policy, American Government, or Political Science
Interest and willingness to learn about Capitol Hill, the Administration (specifically USAID, U.S. State Department, and Millennium Challenge Corporation) and other non-governmental organizations
US Government internship experience
Excellent written and verbal communications skills
Ability to work in a fast-paced environment, collaboratively and independently
Strong interpersonal skills crucial for developing working relationships, internally and externally
Strong organizational skills
Attention to detail

Location

Washington, DC

Compensation

Unpaid. For all unpaid internships, applicants must be enrolled in school and be able to obtain academic course credit from their university.

To Apply
Submit cover letter and resume through our Careers Page, Requisition #IN-21039
Due to the high volume of applications we are not able to respond to inquiries via phone
* Please note that WWF does not provide VISA sponsorship to interns

As an EOE/AA employer, WWF will not discriminate in its employment practices due to an applicant’s race, color, religion, sex, national origin, age, marital status, genetic information, sexual orientation, gender identity and expression, disability, or protected Veteran status. WWF values diversity and inclusion and welcomes diverse candidates to apply.","https://www.linkedin.com/jobs/view/externalApply/2468253555?url=https%3A%2F%2Fcareers-wwfus%2Eicims%2Ecom%2Fjobs%2F2786%2Fin-21039-u%2Es%2E-government-relations-summer-2021-intern%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=5vUz&refId=0b2bf597-c556-4e1f-b3e2-9a729ee41eea&trackingId=zOlvkrC0E2kZBehD%2BDJLTA%3D%3D&trk=public_jobs_apply-link-offsite",0.07704489603132572,
14,"Intern (Government Relations Undergraduate - Summer)","Centene Corporation","Washington, DC","Position Purpose
Learn various job functions within the Managed Care industry and explore various career opportunities
Apply academic knowledge and learn new skills by contributing to various projects
Research various legal, regulatory, and other topics within functional area and industry
Attend training and development presentations to enhance professional competencies
Learn about various processes and functions within the Managed Care industry and develop professionally by contributing to projects that support the business.

Experience/Experience
High school diploma or equivalent. Must be enrolled in an undergraduate program at an accredited university or college, preferably in a field related to the hiring department through the internship period.

Basic Purpose
Work closely with senior leadership to support regulatory and legislative bill tracking and coverage
Assist with preliminary policy research, analysis and literature review
Focus on initiatives, policy developments and legislation at both the state and federal levels
Key focus areas may include but are not limited to Medicaid, Medicare Part D, Medicare Advantage, ACA, long term care, and / serious mental illness.
Attend weekly Government Relations staff meetings and reports on current projects being researched or developed.
Preferred Qualifications
Studies in Political Science with a focus on Health Care; Public Management and Policy; law
Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.","https://www.linkedin.com/jobs/view/externalApply/2479976227?url=https%3A%2F%2Fad%2Edoubleclick%2Enet%2Fddm%2Fclk%2F416849445%3B275979402%3Bz%3Fhttps%3A%2F%2Fjobs%2Ecentene%2Ecom%2Fus%2Fen%2Fjob%2FCENTUS1220081EXTERNALENUS%2FIntern-Government-Relations-Undergraduate-Summer%3Futm_source%3Dlinkedin%26src%3DSNS-10059%26utm_medium%3Dphenom-feeds%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dalways_on-full_scrape_%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=2xWz&refId=0b2bf597-c556-4e1f-b3e2-9a729ee41eea&trackingId=DQQgd%2F61U45Q8iUx1XIdig%3D%3D&trk=public_jobs_apply-link-offsite",0.14089585265793986,
0,"Government Relations and Policy Intern","Commonwealth Care Alliance","Boston, MA (+1 other)","Job Description

Reporting to the Government Relations Policy Director, the summer intern will conduct policy analysis and research to drive the impact of CCA’s comprehensive, integrated care model and:
• Develop one or more white papers on policy priorities for distribution to state and federal policymakers; topics may include social determinants of health, telehealth, value-based payment, health care workforce, and topics chosen by the intern
• Analyze policy reports, regulatory proposals, and relevant bills and communicate findings to internal teams
• Produce quick turn-around deliverables, such as leave behinds for meetings with elected officials
• Monitor state, federal, and health plan Medicare-Medicaid integration news and inform the Government Relations team about relevant updates
• Attend policy briefings and legislative hearings and report key takeaways to the team
• Learn about public policy and government relations strategies to advance how care is designed and delivered for people with complex needs

This paid summer internship is a part of CCA’s structured 12-week Summer Internship Program that is designed to give a select student cohort hands-on experience in an innovative health care setting and the opportunity to explore a potential career within our growing organization. As the Government Relations Policy summer intern, this individual will advance high-touch care delivery through unique contributions to our state and federal policy goals","https://www.ziprecruiter.com/c/Commonwealth-Care-Alliance/Job/Government-Relations-and-Policy-Intern/-in-Boston,MA?jid=fd1bc428d29ca707&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.26065732573658085,
1,"Legal/Government Relations Intern - Fall Co-Op 2021","Motional","Boston, MA","We are seeking a Legal Intern for our team to support research across a range of topics in the rapidly developing and evolving area of autonomous driving. This position is well-suited for individuals in their second year of law school (or beyond) who want first-hand exposure to legal issues impacting the future of mobility. Our interns research cutting-edge issues and prepare written summaries and recommendations that can be shared and presented across our organization.

The Motional global headquarters are located at 100 Northern Avenue in Boston, MA. Nestled in the busting Seaport district with sweeping views of Boston Harbor and downtown Boston, the offices are located close to major transit lines and a quick walk to various restaurants and popular attractions.

What you'll be doing:
• Interns are supervised and work directly with attorneys and government relations specialists.
• Address questions from commercial and engineering team members, and provide client-friendly briefings
• Research laws and regulations at all levels of government to comprehensively address regulatory landscape of topics of interest
• Collect compelling ideas from the brightest thinkers in relevant fields, and brainstorm on pragmatic solutions

What you'll bring:
• Strong research and written and oral presentation skills are needed (and we will help mentor).
• Relevant prior experience with technology, AI, mobility, automotive issues, safety and/or cybersecurity and privacy is helpful but not required.
• Currently enrolled in Law School, with at least one year completed
• Experience with emerging technology laws and regulations
• Interest in transportation, data, cybersecurity, risk assessment, and intellectual property.
• Self-guided and curious
• Ability to break down complex legal concepts to colleagues from a variety of backgrounds
• The art of brevity - able to provide a valuable level of detail without treading into verbosity
• Comfortable with uncertainty -- many of the questions posed will not have a single clear answer; we need to hear about options and receive an educated recommendation (in some instances informed by experience in comparable industries","https://boards.greenhouse.io/motional/jobs/4312020003?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.09887428296010001,
13,"Investor Education/Government Relations Intern","OCC","Washington, DC","Investor Education/Government Relations Intern

Washington DC

About OCC

A World Class Clearing Organization

OCC is the largest equity derivatives clearing organization in the world. We provide central counterparty clearing and settlement services for equity options, futures, options on futures, and securities lending transactions. We serve approximately 115 clearing members and 15 exchanges including CBOE, Nasdaq, and NYSE.

OCC is building a culture that empowers continued learning, authentic innovation, and constant creativity.

About The Intern Program

OCC is looking for interns who are hungry for the chance to learn more, humble enough to admit they don’t know all the answers, and smart enough to recognize the opportunity. The OCC Internship Program provides students with the real-world skills to successfully transition into a career in the financial services industry. As an intern, you will help lead projects that help shape the future of OCC. This person will apply their skill-set and knowledge toward tackling designated projects. This an exciting opportunity to have a true impact on the company by designing and implementing solutions for real challenges facing the business. Here’s what we’re looking for:

Projects And Responsibilities
Assist in executing marketing plans for various OIC initiatives and the conference (i.e. website updates, email deployment and social media campaigns)
Develop digital content for OIC’s target audiences including Millennials
Collect and organize conference speaker / sponsor / exhibitor deliverables
Review / prepare analyses of Government Relations reports and the efficacy of OIC marketing campaigns
Assist in monitoring relevant Congressional hearings and regulatory meetings
Support the Government Relations team in drafting communications and planning events
Execute administrative support assignments as needed including updates to OIC’s Salesforce database, maintenance of the Investor Education content spreadsheet and formatting presentations as needed


Candidate Qualifications
Project management skills that include being detail-oriented and analytical
Excellent writing and communication skills
Core college classes in business and marketing
The ability to adapt to a fast-paced environment
Exposure to Google Analytics, Salesforce and email marketing campaigns is preferred

What knowledge and skills will the intern gain from this internship?
Practical application of marketing principles through campaign development, execution, and analysis
Greater awareness and exposure to legislative/regulatory issues impacting the financial services industry
Growth in project management and analytical skills

Step 1

When you find a position you're interested in, click the 'Apply' button. Please complete the application and attach your resume.

Step 2

You will receive an email notification to confirm that we've received your application.

Step 3

If you are called in for an interview, a representative from OCC will contact you to set up a date, time, and location.

For more information about OCC , please click here .

OCC is an Equal Opportunity Employer

Posted 30+ Days Ago Part time REQ-1921

OCC is an Equal Opportunity Employer

Numerous studies have shown that people from groups that are traditionally under-represented in financial services apply to jobs only if they believe they meet 100% of the requirements. We want to break down this mindset to further diversify our workforce.

We encourage you to review our open positions and apply if you think your experience may be a match, even if you do not meet all of the qualifications. Your perspective may be an element we need to continue building innovative solutions to support the markets and market participants we serve.

OCC is a globally recognized entity that clears a multitude of diverse and sophisticated products. We want to reflect this in the diversity of our workforce.","https://www.linkedin.com/jobs/view/externalApply/2431302414?url=https%3A%2F%2Ftheocc%2Ewd5%2Emyworkdayjobs%2Ecom%2Fcareers%2Fjob%2FWashington-DC%2FInvestor-Education-Government-Relations-Intern_REQ-1921&urlHash=bzRx&refId=0b2bf597-c556-4e1f-b3e2-9a729ee41eea&trackingId=cgUYAOncVG0yZ%2Fjkm6coAA%3D%3D&trk=public_jobs_apply-link-offsite",0.026274509718260577,
7,"Intern - Government Affairs","PerkinElmer","Waltham, MA","Intern - Government Affairs
Waltham/en-US/External/job/Waltham/Intern---Government-Affairs_JR-019582/apply

Job Title
Intern - Government Affairs

Location(s)
Waltham

Responsibilities:
• Update list of newborn screening advisory committees across the states and get on email lists.
• Research national legislative associations to ascertain what their plans for newborn screening are in 2021
• Monitor Rare Disease Caucus in Congress and rare disease caucuses in the states
• Monitor social media of national and state disease groups
• Participate in calls with advocacy groups
• Research consultants who advise disease groups about obtaining RUSP approvals
• Research RUSP approval process and complaints about it online and in interviews with key advocacy groups
• Research list of disease groups with RUSP submissions pending and plans to submit requests for consideration
• Based on research and interviews with key stakeholders, assist in development of recommendations for improving RUSP approval process
• Sign up for legislative alerts for key committees in Ohio, North Carolina and Georgia (where state legislation will be pushed to align state panels with federal RUSP).
• Monitor health committees in states where NBS legislation is pending.
• Monitor state budget and appropriations processes for impacts on state public health labs and new funding.

Additional support as needed in DC Office:
• Assist new government affairs director in DC with monitoring congressional hearings of importance for PE
• Assist new director with research of federal agencies, legislative and agency rule tracking, etc.

Basic Qualifications:
• Must be enrolled in a Bachelor's program with a minimum completion of sophomore year in college

PerkinElmer is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, or veteran status or any other characteristics protected by applicable law. PerkinElmer is committed to a culturally diverse workforce.Posted 3 Days AgoPart timeJR-019582

PerkinElmer is a $2.9 billion global company committed to innovating for a healthier world. We create the instruments, tests and software used by scientists, researchers and clinicians to address the most critical challenges across science and healthcare, including the most recent COVID-19 pandemic. We strategically partner with customers to enable earlier, more accurate insights, supported by deep market knowledge and expertise. Our dedicated team of 13,000 employees are passionate about helping them work to create healthier families, improve the quality of life and sustain the wellbeing of people worldwide","https://www.internships.com/posting/bug_38968861689?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0635421824324837,
4,"Legal/Government Relations Intern - Spring or Summer 2021","Motional","Boston, MA","How you'll make a difference:

We are seeking a Legal Intern for our team to support research across a range of topics in the rapidly developing and evolving area of autonomous driving. This position is well-suited for individuals in their second year of law school (or beyond) who want first-hand exposure to legal issues impacting the future of mobility. Our interns (we generally have one at any time) research cutting-edge issues and prepare written summaries and recommendations that can be shared and presented across our organization. Interns are supervised and work directly with attorneys and government relations specialists.

Address questions from commercial and engineering team members, and provide client-friendly briefings
Research laws and regulations at all levels of government to comprehensively address regulatory landscape of topics of interest.

Collect compelling ideas from the brightest thinkers in relevant fields, and brainstorm on pragmatic solutions

What you'll bring:

Strong research and written and oral presentation skills are needed (and we will help mentor). Relevant prior experience with technology, AI, mobility, automotive issues, safety and/or cybersecurity and privacy is helpful but not required.

Currently enrolled in Law School, with at least one year completed.
Experience with emerging technology laws and regulations
Interest in transportation, data, cybersecurity, risk assessment, and intellectual property.

Self-guided and curious
Ability to break down complex legal concepts to colleagues from a variety of backgrounds
The art of brevity - able to provide a valuable level of detail without treading into verbosity
Comfortable with uncertainty -- many of the questions posed will not have a single clear answer; we need to hear about options and receive an educated recommendation (in some instances informed by experience in comparable industries).

About Us
Motional is making driverless vehicles a safe, reliable, and accessible reality.
Our team is commercializing a world-class driverless system. The Motional team is behind some of the industry’s largest leaps forward in the last decade, including the first fully-autonomous cross-country drive in the U.S, the launch of the world’s first robotaxi pilot, and operation of the world’s most-established public robotaxi fleet. Strategically formed by Hyundai Motor Group, one of the world’s largest vehicle manufacturers offering smart mobility solutions, and Aptiv, a global technology leader in advanced safety, electrification, and vehicle connectivity, Motional is fundamentally changing how people move through their lives.

Headquartered in Boston, Motional has operations in the US and Asia. For more information, visit www.Motional.com and follow us on Twitter, LinkedIn, Facebook, Instagram and YouTube.

Motional AD Inc. is an EOE. We celebrate diversity and are committed to creating an inclusive environment for all employees. To comply with Federal Law, we participate in E-Verify. All newly-hired employees are queried through this electronic system established by the DHS and the SSA to verify their identity and employment eligibility","https://jobs.lever.co/motional/51b76f83-7fe4-46bb-9d52-e5cd98a3f60b?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04241947893280926,
