Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
82,"Digital Marketing Intern","Amy's Kitchen","California, United States","About The Job

Summer is right around the corner and what better way to enjoy it than to intern with Amy’s Kitchen! The Digital Marketing Intern will have an integral role in targeting new audiences on social media and laying the groundwork for the future of Amy’s social media strategy. We're looking for someone with an understanding of the ins and outs of all major social media platforms. Our ideal intern is someone who loves being creative and brainstorming fresh concepts. Bonus points if you have experience with any video editing software!

What You Will Do
Develop growth strategy, set goals and track monthly metrics for social media strategy
Produce a landscape analysis of Amy’s social competitors
Build brand awareness and drive engagement amongst our Amy’s social media audience
Provide industry insights through research and proactively recommend best practices
Present monthly analytic reports + trends to the Digital Marketing Team
Assist in the social content creation process by pitching ideas and crafting content
Identify + vet potential influencers for partnerships
Assist with sourcing UGC across all social channels
Our Ideal Candidate
Is a total foodie and loves Amy’s products
Has a thorough understanding of the success metrics needed for all major social media platforms (Instagram, Facebook, Twitter, Pinterest and TikTok)
Loves social media and stays on top of the latest trends
Has experience growing social media accounts
Is skilled in translating social media trends to fit a brand’s unique style and voice
Has painstaking attention to detail and comes prepared with insightful questions
Is quick to action and self-initiating
Actively seeks and is receptive to constructive feedback
Thrives off collaboration and is a team player
Currently pursuing a degree in Marketing, Communications, Design, Advertising, or another related field","https://www.linkedin.com/jobs/view/externalApply/2488306276?url=https%3A%2F%2Frecruiting2%2Eultipro%2Ecom%2FAMY1001%2FJobBoard%2Fdff40f9b-9ed2-259a-9380-64c5a70b9171%2F%2FOpportunityDetail%3FopportunityId%3Df709a29c-9747-4979-b709-bdbdd101264e%26utm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=0rr_&refId=6ead97aa-af05-48cf-b4e9-8862d5872bf2&trackingId=hiHRcsVZCtZES5jc833DZQ%3D%3D&trk=public_jobs_apply-link-offsite",0.00217129888417507,
50,"Graphic Design for Social Change Internship -- Winter 2021 (Full-time)","A/B Partners","New York, NY","A/B is a digital storytelling studio creating new narratives about people, power, and social change to transform our politics and the economy. Our studio is built for where media is today and where it's going tomorrow, staffed by strategists, creatives, and analysts ready to take our partners through every step in their journey from idea to influence.

Our team is racially and gender diverse at every level, from entry level to ownership; we are bringing the best-in-class creative strategies usually reserved for the private sector side by side with deep experience in social movements and ventures; and we are building a team that can help a new generation of leaders win the debate on their terms. We are here to find new ways into the headlines and to move people toward the values that will accelerate transformative shifts in policy and human understanding.

We do this by understanding the two sides of every story: A and B. The A story is the story we can see, the news cycle we can influence. The B story is mostly invisible, but powerful. It's driven by the unwritten rules and power dynamics that shape people's beliefs, behaviors and values. Social and political change requires us to tackle both stories, to win the conversation but also to focus it on promoting new values and attacking the silent assumption that who we are should dictate our ability to live up to our full potential.

--

GRAPHIC DESIGN FOR SOCIAL CHANGE INTERNSHIP

A/B Partners is seeking motivated individuals for a winter internship starting January 2021. A commitment to social justice and a strong interest in strategic communications, advocacy, and social media are essential to succeed in this position.

Interns are an essential part of the team at A/B Partners, supporting our team members in their work leading campaigns for social change with our clients, who range from campaigning organizations to foundations to brands. Some of our past and current clients include: Human Rights Watch, Black Futures Lab, Majority Action, Doctors of the World, Collective Future Fund, Million Voters Project, and 1199SEIU.

Additionally, in this past election season, A/B Partners launched Win Black/Pa'lante to ensure that Black and Latinx communities were protected against misinformation and to move those communities to vote in record numbers. During your internship, you will support the continuation of this campaign in the lead up to the GA runoff elections and gain exposure to the work we do across our expansive client portfolio.

Key Information
Job type: 40 hours per week (full-time)
Schedule: Monday-Friday roughly 9:30 a.m. - 5:30 p.m. E.T.
Compensation: $15/hour + college credit available if needed
Housing and travel accommodations: No
Location: Remote, with colleagues primarily on the East Coast
Application deadline: Rolling (apply ASAP)


The Ideal Candidate Will Have
Passion for visual design, pop culture, and branding
Creative and analytical skills
Passion for and commitment to social justice issues
Attention to detail, excellent organizing and time-management skills
A working knowledge of and interest in social media platforms
Strong curiosity and a love for learning new things
Ability to be flexible, work collaboratively, and find creative solutions to problems
Prior related tech, marketing/creative, or design work experience is a plus
Familiarity with Adobe Photoshop, Illustrator, Premiere Pro, or After Effects is a strong plus


About the role: During this internship, you will gain valuable skills for working at a social change-focused communications and design studio. The internship could include the following responsibilities:
Assisting the creative team to build brands and creative concepts for our clients
Work with internal and external design teams to help develop creative campaign assets
Design social media assets for clients
Research industry trends and stay up-to-date on current events
Build and maintain media lists
Participate in ideation of campaign creative brainstorming sessions
Track press coverage, clipping press hits and creating monthly press hit reports
Provide support to the creative team in analyzing and summarizing results of creative campaigns


SPECIAL INSTRUCTIONS: Please submit a response to the mandatory assignment below. Please submit by attaching a file in the below area under Please attach your response to the mandatory exercise (as described in the job listing) here.

Watch this video explain the facts around vote by mail and submit a sample Instagram post with creative design and copy that you think would be compelling for a social campaign to build support for vote by mail.","https://www.linkedin.com/jobs/view/externalApply/2483781611?url=https%3A%2F%2Fgrnh%2Ese%2F60c8fdea3us&urlHash=H4k4&refId=482a8969-1300-4090-8079-4b98d252037d&trackingId=m59zBuNhXzBEKoiU2d4Eng%3D%3D&trk=public_jobs_apply-link-offsite",0.0010601854794340157,
71,"Marketing Intern","Pixel","Seattle, WA","Pixel is a marketing firm that helps global brands like LEGO, Canon, and Bose bring their most innovative products to market. 

We're looking for a marketing intern to help with planning, coordinating, and implementing client projects and internal operations. The ideal candidate is tech savvy, and understands advertising, marketing, and branding. 

The role will begin as part-time but has the potential to become a full-time time role with health benefits, vacation, and other benefits. 

About you
The single most important attribute we are looking for is a knack for details.

If you're the type to live checklists, over-research group trips, plan itineraries by the hour on a spreadsheet, and keep budgets to the dollar, you'll do well in this role.
 Responsibilities
Assist in coordinating marketing campaigns
Undertake ad-hoc marketing projects
Manage administrative duties

Compensation
This is a paid part-time position
Hour rates between $15 to $25 per hour

How to Apply
LinkedIn is currently having issues - please send your resume to careers (at) pixel-sf.com. Feel free to apply via LinkedIn as well, just in case the LinkedIn issue is resolved.

About Pixel
Pixel is an innovation and growth marketing studio, helping Fortune 500 brands test and launch new products. The way we work reflects our Silicon Valley roots: data-driven, fast, and lean. Join our team if you're looking for a fastpaced, entrepreneurial, and high growth firm, working with the world's leading brands and cutting edge innovation.","https://www.linkedin.com/jobs/view/externalApply/2493588870?url=https%3A%2F%2Fwisys-researchrecruit%2Eicims%2Ecom%2Fjobs%2F1720%2Fgraphic-design-intern%2Fjob&urlHash=FRNt&refId=afd6029e-34f1-4ce3-ba07-f4975860a74c&trackingId=tZCwiFnNv3vFL7rSMWen8Q%3D%3D&trk=public_jobs_apply-link-offsite",0.0012146571459337027,
231,"Marketing Intern","Voyager","New York, NY","Voyager is a Publicly traded company listed on the Canadian Securities Exchange (VYGR.CN), OTC Markets (VYGVF) and the Frankfurt Exchange (UCD2). Voyager is the global leader in agency cryptocurrency brokerage. At Voyager we are building the financial services firm of the future that will be used by millions of users globally to easily access trade, invest and earn in the cryptocurrency markets.

We are a team of finance and technology industry veterans dedicated to empowering and servicing investors in one of the most exciting asset classes to date - crypto. Our founders stem from reputable finance and technology organizations like E*TRADE, Uber, TradeIt, Lightspeed Financial and more.

The Voyager team includes employees with diverse backgrounds and skills. Our culture has quickly grown into one that promotes collaboration, transparency, and entrepreneurialism.

To learn more about Voyager please visit us at www.investvoyager.com.

We are changing the world and love what we do so if you want to work at a fast paced, exciting environment please apply.

Responsibilities
assist our customer acquisition and support efforts. You will have the opportunity to assist in advertising campaigns, paid media, content marketing, social media and more
Monitor and research our competition
Track advertising campaigns
Assist in managing social media
Edit copy, marketing material and website assets
Have the potential to write for our content marketing blog
Administrative tasks
Learn a lot about startups, cryptocurrency, mobile app development and much more!


Qualifications
Has strong writing skills
Analytical thinker
Experience using Google Analytics or other analytics systems, Facebook Ad Manager, Excel, and Adobe Suites is preferred
Experience with CRM and marketing automation platforms
Someone with an entrepreneurial attitude
Seeking an exciting opportunity in crypto; ready to battle the unexpected

Extra Credit
Familiarity with cryptocurrency and mobile app development


What we offer
Competitive Salary
Employee Benefits including healthcare (medical, dental, vision) and 401k
Stock Options

Voyager is headquartered in New York City with satellite offices in New Jersey, California, Toronto and Bordeaux.

Please contact us via the button below or at careers@investvoyager.com with your resume and a brief explanation as to why you would like to join the Voyager team.

Please note that during COVID-19 we are working remotely.","https://www.linkedin.com/jobs/view/externalApply/2483820009?url=https%3A%2F%2Fgrnh%2Ese%2Fa58c01d34us&urlHash=Q8CT&refId=fbb47f52-5796-47bd-a7c4-cd29e46892fd&trackingId=GdkLlgglca%2B9%2FPt0ah6eXQ%3D%3D&trk=public_jobs_apply-link-offsite",0.001140830840248222,
113,"Lifecycle Marketing Intern (Summer 2021)","Daily Harvest","New York, NY","About Daily Harvest

Daily Harvest makes nourishing food built on fruits and vegetables accessible. We do this by delivering thoughtfully sourced, chef-crafted food to customers' doorsteps, all ready to enjoy in minutes. We're on a mission to take care of food, so food can take care of you.

Our team is collaborative, driven, and future-thinking. We're constantly learning, experimenting, and iterating, and celebrate failure just as much as success. We take risks, try new things, and we get things done. We love adaptogens and cruciferous vegetables but never say no to cake. Everything we do, we do in the service of our community.

Position Overview

Daily Harvest is looking for a Lifecycle Marketing (Undergrad) Intern to join our Performance Marketing team. The Performance Marketing team is divided into two functions: Growth (focusing on driving new customer acquisition through a variety of marketing channels) and Lifecycle Marketing (focusing on the new customer on-boarding journey that leads to long term relationships). Together, these functions drive the company's revenue forward.

Daily Harvest is looking for an enthusiastic, detail-oriented Lifecycle Marketing Intern who can help support our retention and lifecycle initiatives across multiple channels including Email, Push, SMS, and In-Box. This paid intern will help ideate, build, and eventually analze best-in-class communications and experiences for Daily Harvest customers, all while gaining experience and working at a fun, fast-growing startup.

The ideal candidate has a can-do attitude, experience in email production and campaign management, an understanding of performance metrics, and can develop basic reports.

What You'll Do
Assist the Lifecycle Marketing team with end-to-end support of lifecycle and retention activities (including ideating new campaigns, assisting with creative briefs and communication building, and connecting the dots between teams)
Learn and assist in email production and campaign management through ESP/marketing automation tools (such as Braze)
Collaborate with multiple departments, such as Creative, Brand, Logistics, Data, and Engineering
Assist in creating reporting recaps to inform campaign effectiveness
Be willing to roll up their sleeves and have a no task is too small mindset
Identify opportunity areas to iterate existing campaigns
Support sampling initiatives with cross-functional partners by managing operational dependencies
Stay up to date with industry best practices and competitor activities


Who You Are
Have a basic understanding of lifecycle marketing principles and best practices
Ability to project manage, develop timelines, and own processes
Strong verbal and written communication skills
Natural problem-solver and self starter
Must be able to work in a fast paced environment
Experience with Excel or Google Sheets
Experience with analytics platforms such as Looker, Google Analytics, Tableau or Amplitude a plus
Currently enrolled in a Bachelor's Degree program
Prior internship experience preferred

At Daily Harvest, our mission is to take care of food, so that food can take care of you. And it wouldn't be possible without our team. We celebrate the unique POV that each person brings to the table and believe in a collaborative and inclusive environment. As an equal opportunity employer, we prohibit any unlawful discrimination on the basis of race, color, religion, military or veteran status, sex, gender, gender identity or expression, sexual orientation, national origin, age, disability or genetic information. These are our guiding principles and apply across all aspects of employment.","https://www.linkedin.com/jobs/view/externalApply/2495192013?url=https%3A%2F%2Fgrnh%2Ese%2Fe16c8b861us&urlHash=xKxd&refId=eb136f76-5d78-4ccc-b0c3-ded1f376b452&trackingId=Gd%2BHR2HqfHESHBli3ivReA%3D%3D&trk=public_jobs_apply-link-offsite",0.001542391632638892,
95,"Graphic Design Intern - Summer 2021","Dun & Bradstreet","Vienna, VA","Why We Work at Dun & Bradstreet
We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!

The Graphic Design intern will work closely with the product and design team to create unique andcutting edgedesigns, icons and visuals for user interface interaction and calls to action. The intern will help to incorporate design and concepts in marketingmaterials and deal responses. The intern will be exposed to product creation and have an opportunity to develop their conceptual design capabilities. The intern will develop an understanding of the client and how a product meets the client needs which is key to design success.

Ideally, the intern will have had exposure to creating design style, format, UI concepts and layouts. The intern should also be interested in and able to create concepts from discussion, understand marketplace need for a product and design according to an end user and brand image combination.

Preferred Qualifications
Must be currently enrolled in a four-year accredited degree program, and returning to the program upon completion of the internship
Currently pursuing a degree in Graphic Design, Art or related course of study preferred
Knowledge of image editing, UX design, AI/AR/VR, print design preferred
Note: This is a remote/virtual internship.

Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.

We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis.

Please note that all Dun & Bradstreet job postings can be found at https://dnb.wd1.myworkdayjobs.com/Careers and all communication from Dun & Bradstreet will come from an email address ending in @dnb.com.","https://www.linkedin.com/jobs/view/externalApply/2428230000?url=https%3A%2F%2Fdnb%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FCareers%2Fjob%2FWork-At-Home-VA%2FGraphic-Design-Intern---Summer-2021_R-08113&urlHash=20fK&refId=2b34e7fb-7c5f-4642-b421-31fdbf50a945&trackingId=kvVwmGKv3TF3kZHnM8AWkA%3D%3D&trk=public_jobs_apply-link-offsite",0.001985170621406035,
14,"Graphic Design Intern","ImmortalFuture","New York, NY","What is ImmortalFuture?

ImmortalFuture is an emerging mobile application development company. Currently based out of New York City, ImmortalFuture also has team members located throughout the rest of the country. We are committed to developing cutting edge technological solutions to unite our communities and families. In a world that is becoming more and more technologically centric, our goal is to bring a 22nd Century level of innovation, creativity, and execution to a 21st-Century world.  

Internship program:

ImmortalFuture’s unpaid internship program will provide interns with a unique and memorable opportunity to experience a vibrant tech startup! Our interns will work alongside our super close-knit team who is approachable and excited to help. 

What are we looking for?

Every successful company or solution starts with an idea. Here at ImmortalFuture, we strive to not only produce innovative ideas but transform those ideas into visionary realities. Such progress requires a full team effort! We are looking for three unique, curious, bold, motivated, and determined under-graduate level students to join our team for immediate hire. 

Responsibilities of a Graphic/Motion Design intern at ImmortalFuture will include but are not limited to:
Working alongside our design team to bring visions and ideas to life.  
Having the Design freedom to come up with conceptual ideas, but then also turn those ideas into Design visuals. 
Completing work in a timely manner.
Properly manage adequate daily communication with other company departments. 

Graphic/Motion Design specific requirements: 
Studying Graphic Design, Communications, Advertising, or a related field.
1-2+ years of Design experience. 
Top-notch written and verbal communication skills, and an eye for detail.
Proficiency in Adobe Creative Cloud is necessary.
Experience with motion graphics, Sketch and Figma is preferred but not required.
Ability to accept and implement creative criticism.
Ability to implement feedback on someone else’s work. 

General ImmortalFuture intern Requirements:
Be a Third or Fourth year rising undergraduate student.
Played a sport, instrument or took part in an extracurricular activity for over ten years.
Has had extensive prior leadership experience.
Ability to take initiative.
4.0 GPA (Just kidding, we DO NOT care about your grades at all..)

#WeAreTheFuture #SoAreYou","https://www.linkedin.com/jobs/view/externalApply/2483670644?url=https%3A%2F%2Fshawinc%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FShaw-Plant-71-1000-VD-Parrot-Parkway-Dalton-GA-30721-USA%2FGraphic-Design-Intern--Remote_R-063863&urlHash=3ihm&refId=727df3a3-91da-4d2d-aca2-d160a45d1afa&trackingId=FuHfB%2FKs32uNSa7wf3I3CQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0014589713820425732,
35,"Graphic Design Intern","Human Agency","Austin, TX","The Company

The world is a noisy place. And the internet is even louder. Building movements requires more than money and good policy. Building movements requires capturing people's imagination and interest. We provide services and technology to build movements.

Human Agency is a full-service digital agency and technology solutions company. We help campaigns, non-profit organizations, businesses of all sizes, and anyone with a message connect with the world.

Our purpose-driven team of technologists, non-profit leaders, and creative entrepreneurs are values-aligned rock stars who are driven by the challenge of working towards the greater vision while simultaneously adapting to what's unfolding in the world. Our commitment is to the free exercise of our human agency and to ensure anyone has the tools they need to make their voice heard online.

The Role

The Graphic Design Intern role is responsible for meticulously executing content for internal and external design needs. Ultimately, the Graphic Design Intern is responsible for creating content and incorporating feedback with the guidance of the Creative Director and Associate Creative Director. A top candidate is able to work across platforms to develop creative assets for a diverse group of business, nonprofit, and political clients.

We are looking for someone that has the ability to work with us 15-20 hours per week and to work with us for 3-6 months in total. This opportunity could certainly turn into a full-time position. We can fulfill class credit needs and/or pay $15/hour.

Responsibilities
Brand Development and Implementation: Support development and implementation of branding assets for clients and Human Agency.
Partner with creative directors to create visual identities for a variety of clients.
Create all necessary visual elements, style guides, and editable templates for new brands, including but not limited to: logos, websites, print materials, lower thirds, subtitles, titles, animation styles, social templates.
Ensure consistent implementation of branding across client and agency brands.
Digital Media:
Daily creation of content for clients and Human Agency including but not exclusive to:
Still, gif, and motion graphic digital ads
Website content and layout
Ecommerce and fundraising emails
Social media campaigns
Print Media Design:
Create and manipulate print materials as needed for Human Agency and our clients, such as brochures, flyers, posters, business cards, etc.


This Job Is For You If You Have
Are currently in your final year of undergraduate or graduate design studies.
Have proven experience creating a high volume of engaging visual content for social media.
Are excellent at creating print materials from brochures to billboards.
Feel comfortable designing in multiple formats and sizes for all the platforms.
Are fluent in most of the following: Adobe Creative Suite, Sketch, and Figma.


This Is Definitely The Job For You If You
Have 1-2 years of experience working in a professional design environment: internships, part-time, freelance work
Have proven experience of making the world a better place through good design.
Comfortable working on multiple projects at once, often with tight turn arounds.
Have the ability to self-critique and self-manage.
Pay strong attention to detail and have a passion for organization and naming conventions.

Location: Anywhere in the USA is fine. We are a fully remote company with employees concentrated in Austin, New York, Chicago, and St Louis.","https://www.linkedin.com/jobs/view/externalApply/2483785379?url=https%3A%2F%2Fgrnh%2Ese%2F1057fbfb3us&urlHash=KUaU&refId=f013159b-5e25-4f5a-b931-fcf00fdbdc93&trackingId=V04fBVajVj61asVc5Cbbqg%3D%3D&trk=public_jobs_apply-link-offsite",0.001722229908131893,
211,"Marketing Intern","Grant Central USA","Pasadena, CA","We are looking for an enthusiastic marketing intern to join our team and provide creative ideas to help achieve our goals. You will have administrative duties in developing and implementing marketing strategies.

As a marketing intern, you will collaborate with our marketing in all stages of marketing campaigns. Your insightful contribution will help develop, expand and maintain our marketing channels.

This internship will help you acquire marketing skills and provide you with knowledge of various marketing strategies. Ultimately, you will gain broad experience in marketing and should be prepared to enter any fast paced work environment.","https://www.linkedin.com/jobs/view/externalApply/2483519355?url=https%3A%2F%2Fwww%2Egrantcentralusa%2Ecom%2Fcollege-internships&urlHash=bfre&refId=678fae23-66dd-4589-a4b9-8b86d71dc2c1&trackingId=BOISMh43fL1cJNPynyT5cA%3D%3D&trk=public_jobs_apply-link-offsite",0.11402959374003352,
13,"Graphic Design Intern- Remote","Shaw Industries","Dalton, GA","Job Title
Graphic Design Intern- Remote

Position Overview

Responsibilities:

We are looking for a Graphic Design student who is creative, passionate, and strategically minded to join our in-house creative services team for a summer internship. If you are ready for an opportunity to learn real-world design concepts and obtain invaluable work experience then come join us.

The candidate will work within the residential flooring marketing/creative segment. They w ill take direction from Senior Graphic Designers and Marketing Managers to support and execute marketing materials, including print collateral, logos, POP, trade show exhibits, and merchandising graphics along with a range of digital deliverables. A large portion of this work in production work with the occasional opportunity to be creative.

Layout, design, color, and typographic skills required. The candidate will gain experience working with print vendors and submitting print projects for price quotes. Strong interpersonal skills with the desire to collaborate with team members a must. The candidate will manage and uphold the Shaw brand, ensuring compliance with identity and corporate standards.

Qualifications
Must have a portfolio of school work and/or any previous design work
Adobe Creative Suite skills / Mac platform
Core Competencies
Strategy: Apply Work Standards
Growth: Solve Problems
Innovation: Learn & Apply
People: Collaborate


Education

Must be pursuing a degree in Graphic Design
Work Shift
8 hour, day shift
Shaw is an Equal Opportunity Employer and is committed to providing a workplace free of discrimination, harassment, and retaliation. It is our policy to recruit, hire, train, and promote individuals in all job classifications without regard to race, color, religion, age, sex, sexual orientation, national origin, disability, veteran status, gender identity, or any other legally protected status.","https://www.linkedin.com/jobs/view/externalApply/2483670644?url=https%3A%2F%2Fshawinc%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FShaw-Plant-71-1000-VD-Parrot-Parkway-Dalton-GA-30721-USA%2FGraphic-Design-Intern--Remote_R-063863&urlHash=3ihm&refId=727df3a3-91da-4d2d-aca2-d160a45d1afa&trackingId=FuHfB%2FKs32uNSa7wf3I3CQ%3D%3D&trk=public_jobs_apply-link-offsite",0.00752417914359192,
