Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
11,"","","","","https://www.linkedin.com/jobs/view/externalApply/2435797616?url=https%3A%2F%2Fcareers%2Etwosigma%2Ecom%2Fcareers%2FJobDetail%3FjobId%3D7770%26source%3DLinkedIn&urlHash=7k6E&refId=75ea877e-6a36-4377-863a-b797f8eb51fb&trackingId=lgRxFS9O%2BgM5r0fUq3h9Xg%3D%3D&trk=public_jobs_apply-link-offsite",0.002367114796497337,
85,"Legal Intern","POET","Washington Court House, OH","The Legal Department of POET is seeking a Legal Intern to join its team to work with the Senior Regulatory Counsel in DC. The intern may assist with strategic regulatory policy advocacy and serve as a contributor on business and legal strategy, facilitating and influencing optimal outcomes for the company arising from federal and state level regulatory policy affecting the biorefining industry.

a Typical Day Could Include
Research, track, and interpret applicable statutes, rules and regulations, including those related to international, federal, state, and local climate programs. Provide legal analysis regarding pending or proposed legislation, administrative rules, and other regulatory or legislative items
Engage with and direct POET’s affiliated trade associations with respect to strategic regulatory advocacy and litigation campaigns.
Provide advice and guidance to POET business teams on regulatory compliance issues affecting POET’s business including energy, environmental, transportation, product safety, international trade, and alcohol
Work with the POET Legal team to develop and provide applicable legal/compliance training to the POET organization, and work with executives to ensure adherence to corporate policies.
At POET, we’re all on the same team. We all help out with responsibilities that may not be specifically listed here.

Strengths Of a Successful Candidate
Full time student enrolled in an educational institution pursuing a Juris Doctorate law degree.
Completion of first year of law school
Excellent organizational, time management, and communication skills as well as the ability to adapt to change
You know the basics of Microsoft Office Suite. You’re capable of learning new programs.
Travel to include overnights, may be required for this position.

To Review a Complete Job Description Click Here .

POET is an Equal Opportunity Employer (EOE). Qualified applicants are considered for employment without regard to age, race, color, religion, sex, national origin, sexual orientation, gender identity, disability or veteran status.","https://www.linkedin.com/jobs/view/externalApply/2415212157?url=https%3A%2F%2Fcareers-poet%2Eicims%2Ecom%2Fjobs%2F4297%2Flegal-intern%2Fjob&urlHash=HVZ-&refId=cf0b4fba-c0e3-4c70-ac6f-150c8e025623&trackingId=Q6SHfn6EIKS7qRJZ0Z9qkw%3D%3D&trk=public_jobs_apply-link-offsite",0.03311498405345633,
30,"Legal Internship","Pernod Ricard","New York, United States","Position Title: Marketing & Innovation Legal Intern
Position Location: New York, NY

Pernod Ricard USA, a leader in the U.S. spirits and wine industry with a growing market presence and a strong portfolio of premium brands, is seeking a 2nd-year law student to work in its legal department full time from now thru Fall 2021, with the possibility of continuing into the 2021-2022 school year on a part-time basis. Responsibilities will include assisting attorneys and legal staff with contract and policy drafting, preparing presentations and training materials, and research and analysis in the areas of contract, intellectual property, alcohol beverage, and advertising law. The internship is geared at providing students with an opportunity to explore the practice of law in a corporate environment. The intern will be placed with the Marketing & Innovation legal team.
 Minimum Qualifications
Strong academic record
Knowledge of, and experience with, contract analysis/drafting
Westlaw competency
Knowledge and experience with digital and social media platforms
Ability to complete a yearlong internship program from January 2021 through December 2021, working full-time in the summer and parttime during the school year

Preferred Qualifications
Experience in moot court or law review/journal.
Experience/Interest in advertising or intellectual property law
Experience/Interest in alcohol beverage law.
Ability to work in a fast-paced, highly regulated environment
Excellent analytical skills, with an ability to see both detail and big picture issues
Excellent communication and organizational skills and attention to detail
Strong writing skills, with impeccable spelling and grammar
 Authorization to work in the United States is required.
Applicants must be at least 21 years of age.","https://www.linkedin.com/jobs/view/externalApply/2456682385?url=https%3A%2F%2Fgrnh%2Ese%2F3a0df8f13us%3Fs%3DLinkedIn%26source%3DLinkedIn&urlHash=0dvA&refId=0035b610-e7d6-465e-829a-95ca5ffd99d7&trackingId=wTY4p2%2BembzFDqxgY7Hsaw%3D%3D&trk=public_jobs_apply-link-offsite",0.015621594010043543,
61,"Legal Summer 2021 Intern","Roivant Sciences","New York, NY","At Roivant, we are building the next-generation “big pharma” company, organized to harness modern technologies and the entrepreneurial spirit of nimble biotechnology companies at scale. Our mission is to improve the delivery of healthcare to patients by treating every inefficiency as an opportunity.

Roivant Is Hiring a Summer Legal Intern To Work Closely With Roivant's General Counsel And Other Members Of The Legal Team - And The Broader Roivant Governance, Investments, Finance, Transactions, Tax, Accounting And HR Teams - On a Wide Variety Of Interesting And Complex Assignments, Including
Investor outreach, capital raising and other public and private financing activities
Corporate governance matters for Roivant and our public and private subsidiaries
Public company periodic reporting and disclosure matters
Opportunities relating to our drug discovery platform - more information here on our recently completed acquisition of Silicon Therapeutics
Intellectual property and technology transactions
Labor, employment and executive compensation matters
Our legal team prides itself on enabling and executing on the business goals of the broader Roivant organization. Candidates should be hard-working, business minded and problem solvers. An interest in biopharma and/or heath care is a plus, but not required - indeed Roivant recruits top talent both from within and beyond the traditional pharma world.

Roivant is committed to Equal Employment Opportunity and to compliance with all Federal, State and Local laws that prohibit employment discrimination on the basis of race, age, national origin, ethnicity, religion, gender, gender identity or expression, pregnancy, marital status, sexual orientation, citizenship, genetic disposition or characteristics, disability, veteran's status or any other classification protected by applicable Federal, State or Local laws.","https://www.linkedin.com/jobs/view/externalApply/2456614942?url=https%3A%2F%2Fwww%2Eroivantcareers%2Ecom%2Fjob%2Flegal-summer-2021-intern-legal-us-ny-new-york-151-west-42nd-s-4-1768888%2F%3Fgh_src%3D80dbe0b61&urlHash=D5Wm&refId=dcabc509-829e-4d7a-969d-f0cf398fbe21&trackingId=QYpZYV5uFCHTWPt0UXTUVw%3D%3D&trk=public_jobs_apply-link-offsite",0.006267228352871598,
111,"Legal Intern","Erickson Living","Catonsville, MD","Erickson Living, headquartered in Baltimore, Maryland is a national provider of senior living and health care with campuses in 11 states—and growing. Erickson Living develops and manages senior living communities and health services across the country. We achieve industry –leading results in customer satisfaction, driving high occupancy, and positive health outcomes.

Erickson Living is looking for everyday heroes who want to make a real impact in the lives of seniors. If you’re ready to take your career to new heights, join us. In addition to a rewarding career, you’ll enjoy an industry-leading total rewards package that includes a competitive salary, an impressive package of health and dental benefits, paid time off and volunteer hours, tuition reimbursement, 401(k) with employer contribution, opportunities for career growth and advancement, and much more!

Duties

Erickson Living is hiring for an Intern who will provide support with daily activities associated within our legal department for the internship program by performing the following duties
Work with attorneys to complete legal research, writing projects.
Assist with special projects and other duties as assigned.
Complete all assigned structured learning, including on-the-job follow up.

What You Will Need
Currently enrolled as a law school student with at least one year of law school.
Previous experience using Word, Excel and PowerPoint preferred.
Good organizational capabilities.
Solid legal analysis skills.
Good oral and written communication skills.
Erickson Living, its affiliates, and managed communities are Equal Opportunity Employers and are committed to providing a workplace free of unlawful discrimination and harassment on the basis of race, color, religion, sex, age, national origin, marital status, veteran status, mental or physical disability, sexual orientation, gender identity or expression, genetic information or any other category protected by federal, state or local law.","https://www.linkedin.com/jobs/view/externalApply/2469449814?url=https%3A%2F%2Ferickson%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FCatonsville-MD%2FLegal-Intern_R0007444%3Fsrc%3D%253FSNS-102%3Fsource%3DLinkedIn&urlHash=CmA3&refId=89f01d71-55b5-42e2-81e5-70aaf9a74297&trackingId=BmmRTLrf%2BB9aN8S8DO2EjA%3D%3D&trk=public_jobs_apply-link-offsite",0.022106895226874725,
20,"Legal Intern (Spring/Summer 2021)","Fifth Wall","Remote, OR","At Notarize, we're pulling the future closer. As the first company to complete a legal online notarization, online mortgage closing, online will, online auto sales, and countless other critical transactions, we're proud of our role in bringing industries into the digital age.
Our business has grown exponentially (over 600%) in the past year, as companies in a wide variety of industries look to us to help their customers get crucial legal transactions processed remotely. We've been dealing with a number of challenging (but interesting!) scalability issues, as more and more global enterprise companies look to Notarize to help them speed up business processes and provide better customer service in a new, fully-remote world. We're building the team that will operate a critical platform company in tomorrow's economy. Come join us!
We're looking for an intern to join our lean legal power team. In this role, you'll work closely with our in-house legal team and other functional groups on a variety of legal issues. You'll gain exposure to the inner workings of a legal team at a rapidly expanding startup SaaS company.

As Our Legal Intern, You Will
Aid in drafting and negotiating customer and vendor agreements including license agreements, non-disclosure agreements, master service agreements
Monitoring, and Researching state and federal law as they may relate to remote online notarizations and SaaS providers
Partnering with internal business partners to meet legal requests
Review and revise current company policies to ensure legal compliance & assist with due diligence requests
What We're Looking For
Current enrollment in law school with 1+ years of program completed
Strong academic record
Strong written and verbal communication skills
Precise attention to detail
Motivation to learn and grow
Prior internship experience a plus
Exposure to SaaS/tech industry a plus
Position Logistics
Role is fully remote/work-from-home (within the continental United States)
Role pays $20/hour
Interns must be able to commit to 32-40 hours per week
Internship will begin ASAP and last through August 2021
Our Core Values
Solve Problems That Matter: We serve some of the most important moments in people's lives. It's a responsibility we embrace by focusing obsessively on the issues that will have a quantifiable impact on our customers and our company growth.
Yes Before No: We are optimistic about our ability to change lives by transforming outmoded processes. We believe our efforts can create a better future, and it is our attitude that will allow us to pull that future closer.
Start With Why: We don't presume to understand the intentions of the people around us, whether coworkers or customers. We ask honest questions and listen to feedback in order to gain insight, build trust, and create memorable experiences.
Stamp Together: We create a strong team and a welcoming workplace by valuing diverse perspectives. Every role in our organization is supported and valued equally, without regard to location or background.
Notarize is committed to building an inclusive environment for people of all backgrounds and everyone is encouraged to apply. We are an equal opportunity employer and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We'd love to hear from you.","https://www.linkedin.com/jobs/view/externalApply/2484014989?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2F7ffa7e4e0d272c29b9848ed27992f21c&urlHash=QoM_&refId=75ea877e-6a36-4377-863a-b797f8eb51fb&trackingId=fG3BAWNA9sHfOdSzW7dkJw%3D%3D&trk=public_jobs_apply-link-offsite",0.004705892256002668,
121,"Remote Legal Internships","Virtual Internships","Anywhere","Why Complete a Remote Legal Opportunity?

As a direct result of the burgeoning business and entrepreneurship scene in Asia, the need for domestic and international law has risen and increased the presence of global firms engaged in all aspects of the legal landscape. The legal career field placements allow undergraduates the unique opportunity to work with individual lawyers and partners to support their casework and other needs of assistance. Public policy placements also have a rich presence in many of our locations allowing political science, criminal justice, and international relations students to gain industry exposure.

Students who are looking to bolster their law school applications may consider enrolling in a remote legal internship. The opportunity to support a law firm or other legal entity will provide the first hand perspective into the vast complexities and challenges of the legal field. From lawyers, to mediators, to legal consultants, our host companies focus on a great variety of law disciplines all around the world.

Sample Tasks
• Account Management
• Assessing Claims
• Client Relations and Support
• Commercial Awareness
• Content Creation
• Contentious Negotiations / Application of the Law
• Country-Specific Policies and Laws
• Developing Arguments
• Due Diligence Activities
• Event Management
• Legal Document Drafting & Review
• Legal Research & Analysis
• Marketing & Promotion
• Oral and Written Communication
• Translating (if applicable)

Sample Placements
• Support a large commercial law firm in with the preparation and review of various corporate transaction documents and commercial contracts as well as drafting articles about legal comparisons between China and specific markets.
• Support one of the largest and oldest private full-service law firms in Beijing in drafting and amending legal documents, including but not limited to executive summaries, contracts and regulatory overviews. Assisting with legal due diligence in IPO/Reverse Merger/Self-filling projects.

What is a Remote Internship?

Remote internships are internships that are done completely online or remotely, from the comfort of your own home. You are placed with a company, and have a supervisor that you report to. You are in regular contact with the supervisor/team via virtual methods such as video call, phone call, email and instant messenger. Companies exist both domestically and internationally, with placements spanning over 3500 different companies across 70 countries.

Placement Process

Virtual Internships guarantees a placement for all students accepted into our program. Review the Linear Placement Process to learn more.

Working with a Provider

As Virtual Internships is a provider, we work to not only provide you a guaranteed internship that meets your skills and interests, but provide scaffolding and support including, weekly discussions, online professional development curriculum, and coaching calls to support your post-program employment. Applying to our program means that if accepted you are guaranteed an internship in the Career Field (we have 18 to choose from) of your choice, and aligned to your university’s dates and requirements.

Internship Dates
• We have a start date every other week!
• Interns can select to work 10, 20 or 30 hours a week
• Interns can work a minimum of 4 weeks or a maximum of 16 weeks.

What is Included?

This Is An Unpaid Experience But Offers a Full Time Work Experience With a Global Established Company As Well As Additional Support To Include
• Guaranteed Virtual International Internship in the country or career field of choice
• Dedicated Program Experience Manager to check-in weekly with interns
• Assigned Internship Coach to complete midpoint and end of program coaching calls with delivery of Global Career Management Plan (GCMP) and Global Employability Certificate
• Access to CareerBridge, our Global Internship Curriculum walking students through resume creation, interview prep, time management, remote work and more.
• Weekly Group Discussions or Business Webinars covering a range of topical themes
• Full End of Program Report including supervisor evaluation, student assessment, and GCMP","https://www.linkedin.com/jobs/view/remote-legal-internships-at-virtual-internships-2493784951?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.002631928468814623,
63,"Legal Intern - Secureworks (Atlanta, GA)","Secureworks","Atlanta, GA","Secureworks® (NASDAQ: SCWX) a global cybersecurity leader, enables our customers and partners to outpace and outmaneuver adversaries with more precision, so they can rapidly adapt and respond to market forces to meet their business needs. With a unique combination of cloud-native, SaaS security platform and intelligence-driven security solutions, informed by 20+ years of threat intelligence and research, no other security platform is grounded and informed with this much real-world experience. www.secureworks.com

We enjoy competitive compensation and benefits packages, and reward and recognize our employees for exceptional results. A constant focus on continued learning and growth keeps our team members engaged and excited about “what’s next.” We offer flexible work options when available, and emphasize the importance of work-life balance. We know that when our people are rewarded, recognized, and rejuvenated, we win as a team.

Role Responsibilities
Drafting and editing corporate minutes re: board and board committee meeting; proofreading SEC filings
Reviewing and editing corporate communications and marketing materials, including social media posts
Participating in contract negotiation discussions with vendors primarily related to technology purchases
Conducting initial reviews of software end user license agreements; reviewing privacy impact assessment questionnaires for accuracy and completion in connection with GDPR and other privacy law compliance
Researching data localization requirements under APAC/Middle East laws; reviewing vendor onboarding documentation for accuracy and completion; updating form documentation for both vendor and sales contracts
reviewing and clearing international compliance and shipping requests; participating in meetings and discussions regarding classification of encryption technology under federal regulations
Participating in discussions regarding use of open source technology in technology products; drafting corporate ethics and compliance newsletters.

Secureworks (A Dell Technologies Company) is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Secureworks are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Secureworks will not tolerate discrimination or harassment based on any of these characteristics. Learn more about Diversity and Inclusion at Secureworks here.

Job Id: R096819Job Function: Interns","https://www.linkedin.com/jobs/view/externalApply/2502943896?url=https%3A%2F%2Fjobs%2Edell%2Ecom%2Fjob%2F-%2F-%2F375%2F19206921%3Fsrc%3Dsns-102&urlHash=j_nc&refId=dcabc509-829e-4d7a-969d-f0cf398fbe21&trackingId=mYKYWCake3kdV81sVMNZag%3D%3D&trk=public_jobs_apply-link-offsite",0.0035605644217160085,
110,"JD E-commerce - Legal Intern","JD.COM","Irvine, CA","Location: Irvine, CA

Job type: Full-time/part-time Intern - 3 months with the with possible extension.

(Remote working during COVID-19)

Responsibilities
Exposed to a variety of areas, with primary focus on e-commerce, purchase and sale of consumer goods and supply chain.
Assist the senior legal counsel with researching specific questions of law and policy, preparing agreement templates, and reviewing basic agreements.


Qualifications
Bachelor's Degree or above.
Can work well both independently and in a team.
Ability to prioritize projects.
Attention to detail.
Proficiency with Microsoft Office.
Can communicate in both English and Chinese.


About JD.com

JD.com is China's largest online retailer and its biggest overall retailer, as well as the country's biggest Internet company by revenue. JD.com sets the standard for online shopping through its commitment to quality, authenticity, and its vast product offering covering everything from fresh food and apparel to electronics and cosmetics. Its unrivalled nationwide fulfillment network provides standard same- and next-day delivery covering a population of more than 1 billion - a level of service and speed that is unmatched globally. As a technology-driven company, JD.com builds reliable and scalable platforms that bring value to partners and customers in sectors such as e-commerce, logistics, Internet finance, cloud computing and smart technology.

JD.com is an Equal Opportunity Employer. We do not discriminate in our employment decisions on the basis of race, sex, sexual orientation, gender, color, religion, age, genetic information, medical condition, disability, marital status, citizenship or national origin, and military membership or veteran status, or on any other basis which would be in violation of any applicable federal, state or local law.","https://www.linkedin.com/jobs/view/externalApply/2495201002?url=https%3A%2F%2Fgrnh%2Ese%2F965ed5b32us&urlHash=Wokz&refId=89f01d71-55b5-42e2-81e5-70aaf9a74297&trackingId=NnTGZstOpH1IBp3UeAf52g%3D%3D&trk=public_jobs_apply-link-offsite",0.004473766978480406,
0,"Undergraduate Legal Intern","Sony","New York, NY","Sony Corporation of America, located in New York, NY , is the U.S. headquarters of Sony Corporation, based in Tokyo, Japan. Sony's principal U.S. businesses include Sony Electronics Inc., Sony Mobile Communications (USA) Inc., Sony Interactive Entertainment LLC., Sony Pictures Entertainment Inc., Sony Music Entertainment, and Sony/ATV Music Publishing LLC. With some 900 million Sony devices in hands and homes worldwide today, a vast array of Sony movies, television shows and music, and the PlayStation Network, Sony creates and delivers more entertainment experiences to more people than anyone else on earth. To learn more: www.sony.com .

Position Summary

Sony Corporation of America is seeking an Intern currently enrolled in a College/University to join its Legal Department for the Summer. The Intern will perform duties to support the Legal Department’s administrative management of its contracts. The position is ideal for a candidate with an interest in pursuing law. Interns will be compensated on an hourly basis. The Internship position may be extended beyond the Summer for the upcoming academic year, as agreed to between the Intern and the Legal Department, based on, among other things, department staffing needs.

Responsibilities
Manage office documents
Upload contracts into Contract Management System
Data entry related to the contracts
Photocopy, collate and distribute information
Collaborate with other team members on various projects as needed

Qualifications
Must include both a resume and up to date transcript with your application
Must currently be an undergraduate student enrolled in a college or university, with a preference of being local to our NYC office
Minimum 3.0 GPA required
Previous internship experience desired
Highly organized, highly detail-oriented
Excellent written and oral communication skills
Ability to work independently and follow through on tasks until they are completed
Experience in discreetly handling confidential information preferred
Proficient in Microsoft Office
All candidates must be authorized to work in the U.S.

Sony is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religious creed, sex (including pregnancy), gender, national origin, citizenship, ancestry, age, physical or mental disability, military status, status as a veteran or disabled veteran, sexual orientation, gender identity or expression, marital or family status, genetic information, medical condition, or any other basis protected by applicable federal, state, or local law, ordinance, or regulation.

Disability Accommodation for Applicants to Sony Corporation of America

Sony Corporation of America provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job application procedures. For reasonable accommodation requests, please contact us by email at careers@sonyusa.com or by mail to: Sony Corporation of America, Human Resources Department, 25 Madison Avenue, New York, NY 10010. Please indicate the position you are applying for.

EEO is the Law

EEO is the Law Supplement

Right to Work (English/Spanish)

E-Verify Participation (English/Spanish)","https://www.linkedin.com/jobs/view/externalApply/2477244227?url=https%3A%2F%2Fsonyglobal%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSonyGlobalCareers%2Fjob%2FNew-York%2FUndergraduate-Legal-Intern_JR-105240%3Fsource%3DLinkedin&urlHash=kCFv&refId=75ea877e-6a36-4377-863a-b797f8eb51fb&trackingId=BUkOoAlPbcmdx5XKq0i09g%3D%3D&trk=public_jobs_apply-link-offsite",0.008348303091144302,
