Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
4,"Political Internship in NYC","TAG","New York, NY","Progressive consulting firm looking for a high-energy and extremely motivated professional with demonstrated interest in non-profits, politics, lobbying, or communications.

The goal is to provide high quality work that exceeds client expectations which takes a talented, focused intern. The role is to serve a critical function on the team by assisting management with implementing client projects in several different capacities.

**Responsibilities**

Draft solicitations for clients.
Facilitate mail projects.
Attend political, non-profit, advocacy, or labor union community organizing meetings and take notes.
Make cold calls for donations on behalf of client fundraisers.
Staff client events.
Complete research assignments as needed.
Draft one-pagers on prospective donors.
Create social media posts and videos for clients.
Assist with ad-hoc administrative duties as needed.","https://www.linkedin.com/jobs/view/externalApply/2493948016?url=https%3A%2F%2Fwww%2Ecollegerecruiter%2Ecom%2Fjob%2F406604196%3Fr%3D1%26source%3D101&urlHash=4h9v&refId=0b7ce98c-8e77-4eed-9832-46e0a93523df&trackingId=LSaGFVi2OzATZdRmUrVIDw%3D%3D&trk=public_jobs_apply-link-offsite",0.1296016853881857,
14,"Newsletter Intern (volunteer)","The Des","Washington, DC","The Des, a multi-weekly newsletter focused on the justice system in America, is looking for multiple volunteer interns to assist in our publication. We are looking for a graphic design intern, a research and reporting intern and a social media and marketing intern.

Our mission:

The Des believes knowledge is power and that understanding the American justice system is the only way to understand this country. The Des is information, news and voices from the frontlines of the criminal justice system. The stories we cover are the ones that are easier forgotten than read. We challenge you not to turn away and in return we promise independent journalism.

We want to connect people invested in changing the justice system and provide a platform to talk about criminal justice in America.

How you fit:
We publish 4x a week. You will help keep track of justice news and assist in editing, gathering and marketing the newsletter on IG and TW. Please familiarize yourself with our work.

What we are offering:
This is an unpaid position. We'd pay if we could, but since we can't, we want to offer you skills and invest in your future. We will offer a recommendation, resume and cover letter consulting and guidance in pitching news outlets for your own stories.
The chance to learn about and add newsletter skills to you resume. The newsletter industry is the next evolution of journalism. This is an opportunity to join a start up and learn first hand about the basics.
An opportunity to explore your own projects and publish your writing about the justice system with editorial assistance and story development support.
Leadership that is invested in you as a human and your success. We believe in investing in our people and taking care of them. If you work for us, mental health, capacity both emotionally and in work will always be talked about.

Who we are looking for:
You are passionate about people's stories, especially those who are ignored and dehumanized by American society.
You are empathetic and capable of looking at people and stories from all angles.
You are deeply invested in creating a better more just future for everyone no matter their race, sexuality, gender, or ethnicity.
You are passionate about abolition and learning about solutions not just problems within our justice system.
You believe white supremacy exists.
You don't post stupid things on social media that will look unprofessional.
You communicate clearly and are mostly on time with assignments.
If you don't think you're qualified for this position, STOP, email lj@thedes1790.com. You probably are and this position is open to everyone.
If you've been personally or close to the impacts of the justice system, we want you.
Length:
We'd like you to start asap and go as long as you are capable and as long as you are a good fit for us.

Looking for:

A Graphic Design intern
A research and reporting intern
A Social Media and Marketing intern","https://www.linkedin.com/jobs/view/externalApply/2479958381?url=https%3A%2F%2Fwww%2Eakqa%2Ecom%2Fcareers%2Ffuture-academy-intern-3048770%2F&urlHash=iDY6&refId=0b7ce98c-8e77-4eed-9832-46e0a93523df&trackingId=VyyMGZpc5EyYG4O9cgjETw%3D%3D&trk=public_jobs_apply-link-offsite",0.029703048722427725,
2,"LIONSGATE - Intern, MPG Inclusive Content","Lionsgate","Santa Monica, CA","Position Description

Lionsgate is seeking a virtual Inclusive Content intern for Summer 2021. This intern will work within the Motion Picture Group (MPG) in the newly formed Inclusive Content team and will be a key contributor in designing a comprehensive infrastructure that will support & grow mid-level underrepresented storytellers in the creative talent pipeline. Experience in film/television development, entertainment marketing, consumer research, data analytics, or critical race studies is highly preferred.

Responsibilities
Research the competitive TV & film landscape to identify emerging and established BIPOC talent who have the potential to best align with current studio needs
Conduct deep dive analysis of several industry pipeline programs / labs / launching pads (i.e. Sundance, The Black List, Universal Writers Program, etc) to assess the trajectories & trends of BIPOC creatives who have completed these programs and identify alumni with mid-level experience who can be potential candidates for deals, OWAs, and ODAs
Track talent in Monday database and flag ones to read, watch, meet with, or hire
Participate in weekly strategy meetings with Inclusive Content team to discuss project workflows, industry trends, and new creative opportunities/partnerships
Contribute to maintaining and improving existing processes to best track & facilitate potential MPG business opportunities for underrepresented storytellers
Ad hoc projects, research, and script coverage as needed


Final Project
Craft and deliver a final presentation for senior leadership and creative teams that synthesizes your findings, data, and research into concrete recommendations for cultivating and elevating BIPOC talent and stories on our content slate


Skills
Strong organization skills
Excellent oral & written communication, as well as engaging presentation skills
Enthusiastic learner who has the ability to appropriately prioritize tasks, meet deadlines, and remain flexible in a fast-paced environment
Prior experience with collaborative workflow platforms (Monday, Salesforce, Airtable, Asana, etc.) is very helpful


Must Have Qualifications
Passionate about DEI in the entertainment industry
Extremely self-motivated & collaborative
“Out-of-the-box” thinker & problem solver
Avid reader & consumer of content
Research-oriented
Natural curiosity


Internship Details

Lionsgate Virtual Remote Internship Program –Summer 2021

Program Dates: June 21st–August 27th, 2021

The Lionsgate Internship Program is designed to identify, recruit and develop a diverse group of students that will gain meaningful educational experiences, professional growth and career opportunities.

Lionsgate has remote/virtual positions available within the United States to qualified individuals who live in certain areas of the United States. Remote opportunities are not available in all areas--specific questions about virtual/remote positions will be discussed during the interview process with your recruiter.**

Please read the following information carefully before submitting an application.

Important Dates

The Lionsgate Summer 2021 Internship program dates are: June 21st–August 27th, 2021.

All interns are required to attend orientation on Monday, June 21st, 2021.

Details
All internships will be virtual and remote
Interns can work a minimum of 30 hours/week and up to a maximum of 40 hours/week
Must be actively enrolled in an accredited college or university and pursuing an undergraduate or graduate degree during the length of the program
Interns must be current rising juniors through recent grads (within 6 months of internship start date)
Graduate students are eligible to apply
Interns must be available to work for the entire length of the program
All internships are paid


To Apply

All candidates must submit a resume (PDF preferred) toyour preferred area(s) of interest. The program offers internship opportunities in many departments, so candidates applying should keep in mind that they may be considered for departments not listed.
Submit a 1-paged resume (PDF preferred)
Submit a cover letter (Optional)
Explain why your background and experience make you a great fit for Lionsgate & Starz


About The Company

Combining the STARZ premium global subscription platform with world-class motion picture and television studio operations, Lionsgate (NYSE: LGF.A, LGF.B) brings a unique and varied portfolio of entertainment to consumers around the world.Its film, television, subscription and location-based entertainment businesses are backed by a 17,000-title library and the largest collection of film and television franchises in the independent media space.A digital age company driven by its entrepreneurial culture and commitment to innovation, the Lionsgate brand is synonymous with bold, original, relatable entertainment for the audiences it serves worldwide.

Business Unit Overview

Motion Picture Group
Lionsgate’s motion picture business is a consistent box office market share leader with films that have grossed more than $10 billion worldwide over the past six years. This leadership is driven by world-class talent relationships, a deep and renewable portfolio of iconic brands and franchises, and a diverse and balanced slate that is built to enhance consumer enjoyment of the theatrical experience but also has the flexibility to utilize a broad range of alternative release strategies as the opportunities to monetize films continue to expand. The creator, owner and distributor of great film brands including The Hunger Games, Twilight Saga, John Wick, Now You See Me, Knives Out, La La Land, Saw, Dirty Dancing and Monster’s Ball, among many others, films released by Lionsgate and its predecessor companies have earned 129 Academy Award® nominations and 32 Oscar® wins.

In addition to its mainstream commercial releases, Lionsgate’s Motion Picture Group includes specialty film distributor Roadside Attractions, an industry leader in award-winning prestige movies, Pantelion Films, the U.S. market leader in Spanish-language releases, a top film production and distribution brand in the UK, and multiplatform distributor Grindstone Entertainment.

EEO Statement

Lionsgate is an equal employment opportunity employer. All employees and applicants are evaluated on the basis of their qualifications, consistent with applicable state and federal laws. In addition, Lionsgate will provide reasonable accommodations for qualified individuals with disabilities. Lionsgate will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable state and federal law.","https://www.linkedin.com/jobs/view/externalApply/2491514912?url=https%3A%2F%2Fjobs%2Elionsgate%2Ecom%2FLionsgate%2Fjob%2FSanta-Monica-LIONSGATE-Intern%252C-MPG-Inclusive-Content-CA-90404%2F730261400%2F%3Flocale%3Den_DEBUG&urlHash=Fs4P&refId=0b7ce98c-8e77-4eed-9832-46e0a93523df&trackingId=sVZHNDec1zbJDJtfxBBySg%3D%3D&trk=public_jobs_apply-link-offsite",0.02416835328408891,
16,"Internship - 2020 CAFL Boston","Committee for Public Counsel Services","Boston, MA","Overview

The Committee for Public Counsel Services (CPCS) is the government agency providing representation to low-income clients in criminal cases, civil cases and administrative proceedings in which there is a right to counsel.

The Children and Family Law (CAFL) Division Boston Office seeks 2-3 law student summer interns to assist trial attorneys who practice in Cambridge and Boston, MA. CAFL provides zealous and creative advocacy for children and parents in child welfare proceedings, including termination of parental rights cases and Child Requiring Assistance (status offense) matters. The Boston CAFL Office is located near downtown Boston.

Please note that this internship is unpaid, but Boston CAFL is able to work with students on receiving externship credits or outside summer funding.

Interested Candidates Should Supply
Resume
Cover letter demonstrating skills and experiences relevant to our work

Qualifications
Rising 2L or 3L at an accredited law school
Commitment to providing direct legal services to low-income clients
Excellent organizational skills and ability to work independently
Strong oral and written skills
Ability to work full-time (35 hours per week)
Proficiency in foreign language preferred, but not required

Responsibilities
Participate in intern training on child welfare law and trial skills
Significant client contact through client interviews and home/placement visits
Case investigation to assist with trial preparation
Service advocacy on behalf of clients
Legal research and writing in preparation for motion argument, custody hearings and termination of parental rights trials, or on novel legal issues before the Court
Reviewing pre-trial discovery and Department of Children and Families (DCF) case files
Attendance at and participation in education-related matters on behalf of clients, such as suspension hearings and IEP meetings
Appearances in Juvenile Court on behalf of Child Requiring Assistance clients, if certified under Supreme Judicial Court Rule 3.03 (rising 3Ls only)","https://www.linkedin.com/jobs/view/externalApply/2410334750?url=https%3A%2F%2Fcareers-publiccounsel%2Eicims%2Ecom%2Fjobs%2F1499%2Finternship---2020-cafl-boston%2Fjob&urlHash=NfAd&refId=0b7ce98c-8e77-4eed-9832-46e0a93523df&trackingId=Wexgg5HEIS2yTz0jy3js6Q%3D%3D&trk=public_jobs_apply-link-offsite",0.02574859175077509,
8,"Intern, Paid Social","SEPHORA","San Francisco, CA","Job ID: 188479
Location Name: CA-FSC SF Off (0174)
Address: 525 Market St, 32nd Floor, San Francisco, CA 94105, United States (US)
Job Type: Full Time
Position Type (Regular/Temporary): Intern/Trainee
Job Function: Internship

Position: Intern - Marketing, Paid Social

Location: Remote

Rate of Pay: $22/HR

Start Dates: May 24th or June 7th (10 week program)

Requirement: Rising Senior (graduating Spring/Summer 2022)

At Sephora, we offer a wide range of internship opportunities across our business. As part of our Emerging Talent Program, our internships focus on providing an inclusive and comprehensive experience that equips young professionals with the tools needed in order to align their passions with their work.

2021 Summer interns will be eligible to apply for a fulltime position in our newly created Rotational Management Program launching mid-2022 designed to support a diverse talent pipeline and build our future inclusive leaders. Applicants will be offered a role in one of the three participating functions of Marketing, Merchandising, Inventory Management and work in each of these areas learning our core business processes and store operations. More information on the Program experience and application process will be available later this year.

Your Role At Sephora

As an Intern, you will assist the Paid Social team in the management and optimization of Sephora’s Paid Social marketing program. The role is responsible for managing Paid Social operations that help support the activation and quality of the business. In addition, you will:
Manage Creative handoffs and QA
Get exposure to cross-functional teams. Sephora has a highly collaborative culture so you are encouraged and expected to work closely with other related teams across Media (Search, Display, Brand, Testing)
Support monthly billing process
Perform the facilitation of reporting requests and related engagements with Agency partners.
Research the latest beauty, skincare and wellness trends to inform content strategy
Assist in general reporting and technical audits
Develop, grow, and have fun!
Demonstrate our Sephora values of Passion for Client Service, Innovation, Expertise, Balance, Respect for All, Teamwork, and Initiative.
Lead or assist on projects using a hands-on approach
Learn from the best in the industry by interacting with a dynamic team of digital marketing professionals and understand the role of Paid Social for Sephora by working with best in class media experts
Develop a solid understanding of Digital Marketing and Media

We’re Excited About You If You Have
Have an interest in learning how to be a more inclusive leader and ally.
Demonstrated leadership skills as evidenced by involvement in organizations, community involvement, sports, and other activities.
Currently working on completion of Bachelor’s degree in related field in Business, Analytics, Marketing, or Communications and is currently a junior or senior in credit hours
Data-driven mindset with the ability to gather insights and draw conclusions
Excellent written and verbal communication skills
Ability to work well in a fast-paced team environment
Innate sense of intellectual curiosity that drives you to be constantly learning
Taking initiative in problem solving and out of the box thinking
Adaptable to a variety of tasks and projects
Positive attitude - eager to get involved in projects

You’ll Love Working Here Because
The manifesto. Sephora believes in championing all beauty, living with courage, and standing fearlessly together to celebrate our differences. We will never stop building a community where diversity is expected, self-expression is honored, all are welcomed, and you are included. We belong to something beautiful.
The people. You will be surrounded by some of the most talented, supportive, smart, and kind leaders and teams - people you can be proud to work with.
The product. Employees enjoy a product discount and receive free product (“gratis”) various times throughout the year. (Think your friends and family love you now? Just wait until you work at Sephora!)
The business. It feels good to win - and Sephora is a leader in the retail industry, defining experiential retail with a digital focus and creating the most loved beauty community in the world…with the awards and accolades to back it up.
The perks. Sephora offers comprehensive medical benefits, generous vacation/holiday time off, commuter benefits, and “Summer Fridays” (half-days every Friday between Memorial and Labor Day)…and so much more.
The LVMH family. Sephora’s parent company, LVMH, is one of the largest luxury groups in the world, providing support to over 70 brands such as Louis Vuitton, Celine, Marc Jacobs, and Dior.

Working at Sephora’s Field Support Center (FSC)

Our North American operations are based in the heart of San Francisco’s Financial District, but you won’t hear us call it a headquarters - it’s the Field Support Center (FSC). At the FSC, we support our stores in providing the best possible experience for every client. Dedicated teams cater to our client’s every need by creating covetable assortments, curated content, compelling storytelling, smart strategy, skillful analysis, expert training, and more. It takes a lot of curious and confident individuals, disrupting the status quo and taking chances. The pace is fast, the fun is furious, and the passion is real. We never rest on our laurels. Our motto? If it’s not broken, fix it.

Sephora is an equal opportunity employer and values diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, ancestry, citizenship, gender, gender identity, sexual orientation, age, marital status, military/veteran status, or disability status. Sephora is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities.

Sephora will consider for employment all qualified applicants with criminal histories in a manner consistent with applicable law.

Company Overview

SEPHORA has been changing the face of prestige cosmetics since its debut in 1970s Paris. Sephora was acquired by luxury group Moët Hennessy Louis Vuitton (LVMH) in 1997 then launched stateside in 1998, and is currently home to 200 world-class brands - including its own private label, SEPHORA COLLECTION. Sephora's curated assortment features more than 14,000 products including makeup, skin care, perfume, hair care, body, professional tools and more. Sephora is the beauty education hub, offering consultations at the Beauty Studio, a variety of complimentary classes, one-on-one service from Personal Beauty Advisors, and exclusive retail technology SKINCARE IQ, COLOR IQ, and FRAGRANCE IQ. Sephora is an international force in beauty, and its award-winning website and ever-growing presence on social-media make it the world's premier digital beauty destination.","https://www.linkedin.com/jobs/view/externalApply/2479948140?url=https%3A%2F%2Fjobs%2Esephora%2Ecom%2FUSA%2Fjob%2FSan-Francisco-Intern%252C-Paid-Social-CA-94105%2F712773600%2F%3FfeedId%3D178800%26utm_source%3DLinkedInJobPostings%26utm_campaign%3Dsephora_media&urlHash=WWXc&refId=0b7ce98c-8e77-4eed-9832-46e0a93523df&trackingId=UP3h6gU1ivtJ5CcYESPAJQ%3D%3D&trk=public_jobs_apply-link-offsite",0.022784979541200637,
10,"Intern","Beta Hat","Oakland, CA","Beta Hat is a fast-growing boutique research consultancy based in the heart of downtown Oakland. We provide strategic guidance for the video games, emerging technology, and the online media industries - specifically supporting go-to-market strategy for new products, to guide product development decisions, and deeply understand customer sentiment. To support our growth, we are looking for interns who are looking to leverage their education to real world applications.

We have two part-time internship positions open. As an intern, you will be supporting the the day-to-day operations of our Associates and Lead Consultant and leading custom projects as needed.

What is expected of you:
Must be incredibly detail-oriented
Being able come to the table with creative solutions to complex problems
Ability to work with minimal supervision
Be proactive and take initiative

Backgrounds we are looking for:
Those in the process of seeking a Masters or PhD in Mathematics, Statistics, Social Science, or related field.

What will set you apart
A passion for the business of video games, pop culture, and/or emerging technologies
An eye for design
Experience with R and/or SPSS programming
Experience Tableau or other data visualization tools
Fluency in any of the following languages: German, French, Mandarin","https://www.linkedin.com/jobs/view/externalApply/2479934841?url=https%3A%2F%2Fjobs%2Eubs%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D25008%26siteid%3D5012%26jobid%3D229858%26codes%3DILINKEDIN&urlHash=bCWC&refId=0b7ce98c-8e77-4eed-9832-46e0a93523df&trackingId=AbfWNHJl7DFFMszvDeuWFg%3D%3D&trk=public_jobs_apply-link-offsite",0.07086900138645005,
0,"In-house Counsel Intern","The Public Interest Network","Boston, MA","Organization Type:- Public Interest
Job Type:- Attorney
Practice Area:- Civil Rights >> Civil Rights
Practice Area:- Contract Law >> Contract Law
Practice Area:- Corporate >> Corporate - General
Practice Area:- Labor & Employment >> Labor & Employment

In-House Counsel Intern

Interns will conduct legal research, prepare in-house legal memoranda and draft and review contracts. Work in specific practice areas includes: Employment Practice: Assist legal staff with advising on employment matters and employment benefits systems, ensure compliance with employment laws, review employment materials, and assist with defending employment-related claims. Corporate Compliance: Assist legal staff with conducting and documenting corporate board meetings and maintaining the organizations’ good standing with state regulators. Tax-Exempt Organizations: Assist legal staff with advising on IRS guidelines relating to nonprofit organizations, including for lobbying and political activities. First Amendment: Assist legal staff with representing the organization’s right to conduct door-to-door and street canvassing in cities and towns across the country. Election and Lobbying Law: Assist legal staff with ensuring compliance with federal and state election and lobbying laws. Contracts: Draft and review contracts, leases, grant agreements, and other legal documents.

Qualification and Experience

Interns should have excellent academic credentials, be goal-driven and results-oriented, and have a strong desire to protect the public interest through nonprofit and political work. Leadership capability, initiative, and exceptional verbal and written advocacy and communication skill are essential. Should have completed at least one year of law school and prior experience volunteering or working with a nonprofit organization or political campaign is preferred","https://tarta.ai/j/nGg9oHgBrJRKg1c1ot28-in-house-counsel-intern-in-boston-ma-at-the-public-interest-network?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.021563072133406642,
7,"Intern/Fellow, Policy (Americas)","Cessna & Associates","Washington, DC","Join the Information Technology Industry Council (ITI) Internship/Fellowship Program

Applications must be submitted by April 22, 2021.

At the Information Technology Industry Council (ITI), we advocate for public policies that advance innovation, open markets, and enable the transformational economic, societal, and commercial opportunities that our companies are creating. Our members represent the entire spectrum of technology: from internet companies, to hardware and networking equipment manufacturers, to software developers. ITI’s diverse membership and expert staff provide a broad perspective and intelligent insight in confronting the implications and opportunities of policy activities around the world.

Come join the Policy – Americas Team


ITI is offering a Fellowship Program with the Policy team, focused on the Americas. The Policy team manages ITI’s policy engagement and advocacy around the world on a range of issues related to the tech industry, with a focus on the Asia-Pacific, Europe, Latin America, and U.S. markets. The Americas Policy team seeks a qualified undergrad or graduate student interested in Western Hemisphere or tech policy to further their academic and career development in a policy advocacy organization. The Policy Team position is available to undergrad, graduate, or law students for academic credit or an hourly wage of $15/hour for undergrad and $17/hour for graduate or law school students, with a 25-hour work week from Monday-Friday.

Your Responsibilities
Monitor legislative, regulatory, and policy proposals in the Western Hemisphere.
Assist in drafting fact sheets, position papers, letters, comments, and other written materials for policymakers.
Manage projects under staff members, such as new policy initiatives and member surveys.
Maintain tracking sheets for policy developments, industry contacts, and other data as necessary, including but not limited to ITI interviews, news mentions, and press clippings.
Collect and track regulatory data on technical barriers to trade, export control regulations, and tech sector impacts in key markets along with regulatory initiatives and engagement strategies in the Americas.
Synthesize, present, and analyze information on trade and tax, AI, privacy, cybersecurity, telecom, and 5G.
Assist in the drafting of strategic recommendations and other written products for ITI members.
Attend and produce summaries of virtual external events on a wide range of technology issues related to the Americas.
Monitor current events and compose news clippings.
Compile data and other information for research projects.
Coordinate and organize virtual trips and events.
Your Qualifications
Internship - Rising Sophomore, Junior, or Senior actively attending an accredited undergraduate program with a major/interest in the areas listed in the Fellowship requirements below
Fellowship - Applied and accepted into a master’s degree program focused on political science, public policy, international affairs/relations, regional studies, economics, technology policy (e.g., cybersecurity), relevant STEM (e.g., engineering, computer science), business, communications, marketing, or a related field
Also eligible are students enrolled in a legal or professional (e.g., JD/LLM) degree program focused on international business, international trade, consumer protection, data/privacy, or competition/anti-trust
Demonstrated interest and knowledge of technology policy or Western Hemisphere Affairs
Demonstrated experience analyzing, synthesizing, and presenting information
Exposure or experience in the government industry
Open source research, analytical, writing, editing, and verbal communication skills
Familiarity with Microsoft Office 365 required
Foreign language competency in Spanish and/or Portuguese is preferred.
Your Intangibles
Self-starter
Emotional intelligence and interpersonal skills
Organizational skills with the ability to handle multiple projects, prioritize competing priorities and meet deadlines
Commitment to accuracy, detail, and follow-up
Team player that works to build consensus
Customer service-oriented; possess tact, diplomacy, good judgment and discretion, reliability, and professionalism
Your Perks
A stimulating work environment in a fast-paced regulatory landscape;
Working with expert colleagues that provide a broad perspective and intelligent insight in confronting the implications and opportunities of policy activities around the world;
Daily exchange with a multicultural team of colleagues, primarily in Washington, DC, and Brussels;
And, much more!
Are you a good match?

Submit a cover letter, resume, and a one-two page writing sample to the job link.

There are no explicit requirements for the writing sample other than length – it may be an excerpt and, on any topic, so long as it is a proper sample of your writing. Applications missing any of these components will not be considered. Applications must be submitted by April 22, 2021.
Local and non-local applicants are encouraged to apply; no relocation required.
ITI is an equal opportunity employer. We are committed to an inclusive workplace. We encourage diversity and do not discriminate based on age, race, color, ethnicity, national origin, religion, sex, sexual orientation, gender identity, genetic information, marital status, disability, veteran status, or any legally protected characteristics.

About Cessna & Associates, LLC

Cessna & Associates, LLC is a boutique HR consultancy partnering with mission driven, non- profit organizations. Our goal is to identify the best potential candidates that the market has to offer. Position inquiries to Beth Cessna at jobs@cessnasearch.com .

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number 63879. Message & data rates may apply. Please refer to our privacy policy for more information.","https://www.linkedin.com/jobs/view/externalApply/2498404738?url=https%3A%2F%2Fcessna-and-associates%2Etalentify%2Eio%2Fjob%2Finternfellow-policy-americas-washington-dc-united-states-cessna-and-associates-wukj7psyora4cgeqkjvwgngaunke7bvoa85bxdbemq%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGo0MG0yMSxlcHJvNjA3MTMwZDA3MWI4MzQwMjY4ODEyOQ&urlHash=HUI6&refId=0b7ce98c-8e77-4eed-9832-46e0a93523df&trackingId=Z2nMLZ3b9fkp39NnxeJ14w%3D%3D&trk=public_jobs_apply-link-offsite",0.02757245031296928,
18,"State and Local Intern","End Citizens United","Washington, DC","End Citizens United/Let America Vote’s Mission: To fix our democracy by getting big money out of politics and protecting the right to vote. We will work to end our rigged political system by electing reform champions, passing meaningful legislative reforms, and elevating these issues in the national conversation. We will work in partnership with these champions to overturn Citizens United, end the unlimited and undisclosed money in politics, and protect and expand the right to vote. 

Reports to: Director of State and Local Campaigns 

Position summary: Responsibilities will include, but are not limited to, tracking campaigns, drafting memorandums on candidates, and providing administrative support to the State and Local Campaigns department. Prospective interns should have a strong interest in taking on big money in politics and protecting the right to vote, be highly organized, and have good attention to detail. Candidates with a basic understanding of how race, class, and other identity markers intersect with our work in advocacy and electoral campaigns will be prioritized. 

Interns will also benefit from the Intern Educational Program, which aims to educate interns on Democratic politics and democracy reform while providing unique opportunities to hone their professional skills. This program includes presentations with top Democratic professionals, tutorials on networking best practices, and discussions on themes within the democracy reform movement. Additionally, interns will have the opportunity to interact with and receive professional guidance from many members of the ECU/LAV staff, and will gain strong experience in progressive campaigning. 

**Due to the coronavirus, this will be a fully remote internship. Applicants from all locations are encouraged to apply. The position is a part-time opportunity.**

To apply, please submit a resume and cover letter to jobs@endcitizensunited.org with “State and Local Internship” in the subject line. Please indicate in your cover letter where you viewed this posting. Interns will be paid $15/hr. Applications will be accepted until April 16, 2021. End Citizens United/Let America Vote is an Equal Opportunity Employer that values a multi-cultural, diverse working environment. Applicants of diverse backgrounds are welcomed and encouraged to apply.","https://www.linkedin.com/jobs/view/externalApply/2496500675?url=https%3A%2F%2Fcsis-openhire%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D925%26company_id%3D17233%26version%3D1%26jobBoardId%3D3349&urlHash=Eq-7&refId=0b7ce98c-8e77-4eed-9832-46e0a93523df&trackingId=QYra45nrcNGe0Dvue0vbPw%3D%3D&trk=public_jobs_apply-link-offsite",0.23976311639625766,
3,"Expansion Intern, NYC","Gorillas","New York, United States","Hey there! We are Gorillas & we are influencing the way people live their lives. Groceries being delivered to your door in 10 minutes is a concept that up until recently was unimaginable. We’re redefining an industry that has never experienced the rapid changes that we’re creating. You can now be a part of generating this change.

By spreading Gorillas across the country and opening up many warehouses in each city, the expansion team is ensuring the growth of Gorillas. This very fast-paced department is seeking candidates who are motivated, proactive and strive to own the change.
You will bring Gorillas to new cities and neighborhoods across the NYC and potentially beyond
You will implement the standard operating procedures across all new warehouses
You will support the rest of the Expansion team (e.g. Real Estate) as needed
You will ensure that we have a highly motivated and excellent team in place for every new location
You will find quick and creative solutions for all challenges that occur during the launch process
Requirements

We are looking for an Expansion Intern for our NYC expansion team. Your primary responsibility is to support our launch team in opening up new warehouses across different cities in the City and potentially beyond!
You have very strong communication skills
You have good project management skills with a strong bias to action
You want to get your hands dirty & enjoy working in a warehouse instead of an office
You have a desire to work in a dynamic environment at the fastest growing startup in Europe, and the willingness to own the change
Benefits

This is a paid internship.

We love seeing our crew blossom & growing with us! With a transparent company culture & stunning team spirit, Gorillas ensures a dynamic & international environment welcome to anyone! Plus, our flexible working arrangements support people at different stages in their lives. We celebrate diversity & are committed to creating an inclusive environment for all employees.

If you want to build something you are proud of & you believe in the vision, we want you in the Gorillas fam!

Disclaimer

Gorillas is an equal opportunity employer, which means we do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression. We celebrate diversity and are committed to creating an inclusive environment for all employees.","https://www.linkedin.com/jobs/view/externalApply/2491514912?url=https%3A%2F%2Fjobs%2Elionsgate%2Ecom%2FLionsgate%2Fjob%2FSanta-Monica-LIONSGATE-Intern%252C-MPG-Inclusive-Content-CA-90404%2F730261400%2F%3Flocale%3Den_DEBUG&urlHash=Fs4P&refId=0b7ce98c-8e77-4eed-9832-46e0a93523df&trackingId=sVZHNDec1zbJDJtfxBBySg%3D%3D&trk=public_jobs_apply-link-offsite",0.05844866106691848,
