Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
120,"Marketing Intern","Century Bank","Tudor City, NY","Job Description
Developing tools and methods for collecting data such as surveys, opinion polls or questionnaires
Collecting and analyzing data to identify consumer trends
Researching consumer opinions and marketing strategies and proposing adjustments to current strategies accordingly
Creating graphic representations of data and translating complex research into easily readable content for stakeholders and other departments
Preparing marketing proposals and presentations based on company needs
Measuring consumer satisfaction with products or services
Monitoring and managing the companys social media platforms, adjusting outreach tactics as needed","https://www.linkedin.com/jobs/view/externalApply/2493443945?url=https%3A%2F%2Fwww%2Eadzuna%2Ecom%2Fland%2Fad%2F2102854439%3Fv%3D0D7285D0A9B94E6B1AF8496459865FD044D5FD14%26frd%3Da16cfb62135bba8c88cbd6e7aa4a1d6b%26ccd%3D108daffbfc3934d950ac3138170d1f89%26r%3D6799282%26utm_source%3Dlinkedin1%26utm_medium%3Dorganic%26partnerb%3D1%26chnlid%3D600&urlHash=Sv2U&refId=ba940296-b9c9-4fa6-b7a9-9a9e834680b2&trackingId=ZQW0tdQdAWviAB0mw9kLjg%3D%3D&trk=public_jobs_apply-link-offsite",0.0034735722667159075,
235,"Marketing Intern","Encounter Your Potential","Ocean City, MD","Marketing Interns will work closely with the founder and staff collaboratively adding value to projects by sharing their own perspective, while providing the support necessary to achieve and accomplish project goals. 

Encounter Your Potential interns will be provided with hands-on, day-in-the-life experience working with an interactive, fast paced, digital first, results driven agency. Intern’s responsibilities will include (but are not limited to) working with staff on outreach research, material creation, analysis, reporting, content creation, etc. 

Responsibilities 
● Research 
● Creation of Marketing Material 
● Email outreach 
● Social Media Marketing 
● Email Marketing 
● Webinar Support 
● Provide support on Marketing and Event Marketing needs 
● Blog Writing 

Skills Requirements 
● Hard worker who’s good with details 
● Strong writing and grammar skills 
● Self-motivated and results driven 
● Interest in marketing and events 
● Strong interest and familiarity in social media, digital media, and communications
● Creative thinker with the ability to multi-task and change gears quickly 
● Agile, flexible, and able to think strategically 
● Familiarity with Photoshop/Video editing tools a plus 
● Bonus points if you are great with Facebook, Twitter, and Instagram management
● Knowledge of Google Drive

Schedule 
Hours per week: 15 hours to be tracked via Project Management Tool. Encounter Your Potential is willing to work with interns’ schedules as to what days of the week would be most convenient to complete a work week of 15 hours. Ocean City and nearby residents preferred. Position will be in-person, on-site; not remote.

Compensation 
● This is an unpaid internship. After 3 months, we are happy to write a great letter of recommendation or take an extended internship into consideration or 
employment opportunity if a qualifying graduate. ","https://www.linkedin.com/jobs/view/externalApply/2489738773?url=https%3A%2F%2Fwww%2Egetmusicjobs%2Ecom%2Fjob%2Fclk%2F227812349%3Futm_source%3Dlinkedin%26utm_medium%3Dpaid%26utm_campaign%3Dlinkedin&urlHash=7im7&refId=efb09b5f-fda5-44c1-a7c7-6721b06d043a&trackingId=GsB7HS1z7ElnKS1PWzOMeg%3D%3D&trk=public_jobs_apply-link-offsite",0.0046959598401282105,
242,"Marketing Intern","AECOM","Glen Allen, VA","United States of America - Virginia, Glen Allen

Job Summary

AECOM is seeking a Marketing Intern to be based in Glen Allen, VA.

This position is expected to begin in June 2021.

About AECOM

At AECOM, we believe infrastructure creates opportunity for everyone. Whether it’s improving your commute, keeping the lights on, providing access to clean water or transforming skylines, our work helps people and communities thrive.

We take on the most complex challenges and pioneer innovative, iconic solutions that push the limits of what’s possible – the world’s longest cable-stayed bridge, record-breaking sports events, the largest greenfield port development mega project, life-sustaining disaster recovery programs, and the tallest tower in the Western Hemisphere.

On projects spanning transportation, buildings, water, energy and the environment, we deliver professional services throughout the project lifecycle.

We are proud to be recognized for excellence:
Named one of Fortune magazine's World's Most Admired Companies for the sixth consecutive year
Ranked #1 in Engineering News-Record ’s 2020 “Top 200 Environmental Firms”
Ranked #1 in Transportation and General Building in Engineering News-Record ’s 2020 “Top 500 Design Firms”
VIQTORY 2020 Military Friendly® Gold Employer

About Corporate—General

As a member of the corporate team, you will work with professionals at our headquarters in downtown Los Angeles, California and in business offices around the world to advance AECOM’s global strategies and priorities. With positions around the globe, the Corporate team includes finance, legal, human resources, information technology, marketing and communications, and real estate functions.

The responsibilities of this position include, but are not limited to:
Works with a variety of technical and marketing staff.
Participates in the maintenance of marketing information, such as project sheets and credentials.
Undertakes special projects, such as award submittals, as assigned.
Supports senior marketing leads.
Works under general supervision and collaboration with the marketing leader and teams.

Minimum Requirements
Currently in pursuit of Bachelor's Degree in Marketing, Journalism, English or Design
Understands marketing, communication, graphics and/or architecture
Graphic sensibility with strength in written and visual storytelling to support messaging around people, projects, and design services
Ability to operate within a team setting
Effective and personable verbal and written communication skills
Strong organizational aptitude and attention to detail
Proficient in MS Office (current version): Word, Excel, and PowerPoint

Preferred Qualifications
Experience in proposal management and coordination for design firms
Excellent graphic design sense
Related A/E industry and/or design marketing experience
Beginning to intermediate ability in Adobe Creative Cloud

What We Offer

When you join AECOM, you become part of a company that is pioneering the future. Our teams around the world are involved in some of the most cutting-edge and innovative projects and programs of our time, addressing the big challenges of today and shaping the built environment for generations to come. We ensure a workplace that encourages growth, flexibility and creativity, as well as a company culture that champions inclusion, diversity and overall employee well-being through programs supported by company leadership. Our core values define who we are, how we act and what we aspire to, which comes down to not only delivering a better world, but working to “make amazing happen” in each neighborhood, community and city we touch. As an Equal Opportunity Employer, we believe in each person’s potential, and we’ll help you reach yours.

Job Category Vacation Student / Internship / Graduate

Business Line Geography OH

Business Group Design and Consulting Services Group (DCS)

Country United States of America

Position Status Intern / Student

Requisition/Vacancy No. 247661BR

Virtual: No

Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.","https://www.linkedin.com/jobs/view/externalApply/2483511609?url=https%3A%2F%2Frr%2Ejobsyn%2Eorg%2F26F836DA205D4076AEAC79BE21CDE1831606&urlHash=_kp7&refId=efb09b5f-fda5-44c1-a7c7-6721b06d043a&trackingId=1JLtM7xbY0lOrLCQb3uaGw%3D%3D&trk=public_jobs_apply-link-offsite",0.0012095655460759667,
25,"Social Media & Marketing Intern","Alvies","Austin, TX","Alvies is looking for a Social Media & Marketing Intern to help on a number of initiatives for our growing ecommerce brand.
This role will report to our VP of Brand & Creative and work on fun projects ranging from social media content strategy and execution, to influencer management, to event support. You’ll use your can-do attitude, knowledge of social media and influencer trends, and sheer, unmitigated moxie to help us continue to grow our brand and our sales while getting a close look at the inner workings of an ecommerce startup.

Who You Are

A college Junior or Senior looking to earn some credit and some sweet, sweet cash working for an early-stage ecommerce brand
Someone studying, interested in and/or lightly experienced in social media, influencer marketing, digital marketing or ecommerce
Someone interested in pursuing a full-time role in this space after graduation
Someone with a strong affinity for and understanding of the Alvies brand, story and mission
Hashtag blessed with a friendly demeanor and positive attitude bordering on the annoying

What You’ll Do

Content Strategy and Execution: Assist in the planning, creation and publishing of Alvies social media content
Customer Experience: Assist in communication efforts with customers to offer an outstanding experience at every turn
Influencer Management: Help identify and communicate with influencers who will post about the Alvies brand and products
Events Support: Occasionally attend events as part of the brand team
Research: Provide research on new marketing channels, influencers, partnerships, potential media targets, etc.","https://www.linkedin.com/jobs/view/externalApply/2496715497?url=https%3A%2F%2Falvies%2Ecareerplug%2Ecom%2Fj%2F0rdtnt&urlHash=G8lG&refId=be3a4cac-001f-4029-a3c0-05b93a0b00de&trackingId=bSqFX3Ccm3KK1d557tu0xA%3D%3D&trk=public_jobs_apply-link-offsite",0.008857125861273145,
5,"Lifecycle Marketing Intern (Summer 2021)","Daily Harvest","New York, NY","About Daily Harvest

Daily Harvest makes nourishing food built on fruits and vegetables accessible. We do this by delivering thoughtfully sourced, chef-crafted food to customers' doorsteps, all ready to enjoy in minutes. We're on a mission to take care of food, so food can take care of you.

Our team is collaborative, driven, and future-thinking. We're constantly learning, experimenting, and iterating, and celebrate failure just as much as success. We take risks, try new things, and we get things done. We love adaptogens and cruciferous vegetables but never say no to cake. Everything we do, we do in the service of our community.

Position Overview

Daily Harvest is looking for a Lifecycle Marketing (Undergrad) Intern to join our Performance Marketing team. The Performance Marketing team is divided into two functions: Growth (focusing on driving new customer acquisition through a variety of marketing channels) and Lifecycle Marketing (focusing on the new customer on-boarding journey that leads to long term relationships). Together, these functions drive the company's revenue forward.

Daily Harvest is looking for an enthusiastic, detail-oriented Lifecycle Marketing Intern who can help support our retention and lifecycle initiatives across multiple channels including Email, Push, SMS, and In-Box. This paid intern will help ideate, build, and eventually analze best-in-class communications and experiences for Daily Harvest customers, all while gaining experience and working at a fun, fast-growing startup.

The ideal candidate has a can-do attitude, experience in email production and campaign management, an understanding of performance metrics, and can develop basic reports.

What You'll Do
Assist the Lifecycle Marketing team with end-to-end support of lifecycle and retention activities (including ideating new campaigns, assisting with creative briefs and communication building, and connecting the dots between teams)
Learn and assist in email production and campaign management through ESP/marketing automation tools (such as Braze)
Collaborate with multiple departments, such as Creative, Brand, Logistics, Data, and Engineering
Assist in creating reporting recaps to inform campaign effectiveness
Be willing to roll up their sleeves and have a no task is too small mindset
Identify opportunity areas to iterate existing campaigns
Support sampling initiatives with cross-functional partners by managing operational dependencies
Stay up to date with industry best practices and competitor activities


Who You Are
Have a basic understanding of lifecycle marketing principles and best practices
Ability to project manage, develop timelines, and own processes
Strong verbal and written communication skills
Natural problem-solver and self starter
Must be able to work in a fast paced environment
Experience with Excel or Google Sheets
Experience with analytics platforms such as Looker, Google Analytics, Tableau or Amplitude a plus
Currently enrolled in a Bachelor's Degree program
Prior internship experience preferred

At Daily Harvest, our mission is to take care of food, so that food can take care of you. And it wouldn't be possible without our team. We celebrate the unique POV that each person brings to the table and believe in a collaborative and inclusive environment. As an equal opportunity employer, we prohibit any unlawful discrimination on the basis of race, color, religion, military or veteran status, sex, gender, gender identity or expression, sexual orientation, national origin, age, disability or genetic information. These are our guiding principles and apply across all aspects of employment.","https://www.linkedin.com/jobs/view/externalApply/2495192013?url=https%3A%2F%2Fgrnh%2Ese%2Fe16c8b861us&urlHash=xKxd&refId=7c20886c-1614-4f96-9af1-fa20c87ebfd8&trackingId=zBwO9utdGb6A%2BTYZ0o5sPg%3D%3D&trk=public_jobs_apply-link-offsite",0.002269450602163871,
111,"Digital Social Media Intern (Paid)","Confidential","New York, NY","We’re a small, Brooklyn-based creative agency seeking a part-time, paid intern to join our team, working on social media for a major corporate client. We’re looking for someone who is ready to get involved with all aspects of the project management + creative process, from concept to content creation.

As a digital social media intern, you'll work closely with our project manager to manage and deliver files and respond to client requests, and work with our creative team to help develop copy, assist with photoshoots, and monitor social conversations.

Job Responsibilities:
Partner with project manager to manage creative workflow, feedback, and timelines
Assist with organizing assets as they arrive from client and partners
Participate in internal and client meetings, and take detailed notes
Prepare files for delivery to client
Assist with in-house photo shoots
Work with team to brainstorm digital campaign and activation ideas
Optional: Opportunities to learn + assist with graphic design or copywriting work, if desired

Skills and Experience:
Working towards a BA or BS degree, or equivalent work experience
Familiarity with Mac OS, Google Docs and Microsoft Office
Proactive and organized
Initiative, willingness to take on new challenges and learn new skills
Flexibility to work well with a small team in a creative environment","https://www.linkedin.com/jobs/view/externalApply/2487214855?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2Fb7c06dd0a4146e4ed14de53ecc4b21a2&urlHash=HmSe&refId=ba940296-b9c9-4fa6-b7a9-9a9e834680b2&trackingId=s5drWQhPJaukh6flb9ZslA%3D%3D&trk=public_jobs_apply-link-offsite",0.00567897267988286,
185,"Social Media Marketing Intern","Buzr","New York, NY","Job Overview

We are looking to hire a Social Media Intern to assist our Social Media Manager and the Marketing team. You will be responsible for managing our company’s social media accounts and growing the brand’s presence. Your understanding of the digital landscape and go-getter attitude are our main requirements.

Actively suggesting and creating social media content to generate user engagement will be your primary responsibility. In addition to this, you will also be responsible for keeping track of the follower count and performance reports. Your other responsibilities include scheduling social media postings, suggesting social media strategies, and participating in networking events actively.

Your awareness and application of social media trends will be beneficial to us. Write to us if you can work collaboratively and can contribute to our digital existence.

Responsibilities
Actively managing the company’s social media accounts like Facebook, LinkedIn, and Twitter.
Generating engaging content for blogs, infographics, and videos
Managing scheduling on content calendars
Brainstorming digital marketing and campaign ideas
Tracking user engagement and performance on various social media platforms
Engaging with the audience on all social media channels
Analyzing google analytics on a weekly/monthly basis
Suggesting and developing ideas for social media marketing
Assisting the Marketing department to determine marketing strategies and budget
Creating and maintaining performance metrics
Ensuring uniformity in the brand’s tone and content across all social media platforms
Increasing and keeping a tab on the follower count
Replying to customer feedback and messages
Conducting online polls and surveys to ascertain the brand’s reach
Updating the brand’s offerings on required platforms
Coordinating with the Social Media Manager and Social Media Specialist for daily operations
Contributing to website redesign and optimization
Performing marketing cost analysis and keyword research
Participating in networking events to build brand awareness

Requirements
Bachelor’s degree in Marketing, Journalism or related field
Familiarity with handling different social media like Facebook and Twitter
Basic understanding of social media trends
Highly creative and motivated
Impressive oral and written communication skills
Ability to multitask and work under pressure
Ability to work collaboratively and willingness to learn new skills
Having a go-getter attitude
Excellent time management and organizational skills
Proficiency in Microsoft Office
Problem solving ability and listening skills","https://www.linkedin.com/jobs/view/externalApply/2439273473?url=https%3A%2F%2Fbuzr%2Ejobsoid%2Ecom%2Fj%2F33188%2Fsocial-media-marketing-intern%3Fsource%3Dlinkedin&urlHash=Dht9&refId=3775f0ee-3d52-4238-ae4b-720f7b131184&trackingId=jFQs07nGpWph9fhPNQi8%2FA%3D%3D&trk=public_jobs_apply-link-offsite",0.002497336055048621,
23,"Social Media Intern 2021","Supermajority","New York, NY","Position Summary

Women are on the cusp of becoming the most powerful force in America. But to fundamentally transform this country, we need to pull together the millions of women who are already engaged and amplify and expand their civic engagement. Supermajority Education Fund is building women's power across the country by training and mobilizing a multiracial, intergenerational community who will lead the fight for gender equity. We provide women with the tools, resources, and knowledge they need to channel the energy and activism of this moment and build it into a long-term movement for change.

Since our founding in April 2019, Supermajority Education Fund and our related 501(c)(4) organization, Supermajority, have reached more than a million women through in-person conversations and online outreach. In August 2019, over 75,000 people from all 50 states completed our Women's* Poll, which led to the creation of the Majority Rules, a set of values to help us build the country we deserve. In September and October 2019, the Supermajority Education Fund Bus Tour met up with thousands of women across fourteen states. In December 2019 welcomed Pantsuit Nation, an online community of more than 3 million women and allies, into our organization. In 2020, we ran the country's largest woman-to-woman voter engagement program by offering strategic digital tools, training, and information to women and allies around the country. In 2021, we are continuing the work of engaging and mobilizing women across the country, in the wake of the coronavirus pandemic and it's disproportionate impact on women, specifically women of color.

Supermajority Education Fund is seeking two Social Media Interns who will support the Social Media Manager with daily execution of Supermajority Education Fund's social media platforms and with executing a small network of partner creators. All duties can be conducted virtually during the COVID-19 pandemic.

Responsibilities And Tasks

The Social Media Interns will be responsible for the following responsibilities:
Drafting, scheduling and posting social media content for Supermajority's social channels in daily collaboration with the Social Media Manager
Provide community management support on our social channels by responding to replies/direct messages, liking and commenting across channels and replying to partners/aligned activists
Being a thought partner with fellow members of the Communications and Brand team in brainstorming content ideas and content execution
Working across Supermajority's Communications and Brand team to execute content including aligned partner activations, breaking political/policy news and recruitment for events and other volunteer opportunities
Assisting the team with research, operations and administration, as needed


Required Skills, Knowledge, And Qualifications
Knowledge of and demonstrated proficiency in social channels: including but not
limited to Facebook, Twitter, Instagram, TikTok, Youtube and Clubhouse. Expertise in one particular social media channel over others is great as well!
Strong writing and social skills: is able to consolidate information for digital copy and will ask questions and for help when needed
Strong virtual communication and collaboration skill: Comfort with (or willingness to learn) daily interactions within Slack, Google Suite -- is responsive via email, and willingness to participate in group calls as their schedule permits.
Curiosity about politics, emerging technology and social media trends: and is excited to dig into ways to creatively engage young women and women of color with audience-first content that speaks to their lives and journeys on Day 1
Working for racial equity: Willingness to integrate an understanding of key racial equity concepts into work projects and interactions by addressing structural implications and disproportionate impacts of policies, activities, and decisions on race, class and other group identities within the context of the internship's responsibilities and projects

The strongest candidates will also have some of the following skills and experience:
Familiarity with Supermajority Education Fund's mission and brand and/or has an invested interest in building women of color's power and voice online
Familiarity with Instagram: Highlights, Stories, Reels, Guides and/or Lives.
Beginners experience with Excel, Powerpoint and/or Canva -- OR a strong willingness to gain skills in these areas
A beginners understanding of using Photoshop, Indesign, video editing and/or social-first video content creation -- OR a strong willingness to gain skills in these areas
Experience creating TikToks and a working knowledge of TikTok trends, top creators and algorithm


Compensation
Hourly rate for this position is $15/hour, 20 hours per week.


How To Apply

Please submit a resume by Friday, April 16th via the link above. Candidates may be asked to submit writing samples and/or complete a written assessment as part of the interview process. Applications will be reviewed as they are received.

New Venture Fund Careers
Supermajority Education Fund is a project of the New Venture Fund (NVF), a 501(c)(3) public charity that incubates new and innovative public-interest projects and grant-making programs. NVF is committed to attracting, developing and retaining exceptional people, and to creating a work environment that is dynamic, rewarding and enables each of us to realize our potential. NVF's work environment is safe and open to all employees and partners, respecting the full spectrum of race, color, religious creed, sex, gender identity, sexual orientation, national origin, political affiliation, ancestry, age, disability, genetic information, veteran status, and all other classifications protected by law in the locality and/or state in which you are working.

Supermajority Education Fund collaborates and shares resources with Sixteen Thirty Fund's Supermajority project.","https://www.linkedin.com/jobs/view/externalApply/2486957591?url=https%3A%2F%2Fgrnh%2Ese%2F21ee182a2us&urlHash=0Q4G&refId=be3a4cac-001f-4029-a3c0-05b93a0b00de&trackingId=ZL4l0WzLYuFiAewvo%2F8wqQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0010927224435661224,
91,"PR & Marketing Internship","inSegment","Newton, MA","Company Description

ESTABLISHED IN 2007, INSEGMENT, AN INC 5000 COMPANY, IS A FULL-SERVICE DIGITAL MARKETING AND ADVERTISING AGENCY

Located at the heart of one of the most innovative technology hubs in the world – Boston. Working across strategy, creativity and a meticulous engineering process, we pride ourselves on bringing clients quantifiable, high-impact marketing results. We provide our clients with the most innovative digital marketing solutions in the market today, accomplishing client goals while delivering a maximum return on investment.

Job Description

We are seeking a PR & Marketing Intern, who is full of creative ideas and eager to contribute on a large scale. The intern will gain visibility into the inner workings and aspects of the public relations field, provide concrete deliverables and learn from top to bottom.

Interns will learn about the initial stages of setting goals, evaluating existing channels, creating a social media strategy all the way through to the implementation of and reporting on those communications strategies.

Key Responsabilities
Fully support company’s PR strategy and execute it in different phases
Create and maintain marketing content.
Conduct research on social media trends
Write posts for a variety of social media accounts
Assist in administrative duties
Build and update media lists and databases
Schedule, coordinate and attend various events
Perform research and market analysis activities
Qualifications

Required Skills:
Excellent writing and editing skills
Experience in blog writing preferred
Attention to detail and ability to multi-task
Creativity and ability to come up with interesting ideas for blogs, articles, and social media posts and campaigns
Experience and knowledge of social media management and usage of Twitter, Facebook, and LinkedIn preferred.
Basic computer literacy a must: proficiency in MS Word, Excel, Google Docs and PowerPoint.
Desired Concentrations
Marketing/Communications
Public Relations
English/Writing
Other concentrations welcome
Additional Information

Please provide writing samples and cover letter to be considered for this internship.

Please note that the next step is the video interview!","https://www.linkedin.com/jobs/view/externalApply/2494145570?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3D8ba54a19dbd8%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8aadebadfeddbgddcfadf8ddffdd7aadcfade3aeccdc8fec3ddcg3e&urlHash=15sc&refId=655a9f9b-8dc2-4024-80d7-e50810bdfc9a&trackingId=1%2BFq1LMNlmY3INNicO8mjA%3D%3D&trk=public_jobs_apply-link-offsite",0.0015696875974079726,
4,"Brand Marketing Intern (Summer 2021)","Electronic Arts (EA)","Redwood City, CA","Brand Marketing Intern

Location: Redwood Shores, CA

Electronic Arts Inc. is a leading global interactive entertainment software company. EA delivers games, content and online services for Internet-connected consoles, personal computers, mobile phones and tablets.

We are EA

We entertain millions of people across the globe with the most amazing and immersive interactive software in the industry. But making games is hard work. That’s why we employ the most creative, passionate people in the industry.

The Challenge Ahead

As a Brand Marketing intern will be a core team member of the group responsible for the development, execution and measurement of the integrated omni-channel, consumer-facing global marketing plan, with a focus on building player relationships and delivering on commercial goals worldwide.

Responsibilities

What a Brand Marketing Intern does at EA:
Assist in directing global consumer-facing marketing: Support the Marcom Activation team in planning and executing consumer-facing marketing across all channels
Coordinate compelling player journeys in line with the Franchise Story: integrated across owned and partner channels, to drive player acquisition and compelling engagement that is locally nuanced and globally cohesive, to deliver on commercial goals
Connect marketing activation with product and business deliverables: Organize and track campaign performance data delivered by Marketing & Consumer Insights team; help ensure KPIs and data points are ready for all beats
Project Management: Manage day-to-day progress on channel activations including creative ideation, and content plans to ensure projects stay on story, on budget and on time
Deliverables
Marketing Campaign Coordination: Accountable for leading the creation of global omni-channel marketing activation plan inclusive of multiple channels – both owned and partner – and aligned to business objectives and strategies.
Brand Marketing Initiatives: Accountable for contributing to the development of breakthrough global marketing programs applicable to all channels and markets.
Drive Rhythm of Business: Ensure cohesive communication and collaboration with key stakeholders.
Establish Project Management Process: Develop a process to track the progress and performance of all initiatives.

The Next Great EA Brand Marketing Intern Also Needs

Core Competencies
Adaptability: Embrace change and help others adjust. Modify approach according to context. Actively seek to become comfortable in new environments or roles.
Collaboration: Share expertise and resource to help others. Include all who can contribute to a successful outcome. Stay engaged even when not in full agreement.
Dependability : Takes personal responsibility for the quality and timeliness of work and achieves results with little oversight.
Results Focus & Initiative : Focuses on results and desired outcomes and how best to achieve them. Gets the job done.
Attention to Detail: Diligently attends to details and pursues quality in accomplishing tasks.

Requirements
Excellent English oral and written communication skills
Excels at establishing and fostering strong internal and external relationships
Strong interest in all areas of marketing to coordinate integrated omni-channel consumer-facing campaigns
Ability to execute effectively across a variety of projects at the same time
Ability to take direction, be solution driven and manage priorities with self-sufficiency with remote team members
Familiarity with (or willingness to learn about) video games and EA games","https://www.linkedin.com/jobs/view/externalApply/2438709119?url=https%3A%2F%2Fea%2Egr8people%2Ecom%2Fjobs%2F164569%2Fbrand-marketing-intern-summer-2021%3Fsid%3D4&urlHash=UOC1&refId=7c20886c-1614-4f96-9af1-fa20c87ebfd8&trackingId=lme2lM0SlN4%2B6b%2Fk%2FlPQLQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0012586304883495866,
