Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
32,"Photo Studio Intern","amika","New York, NY","Do you want to work in a cool, young, predominantly female-driven beauty company?

Are you passionate about the beauty industry?

Are you a self-learner who is looking for an amazing opportunity?

If this sounds like you, here’s your perfect job!

Sense Studio, the creative agency under Heat Makes Sense, is a full-service, in-house design and production team supporting all product development, marketing, and communications for amika, Eva NYC, and PYT. We are responsible for managing photo/video, print, digital, product/packaging design, visual merchandising and tradeshow projects with special focus on delivering a coherent and consistent visual brand message across any and all productions.

Sense Studio is seeking a photo intern to join our Brooklyn team. This position will work closely with our in-house photographer and creative department to help produce and execute photo and video shoots for our brands amika, Eva-NYC, and PYT. Our studio intern will have hands on experience working with a small team in a photo studio environment.

Sense Studio is an incredibly vibrant and fun workspace where enthusiasm for hair, beauty, and the creative process reign supreme. Our company ethos reflects a hardworking and down to earth mentality that truly shines through in all our staff. Possessing the ability to work hard under pressure in an outstandingly fun environment is key.

Suitable candidates will be available 3 days a week. This internship is a paid opportunity.

Responsibilities
Assist the photographer and producer in carrying out photo/video shoots for digital, social media, and print advertising
Maintain and manage cleanliness of studio and sets including floor and backdrops, equipment, wardrobe/props, and digital
Support the photographer as photo assistant and digital technician in all aspects to ensure efficiency in shoot production
Support client and craft services
Set up and maintain lighting based on directives from the photographer
Equipment pick up/drop off
Trouble shoot camera issues as needed
Keep record of lighting set ups
Support pre-production, production, and post workflows including prop sourcing, asset organization, and general assistance
Assist with post production processing (retouching, exporting, resizing)
Keywording for digital asset management through Webdam
Administrative and clerical duties such as expense reporting and transporting products


Qualifications
Photo/art or related bachelor’s degree or in the last year of pursuing a degree in photo/art related subjects
Strong proficiency with Mac OS, Microsoft Office, Adobe Creative Suite, Canon cameras, Profoto lighting equipment, and Capture One Pro
Creative sensibility with an interest in photo/film, haircare, and beauty
A shared appreciation for our mantra: look good, feel good, do good!
Creative problem solver

Please feel free to share additional resources when applying - we are interested in seeing your blog, portfolio, Instagram, etc.

So why should you work with us?

Heat Makes Sense, Inc. is a fast-growing hair care/tool manufacturer based out of Williamsburg, Brooklyn, that’s been providing fun, performance-driven products and tools to professional stylists and consumers since 2009. Our products are carried by salon professionals and retailers worldwide. You’ve seen amika in Birchbox, Sephora and in your high-end salon (check amika out: loveamika.com) and you’ve seen Eva-NYC in Costco, Target and Urban Outfitters (check eva out: eva-nyc.com). We know we owe a lot of our success to our office culture and embracing a family-like work environment.

Unlike most other companies, we create everything in-house. Our product development team takes an idea for a tool or shampoo and tests a bunch of different versions (employee participation encouraged!). Next, it goes to our design team to create our unique packaging and marketing materials and then on to operations to get produced. From there, marketing, sales and ecommerce take the reins to get it out into the world. All along the way, we have our executives, accounting and HR/Admin departments to make sure the company itself is running smoothly (we still have hiccups but we’re getting there!) No matter what part of the company you work, you have an impact on the company as a whole, which inspires a team mentality.

“Work hard play hard” may be cliché but it’s really what we believe in. We have company events throughout the year, big and small: from going to the bar for happy hour to a field trip to Coney Island (we love our home of Brooklyn). We have an amazing rooftop where we BBQ during the summer and we have a Summer Friday event calendar.

Here are some quotes from real employees to tell you about who we are:
“Great products, great ideas, fun environment, great employees, capable and caring management, and endless opportunities for growth and development.”
“A warm and encouraging atmosphere.”
“Relationships between co-workers are extremely important here, which makes the overall experience of going to work very pleasant.”
“Hard work is recognized.”
“I feel lucky to be a part of a brand that is on an upward path—it is a very exciting time.”
“Lots of fun events where you spend time and get to know coworkers outside the office, overall my team felt like a family, and that’s rare in the workplace.”
“Super supportive management that really lets you have a voice and listens to your input and ideas.”
“What I like most about the company is the encouragements to grow your career. All of the brand presidents and most other people in leadership roles were here from the beginning and moved up to where they are now. Its inspiring and exciting - the company is truly serious about empowering and elevating people’s careers.”

Ready to apply?

Please click the link that will bring you to our careers page through Greenhouse. Submit a cover letter describing yourself and why you’d be the perfect fit along with your resume.","https://www.linkedin.com/jobs/view/externalApply/2497135013?url=https%3A%2F%2Fapp%2Egreenhouse%2Eio%2Fembed%2Fjob_app%3Ftoken%3D4987464002&urlHash=QtWw&refId=a1f80d45-8b43-40b3-9b8f-f440454e2593&trackingId=%2FwTX%2FmnnZwk2BUZHdCAeTg%3D%3D&trk=public_jobs_apply-link-offsite",0.004704464489314264,
31,"Retail Marketing Intern (virtual internship)","TaylorMade Golf Company","Carlsbad, CA","The Retail Marketing internship opportunity will s upport in the delivery and implementation of a Visual Merchandising Plan, including in-store graphics, in-store communications and visual merchandising plan that fulfills the overall goals and objectives of the marketing and product strategy.

Essential Functions & Responsibilities
Create in-store communication package and visual merchandising guide to drive clear consumer journey in-store, highlighting product features, statements and increase sell-through overall and in strategic product lines
Build 2022 plan for window graphic implementation considering the different hardware systems, space, markets, consumers etc.
Coordinate Retail planning calendars for all retail marketing activities including advertising, ISC, in-store events, promotions and ongoing campaign execution
Craft proposal for marketing new store openings with launch activities and traffic-driving initiatives
Research and create best practices deck of launch materials, sales/influencer kits offerings, events, and competitive overviews

Knowledge Skills Required
Passion, interest, knowledge of golf strongly preferred
Excellent verbal and written English communication skills
Proficient in Microsoft Suite (Word, Excel, Outlook, PowerPoint)
Strong analytical, reasoning, problem-solving and decision-making skills.
Ability to work across teams and manage priorities to accomplish multiple tasks
Strong presentation skills
Retail and/or Visual Merchandising educational focus / experience is preferred

Education/Work Experience

Undergraduate, completed junior or senior year of Bachelor's Degree in Marketing

TaylorMade Golf Company is an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, religious creed, color, national origin or ancestry, physical or mental disability, medical condition, genetic information, marital status, sex, pregnancy, gender, gender identity, gender expression, age, sexual orientation, military and veteran status or any other basis protected by federal, state or local law, ordinance, or regulation.","https://www.linkedin.com/jobs/view/externalApply/2473953422?url=https%3A%2F%2Ftaylormadegolf%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2Ftaylormadegolf%2Fjob%2FCarlsbad-California%2FRetail-Marketing-Intern--virtual-internship-_R0000909%3Fsource%3DLinkedin&urlHash=qevG&refId=a1f80d45-8b43-40b3-9b8f-f440454e2593&trackingId=jEHb7HODXohf8Udv1KQG4A%3D%3D&trk=public_jobs_apply-link-offsite",0.02199496771113036,
43,"Merchandising Intern","Northern Tool + Equipment","Burnsville, MN","Description

Northern Tool + Equipment is excited to announce our 2021 Internship Program!

The program is designed to kick-start your career and provide real-world experience in your chosen profession. For this position, we’re currently searching for an intern to join our Merchandising department!

In this role, candidates will further develop their skills and knowledge by completing project-based work that addresses real business issues. The program will connect participants with management at various levels of the organization and provide an inside view of Northern’s environment and culture. You will also be assigned a specific project that will not only maximize your potential but add great value to our company!

Some Of The Responsibilities Will Include
Researching markets and competition
Assembling and presenting competitive analyses to department leaders
Assisting in building a durable market review process
End of program presentation to members of the management team

What You Can Expect From Us
10-week paid summer internship
Meaningful project work that will provide value to you and the organization
Assigned mentor to work with you one-on-one
Interaction with other interns
Exposure to Northern’s leadership team
Cross functional exposure and interaction

What We Are Seeking In An Intern
Junior or Senior pursuing a Bachelor’s degree in Business, Communications or Marketing
Curious, self-motivated individual who likes to tackle complex questions and provide clear answers
Strong analytical skills, as well as strong written and oral communication skills
Enjoys taking diverse information sources and synthesizing into clear, concise summaries

For more information on Northern Tool + Equipment and to be considered for this internship opportunity, please submit your resume through our website at www.northerntool.com/careers.

Northern is an equal employment opportunity employer and is a drug-free workplace.","https://www.linkedin.com/jobs/view/externalApply/2477107472?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fnortherntool%2Fjob%2Fob0OefwX&urlHash=L24Q&refId=a1f80d45-8b43-40b3-9b8f-f440454e2593&trackingId=ROIoeBNU7P%2FD9nt62wWdDQ%3D%3D&trk=public_jobs_apply-link-offsite",0.02407227019106696,
29,"Merchandising Summer Intern","Scrubs & Beyond, LLC","Illinois, United States","Company Overview

Scrubs & Beyond is the #1 medical apparel retailer in America with 115 stores in 31 states and one of the largest scrubs-based ecommerce businesses. S&B also operates stores under the Uniform City and Life Uniform banners.

In addition to stores and ecommerce, S&B also competes as a designated provider of scrub-based apparel programs to healthcare systems.

S&B opened its first store in 2000 and is privately held.

For more information visit the website at www.scrubsandbeyond.com.

A DAY IN THE LIFE...

The Retail Merchandising Summer Internship program gives a glimpse in the day in the life of a specialty store merchant. This hands-on role will provide meaningful work experience and broad exposure to the buying, planning, and allocation teams. In addition, as an intern this summer you will be an integral part of the team as we prepare for an Omni Channel systems conversion.

You will…
Perform weekly business analysis and reporting to support the Merchandising team.
Work cross-functionally with Digital Merchandising team as needed.
Manage data and data entry for upcoming system conversion.
Coordinate product style-outs and organize samples.
Attend Product Meetings and keep up-to-date on the latest in industry fashion.

THIS IS FOR YOU IF...
You’re graduating from college in 2021, 2022, or 2023.
You don’t mind data entry... we all do it!
You have basic experience with Microsoft Office Suite (Excel, Outlook, Word, etc.)
You thrive in a fast-paced environment thanks to your adept organizational skills and ability to quickly learn new processes and procedures.
You have great communication and follow-through skills.
You’re eager to launch your career in retail management, planning, or buying.

WHEN WILL THIS POSITION OPEN?
Our internship program will run from mid-May through mid-August of 2021.
A FEW MORE IMPORTANT POINTS...

This job posting highlights the most critical responsibilities and requirements of the job. However, there may be additional duties, responsibilities and qualifications assigned at any given time as both the business dictates and the functions of the job changes.

Scrubs & Beyond, LLC does not pay for relocation for this internship.

By applying, you agree to our Scrubs & Beyond, LLC policies and procedures.

Scrubs & Beyond is deeply committed to the principles of equity, diversity, and inclusiveness. We recruit, hire, train, compensate and promote without regard to individual characteristics.","https://www.linkedin.com/jobs/view/externalApply/2465856756?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3D3fb732b698e2%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdddaada7adecdd9ddddfdde8adefddaadd7fdd83aebcdcefec3ddcg3e&urlHash=q_LN&refId=a1f80d45-8b43-40b3-9b8f-f440454e2593&trackingId=FB3M3vTGw8YCPtGrBjpKqA%3D%3D&trk=public_jobs_apply-link-offsite",0.012708524452811665,
11,"Merchandising Intern","Bulgari","New York, NY","BVLGARI is looking for a Merchandising Intern to join or Merchandising Team! This role primarily focuses on product merchandising, while supporting visual merchandising execution of assortment strategies. Learn skills such as retail math, preparations for production launches, market analysis, merchandise distribution and allocation.

Primary Duties & Responsibilities
Pull reporting for sales, update data and templates for selling recaps, and other analysis
Manage excel assortment plan and pull together all product set up information
Creation and maintenance of tools for internal and external product presentations
Gain understanding of retail merchandising organizations and processes
Prepare necessary materials for milestone meetings
Expand business knowledge of US product marketplace and current trends in the Jewelry & Watch industry
Support the department's visual merchandising on the site with a primary focus on the 5th avenue flagship location
Respond, research inquires/issues from stores relating to customer service questions
Participate in ad-hoc projects and initiatives as necessary
 Qualifications
Merchandising or relevant major/minor
Strong computer skills, such as MS Office Excel (VLOOKUP, Pivot Tables), PowerPoint and Word. Should be confident working with numbers
Team oriented individual with strong interpersonal, organizational and administrative skills
Detail oriented individual with creative skills and ability to problem solve
Ability to work under pressure & meet fluctuating deadlines (Flexibility a must)
Entrepreneurial spirit and energy
Proven ability to work independently and multi-task","https://www.linkedin.com/jobs/view/externalApply/2478385626?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fcrocscorporate%2Fjobs%2F5185338002%3Fgh_src%3D375cdffe2%26s%3DLinkedIn%26source%3DLinkedIn&urlHash=4fyi&refId=9611182f-ebf8-422e-8f2b-227b545209e3&trackingId=vgGwZ6ic5SsAlhH16zk5tA%3D%3D&trk=public_jobs_apply-link-offsite",0.029863585472296235,
55,"Marketing Intern","Pure Fishing","Columbia, SC","Pure Fishing is THE global leader in the fishing tackle industry, with a portfolio of iconic brands that includes Abu Garcia, Berkley, Fenwick, Fin-Nor, Hardy, Penn, Pflueger, Shakespeare, SpiderWire, Ugly Stik, and Van Staal. Our team of industry-leading experts and our global network of operations and innovation hubs produce world-class products designed to delight our customers and exceed the needs of anglers worldwide.

But fishing to us is not just about business, it is about time shared with family and friends, time on the water, excitement, and the environment. We are a passionate team dedicated to creating memorable experiences by helping anglers everywhere have more fun catching more fish.

We have opportunities for a very limited number of summer interns on our Marketing team, providing great experience in:

Marketing Communications
Trade shows: Manage logistics, coordinate pro anglers, competitor intelligence gathering and tracking
Consumer engagement programs: Create strategies and tactics to drive branding opportunities with specified demographic targets
Pro angler support: Provide product management, budget tracking, and contract support
Media/PR: Support production launches via seeding programs and sampling
Digital
Digital Content: Asset curation and tagging, video shoot/production support, product copy creation and editing
Social Media: Content support, data collection and analytics, consumer engagement programming
Product Category Management
Field marketing: Conduct field visits to gather intelligence on merchandising, distribution presence, local/regional pro angler tie-ins, pricing, competitive SKU assortments, etc.
Regional Pro Angler support: Create and drive regional marketing tactics at the local level
Category growth strategies: Following an in-depth competitive benchmark and market analysis, develop a strategy to grow sales and profitability
Targeted market strategies: Develop a strategy and framework for deploying the strategy to develop our relationship and business with key growth demographics
Consumer insights: Understand and develop strategies around emerging consumer insights
Retail presence & experience: Develop a strategy and recommendation for improving the in-aisle presence of our brands within major retail customers
Packaging: Provide a situation analysis & recommendations on how to improve communications via product packaging

Successful Internship Applicants Will Have
Passion; for people and teams, for business and marketing, and for the great outdoors (ideally, fishing)
Positive attitude and a high-energy presence with the ability to engage with cross-functional teams
Excellent verbal and written communication skills
Willingness to take on new challenges, learn, and apply new-found knowledge

These internships are based out of our headquarters in Columbia, SC and will last approximately 8-10 weeks. These opportunities offer a base pay rate of $16 per hour.

Apply Now

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number 63879. Message & data rates may apply. Please refer to our privacy policy for more information.","https://www.linkedin.com/jobs/view/externalApply/2488564252?url=https%3A%2F%2Fpure-fishing%2Etalentify%2Eio%2Fjob%2Fmarketing-intern-columbia-south-carolina-pure-fishing-215%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGozeGNzMixlcHJvNjA3MTMwZDA3MWI4MzQwMjY4ODEyOQ&urlHash=JlWD&refId=cec8bccc-5e6b-42bf-9c62-f6721471cd60&trackingId=eCJJwYOP8MOtHGyHFJGt7Q%3D%3D&trk=public_jobs_apply-link-offsite",0.005769097639982382,
48,"Merchandising Intern","KAAPA Ethanol Holdings, LLC","Kearney, NE","KAAPA Ethanol Commodities, LLC is looking for a customer service driven team player for our summer Merchandising Intern. This position’s primary duties include growing our customer base, calling customers, and engaging in the logistics with sales and purchases. Must have strong communication and analytical skills with the ability to multi-task. Experience with Microsoft Office preferred. Please apply online at kaapaethanolcommodities.com, send your resume to hr@kaapaethanol.com or call 308-455-4190 ext. 3014 with questions. EOE/Drug Testing Required","https://www.linkedin.com/jobs/view/externalApply/2445689838?url=https%3A%2F%2Fwww%2Ekaapaethanolravenna%2Ecom%2FAbout%2FEmployment-Opportunities%3Fgnk%3Djob%26gni%3D8a7887ac77dab2610177f87cc8a821c3%26gns%3DLinkedIn%252BLimited&urlHash=NspD&refId=a1f80d45-8b43-40b3-9b8f-f440454e2593&trackingId=tkKP4m9G1JoMDVqadbpayA%3D%3D&trk=public_jobs_apply-link-offsite",0.1636345239226644,
37,"Trend Intern","Vera Bradley","Roanoke, IN","Expand Trend/ Concept department by maintaining digital archive (Office 365) and Brand Persona Dashboards by category.

Assist Concept/Trend Director on expanding digital archive
Weekly compilation of Trend Flash
Assist in creation of Persona Dashboard by product category
Schedule monthly Trend Flash Live for Cross functional teams
Assist in day-to-day management of trend materials
Research key business categories/ report out as needed
Other Misc trend functions as needed

Ideal candidate will be a self-starter who is able to adapt to a fast-paced role while working independently.

Minimum Junior academic standing pursuing a Design, Marketing/Branding, or Merchandising degree with extensive skills in Adobe InDesign, Illustrator and Photoshop.

Experience in Office 365 and interest in branding is a plus.

Equal Opportunity Employer/Vets/Disabled

Vera Bradley is an Equal Opportunity Employer and Affirmative Action Employer. For more information, please click the following links:

Vera Bradley's Equal Employment and Affirmative Action Policy

Equal Employment Opportunity is The Law (in English)

Equal Employment Opportunity is The Law (in Spanish)
Equal Employment Opportunity is The Law (Supplement)

Pay Transparency

E-Verify Participation Poster (English)

E-Verify Participation Poster (Spanish)

Right to Work Poster (English)

Right to Work Poster (Spanish)

If you need a reasonable accommodation for any part of the employment application process, please send an e-mail to applicationassistance@VeraBradley.com . Please include the accommodation you are requesting and your contact information. Reasonable accommodations are considered on a case-by-case basis. Please note that only inquiries concerning a request for reasonable accommodation and other EEO/Affirmative Action issues will be responded to from this e-mail address.","https://www.linkedin.com/jobs/view/externalApply/2446050989?url=https%3A%2F%2Fverabradley%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2Fvbcareers%2Fjob%2FCorporate-Headquarters---Roanoke-IN%2FTrend-Intern_R010258&urlHash=2rYr&refId=a1f80d45-8b43-40b3-9b8f-f440454e2593&trackingId=G9pmTjhdeqjB18But5DKTw%3D%3D&trk=public_jobs_apply-link-offsite",0.00621269929905282,
59,"Intern Trainee","Anthony Inc","Conyers, GA","At Anthony, a Dover Company, we are a team, and every team member contributes to our vision: To enhance people’s lives through safe and efficient merchandising technologies. For over 60 years, our products have been part of the critical path of the food chain that starts with the farm and ends with your family consuming fresh, safe and healthy foods. We are leading our industry by Innovating What’s Next in glass doors and intelligent merchandising technologies that keep food safe.

As food delivery and technology converge, now more than ever, each employee at Anthony is a critical link in the chain that allows food to successfully reach consumers every day. New ideas and new innovations are fueling Anthony’s future. We seek individuals who are positive, accountable, results driven and great managers of self to join us in the quest for innovation. Anthony offers a blend of a small company atmosphere with the benefits of large company scale, tools, and career opportunities. We are committed to recruit, develop and retain top talent - join our team today!

POSITION SUMMARY:

Our goals with the engineering intern program is to effectively recruit highly qualified students by offering challenging and attractive work assignments, where students learn and work real projects on teams with other engineers and designers. We often rotate students through the various areas within Product Engineering, such as CAD Design, engineering of vehicle components and systems, test and development as well as our Advanced Concepts group. We offer opportunities primarily in mechanical and electrical engineering fields. It's also possible to have rotations in our Manufacturing Engineering group as well.

SPECIFIC RESPONSIBILITIES:

Duties will include, but not limited to:
2D/3D drawing of customer layouts
Completion of CAD training and other training on TSV systems and processes.
Completion of assigned tasks to assist in the design and development of various mechanical or electrical systems, such as: vehicle frame, steering, suspension, axles, drivelines, seating, roll cages, body panels, lighting, electrical harness and electrical system design, circuit board design, microprocessor programming etc..
Work within defined project timelines to complete tasks according to project schedule.
Revise/review and create Functional Specifications
Revise/review and create Engineering Design Standards
Develop design packaging layouts.
Creating test and analysis plans for product validation.
Perform tolerance studies on components and assemblies.
Development and release of engineering component, assembly drawings and vehicle bills of material.
Incorporate Geometric Dimensioning and Tolerancing (GD&T) on engineering drawings.
Resolve and document design issues found during testing.
Participate in cross functional design reviews and Design for Assembly (DFA) and Design for Manufacturing (DFM) Assessments on Components & Assemblies.
Perform Finite Element Analysis (FEA) on Components & Assemblies for stress, thermal etc.
Follow TSV product development process and methods for tracking project status and open issues.
Frequent contact with other functional areas within TSV and outside suppliers

Required Skills
Ability to complete projects in a timely manner, within budget and minimum supervision
Dynamic self-starter with ability to handle multiple projects in a high paced work environment.
Software Skills Desired
CAD experience
Visual Basic or other programming languages
Engineering analysis software, such as Matlab
Microsoft office products

Qualifications

GPA above 2.5 minimum

PHYSICAL DEMANDS

Typical manufacturing office environment. Primarily office setting but trips to manufacturing floor as required.

Some travel may be required as needed for projects.

All qualified applicants will receive consideration for employment without discrimination on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, age, genetic information, or any other factors prohibited by law.","https://www.linkedin.com/jobs/view/externalApply/2468988902?url=https%3A%2F%2Fcareers%2Edovercorporation%2Ecom%2Fjob%2FConyers-Intern-Trainee-GA-30013%2F660061401%2F%3FfeedId%3D234201%26utm_source%3DLinkedInJobPostings%26utm_campaign%3DDover_Linkedin&urlHash=ZtlT&refId=cec8bccc-5e6b-42bf-9c62-f6721471cd60&trackingId=9OP3iKBNSxTd%2BFdTPiQ6Nw%3D%3D&trk=public_jobs_apply-link-offsite",0.005389096231664378,
14,"Merchandising Operations Intern","thredUP","Suwanee, GA","About ThredUP

In 2009, thredUP set out to make used clothes the new normal and create a more sustainable future for fashion. The company designed a modern resale experience that took the work and risk out of thrift, and converted a generation of secondhand skeptics to fans. Sellers send clothes directly to thredUP by the bagful, and buyers shop quality-checked items from over 35,000 brands at steep discounts. To power this marketplace, thredUP built an infrastructure that has recirculated 100 million unique garments via proprietary technology, data and logistics. thredUP most recently expanded its platform with Resale-as-a-Service (RaaS) to power resale for the world’s leading fashion brands. As a circular fashion pioneer, thredUP is reducing fashion’s impact on the planet and unlocking economic value for consumers and brands alike.

About Our Internship Program

As a thredUP summer intern, you will be given a firsthand glimpse at what it’s like to work at the world’s largest fashion resale platform. During the 10 week program, you will tackle projects alongside our world-class team, with the opportunity to make a real impact on thredUP’s business. Our paid internships are ideal for ambitious students or recent grads who thrive in ambiguity, like a good challenge, and want a jump start on their career development. Oh, and who want to help inspire a new generation of consumers to think secondhand first.

About The Internship

The Merchandising Operations Intern will work with our Suwanee, GA Merchandising Operations team and report to our Merchandising Operations Manager. You will be immersed in the planning and execution of social and content marketing on thredUP’s owned organic social channels, e.g. TikTok and Instagram as it relates to our recycling program. We want someone who will challenge us to test new concepts and surface up insights and improvements around our content and Merchandising Operations campaigns. If you are detail-oriented, flexible, curious, hyper organized, a strong communicator with high standards, then we’re looking for you! You will thrive in this internship if you are passionate about style, sustainability and challenging the fashion and retail status quo. We highly encourage this candidate to have had prior experience in circularity, sustainability, resale or a similar field or role.

What We Offer

At thredUP, we value infinite learning. As an intern you’ll have the opportunity to learn about our forward-thinking business and collaborate with our talented team.

We also believe that each person should help drive the business. As an intern, you’ll be encouraged to speakUP, think big, ask questions and seek the truth, and help influence outcomes for our business and customers.

You’ll have the opportunity to work with passionate and supportive team members who encourage new ideas, feedback and collaboration.

We have a talented leadership team that encourages transparency and they will support you in maximizing your internship experience.","https://www.linkedin.com/jobs/view/externalApply/2474114197?url=https%3A%2F%2Fwww%2Ethredup%2Ecom%2Fp%2Fcareers%2F37f42580-da03-4ff8-a817-42c48b8d3d36&urlHash=rEqX&refId=9611182f-ebf8-422e-8f2b-227b545209e3&trackingId=8Ahboyga0M7dU3NcdKfM4w%3D%3D&trk=public_jobs_apply-link-offsite",0.005572056046906384,
