Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
97,"Canton Innovation District Media and Marketing Intern – Summer 2021","JumpStart Inc.","Canton, OH","About JumpStart Inc.

JumpStart is a non-profit venture development organization whose mission is to unlock the full potential of entrepreneurship to transform entire communities and our vision is to collaborate with partners to generate dramatically improved and inclusive economic outcomes by supporting diverse entrepreneurs, optimizing entrepreneurial ecosystems, and accelerating innovation.

Key to JumpStart’s success is its ability to leverage the skills, experience and creativity of its inspired team to transform entrepreneurial aspirations into actions with measurable impact. JumpStart leaders and teammates take great pride in JumpStart being a highly demanding yet incredibly fun place to work.

Position Summary

During April – September 2021, the Canton Innovation District Intern will learn about Northeast Ohio’s entrepreneurial community in extensive detail by working closely with the Canton Innovation District Community Manager, the JumpStart Cleveland Team, and local stakeholders. The Intern will gain experience in nonprofit marketing, events, outreach, and programming by assisting with event development and execution, engaging with clients of diverse backgrounds through multiple channels, and creating compelling social media content. While supporting the Community Manager, and working alongside the other Innovation District Intern, additional responsibilities may include general office administration as well as communication and scheduling assistance. This intern will be working remotely with occasional days in the Canton office and trips within Stark County.

During the 6-month internship, the intern will be expected to work around 15-20 hours each week. Pending funding availability, the internship may be extended to the 2021-2022 school year.

Enthusiasm, flexibility, and a strong desire to learn are very important qualities for the Canton Innovation District Intern; the Intern should not be afraid to make mistakes and should enjoy working in a constantly changing, fast-paced environment.

Essential Job Functions
Online Event Coordination & Implementation – to support the Community Manager and major events in Canton, the Intern will communicate with the Marketing Team on at least a biweekly basis and may be needed to provide the following event assistance:
Scheduling speakers, panelists, judges etc.

Communicating event details with participants across many communication channels

Coordinating day-of event logistics
Execution and Coordination of In-person events should the need arise during the summer
Content Development & Social Media Promotion – the Intern will be involved with the creation of event programming and marketing content. To engage with our audience and promote our events in Stark County, the Intern will post mostly event-related content to social media platforms that may include Facebook, Twitter, Instagram, and LinkedIn. The Intern may also need to help develop content for incoming media and news requests.
Required Qualifications

Education, Training and/or Experience

Recent college graduate or currently enrolled graduate or undergraduate student majoring in marketing, communications, business management, or another business-related field.

Candidates with other majors that can demonstrate experience with virtual event support, communication with diverse audiences, and social media marketing are also encouraged to apply.

Skills And Abilities

Ability to attend virtual functions/events (days/evenings) as an intern representative of JumpStart and potentially transition to in-person should the need arise

Ability to occasionally work from the Canton Innovation District HQ or on-site Stark County locations

Strong passion for Entrepreneurship!

Self-driven, high-energy individual with willingness to meet and exceed expectations

Sense of initiative, can work well with minimal direction

Great decision-making skills

Ability to prioritize and manage multiple projects at one time

Proficient communication skills

Creative problem-solver

Strong work ethic

Desire to learn

Significant attention to detail

Ability to remain poised, patient and calm in challenging and unique event situations

Knowledge and experience using Microsoft Office

Knowledge and experience using Social/digital media sites

Preferred Additional Qualifications

Portfolio of marketing work including social media activity and/or event execution

Current student who lives and/or goes to school in Stark County

Prior experience with nonprofits, events and communications is helpful

Decision Making Responsibilities

At the direction and discretion of the Canton Innovation District Community Manager and the JumpStart Marketing Department

Direct Reports

N/A

Physical Demands/Working Conditions

Primary working location: remote through August, 2021. Potential to work from 309 Court Ave NW, Canton, OH 44702 during the summer

Reliable transportation will be required if we go back to working from 309 Court

Occasional work outside normal office hours

Ability to lift 25lbs

JumpStart’s Core Values and Key Cultural Behaviors

Accountability: Act to deliver on commitments and generate results, and if expectations aren’t clear, ask

Entrepreneurial: Embrace opportunity, continuous improvement, and change, and contribute to the solution as we evolve

Equity: Committed to corrective action regarding historically underserved and underrepresented populations through entrepreneurship and innovation

Energy: Address our work with focus, grit and enthusiasm

Collaboration: Collaborate with others to play our most helpful role(s) and to increase effectiveness

Humility: Balance self-assurance with listening to understand, having an open mind, and demonstrating patience

JumpStart’s Definitions for Diversity, Inclusion, and Equity

Diversity: A measure of psychological, demographic, physical, and social differences occurring among any and all individuals in a specific group; including but not limited to racial identity, ethnicity, nationality, religion, socioeconomic status, education, marital status, language, age, gender identification, sexual orientation, culture, developmental ability, and learning styles.

Inclusion: The act of promoting and maintaining an environment in which diverse groups of individuals are welcomed, respected, supported, valued, and empowered. An environment prioritizing differences and offers respect and acceptance in the words/actions/thoughts of all people.

Equity: An acknowledgment and understanding there are historically underserved and underrepresented populations, and corrective action regarding these unbalanced conditions is needed to eliminate barriers and guarantee equality in the provision of fair treatment, access opportunity, and advancement in the provision of effective opportunities to all groups.

Emphasis Statement: Historically, African Americans, Latinx people, and women have been economically disenfranchised and disconnected from innovation and entrepreneurship. For these reasons, we place an emphasis on these populations as we work to diversify our culture and be inclusive in our daily interactions and decisions.

JumpStart’s Operating Style: JumpStart team members are expected to be:

Honest: We speak the truth, plainly and simply, kindly and considerately. We will challenge you as we seek to accomplish great things. And we hope you will do the same with us.

Responsive: We respond rapidly to your inquiries and actively communicate so we are all on the same page.

Resourceful: We will be creative and efficient in helping you to access relationships, contacts and other resources to help you succeed.

Insightful: We will provide the knowledge and insight about entrepreneurship and innovation you aren’t able to easily get from others

This position description is not intended to be a complete list of all responsibilities, duties or skills required for the job and is subject to review and change at any time, with or without notice, in accordance with the needs of JumpStart. Since no position description can detail all the duties and responsibilities that may be required from time to time in the performance of a job, duties and responsibilities that may be inherent in a job, reasonably required for its performance, or required due to the changing nature of the job shall also be considered part of the jobholder’s responsibility.

Reasonable accommodations will be made to enable individuals with disabilities to perform the essential functions. JumpStart Inc. is an Equal Opportunity Employer and offers competitive salary & comprehensive benefits (medical, vision, 401k, paid vacation).","https://www.linkedin.com/jobs/view/externalApply/2468168981?url=https%3A%2F%2Fjumpstartinc%2Esecure%2Eforce%2Ecom%2Fcareers%2Fts2__JobDetails%3FjobId%3Da1h1W000002PitGQAS%26tSource%3D&urlHash=VJt9&refId=879d869e-8c19-49ca-93e5-2f3559bbb7e3&trackingId=hex5SzOEUfh7zAoZ6cydPA%3D%3D&trk=public_jobs_apply-link-offsite",0.0020648544905735866,
132,"Community Outreach Intern","Mercado Global","Anywhere","Classification: Part time or Full-time

Location: Remote, Brooklyn, NY or Panajachel, Guatemala
Position Description

The Community Outreach Intern will be a part of the Mercado Global Community Outreach Team at our Brooklyn or Guatemala office or remotely. The Community Outreach Intern will gain broad exposure to non-profit management and fundraising, including development operations, donor communication, grant-writing, social media, event planning, logistics, donor visits, and research.

This position will report to the Development & Marketing Manager that is based in Guatemala. Start dates flexible. This position requires a minimum commitment of 3 months and can be either full or part-time. Unpaid but academic credit is available if intern is a current student.
Responsibilities
• Assist in development and implementation of donor communications
• Conduct donor and conference research
• Assist in writing grant proposals-Help maintain donor database
• Assist with aspects of event planning and logistics
• Assist with planning for donor trips and visits to Guatemala
• Support and implementation of social media and MG Blog
Requirements
• Current or recent college graduate from an accredited four-year institution, graduate students also welcome
• Demonstrated interest in non-profit development and international work
• Excellent organizational skills and extreme attention to detail
• Excellent written and verbal communication skills
• Knowledge of database management preferred
• Understanding of social media preferred
• Ability to exhibit tact and diplomacy in a confidential environment
• Ability to work in a high-pressure environment and balance competing demands and priorities
• Experience using DonorPerfect and Constant Contact a plus
• Proficiency in Microsoft Office programs including Word and Excel
• Enthusiasm for Mercado Global's mission
• Flexibility, drive and a sense of humor

How to Apply

Please send cover letter and resume to jobs@mercadoglobal.org. Please indicate “Community Outreach Intern” in the subject line of your email","https://www.glassdoor.com/job-listing/community-outreach-intern-mercado-global-JV_IC1132200_KO0,25_KE26,40.htm?jl=3667482236&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.03245371830812639,
25,"Events Intern - NJ","Autism Speaks","Princeton, NJ","This internship will provide an opportunity to gain valuable event planning experience. As a member of the development team, the intern will have the opportunity to play a role in planning and execution of the New Jersey Area Events. Area Events include Walks, Chef Gala and a Virtual 5k. At the end of this internship, the Events, Intern will have working knowledge of key event skills, including developing event timelines, planning processes, and community outreach which he/she will be able to translate into future career opportunities.

The Events Intern reports to the Area Executive Director of Field Development. The ideal candidate should be looking to gain experience in Non-Profit Special Events for future work and must be eligible for academic credit only. The intern will receive necessary training and staff supervision. We require a commitment of approximately 15 hours/week for 10-12 weeks during the Summer 2021 Semester. Intern must be located in NJ, preferably in or around the Princeton area.

DUTIES:

Assist with event logistics and work closely with Area Executive Director and Manager of Field Development
Assist in organizing event and chapter donations
Play a key role in donor and volunteer outreach and stewardship
Help to build database and compile lists of food stores and companies in conjunction for a Point of Sale Campaign
Assist with research and outreach for in-kind donations
Assist with prospecting NJ schools and corporate sponsors for Fall Walk
Provide administrative support and perform other job-related duties as assigned
QUALIFICATIONS:

Pursuing a bachelor’s degree.
Able to receive class credit
Commitment to a flexible work schedule of 15 hours per week during standard business hours and occasional evenings and weekends
Previous event planning and fundraising experience a plus, not a must
Superior organizational and communication skills
Strong attention to detail and a demonstrated ability to take initiative
Excellent customer service skills in dealing with internal and external constituents
Must have the ability to work with a team
Proficient in Microsoft Office applications
Some heavy lifting (30lbs) required.
CORE COMPETENCIES:

Building Collaborative Relationships
Professional Behavior
Results-Driven
Customer Orientation
Flexibility
You are responsible for protecting the confidentiality, integrity and availability of all Autism Speaks data and information to which you have access.

Autism Speaks is proud to be an Equal Opportunity Employer and is committed to fostering a diverse, multicultural, and inclusive workplace. We recruit, evaluate, employ, and promote candidates without regard to race, color, religion, age, gender identity or expression, protected veteran or military status, disability or other legally protected status. Qualified individuals with disabilities are encouraged to apply for job openings. Reasonable accommodations will be provided. All qualified applicants are encouraged to apply.

Powered by JazzHR

rbm7apYGrL","https://www.linkedin.com/jobs/view/externalApply/2494919521?url=https%3A%2F%2Fcareers-festfoods%2Eicims%2Ecom%2Fjobs%2F19754%2Fcommunity-involvement-outreach-intern-%2528pr%2529%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=WRDZ&refId=fe8b6bce-6ef4-4810-88a6-19e4aa3f7c85&trackingId=Ne2DUbpdFrzv4Y0QYBfQKQ%3D%3D&trk=public_jobs_apply-link-offsite",0.012651398602497893,
39,"Social Media and Marketing Intern","Selah Freedom","Sarasota, FL","Selah Freedom is a national organization providing education and training throughout the country, as well as teen prevention, outreach, and safe housi... Job Summary

The Social Media and Marketing Intern is responsible for educating the community by identifying sex trafficking and solutions.

Essential Duties And Responsibilities

Help with online shopping/shipping orders
Email/Newsletter/Blog creation
Create social media post/ads
Update collateral
Learn about volunteer process and introduce improvements
Learn about development
Learn and improve upon event process (community booths)
Conduct speaking engagements and create written materials
Set up events/volunteer activities
Other duties as assigned

Education and/or Experience

Actively pursuing a Bachelor’s degree or higher.

Social Media Experience, Required.

Graphic design experience, preferred.

Clean driving record, preferred.

Physical Demands

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is frequently required to stand; sit; use hands to finger, handle, or feel; reach with hands and arms; and talk or hear.
The employee is occasionally required to walk; climb or balance; and stoop, kneel, crouch, or crawl.
The employee must frequently lift and/or move up to 10 pounds and occasionally lift and/or move up to 25 pounds.
Specific vision abilities required by this job include close vision, and ability to adjust focus.
In the performance of the duties of this job the employee is required to travel (frequency), drive a motor vehicle, communicate using telephone and e-mail.

Work Environment

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The noise level in the work environment is usually moderate.

Work Schedule

In person or remote. 10-15 hours per week. Some work may involve nights, weekends, or after hours. Employee will receive proper notice beforehand.

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number 63879. Message & data rates may apply. Please refer to our privacy policy for more information.","https://www.linkedin.com/jobs/view/externalApply/2488570508?url=https%3A%2F%2Fselah-freedom%2Etalentify%2Eio%2Fjob%2Fsocial-media-and-marketing-intern-sarasota-fl-selah-freedom-43433%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGozdmZhMSxlcHJvNjA3MTMwZDA3MWI4MzQwMjY4ODEyOQ&urlHash=xg0T&refId=fe8b6bce-6ef4-4810-88a6-19e4aa3f7c85&trackingId=Vgsus2i6KyOu7MvlfdsohA%3D%3D&trk=public_jobs_apply-link-offsite",0.0027753263148348447,
64,"Community Water Education Intern","North Carolina State University","Raleigh, NC","Posting Number

PG191353TM

Position Number

06MBB26

Position Type

Temporary

Essential Job Duties

The purpose is to conduct outreach that increases awareness of watershed issues and solutions, and expands use and benefits of outdoor spaces to community surrounding the Walnut Creek wetlands in SE Raleigh. Work will center on a green stormwater infrastructure improvement project at Biltmore Hills Park.

The intern will be part of a nationwide group of undergraduate students working in marine and coastal research, outreach and education. The internship program is designed for students from underrepresented and indigenous communities. Learn more about the National Sea Grant Community Engaged Internship for Undergraduate Students here: https://seagrant.noaa.gov/Community-Engaged-Internship

Is Time Limited

No

Job City & State

Raleigh, NC

Department

Water Resources Research Institute

Classification Title

Temporary- Professional Non-Faculty

Working Title

Community Water Education Intern

Work Schedule

24 hours per week. Flexible, with occasional evening meetings and weekend activities.

Primary Job Duties Are

Other Work/Responsibilities:
Develop and deliver culturally relevant environmental education programming and materials (activities, handouts, videos, blogposts, social media) to Biltmore Hills Park visitors and surrounding community members of all ages.
Collaborate with and support other similar efforts of the Walnut Creek Wetland Community Partnership: go.ncsu.edu/walnutcreekwetlandpartners
Minimum Experience/Education

High school degree

Department Required Skills
Strong verbal and written communication skills
A general awareness of ecology, watershed science, or stormwater management
Independent worker
Preferred Years Experience, Skills, Training, Education
Enrolled in an associate’s or bachelor’s degree in biology, communications, design, education, environmental science/studies, natural resources, sociology, policy, or other related field
Experience using social media
Experience or training in educating youth and/or adult audiences
Required License Or Certification

N/A

Valid NC Driver's License required?:
No
Commercial Driver's License Required?:
No

Anticipated Hiring Range

$15 per hour

Job Open Date

03/10/2021

Quick Link

https://jobs.ncsu.edu/postings/141204

Aa/Eoe

NC State University is an equal opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, gender identity, age, sexual orientation, genetic information, status as an individual with a disability, or status as a protected veteran.

If you have general questions about the application process, you may contact Human Resources at (919) 515-2135 or workatncstate@ncsu.edu. Individuals with disabilities requiring disability-related accommodations in the application and interview process, please call 919-515-3148.

Final candidates are subject to criminal & sex offender background checks. Some vacancies also require credit or motor vehicle checks. If highest degree is from an institution outside of the U.S., final candidates are required to have their degree equivalency verified at www.wes.org or equivalent service. Degree(s) must be obtained prior to start date in order to meet qualifications and receive credit.

NC State University participates in E-Verify. Federal law requires all employers to verify the identity and employment eligibility of all persons hired to work in the United States.","https://www.linkedin.com/jobs/view/externalApply/2458884173?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D804%26rx_jobId%3D2108981%26rx_url%3Dhttps%253A%252F%252Fcareers%2Einsidehighered%2Ecom%252Fjob%252F2108981%252Fcommunity-water-education-intern%252F%253FTrackID%253D3%2526utm_campaign%253Dlinkedin%2526utm_source%253Dlinkedin%2526rx_medium%253Dpost%2526rx_paid%253D0%2526rx_r%253Dnone%2526rx_source%253Dlinkedin%2526rx_ts%253D20210411T153951Z&urlHash=cXNL&refId=41f7f374-df6f-4e01-b499-40cd2eaef602&trackingId=eHzQ9tjwbKQrinHL1lMaTQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0046119213417500134,
59,"Volunteer: Executive Intern - Outreach","BLACK","Evanston, IL","We Organize for Knowledge and Empowerment #WOKE

Community Outreach Intern is a person who wants to improve his or her community. The Intern lives in the community where he or she will help the residents. Their responsibilities include the overseeing of Community Resources and all kinds of activities. The Intern gets involved with community affairs and helps residents who are in need. Being a community outreach worker gives the Intern the opportunity to reach out to the grassroots level of people and make a difference in their lives. The residents interact with each other and socialize with the Intern. Educational programs are organized for the benefit of the residents.

The Intern has the power to influence choices and behavior in the community. Relationships are developed through one-on-one interaction. It is important for the Intern to be able to plan, develop, implement, and evaluate community programs. With the many fields that an Outreach Intern can engage in, it is the Community & Faith-Based nonprofit organizations, and local businesses, schools and political offices including health departments that are most well known. In this kind of work, flexible work hours are needed and hard work is required of the community outreach worker.

Since the Intern adapts to the lifestyle of the community that is served, the candidate needs to be open-minded about other people’s way of life. Depending on the duration that the Intern needs to spend in a certain community, the candidate has to be prepared physically and emotionally in dealing with a new group of people. It is important for the community members to trust the Intern. With trust as the foundation, the community members can open up about their need for programs that can improve their lives.

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good.","https://www.linkedin.com/jobs/view/externalApply/2475060416?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp3308002%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=M6uh&refId=d0294690-52e0-49f2-ab04-cde5f41a56e4&trackingId=PxFIkXyk0s3MansBwRvUcg%3D%3D&trk=public_jobs_apply-link-offsite",0.007004079726877827,
83,"Children's Mental Health & Wellness Intern (Unpaid)","Family and Children's Association","Mineola, NY","Children's Mental Health & Wellness Intern (Unpaid)

Program Summary

The Children's Mental Health & Wellness Division offers an array of services and supports designed to promote the health and wellness of children and their families. Services are for individuals up to 21 years of age with or who are at risk of developing a mental health diagnosis and are always free, voluntary, family-driven, strength-based, and culturally competent with location and scheduling tailored to each family's needs. Services are usually home and community based but can also occur in the office or any other site comfortable for the child and/or family.

Primary Responsibilities Include

The student intern will provide individual planned respite and/or pre-vocational services to clients ages 5-21 and be required to complete documentation, i.e., progress notes, treatment plans in order to be in compliance with State, County, Agency and Program regulations. They will also gain experience in case management services, i.e., researching community resources, shadowing staff on home visits, as well as experience conducting program outreach in the community. A valid NYS driver's license with a safe and responsible driving history and ability to conduct home and field visits is required. When the intern has to drive clients, the program will provide an agency vehicle.

Qualifications And Requirements Include
Junior or senior level undergraduate student seeking social work, psychology, or related degree OR 1st Year MSW student
Valid New York State driver's license with a safe and responsible driving history
Vehicle that is properly registered and insured by New York State and is available for use to conduct home/field visits


Schedule
Opportunity available during the 2021/2022 Academic School Year (Fall 2021 and Spring 2022 Semesters)
14 - 21 Hours Weekly
Weekdays 10am - 6pm or 11am - 7pm (based on client need) and some weekends if possible
Blended work (Both remote and on-site assignments)


Supervisor Credentials
MA, Mental Health Counseling
LMSW, SIFI Certification

<","https://www.linkedin.com/jobs/view/externalApply/2450871922?url=https%3A%2F%2Fde%2Ejobsyn%2Eorg%2Fe3b30eed07cc47c280d1dcc2606da6d55073&urlHash=kUeC&refId=41f7f374-df6f-4e01-b499-40cd2eaef602&trackingId=2baMeIAcQ7W14kJSyUwOXQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0031049806169570777,
90,"Community Outreach Intern","AARP","New Brunswick, NJ","Business Unit Description

State & Community Engagement (SCE) enables AARP to be a nationwide organization, which strengthens our capacity to carry out our mission. The SCE team includes 53 states and territories across 6 regions with regional management, the Office of Volunteer Engagement, the Office of Community Engagement (including the National Retired Teachers Association (NRTA) AARP’s Educator Community), and the Legal Counsel for the Elderly (LCE).

Summary

Interested in learning how to make positive social change? AARP works to strengthen communities and promote the issues that matter most to families, including health and financial security. AARP NJ has an immediate need for a Community Outreach Intern to work this summer and through December 2021. This is a great opportunity to work closely with AARP leadership, community partners, and volunteers to directly contribute to AARP NJ’s local community impact strategy and work. As an intern, you will apply strategic, analytical, and creative thinking to help create and drive positive social change in the communities we serve.

On any given day, you could be supporting volunteer recruitment and training efforts, creating presentations and communications collateral to engage volunteers and communities, participating in virtual community stakeholder meetings and partner forums. We’ll challenge you to think and work in new ways. We are committed to your growth and will cultivate your continued learning and development.

Responsibilities

On an average day, you will be
Strategic
Apply innovative thinking and problem-solving to community impact work and challenges
Analytical
Contribute to data analyses and write-up of findings
Creating Designs
Create visual presentations of evaluation processes and results
Duties include
Develop in-depth knowledge of issues; gather information and research topics
Develop presentations, collateral materials, and talking points for community engagement events
Highly active in volunteer engagement including recruitment, training, and supporting volunteer-led projects and programs
Create content and manage the distribution of bi-weekly volunteer newsletter
Create content for NJ specific online forums
Interact with members, volunteers, and the public at virtual events and public forums to share AARP information and resources
Providing logistical support before, during, and after AARP local/virtual events
Attend and participate in community stakeholder meetings and forums
Other duties as assigned
Requirements

Prospective interns must be currently enrolled in a degree program at an accredited college or university; be considered rising undergraduate juniors or seniors, graduate students, or post-doctoral students; and remain academically enrolled throughout the internship.

AARP also considers non-traditional interns who are looking to re-enter the workforce or change careers. This may include those who have previously graduated from college and enrolled in a continuing education program.

Compensation And Benefits

Bilingual Spanish speaking preferred, but not required.

Internships are non-exempt positions and are not eligible for employee benefits.

As a result of the COVID pandemic, all interviews will be held virtually and all non-essential employees will continue to work remotely until further notice.
Equal Employment Opportunity

AARP is an equal opportunity employer committed to hiring a diverse workforce and sustaining an inclusive culture. AARP does not discriminate on the basis of race, ethnicity, religion, sex, color, national origin, age, sexual orientation, gender identity or expression, mental or physical disability, genetic information, veteran status, or on any other basis prohibited by applicable law.","https://www.linkedin.com/jobs/view/externalApply/2482883890?url=https%3A%2F%2Fwww%2Eapplytracking%2Ecom%2Fx%2Easpx%3Fmethod%3Ddirect%26type%3Dapply%26board%3DD92FCD45-1292-4AE2-B555-D7A273418B42%26Job%3D12461164%26ClientCode%3D11778&urlHash=Glol&refId=879d869e-8c19-49ca-93e5-2f3559bbb7e3&trackingId=BgPYUHFGEUflxV6HDSKtVw%3D%3D&trk=public_jobs_apply-link-offsite",0.013419519222267393,
77,"Provider Network Process & Contract Intern (Summer 2021)","Anthem, Inc.","Brooklyn, NY","Description

SHIFT: Day Job

SCHEDULE: Full-time

Your Talent. Our Vision. At Beacon Health Options, a proud member of the Anthem, Inc. family of companies, it’s a powerful combination. It’s the foundation upon which we’re creating greater access to care for our members, greater value for our customers and greater health for our communities. Join us and together we will drive the future of health care.

For more than 30 years, Beacon Health Options has changed the way people live with behavioral health conditions. Today, we are the undisputed leader in behavioral health management, serving 37 million people across all 50 states. At Beacon, our mission is to help people live their lives to the fullest potential. Beacon offers superior clinical mental health and substance use disorder management, a comprehensive employee assistance program, work/life support, specialty programs for autism and depression, and insightful analytics to improve the delivery of care.

The Network Provider Process & Contract Intern will work with a cross-functional team to enhance process flows that will allow for network growth, eliminate provider abrasion, and allow for an increase in access and availability. This position will have an impact on the provider contracting experience at the initial onset with Beacon.

ALL INTERNSHIPS WILL BE VIRTUAL FOR SUMMER 2021

Primary Duties To Include, But Not Limited To
Develop and Implement Process Improvement Initiatives that allow for increased efficiency for new provider enrollment and enhance processing time of new provider applications
Responsible for working events in New Provider Enrollment Portal (NPEP), and process accurately and timely to adhere to all metrics and targets.
Work in collaboration with Network Managers on new business initiatives and assist in outreach and research to develop Network Strategies to meet implementation goals
Work with cross-functional Network team as needed on special projects that will drive corporate business strategy
Research state-specific contracting requirements and policies and provide support on developing specific workflows as needed

Functions for this Intern: Process Improvement, contract management, market growth

Qualifications
Pursuing a Master's in Business Administration, Healthcare Management or other business-related majors preferred
Advance computer skills, with an emphasis on PowerPoint and Excel
Highly proficient in analytics, communication, leadership, and presentations
Project management experience preferred
Must be available to work a 40-hour workweek for 10-12 weeks summer 2021
Must be enrolled fulltime at an accredited college or university during internship

Anthem, Inc. is ranked as one of America’s Most Admired Companies among health insurers by Fortune magazine and has been named a 2019 Best Employers for Diversity by Forbes. To learn more about our company and apply, please visit us at careers.antheminc.com. An Equal Opportunity Employer/Disability/Veteran. Anthem promotes the delivery of services in a culturally competent manner and considers cultural competency when evaluating applicants for all Anthem positions.","https://www.linkedin.com/jobs/view/externalApply/2419747675?url=https%3A%2F%2Fanthemcareers%2Ettcportals%2Ecom%2Fjobs%2F6158052-network-contract-administrator-intern-summer-2021%3Ftm_job%3DPS42454%26tm_event%3Dview%26tm_company%3D2522%26bid%3D56&urlHash=WHdt&refId=41f7f374-df6f-4e01-b499-40cd2eaef602&trackingId=rJZVvIgrxcU2iSs2OL4IUw%3D%3D&trk=public_jobs_apply-link-offsite",0.0032850282649901858,
32,"Interns and Alumni","NGO Sustainability","Norwalk, CT","NGO Sustainability promotes development by hosting meetings with guest speakers at the United Nations, New York, on such issues as: greenhouse gas emissions (GHG), green technology, sustainable development, renewable energy, climate change, chemical and water management, environmental governance, food security, and population growth issues.
NGO Sustainability, Inc. offers opportunities for interns and associates who want to be involved in global sustainable development, renewable energy, and women’s empowerment issues.

Experience, Connections, Learning

Throughout the course of the year, selective groups of bright, hard working college and graduate students volunteer their time to NGO Sustainability. They help running every aspect of the organization, from drafting reports on UN events to aiding meetings of our staff with top business people and ambassadors in the world of sustainable development.

Interns and associates get intensive experience with the United Nations. They organize events and often attend relevant UN sessions with Roma Stibravy, President and Founder of NGO Sustainability, Inc.

Their work helps build connections while raising awareness and promoting sustainability. Their contributions are critical to meeting mission and using resources for direct service.

Associates

Post-graduate students and experienced professionals also join our team for special projects or as longer term advisors.

Internships

NGO Sustainability seeks a dynamic, self-starter to assist in its outreach, research, and awareness-raising efforts. This unpaid position is a unique opportunity to attain knowledge of current advancements in the field of sustainable development while learning about the inner workings of a nonprofit organization. The intern will also become familiar with how the United Nations deals with the UN Sustainable Development Goals (SDGs), and will attend and report on relevant meetings at the United Nations and local organizations.

Responsibilities Include
Synthesis articles, prepare and distribute newsletters, to a mailing list of 1,000+ subscribers.
Maintain correspondence with NGO Sustainability’s mailing list, and responding to inquiries via email and telephone.
Coordinate meetings with innovators, entrepreneurs, and UN ambassadors.
Organize and facilitate conferences at the United Nations.
Administrative duties, such as filing, making phone calls, gathering materials.
Research current literature on sustainable development and renewable energy.
Manage website and social media accounts, including Facebook, Instagram, and Twitter.
Contact local, state, federal and international officials working on these issues.



If interested, please send your resume and cover letter to ngosustainability@gmail.com for consideration.



Academic Credit

Students may coordinate with their schools to receive academic credit for their experience.","https://www.linkedin.com/jobs/view/externalApply/2463111184?url=https%3A%2F%2Fcleanenergysocial%2Ecom%2Fjobs%2FInternship%2FInterns-and-Alumni%2F3384&urlHash=XllN&refId=fe8b6bce-6ef4-4810-88a6-19e4aa3f7c85&trackingId=khz%2BEPSQtGaQ%2FygNDBYh0w%3D%3D&trk=public_jobs_apply-link-offsite",0.003363601937623694,
