Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
214,"Tournament Operations Intern - Summer 2021","Ripken Baseball","Myrtle Beach, SC","Summary

As a successful Tournament Operations Intern, you will learn how to assist with all phases of tournament operations at the Ripken Experience in Myrtle Beach, SC. We will work with your school to help you get required college credits for your successful completion of the program.

Required Skills

Responsibilities:

As our Tournament Operations Intern, you will learn how to:
Assist the staff with the execution of ten week-long youth baseball tournaments at a world-class facility
Serve as a Tournament Official - PA Announcing games, serving as a rules consultant, and providing customer service to our guests at a designated field
Assist with team registration, opening ceremonies, and skills competitions each Sunday
Perform basic grounds crew duties such as field work, filling water coolers, and clean-up duties
Convey and maintain a high level of professionalism at all times while providing extraordinary external and internal customer service
Absorb training and demonstrate the initiative, desire, and drive to help uphold the values established by the Ripken name and brand, working with staff to achieve objectives effectively and efficiently while providing a once-in-a-lifetime experience for participants


Required Experience

Qualifications:

We Require
Prior work experience in customer service environment
Prior Baseball experience (playing or coaching)
An outgoing, friendly personality and excellent communication skills, strong initiative, and high-energy
Strong detail-orientation, with ability to problem-solve
Good time-management skills
Ability to work from early June - mid August. Work Schedule will vary; nights and weekends will be required based on business needs
A passion for sports and someone working toward an educationally-focused college degree
What's in it for you: As an Intern with our organization, you will benefit by:
Learning 'The Ripken Way' how to operate one of the best baseball tournaments in the nation, from those who have created and implemented the standards and practices
Working for one of the most respected names in the game of baseball
Gaining knowledge of and training in management, additional responsibility, and working independently when assisting with tournament operations
Showcasing your potential for future employment within our multi-faceted organization


Special Physical Requirements of the Job/Working Conditions: You may be required to lift up to 70 lbs., may be exposed to dust/dirt at the complex, and may be exposed to extreme hot temperatures.","https://www.linkedin.com/jobs/view/externalApply/2385706379?url=https%3A%2F%2Fripkenbaseball%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D216401%26company_id%3D15994%26version%3D1%26jobBoardId%3D3345&urlHash=V0GG&refId=6b3a4d6f-6dcb-48e7-a685-827bec9644e3&trackingId=ADbCw0jIN0PydY%2Fiwzw%2BwA%3D%3D&trk=public_jobs_apply-link-offsite",0.002230304042245719,
40,"Investor Relations Operations Intern","SoFi","San Francisco, CA","Description

Position at SoFi

Who we are

SoFi is a digital personal finance company whose mission is to help its members achieve financial independence to realize their ambitions, whether that be to buy a house one day, start a family on their own terms or be debt free. We aim to be at the center of our members’ financial lives, and to help every member Get Their Money Right®. By joining SoFi, you’ll become part of a forward-thinking company that is transforming financial services by embracing technology to build innovative loan products, investment tools, and more. One of the fastest growing fintech companies, we’ve grown from 250 employees in 2015 to over 1,500 employees today, and are well on our way to reaching 1 million members. With offices across the US, we offer the excitement of a rapidly growing startup with the stability of a seasoned management team and some of the best talent around. As an employer, we strive to hire employees who are committed to both our company’s mission and our desire to build the best culture in the world. If you are driven, passionate about what you do, and excited about the SoFi mission, we would love to hear from you.

The role

SoFi is seeking an Intern, Investor Relations Ops. You will develop and scope current investor reporting with third parties and internal tools, make recommendations and implement streamlined versions of reporting.

What You’ll Do
Work with external vendors and internal servicing staff to complete monthly reporting for investors.
Streamline the report for SoFi’s many funding and deal partners including investment banks, investors, rating agencies, lawyers, and auditors
Collaborate internally with product, finance, credit, and capital markets to provide a Loan Operations perspective into the business strategy processes
Project manage and escalate issues on behalf of our investors and regarding process, systems, and operations, demonstrating the ability to execute

What You’ll Need
Advance relationship management building skills and experience.
Ability to enhance revenue and market share through effective use of relationship management skills and problem-solving
Ability to react to change quickly and implement new processes & procedures
Work independently with professional demeanor

Why You’ll Love Working Here
Mentorship Program
Social Events
Fully stocked kitchen (snacks & drinks)
Experience SoFi's dynamic & fast-growing environment
Valuable experience to prepare you for future roles in FinTech, entrepreneurship, startups, or your preferred function
Lunch Stipend
Relocation assistance

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

SoFi does not seek salary history information from job applicants

SoFi provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion (including religious dress and grooming practices), sex (including pregnancy, childbirth and related medical conditions, breastfeeding, and conditions related to breastfeeding), gender, gender identity, gender expression, national origin, ancestry, age (40 or over), physical or medical disability, medical condition, marital status, registered domestic partner status, sexual orientation, genetic information, military and/or veteran status, or any other basis prohibited by applicable state or federal law.","https://www.linkedin.com/jobs/view/externalApply/2382441182?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fsofi%2Fjob%2FoUKwefw8%3F%2526s%3DLinkedIn%26__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=_STw&refId=d019d24a-0cd7-46c1-8e1e-ce8b6c403dac&trackingId=QQPHa6F27Sde8XZBhitE1g%3D%3D&trk=public_jobs_apply-link-offsite",0.004614170192347827,
42,"Operations Intern, On Deck Labs","On Deck","Myrtle Point, OR","Operations Intern / Remote / Operations / Full-Time

TL;DR: Fast-growing early-stage startup seeking Operations Intern. In doing so, we’ll empower the most ambitious people in the world to build the future. Details below!

About On Deck

On Deck is where ambitious people grow, together.

On Deck is where the world's top talent comes to connect. Whatever it is our fellows want to do next, our ever-growing community and action-oriented programming will help them get there—fast. If our fellows want to learn something new to up-level their career, launch and scale big ideas, or make lifelong friends, this is the place.

Role Overview

Punchline: We're looking for all-star operations interns to help our Program Directors launch and run our new Fellowship programs .

You may have seen, we're launching a lot of new Fellowship programs ! :) Each one becomes a critical piece of the interweaving flywheel of products we're building at On Deck.

When considering launching new programs, we ask ourselves: does this make the broader On Deck ecosystem stronger, where the whole is greater than the sum of its parts?

For every program we've launched thus far, we see the potential for it to become a multi-million dollar business line.

We're looking for operations interns to help our Operations Generalists and Program Directors bring their programs from 0 to 1.

Responsibilities

Programs don't happen without the Operations team executing on every last detail — that's where you come in.

You’ll work directly with a Program Director from On Deck Labs, the Operations Generalist, and Regina Gerbeaux (Head of Fellowship Operations) on all things operations-related.

On this team, you'll work on the program structure, events & opportunities we offer to Fellows.

We’re looking for a force of nature; someone who will do whatever it takes — both strategically & tactically — to make a massive positive impact on our fellows' lives.

This is an incredibly exciting role, with lots of opportunities to learn, get your hands dirty, take on lots of responsibility from Day One, and bring something from a mere concept into a full-fledged profitable business unit.

The team is growing extremely fast, so you'll get an inside seat at a company in rapid scaling mode.

As such, we're also looking to hire for these roles ASAP. If you're ready to move fast, so are we. Let's chat.

Who You Are
High output, execution, and hustle – an ability to own all operations, and an eagerness to dive into the nitty-gritty
Passionate about startups & constantly learning about tech.
Thrives in a fast-paced, often scrappy, sometimes chaotic environment.
Natural community-builder – understands the long-game, and how to cultivate positive-sum value.
Has a strong spirit of service, where you think first how you can give rather than take, and always seeking opportunities to support Fellows to the max of your ability.
Serious about inclusion and creating a safe & welcoming space for all members of our community.
Meticulously detail-oriented and organized – able to juggle many priorities while not dropping any balls.
Great interpersonal skills, charisma, and enjoys building new relationships.
Strong communication skills - verbal, written and presentation.
Our team lives and breathes Slack & Zoom — our fellowships' central gathering places are a highly active Slack community & a lively calendar of Zoom events. We're looking for team members who are comfortable with both tools or can ramp up quickly. Other tools you should be familiar with or ready to ramp up on include Zapier and Airtable.

What You Will Do
We treat interns the same as full-timers and give you an immense amount of autonomy, responsibility and impact.
You will work on everything Ops including:
Fellowship Programming Calendar — everything from designing the experience to booking guests to hosting interviews).
New events & initiatives — design & launch experiments to help fellows work together, learn from each other, and connect).
Sweat the small stuff — ensuring we give fellows & speakers a highly professional experience with every last detail prepared, from intro email to thank-you message.
Event execution — manage all event logistics, communications, and details with a strong attention to detail.
Build dozens (maybe hundreds) of new relationships, connections, and an experience that is truly one-of-a-kind connecting top technology Founders & Investors with Fellows from around the world.
You'll work within our no-code stack to set up automations, infrastructure, and landing pages for new programs (we'll help you learn, if you aren't already familiar)
Create the conditions such that each Program Director is set up to create incredible new Fellowships, while also ensuring Fellows have a mind-blowing experience, unlike any other community they've ever been part of.
Assist Program Director in coordinating with the tech ecosystem at large to provide world-class programming and mentorship – building relationships with fellows, guest speakers, event partners, and more.
Ultimately, ensuring fellows have a mind-blowing experience unlike any other community they've ever been part of.
The Labs team will be here for you. Any question, any ask, any meeting, anything you need — we will block time to make it happen.

Why Might Excite You About Us
We’re tackling a big problem with even bigger potential. Participants in our existing Fellowships say great things about us .
You’ll be able to work remotely and (mostly) set your own schedule. On Deck was a remote-first team even before COVID, so we know what makes for a great remote environment.
You'll have a lot of flexibility in your role, and will be able to help define what our operations infrastructure looks like going forward.
We're backed by a who’s who of the biggest names in the venture investing world, including Village Global, Keith Rabois, Balaji Srinivasan, Bloomberg Beta, and so many more. (Read more about our fundraise and 50-year vision here .)

Why you might *not* be excited about us:
We are still a fairly young company with about 100 people, so if you like more established companies, this role isn’t for you. You'll help create our company's culture.
We're an early stage startup. Projects and priorities are likely to shift.
Everyone on the team is extremely mission-driven, and works incredibly hard to push towards our lofty ambitions. Most people won’t be cut out for it.
You should be comfortable with just a dash of chaos. This is not the kind of job where you show up and we tell you exactly what to do every day.
On Deck is an unabashedly pro-startup, pro-tech organization. If that’s not your thing, this isn’t the place for you.

Location, start date and compensation:

This is a paid, full-time internship for 3 months. Start date is flexible, but we prioritize folks who are ready to start ASAP.

Our team works remotely, but you will have to be available to work on U.S.-friendly hours, which may be difficult from Europe or Asia.

Our program includes some weekend and evening events, which you would be expected to attend.

You would start as soon as possible.

Important

Please note, the application questions are the most important part of this application. We will be reviewing them closely to determine who will move on in our hiring process. Please answer thoughtfully and take your time.

Summary

In summary, On Deck may not be the place for you if

If you were to join On Deck, we'd want you to love it. We also know that it can be hard to tell from the outside looking in whether that would be the case for you. So, we challenged ourselves to develop an honest set of reasons someone wouldn't want to join our company . We hope it helps you make an informed decision about whether On Deck is a place you'd love to work.

Another company's mission gets you way more fired up.
You want a 9-5 job.
You do your best work in highly-structured, steady-paced, and meticulously-planned environments.
You like finding and poking holes more than you like filling them.
You see differences as divisions.

You can read the details of why On Deck may not be the company for you on our Non-Values page .

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number 63879. Message & data rates may apply. Please refer to our privacy policy for more information.","https://www.linkedin.com/jobs/view/externalApply/2483999384?url=https%3A%2F%2Fon-deck%2Etalentify%2Eio%2Fjob%2Foperations-intern-on-deck-labs-myrtle-point-oregon-on-deck-c87b4e42-2e7d-4bee-8c36-c991e1c714d8%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGozbnExNixlcHJvNjA3MTMwZDA3MWI4MzQwMjY4ODEyOQ&urlHash=tXpR&refId=d019d24a-0cd7-46c1-8e1e-ce8b6c403dac&trackingId=lB%2BnEm%2FSsEBtjwFtu11JuA%3D%3D&trk=public_jobs_apply-link-offsite",0.0010050014800526085,
85,"Intern, Media Operations","Inmar Intelligence","Rogers, AR","Inmar’s media operations team executes, manages, and optimizes all paid digital distribution on behalf of our clients and corporate teams, while continuously building automations and processes to achieve scale and efficiencies in cost and time. We also advise and partner with product groups to enhance, refine, and create ad product offerings for our clients.

The Paid Media Intern assists in the creation and management of ad campaigns. He/she should have: a knack for writing interesting copy, an eye for engaging images, and a curiosity for improving processes. Attention to detail is required for this role, as duties will include coordinating with client services to select ad content, writing ad copy, editing creative assets, and assisting in monitoring live ads. The Paid Media Intern will also have the opportunity to lean in on special projects or requests, so he/she should be adaptable and a quick learner!

From organizing assets to writing engaging copy to daily optimization, the Intern is responsible for assisting the ad strategists in order to meet paid campaign deliverables. S/he should be comfortable handling projects from start to finish, as well as presenting campaign results to a group. Duties will include the planning, creation, and management of client ad campaigns. Strong communication skills and an attention to detail are required as he/she works closely with Client Services teams to ensure deliverables are met.

More Responsibilities In Detail
Develops creative ad elements and writes ad copy
Reviews and approves eligible influencer content to use in ads
Assists in monitoring live ads to ensure efficient delivery
Assists in implementing campaign and category pixel tracking
Provides strategic ideas to Ad Strategist and Paid Media Manager regarding possible tests
Researches and presents ideas for new platforms, ad placements, or creative practices
Assists in process improvement and automation projects

Requirements
Must be able to commit to all 10 weeks of summer internship program
Actively enrolled in a college or university
Rising junior or rising senior preferred
Knowledge of major ad platforms, including Facebook Ads Manager and Google AdWords
Familiar with analytics and tracking tools, such as Excel, Google Analytics, and Google Tag Manager
Strong communication skills, both oral and written
A high level of organization with keen attention to detail
The ability to balance several projects at a time
Experience presenting and defending ideas to a group","https://www.linkedin.com/jobs/view/externalApply/2357706151?url=https%3A%2F%2Finmar%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2Finmarcareers%2Fjob%2FLocal-Office-Rogers-AR%2FIntern--Media-Operations_JY2114929%3Fsource%3DLinkedIn&urlHash=XVx6&refId=fd1527bb-3696-4392-ac05-c8512c56bf48&trackingId=LCWQHI3vM36p0S38bGsTNg%3D%3D&trk=public_jobs_apply-link-offsite",0.005733063568312871,
99,"Park Operations Business Intern","SeaWorld Parks & Entertainment","Williamsburg, VA","Busch Gardens Williamsburg is looking for qualified candidates to join the Park Operations Business Intern Program. Interns selected for this program will have an opportunity to network and gain hands-on industry experience. The objective of our program is to offer interns a comprehensive understanding of the dynamics of theme park operation. Selected candidates are placed in a position within the Park Operations department in either the Ride Operations or Guest Arrival department.

What You Get To Do
Attend seminars held by various departments within the park, including Culinary Operations, Design & Engineering, Finance, Human Resources, Marketing, Merchandise, and Park Operations
Park tours with members of your leadership team
Planned meeting sessions with members of the park’s leadership team
Complete an Internship project where interns work with leaders throughout the park on an assignment designed to improve the park and its operations
Complete an evaluation process throughout the internship period designed to help selected candidates gain real job experience and develop/improve their performance during the entire length of the internship
Interns will have the experience of front-line involvement, overseeing a team of employees and providing guidance and direction to their team as they interact with thousands of guests daily

As a Park Operations Business Intern You'll
Oversee and coordinate the daily activities of all assigned locations
Monitor all assigned locations to ensure safety, Five-Star Service, and cleanliness
Assist with the training of new Ambassadors and ensuring they have the proper training documentation
Maintain safety standards for both Ambassadors and guests
Oversee and coordinate daily assignments for all Ambassadors to include employee scheduling, rotation schedules and break schedules
Monitor budgeted labor and location supplies
Coach and counsel Ambassadors on their performance
Complete all tasks assigned by park leadership in a timely manner

What It Takes To Succeed
Must be currently pursuing a college degree
Commit to working through the 2020 peak operating season (mid May– mid August)
Flexible availability (schedules include nights, weekend and holidays)
Excellent human relations and communication skills
Previous leadership or theme park experience is a plus

The Perks Of The Position

As part of the SeaWorld family, you’ll enjoy a fun, fast-paced environment and great teammates, as well as:
FREE park admission
Discounted park admission tickets and passes for family and friends
Park discounts on food, merchandise, etc.

Join the team!

If you’re looking for the opportunity to make the most of your abilities in a one-of-a-kind setting with an entertainment industry leader, we’re looking for you!

Locations and positions will be based upon applicant qualifications and availability. Leadership positions are limited and promotional opportunities may be available through the summer. This is a paid internship and can be used for credits based on the requirements of your College or University. Please see your school for requirements.","https://www.linkedin.com/jobs/view/externalApply/2437931896?url=https%3A%2F%2Fcareers%2Eseaworldparks%2Ecom%2FApplication%2FGet%2Fabejjfkmpcdocefkgmbh&urlHash=vRuk&refId=fd1527bb-3696-4392-ac05-c8512c56bf48&trackingId=3uH%2FfiwJK97V%2FTZaqrXJoA%3D%3D&trk=public_jobs_apply-link-offsite",0.005047355626145818,
161,"Cyber Operations Intern (Summer 2021)","General Dynamics Ordnance and Tactical Systems","St Petersburg, FL","General Dynamics Ordnance and Tactical Systems is seeking a Summer Cyber Security Intern in our St. Petersburg home office. In this role, you will gain valuable hands-on experience in Cyber Security as well as Information Technology Security. The Cyber Security Intern will be responsible for completing an assigned project(s) under the direction of the Cyber Operations Manager and with assistance from other personnel.

Performs daily tasks to assess, evaluate and recommend guidance for business operations, which supports internal compliance, vulnerability, and risk management oversight for enterprise-wide General Dynamics - Ordnance and Tactical Systems (GDOTS).
Responsible for assessing, auditing, tracking and rating suppliers for compliance against industry standards and regulations as it relates to DFARS 252.204-7012, Covered Defense Information, and Controlled Unclassified information.
Assist with any changes to the internal Cybersecurity for Suppliers SharePoint site or external web page.
Review supplier profiles and make any additional follow ups as directed for all suppliers
Provide support in developing future training aids for personnel and suppliers
Development and reporting of group metrics
Must be currently enrolled or accepted into a 2-4 year accredited college or university or have graduated in the last 6 months with a focus on Cyber Security/Information Technology or any other applicable area of study.","https://www.linkedin.com/jobs/view/externalApply/2491443894?url=https%3A%2F%2Fcareers-gd-ots%2Eicims%2Ecom%2Fjobs%2F12732%2Fcyber-operations-intern-%2528summer-2021%2529%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=Vzpb&refId=7edb4870-84aa-4bd5-8012-aaa7dab4eb6f&trackingId=cwS7q05ASdpH7BB6BtMjNw%3D%3D&trk=public_jobs_apply-link-offsite",0.0010697809199208545,
224,"Operations Supply Chain Intern (Summer 2021)","BAE Systems","Nashua, NH","Job Description

BAE Systems' Electronic Systems (ES) sector is looking for candidates to join our Operations Summer Internship Program starting in the Summer of 2021. We have open intern positions for talented, up and coming Supply Chain and Business professionals who want to work at a progressive company where Operations Excellence and Project Management is highly valued. Our mission is “We Protect Those Who Protect Us” and “We Innovate for Those Who Move the World”, and as an Operations Nontechnical Intern in Electronic Systems, you will develop your skills while helping us protect the brave men and women in our armed forces, intelligence communities and first responders. Our products must work the first time, every time, because people's lives depend on it. In Operations, it is our responsibility to make sure that whatever we build leaves with Zero Defects. As an Operations Nontechnical Intern, you will be working with Operations employees to ensure we are doing whatever is needed to support the build of the products for our warfighter. Currently we have positions where we need interns to support suppliers in delivering material on time, support material flow in our factories, set up Point of Use on the floor to reduce lead-time, or work Subcontracts or Logistics. All of these activities are critical to the success of Achieving Operational Excellence, delivering product on time and supporting our customer.
BAE Systems' Intern Program offers professional development classes, mentorship and opportunities to participate in collaborative group projects that are presented to executive leadership. Through these facets of the internship program, our interns complete the program better prepared to enter the work force as a full time employee. This internship will be located at BAE Systems in Austin, TX, which offers a plethora of networking opportunities, connecting our young professionals to senior leadership. The internship is a paid internship and has a work schedule that includes every other Friday off. Housing is not included with the program. We are looking for hardworking, self-starters who have a willingness to learn and make positive change.
We are looking for Supply Chain, Business, Project Management, Engineering, and Operations Management majors who are hardworking self-starters that have a willingness to learn and tackle challenges.

Required Education, Experience, & Skills

Good Writing Skills
Microsoft Excel
Strong Communication Skills
Understanding of Supply Chain
Experience running a project
Good organizational skills

About BAE Systems Electronic Systems

BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it's what we do at BAE Systems. Working here means using your passion and ingenuity where it counts – defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team—making a big impact on a global scale. At BAE Systems, you'll find a rewarding career that truly makes a difference. Electronic Systems (ES) is the global innovator behind BAE Systems' game-changing defense and commercial electronics. Exploiting every electron, we push the limits of what is possible, giving our customers the edge and our employees opportunities to change the world. Our products and capabilities can be found everywhere – from the depths of the ocean to the far reaches of space. At our core are more than 14,000 highly talented Electronic Systems employees with the brightest minds in the industry, we make an impact – for our customers and the communities we serve. At BAE Systems, we celebrate the array of skills, experiences, and perspectives our employees bring to the table. For us, differences are a source of strength. We're laser-focused on high performance, and we work hard every day to nurture an inclusive culture where all employees can innovate and thrive. Here, you will not only build your career, but you will also enjoy work-life balance, uncover new experiences, and collaborate with passionate colleagues.","https://www.linkedin.com/jobs/view/externalApply/2494092529?url=https%3A%2F%2Fwww%2Ecareerarc%2Ecom%2Fjob-listings%2F39108325%2Fapply%3Fd%3D20210411%26src%3D68%26utm_campaign%3Dli68%26utm_medium%3Dxml%26utm_source%3Dlinkedin&urlHash=w2WP&refId=6b3a4d6f-6dcb-48e7-a685-827bec9644e3&trackingId=Eu%2BbmwBSV%2Fiu9dBc9%2FKQxg%3D%3D&trk=public_jobs_apply-link-offsite",0.012937021168655369,
81,"Operations Intern","Smith & Associates","Houston, TX","Essential Job Duties

Interns will assist in all aspects of Operations, including product receiving and shipment, inventory control & quality testing. Interns will learn how to use vendor required software to test peripherals such as LCD screens, processors, motherboards, memory and hard drives. Each intern will research and execute projects during the duration of their internship, ending with a presentation to senior leaders and executives

Competencies
Candidates must have the ability to work independently, multitask and communicate well in a time sensitive environment.
The candidate must also be detailed oriented, organized, solution oriented and a team player.
Qualified candidates must be a self-starter; results oriented, and have a previous track record of achievement.

Experience
Participation in school or extracurricular activities

Education
Candidate must be pursuing a Bachelor’s Degree and be at sophomore or above standing

Software Requirements
Experience in Microsoft Office

Position Type
Intern

FSLA
Non-exempt

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","https://www.linkedin.com/jobs/view/externalApply/2419068951?url=https%3A%2F%2Fsmithweb%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FSMITH2%2Fjob%2FHouston-TX%2FOperations-Intern_REQ-411&urlHash=E4dW&refId=fd1527bb-3696-4392-ac05-c8512c56bf48&trackingId=7YOco2oyeVYzeHpKeioKjw%3D%3D&trk=public_jobs_apply-link-offsite",0.0010306167253786823,
237,"INTERN - Operations","Crane Co.","Lynnwood, WA","Crane Aerospace & Electronics has a unique and exciting career opportunity for an Operations Intern at our Lynnwood, WA facility.

As an intern at Crane Aerospace & Electronics, you will develop knowledge about the business through exposure to a functional area ( such as Supply Chain, Manufacturing, Engineering, and Lean principles ). You will focus on developing the skills necessary for success by assisting employees with day-to-day job assignments. You may be assigned to additional training or project work. The Company's internship program is intended to provide students from diverse backgrounds with the opportunity to practice business skills learned in school while gaining work experience.

Operations Intern Responsibilities
Assist the Supply Chain Team with projects aimed to reduce costs and past dues, improve on-time delivery, and support the Future Factory Vision
Serve as a project focal for Material Replenishment improvement initiatives:
MRS Implementation events
Creation of MRS Standard Work
Review of material supply types
Analyze cost for savings on direct and indirect material spend
Improve Standard Work for Supply Chain exempt and nonexempt labor


Minimum Requirements

Education & Experience :
Must be actively pursuing a Bachelor's degree in Supply Chain, Business, or a Materials-related field
Recent graduates may also be considered for this temporary intern position
Extracurricular activities, past work experience, and community service will also be factors to be considered
Please provide your GPA on your resume


Skills
Possess excellent verbal and written communication skills
Possess effective interpersonal skills in a team environment
Must be project-oriented and be able to multi-task
Knowledge/proficiency with Microsoft Office applications, including Microsoft PowerPoint
Ability to fulfill a one quarter or semester internship commitment, 40 hours per week


Employment Eligibility Requirement
This position requires access to controlled data or information and therefore only US Persons will be considered. As a US Department of Defense contractor, we are bound by the International Traffic in Arms Regulations (ITAR).


Working Conditions
Working conditions are normal for a manufacturing environment
Manufacturing operations may require the use of safety equipment to include but not limited to: eye safety glasses, gowning, masks, hearing protectors, heel/wrist straps and any other required PPE
May Require lifting 25 lbs


About Crane

Crane Aerospace & Electronics supplies critical systems and components to the aerospace and defense markets. You’ll find Crane Aerospace & Electronics in some of the toughest environments: from engines to landing gear; from satellites to medical implants and from missiles to unmanned aerial systems (UAS).

We are committed to operational excellence and world class processes. We employ Lean manufacturing techniques to optimize manufacturing efficiency and accuracy on all product lines. Our products are known for their technical strength, proven reliability and overall value.

Crane Aerospace & Electronics offers competitive salaries and outstanding opportunities for career growth and development.

In our efforts to maintain a safe workplace, Crane Aerospace & Electronics requires that candidates complete a satisfactory background check prior to employment. FAA sensitive positions require employees to participate in a random drug test pool.

This description has been designed to indicate the general nature and level of work being performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.

Crane Co. is an Equal Opportunity Employer and does not discriminate on the basis of race, color, creed, religion, sex, national origin, marital status, age, sexual orientation, gender identity characteristics or expression, physical or mental disability, pregnancy, medical condition, genetic information, or U.S. military or veteran status or any other characteristic protected under federal, state, or applicable local law, in recruiting, hiring, training and promoting.

Share","https://www.linkedin.com/jobs/view/externalApply/2461101695?url=https%3A%2F%2Fphf%2Etbe%2Etaleo%2Enet%2Fphf01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DCRANEAE%26cws%3D54%26rid%3D9587&urlHash=3yFu&refId=2140617b-2c20-4bff-9040-18256aefd21a&trackingId=DVCUl3dSXlsawsHbTnuqoQ%3D%3D&trk=public_jobs_apply-link-offsite",0.006449354203644834,
13,"Operations Intern","2K","Novato, CA","Who We Are

2K is a leading global developer and publisher of some of today’s most popular games and is most well-known for several of its critically-acclaimed franchises, including NBA 2K, Borderlands, BioShock, Mafia, WWE 2K, Sid Meier’s Civilization, XCOM, PGA TOUR 2K and more.

What We Need

The Operations team at 2K is looking for a driven and intellectually curious intern to help drive key operational projects forward under the supervision of a Senior Project Manager.

What You Will Do
Work collaboratively with your Project Manager and teammates to define and execute projects: develop plans, manage expectations, communicate progress effectively to all involved and deliver results on time
Work closely with your Project Manager and project team to help track major activities and milestones and help organize operations schedules
Help maintain project documentations, perform project research, and assist in data entry tasks
Assist with driving key tasks to completion and escalating when the project is at risk when appropriate
Assist with the game code distribution process for departments
Help prepare weekly project reports to update project stakeholders and leadership of project status
Coordinate and assist with presentations for project initiatives or special projects



Who We Think Will Be a Great Fit
You are enrolled in either a college or university at the time of the internship
Area of interest in Project Coordination/Management and Operations
Familiarity with the gaming market and industry trends
Ability to self-prioritize effectively and being extremely organized
Solid written and oral communication skills","https://www.linkedin.com/jobs/view/externalApply/2494562389?url=https%3A%2F%2Fflite%2Eavature%2Enet%2Fen_US%2Fcareers%2FJobDetail%2FAd-Operations-Intern-Remote%2F3096%3Fsource%3DLinkedIn&urlHash=fjgw&refId=1165ef16-d4bc-43f4-8fd0-65582514378a&trackingId=wNt%2B%2FSLvr6cVF5E9HpNsvg%3D%3D&trk=public_jobs_apply-link-offsite",0.0011685561756805652,
