Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
10,"Product Management Intern - Summer 2021","Box","Redwood City, CA","WHAT IS BOX?

Box is the market leader for Cloud Content Management. Our mission is to power how the world works together. Box is partnering with enterprise organizations to accelerate their digital transformation by creating a single platform for secure content management, collaboration and workflow. We have an amazing opportunity to further establish ourselves as leaders in the space, and we need strong advocates to help us achieve that goal.

By joining Box, you will have the unique opportunity to help capture a majority of this developing market and define what content management looks like for the digital enterprise. Today, Box powers over 99,000 businesses, including 70% of the Fortune 500 who trust Box to manage their content in the cloud.

WHY BOX NEEDS YOU

The Product team at Box plays a very critical role to develop and execute on our product strategy in close partnership with our Engineering and GTM organizations. As a Product Management Intern, you'll be embedded as a member of the Product Team, partnering with product leaders in determining product strategy as well as helping to define the product roadmap.

This role is a great opportunity for a creative thinker, looking for an inside and cross-functional perspective of how supporting functions serve critical roles within an innovation-focused technology company. You will need to be comfortable in a fast-paced startup environment where collaborating across various teams is expected. The role requires a passion for solving ambiguous problems, optimizing processes, and scaling businesses using analytical and general management skills. You must be inclined to think disruptively and not be afraid to question the status quo. Above all, we're looking for someone who's creative and has a can-do attitude, a lot of grit, and a sense of fun.

What You'll Do
Partner with our Product Leaders and create a compelling vision and product strategy
Work on core product features that have direct user impact
Have numerous opportunities to present your ideas and own outcomes
Collect whatever data is necessary to inform product decisions


Who You Are
Currently pursuing a Master's degree or MBA
Familiarity and interest in the discipline of Product Management
Strong analytical and conceptual problem-solving skills
Strong communication and presentation skills
Ability to absorb complex subjects and distill in to an easily digestible form for other team members
“Roll up sleeves and do what it takes” attitude and strong team player that is not afraid to present new, creative ideas
Preferred Skills
In-house experience driving strategy and growth at a SaaS based Enterprise focused organization

Applications will be considered on a rolling basis until filled. The internship will be fully virtual for Summer 2021, due to circumstances with COVID-19.

EQUAL OPPORTUNITY

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We encourage our employees to live by one of our values, bring your ____ self to work, every single day.

For details on how we protect your information when you apply, please see our Personnel Privacy Notice.","https://www.linkedin.com/jobs/view/externalApply/2483603141?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fboxinc%2Fjobs%2F3066664%3Fgh_src%3Dsde78l1&urlHash=ooUp&refId=5927ee34-4375-45e5-8fb9-ecad04076404&trackingId=uhZoXzOsLQ%2BNgXWpAzBzKw%3D%3D&trk=public_jobs_apply-link-offsite",0.0061906619841881165,
27,"","","","","https://www.linkedin.com/jobs/view/externalApply/2457937648?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fnoodle%2Fjob%2FoLhUefwU&urlHash=WI0A&refId=5927ee34-4375-45e5-8fb9-ecad04076404&trackingId=d79uqTXTclnjAD8KoZFfPA%3D%3D&trk=public_jobs_apply-link-offsite",0.002200823338972924,
11,"Product Management Intern, Commerce","The Washington Post","Washington, DC","Job Description

Owned by Jeff Bezos, Arc XP ( https://www.arcxp.com/ ) is a state-of-the-art digital experience platform engineered to meet the demands of enterprise brands and media and entertainment companies around the world. An integrated ecosystem of cloud-based tools, Arc helps create and distribute content, drive digital commerce, and deliver powerful multichannel experiences to both internal and external audiences. Today, Arc powers more than 1,400 sites across 23 countries, reaching over 1.5 billion unique monthly visitors.

Join a team of engineers that build software to meet the needs of The Washington Post, while also making the same software available to other publishers, broadcasters and brands around the world via software as a service.

We are currently looking for a Product Management intern to join us this summer (or sooner!) to help us plan and execute the next phase of the Arc suite. The Product Manager intern will work with our team of Product Managers and Technical Product Managers to evolve Arc’s content authoring and commerce capabilities.

Ideal candidates should be currently enrolled in or have just completed a program in an accredited university or coding/product bootcamp. Computer Science and Business concentrations are highly relevant, but candidates with other backgrounds will be considered, especially if they have startup or other demonstrated entrepreneurial experience.

Eligibility: Due to Covid-19, all internships will be 100% remote this year. However, working from DC or Chicago is a bonus.

The Post strives to provide its readers with high-quality, trustworthy news and information while constantly innovating. That mission is best served by a diverse, multi-generational workforce with varied life experiences and perspectives. All cultures and backgrounds are welcomed.","https://www.linkedin.com/jobs/view/externalApply/2503941463?url=https%3A%2F%2Fwashpost%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2Fwashingtonpostcareers%2Fjob%2FDC-Washington-TWP-Headquarters%2FProduct-Management-Intern--Commerce_JR-90272212-1%3Fsource%3DAPPLICANT_SOURCE-LinkedIn-Sponsored&urlHash=9Ndt&refId=5927ee34-4375-45e5-8fb9-ecad04076404&trackingId=v5LSpFmg2Bu7J%2BI4umWMsg%3D%3D&trk=public_jobs_apply-link-offsite",0.0027451694783117457,
72,"Product Management Intern","Festo","Summit, IL","College student entering junior or senior year.
Aptitude for data analysis needed.
Festo/Fabco product portfolio analysis: how products align & overlap
OBSE Accounts with no FIC: identify and assign FIC to accounts with turnover
Reseller Discount Analysis: collect and organize all price structures for Motion, AIT, and BDI
Sales Action Plan data visibility: evaluating ways to extract data from Sales Action Plans","https://www.linkedin.com/jobs/view/externalApply/2357474289?url=https%3A%2F%2Fwww%2Eretailgigs%2Ecom%2Fjob%2Easp%3Fid%3D1405118672%26aff%3D16AE119E-722C-4962-8098-083243C4FF3F&urlHash=qgOz&refId=fa6aa945-598d-4a54-9e2c-36cca94799da&trackingId=Nth%2B2L89wrw%2FdIK03QpzIg%3D%3D&trk=public_jobs_apply-link-offsite",0.0025774515073139328,
80,"Product Management Intern","Crane Co.","Barksdale, TX","Job Description

Job Title: Product Management Intern

Location: Los Angeles

Reports To: Project Manager- Transportation

FLSA Status: Hourly

INTRODUCTION

Barksdale, founded in 1949, is a leading manufacturer of highly engineered control products. As a subsidiary of Crane Co., a $3B industrial conglomerate, Barksdale has a leading brand position in instrumentation, with focus on General Industrial, Oil & Gas and Transportation end markets. With proprietary technologies, Barksdale’s regulators, pressure switches and electronic instrumentation products have carved a niche for themselves in demanding applications. Supported by strong financial standing, the business is positioned to grow from $60M to $200M in revenue within the next three to five years.

Job Summary

The Product Management Intern will be a key contributor with the primarily responsibility of supporting the Transportation vertical market to build marketing analysis tools to drive process improvement of new product release. This intern will have the opportunity to learn Barksdale’s control product lines and work closely with our engineers and cross functional teams to enable growth and improve business performance (streamline processes and reduce waste).

Key Responsibilities

These responsibilities including projects and other tasks assigned are subject for modifications:
Product Management Tool- Develop tools to enable revenue growth and improve quality for the Transportation vertical; Create valve kit packages/cross reference table to gain Aftermarket share; Create/update “handle directory” to consolidate all information on existing handles to facilitate customization of new products, avoid duplication and to minimize cost; Build a configuration spreadsheet for a specific product that will enable our applications team to easily put together a preliminary bill of material based product feature and available components; Convert old/create assembly prints to current standard to minimize production build errors and improve our overall quality
Process Improvement Tool: Build analysis tools to drive process improvement that will grow profitability through pricing actions and inventory control; Build a forecast model based on customer forecast and historic trend analysis; Develop a pricing analysis model/template based on historic cost, sales price and volume – to output recommendations based on select input by specific customer; Create/update the current “costed bill of material” template using macros to interface with our ERP system to reduce time and improve costing/pricing accuracy for new part numbers for new business opportunities/projects


Professional Experience / Qualifications
Must be currently enrolled in an undergraduate or graduate program, preferably in Engineering, Business, Computer Science or related technical degree
Must possess a GPA of 3.5 or higher
Proficient in Excel
High attention to detail
SolidWorks experience preferred
Ability to read and understand 2D engineering/technical drawings


Compensation

The successful candidate will be paid a competitive hourly wage of $20.00 per hour.","https://www.linkedin.com/jobs/view/externalApply/2401638576?url=https%3A%2F%2Fphf%2Etbe%2Etaleo%2Enet%2Fphf01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DCRANEAE%26cws%3D53%26rid%3D9319&urlHash=jUKz&refId=fa6aa945-598d-4a54-9e2c-36cca94799da&trackingId=hFbeahaCyr%2FH3btAuuiQcQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0025121821653817664,
35,"Product Management Intern","Docugami","Kirkland, WA","Docugami is a Seattle-area document engineering startup that raised $10M seed round of VC funding in February 2020, and has earned multiple endorsements from industry leaders and publications.  We strive to transform how businesses create and manage documents for greater productivity, compliance, and insight using breakthrough artificial intelligence.

Applying AI to natural language processing (NLP) is today's next frontier.  Docugami specializes in inventing and implementing unique and creative techniques that push the boundaries of what is possible in document understanding, information extraction and document authoring assistance.

Product Management Interns at Docugami have full stack product responsibilities, working alongside our design, engineering, customer success, and sales teams to build an incredible product and drive growth. We are looking for PM Interns with technical backgrounds, who can be the bridge between different disciplines and drive customer value by understanding and driving product direction. Finally, we love PM Interns who are passionate about insights from data and solving problems with the user's perspective in mind.

You Will Love This Job If
You love solving hard problems
You are a starter who enjoys defining the direction and best practices of a product from the beginning
You seek opportunities to learn new things
You want to experience an early stage startup


What You'll Be Responsible For
Working directly with customers to build and iterate our backlog
Collaborating with other PMs and company leadership to constantly prioritize our backlog
Working with sales and marketing to drive growth and land customer success
Working with the design, engineering and science to deliver velocity against our backlog
Driving strategy, direction, investment, and end to end realization of our strategic vision


What We Look For In a Candidate
Studying Computer Science or Computer Engineering
Strong presentation, problem-solving, and time management skills
Data manipulation and querying skills - great at handling numbers/metrics/identifying KPIs
Passion for User Experience, examples of thought leadership


Perks
Competitive pay
Healthy snack stipend
Work closely with a cross-functional team of highly motivated folks with a unique range of startup, big enterprise, scientific, engineering, sales & marketing experience
Vibrant and inclusive company culture with frequent team-building events


About Us

Docugami is a Seattle-area document engineering startup that transforms how businesses create and manage documents for greater productivity, compliance, and insight using breakthrough artificial intelligence. Founded in March 2018 by former senior engineering leaders from Microsoft, Docugami harnesses a wide range of artificial intelligence techniques, including natural language processing, image recognition, declarative markup, and other approaches, to enable businesses of all sizes to radically improve how they create and manage documents for greater insight, efficiency, and business impact.

Learn more at www.docugami.com

We welcome people of different backgrounds, experiences, abilities and perspectives and are an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We are committed to an inclusive and diverse team.","https://www.linkedin.com/jobs/view/externalApply/2483775574?url=https%3A%2F%2Fgrnh%2Ese%2Fb373c7873us&urlHash=7mlz&refId=8b1bbb21-a634-499f-866b-b2d0056c7a56&trackingId=%2ByCqVPpTrpJ3hBWAiwIVfA%3D%3D&trk=public_jobs_apply-link-offsite",0.004648871014614529,
127,"GSP Partner Product Management Intern","RingCentral","California, United States","Want to change the way work…works? This is your moment.

RingCentral Glip integrates messaging with video to make conversation, collaboration and connection more meaningful than ever, no matter where or how people want to work.

At RingCentral we call our interns RingTerns because, by the end of your 10-week program, you’ll know our culture inside and out. Why is that important? Our culture is what makes RingCentral unique, a place where winning together in a dynamic, highly collaborative environment is what makes us different (and, we like to think, better).

If you are interested in an internship here, chances are you have some relevant skills and are interested in working for a rapidly growing, cloud-based software and communications company. We can teach you the RingCentral-way what we can’t teach, is drive and a passion to succeed.

Here are a few reasons to consider being a RingTern at RingCentral:
You have a competitive edge and like to win . Here, you’ll compete for prizes with individual elevator pitches, team product challenges, off-site excursions and company events. We call it collaborative competition and it’s a great way to experience the way we work.
Hyper-growth, for you and your career. RingCentral is growing at an annual rate of 30%. Every year. So now is a great time to join us. It also means there are lots of interesting, real-world challenges to help us solve.
Mentors who are in it for you. Our mentors will work with you to help you grow and achieve your goals. No micro-management and no busy-work. The goal is to help you problem-solve and succeed independently.
So, join RingCentral as an intern this summer and discover what it feels like to win, together.

Final Intern Application Deadline: April 23, 2021

Our Product Management Interns work closely with our engineers to guide products from conception to launch. As part of the International Product Management team, you bridge technical and business worlds as you design features with engineering and then zoom out to lead cross-functional teams to deliver solutions. We are looking for a Product Management intern to focus on usability and support asks for our International product offerings.

You will communicate with customers, sales, support and marketing teams to enhance our current materials and suggest improvements. You will assist and eventually conduct customer interviews to understand customer pain points.
Work closely with the cross functional teams
Bring fresh idea and analytics to product development
Run through UAT and testing of enterprise UCaaS solutions

Qualifications
Strong quantitative and analytical skills (proficiency with Microsoft Excel is required)
Ability to learn quickly and have high attention to detail
Excellent communication skills (written and verbal)
Enjoys working cross-functionally
Brings positive energy to the team
Ability to handle and prioritize multiple tasks and work independently with minimum help
Graduate interns with background in computer science or business degree is a bonus

Learning Skills/Outcomes
Learn documentation and presentation skills
Improve interpersonal and communication skills
Learn billing models of a SaaS Enterprise Business
Apply quantitative skills to solve real life problems
Expand your professional network

Availability
Full-time [10-week internship]
Must be available to start either June 8th, 2021 or June 15th, 2021
Visit the links below to know more about the company, internships and job openings:

About RingCentral - RingCentral’s Website

Openings - Job & Internship webpage

Say hello to the future of work. And the end of the resume black hole.

We didn’t create Glip specifically for hiring, but we might as well have. No more wondering if your resume was jettisoned into the vast emptiness of space. Sign up for Glip (it’s free, no downloads,) and discover how smooth, informative and great the hiring process can be. So start meeting on www.glip.com — and we look forward to connecting soon.

About RingCentral

RingCentral is the worldwide leader in cloud-based communications. Our software communications platform delivers phone, group chat, mobile communications, video calls, videoconference, contact center and AI-driven digital engagement. It’s a powerful, global presence that allows businesses to communicate anywhere, anytime with anyone.

RingCentral is headquartered in Belmont, California and has offices around the world.

RingCentral is an equal opportunity employer that truly values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","https://www.linkedin.com/jobs/view/externalApply/2452584637?url=https%3A%2F%2Fringcentral%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FRingCentral_Careers%2Fjob%2FBelmont%2FGSP-Partner-Product-Management-Intern_R058337-1%3Fsource%3DLinkedin&urlHash=okus&refId=c3ee4be7-6799-408a-a87d-35fda0954a8c&trackingId=G0glMok7C83RCDfYojz1ZA%3D%3D&trk=public_jobs_apply-link-offsite",0.01145308507233165,
53,"Product Management Intern","CBRE","Richardson, TX","CBRE is in the process of further developing and globally expanding our core technology products in the Valuations space. We’re looking for a results-driven and collaborative Product Intern to embed in our team and help drive the next killer feature. Join us in working in a learning environment where you will primarily be responsible for the same features and bugs that a full-time product manager would tackle in this 10-week internship.

Some potential responsibilities are listed below. Experience in these while nice to have is not required as you will learn on the job.

Potential Responsibilities

Collaborate with stakeholders, clearly understand their needs and determine measurements of success

Regularly interview customers and distill actionable insights

Write feature specs

Prioritize and manage a backlog, including tradeoffs to ensure delivery

Coordinate and collaborate with designers and engineers to execute your backlog and deliver solutions

Present your products to stakeholder, including senior management

Qualifications

Smart, productive and positive

Self-motivated, curious, and driven

Interested in building a friendly, collaborative, and transparent work environment

Familiarity with different platforms (e.g. web, mobile, etc.)

Experience with research and understanding data

Bachelor’s degree candidate in Business or a related field

Minimum 3.0 undergraduate GPA

About Our Team

We are a diverse team of product managers within CBRE’s Digital and Technology group from around the globe. Our mission is to empower the Valuations line of business with game changing data and insights needed to develop and execute business strategy. We believe that personal growth is equally as important as Company growth, as the two are, in fact, largely interdependent. We dream big and want to work on the most interesting real estate technologies with great people, leading technology and shared curiosity.","https://www.linkedin.com/jobs/view/externalApply/2459053151?url=https%3A%2F%2Fcbre%2Ereferrals%2Eselectminds%2Ecom%2Fjobs%2Fproduct-management-intern-83363%3Fsrc%3DJB-10160&urlHash=v4rS&refId=8b1bbb21-a634-499f-866b-b2d0056c7a56&trackingId=9pVWFqgzenKBrjo9kZxlAw%3D%3D&trk=public_jobs_apply-link-offsite",0.012025739318884251,
87,"Insurance Product Management Intern","Automobile Club of Southern California","Costa Mesa, CA","Insurance Product Management Intern

Description

This is a part-time 10-week program from September through November. The position is based out of our Administrative Offices in Costa Mesa, California.

As a Product Management Intern, you will gain hands-on experience in developing strategies to directly affect the growth and profitability of the Auto Club’s insurance affiliate, the Interinsurance Exchange of the Automobile Club. You will be working alongside product managers and analysts to complete analyses and develop creative solutions to positively impact our insurance business. You will also communicate with other key departments to understand the full impacts of your business solution proposal. At the end of your internship, you will present your findings and recommendations to senior management.

During The Internship, You Will
Complete competitive research and analysis to understand industry trends and consumer behavior
Collaborate with other departments and at all levels of management
Develop innovative business solutions and present recommendations to senior management

If you are up for a challenging and rewarding experience, this may be the internship for you!

Requirements
Working knowledge of Microsoft Office
Strong analytical skills
Experience with Tableau software preferred
Cumulative GPA of 3.0 or above preferred
Students completing their final or 3rd year preferred

Remarkable Benefits

Health coverage for medical, dental, vision
401(K) saving plan with company match AND Pension
Tuition assistance
PTO for community volunteer programs
Wellness program
Employee discounts

The Automobile Club of Southern California is part of the largest federation of AAA clubs in the nation. We have 14,000 employees in 21 states helping 17 million members. With our national brand recognition, long-standing reputation since 1902, and constantly growing membership, we are seeking career-minded, service-driven professionals to join our team.

“Through dedicated employees we proudly deliver legendary service and beneficial products that provide members peace of mind and value.”

AAA is an Equal Opportunity Employer

The Automobile Club of Southern California will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable federal, state and local laws, including the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance.","https://www.linkedin.com/jobs/view/externalApply/2497077958?url=https%3A%2F%2Fcareers%2Ecalif%2Eaaa%2Ecom%2Fjob%2F12667190&urlHash=3ajn&refId=2aebf69f-df13-4242-b0ca-38c710bf40af&trackingId=nvehwhJbrSjGzC%2BOSupxYg%3D%3D&trk=public_jobs_apply-link-offsite",0.002719765079460884,
54,"Product Management Intern -Summer 2021","SMS Assist, L.L.C.","Chicago, IL","SMS Assist is looking for a Product Manager Intern for our 2021 Summer Internship program!

The SMS Assist Summer Internship program is a full-time, paid opportunity that will run from June 8th –August 14th. An internship at SMS Assist will provide an opportunity to work with a fast-paced, growing company in Chicago’s vibrant technology scene. Each intern in our summer group goes through one week of training together as a cohort and are placed in one of our departments, where they’ll spend around 75% of their time throughout the summer. The other 25% is spent engaging in intern-specific activities and learning opportunities, such as executive lunch & learns, personal development workshops, and access throughout the company for informational interviews. During the internship, the program interns will work together on an SMS Assist business case and they will present their findings and ideas at the conclusion of the internship for SMS Assist leadership and other key team members. Of course, we have some fun social events thrown in there as well!

Job Classification
This is a full time, non-exempt position
The schedule for this position is Monday- Friday 8:00 AM-5:00 PM
The SMS Assist Summer Internship program is a full-time, paid opportunity that will run from June-August. An internship at SMS Assist will provide an opportunity to work with a fast-paced, growing company in Chicago’s vibrant technology scene. At SMS Assist, the internship program is about developing yourself while having a real, memorable, and fun career experience.

Core Responsibilities

The internship role will be in the ProdTech department.
Ability to collaborate with business partners and stakeholders to discover and articulate requirements and user stories, prioritize based on value and development effort, and deliver per customer contracts and/or requests with high quality and predictability
Ability to collaborate with customers, software engineering, operations personnel, sales and other product managers to ensure on-time delivery of product software features that focus on creating data-driven actionable insights that optimize customer facilities maintenance spend and improve operational efficiency
Strong systems-thinking skills for considering holistic implications of decisions, cause-and -effect, effective portfolio prioritization to support top-level business objectives
Translate business requirements into user stories for the development team
Translate technical capabilities, constraints and impediments to business stakeholders in human terms
Effectively collaborate with UI/UX, QA, Product Managers and Developers
Strong communication skills—able to make the complex simple; can describe technology in terms of business implications and translate business needs into technical requirements
Ensure confidentiality of internal and external data
Aid in the modification or enhancement of the internship program
We have two Product Management internship opportunities. You will be assigned to one of these two focus areas.
The Communications Platform product which involves in-portal messaging, texting, emails, IVR, and other communication methods
The New Customer and Integrations team focused on developing new features for Business Units, supporting features for new customer implementations, and developing the API platforms for integrating with external sources
Key Competencies
Strong written and verbal communication skills through telephone and email
Proficient with Microsoft (Excel, Word, PowerPoint, Outlook)
Must be pro-active and have the ability to operate effectively both independently and within a team
Flexible and adaptable
Ability to prioritize and manage multiple projects/assignments simultaneously
Working knowledge of JIRA a plus

Education And Experience
Must be a rising junior or senior enrolled in a full-time Bachelor’s degree program in Software Engineering, Computer Science or related disciplines, or a recent graduate
MBA candidate preferred
Knowledge of Agile Scrum methodologies; Dual track scrum knowledge a plus
Must be eligible to work in the U.S. without sponsorship now or in the future (we are unable to hire on F1 or OPT visas at this time for our summer program)
Proficient in Microsoft Office Suite applications including Word, Excel, PowerPoint, and Outlook
Traits: Attention to detail, critical thinker, team player, self-directed, and motivated

Please note, this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities, and schedule may change at any time with or without notice.

SMS Assist is an Equal Opportunity Employer (EOE) that welcomes and encourages all applicants to apply regardless of age, race, color, religion, sex, sexual orientation, gender identify and/or expression, national origin, disability, veteran status, marital or parental status, ancestry, citizenship status, pregnancy or other reasons prohibited by law.","https://www.linkedin.com/jobs/view/externalApply/2463161738?url=https%3A%2F%2Fsmsassist%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FSMSAssistcareers%2Fjob%2FChicago%2FProduct-Management-Intern--Summer-2021_REQ-2021-121&urlHash=ijCS&refId=8b1bbb21-a634-499f-866b-b2d0056c7a56&trackingId=awpXt9MqDMe%2FGEueY7XVGg%3D%3D&trk=public_jobs_apply-link-offsite",0.003607919925769464,
