Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
10,"Software Engineering Intern","Sony Electronics","San Diego, CA","Sony Electronics, Inc. look for the risk-takers, the collaborators, the inspired and the inspirational. We want the people who are brave enough to work at the cutting edge and create solutions that will enrich and improve the lives of people across the globe. So, if you want to make the world say wow, let's talk.

We are looking for an aspiring developer with a background in developing web or android applications and server APIs.

The ideal candidate enjoys development as their side hobby, exploring new web frameworks and languages, and is fastidious about their code. Using and/or contributing to open-source projects is big plus as well as experience with unit testing code, continuous integration and test-driven development.

This position is based at Sony Electronics U.S. Headquarters, located in San Diego, CA.

Job Requirements
Experience building web services and applications with one or more of:
NodeJS, MySQL, PHP, Java, Angular, Backbone, Underscore
Familiarity with linux and scripting languages
Experience with client-server architecture and web services
AWS, Docker, and CI/CD experience preferred
Strong interest in pursuing a design and development career path
Sony Electronics is an Equal Opportunity Employer that values employees with a broad cross-cultural perspective. We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond. All applicants will receive fair and impartial treatment without regard to race, color, religion, sex, national origin, ancestry, citizenship status, age, legally protected physical or mental disability, protected veteran status, status in the U.S. uniformed services, sexual orientation, gender identity or expression, marital status, genetic information or on any other basis which is protected under applicable federal, state or local law.

Disability Accommodation for Applicants to Sony Electronics, Inc.

Sony Electronics, Inc. provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job application procedures. For reasonable accommodation requests, please contact us by email at talenthelp@am.sony.com , or you can mail your resume to: Sony Electronics, Human Resources Department, 16535 Via Esprillo, San Diego CA 92127. Please indicate the position you are applying for.

EEO is the Law

EEO is the Law Supplement

Right to Work (English/Spanish)

E-Verify Participation (English/Spanish)","https://www.linkedin.com/jobs/view/externalApply/2441646584?url=https%3A%2F%2Fsonyglobal%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FSonyGlobalCareers%2Fjob%2FSan-Diego%2FSoftware-Engineering-Intern_JR-105058%3Fsource%3DLinkedin&urlHash=vjih&refId=8e185b76-914e-40b4-9d90-5ca62c76362d&trackingId=O4sqZlwU6CIxfAb1xKIXtA%3D%3D&trk=public_jobs_apply-link-offsite",0.008696419065781478,
17,"Software Development Intern","PTC","Boston, MA","Job Description

Software Development Intern- R&D
Boston, MA

The Product organization is at the forefront of innovation in AR, CAD, Industrial IoT, ALM, PLM, Retail, and SLM. We are working hard to deliver the most innovative products in a global industrial landscape that is changing fast. With some of the most innovative thinkers in technology platforms and solutions, our domain expertise gives PTC its competitive edge.

Your Impact
We are seeking a curious, collaborative and motivated intern who will work with a team of software engineers to develop and support connected applications built on Thingworx platform and Thingworx integration with Azure.

Your Team
The intern will review ideas, design and code with their mentor and the other team members. They will get exposure to the best-in-class processes and tools such as git, Jira, Bitbucket, Agile Scrum and continuous integration/continuous deployment.

Your Day-to-Day
Acquire knowledge necessary to perform job assignments (technology, product and process)
Write well documented & high performing code including source code documentation that meets organizational standards
Create and run unit tests. Deliver automated tests to QA for inclusion in a regression test bed when appropriate.
Work with publications team to help document features

Basic Qualifications
Must be enrolled in some type of degree program in one of the following or related fields: Computer Science and Engineering
Problem-solving skills
Java programming/Object Oriented Design

PTC Company Description

About PTC (NASDAQ: PTC) PTC unleashes industrial innovation with award-winning, market-proven solutions that enable companies to differentiate their products and services, improve operational excellence, and increase workforce productivity. With PTC, and its partner ecosystem, manufacturers can capitalize on the promise of today’s new technology to drive digital transformation.
Region
The Americas
Subregion
North America
PTC Org
R&D - Research and Development
Job Type
Academic Coop / Intern","https://www.linkedin.com/jobs/view/externalApply/2465469841?url=https%3A%2F%2Fcareers%2Eptc%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D2%26siteid%3D5213%26jobId%3D3114068&urlHash=zAJg&refId=8e185b76-914e-40b4-9d90-5ca62c76362d&trackingId=5gtNsBMtND0cQZ8IxMeZAw%3D%3D&trk=public_jobs_apply-link-offsite",0.005234506114157871,
63,"Software Test Engineering Intern","Element Biosciences","San Diego, CA","Element Biosciences is a multi-disciplinary startup focused on innovating genetic analysis tools for the research and clinical markets. The Company's technology will broaden the end user experience through improved data quality and simplified workflows to benefit discoveries and diagnosis in healthcare.

As a Software Test Engineer Intern on the Software Product Design team, you will gain valuable hands-on experience working with cloud and device software, hardware, and embedded systems, and will also have the opportunity to collaborate and work with various stakeholders and engineers. The goal of the Software Product Design team is to define and guide seamless end-user experiences. You will help test (and help iterate the design of) a complete sequencing solution with the necessary software interfaces to the chemistry, hardware, manufacturing, and downstream analysis systems.

Responsibilities
Work as part of a team to design, implement, integrate, and test the software that enables the development and use of Element’s sequencing instrumentation
Work with software systems engineers and stakeholders to test hardware, biochemistry, instrument, cloud, and analysis interfaces and specifications
Take ownership of learning and advocating for the end-user experience, working to identify pain points and influencing product design to address them
Automate test cases as software and interfaces mature
Perform manual test cases, serving to test and confirm software and systems integration, as well as validating user needs and touch points
Assist in troubleshooting problems during development

Requirements
Rising senior or new grad with a degree in Bioengineering (Device), Computer Science, Electrical Engineering, or similar
Experience working on/with integrated software and hardware devices
Experience writing and/or testing to software specifications
Knowledge of genomics and next generation sequencing
Strong analytical and problem-solving skills
Strong verbal and written communication skills
We are passionate about our mission to develop high performing products to study genomics in an unprecedented flexibility and to understand biology for the improvement of healthcare. We have built a highly efficient product-driven organization where employees can learn, grow and thrive in a challenging but encouraging environment. We are committed to scientific integrity, collegiality, honesty, objectivity, and openness. We offer excellent benefits, which include a 401K plan, competitive health benefits, flexible vacation, and equity incentives.

We foster an environment such that all people are afforded the freedom to pursue their passions without regard to race, color, religion, national or ethnic origin, gender (including pregnancy), sexual orientation, gender identity or expression, age, disability, veteran status or any other characteristics protected by law.","https://www.linkedin.com/jobs/view/externalApply/2499457504?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Felembio%2Fdcede17d-92b8-422c-ad8c-23ef1dc3ae94%2Fapply%3Flever-source%3DLinkedIn&urlHash=T_PG&refId=a36480de-349b-480f-a0af-6ca982e7f6e0&trackingId=rA7wcO3Pe%2FvTeeNi8K%2Fj7A%3D%3D&trk=public_jobs_apply-link-offsite",0.011232576152070073,
76,"Software Engineer Intern","Teampay","New York, NY","About Teampay

Teampay is an entirely new way to manage spend, giving you proactive controls and real-time visibility - without slowing down your employees. With Teampay's distributed spend management platform, you can manage all types of purchasing, made by anyone, from end-to-end. Employees love the effortless experience, and Finance teams can breathe easy knowing that all spending is pre-coded & pre-approved.

About The Role

As a Software Engineer Intern at Teampay, you'll take on projects with a sense of independence and autonomy. Your desire to learn new things will make you an avid participant on our team as you learn from our more senior developers. Previous internship experience working on web development or projects that demonstrate technical capability will contribute to your success in this role.

Common Candidate Qualifications Include
Full-stack Python experience
Experience with Django frameworks preferred
Students currently pursuing a Bachelors, Masters, or Ph.D in Computer Science, Design or Computer Engineering (or similar) degrees
The desire to work and thrive in a small team environment

Even though you may not fit the requirements perfectly, if you are interested we encourage you to apply!

You'll love working at Teampay if...

You're a builder. You work towards a growth mindset including experience in the controlled chaos of a startup. You're passionate about crafting things that matter. You're curious and agile in thought and action. You value authenticity and possess a strong work ethic. You're empathetic and look forward to learning from people unlike yourself. You want to make an impact with a strong team. You look for challenges that force you to grow. You rarely miss a detail and always learn from your mistakes. You have diverse interests outside of work, but are ready to pitch in and be responsive when the pressure is on.

Interested?

You can learn more about the product at www.teampay.co.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","https://www.linkedin.com/jobs/view/externalApply/2483814380?url=https%3A%2F%2Fgrnh%2Ese%2Fef3941fd2us&urlHash=He5f&refId=a36480de-349b-480f-a0af-6ca982e7f6e0&trackingId=MWs1dML18Loi3jHFsqVmsw%3D%3D&trk=public_jobs_apply-link-offsite",0.02222839992841934,
11,"Engineering Intern (Summer 2021- Remote)","Clearcover","Chicago, IL","Who's Clearcover?

Clearcover is the smarter car insurance company. We use powerful technology to offer everyday drivers better coverage for less money. We're proud to be one of the fastest-growing startups in Chicago, and we're currently looking to add an extraordinary remote intern to our Engineering team.

What is an Engineering Intern?

As a Software Engineering Intern at Clearcover, you will be embedded into the product and technology organization in the same way full time employees are. You will be included in a scrum team and paired with a mentor as well as an Engineering Manager. You will learn to understand Clearcover products, technologies and domains, work on active tickets to support sprint goals and contribute to product features all with the support and guidance of your mentor. You are encouraged to become familiar with other parts of the organization wherein you could have an impact, be that the diversity and inclusion committee, Clearly Covered engineering talks, etc. We are looking for interns that are just starting their careers and are eager to learn and get more exposure to not only our products but the tools and technologies we use to build them.

What will you do?

Gain experience owning features from start to finish while collaborating with your scrum team to creatively solve problems and ensure excellent outcome
Be assigned a mentor for the duration of the internship who will be your guide to understanding the team, project and all things Clearcover.
Gain knowledge of software engineering concepts related to the implementation and deployment of distributed microservices
Work on projects that impact the business
Learn coding best practices and how to troubleshoot and debug issues

What do you need?

Currently enrolled in a BS program in computer science, computer/software engineering, or related field
A recent bootcamp graduate or self-taught with example projects in Github
Experience with at least one programming language included in our stack: Javascript, Typescript, Ruby, Kotlin
Familiarity with RESTful API conventions
A passion for solving complex technical problems
Ability to communicate effectively in a collaborative, fast-paced technical environment","https://www.linkedin.com/jobs/view/externalApply/2495219603?url=https%3A%2F%2Fgrnh%2Ese%2F0425a4fa2us&urlHash=LEeE&refId=8e185b76-914e-40b4-9d90-5ca62c76362d&trackingId=rFo5E%2FfvbB94z0zTtdY70A%3D%3D&trk=public_jobs_apply-link-offsite",0.009286069719524294,
4,"Intern - Software Engineer","Pearson","Providence, RI","Job Information

Pearson Intern - Software Engineer in Providence, Rhode Island

Intern - Software Engineer - ( 2102484 )

Description

PEARSON INTERNSHIP PROGRAM 2021

Software Engineer

Pearson Interns - Helping shape the future of education

Why join Pearsons intern program?

Pearson is the worlds learning company. We help people of all ages acquire the knowledge and skills they need to be successful in their work and careers. We believe that everyone should be able to keep learning, every day and in every way, throughout their lives. Bringing together everything we know about the science of learning and the latest technology; were shaping the future of teaching and learning.

Were looking for the next generation of talented undergraduates to join our team for an unforgettable 10-week internship. An internship at Pearson is an opportunity to bring your own unique perspective as a learner, together with your academic knowledge, technical skills, and enthusiasm, to help create products used by students like you.

As one of our interns, you will gain a comprehensive introduction to our business. Youll be assigned to a team and work on real-life projects that bring our products and services to life. On the job training and professional development will be provided to enable you to contribute to the business. Youll also have direct access to a senior member of the team, as each intern will be mentored to help you make the most of the ten-week program.

We foster a work environment thats inclusive as well as diverse, where our people can be themselves. Every idea and perspective is valued so that our products reflect the people we serve our teachers and learners.

What Does the Internship Program Offer?

Successful candidates will spend 10 weeks working with our technology teams.

You will be paid for the duration of your internship. The internship begins on Monday, June 7th and ends Friday, August 13 th .

Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

What are we looking for in an Intern
• Enrolled in an undergraduate or graduate technical degree in Information Science / Information Technology, Computer Science, Engineering, Mathematics, Physics, or a related field
• Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
• Creative and innovative skills with regards to knowledge and awareness of industry trends and digital advances as they relate to new opportunities and business needs
• Ability to work autonomously
• Ability to learn quickly and apply learning to problems or activities
• A strategic thinker and listener who acquires good problem-solving techniques
• An organized team player who can manage multiple tasks
• Familiarity with Excel, SQL, AWS, Google Cloud, Java, Go, Python, R, QL, TensorFlow, or Tableau
• Min 3.0 GPA
• Graduation date between 2022 and 2023
• Interns should be within driving distance of office location

Job description

Overall Responsibilities:
• Ensures that code artifacts produced are of the highest quality, conforming to set or agreed upon standards under the guidance of software engineer
• Follows the Pearson practices and processes.
• Escalates and communicates issues, risks, and concerns to the mentor
• Makes effective use of engineering tools and technologies
• Builds competencies in product and technology domain to the desired level.
• Aligns self to organizational goals.
• Adhere to Pearson values and ethical practices.
• Maintains a sense of individuality in thinking and decision making.

The anticipated starting salary range for Colorado-based individuals expressing interest in this position is $30/hr. This position is not bonus eligible

Benefits available to eligible employees can be seen at: https://pearsonbenefitsus.com/

Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications
• Enrolled in an undergraduate or graduate technical degree in Information Science / Information Technology, Computer Science, Engineering, Mathematics, Physics, or a related field
• Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
• Creative and innovative skills with regards to knowledge and awareness of industry trends and digital advances as they relate to new opportunities and business needs
• Ability to work autonomously
• Ability to learn quickly and apply learning to problems or activities
• A strategic thinker and listener who acquires good problem-solving techniques
• An organized team player who can manage multiple tasks
• Familiarity with Excel, SQL, AWS, Google Cloud, Java, Go, Python, R, QL, TensorFlow, or Tableau
• Min 3.0 GPA
• Graduation date between 2022 and 2023

Primary Location : US-RE-Remote

Other Locations : US-California

Work Locations :

US-Remote

Remote

Job : Project/Temporary Workforce

Organization : Technology & Operations

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Job Posting : Feb 22, 2021

Job Unposting : Ongoing

Schedule: : Full-time Temporary

Req ID: 2102484","https://www.internships.com/posting/bug_38956935149?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.004170206241811416,
66,"Software Engineer Summer Intern","Pegasystems","Cambridge, MA","Meet Our Team

Pega is changing the way the world builds software. In this role, you'll help us design, develop, implement, and test the next generation of Pega's 1:1 customer engagement product. This is your chance to get your hands on leading-edge AI and machine learning technology that figures out what people really care about.

Picture Yourself At Pega

Pega’s internship program is the perfect platform to help students transition their academic knowledge into a successful professional career. We push great students to be better, we encourage them to take on the biggest challenges, and we also believe that great ideas can come from anyone or anywhere, irrespective of hierarchy or location. The purpose our internships are to provide students with the opportunity to gain valuable business skills, work on real-time, impactful initiatives, and collaborate on a global scale, all while earning a competitive compensation.

What You'll Do At Pega

Use your programming knowledge to build robust, scalable solutions to solve complex marketing and decisioning problems
Leverage best-in-class Big Data and AI technologies from the Pega Platform to move state-of-the-art marketing technology to interact with people 1-to-1

Who You Are

Currently a rising senior pursuing a BS Degree in Computer Science
Understanding of the Software Development Life Cycle (SDLC)
Strong analytical and problem-solving skills
Outstanding written, verbal communication and interpersonal skills
Drive for continuous learning and development

Pega Offers You

Opportunities to work with diverse global teams on real-time, impactful projects and initiatives
Professional development seminars and meet & greets with Pega’s CEO and Founder along with the Executive Leadership Team through our “Coffee Break Series”
Participation in Pega and intern specific events such as social events, volunteer opportunities, group projects, team outings, etc.
Potential for full-time offer
Structured manager and mentor program
Competitive salary and perks
Casual and fun environment

Job ID: 11940

As an Equal Opportunity and Affirmative Action employer, Pegasystems will not discriminate in its employment practices due to an applicant's race, color, religion, sex, sexual orientation, gender identity, national origin, age, genetic information, veteran or disability status, or any other category protected by law.
Accessibility – If you require accessibility assistance applying for open positions please contact PegaApplication@pega.com .

Labor Condition Applications
GDPR Candidate Privacy Notice
Pegasystems Limited UK Gender Pay Gap Statement","https://www.linkedin.com/jobs/view/externalApply/2444474539?url=https%3A%2F%2Fwww%2Epega%2Ecom%2Fabout%2Fcareers%2F11940%2Fsoftware-engineer-summer-intern&urlHash=Rm4W&refId=a36480de-349b-480f-a0af-6ca982e7f6e0&trackingId=rfh4joCygkdA6ZqFyNcPbw%3D%3D&trk=public_jobs_apply-link-offsite",0.020310213155095545,
79,"Software Engineer Intern Summer 2021 at Vertica - (US - REMOTE)","Micro Focus","Cambridge, MA","Software Engineer Intern Summer 2021 at Vertica - (US - REMOTE)

Job Description

Software Engineer Intern Summer 2021 - (US - REMOTE)

Location: REMOTE Eligible, anywhere within the U.S.

Vertica believes that each of us knows the work environment that makes us the most productive. Thats why we provide our employees with the ability to work how and where they will be the most successful. We enable a flexible approach to work location, meaning for roles where it makes sense, you can work from the office or from home, or a combination of both, but you make that choice including where you choose to live. Vertica invests in the best technologies and provides flexible benefits and collaborative work environments to empower employees to work productively in the setting that meets their personal needs. Thats why were so proud to have a highly productive and engaged team in every function of the company.

Micro Focus is seekingSoftware Engineer InternforSummer2021to join the Vertica development team. As an ecosystem software engineer, you work at the intersection of the applications and systems software realms, designing in-database features, new APIs, and integration software to connect Vertica with other data processing systems like apache Spark and Kafka. The products and features you create enable all users of Vertica - developers, DBA's and end users alike - to leverage the full power of the industry-leading Vertica Analytic database.

Responsibilities
Design and implement features in the Vertica database engine that enable a richer and more robust client-side programming experience. Past examples include query routing, load balancing and secureauthentication
Design, implement and extend database APIs for a variety of languages and programmingframeworks
Use the Vertica database APIs to design and implement unit testing frameworks and automated test cases
Work cross functionally with product management, QA, and documentation teams to drive the development of features from concept to product

Requirements
Must be currently enrolled in a Bachelors, Masters Degree or PhD in Computer Science, Engineering or related
Knowledge of C/C++, operating systems and client-server network programming
Ability to deliver prodigious amounts of extremelyhigh qualitycode (get stuff done)

Preferred
Knowledge of Linux and comfortable with Linux/Unix scripting with bash and python
Knowledge of SQL and database driver technologies (JDBC, ODBC, ADO.NET)
Experience with Apache Hadoop and otheropen sourcedata processing projects

About Our Team

The best ideas often come from fresh perspectives. At Vertica, our open-minded, diverse and inclusive team is always learning from each other. We approach intellectually challenging work with a get it done attitude. Vertica Engineers are given significant latitude and support to pursue what they are passionate about to make Vertica an even better place. If you are excited about building great technology with a proactive team, you will find yourself in good company at Vertica. Welcome to the family.

About Our Product

Vertica is a recognized leader in analytics powering some of the worlds most data driven organizations like Uber, Wayfair, Intuit, Cerner, and more. Our columnar, MPP, distributed database delivers unprecedented speed, petabyte scale, with analytics and machine learning functions built into the core.

We believe the future belongs to the fast.

Join us for the ride!

#DiceGC

Job

Administration

Micro Focus is proud to be an Equal Opportunity Employer. Prospective employees will receive consideration without discrimination because of race, colour, religion, creed, gender, national origin, age, disability, marital or veteran status, sexual orientation, genetic information, citizenship or any other legally protected status","https://www.linkedin.com/jobs/view/externalApply/2473684917?url=https%3A%2F%2Fjobs%2Emicrofocus%2Ecom%2Fglobal%2Fen%2Fjob%2FMICRGLOBAL7018853EXTERNAL%2FSoftware-Engineer-Intern-Summer-2021-at-Vertica-US-REMOTE%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26jobboardid%3D653&urlHash=o955&refId=a36480de-349b-480f-a0af-6ca982e7f6e0&trackingId=Hpj160jEXkl6Pr3iuL%2F6mQ%3D%3D&trk=public_jobs_apply-link-offsite",0.008182598431285621,
43,"Software Engineer Intern - Summer","Honeywell","Alpharetta, GA","Join a team recognized for leadership, innovation and diversity

The future is what you make it.

When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and doers who make the things that make the future. That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars. Working at Honeywell isn’t just about developing cool things. That’s why all our employees enjoy access to dynamic career opportunities across different fields and industries.

Are you ready to help us make the future?

Join a team that designs, develops and integrates highly complex software applications within Honeywell. You will be an active and integral member of a team to achieve the completion of goals. You will also generate innovative solutions in work situations; trying different and novel ways to deal with problems and opportunities.

Use your skill set to provide value added software features to our products for our customers.
Accelerate innovation and growth, teaming with the world's most talented engineers.

We invite you to discover for yourself why a career with Honeywell is the opportunity you've been looking for!

YOU MUST HAVE

Currently pursuing a Bachelor’s degree from an accredited college or university in Engineering or Computer Science
Must graduate after December 2021
Must continue enrollment in degree program upon completion of the internship

WE VALUE

Knowledgeable with JavaScript/TypeScript and NodeJS
Understanding various software development lifecycle
Demonstrate the ability to develop efficient and high-quality software
Knowledge of software configuration management and change management practices
Diverse and global teaming and collaboration
Excellent oral and written communication skills
Effective communicator
Can quickly analyze, incorporate and apply new information and concepts
Ability to consistently make timely decisions even in the face of complexity, balancing systematic analysis with decisiveness
Validated academic excellence (3.0 GPA and higher)

Additional Information

JOB ID: req242916
Category: Engineering
Location: 13560 Morris Road, Suite 3500, 3rd Floor,Alpharetta,Georgia,30004,United States
Nonexempt
Engineering (GLOBAL)

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status.","https://www.linkedin.com/jobs/view/externalApply/2440226653?url=https%3A%2F%2Fcareers%2Ehoneywell%2Ecom%2Fus%2Fen%2Fjob%2FHONEUSREQ242916EXTERNALENUS%2FSoftware-Engineer-Intern-Summer%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds&urlHash=UpF4&refId=dfad3d37-dc43-4f34-afef-e8baa2ff94a8&trackingId=XKtCZ52z3BG5iODZdRsDUA%3D%3D&trk=public_jobs_apply-link-offsite",0.006221825683018405,
32,"Software Engineering Intern","Learn In","San Francisco, CA","Learn In is the first comprehensive talent-building platform helping companies solve for every barrier that stands between them and the future of work. We make upskilling easy and affordable for both employers and employees, and partner with the best in new-age training and financing providers.

We are hiring a Software Engineering Intern who wants to gain hands-on experience building a production application. You will be working in a frontend, backend or full stack capacity based on interest and capabilities using technologies such as React, Redux, TypeScript, JavaScript, .NET 5, C#, AWS, and more. This role is remote and open to candidates anywhere in the United States.

You will have the chance to see the full software development life cycle of a new feature from ideation to design to releasing the finished product and everything in between.

Examples of Projects you might work on
Create a new API endpoint to enable users to pay for courses in new ways
Build a new UI in React to give users insights into their learning progress
Work with another engineer to implement a framework for managing our CSS styling
Personality traits of a successful candidate
Growth mindset: You believe skills are developed rather than something you are born with. You are eager to grow your skills and help others do the same
Love of problem solving: You see a problem as a challenge to resolve instead of a road block
Team player: You realize we have to work together and lend a helping hand to each other to get where we’re going. At the same time, you take your commitments to your team seriously and try to do your part
Belief in life outside of work: You believe in working hard when it’s time to work, but also believe it’s always important to make time for family, friends and hobbies
We’re a fully remote company. Despite this, you will still receive mentorship, coaching and the ability to learn from experienced engineers. We also have virtual team building events every other week where you have a chance to get to know the team more personally.

About Learn In

Learn In is a Seed-stage startup co-founded by co-founders of the popular learning platform Degreed, and backed by the leading edtech & future-of-work VCs, including GSV, Album, Firework Ventures and Village Global. We are on a mission to transform the modern workforce, and our launch was covered in CNBC, USA Today, EdTechReview, EdSurge, Deseret News and Techcrunch, among others.

We are an equal opportunity employer, and value diversity and inclusion at our company. We not discriminate on the basis of race, color, religion, sex, gender identity, national origin, political affiliation, sexual orientation, marital status, pregnancy, disability, genetic information, age, parental status, military service, or other non-merit factor

Powered by JazzHR","https://www.linkedin.com/jobs/view/externalApply/2495714625?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3Df258a3d4ca32%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Deadaadde7ddbgdd89adffddd8adcfddcaaddfadf3dedcdcefec3ddcg3e&urlHash=j_xO&refId=8e185b76-914e-40b4-9d90-5ca62c76362d&trackingId=vt948lzndgnzN6AMOLZ7jQ%3D%3D&trk=public_jobs_apply-link-offsite",0.007949593118300013,
