Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
3,"UX UI Internship","Monarch","Fremont, CA","UI-UX Designer Intern

About Monarch

At Monarch, we are leading the digital transformation of farming. Monarch Tractor augments both muscle and mind with fully loaded hardware, software, and service machinery that will spur future generations of farming technologies.

With our farmer-first mentality, we are building a smart tractor that will enhance (not replace) the existing farm ecosystem, alleviate labor availability, and cost issues, and provide an avenue for competitive organic and beyond farming by providing mechanical solutions to replace harmful chemical solutions. Despite all the cutting-edge technology we will incorporate, our tractor will still plow, till, and haul better than any other tractor in its class. We have all the necessary ingredients to develop, build and scale the Monarch Tractor and digitally transform farming around the world.

About The Role

As a UI-UX Design Intern, you will be guided by experienced professionals that will provide you with hands-on experience and share their knowledge for your success. We are looking for a talented designer to be part of our team in creating compelling and thoughtful user experiences and product design for our entire product which includes UI/UX and HMI on iOS, Android, and Web platforms.

Responsibilities
Apply a keen sensibility around the layout, color, typography, and behavior in expressing design executions.
Exhibit passion for emerging technologies, new interaction models, product design, and excellence in visual design.
Demonstrate strong collaboration, communication, and organization skills.
Utilize design skills in the latest versions of Adobe Photoshop, Illustrator, InDesign, Creative Suite, and UX prototyping tools.
Employ a systematic approach to solving large, complex design challenges.
Work in a fast-paced, dynamic remote team environment.
The candidate should be flexible and willing to take on multiple tasks in a start-up environment.
Preferred Qualifications
Firm knowledge of design basics and visual communication
Knowledge of design tools: Adobe Photoshop, Illustrator, InDesign and Creative Suite
Exceptional visual design skills with sensitivity to intelligent system interactions
Current with the latest UI trends, techniques, and technologies
A passion for solving complex problems at scale
Pursuing degree in UIUX, graphic design, product design, or related field
Familiarity with user experience design and research methodologies
Design portfolio
Nice to Haves
Experience working with a startup a big plus.
Working knowledge surrounding agriculture
Familiarity with Sketch, Framer, InVision, and other prototyping technologies
What You’ll Get

At Monarch Tractor, you’ll play a key role on a capable, dedicated, high-performing team of rock stars. This role offers a total immersion into a busy tech startup culture and a successful candidate will work closely with key members of staff, collaborate with engineers, developers, and designers, and learn about digital communications in the Agtech environment.

In addition to building outstanding products, we’re building an outstanding company with a culture to match. Part of what we do is be in our element, which means being on the farm. We will be spending lots of time in Napa, Sonoma, Monterey and the central coast of California—perfecting our craft, mastering our environment, building our team camaraderie, and also taking time to enjoy the fruits of our labor.

At Monarch, we cherish and celebrate every individual's difference. We are proud to be an equal opportunity employer and we are committed to equal employment opportunity regardless of race, color, religion, national origin, sex, sexual orientation, age, marital status, gender identity, veteran status, and disability, or another legally protected status.

About Monarch Tractor

At Monarch Tractor, we are utilizing 21st-century technology to empower farmers with the world's first first fully electric, autonomous smart tractor. Our award-winning team has a collective, farmer-first mentality. Together, we’re leading the digital transformation of farming and providing an economically superior path to the implementation of sustainable and organic practices. Monarch is designed to enhance (not replace) the existing farm ecosystem, alleviate labor availability, safety and cost issues. Backed by advanced mechanization, automation, and data analysis, our revolutionary tractor has all the necessary ingredients to lead the digital transformation of farming and spur future generations of farming technologies. Join our world-class team as we push the boundaries and take traditional farming to the next level. For more information, visit www.monarchtractor.com.","https://www.linkedin.com/jobs/view/externalApply/2483585691?url=https%3A%2F%2Fwww%2Enotion%2Eso%2FBins-Storage-Internship-Opportunity-cf36ae4293a043f182f393fab755db9d&urlHash=rb2T&refId=fab4990a-d3ec-44e3-8e95-7d86caa31a8a&trackingId=sSi%2FcFjI4597CQeM%2FFLHMA%3D%3D&trk=public_jobs_apply-link-offsite",0.00996315463315417,
30,"Ux/Ui Designer","World Wide Technology","Warwick, RI","","https://www.genzjobsearch.com/Warwick-Rhode-Island-USA-job/USER-EXPERIENCE-DESIGN-INTERN-ADVANCED-TECHNOLOGY-CENTER/2717796bef25ac52/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.004761904761904762,
13,"UI/UX Web Design Intern/Extern","Willkie Farr & Gallagher LLP","New York, NY","Willkie Farr & Gallagher LLP
Web Developer Intern(UI/UX)

Description
The Web Developer Intern is a member of the Applications Development Group within the Information Technology department and will participate in various phases of the software development life cycle. This role will work with the team to understand the business requirements, conceptualizing and creating wireframe/prototypes, flushing out approved designs, and full end-to-end testing of builds for custom applications to support strategic and innovative initiatives.

Responsibilities
•    Quality Assurance testing experience.
•    Full understanding of HTML/HTML5, CSS/CSS3, JQuery, AJAX, and XML/XSL/XSD.
•    Knowledgeable of concepts and practice of responsive web sites using Bootstrap, CSS3, media queries, HTML5.
•    Experience with user interface design practices.
•    Experience with UI prototyping.
•    Strong verbal and written communication skills, ensuring client and staff satisfaction through proactive communication.
•    Willing to take direction and bring new and innovative ideas to the team.
•    Self-motivated, resourceful, independent and eager to learn new technologies.

Qualifications
•    Must be comfortable in both Mac and Windows based platforms.
•    Experience with JavaScript, HTML/HTML5, CSS/CSS3, Adobe CS, and responsive web design a plus.
•    Experience with black box, end-to-end and various other types of testing methods.
•    Experience with JIRA or other tracking tool is highly preferred.
•    Experience using UI Prototyping tools like InVision or Sketch is a big plus.

Position Types

 

Internship / Externship
Compensation

Competitive","https://www.linkedin.com/jobs/view/externalApply/2443249631?url=https%3A%2F%2Frecruiting%2Eultipro%2Ecom%2FWIL1020WFGLL%2FJobBoard%2F85771bc5-ab3e-4889-afbf-15540190e369%2FOpportunity%2FOpportunityDetail%3FopportunityId%3D60d887f0-3f17-40ad-b05e-7981bae4b06b%26utm_source%3DLINKEDIN&urlHash=XIm7&refId=fab4990a-d3ec-44e3-8e95-7d86caa31a8a&trackingId=7Ir3%2FM3xOBA%2BaAdUz%2BAXqg%3D%3D&trk=public_jobs_apply-link-offsite",0.00551405472223773,
15,"Design Intern - UI - UX - Product Design","PathMatch","New York City Metropolitan Area","Are you a design student in the Class of 2021, Class of 2022, Class of 2023 interested in the lucrative field of UI/UX/Product Design? Did you struggle to land a Summer 2021 internship due to a lack of experience or ability to interview? Want to make sure this doesn’t happen next summer?

The PathMatch UI/UX/Product Design Accelerator is a 12-week training and real-world internship program for college students looking to break into the massive field of user experience & user interface.

Most students don’t realize how critical internships are to landing jobs until it’s too late.  But here’s the issue. You don’t learn UI/UX design skills in a classroom and certainly won’t learn the processes and technologies modern companies use.

The PathMatch UI/UX Design Accelerator is a 12-week program where you'll learn UI/UX Design fundamentals such as usability, interface design, iconography, user research methodologies, as well as, learn how to use tools such as Figma and Sketch and applying what you're learning in a guaranteed full-time internship with one of our corporate partners.

The deadline to apply is April 16th. This cohort starts on May 24th.

NOTE: Due to the training intensive and company matching, this program costs $2,999 (we offer numerous payment options/plans). This is roughly the cost of a course at your university, but far more valuable. You’ll be matched to a paid internship (you'll make $7,200 over 12 weeks) where you’ll be adding an internship and real-world skills to your resume, setting you up for added success in your next internship/job search. You’ll also build your 2022 Internship/Job Search strategy (companies start their searches in August) which sets you up for greater success.

WHAT YOU GET: 
• Develop career-specific skills not taught in college classes
• Get mentoring from experts in their field
• Build experience through a 12-week internship 
• Add relevant experience to your resume
• Prepare for the upcoming 2022 internship/job search process that begins in August
• Learn the hiring timelines and processes of top companies
• Improve interview skills crucial to landing top internships and jobs

WHAT YOU’LL BE DOING:
• Learning the main constructs of UI/UX design and how they're applied within companies
• Conducting & synthesizing user research
• Build an online portfolio of work to share with future employers
• Learning and applying color theory, typography, iconography to real-world projects
• Build prototypes and wireframes
• Developing efficient and strategic design tools

WHAT YOU NEED:
• Have an interest in working in UI/UX/Product Design
• Ability to work 40 hours per week
• Pursuing an undergraduate degree
• Hard worker and open to learning

A BIT ABOUT US:
We’re PathMatch. We exist because the outcomes of college graduates over the past 5-10 years have been horrendous. 63% of employers feel that recent college grads are generally unprepared for the workforce. This is due to the fact that students often lack workplace skills and experience built through internships. There’s a growing skills gap and the only way to close it is to help students understand what companies need so they can prepare. Did you know that in 2019, at the height of the market, 53% of college grads were still unemployed 9 months after graduation? We’re working to change this.
 PathMatch offers tools/tech/content to help students increase their odds of landing internships and jobs in the digital economy. Our 12-week Summer Accelerators help students increase their odds of landing future internships and jobs by 86%. PathMatch students make an extra 10K+ in starting salary due to real-world experience.
 The deadline to apply is April 16th. Interviews are taking place immediately.","https://www.linkedin.com/jobs/view/externalApply/2436057364?url=https%3A%2F%2Fadobe%2Ewd5%2Emyworkdayjobs%2Ecom%2Fexternal_university%2Fjob%2FSan-Francisco%2FUI-JavaScript-Intern_R107164%2Fapply%3Fsource%3DLinkedIn&urlHash=tiWo&refId=fab4990a-d3ec-44e3-8e95-7d86caa31a8a&trackingId=kFn66hpE3INlPu8P5zhGrQ%3D%3D&trk=public_jobs_apply-link-offsite",0.005176529512667136,
17,"UX/UI Design Fall Semester 2021 Internship at the University of Illinois, Urbana-Champaign Research Park","Cargill","Champaign, IL","In partnership with Cargill, through the University of Illinois, Urbana Champaign (UIUC) research park, you will be given the opportunity as an intern to work with Cargill Digital Labs, to gain hands on experience in real business situations and be exposed to many of Cargill’s businesses and functions during the work term. As an intern you would work as an individual contributor or in project teams where software engineering, analytical skills, product design, UX Design, leadership, collaboration, inclusion, and innovation are keys to success.

As an organization Cargill’s mission is to lead in nourishing the world in a safe, responsible and sustainable way. The Cargill Digital Labs (CDL) team is to help prepare Cargill for a digital future. The vision of this future includes a thriving digital culture, continually launching of new digital business initiatives, and that Cargill will be a digital thought leader in the food and agriculture industries.

In partnership with the University of Illinois, Urbana Champaign, Cargill is establishing a research site within UIUC’s Research Park to further this mission. In its first iterations, we intend to leverage the site to host digital research projects, such as software, hardware and engineering prototypes which would be staffed by student interns from the University of Illinois, Urbana Champaign. As we gain learnings from the experience, we will grow and mature our development capabilities within the park to best suit Cargill’s evolving digital journey.

Job Location: University of Illinois Urbana-Champaign in Champaign, IL

Required Qualifications
Must be currently enrolled as a student at the University of Illinois, Urbana-Champaign graduating between Winter 2021 and Summer 2024
Must have the right to work in the US that is not based on the possession of a student visa or a visa sponsored by a third-party employer.
Currently pursuing a Bachelors’ degree with a major or minor in UX Design, Product Design, Design, Graphic Design, or other related disciplines, OR commensurate experience with design and analytics in lieu of pursuing a related major/minor.
Experience with creating flows, wireframes, mock-ups, prototypes, and conducting usability testing using tools provided.
Experience with Figma, Adobe XD, Sketch, Axure, Balsalmiq, Adobe Creative Suite OR comparable software
Able to complete a semester-long internship in Fall 2021 (late August – December 2021)
Demonstrated ability to work effectively with individuals from diverse backgrounds and cultures
Must possess a high degree of initiative and resourcefulness in completing work with limited guidance
Must be able to complete essential functions of this job as outlined in the job description with reasonable accommodations


Preferred Qualifications
Pursuing a cross-disciplined degree in either Computer Science, Economics, Business, Food Science, or Agriculture Business.
Ability to demonstrate a strong aptitude for both technology and business
Commercial product software development experience
Overall 3.0 GPA preferred
Knowledge of basic structured programming, systems analysis and design, database design, and business concepts
Demonstrated analytical and technical skills
Ability to relate technical knowledge to job-related duties
Strong prioritization and problem-solving skills; collaboration skills; verbal and written communication skills; and information research and gathering skills","https://www.linkedin.com/jobs/view/externalApply/2404851112?url=https%3A%2F%2Fad%2Edoubleclick%2Enet%2Fddm%2Fclk%2F458005716%3B262195748%3Bp%3Fhttps%3A%2F%2Fcareers%2Ecargill%2Ecom%2Fjob%2F-%2F-%2F23251%2F18720981%3Futm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcore_media%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=MlUz&refId=fab4990a-d3ec-44e3-8e95-7d86caa31a8a&trackingId=on%2F1a3p0TRPaToZYcXLW1w%3D%3D&trk=public_jobs_apply-link-offsite",0.005701532582793812,
16,"Intern, DTV UI/UX Platform Development and Analysis","InterDigital, Inc.","Conshohocken, PA","About Interdigital

InterDigital develops fundamental wireless technologies that are at the core of mobile devices, networks, and services worldwide. We solve many of the industry's most critical and complex technical challenges, inventing solutions for more efficient broadband networks and a richer multimedia experience years ahead of market deployment. InterDigital has licenses and strategic relationships with many of the world's leading wireless companies. Founded in 1972, InterDigital is listed on NASDAQ and is included in the S&P MidCap 400® index.

Summary

Are you a top-notch student who is a fast learner? Are you driven to use your skills to solve problems? Do you possess strong technical and analytical skills? If so, we would like to meet you! Be a part of a team of highly skilled engineers / researchers developing the next generation of consumer electronics technologies. The team’s focus is the investigation of Digital Television (DTV) User Interface/Experience. This includes identifying problems and related solutions and the design and development of these solutions. We are looking for versatile problem solvers with solid computer science fundamentals, software development/verification experience, and experience and/or interest in developing interactive computer graphics, preferably in the consumer electronics space.

Essential Duties And Responsibilities
Primary tasks for this position include: supporting the design and implementation of DTV applications and services; performing related verification and integration activities
Secondary tasks include: participation in ongoing analysis of future DTV use cases; identification of problems that will enable new DTV functionality; development of related solutions

Qualifications
M.S. or Ph.D student in Computer Science or Electrical Engineering
Strong object-oriented programming experience (C# preferred)
Experience with Scripting languages ( Python preferred)
Experience with 3D creation and development platforms (e.g., Unity, Unreal Engine)
Experience with visualization libraries (e.g. OpenGL, D3.js)
Familiar with current software architecture and development methodologies, testing practices and tools (e.g. IDEs such as Visual Studio)
Familiar with configuration management / version control concepts and tools (e.g. GIT)
Experience with the following a plus:
Publish Subscribe message brokering services
Development of interactive computer graphics
SDL (Simple DirectMedia Layer) and FFmpeg
Media streaming, encoding, decoding
Artificial Intelligence/Deep Learning theory and platforms (Tensorflow, PyTorch etc.)
Web development (JavaScript, CSS, HTML)
PC literate (word processing, spreadsheet, graphics, etc.)
Good communication skills and teamwork spirit
Available for six months

Location: Conshohocken, PA

InterDigital is committed to a policy of Equal Employment Opportunity and will not engage in or tolerate unlawful discrimination against an applicant or employee on the basis of race, color, religion, creed, national origin, ancestry, citizenship, military status, veteran status, sex, sexual orientation, gender (including gender identity and/or expression), pregnancy, age, physical or mental disability, genetic information, atypical heredity cellular or blood trait, marital status, family status, domestic partner or civil union status or any other legally recognized protected basis under federal, state or local laws, regulations or ordinances.This policy applies to all terms and conditions of employment, including, but not limited to, hiring, compensation, benefits, training, assignments, evaluations, coaching, promotion, discipline, discharge and layoff.","https://www.linkedin.com/jobs/view/externalApply/2407816605?url=https%3A%2F%2Finterdigital%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FInterDigital_Intern%2Fjob%2FConshohocken-PA%2FIntern--DTV-UI-UX-Platform-Development-and-Analysis_REQ21-379%3Fsource%3DLinkedin&urlHash=A0-_&refId=fab4990a-d3ec-44e3-8e95-7d86caa31a8a&trackingId=fJWAb3vF%2BSCUfczEUpXdIA%3D%3D&trk=public_jobs_apply-link-offsite",0.00590346186176776,
14,"UI JavaScript Intern","Adobe","New York, NY","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

UI JavaScript Intern

Adobe is looking for a UI JavaScript Intern in the Adobe Experience Platform. Working with Data Engineers & Architects, Software Engineers, Marketers, Product Managers and the Adobe Experience Design team you will be creating brand new user experiences and components for our core personas: Marketers, Data Scientists, Data Engineers, Data Architects and Technical Analysts.

What you’ll do
You'll operate as a member of this team with a number of key initiatives and projects to produce slick and extendable UI using the latest tools and libraries
You will be responsible for the technical quality of your projects and will be working with other UI Developers, Architects and the Architectural Review Board
You will help the team to promote and create a best in class Developer Experience as we create a CI/CD focused end-to-end product
You have are able to work with modern JavaScript, build tools, understand how to use Git/source control, and understand CSS fundamentals
You have a massively positive attitude and can handle many different tasks with some level of ambiguity
You want to receive code reviews with constructive feedback and desire to provide them in return
You are a team player who can lead research projects and technical discussions
You are proficient in writing and maintaining unit tests
Nice to haves
You have composed applications you are proud of in modern frameworks and libraries such as React, Angular, Vue, etc
You are familiar with Git source control, how to do pull requests, and understand the essentials of merging and resolving conflicts","https://www.linkedin.com/jobs/view/externalApply/2436057364?url=https%3A%2F%2Fadobe%2Ewd5%2Emyworkdayjobs%2Ecom%2Fexternal_university%2Fjob%2FSan-Francisco%2FUI-JavaScript-Intern_R107164%2Fapply%3Fsource%3DLinkedIn&urlHash=tiWo&refId=fab4990a-d3ec-44e3-8e95-7d86caa31a8a&trackingId=kFn66hpE3INlPu8P5zhGrQ%3D%3D&trk=public_jobs_apply-link-offsite",0.03817638754459403,
32,"Senior Ux Designer - Ux Strategy Team","World Wide Technology","Cranston, RI","","https://www.jobs4millennials.com/Cranston-Rhode-Island-USA-job/USER-EXPERIENCE-DESIGN-INTERN-ADVANCED-TECHNOLOGY-CENTER/43bd0846d3cb2b53/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.004761904761904762,
26,"Summer 2021 Internships: UX/UI Design Research Intern","The Motley Fool","Philadelphia, PA","Description

Want to spend your summer interning at a company that is consistently rated as one of the best places to work in the country? Is this a rhetorical question??

The Motley Fool is a multimedia financial services company that provides financial solutions for investors through various stock, investing, and personal finance services. We've been on the block for about 26 years and have honed a reputation for producing industry-leading work in a nationally recognized workplace. Our mission is to help the world become happier, smarter, and richer and the backbone supporting this global mission is our top-notch tech team. If you dream of becoming a brilliant and skilled web designer and are ready to work hard on cutting edge technologies alongside awesome coworkers, then step up to the plate, and tell us why you should land a spot among our Foolish ranks.

For eight Foolish weeks as a UX/UI Design Research Intern, you'll be embedded with the Design and Web Technologies teams that support, build, and maintain our Foolish products and websites. You will have hands-on experience working with users and internal teams to investigate existing user mental models and design products that sustainably address our end users' needs. You will gain exposure to the entire UX Design process -- from the initial research to design, design testing, as well as the hand off to development! You'll also collaboratively shape what success looks like for the changes you propose. The projects you could work on may be team-level or span our entire tech organization.

You'll be challenged and mentored by some of our greatest designers all summer, and in turn, you'll develop the skills it takes to cultivate a user first mindset that will set you apart from your peers. We're excited to open our doors for Summer 2021 Design Intern applicants, so send us your most Foolishly written cover letter and your ultra-impressive resume. We're prepared to be wowed!

What You Need To Succeed
Excellent problem-solving skills with the ability to analyze situations, identify existing or potential opportunities, and recommend solutions.
Ability to present complex qualitative and quantitative data to diverse audiences in an understandable format via excellent verbal and written and/or visual communication skills.
Flexibility and ability to learn quickly.
Extraordinary critical thinking skills.
High-performing problem solving and collaborative skills.
Ability to communicate clearly and demonstrate emotional intelligence.
Ability to think quickly, resolve problems, and multi-task across numerous projects and teams.
Ability to keep a calm and pleasant demeanor under tight, evolving, and sometimes unpredictable timeframes and priorities.
Ability to translate insights into workable prototypes for testing and future iteration.

What would be really cool of you to have, but not required:
Experience applying qualitative research methods.
Experience with full-life cycle research and inspection methods which occur from ethnography all the way to statistically-based user testing.
Experience working on enterprise-level experiences that span multiple channels such as web, mobile, and offline interactions.
Experience with quantitative, behavioral analysis, and statistical concepts.
Experience managing digital product analytics with tools such as Google Analytics, Tableau, Airtable, or Spaghetti and Meatballs.
Experience using design methods and user research data to influence business strategy and leadership.
Familiarity with basic concepts of investing and finance.","https://www.linkedin.com/jobs/view/externalApply/2438556325?url=http%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fthemotleyfool%2Fjob%2FoKKpefwR%3F__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=nrkY&refId=76eb4ba7-93bd-4243-afaf-62206d803ac6&trackingId=qDpOmFoJZjqiJWQf79%2Flxg%3D%3D&trk=public_jobs_apply-link-offsite",0.3266201673705799,
8,"Product Design Intern - Summer 2021","Paradox","Scottsdale, AZ","Are you a web designer with a passion for intuitive UX and beautiful, simple design?

Do you have a less is more design philosophy and believe that the highest form of art is simplicity? (so do we!)

Are you looking to kick start a career in product design at a values-driven tech startup?

At Paradox, we believe when you get the people thing right you can build teams that can change the world. We’re a high performance culture with laser focus on building world class products and a team that our clients love. Our flagship product, Olivia, is the AI assistant helping companies around the world reimagine the way they hire: conversations instead of job applications, automatic interview scheduling, and so much more.

Recently named one of Forbes’ Top 500 Startup Employers, we’re looking for top performers who have a track record of success and want to build a company together as we continue our triple-digit growth.

We’re a company that believes software should be so simple it feels like magic. Our recruiting products are used by job seekers and hiring teams around the world and we’re looking for a UI designer who wants to help bring great design and delightful UX to the long-neglected world of HR technology. As a member of our Product team, you’ll work closely with engineers and PMs to design and ship simple, beautiful software that our clients and users love.

Sound like your dream job? We want to hear from you!

As a Product Design Intern, You Will
Design simple, intuitive web and mobile interfaces, translating business requirements into magical user experiences across the portfolio of Paradox products
Partner with Product and Engineering teams on end-to-end UI design initiatives, from conceptualizing and prototyping to building & shipping software
Create mockups, wireframes, prototypes, and user flows to showcase your user interface proposals and UX ideas
Participate in a highly collaborative, iterative design process, proactively giving and receiving feedback from team members
Uphold our high product standards and design philosophy
Continuously research and apply the latest UX/UI standards and industry trends

Experience & Skills Required
Pursuing a Bachelor’s degree in UI/UX design, graphic design, human computer interaction or related field (rising seniors preferred)
Experience in web and mobile user interface (UI) design - and a spectacular portfolio to show for it!
Excellent understanding of UX design principles and research methodologies
Familiarity with prototyping software such as Sketch, Framer, InVision, Figma, or Balsamiq
Openness to constructive design feedback
Ability to work independently and manage multiple projects simultaneously
Available to work May-August 2021 from our Scottsdale, AZ headquarters (40 hrs/week)
Authorization to work in the United States

Why You Should Work At Paradox
Work side by side with passionate, purposeful people - Talent is our DNA and we pride ourselves on having the best!
Ability to make a big impact on a growing organization and drive your own growth
The opportunity to build the next big thing in recruiting technology
Internal and external professional development, coaching, and continuous education opportunities","https://www.linkedin.com/jobs/view/externalApply/2490800610?url=https%3A%2F%2Fcareers%2Eparadox%2Eai%2Fproduct-design-intern-summer-2021%2Fjob%2F15982848&urlHash=JDWO&refId=fab4990a-d3ec-44e3-8e95-7d86caa31a8a&trackingId=iGuG%2F1qRMOsRIoCsUQxk5A%3D%3D&trk=public_jobs_apply-link-offsite",0.015270449534100092,
