Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
17,"Software Engineering Intern (Fall 2021)","Credit Karma","Charlotte, NC","Credit Karma is a mission-driven company, focused on championing financial progress for our more than 100 million members in the U.S., Canada and U.K. While we're best known for pioneering free credit scores, our members turn to us for tips as they work on their financial goals, including helping them monitor their credit, identity monitoring, searching for credit cards, shopping for loans (car, home and personal), and growing their savings* -- all for free. Credit Karma has grown significantly through the years: we've added more than 70 million members in the last five years alone and now have more than 1,100 employees across our offices in Oakland, Charlotte, Los Angeles and London.

Banking services provided by MVB Bank, Inc., Member FDIC

The Credit Karma Software Engineering Intern Program is a 10-12 week paid internship program located in Charlotte, NC. During your internship, you will be placed into a team where you will work on various projects to help Credit Karma fulfill its mission to make financial progress possible for everyone. Interns will have the opportunity to participate in weekly cohort meetings, team outings, events, and engage in discussions with Credit Karma leadership. If you want to be in a true learning environment and are eager to make an impact in your next internship, this is the place to be! We will equip you with the tools and relationship building techniques you need to be successful wherever life may take you.

We're in search of hardworking university students who want to get hands-on experience in a multifaceted environment like ours! We have openings across all Engineering teams (including various product verticals, security, QA, and mobile teams) from application development, mobile development and web development. As a Credit Karma Software Engineering Intern, you'll be a part of the entire product development life-cycle. Being able to work side by side with our full-time engineers to make our product even more user-friendly and robust for our millions of users.

Please note - our internship program will be located in Charlotte, NC. Should the internship need to be remote, we can only accommodate candidates working in California, North Carolina, Texas, Washington, Oregon, Nevada, Missouri, South Carolina, New York, Georgia, Colorado, Utah, Arkansas, and Washington D.C.

What You'll Do
Gain hands on experience working on a high impact engineering team
Complete a project from start to finish within 10-12 weeks
Work cross-functionally with various teams within Credit Karma


Minimum Requirements
Currently pursuing a Bachelor's Degree or Master's Degree in Computer Science or similar discipline
Experience in at least one multifaceted server-side language: PHP, Python, Perl, Java, Ruby, Scala, or similar
Ability to work in a fast-paced, ever evolving environment


Equal Employment Opportunity

Credit Karma is committed to a diverse and inclusive work environment. We believe that such an environment advances long-term professional growth, creates a robust business, and supports our mission of championing financial progress for everyone. We offer generous benefits and perks with a single eye to nourishing an inclusive environment that recognizes the contributions of all and fosters diversity by supporting our internal Employee Resource Groups. We've worked hard to build an intensely collaborative and creative environment, a diverse and inclusive employee culture, and the opportunity for professional growth. As part of the Credit Karma team, your voice will be heard, your contributions will matter, and your unique background and experiences will be celebrated.

Credit Karma is also proud to be an Equal Opportunity Employer. We welcome all candidates without regard to race, color, religion, age, marital status, sex (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity or gender expression, national origin, veteran or military status, disability (physical or mental), genetic information, or any other protected characteristic. We prohibit discrimination of any kind and operate in compliance with the San Francisco Fair Chance Ordinance.

COVID-19 update: Protecting the health of our employees and the candidates interested in a career at Credit Karma is our top priority. We appreciate your understanding and being open and flexible with any changes related to our interviewing process.

Credit Karma is strongly committed to protecting personal data. Please take a look below to review our privacy policies:
GDPR Privacy Policy
California Consumer Privacy Act (CCPA)","https://www.linkedin.com/jobs/view/externalApply/2456160713?url=https%3A%2F%2Frr%2Ejobsyn%2Eorg%2F9AF8BDFCCE774041BA8866CF291E6EDD16061606&urlHash=aPIo&refId=90aa5f78-a0ab-42c6-b9cd-1072b3389004&trackingId=GIqA0dj2bzSon%2BTBqI33ww%3D%3D&trk=public_jobs_apply-link-offsite",0.002890635581352696,
61,"Web Development and Digital Communications Intern","Nebraska Public Power District","Ainsworth, NE","Nebraska Public Power District (NPPD) has an immediate opening for a Web Development and Digital Communications Intern located at Ainsworth Office, Ainsworth Wind Facility, Alma Office, Atkinson Office, Aurora Office, Bassett Office, Beatrice Power Station, Bloomfield Office, Canaday Station, Chadron Office, Columbus General Office, Cooper Nuclear Station, Cozad Office, Crawford Office, Creighton Office, Doniphan Control Center, Geneva Office, Gerald Gentleman Station, Hartington Office, Humboldt Office, Kearney Operations Center, Lexington Office, Lincoln Area Headquarters, Lincoln Governmental Affairs, Loup City Office, McCook Office, Milford Office, Minden Office, Norfolk Customer Care Center, Norfolk Operations Center, North Platte Office, O'Neill Office, Ogallala Operations Center, Oshkosh Office, Pawnee City Office, Paxton Office, Plattsmouth Office, Ravenna Office, Rushville Office, Scottsbluff Office, Sheldon Station, Shelton Office, South Sioux City Office, Spencer Hydro, Sutherland Office, Sutherland Reservoir, Tekamah Office, Tilden Office, York Operations Center in Various/Negotiable. Position closes April 15, 2021. This is a temporary position starting approximately May 17, 2021 and will end approximately August 27, 2021 (depending on student availability). Work schedule is Monday through Friday; 40 hours/week. Please include portfolio samples in application.

Position Summary

The incumbent assists in planning, developing and implementing communication for internal and external audiences; creates written and graphic content, and coordinates photos, graphics and video to be used in the layout and design of print and digital publications. The incumbent will also assist with programming, planning and coordinating special events. The incumbent’s primary assignments will be to design and implement attractive, functional websites for our customers and to assist in content management within corporate communications. This will include communication and coordination with internal subject matter experts and external customers.

Education, Training and Experience

The intern must be enrolled in an accredited two-year or four-year college/university carrying a minimum of 12 semester units/credits or 8 quarter units with freshman, sophomore, junior or senior standing with desire to pursue a career in Web Design, Communications, Advertising, Sales, Journalism, Public Relations, Marketing, Computer Science, Information Technology, Internet Marketing, Data Analytics, Data Science or related fields and must maintain enrollment. Junior or senior status is preferred.

Students enrolled in Associate Programs but planning on pursuing a bachelor's degree will be considered if proof of a 4-year plan can be demonstrated.

The internship/training must be in the student's field of study. College credit may apply to some internships.

The intern must have experience in website design with experience of WordPress in addition to CSS and HTML coding. The intern should have strong composition skills, customer service and familiarity with layout, design and photo/video systems. Social media knowledge and content management systems desired. Utility knowledge is a plus.

Licenses and/or Certifications

Not applicable.

Essential Duties & Responsibilities

Communicate, coordinate, and complete conversion from html to WordPress for community websites.

Manage and organize already curated content into Media Bank. Train/refresh Corporate Communications team on strategies within Media Bank.

Ability and/or willingness to work with various software to create graphics using graphic design software, such as Adobe editing products (Illustrator, InDesign, or Photoshop).

Assist with story writing, layout and design and public relations activities.

Participate in communication efforts; assist and coordinate special events.

Assist in the planning and creation of NPPD's corporate marketing, advertising, community outreach and media efforts. Brainstorm creative and innovative ways to engage with customers and teammates.

Strong organizational skills to multi-task.

Must work well within a team environment and focus on safety; have a disciplined work ethic and a commitment to quality work products preferred.

Have growth-mindset and eagerness to learn.

Accountable For Other Duties As Assigned.

Essential Duties & Responsibilities (Continued)

Core Competencies

Customer Focus

Employees & Teamwork/Diversity & Inclusion

Integrity/Excellence

Public Service/Environmental Stewardship

Safety

Salary Information - Nebraska Public Power District offers a competitive starting salary with opportunities for growth.

Pay Grade - 99 Hourly

Typical Pay Grade Starting Salary Range: $15.00 per hour

Travel Required: Up to 25% (With no or minimal overnight stays, less than 3 per month, typically within state of Nebraska) Travel required may fluctuate by business need. This is an estimate and will be discussed further with candidates that receive an interview.

Nebraska Public Power District offers an excellent benefits package including medical and dental insurance, 401K retirement plan, paid holidays, paid vacation, paid medical, training opportunities and more.

If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact Human Resources at Nebraska Public Power District.

Nebraska Public Power District is an Equal Opportunity Employer

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number 63879. Message & data rates may apply. Please refer to our privacy policy for more information.","https://www.linkedin.com/jobs/view/externalApply/2488565291?url=https%3A%2F%2Fnebraska-public-power-district%2Etalentify%2Eio%2Fjob%2Fweb-development-and-digital-communications-intern-ainsworth-ne-nebraska-public-power-district-1602%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGozd3dhYyxlcHJvNjA3MTMwZDA3MWI4MzQwMjY4ODEyOQ&urlHash=Y8hb&refId=f403e6c5-c1fd-46e0-b931-4486f5431370&trackingId=ox8ozDPPteiDlsuUF5N5Yg%3D%3D&trk=public_jobs_apply-link-offsite",0.0023659693292460452,
64,"Web Development Intern","ICF","Anywhere","","https://www.recruit.net/job/web-development-jobs/132A7A174CDB82E9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0021085768591114283,
19,"INTERNSHIP - Web Developer","SightCall","San Francisco, CA","Company Description

SightCall’s Video Platform as a Service (PaaS) provides developers the APIs and Mobile SDKs they need to create a consistent experience across major browsers and mobile platforms. SightCall manages a global real-time video infrastructure which enables our partners to:
Transform Patient Care With Real Time Interactive Telemedicine
Increase Customer Satisfaction With Video Customer Support
Boost Employee Engagement Through Improved Collaboration With Live Video
SightCall Now Supports IOT And Wearables
Job Description
This internship supports the Marketing team with web production and organization:
Update content on consumer facing websites using WORDPRESS, HTML and CSS.
Help create documentation of the web site’s functional components.
Work independently providing quality coding projects as assigned, using standard coding practices.
Qualifications
Current enrollment or Bachelor’s Degree in Computer Sciences, Web or Graphic Design preferred
HTML/CSS - Required
JavaScript/JQuery - Highly Desired
Wordpress - Highly Desired.
Photosphop / Illustrator - Nice to have.
Additional Information
All your information will be kept confidential according to EEO guidelines.

SDL2019-2048","https://www.linkedin.com/jobs/view/externalApply/2372512450?url=https%3A%2F%2Fwww%2Estartwire%2Ecom%2Fjobs%2Fsan-francisco-ca%2Finternship-web-developer-2081816216%3Fcampaign%3D164%26source%3DLI&urlHash=1PTJ&refId=90aa5f78-a0ab-42c6-b9cd-1072b3389004&trackingId=6v%2BFXkBEEvAXniW4fUTkAA%3D%3D&trk=public_jobs_apply-link-offsite",0.00221485480166102,
67,"Web Developer Intern","Applied Dynamic Solutions","Scotch Plains, NJ (+1 other)","Applied Dynamic Solutions, LLC, a technical web design agency based in Rahway, NJ, is looking to hire a web developer intern. The candidate should be detail-oriented, a team-player, and have the ability to work independently on multiple projects simultaneously.

The ideal candidate will have experience with HTML and CSS:
• Ability to code HTML pages and make copy changes within existing code
• Style pages in a separate CSS file to affect a change to the page in a browser, using element, class and ID selectors.

Required:
• Coding valid HTML and CSS Cross-browser compatibility
• Basic UX and Designability Strong interpersonal communication skills

Opportunity to Learn (Not required):
• CSS3, HTML5 (PLUS)
• Twitter Bootstrap (MAJOR plus)
• Responsive Web Design CSS Preprocessor (LESS Dynamic Stylesheets)
• Web frameworks (Bootstrap, AngularJS, MVC Design Pattern in Visual Studio)
• JavaScript/jQuery Web standards Source Code Control (Git/GitHub, TFS)
• SEO/Google Analytics

Minimum 15-20hrs/week commitment.
Possible part-time hiring based on skill level.
We offer work-for-credit and stipend.

For more information, send an email to info@adsworks.com","https://www.glassdoor.com/job-listing/web-developer-intern-applied-dynamic-solutions-JV_IC1126952_KO0,20_KE21,46.htm?jl=3818830650&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0021871079102621714,
41,"Software Development Intern","Perspecta","South Charleston, WV","Business Group Highlights

Civilian, State and Local

Perspecta’s Civilian, State and Local segment partners with the U.S. Federal Civilian State and Local governments to provide infrastructure services, business solutions, and digital transformation services that help them achieve policy objectives and integrate citizen-centric services.

Responsibilities

Perspecta seeks a software developer to help drive efforts to implement customer friendly web interfaces in support of multiple CSP enterprise environment. The candidate must have experience with solutions from both a technical and functional perspective. The candidate should be familiar with Javascript and modern Javascript frameworks such as Vue or React. The candidate will participate in exploring business needs, architectural analysis, development, testing, and production support and maintenance.

Our intern program is designed to provide college students the opportunity to learn about Perspecta and gain meaningful, hands-on work experience in a professional environment. Perspecta’s summer internship program places an emphasis on developing the next generation’s workforce. This being said, as part of our internship curriculum we provide the opportunity for each intern to interact with various branches of the company. This includes the chance to participate in a corporate public speaking course, complete technical certification training courses, attend brown bag sessions with our executive leadership team and participate in teambuilding activities with mentors and fellow interns. Our culture of mentoring, continuous learning and team orientation will be obvious from your first day on the job. Our goal is to build a roadmap that leads you to a long, rewarding and challenging career with Perspecta. We work with you to determine your desired career path, and the correct steps to get you to your goals. At the end of the program each intern will give a brief presentation to our executive team summarizing their accomplishments and key takeaways achieved while working for us. Co-Op / Interns typically represent college students trying to gain related work experience while pursuing an undergraduate degree. Under direct supervision, performs various hands-on tasks and assignments for the organization's professional staff in such disciplines as Engineering, Software Development, Database Management, Security Threat Analysis.

Internship Advantages

Meaningful work related to national security
Primary channel for full-time, entry-level hires
Competitive pay -Opportunity for government security clearance
Interaction with executives
Organized professional development and social activities.

We ask that each intern be available to work the duration of the ten weeks and commit to working a minimum of 35 hours per week. This program is geared towards technical college students, actively enrolled at a four year university, who will be rising into their senior year. Juniors may be considered if they have declared their major and have qualified coursework.

Qualifications

Must be a US citizen. May be required to obtain a government security clearance. Must be actively pursuing a 4 year degree at an accredited university. Must be pursuing a degree in engineering, mathematics, business, information technology, computer science, or related fields. An ideal candidate will be a rising junior or senior. An ideal candidate will have a 3.0 cumulative GPA or higher. Requires High School level plus some advanced training.
Requires 0 to 2 years with BS/BA or 6 to 8 years no degree.
UX / UI design and implementation of Web Interface to exercise C# API endpoints
Integration of C# endpoints and models into the web users experience.
Java and Javascript.
Vue (REACT or Angular is a plus, Vue is used by the project).
Experience with 508 compliance
Knowledge of using Promises in Javascript
Experience with RESTful APIs.
Experience with JSON.
Experience with Generics.
Experience with integration testing.
Experience with javascript unit testing.
Understanding and knowledge of CSP services is a plus (Virtual Machines, Websites, Storage Blobs, SQL Database, Virtual Network, Traffic Manager, Automation, Active Directory, CDN, Cache).
Experience with DevOps and automation Tools is a plus (Git, Jenkins, Maven, Ant, Nexus, Chef, and Puppet).

About Perspecta

What matters to our nation, is what matters to us. At Perspecta, everything we do, from conducting innovative research to cultivating strong relationships, supports one imperative: ensuring that your work succeeds. Our company was formed to bring a broad array of capabilities to all parts of the public sector—from investigative services and IT strategy to systems work and next-generation engineering.

Our promise is simple: never stop solving our nation’s most complex challenges. And with a workforce of approximately 14,000, more than 48 percent of which is cleared, we have been trusted to do just that, as a partner of choice across the entire sector.

Perspecta is an AA/EEO Employer - All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

As a government contractor, Perspecta abides by the following provision

Pay Transparency Nondiscrimination Provision

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of the other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c).","https://www.linkedin.com/jobs/view/externalApply/2429933452?url=https%3A%2F%2Fclick%2Eappcast%2Eio%2Ftrack%2F7wy1pku-org%3Fcs%3D4c%26jg%3D1h83%26bid%3DlUf2CslKyPxm6i440ZgUYA%3D%3D&urlHash=wDcv&refId=e6c29d2f-e48e-4fb1-bf40-cde534e790ba&trackingId=CkhM9ZEXRyCMhhsUN0ZVhw%3D%3D&trk=public_jobs_apply-link-offsite",0.002398937754325703,
8,"Web Developer Intern 2021","Unleashed Technologies","Columbia, MD","Unleashed Technologies is looking for the right person to join our development team! This individual enjoys a high energy work environment and works well in a team atmosphere. As an Intern at Unleashed Technologies, you'll work on some of the most engaging web initiatives in the Mid-Atlantic and be surrounded by highly talented peers. Interns are placed on a team and will be assigned to a specific mentor. A typical internship lasts 90 days and, upon successful completion, can end in an offer of employment in a junior-level position. Please note that because of this, we have a strong preference for recent college graduates or those with some practical experience looking for a second career.

We are usually looking for interns interested in one of the following areas:

Front End Development
Back End Development
Design / Marketing
DevOps
Quality Assurance
Project Management
When applying, please specify your area of interest. Do you have what it takes to be a member of a dedicated team?

Qualifications:

Qualifications depend on positions, but generally:

Some PHP, JavaScript, CSS and HTML Skills
Decoupled development skills such as React, Angular, or Vue is a plus
Knowledge/Experience in Object-Oriented Design Patterns
Capable of Working in a High Energy Environment
Strong Team and Communication Skills
Attention to Detail and Reliable Development History
Willingness to Learn and Work on Open Source Platforms
Desire to be Challenged
Powered by JazzHR

9g4bpRht1I","https://www.linkedin.com/jobs/view/externalApply/2330628390?url=https%3A%2F%2Fwww%2Equaltrics%2Ecom%2Fcareers%2Fus%2Fen%2Fjob%2FQUALUS2545690EXTERNALENUS%2FWeb-Development-Internship%3Futm_source%3Dlinkedin%26utm_medium%3Dphenom-feeds%26t%3Dedd9906d1&urlHash=mKh6&refId=fee78191-4335-4c77-a1b2-a526054483ca&trackingId=fV8vtP6RRmXhyXLKj3TpJQ%3D%3D&trk=public_jobs_apply-link-offsite",0.00316802879034357,
31,"Software Product Development Intern","Modernizing Medicine","Boca Raton, FL","At Modernizing Medicine, we look for passionate, innovative, creative Rock Stars!
Inc. Magazine Best Workplaces of 2020
Inc. 5000 Fastest-Growing Private Companies in America - 2015 - 2019
Best Use of Technology in Customer Service (Gold) - Customer Sales and Service World Awards® - 2019
Customer Service Department of the Year (Gold) - Customer Sales and Service World Awards - 2018
South Florida Business Journal Fastest Growing Technology Company - 2016 - 2018
Customer Success Team of the Year by SIIA's Company CODiE - 2017
People’s Choice UX Award for modmed® Kiosk - 2017

Modernizing Medicine is delivering truly disruptive and transformative products and services that will impact the healthcare industry. The work we do makes a difference. Our web and mobile applications are transforming healthcare information technology to increase practice efficiency and improve patient outcomes. We offer end-to-end specialty-specific solutions from practice management, through EMR to Revenue Cycle Management (RCM) that maximize office interactions, patient visits, collections and reimbursements.

Modernizing Medicine’s Product Development team is looking for interns who are pursuing a career in Software Engineering to join our dynamic team of Java, .Net, Mobile (iOS), and QA (Automation) engineers. We follow the Scrum Agile Methodology and practice Test Driven Development. All of our software runs in the Amazon Web Services cloud.

Students and recent grads thrive at Modernizing Medicine! You work on real projects that make a real difference. Modernizing Medicine Interns take their ideas and passion and do great things. Interning with Modernizing Medicine, you can develop skills and get hands-on experience working with some of the best talent in the business.

As a Software Product Development Intern for Modernizing Medicine, you contribute to our success and our client's success. You participate in the development cycle, taking part in all agile ceremonies from planning and estimation through demonstration of work completed. You work in an agile setting, performing two week long sprints and exercising best practices like Test Driven Development. You are mentored and challenged by a core team of engineers and architects.

You may be a great fit for Modernizing Medicine’s internship program IF…

We Target Candidates With The Following Credentials

To be considered for an internship opportunity, you must be a current student or recent college graduate.
Enrolled in a Computer Science (or related) program of study
Can commit to a full-time, M-F work schedule
GPA is 3.0 or higher
Genuinely passionate about engineering
Excited about working with new technologies
Driven by curiosity
A problem solver
Self-motivated
Results-driven
Collaborative
A strong communicator
Able to thrive in a dynamic, fast-paced environment


Your Role
Work on challenging problems
Contribute to frontend and backend engineering projects
See your code deployed and used by real customers
Participate in cross-functional system support activities

This internship does not offer relocation or housing opportunities. Remotely-located candidates may be considered due to the current pandemic situation.**","https://www.linkedin.com/jobs/view/externalApply/2423186453?url=https%3A%2F%2Fwww%2Emodmed%2Ecom%2Fcompany%2Fcareers%2F%3Fgh_jid%3D5081446002&urlHash=YT9G&refId=90aa5f78-a0ab-42c6-b9cd-1072b3389004&trackingId=SAWYeQp3kfWfzqr%2FjOW29A%3D%3D&trk=public_jobs_apply-link-offsite",0.0030503700107253275,
66,"Web Development Internship","Overdrive Interactive","Allston, MA (+1 other)","Overdrive Interactive is a Boston-based digital agency with a unique blend of strategic, media, creative and technical services that truly represent the model of what most agencies are striving to become in today's competitive environment. Employment at Overdrive means having the opportunity to work in a dynamic environment providing some of the world’s leading companies with the cutting edge online marketing programs they need to succeed and grow. Our team members get their heads around online advertising, search marketing, social media, mobile, digital creative, analytics and more – all the things marketing and creative professionals need experience in to thrive in today’s ever changing marketplace. Want to know more? Check out our site at www.overdriveinteractive.com

An internship at Overdrive Interactive is a foot in the door. We train our interns to become expert interactive marketers so they can work for our company. So, while getting in the door might be a little harder here once you’re in, you are viewed as a critical team member and an integral part of the agency’s future. The Intern’s duties will encompass all aspects of web development, from start-up (design, functionality, coding, mark-up writing, and testing) to routine maintenance and troubleshooting.

Responsibilities:
• Provide daily development support for the Marketing Department.
• Conduct development research for clients, as needed.
• Work with database systems including MySQL.
• Work with off-the-shelf and open source CMS systems such as SharePoint, Drupal and WordPress.
• Work on projects including web layout enhancements, desktop applications, website enhancements, web-based applications, and database-backed websites.
• Test company websites with multiple browsers in order to maximize traffic capabilities.

Requirements:
• Senior undergraduate currently enrolled in a college or university.
• Knowledge of HTML, CSS and JavaScript.
• Understanding of cross-browser issues and W3C standards.
• Knowledge of PHP programming language.
• Excellent attention to detail.
• Self-motivated to explore new technologies and programs.
• Ability to work efficiently, both independently and in team environments.
• Able to devote 15-20 hours per week at Overdrive.
• Education and experience industry standards in website development and content accessibility.
• Analytical, creative and willing to experiment.
• Ability to deal with uncertainty.

Hours can be flexible to work around a school schedule for the ideal individual. This is an unpaid internship for college credit and experience to transition onboard full-time","https://www.glassdoor.com/job-listing/web-development-internship-overdrive-interactive-JV_IC1154516_KO0,26_KE27,48.htm?jl=3666693320&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.020294962514528947,
39,"Intern, Marketing - Design (Summer 2021)","Interfolio","Washington, DC","Interfolio is on a mission to build smart, inspired and useful products for faculty and academic communities. By building an engine for faculty activity, decisions, and data, Interfolio has become the first mover in defining and category of faculty-focused technology that cultivates goal-oriented collaboration around academic decision-making. Interfolio operates the first holistic faculty information system to support the full lifecycle of faculty work, from job seeking to review, tenure, sabbatical, committee work, research, and beyond. Offering colleges and universities increased and insight into faculty data to help achieve their strategic initiatives, Interfolio believes that advancing the faculty will advance the institution.

What’s even better than that?

We’ve crafted a fun, collegial, dynamic culture that celebrates team and individual success almost daily. We’ve got a lean team of super-smart, super-hard working, local and remote colleagues who collaborate closely to produce a valuable service for an industry we’re passionate about. And, we genuinely like working with each other and with our clients.

Like what you’ve heard so far?

Then consider joining our Marketing team. This summer, we are welcoming interns from across the continental United States to work with our team in a remote capacity. As part of the Marketing team, interns support the broad range of marketing efforts for a growing EdTech company. This intern will focus on working closely with the Director of Design on various graphic design and web design projects including brand development, campaign collateral design, and more.

This internship is paid at $15/hour and is considered part time.

Spring 2021 Design Intern Responsibilities
Create and design print and digital materials, including one-pagers, brochures, icons, social media graphics, and more
Create and update various sales collateral, including slide decks
Assist with other marketing collateral updates and version control
Adhere to brand guidelines and complete projects on-time
Source, retouch, and manipulate images
Use graphic design software and work with a wide variety of media including digital files, print-ready files, digital ads, etc.
Collaborate with team to develop design concepts
Receive feedback from team and make necessary changes
Assemble final presentation material for printing or online publication as needed
Assist with website updates via Wordpress
Our culture sets us apart—we look forward to sharing more about our company and our team!

Interfolio is committed to diversity and the principle of equal employment opportunity for all employees. You will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), national, social or ethnic origin, age, gender identity and/or expression, sexual orientation, family or parental status, or any status protected by the laws or regulations in locations where we operate.","https://www.linkedin.com/jobs/view/externalApply/2497432007?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Finterfolio%2Fdaa6d5b9-b806-4b0b-8f8f-662065b662ab%2Fapply%3Flever-source%3DLinkedIn&urlHash=TRIe&refId=e6c29d2f-e48e-4fb1-bf40-cde534e790ba&trackingId=JJ0Z0ZhQQBDWI8n3MSW8Qg%3D%3D&trk=public_jobs_apply-link-offsite",0.005505861393607834,
