Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
5,"Occupational Therapy Outpatient Telehealth Teaching Internship – Providence...","ClinEd Telehealth","Providence, RI","Apply Now

The Position:

We are accepting applications for an Outpatient Occupational Therapy and Teaching Telehealth Internship with ClinEd Telehealth. The intern selected for this position, under general supervision of a licensed occupational therapist professional, will:
• Utilize telehealth a telehealth platform to provide synchronous and asynchronous occupational therapy services to patients;
• Provide clinical supervision to occupational therapy and occupational therapy assistant students during clinical education rotations, while providing telehealth;
• Grade and provide feedback for asynchronous, educational activities of assigned students
• Provide educational and administrative support for service learning projects.
• Set up and operate telehealth audio/visual equipment necessary to provide telehealth to patients and students.
• Provide mentorship to physical therapy and physical therapist assistant students in the ClinEd Telehealth Program

The Ideal Candidate will:
• Have graduated from a ACOTE accredited OT or OTA program within the last 12 months;
• Be a licensed occupational therapist or certified occupational therapist assistant in California;
• Work as part of a multi-disciplinary team;
• Have proficient computer skills in Microsoft Office and Excel; have a personal laptop or tablet
• Have the ability to read, write and converse fluently in English and Spanish (preferred);
• Demonstrate satisfactory academic completion with an overall GPA of 3.0 or higher;
• Have exemplary professional soft skills; be kind and respectful; appreciate diversity in all forms.
• Hold in high regard, the AOTA Occupational Therapy Code of Ethics and Core Values

Internship Hours:

This is a full-time, 16-week unpaid internship opportunity which will require the intern to be present in the outpatient clinic 2 days/week and work from home 3days/week. Clinical days are Tuesdays and Thursday and the telehealth “physical” clinic is located in Corona, CA.

Benefits:

Interns that successfully complete the ClinEd Telehealth Internship Program will be considered for future employment opportunities with the organization, as they arise. Internship graduates will also receive a discounted rate on New Graduate Residency Programs that are affiliated ClinEd Telehealth. Graduates that complete the Internship and New Grad Residency Program will earn valuable experience in becoming a telehealth physical therapist and clinical instructor. Sponsorship/partial stipend to become an APTA Certified Clinical Instructor after 1- year of practice will be provided by ClinEd Telehealth.

About ClinEd Telehealth:

ClinEd Telehealth strives to revolutionize the clinical education experience by aligning student learning experience with 21st century, healthcare practice. When academic programs adopt an integrated and experiential approach to clinical education using telehealth learning technologies, students learn in ways that are more closely aligned with and reflect contemporary practice in the nursing and allied health fields. Our educational model diversifies clinical education into four categories: Synchronous Telehealth, Asynchronous Telehealth, in-clinic training (traditional, hands-on patient care), and service learning (using the learned skills relevant to your course of study, to provide community service.)

We recognize that the healthcare and education industries must adapt to the ever-changing world in which we live. With clarity, we acknowledge that the Covid-19 had a significant impact on student placement and prior to the Pandemic, our clinical education pathways were over-stressed. As we move forward during these unprecedented times, we must do so with foresight. It is likely site coordinators and clinical instructors will be unable to provide equal educational access and availability to all students in a timely manner. As such, our goal is to help decompress these systems now by providing an alternative pathway for clinical education completion; keeping students, programs, and institutions on-track and on-time, with their outcomes and goals.

Our overarching mission is to be a change agent in healthcare and education by making both accessible and affordable to all. The patients we serve either have no insurance, have exhausted their insurance benefits or have insurance but simply cannot afford the co-payments and deductibles of their plans. Our model is designed to meet the needs of both students and patients, providing a “win-win” situation for everyone. Students are able to fulfill their clinical educational hours, allowing them to graduate on-time and obtain professional licensure, while patients receive the necessary, high-quality care that they need but simply cannot afford or do not have.

The time has come to re-imagine how we approach clinical education and meeting the needs of underserved populations within our community, country and world. Out of necessity and especially during these unprecedented times, we must have the courage to act; taking the utmost responsibility to uphold each professions core values and standards of care. ClinEd Telehealth is proud to bring forward this groundbreaking solution for healthcare scholars and for those that are in need of high-quality, healthcare.

Apply Now","https://www.telehealthgigs.com/job/occupational-therapy-outpatient-telehealth-teaching-internship-providence-rhode-island/amp/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.07174995982530545,
6,"Clinical Intern","TIDES FAMILY SERVICES INC","Pawtucket, RI (+1 other)","Description

Performance Expectations/Key Challenges
• Provide in-home and community strengths-based support services to clients and families by addressing behaviors with targeted outcomes within an expected timeframe.
• Work collaboratively with integrated team of caseworkers, behavioral assistants and clinicians to develop treatment goals, provide resources, advocacy, perform routine assessments and build relationships with clients and families.
• Maintain crisis and trauma counseling and other services to help ensure client and family safety.
• Build and sustain collaborations with community partners, including health, education, vocation, legal and family intervention providers with the goal of increasing access to services for individuals and families whose needs align with our services.
• Ensure quality service metrics are met through ongoing analysis, case review, daily ETO reporting, and accuracy of data entry into TFS ETO platform or other reporting measures.
• Serve as liaison/advocate between the program, community and surrounding neighbors to build partnerships.
• Support activities, services and programs that uphold NASW professional boundaries and culturally sensitive to clients and families.
• Develop case reports or communication letters or other forms of contact to truancy court or other juvenile justice systems.
• Attend and participate in all required program meetings including; program coordinator meetings, biweekly supervision with leadership, run downs, and all staff meetings.
• Coordinate activities and resources that can benefit all clients and families within TFS.
• Strong crisis management, problem-solving, and interpersonal skills, particularly when working with youth of all ages.
• Managed in-home and community strengths-based services to clients and families .
• Skilled in building relationships with internal team, stakeholders, clients and families, schools, law enforcement and other community resources.

Requirements

Critical Knowledge/Skills
• 1-4 years experience in human services, healthcare, and other non-profit agencies.
• Demonstrates a safe, strengths-based environment while continuously using everyday behavior opportunities to teach, guide, and support youth and families with their goals and challenges to remain in the home and in their communities.
• Capacity for behavior management utilizing counseling techniques, program structure, guidelines and crisis intervention and to use metrics to ensure accountability.
• Degrees/Certifications/Licenses
• Bachelor’s degree – Required
• Master's level in progress
• Valid driver’s license and registered/inspected vehicle – Required
• Bilingual; English, Spanish, Portuguese, Creole – Preferred","https://recruiting.paylocity.com/recruiting/jobs/Details/350924/Tides-Family-Services-Inc/Clinical-Intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.15909544468339715,
9,"2021 Research and Development Summer Internship","JOHNSON & JOHNSON","Cumberland, RI","At Johnson & Johnson, we use technology and the power of teamwork to discover new ways to prevent and overcome the world's the most significant healthcare challenges. Our Corporate, Consumer Health, Medical Devices, and Pharmaceutical teams leverage data, real-world insights, and creative minds to make life-changing healthcare products and medicines. We're disrupting outdated healthcare ecosystems and infusing them with transformative ideas to help people thrive throughout every stage of their lives. With a reach of more than a billion people every day, there's no limit to the impact you can make here. Are you ready to reimagine healthcare?

Here, your career breakthroughs will change the future of health, in all the best ways. And you'll change, too. You'll be inspired, and you'll inspire people across the world to change how they care for themselves and those they love. Amplify your impact. Join us!

Research & Development Internship Overview:

J&J R&D encompasses the development of advanced materials, process improvements, risk management and mechanical testing through the development process across all sectors including Pharmaceutical, Medical Device, Consumer and Corporate/Enterprise. We offer a fast-paced cross-functional, technologically advanced, corporate environment, passionate about developing individual engineering and scientific skills. You will have the opportunity to learn about anatomy, disease states, deformities and the surgical procedure/products used to address these conditions.

Life as an R&D Intern:

The R&D Intern program provides each student with real-life hands-on experience, coaching and mentoring, networking opportunities, as well as the opportunity to meet people from various schools throughout the country. We plan on hiring 150+ Intern Students across several functional roles within Research & Development. Each Intern will be assigned to a single function with a specific project for the 4-month Internship term.
• The typical Summer term is from May 4, 2021 - August 27, 2021
• Some teams may offer an extended Internship term
• The Internship may be virtual/remote, while other business critical roles will be onsite and may require relocation.
• Career mentorship is available with endless networking opportunities within assigned team and beyond
• Assignment area and work-site location will be matched to business needs
• Some roles may offer one-time housing stipend assistance if you are assigned to work onsite
• Housing assistance includes a onetime stipend for students to use at their discretion
• For roles that require you to work on site, transportation is the student's responsibility
• Full time availability (40 hours per week)
• Pay rate is determined based on the grade level at time of offer. Undergrad Sophomore $21.00/hr, Undergrad Junior $23.00/hr, Undergrad Senior $24.50/hr, pursuing master's degree $28.50/hr, pursuing PhD $40/hr
• This position is overtime eligible
• Employee may be eligible to participate in Company employee benefit programs, such as medical benefits, sick time and holiday pay, in accordance with the terms of the applicable plans

Available Internship Areas Include:
• Biotherapeutics Development
• Drug Development
• Pharmacometrics
• Clinical Pharmacology and Therapeutics
• Automation
• Cell Therapy/Development
• Wound Closure & Repair
• Minimally Invasive Surgery
• Orthopedics
• Immunology, Oncology, Neuroscience, Toxicology, Vision
• Women's Health
• Biomaterials, Biostatistics
• Medical Writing
• Scientist- various roles
• Scientific Computing
• Data Analytics, Data Management, Statistics
• Global Regulatory Affairs
• Global Product Development
• Business/ Research Operations
• Quality/Development Engineering
• Biomechanical Testing
• Customer Quality Investigation
• Software Testing, Hardware
• Scientific Computing

Available Locations:

Please note that most, but not all, Johnson & Johnson roles are currently virtual due to COVID-19. While locations/facilities have been aligned to our Internships and Co-Ops positions, assignments could be virtual due to the uncertainties of COVID-19.
• High demand: New Jersey (Titusville, Raritan, Somerville, New Brunswick)
• High demand: Pennsylvania (Spring House, Malvern, Fort Washington, West Chester)
• Other locations: Jacksonville, FL, Warsaw, IN, Raynham, MA, Fremont, Irvine, Irwindale, Los Angeles, Milpitas, San Diego, San Francisco, Santa Ana, South San Francisco, CA, Colorado Springs, CO, Monument, CO

Desired Majors:
• Engineering (Mechanical, Biomedical, Industrial, Electrical, Materials, Software, Chemical, etc.)
• Science (Biology, Molecular Biology, Chemistry, Biochemistry, Neuroscience etc.)
• Data Science, Statistics, Business Analytics, Mathematics
• Finance, Economics, Business, Marketing
• Information Technology, Computer Science
• Supply Chain, Information Systems, Packaging Sciences
• Pharmacology, PharmD, Psychology, Sociology
• Exercise Science, Food Science, Human Science/Development

Qualifications
• Candidates must be legally authorized to work in the U.S. and must not require sponsorship for employment visa status now, or in the future","https://www.ziprecruiter.com/c/JOHNSON-&-JOHNSON/Job/2021-Research-and-Development-Summer-Internship/-in-Cumberland,RI?jid=628916110dd29158&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05371511139897707,
7,"Wih - Research Nurse Coordinator - D","TIDES FAMILY SERVICES INC","Pawtucket, RI (+1 other)","","https://recruiting.paylocity.com/recruiting/jobs/Details/350924/Tides-Family-Services-Inc/Clinical-Intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05371511139897707,
3,"Credentialing Coordinator","Sierra Vista Hospital","Anywhere","","https://www.ziprecruiter.com/c/Sierra-Vista-Hospital/Job/Paid-Intern-Clinician/-in-Fall-River,MA?jid=b27d35ff85b7f0bb&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05371511139897707,
0,"KH-Clinical Pharmacy Intern","Care New England","Warwick, RI (+1 other)","Job Description

Position Title: Clinical Pharmacy Intern
Organization Code: 26

Position Number: 1258

Patient Care Services Division

Pay Class: GS

Pharmacy Department

Grade: 7

FLSA: Non Exempt

Date: September 15, 2004

Primary Function

The pharmacy intern performs clinical tasks under the direction of the Clinical Coordinator of pharmacy services.

Responsibilities
• Researches and reports utilization of high-risk and high-cost drugs under the guidance of the Clinical Coordinator to improve the use of medications. This includes the design of the research, the identification of patients, the data collection and chart auditing, the data analysis, and the reporting of results.

65%
• Reviews medications that are requested for formulary consideration and prepare formulary reviews based on the criteria defined in policy.

35%
• Performs other related duties as assigned.

Job Qualifications and Specifications

Actively enrolled, and have completed at least 4 years, at an accredited college of pharmacy. An active R.I. Pharmacist Limited (Intern) license is required.

Physical Environment

The job is typically required to perform work through eye/hand/foot coordination most of a normal workday.

I. APPLICATION OF KNOWLEDGE
• Effectively researches and reports utilization of high-risk and high-cost drugs under the guidance of the Clinical Coordinator to improve the use of medications. This includes the design of the research, the identification of patients, the data collection and chart auditing
• Accurately reviews medications that are requested for formulary consideration and prepare formulary reviews based on the criteria defined in policy.

II. KNOWLEDGE & SKILLS

Demonstrates a specialized level of knowledge and thorough understanding of the practices/procedures related to:
• Pharmaceuticals
• Hazardous Materials
• Controlled Substances

Demonstrates a working and solid understanding of the practices/ procedures related to:
• Mathematics
• Pharmacology
• Quality Control

III. PLANNING & DECISION MAKING
• Effectively prioritizes own work in order to complete job responsibilities. Displays ability to adjust priorities based upon understanding of policies and procedures.
• Completes job responsibilities within required timeframe, according to established schedules or workflow requirements.
• Displays the ability to evaluate areas in need of improvement and provides input in order to improve current methods, services, programs or technology.
• Reviews and assesses information before making decisions and solving problems.

III. PLANNING & DECISION MAKING - continued
• Uses proper judgment and knowledge of established practices and procedures when addressing problems or issues.
• Completes assigned competencies within the required timeframe.

IV. PATIENT RELATIONS
• Maintains quality levels and standards as they relate to providing direct and indirect patient care.

V. CONTACTS

Utilizes interpersonal communication skills in order to exchange information in a clear and accurate manner with:
• Department Directors
• Managers/Supervisors inside Department
• Employees outside Department
• Employees inside Department
• Customers/Patients

VI. COMMUNICATIONS
• Courteously answers telephones and provides information in accordance with policies and procedures.
• Provides feedback to others in a constructive, helpful manner.

VII. HOSPITAL WIDE STANDARDS
• Conducts all job duties in accordance with established hospital and regulatory requirements.
• Maintains and respects the confidentiality of any patient, employee and/or any other sensitive information.

VII. HOSPITAL WIDE STANDARDS - continued
• Works effectively with others; helps others to solve problems; promotes teamwork and cooperation among individuals and/or departments.
• Shows flexibility and willingness to extend self over and above the call of duty.
• Willingly helps others to solve problems.
• Demonstrates ability to satisfy job requirements in situations involving unusual work demands.
• Displays a positive attitude to patients and/or co-workers; sets a good example to others.
• Adheres to hospital policies and procedures at all times.
• Present and on-time according to scheduled hours.
• Maintains confidentiality at all times.

I certify that I have received this position description and that it is an accurate description of the duties and responsibilities of this position.

_______________________________ ______________________________

Supervisor’s Name (Typed or Pri","https://www.ziprecruiter.com/c/Care-New-England/Job/KH-Clinical-Pharmacy-Intern/-in-Warwick,RI?jid=9ba6dfa5275a348a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.06132475209260847,
4,"Human Resources Intern","Sunrise Medical Labs","East Providence, RI","Job Functions, Duties, Responsibilities and Position Qualifications:

Quality is in our DNA!

East Side Clinical Laboratory (ESCL) is a full-service clinical laboratory with over 60 locations servicing Rhode Island, Southern Massachusetts, and Connecticut and surrounding communities.

We are offering a paid internship in our Human Resources department.beginning in mid-late August for a Human Resources Intern Part Time 20-29 hours, Monday through Friday, no weekends. There is an application process that must be processed through the Governors Workforce Board and the starting pay rate is $12.00 an hour.

The ideal candidate will be a proven bright, energetic individual to support the East Side Clinical Laboratory's Human Resources department. This position will be part-time 20 hours -29 hours a week with reasonable flexibility to accommodate a student's schedule. Are you an individual who is willing to learn, can work with minimal to little supervision? We will train and show you the procedures and tasks involved with an HR career and will be impressed when you take the initiative! Maintaining confidentiality is an important skill and exercising discretion is a must.

Responsibilities
• Support the HR Department, Training and Development
• Working on recruitment, orientation and training materials
• Corporate Event Planning/Employee Appreciation Events
• Benefits Administration Support
• Compliance Audit Assistance
• Draft, revise and post job ads, perform pre-screens

Requirements:
• Currently enrolled or graduated from an accredited institution and interested in Human Resources within the last 12 months
• Must be enrolled in a accredited school in the State of Rhode Island
• Meticulous attention to detail
• Solid writing skills and ability to communicate effectively will all levels of management
• Interested in health care industry a plus
• Strong intermediate knowledge of Word, Excel, and Outlook, and familiarity with PowerPoint a plus
• Only serious candidates need apply.

What we offer
We believe in showing our team the same level of respect and service excellence that we strive to deliver to our patients. We are committed to providing extensive training and educational support that allows our team members to achieve the very highest levels of professionalism and open the door to increased opportunities for future career growth.

We are more than just an equal opportunity employer, we enthusiastically celebrate the powerful and profound diversity of our team!

ESCL is an Equal Opportunity Employer. ESCL is an Affirmative Action Employer. ESCL provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, ESCL complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. EOE/M/F/D/V. Equal Opportunity Employer/Minorities/Female/Disabled/Veteran

Scheduled Weekly Hours:
20

Company:
East Side Clinical Laboratory, Inc.

Sonic Healthcare USA provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training","https://www.ziprecruiter.com/c/Sunrise-Medical-Labs/Job/Human-Resources-Intern/-in-East-Providence,RI?jid=141744b9046e5d89&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.11164592652535402,
2,"Paid Intern Clinician","Sierra Vista Hospital","Anywhere","Responsibilities

Arbour Counseling Services has open positions for Masters Level Interns in our Outpatient Services program, providing clinical services to youth and families. Clinicians will provide outpatient therapy as a way to make a difference for youth and families.

Arbour provides a warm work environment with management that is team focused has places value on healthy work dynamics. This is the perfect job for folks who like to be busy, creative and offer innovative care to youth and families.

Responsibilities are as follows: Support clients through collaboration with other medical service providers, state agencies, other mental health services (including crisis services), and other community agencies and resources. Individuals are responsible for managing their own schedules. Good time management skills necessary to maintain appointments and timely record keeping.
Qualifications
• Masters Degree in Psychology, Social Work, Counseling, or closely related Mental Health field from an accredited program is required","https://www.ziprecruiter.com/c/Sierra-Vista-Hospital/Job/Paid-Intern-Clinician/-in-Fall-River,MA?jid=b27d35ff85b7f0bb&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.29432657081858765,
1,"Program Services Clinical Coordinator","Care New England","Warwick, RI (+1 other)","","https://www.ziprecruiter.com/c/Care-New-England/Job/KH-Clinical-Pharmacy-Intern/-in-Warwick,RI?jid=9ba6dfa5275a348a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05371511139897707,
8,"Environmental Education and Community Outreach Intern - Providence Parks","Hispanic Access Foundation","Providence, RI","Position: Environmental Education and Community Outreach Intern
Duration: 14 weeks: starting late May 2021 through August 2021
Location: 373 Reservoir Ave. Providence, RI 02907

Rhode Island National Wildlife Refuge will be hiring a Hispanic Access Foundation Intern to work with April Alix, Conservation Program Coordinator, to support the efforts of the Providence Parks Urban Wildlife Refuge Partnership. The intern will focus on: 1) environmental education – with field trips to Ninigret National Wildlife Refuge, 2) creating/implementing engaging nature programs at several Providence Parks, 3) community outreach and 4) assisting in facilitating programs at the Summer Nature Camp in a Providence Park. While the goal is to host many of these programs in-person, the candidate will need to be flexible with assisting in hybrid virtual and in-person programming as determined by City and Statewide mandates in place during the 14 week timespan.
• Creating and conducting environmental education programs, both virtual and in-person, – primarily in Providence and at Ninigret National Wildlife Refuge;
• Work with a variety of community and conservation partners to offer interpretive programs and hikes to connect with urban nature at several Providence Parks;
• Community outreach to engage the public in wildlife conservation in their neighborhood parks.
• Activating our social media pages with video and activity content throughout the internship (Instagram and Facebook)
This position requires good communication skills and the ability to interact with diverse groups of people, specifically urban families including adults and children. Most appropriate for individuals with an interest in program development and delivery and/or interpretive and environmental education. This position requires the intern to work independently, after receiving proper training.

This position will also have opportunities to shadow U.S. Fish and Wildlife staff in field work and visitor service programs. This is a paid internship. The intern will receive a weekly stipend of $400 based on a 40-hour work week. A weekly transportation stipend is available if needed. A housing stipend will be provided, interns must be living in or around Providence to travel to work sites. A weekly transportation stipend is available for transportation to/from work sites. A reliable personal vehicle is required for travel since supplies would need to be taken to the city parks.

Requirements:
• Ages 18 – 30, up to 35 years for veterans
• Enrolled in an undergraduate or degree seeking program at an accredited institution OR have graduated from one within the past year
• U.S. citizenship or permanent residency. Interns must undergo a government background check if selected
• Culturally identify as Hispanic/Latino
• Available to work full-time (40 hours per week)
• Valid Driver’s License is required
• Personal vehicle required to get to and from work sites
Minimum Qualifications:
• Knowledge of or strong interest in areas pertaining to program development and delivery, biology, community outreach, environmental education
• Being able to work with people of all ages, experience working with the public is desirable
• Ability to work with a team and independently
• Enthusiasm for working outside in summer, positive attitude, self-starter, physically fit and organized
• Preferably comfortable in conversing with families in Spanish and creating promotional materials in Spanish
Stipend + Benefits:
• Weekly stipend of $480 based on a 40-hour workweek ($12/hourly)
• Monthly housing stipend available (up to budget limits)
• Weekly commuting stipend (up to budget limits)
• Travel expenses paid to participate in HAF conferences in May and July
• Public Land Corp Eligibility – after completing 640 hours, PLC status provides special non-competitive hiring status when applying for federal positions

This is a 1099 position. Persons paid on a 1099 basis are independent contractors and are self-employed. Independent contractors are required to pay all self-employment taxes (Social Security & Medicare) as well as income tax. Independent contractors generally do not receive any type of employment benefits from the client. For more information please refer to www.irs.gov or talk with a tax professional.

Application:
HAF is managing the recruitment for this position. All applications should be submitted through HAF’s MANO Project application page. A resume and two references will be required for submission. Your application or resume should include professional and educational experience, along with any awards, technical skills or volunteer activities. Application questions or issues may be directed to Marlene Manzo at marlene@hispanicaccess.org.

Applications are due on Monday, February 8, 2021. Phone interviews and final decisions will be made by late February.

About U.S. Fish & Wildlife Service:
The U.S. Fish and Wildlife Service is the oldest federal conservation agency, tracing its lineage back to 1871, and the only agency in the federal government whose primary responsibility is management of fish and wildlife for the American public. The Service helps ensure a healthy environment for people by providing opportunities for Americans to enjoy the outdoors and our shared natural heritage.

Hispanic Access Foundation Mission:
Hispanic Access Foundation (HAF) is a 501(c)(3) national nonprofit organization that connects Latinos to partners and opportunities improving lives and creating an equitable society. HAF’s vision is that all Hispanics throughout the U.S. enjoy good physical health, a healthy natural environment, a quality education, economic success and civic engagement in their communities with the sum improving the future of America","https://www.glassdoor.com/job-listing/environmental-education-and-community-outreach-intern-providence-parks-hispanic-access-foundation-JV_IC1151289_KO0,70_KE71,97.htm?jl=3802893133&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.08699682610361315,
