Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
5,"Virtual Intern - Legal","cbre","Providence, RI","Job Information

CBRE Virtual Intern - Legal in Providence, Rhode Island

Virtual Intern - Legal

United States

New

Administration/Operations

Requisition # 21005687

Post Date 10 hours ago

As a Fortune 500 worldwide leader in real estate services, CBREs more than 100,000 professionals provide exceptional outcomes for clients in 60+ countries. CBRE offers a broad range of integrated real estate services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. When it comes to real estate, CBRE sees potential everywhere. We turn scale into strength, expense into performance, and property into prosperity.

CBREs Legal Department seeks a law clerk for a full-time legal internship position, working remotely approximately 40 hours per week during the Summer. The position will be a virtual internship, reporting to attorneys in the Chicago, LA and NY offices of the CBRE Americas Legal Team.

Responsibilities

Under the supervision of the Legal Departments team of attorneys, the candidate will be exposed to transactional law and litigation practice, primarily in the areas of commercial brokerage and real estate services, and general corporate law. Responsibilities include, but are not limited to, legal research and writing, interpretation and application of laws and regulations, and reviewing, evaluating and editing contracts and other legal documents.

Qualifications

This internship is designed for candidates with a strong academic credentials and excellent legal research and writing skills. The position is limited to 2L and 3L law students.

Please apply online with your resume, writing sample and law school transcript.

US Company Profile

About CBRE Group, Inc.

CBRE Group, Inc. (NYSE:CBRE), a Fortune 500 and S&P 500 company headquartered in Los Angeles, is the worlds largest commercial real estate services and investment firm (based on 2019 revenue). The company has more than 100,000 employees (excluding affiliates) and serves real estate investors and occupiers through more than 530 offices (excluding affiliates) worldwide. CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. Please visit our website at www.cbre.com.

CBRE, Inc. is an Equal Opportunity and Affirmative Action Employer (Women/Minorities/Persons with Disabilities/US Veterans","https://www.internships.com/posting/bug_38959841079?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.25550799545826336,
2,"Commercial Real Estate Intern Brokerage","Hunneman Commercial Real Estate","Boston, MA (+1 other)","","https://www.internships.com/posting/sam_VINPG1CkZzvp4m44x0bEWj9F0tvHKoefDgLjKuWGqvvaBc7at1mO_g?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.03165360272797291,
3,"Ethics & Compliance Intern Virtual","cbre","Providence, RI","Job Information

CBRE Ethics & Compliance Intern (Virtual) in Providence, Rhode Island

Ethics & Compliance Intern (Virtual)

United States

New

Administration/Operations

Requisition # 21007310

Post Date 1 day ago

As a Fortune 500 worldwide leader in real estate services, CBREs more than 100,000 professionals provide exceptional outcomes for clients in 100+ countries. CBRE offers a broad range of integrated real estate services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. When it comes to real estate, CBRE sees potential everywhere. We turn scale into strength, expense into performance, and property into prosperity.

CBREs Legal, Ethics & Compliance (E&C) Department seeks a summer intern, working remotely approximately 40 hours per week during the Summer. The position will be a virtual internship reporting to E&C leaders in the Los Angeles, and Chicago offices of the CBRE Americas E&C Team.

Responsibilities:

Under the supervision of the Ethics and Compliance teams leaders, the intern will be exposed to global ethics and compliance initiatives and activities, primarily in the areas of CBREs RISE values, Standards of Business Conduct and company policies, the Ethics and Compliance Ambassadors program, and ethics and compliance training.

Support the design, development, delivery, and management of change management, training, and communications for various E&C initiatives

Apply change management and training methodologies, best practices, and approaches to support the development of program strategies and relevant outputs in support of various E&C projects

Provide input, document requirements, and support the design and delivery of training programs

Develop program materials, presentations, and communications for the E&C Ambassadors program

Support the migration of CBREs intranet sites by working with internal site owners to identify key assets and resources that need to be migrated, keeping track of project activities, and aiding in designing new intranet pages, as needed

Qualifications:

This internship is designed for graduate school students studying Industrial-Organizational Psychology, Organizational Development, Business Administration, Marketing and Communications or a related field. Candidate must demonstrate strong academic credentials and excellent communication skills.

Experience and knowledge of change management principles, methodologies, and tools

Exceptional communication skills, both written and verbal

Consultative mindset with an ability to think strategically about business problems

Excellent active listening skills

Ability to clearly articulate messages to a variety of audiences

Ability to establish and maintain strong relationships

Flexible and adaptable; able to work in ambiguous situations

Able to work effectively at all levels in an organization

Please apply online with your resume, writing sample, and graduate school transcript.

CBRE, Inc. is proud to be an equal opportunity employer.

US Company Profile

About CBRE Group, Inc.

CBRE Group, Inc. (NYSE:CBRE), a Fortune 500 and S&P 500 company headquartered in Los Angeles, is the worlds largest commercial real estate services and investment firm (based on 2019 revenue). The company has more than 100,000 employees (excluding affiliates) and serves real estate investors and occupiers through more than 530 offices (excluding affiliates) worldwide. CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. Please visit our website at www.cbre.com.

CBRE, Inc. is an Equal Opportunity and Affirmative Action Employer (Women/Minorities/Persons with Disabilities/US Veterans","https://www.internships.com/posting/bug_38966846528?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.053236663081725186,
8,"2020 Summer Internship Program –Commercial Real Estate Analyst (Twin Cities)","U.S. Bank","Hartford, CT","","https://www.careeronestop.org/toolkit/jobs/find-jobs-details.aspx?keyword=Credit+Analysts&onetcode=13-2041.00&location=Connecticut&radius=25&lang=en&fc=1&jvid=C4E7DC16AE5144B589B82F0946D26E70206&detailpage=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.03165360272797291,
13,"Specialist I - Intern, Commercial Real Estate","SitusAMC","Atlanta, NY","Position Overview

This role will provide support in the delivery of due diligence and real estate analysis for CMBS, agency multifamily, securitization and other commercial real estate loan underwriting and debt consulting services. This role involves participating in managing multiple transactions with multiple clients under tight timelines.

Essential Job Functions
Provide analytical support, to include data extraction, in the underwriting and closing of commercial real estate loans or securitizations or affordable housing loans on behalf of our clients
Extract, review, analyze and/or interpret financial operating statements, rent rolls, third party reports, tenant lease agreements, surveys, title reports, zoning reports, property insurance policies, credit reports, and other due diligence requirements
Research, analyze and summarize tenant level information including financial trends and credit ratings or stock market capitalization
Research, analyze and summarize market and submarket information including inventory, absorption, new/proposed development, and rent and vacancy trends
Extract pertinent data from appraisal, engineering, environmental and other reports
Write property, market, borrower/sponsor descriptions, and third party report summaries that will be included in credit memos and asset summary reports
Such other activities as may be assigned by your manager
Qualifications/ Requirements
Actively pursuing a bachelor’s degree in preferred field of study to include finance, real estate, accounting, economics and/or business administration
Requires proficiency in business writing skills and strong communication skills
Attention to detail and analytically minded
Ability to meet deadlines, self-motivated and execute at a high level
Proficient computer skills (Excel skills are a must)
Desire to learn commercial real estate and finance
Special Requirements
The employee may be required to report to a different local office as a normal, contemplated, and mandated incident of their employment.
Working Conditions
Office environment with frequent computer use
Sitting for long periods of time
Hearing, talking, reaching, grasping, standing, and repetitive motions
Depending on deal flow, this position may require long work days and weekend work as needed
Note: This job description is not intended to be all inclusive or exclusive. At any time, employees may perform other related duties as required to meet the ongoing needs of the organization and participate in additional trainings.

This position is available in all US Remote locations as detailed in SitusAMC's telecommuting policy. Colorado locations are currently excluded for this posting.

SitusAMC is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, national origin, disability, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

About SitusAMC

SitusAMC is the leading provider of consulting, outsourcing, talent and technology solutions, supporting institutional lenders and investors, across the life cycle of commercial and residential real estate debt and equity. The firm employs more than 3,300 employees with offices in 27 markets across the U.S., Europe and APAC.

SitusAMC brings together the industry’s top talent, unparalleled platform and innovative technologies to help clients optimize returns, identify risk, transform processes and infrastructure, and ultimately, realize opportunities in their businesses.

Job Location: Atlanta, GA, United States - United States, NC, Robbins - United States, NY, New York

Date published: 12-Feb-2021","https://www.linkedin.com/jobs/view/externalApply/2445730086?url=https%3A%2F%2Fsitusamc%2Eavature%2Enet%2Fcareers%2FJobDetail%2FAtlanta-GA-United-States-Specialist-I-Intern-Commercial-Real-Estate%2F5379&urlHash=8tn7&refId=fcfd10b6-0d18-46cd-95c8-e536e4efb560&trackingId=%2BJ4hH85kYPOYnPdw7kxzxA%3D%3D&trk=public_jobs_apply-link-offsite",0.03758777390330202,
14,"Associate Intern - Summer (Denver, CO)","CBRE","Denver, CO","About CBRE

With broader and deeper capabilities than any other company, CBRE is the leading full-service real estate services and investment organization in the world. A CBRE internship gives you a unique opportunity to get a head start in the commercial real estate industry by working alongside some of our top producing professionals. Our associates will gain valuable real-life experience and learn the business by working on CBRE projects.

CBRE Group, Inc. is the world’s largest commercial real estate services and investment firm (based on 2019 revenues) with more than 100,000 employees (excluding affiliates). CBRE has been included in the Fortune 500 since 2008, ranking #128 in 2020. It also has been voted the industry’s top brand by the Lipsey Company for 19 consecutive years and has been named one of Fortune’s “Most Admired Companies” in the real estate sector for eight years in a row. Its shares trade on the New York Stock Exchange under the symbol “CBRE”.

The company serves real estate investors and occupiers through approximately 530+ offices worldwide (excluding affiliates). CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.

We are accepting applications now and will begin our formal selection process for the internship program in Jan/Feb 2021. Qualified applicants will be contacted in early 2021 if they have been selected to move forward in our process.



About The Internship Program

The CBRE National Sales Internship accelerates your learning and development by providing you with a strong foundation upon which to build your commercial real estate sales career. This eight-week summer intern program will introduce you to our company, our fast-paced industry, and your world-class professionals. Program participants will receive real-world training and participate in networking and learning opportunities.

The summer internship will begin in June 2021 and end in August 2021.

Responsibilities

Conduct company, property and industry-specific research

Manage and update prospects in an internal tracking database

Assist in developing and preparing marketing and presentation materials

Track local and regional activity, e.g., economy, employment statistics, major company activity, industry trends and demographics that affect the local real estate market

Contribute to special projects in support of business development

Provide ongoing support with current deals, including market surveys, proposal reviews and summaries, lease reviews, financial analysis

Qualifications

The internship is designed for results-oriented and entrepreneurial candidates with a strong academic background, preferably in business or real estate. Applicants should be self-motivated, creative, disciplined ad exhibit a demonstrated interest in the commercial real estate industry.

Current college junior, senior, or graduate level student

Desire to work in the commercial real estate industry

Experience with MS Office with preferred experience in Salesforce and Tableau

Strong presentation skills

Ability to network and develop strong relationships

Detail-oriented and highly organized

Strong analytical and problem-solving skills

Solid written and oral communication skills

Ability to work independently and collaboratively

Work authorization

Application Process

To be considered for a position with CBRE, please apply online at http://cbre.com/careers. Click on “Search and Apply” on the left side of the screen. If a pop-up window does not open, please check your browser’s settings. On the login window either login with your existing username and password or click on “Register Today” to create one. Once you are logged in you can either apply for specific jobs or submit your general application using the link at the bottom of the page.

CBRE has a long-standing commitment to providing equal employment opportunity to all qualified applicants regardless of race, color, religion, national origin, sex, sexual orientation, gender identity, pregnancy, age, citizenship, martial status, disability, veteran status, political belief, or any other basis.

At this time, CBRE will not sponsor a new applicant for employment authorization for this position.","https://www.linkedin.com/jobs/view/externalApply/2459047765?url=https%3A%2F%2Fcbre%2Ereferrals%2Eselectminds%2Ecom%2Fjobs%2Fassociate-intern-summer-denver-co-83199%3Fsrc%3DJB-10160&urlHash=y9ir&refId=fcfd10b6-0d18-46cd-95c8-e536e4efb560&trackingId=0lDDWGF0x8UxDHYVmlPG3Q%3D%3D&trk=public_jobs_apply-link-offsite",0.06228689569573976,
10,"Paid Internship - Commercial Real Estate","TSCG (The Shopping Center Group)","New York, NY","TSCG, a national commercial real estate company, is currently seeking an intern in our New York City office for the summer of 2021.

General Information
Term: June 2021 - July 2021 (start date/end date is flexible)
Compensation: Paid
Hours: 20-25 hours/week (ability to come in to office)

TSCG: Who We Are
TSCG is one of the largest full-service retail real estate firms in the country
TSCG has the best people and therefore the best reputation
TSCG welcomes your contributions and input
TSCG is a growing company – 20 offices and growing


Requirements
Currently enrolled in school studying for a real estate degree
Strong Microsoft office skills (Excel, Word & Outlook)
A reliable vehicle (many tasks include being out of the office and going to different retailers in the market)
Must be in the office for internship and cannot do internship remotely
Highly Motivated and Dependable
Business professional dress
Strong communication and organizational skills


Job Description (includes, But Not Limited To)
Intern will be assigned to certain retail markets.
Intern will work directly with the leasing teams who have properties in the assigned markets.
Update retailer maps and aerials in those assigned markets.
Collect the following information on relevant shopping centers and retailers in the assigned markets:
Retailers in each center
Pictures of each center
Business cards from retailers
Feedback on merchants operations (i.e. cleanliness, inventory, etc.)
Place signs in storefronts & open spaces for GC’s, etc. (because of this task and other related tasks out of the office, you are required to have a vehicle)
Assist in producing landlord reports for the leasing team.
Update strategic leasing plans specifically as it relates to rent comps, deals done in the market, retailers vacating the market, retailer target lists, merchandising plans, etc.
Create cold call lists based on categories provided by leasing team.
Research prospective categories and retailers to identify number of stores in the market, etc.
Manage the creation of any special marketing materials like maps for prospects.
Shadow leasing agents when canvassing, negotiating, LOIs, etc.
Research markets to assist leasing agents in putting together a comprehensive marketing story.","https://www.linkedin.com/jobs/view/externalApply/2460599732?url=https%3A%2F%2Ftscg%2Eclearcompany%2Ecom%2Fcareers%2Fjobs%2F0aba84ca-9d8c-a634-96e9-a967d19229d8%2Fapply%3Fsource%3D1543467-CS-26288&urlHash=dI__&refId=fcfd10b6-0d18-46cd-95c8-e536e4efb560&trackingId=DQ2HVZ5c8tQ4qp29zxBHyw%3D%3D&trk=public_jobs_apply-link-offsite",0.034344158929883684,
7,"Assistant Property Manager","Northeast Bank","Boston, MA","","https://www.ziprecruiter.com/c/Northeast-Bank/Job/Commercial-Real-Estate-Intern/-in-Boston,MA?jid=1e2dbd361d4fc790&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.03165360272797291,
0,"Intern","CBRE","Providence, RI","Intern **United States** **New** 1 additional location Birmingham, Alabama, United States Administration/Operations Requisition # 21011651 Post Date 5 days ago **About CBRE** With broader and deeper capabilities than any other company, CBRE is the leading full-service real estate services and investment organization in the world.

A CBRE internship gives you a unique opportunity to get a head start in the commercial real estate industry by working alongside some of our top producing professionals.

Our associates will gain valuable real-life experience and learn the business by working on CBRE projects.

CBRE Group, Inc.

is the world’s largest commercial real estate services and investment firm (based on 2019 revenues) with more than 100,000 employees (excluding affiliates).

CBRE has been included in the Fortune 500 since 2008, ranking #128 in 2020.

It also has been voted the industry’s top brand by the Lipsey Company for 19 consecutive years and has been named one of Fortune’s “Most Admired Companies” in the real estate sector for eight years in a row.

Its shares trade on the New York Stock Exchange under the symbol “CBRE”.

The company serves real estate investors and occupiers through approximately 530+ offices worldwide (excluding affiliates).

CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.
• *About CBRE** With broader and deeper capabilities than any other company, CBRE is the leading full-service real estate services and investment organization in the world.

A CBRE internship gives you a unique opportunity to get a head start in the commercial real estate industry by working alongside some of our top producing professionals.

Our associates will gain valuable real-life experience and learn the business by working on CBRE projects.

CBRE Group, Inc.

is the world’s largest commercial real estate services and investment firm (based on 2019 revenues) with more than 100,000 employees (excluding affiliates).

CBRE has been included in the Fortune 500 since 2008, ranking #128 in 2020.

It also has been voted the industry’s top brand by the Lipsey Company for 19 consecutive years and has been named one of Fortune’s “Most Admired Companies” in the real estate sector for eight years in a row.

Its shares trade on the New York Stock Exchange under the symbol “CBRE”.

The company serves real estate investors and occupiers through approximately 530+ offices worldwide (excluding affiliates).

CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.
• *About CBRE** With broader and deeper capabilities than any other company, CBRE is the leading full-service real estate services and investment organization in the world.

A CBRE internship gives you a unique opportunity to get a head start in the commercial real estate industry by working alongside some of our top producing professionals.

Our associates will gain valuable real-life experience and learn the business by working on CBRE projects.

CBRE Group, Inc.

is the world’s largest commercial real estate services and investment firm (based on 2019 revenues) with more than 100,000 employees (excluding affiliates).

CBRE has been included in the Fortune 500 since 2008, ranking #128 in 2020.

It also has been voted the industry’s top brand by the Lipsey Company for 19 consecutive years and has been named one of Fortune’s “Most Admired Companies” in the real estate sector for eight years in a row.

Its shares trade on the New York Stock Exchange under the symbol “CBRE”.

The company serves real estate investors and occupiers through approximately 530+ offices worldwide (excluding affiliates).

CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.
• *Responsibilities** This internship is designed for current college students, undergraduate or graduate seeking a career in commercial real estate.

Participation in the program is intended to provide a well-rounded knowledge of the commercial real estate business and valuable skills, earned by working alongside talented professionals in the largest and most successful global commercial real estate services firm.

The internship accelerates your learning and development by providing you with a strong foundation upon which to build your commercial real estate sales career.

The program provides you with a unique perspective on our integrated service lines.

As a program participant, you will also partake in learning and development activities designed especially for you.

Responsibilities May Include: Conduct company, property and industry-specific research Manage and update prospects in an internal tracking database Assist in developing and preparing marketing and presentation materials Track local and regional activity, e.g., economy, employment statistics, major company activity, industry trends and demographics that affect the local real estate market Contribute to special projects in support of business development Provide ongoing support with current deals, including market surveys, proposal reviews and summaries, lease reviews, financial analysis **Qualifications** This internship is designed for candidates with a strong academic background, preferably in business or real estate.

Applicants should be self-motivated, creative and disciplined, seeking to excel in the commercial real estate industry.

Current college junior, senior, or graduate level student Desire to work in the commercial real estate industry Experience with MS Office with preferred experience in Salesforce and Tableau Strong presentation skills Ability to network and develop strong relationships Detail-oriented and highly organized Strong analytical and problem-solving skills Solid written and oral communication skills Ability to work independently and collaboratively To be considered for a position with CBRE, please apply online atom/careers.

Click on “Search and Apply” on the left side of the screen.

If a pop-up window does not open, please check your browser’s settings.

On the login window either login with your existing username and password or click on “Register Today” to create one.

Once you are logged in you can either apply for specific jobs or submit your general application using the link at the bottom of the page.

EOE & AA Employer M/F/D/V **US Company Profile** About CBRE Group, Inc.

CBRE Group, Inc.

(NYSE:CBRE), a Fortune 500 and S&P 500 company headquartered in Los Angeles, is the world’s largest commercial real estate services and investment firm (based on 2019 revenue).

The company has more than 100,000 employees (excluding affiliates) and serves real estate investors and occupiers through more than 530 offices (excluding affiliates) worldwide.

CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services.

Please visit our website at [redacted] CBRE, Inc.

is an Equal Opportunity and Affirmative Action Employer (Women/Minorities/Persons with Disabilities/US Veterans","https://www.job.com/job/intern-in-providence-ri/51569016?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.13811243086834815,
12,"Commercial Real Estate Intern Position","Marcus & Millichap","Atlanta, GA","Marcus & Millichap is the nation's largest commercial real estate investment company. We are is seeking a career minded individual for a 3 month paid internship for our Atlanta office. This role will entail supporting the top investment Sales Team focused on the disposition of retail properties. The applicant will be accountable for providing analytical, marketing, and research assistance which are essential skills for any career in commercial real estate. The ideal candidate would have exposure to the CRE industry and/or coursework. They must possess a positive attitude, strong work ethic, be self-motivated, highly organized, coachable and have attention to detail and ability to multi-task.
 If completed this internship has the potential to lead to a full time entry level analyst position on our team.  This is an unprecedented opportunity to get your foot in the door to the CRE industry, be a part of a highly successful dynamic team at a remarkable firm with notable income, personal, and professional growth over the long term.
 Specific Responsibilities
·       Research property ownership information, tenant information, demographics and sales comps
·       Assist with the creation, review, and editing of marketing collateral
·       Communicate with underwriters, graphic designers, and third party vendors
·       Read and abstract leases
 Required Knowledge and/or Experience
·       Commercial Real Estate Experience or Coursework
·       Knowledge of Microsoft Office Suite (Required)
·       Strong work ethic and a positive attitude
·       Excellent interpersonal and communication skills with people of all personality types
·       Self-motivated, detail-oriented, highly organized, coachable, and the ability to multi-task
 COMPANY/TEAM BACKGROUND: Please note that the chosen candidate will be employed directly by an individual agent/team and not the corporate office of our firm. We work in a manner that is consistent with industry practices.
 The work environment is entrepreneurial, energized and similar to a startup experiencing continuous growth. The possibilities for professional growth are significant. The right person who brings the right attitude and who takes full advantage of our extensive training will be compensated commensurate with their initial experience and their ability to grow with our team.","https://www.linkedin.com/jobs/view/externalApply/2495977025?url=https%3A%2F%2Fjll%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2Fjllcareers%2Fjob%2FNew-York-NY%2FXMLNAME-2021-Summer-Internship--Brokerage--NYC_REQ132192%3Fsource%3DAPPLICANT_SOURCE-6-42&urlHash=xZhR&refId=fcfd10b6-0d18-46cd-95c8-e536e4efb560&trackingId=m7KeVA1S8UdZFEogjwk5tA%3D%3D&trk=public_jobs_apply-link-offsite",0.041581474834745065,
