Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
2,"Design & Social Media Content Creation - Intern","Dr. Elsa Jungman (ELSI Skin Health Inc)","Anywhere","Design & Social Media Content Creation - Intern

We are Dr. Elsa Jungman (formerly ELSI Beauty), an award-winning and fast-growing SF start-up that is disrupting the way we interact with our skin for optimal health and glow.

Our mission is to help millions of people who struggle with their sensitive and reactive skin by offering them clean skincare with a specific focus on the microbiome.

At Dr. EJ, we’re challenging the status quo of an established industry. We work as a crew and are transparent in our process. We always prioritize environmentally friendly solutions and are obsessed with our consumers.

We have successfully launched our new brand, Dr. Elsa Jungman, and are now actively working on launching our citizen science program on the skin microbiome.

THE ROLE

Reporting to our Chief Marketing Officer you will be working on:
• Creating assets for the company: Social Media posts, infographics, brand deck, Ads
• Creating the calendar content for our Instagram and Pinterest

QUALIFICATIONS: EXPERIENCE and EDUCATION

● Currently enrolled or recently graduated from a Degree in Design

● Must have some experience in creating social media content + managing branded content

● Must know how to use design software such as photoshop, adobe and canva

● Copywriting skill is a plus

REQUIREMENTS

● Actively engaged + following current trends on social media

IG, FB, TikTok, SnapChat

● Passion and hands on experience in design

● Ability to learn quickly and adapt to a fast-moving environment

● Must be innovation-driven, be curious and love to think out of the box regarding established concepts

● Must be excited about the company mission

Dr. Elsa Jungman (ELSI Skin Health Inc) focuses on Biotechnology, Health and Wellness, and Cosmetics. Their company has offices in San Francisco. They have a small team that's between 1-10 employees. To date, Dr. Elsa Jungman (ELSI Skin Health Inc) has raised $1.02M of funding; their latest round was closed on August 2019.

You can view their website at http://www.dr-ej.com or find them on Twitter, Facebook, and LinkedIn","https://angel.co/company/dr-ej/jobs/944673-design-social-media-content-creation-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05847482005716908,
1,"Social Media & Marketing Intern - LyfeStream","1871","Michigan, United States","About Us

Description

LyfeStream is an innovative live streaming app! We are creating the first ever network for the people by the people. Our platform comprises of innovative technologies in which allows our users to create their own channels to share with the world or just friends in a matter of minutes. We provide our users the tools to truly take ownership of their digital content in real time and finally get paid what they deserve. Whether you are a content creator or observer, with over 100+ genres available to view from, you will never be bored again!

If you have an interest in innovative technology, live streaming, reality tv and/or entertainment, this is the company for you. We are looking to add some new talent to our team!

Job Description

We are looking for an enthusiastic Social Media and Marketing Intern to join our start-up team! If you have an interest in live streaming, influencing, reality tv and entertainment, this is the role for you. You will report directly to the Senior Management Team and assist with all functions of social media and marketing. Your primary focus will include social media management, campaign planning/management, user and audience growth.

To ensure success as a Social Media and Marketing Intern, you should have an advanced knowledge of social media and creating a world class customer experience. Although the internship is unpaid, we strongly believe that if you perform well and bring something to the company, there will be paid opportunity to join the team after the internship is over.

Social Media And Marketing Intern Responsibilities
Manages the company’s social media accounts and posts content.
Brainstorms campaign ideas.
Monitor social media platforms such as Facebook, Instagram, and Twitter.
Analyzes analytics to gauge the success of campaigns.
Understands the overall concept of the company, including the brand, customer, product goals, and all other aspects of service.
Engages with customers or clients and provides service and/or sales.
Provide suggestions to management for improving customer experience on social platforms and internal processes.
Learns and becomes proficient on internal software systems.
Creates performance reports.


Requirements
Bachelor’s degree in digital communications, marketing or related fields.
Impeccable oral and written communication skills.
Experience with the major social media platforms including Facebook, YouTube, Instagram, Twitter, Pinterest, Snap and Google+.
Knowledge of social media analytics software including Facebook Insights, Google Analytics and Twitter Analytics to track audience engagement and campaign performance.
Experience with content management systems, word processor applications and image/video editing software.
Entrepreneurial and creative mindset.
Ability to follow instructions and work in a team environment.
Detail-oriented and organized.
Interest in live streaming, influencing, reality tv and entertainment a major plus.","https://www.linkedin.com/jobs/view/externalApply/2454540956?url=https%3A%2F%2Fars2%2Eequest%2Ecom%2F%3Fresponse_id%3D62d42d59e114cc416e835fa139bc913f&urlHash=nFmk&refId=775c2431-0e55-4d63-b3e5-7c4dc4fc6bf0&trackingId=qCreMcLdGWbMpSLwIEimPw%3D%3D&trk=public_jobs_apply-link-offsite",0.1064574293473029,
3,"Content Creator Intern","Wana","Anywhere","Wana is a community platform that fosters hope, direction, and healing for people with chronic and invisible conditions. #JoinWana

We are looking for a zealous Creative Intern to support our company in its primary and administrative duties. The ideal candidate will be responsible for creating digital assets for ads, social media, and in app graphics as well as supporting the Director of Strategy and Head of Content in multiple capacities. This is a part-time, unpaid + available for school credit.

Responsibilities
• Assist in developing content to improve brand awareness across all channels by updating branded assets and templates
• Support Content team in creating assets for blog, email, and social
• Assist with improving ad + video performance by creating innovative, credible content that appeals to both to consumer needs and client/brand vision

Requirements
• Demonstrable ability to multi-task and adhere to deadlines
• Excellent knowledge of Canva, Photoshop, and/ or Illustrator
• Expert in all social platforms: Instagram, Twitter, Facebook, Tik Tok, Linkedin
• Must be enrolled in a current accredited university and have a minimum 3.5 GPA
• Must be able to work 15-20 hours weekly

Wana focuses on Technology, Health and Wellness, and Mobile Application. Their company has offices in New York City. They have a small team that's between 1-10 employees.

You can view their website at http://joinwana.com","https://angel.co/company/joinwana/jobs/1037596-content-creator-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.28064839523550333,
6,"Content Creation Intern","WeVidIt, Inc.","Dallas, TX","This emerging video streaming and sharing platform is seeking talented interns for a two-month internship beginning immediately. This internship is unpaid, but we will be hiring in June from this group (Some or all). Interns also have significant upside beyond a job prospect. Successful candidates will fulfill roles within the areas of and as:

· Video Content Creators,

· Filmmakers,

· Video Editors,

· Story Tellers,

We are seeking talented individuals who are highly motivated and who consider themselves self-starters. This is a “work from home” position. Candidates should be those who are looking for experience to build your resume and emerge into the video production, social media, entertainment (TV/Film), content creation, or digital media industries. We are seeking interns to work with us in a video content creation, video editing, or marketing capacity for our video streaming and sharing platform (Soon-to-launch). We want individuals who have good creative thinking networking, technology, and social skills. A likeable and results-oriented person is important to us! The successful candidates should currently be working on an undergraduate or graduate degree or have graduated in the last five years. Creative artists who are passionate about their work would be ideal for one of these internship positions.

The Internship can offer

· College or University credit,

· Letters of Recommendations,

· Verification of employment,

· Exposure in the Film/Movie, TV, Content Media industries, and

· Industry-relative work experience.

Interviews will be conducted on a rolling basis with different start dates from through the March 2021. Only a select group of candidates will be offered interviews. That said, multiple positions do exist. We are a Fully Remote work environment and an Equal Opportunity Employer.

Join us, grow with us, and relentlessly pursue success. We will be hiring full time positions from our Interns in the Summer of 2021.

COVID-19 precautions
• Remote interview process

We are 100% work from home / fully remote!

Job Types: Part-time, Internship

Pay: $10.00 - $25.00 per hour

Application Question(s):
• What is your primary email address?
• Do you have experience in video editing, (for example Adobe Creative, Final Cut Pro, Splice)

Work Location:
• Fully Remote

Hours per week:
• Less than 10

Company's website:
• www.wevidit.com

COVID-19 Precaution(s):
• Remote interview process","https://www.internships.com/posting/sam_e3f94804df7c1950?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0456728336792552,
10,"Content creator intern","MeVee","Anywhere","","https://angel.co/company/mevee/jobs/107913-content-creator-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.03772341084201442,
5,"Social Content Creator [Paid Intern]","Tripwire","Charlotte, NC","Who the hell are we?

Tripwire is a digital focused creative agency who believes the following:

The way you do anything, is the way you do everything / The standard is the standard
We are a meritocracy, may the best idea win, no matter who it comes from.
Proactive > Reactive
Listening to understand > Listening to respond
Work life balance is achievable if one is capable of prioritizing

Responsibilities:
• Create content for Tripwire + clients Instagram, Tik-Tok, Facebook, Twitter, etc.
• Compete for a full-time position

Qualifications:
• 0-1 year experience
• Enjoys story telling
• Can create quality content using only a cell phone
• Can demonstrate you understand hip hop / pop culture / 420 culture
• Photoshop, Illustrator, Premier experience is a +
• Great communicator, or working to become one

Benefits:
• Work from wherever, we are a remote team
• You’ll be paid, on time, every-time
• Mentorship from advertising / business vets
• The autonomy to make an impact.

To apply:
Send us a note that creatively demonstrates who you are, what you do and why you fit at info@wearetripwire.com","https://charlotte.axios.com/250672/social-content-creator-paid-intern-tripwire/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04128617738193218,
7,"Content Creator Intern","Goldsheep","Costa Mesa, CA (+1 other)","Looking for an eager and self-starting individual passionate about social media and creating content for social media channels. The ideal candidate will have knowledge of local IG spots to take images and will be able to organize social media shoots with local individuals. You would be the head creator of Instagram content for both adult product and children’s product and would be taking creative direction from the Marketing Manager/Creative Director. You should have an eye for what kind of content our customer likes to see and be able to lead the shoots based on this knowledge.

What you will do:

Support the Marketing Manager in creating social media content at least two weeks in advance (ideally we like to post 2 times per day)
Organize and lead social media shoots with local individuals for both adult and children content
Scout local locations for shoots
Knowledge of collection in order to align content creation with direction of the product
Outreach to local individuals to meet you for the shoots
Be able to capture compelling images/video/content trends with your phone (or camera if you have photography experience) in multiple variations so content can be used more than once
Qualifications:

Professional appearance and respectful representation of the brand
Eager self-starter looking to create content that aligns with the brand and its message
Organized with both product samples and scheduling of shoots
Have own cell phone, computer, reliable transportation
Desire to take initiative
Comfortable with working with other individuals for the first time
POSITION IS REMOTE
• visit office twice/week to exchange out samples/take new samples

Job Type: Internship","https://www.barefootstudent.com/jobs/internships/social_media_content_creator_intern_1920477479?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.08295384128130906,
11,"Social Media Intern","PrizePicks","Buckhead, GA","Love fantasy sports or sports betting? Attracted to the startup hustle? Looking for the perfect sports internship for your resume? This might be your dream opportunity!

PrizePicks is the most fun, fast & simple fantasy sports game on the market. As our reviews indicate, we have found the most accessible mainstream DFS format, and we truly believe we are pioneering what will become the biggest category in daily fantasy sports over the next decade.

PrizePicks is immediately hiring for a Social Media Intern. This candidate will primarily be responsible for posting and helping manage and grow the PrizePicks Instagram, TikTok, and Facebook accounts. The candidate would also be helping out with managing the Twitter account, but primarily focused on the IG/TikTok/FB. The candidate will also have a heavy role in continuing to develop PrizePicks brand voice on social media. In addition to helping post and manage the company’s social media channels, the candidate will also have the opportunity to play a role as an “internal affiliate” with a commission based pay system, working to try and acquire new customers via Twitter and Facebook. This is an internship role and is likely best suited for college students in their junior or senior year.

If you like technology, sports & fast-growing startups with unlimited potential, you may have found the ideal opportunity. At Performance Predictions, we’ve built a suite of sports fan engagement solutions for more than five years, including the 2016 Rookie of the Year according to the Fantasy Sports Trade Association, and all of our work to date has culminated with an amazing product/market fit in PrizePicks.

What you’ll do
• Primarily be responsible for posting and helping manage and grow the PrizePicks Instagram, TikTok, and Facebook accounts.
• Helping out with managing the Twitter account, but primarily focused on the IG/TikTok/FB.
• Maintaining the Instagram and Facebook pages activity and keeping them fresh daily
• Constantly staying up to date with all sports and PrizePicks relevant news, updating the social platforms accordingly with breaking news, promotions, and generic sports gambling content daily
• Serve as an “internal affiliate” using Twitter/Facebook to find new users for PrizePicks.
• Create the PrizePicks brand voice on TikTok through interesting/humorous sports content

Who we’re looking for
• College degree or currently pursuing
• Experience (consumer and creator) with TikTok i.e. creating TikToks, surfing the FYP for new content, staying up to date on all the trends, commenting where appropriate. (huge plus)
• Experience managing and growing a professional Instagram account, keeping it active and fresh with daily stories and giving a glimpse into what being an employee at PrizePicks is all about. (huge plus)
• Experience using Adobe Suite products such as Photoshop, Premiere, or other editing and content creation software. (huge plus)
• Partner and customer-first attitude
• Ability to work during the biggest games, which typically fall during weekends and at night, is a necessity
• Extremely organized, persistent, and on top of tasks
• Sports Betting, Fantasy Sports, or Poker Industry Experience (huge plus)
• Self-starting, supportive & positive attitude
• Strong written and verbal communications skills
• Deep knowledge & passion for a wide variety of sports

Now that you’ve made your way to the bottom that probably means you’re ready to learn more about the position! We know this is a highly coveted internship in a field that is tough to break into so if you want to stand out, please send an email with a couple paragraphs explaining why you are the best fit and accompany that with your resume to ron@prizepicks.com. Also, sign up for the app and follow our social media so you can speak to where we need to improve","https://boards.greenhouse.io/performancepredictions/jobs/4385453003?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.03772341084201442,
4,"Content Creation Intern","Pantsuit Professionals","New York, NY","Ae you a Content Creator who is seeking an internship with a women's association for the advancement of women in the workplace? We want to meet you! We are seeking ambitious, driven, detail oriented, candidates who will be mentored by a content creation marketing professional with webinar online video creation skill and has the ability to train/work in a team educational environment. The candidate will demonstrate an ability to think creatively, strategically and communicate efficiently internally and externally. The candidate will benefit from the internship experience by mentoring and working with experienced professionals. The internship experience will prepare the student to enter the workplace.

Learning Objective: Candidates will learn and develop new specific skill(s), enhance their known skills and benefit from their personal educational learning experience by working along side cross teams of experienced professionals. The candidate will be evaluated (for internal use) at the end of the internship. The candidates evaluation will be submitted to the respective university, if required and/or requested by the university. The internship program program is 20 hours or less a week, depending on the candidate school schedule, availability and interests. By completing the internship, the candidate will or should be prepared to enter the workplace","https://www.internships.com/posting/ccm_4b167b00-b74c-45ad-88ba-943b025d4a51?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.06841553934807033,
0,"Intern, Creative Services Track","Herbalife Nutrition","Torrance, CA","Creative Services

COMPANY OVERVIEW:

Herbalife is a global nutrition company that has helped people pursue a healthy, active life since 1980. Our nutrition, weight-management and personal care products are available exclusively through dedicated independent Members more than 90 countries. Our Mission is to change people’s lives by providing the best business opportunity in direct selling and the best nutrition and weight-management products in the world.

POSITION SUMMARY STATEMENT:

 Three positions available:

Intern, WW Creative Services, Content Creator
Intern, Global Innovation Office 
Intern, Distributor Leadership Experience


Herbalife Nutrition offers an inspiring opportunity to be part of a 12-week Summer Internship program. Herbalife is a global nutrition company that has helped people pursue a healthy, active life since 1980. Our nutrition, weight-management and personal care products are available exclusively through dedicated independent Members in more than 90 countries. Our Mission is to change people’s lives by providing the best business opportunity in direct selling and the best nutrition and weight-management products in the world.

SUMMARY OF RESPONSIBILITIES/DUTIES:

Intern, WW Creative Services, Content Creator: This content creator will be a part of a larger creative team that will execute creative needs of our Distributors, Regions and internal stakeholders including print, digital and video disciplines.
Intern, Global Innovation: The intern will work directly with the Global Innovation team to support team on various projects such as video content creation and editing, podcast production and editing. They will expect to learn the full process of development of training content that has a global audience and language consideration. They will work with PowerPoint, excel, and learn how the digital media editing software such as the Adobe creative suite and Articulate Rise works together for a complete learning pend product.  They will support marketing and communication process and use their creative skills to support the Innovation/WOW24.7 Team.
Intern, Distributor Leadership Experience: The intern will have the opportunity to work on Gen Z perspective across gifts, experiences for top Distributors and social media platform.","https://www.linkedin.com/jobs/view/externalApply/2454540956?url=https%3A%2F%2Fars2%2Eequest%2Ecom%2F%3Fresponse_id%3D62d42d59e114cc416e835fa139bc913f&urlHash=nFmk&refId=775c2431-0e55-4d63-b3e5-7c4dc4fc6bf0&trackingId=qCreMcLdGWbMpSLwIEimPw%3D%3D&trk=public_jobs_apply-link-offsite",0.15170183622581926,
