Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
2,"Data Engineer Intern","Hasbro","Providence, RI","At Hasbro, we are looking for people who are passionate about impacting the future of play and entertainment. We seek individuals who are committed, curious, creative, and who are eager to keep imagination alive on teams that play together and create together. Our values - community, passion, integrity, creativity and inclusion - help cultivate inspiring, diverse workplaces where teams are built on positivity as much as productivity, and where individuals can do work they love with people they enjoy on brands they believe in, all for a company driven by greater purpose. Data Engineer Intern Do you have a passion for data? We are growing our Analytics team! We have an opportunity available for a Data Engineer Intern who will work with partners in IT and across the organization to enable data-driven decisions. This person's main responsibility will be to expand the usable pool of data available for conducting analysis. They will also help execute the roadmap for Analytics within Hasbro and scope, plan, and execute strategic Analytics projects to help Hasbro's brands achieve profitable growth! A day in the life as a Data Engineer Intern (under the direction of the Principal Data Engineer): - Partner with peer coaches on developing data pipelines to ingest, clean, and prepare data for analysis. Develop views and aggregated datasets that can be easily loaded into analytical tools. - Partner with business resources to gather business requirements, conduct testing sessions and conduct demos of solutions. - Support analytics projects and conduct analysis. Leverage descriptive and exploratory techniques, text analytics, and statistical methods to help answer business questions. Prepare results and communicate findings to stakeholders. Projects may be small, one-time requests or larger, ongoing programs. What You'll Bring - Pursuing a degree in a quantitative field (e.g., comp sci, engineering, economics), advanced degree/MBA a plus. - Intermediate experience with a scripting language like Python (preferred), R, Scala, C#, UNIX shell, etc. - Intermediate SQL skills, ability to design and optimize queries and create data structures. - Excellent written and verbal communication skills - will gain experience working with business stakeholders and senior leaders. - Strong time management capabilities with the ability to communicate status and issues on tasks to team and leadership. - Professionalism and strong focus on customer. - Remove candidates living in the US may be considered. Hasbro's world-class brands and talented people are our greatest assets. One of the ways we invest in you is through a competitive and contemporary benefits package. Your particular benefits package will depend on your position, location, local legal requirements and years with the company. Here's a look at what your benefits package may include: Medical, Dental & Vision Insurance, Half-day Fridays year round, Paid Vacation Time & Holidays, Generous 401(k) match, Paid Parental Leave, Team Hasbro Volunteer Program, Employee Giving & Matching Gifts Programs, Tuition Reimbursement, Toy Discounts and more! Hasbro is committed to equality of opportunity in all aspects of employment. We are committed to making all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, or any other legally protected status","https://hiringnearme.jobs/jobs/hasbro-data-engineer-intern-providence?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.3035503025169688,
0,"Data Engineer Intern","Hasbro","East Providence, RI","At Hasbro, we are looking for people who are passionate about impacting the future of play and entertainment. We seek individuals who are committed, curious, creative, and who are eager to keep imagination alive on teams that play together and create together. Our values – community, passion, integrity, creativity and inclusion – help cultivate inspiring, diverse workplaces where teams are built on positivity as much as productivity, and where individuals can do work they love with people they enjoy on brands they believe in, all for a company driven by greater purpose.

Data Engineer Intern

Do you have a passion for data? We are growing our Analytics team! We have an opportunity available for a Data Engineer Intern who will work with partners in IT and across the organization to enable data-driven decisions. This person's main responsibility will be to expand the usable pool of data available for conducting analysis. They will also help execute the roadmap for Analytics within Hasbro and scope, plan, and execute strategic Analytics projects to help Hasbro’s brands achieve profitable growth!

A day in the life as a Data Engineer Intern (under the direction of the Principal Data Engineer):
• Partner with peer coaches on developing data pipelines to ingest, clean, and prepare data for analysis. Develop views and aggregated datasets that can be easily loaded into analytical tools.
• Partner with business resources to gather business requirements, conduct testing sessions and conduct demos of solutions.
• Support analytics projects and conduct analysis. Leverage descriptive and exploratory techniques, text analytics, and statistical methods to help answer business questions. Prepare results and communicate findings to stakeholders. Projects may be small, one-time requests or larger, ongoing programs.

What you'll bring:
• Pursuing a degree in a quantitative field (e.g., comp sci, engineering, economics), advanced degree/MBA a plus.
• Intermediate experience with a scripting language like Python (preferred), R, Scala, C#, UNIX shell, etc.
• Intermediate SQL skills, ability to design and optimize queries and create data structures.
• Excellent written and verbal communication skills – will gain experience working with business stakeholders and senior leaders.
• Strong time management capabilities with the ability to communicate status and issues on tasks to team and leadership.
• Professionalism and strong focus on customer.
• Remove candidates living in the US may be considered.

Hasbro’s world-class brands and talented people are our greatest assets. One of the ways we invest in you is through a competitive and contemporary benefits package. Your particular benefits package will depend on your position, location, local legal requirements and years with the company. Here’s a look at what your benefits package may include: Medical, Dental & Vision Insurance, Half-day Fridays year round, Paid Vacation Time & Holidays, Generous 401(k) match, Paid Parental Leave, Team Hasbro Volunteer Program, Employee Giving & Matching Gifts Programs, Tuition Reimbursement, Toy Discounts and more!

Hasbro is committed to equality of opportunity in all aspects of employment. We are committed to making all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, or any other legally protected status","https://jobs.hasbro.com/job/East-Providence-Data-Engineer-Intern-Rhod/722323100/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.1640812456329351,
1,"Data Engineer Intern","Hasbro, Inc.","Rumford, RI (+1 other)","Data Engineer Intern job in East Providence - Providence County, Rhode Island, USA / United States

Location:
East Providence - Providence County, Rhode Island, United States
Salary:
Competitive
Type:
Permanent
Main Industry:
Information Technology
Other Industries & Skills:
Management & Executive, Secretarial, Office & Administration
Advertiser:
Hasbro
Job ID:
109086857
Posted On:
11/04/2021

At Hasbro, we are looking for people who are passionate about impacting the future of play and entertainment. We seek individuals who are committed, curious, creative, and who are eager to keep imagination alive on teams that play together and create together. Our values - community, passion, integrity, creativity and inclusion - help cultivate inspiring, diverse workplaces where teams are built on positivity as much as productivity, and where individuals can do work they love with people they enjoy on brands they believe in, all for a company driven by greater purpose.

Data Engineer Intern

Do you have a passion for data? We are growing our Analytics team! We have an opportunity available for a Data Engineer Intern who will work with partners in IT and across the organization to enable data-driven decisions. This person's main responsibility will be to expand the usable pool of data available for conducting analysis. They will also help execute the roadmap for Analytics within Hasbro and scope, plan, and execute strategic Analytics projects to help Hasbro's brands achieve profitable growth!

A day in the life as a Data Engineer Intern (under the direction of the Principal Data Engineer):

-Partner with peer coaches on developing data pipelines to ingest, clean, and prepare data for analysis. Develop views and aggregated datasets that can be easily loaded into analytical tools.
-Partner with business resources to gather business requirements, conduct testing sessions and conduct demos of solutions.
-Support analytics projects and conduct analysis. Leverage descriptive and exploratory techniques, text analytics, and statistical methods to help answer business questions. Prepare results and communicate findings to stakeholders. Projects may be small, one-time requests or larger, ongoing programs.

What you'll bring:

-Pursuing a degree in a quantitative field (e.g., comp sci, engineering, economics), advanced degree/MBA a plus.
-Intermediate experience with a scripting language like Python (preferred), R, Scala, C#, UNIX shell, etc.
-Intermediate SQL skills, ability to design and optimize queries and create data structures.
-Excellent written and verbal communication skills - will gain experience working with business stakeholders and senior leaders.
-Strong time management capabilities with the ability to communicate status and issues on tasks to team and leadership.
-Professionalism and strong focus on customer.
-Remove candidates living in the US may be considered.

Hasbros world-class brands and talented people are our greatest assets. One of the ways we invest in you is through a competitive and contemporary benefits package. Your particular benefits package will depend on your position, location, local legal requirements and years with the company. Heres a look at what your benefits package may include: Medical, Dental & Vision Insurance, Half-day Fridays year round, Paid Vacation Time & Holidays, Generous 401(k) match, Paid Parental Leave, Team Hasbro Volunteer Program, Employee Giving & Matching Gifts Programs, Tuition Reimbursement, Toy Discounts and more!

Hasbro is committed to equality of opportunity in all aspects of employment. We are committed to making all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, or any other legally protected status.

Apply For This Job Add to job basket Email me jobs Find similar jobs Jobs for Hasbro Search for other jobs Email Job to a Friend
.

Apply:

Your email address:

Your country of residence:
Please Select a CountryAfghanistanAlbaniaAlgeriaAmerican SamoaAndorraAngolaAnguillaAntigua and BarbudaArgentinaArmeniaArubaAustraliaAustriaAzerbaijanBahamasBahrainBangladeshBarbadosBelarusBelgiumBelizeBeninBermudaBhutanBoliviaBosnia and HerzegovinaBotswanaBrazilBritish Indian Ocean TerritoryBritish Virgin IslandsBruneiBulgariaBurkina FasoBurundiCambodiaCameroonCanadaCayman IslandsCentral African RepublicChileChinaColombiaComorosCosta RicaCroatiaCubaCyprusCzech RepublicDemocratic Republic of the CongoDenmarkDjiboutiDominicaDominican RepublicEast TimorEcuadorEgyptEl SalvadorEquatorial GuineaEritreaEstoniaEswatiniEthiopiaFalkland Islands (Islas Malvinas)Faroe IslandsFiji IslandsFinlandFranceGabonGambiaGeorgiaGermanyGhanaGibraltarGreeceGreenlandGrenadaGuadeloupeGuamGuatemalaGuineaGuinea-BissauGuyanaHaitiHondurasHong KongHungaryIcelandIndiaIndonesiaIranIraqIrelandIsraelItalyIvory CoastJamaicaJapanJordanKazakhstanKenyaKiribatiKuwaitKyrgyzstanLaosLatviaLebanonLesothoLiberiaLibyaLiechtensteinLithuaniaLuxembourgMacedoniaMadagascarMalawiMalaysiaMaldivesMaliMaltaMartiniqueMauritaniaMauritiusMexicoMicronesiaMoldovaMonacoMongoliaMontenegroMontserratMoroccoMozambiqueMyanmarNamibiaNepalNetherlandsNew ZealandNicaraguaNigerNigeriaNorth KoreaNorwayOmanPakistanPalauPanamaPapua New GuineaParaguayPeruPhilippinesPitcairn IslandsPolandPortugalPuerto RicoQatarRepublic of the CongoRomaniaRussiaRwandaSamoaSan MarinoS o Tom and Pr ncipeSaudi ArabiaSenegalSerbiaSeychellesSierra LeoneSingaporeSlovakiaSloveniaSolomon IslandsSomaliaSouth AfricaSouth Georgia and the South Sandwich IslandsSouth KoreaSouth SudanSpainSri LankaSt. Kitts and NevisSt. LuciaSt. Vincent and the GrenadinesSudanSwedenSwitzerlandSyriaTaiwanTajikistanTanzaniaThailandTogoTongaTrinidad and TobagoTunisiaTurkeyTurkmenistanTurks and Caicos IslandsTuvaluUgandaUkraineUnited Arab EmiratesUnited KingdomUnited StatesUruguayUzbekistanVanuatuVatican CityVenezuelaVietnamYemenZambiaZimbabwe

Important: Never supply bank or financial information to job advertisers. If you see a vacancy and bank details or money are requested, email support@tiptopjob.com","https://www.internships.com/posting/bug_38967759995?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.11514473422286939,
3,"Intern - Data Modeler/Quality Engineer","Pearson","Providence, RI","Job Information

Pearson Intern - Data Modeler/Quality Engineer in Providence, Rhode Island

Intern - Data Modeler/Quality Engineer - ( 2102487 )

Description

PEARSON INTERNSHIP PROGRAM

Data Modeler/Quality Manager

Pearson Interns - Helping shape the future of education

Why join Pearsons intern program?

Pearson is the worlds learning company. We help people of all ages acquire the knowledge and skills they need to be successful in their work and careers. We believe that everyone should be able to keep learning, every day and in every way, throughout their lives. Bringing together everything we know about the science of learning and the latest technology; were shaping the future of teaching and learning.

Were looking for the next generation of talented undergraduates to join our team for an unforgettable 10-week internship. An internship at Pearson is an opportunity to bring your own unique perspective as a learner, together with your academic knowledge, technical skills, and enthusiasm, to help create products used by students like you.

As one of our interns, you will gain a comprehensive introduction to our business. Youll be assigned to a team and work on real-life projects that bring our products and services to life. On the job training and professional development will be provided to enable you to contribute to the business. Youll also have direct access to a senior member of the team, as each intern will be mentored to help you make the most of the ten-week program.

We foster a work environment thats inclusive as well as diverse, where our people can be themselves. Every idea and perspective is valued so that our products reflect the people we serve our teachers and learners.

What Does the Internship Program Offer?

Successful candidates will spend 10 weeks working with our technology teams.

Youll be paid for the duration of your internship. The internship begins on Monday, June 7 th and ends Friday, August 13 th .

Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

What are we looking for:
• Enrolled in an undergraduate or graduate technical degree in Information Science / Information Technology, Computer Science, Engineering, Mathematics, Physics, or a related field
• The ideal candidate will be detail oriented, self-directed, self-motivated, with a strong capacity for working successfully and flexibly with team members
• Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
• Ability to work autonomously
• Ability to learn quickly and apply learning to problems or activities
• Previous project work in using or presenting quantitative data analysis
• Previous use of tools such as SQL, python, Snowflake, Databricks, Tableau preferred

Job description
• Ability to understand and capture product requirements and technical solutions through charts, diagrams, and data
• Manipulating data using statistical analysis techniques such as machine learning, time-series analysis, multiple linear/logistic regression, anomaly detection, forecasting and simulation.
• User data and analysis to understand and optimize Pearsons customer experience
• Develop reports and visualizations for internal department sharing learned insights into Pearsons customers

The anticipated starting salary range for Colorado-based individuals expressing interest in this position is $30/hr. This position is not bonus eligible. Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications
• Enrolled in an undergraduate or graduate technical degree in Information Science / Information Technology, Computer Science, Engineering, Mathematics, Physics, or a related field
• The ideal candidate will be detail oriented, self-directed, self-motivated, with a strong capacity for working successfully and flexibly with team members
• Strong communication skills with the ability to discuss any issues with a wide variety of individuals and groups
• Ability to work autonomously
• Ability to learn quickly and apply learning to problems or activities
• Previous project work in using or presenting quantitative data analysis
• Previous use of tools such as SQL, python, Snowflake, Databricks, Tableau preferred

Primary Location : US-RE-Remote

Other Locations : US-California

Work Locations :

US-Remote

Remote

Job : Project/Temporary Workforce

Organization : Technology & Operations

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Job Posting : Feb 24, 2021

Job Unposting : Ongoing

Schedule: : Full-time Temporary

Req ID: 2102487","https://www.internships.com/posting/bug_38956307844?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05539845848646782,
7,"Intern, Data Engineering, Customer Insights","Autodesk","Massachusetts","Job Title:

Intern, Data Engineering, Customer InsightsJob Description:

Position Overview

“SQL Cleanup on Aisle 4!”

Love SQL and want to participate in taking a cutting-edge Marketing and Sales Proof of Concept to Enterprise-ready robustness?

Interested in coding in various Big Data technologies such as HIVE, Snowflake & Presto?

Autodesk is looking for enthusiastic students who are interested in Data Engineering. You'll be improving critical data processing & analytics pipelines and researching innovative ways to transform data into insights.

As a Summer 2021 Data Engineering intern, you will get to apply your knowledge in data engineering, work with the interesting data sets, and make an impact by helping our customers create a better, safer, more sustainable world.

Responsibilities
• Help define and drive execution of the data engineering roadmap
• Develop, test and deploy new data pipelines to support customer requirements and fix defects and implement enhancements
• Develop processes and techniques for practicing good data hygiene to ensure data is always up-to-date, accurate, and stored efficiently
• Apply expertise in aggregating multiple data sources to creating complex SQL queries and reusable solutions



Minimum Qualifications
• Student must be at least 18 years of age
• Student must be actively enrolled in a degree granting academic institution or accredited boot camp at the time of internship.
• Students should reside and attend university in the country where the internship is being offered
• A mix of previous internship, school project, volunteer and leadership experience is also important

Preferred Qualifications
• Pursuing a Masters or PhD in Statistics, Math, Computer Science, Information Science, Data Engineering, Analytics, Machine Learning, Physical Sciences, or a related field
• Proficiency in SQL, Python
• Knowledge in AWS, CI/CD, GIT, Jenkins
• Good communication and teamwork skills
• Strong desire to learn and experiment
• Experience with large datasets and large scale analytics

About the US Intern Program

The U.S. program runs from May through August for 12 weeks and will be remote (subject to change). All internships are paid. As an intern, you will have the opportunity to contribute to meaningful projects, be mentored by industry leaders, work alongside peers from universities all over the country and participate in tech talks and other activities designed to support your personal and professional development. US recruiting begins in the Fall and concludes end of March.

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.

Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers","https://www.glassdoor.com/job-listing/intern-data-engineering-customer-insights-autodesk-JV_KO0,41_KE42,50.htm?jl=4022691729&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0897231697715815,
5,"Data Engineering Intern","PepsiCo","New York, NY (+1 other)","Auto req ID: 221026BR
Job Description

We are PepsiCo

PepsiCo is a global food and beverage leader operating in more than 200 countries and territories with a product portfolio that includes 22 world-famous, billion-dollar brands. From Gatorade to Quaker, LIFEWTR to Lay’s, we make hundreds of enjoyable foods and beverages that are loved throughout the world.

Guiding PepsiCo is our vision to be the global leader in convenient foods and beverages by Winning with Purpose. “Winning with Purpose” reflects our ambition to win sustainably in the marketplace and embed purpose into all aspects of the business.

Our employees drive our culture. No two days are the same; we’re dynamic and full of passionate teams embracing new ideas through our collaborative spirit. At PepsiCo, what makes you unique, makes us better!

Functional Description:

PepsiCo operates in an environment undergoing immense and rapid change, driven by eCommerce and emergent retail technologies. To ensure continued success in the food and beverage space, PepsiCo has assembled a dedicated eCommerce team – tasked with optimizing eCommerce operations and developing innovations that will give PepsiCo a sustainable competitive advantage. While tied closely to broader PepsiCo, the eCommerce group more closely resembles a start-up environment; embracing the core values of having bias for action, being results oriented, maintaining a community-focus, and prioritizing people.

What you can expect:

PepsiCo eCommerce is looking to hire summer intern to join Supply Chain Data Engineering Team. The team applies Data Warehouse and Cloud techniques to build data pipelines to provide supply chain data like orders, fulfillment, customer, product from different sources for our business, customer and Data Science team.
We are looking for interns who can develop and design ETL systems and manage large datasets for eCommerce.
Roles available in the following locations:

San Francisco, CA/ Palo Alto, CA
Qualifications/Requirements

Minimum Qualifications:
• Pursuing BS or MS degree in Computer Science or a related technical field.
• Exposure to Python or any other programming languages.
• Good understanding of RDBMS database and SQL language.
• Knowledge of ETL processes.
• Knowledge with AWS or any other cloud technology.
• Strong verbal and written communication skills.
• Good team player.
Good to have:
• Knowledge of Web Scraping.
• Knowledge of Airflow, Kubernetes and Docker.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.
PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901-4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy.

Please view our Pay Transparency Statement
Relocation Eligible: Not Eligible for Relocation

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy

Please view our Pay Transparency Statement","https://www.pepsicojobs.com/jobs/221026BR?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04939989934793186,
6,"Data Engineering Intern","HealthEdge Software","Burlington, MA (+1 other)","Title:Data Engineering Intern

Dates: May 31st, 2021-August 20th, 2021

Location: Burlington, MA/virtual

Position Summary:

HealthEdge offers a paid internship program that lasts for 12 weeks each summer. The program allows students to learn about working in a software company and the different departments that collaborate to make our customers successful. Interns selected will work within their specific job function but also have seminars weekly that offer exposure to all departments at HealthEdge: Engineering, Marketing, Finance, IT Operation, Product Management, and Customer Support. In addition, interns will participate in workshops focused on resume writing, professional networking, interview preparation, and many more. There will also be some exciting social outings and volunteer opportunities throughout the summer. Our goal is to have our interns leave with practical and applicable experience to build out their professional portfolio, meet some great connections and have some fun along the way!

Job Responsibilities:
• Assist the team with building modern data visualizations.
• Support multi-tenant Data Lakes.
• Optimize Data Pipelines for efficiency across multiple ingest pipes.
• Learn core capabilities to Ingestion, Egress and data transformation.
• Participate in additional transformational architecture initiatives.

Qualifications:
• Experience with Apache Open Source technologies such as Kafka, Spark SQL, NiFi, Sqoop, Scala, Java.
• Self-starter who is very organized.
• Go-getter, Quick learner, Inquisitive.
• Detail-oriented .
• Excellent written and verbal communication","https://www.glassdoor.com/job-listing/data-engineering-intern-healthedge-software-JV_IC1154543_KO0,23_KE24,43.htm?jl=4023188501&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.07399849069029082,
8,"Intern - Software & QA Engineer","NetApp, Inc.","Waltham, MA (+1 other)","Job Summary

In a world full of generalists, NetApp is a specialist. We’re focused on one thing, helping your business get the most out of your data. NetApp brings the enterprise-grade data services you rely on into the cloud, and the simple flexibility of cloud into the data center. Our industry-leading solutions work across diverse customer environments and the world’s biggest public clouds.

As a cloud-led, data-centric software company, only NetApp can help build your unique data fabric, simplify and connect your cloud, and securely deliver the right data, services and applications to the right people—anytime, anywhere.

NetApp’s two business units develop the company’s portfolio of offerings to help customers modernize their IT environment and harness the power of private and public clouds.

Public Cloud Services delivers modern data management applications and services that help customers leverage public and multi-cloud solutions. Foundational Data Services delivers on-premises solutions to help customers modernize and simplify their IT infrastructure. This group drives the direction for AFF/FAS (ONTAP), E-Series, & StorageGRID and the adoption of new customer consumption models.

We invest heavily in new talent. Your energy and fresh ideas are vital to cementing our position as a market-leader. We’ll push you beyond your comfort zone with a belief that no idea is off limits. At the same time, you’ll have all the resources, mentoring and feedback you need to grow. What’s more, whatever your role, you can be yourself in a team that celebrates individuality and welcomes different perspectives.

Job Requirements

As a Software Engineer Intern you would participate in product design, development, verification, troubleshooting, and delivery of a system or major subsystems. This position requires an individual to be creative, team-oriented, technology savvy, driven to produce results and demonstrates the ability to take a cross-team leadership role.
• Experience with multiple programming languages is a benefit but there is also room to improve your skills.
• Most entry-level engineers have a level of proficiency in: C, C++, Java and/or Python
• Projects, experiences, or coursework related to areas such as: Operating Systems, Computer Architecture, Multi-Threading, Data Structures & Algorithms
• Proven aptitude for learning new technologies
• Creative and analytical approach problem solving skills
• Strong oral and written communication is necessary for success
• Ability to work on a diverse team or with a diverse range of people.

Experience

Must be enrolled in an educational or professional program through summer 2021 or later.

Equal Opportunity Employer Minorities/Women/Vets/Disabled","https://jobs.netapp.com/job/Waltham-Intern-Software-&-QA-Engineer-MA-02451/667238100/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.06324657334805261,
4,"Software Engineer (Data Engineering) Intern","Addepar","Anywhere","Engineering is at the core of Addepar and we are looking to add the best, brightest, and most passionate software engineers to our team. If you are excited about doing the best work of your career and you enjoy the rush of shipping high quality code to production every day we’re excited to meet you! Our software engineers come from a variety of backgrounds, ranging from Silicon Valley entrepreneurs to finance tech veterans. What they have in common is tremendous talent and dedication to architecting, implementing, and shipping high quality software.

Intern Program Dates: May 24 - Aug 13, 2021

Our Engineering Teams
• Data Engineering: build systems to ingest the world’s investment data and aggregate it into a single platform.

Requirements
• Extraordinary talent in software engineering. Ability to write high quality object oriented code.
• Excellent written and verbal communication skills.
• Working knowledge of development best practices and experience working in a team.
• Ability to explore complex problems spaces objectively from multiple points of view.
• General familiarity with some of the technologies we use:
• HTTP, REST and web API best practices.
• Modern JavaScript and/or EmberJS.
• SQL, relational databases and key-value stores.
• Messaging/queuing and transaction log frameworks.
• Linux proficiency, basic shell scripting and a solid grasp of systems level programming is a plus.
• Specific knowledge of Java, Python, EmberJS and/or JavaScript are a plus.
• Specific experience in or knowledge of financial data systems is a plus.

Addepar is a wealth management platform that specializes in data aggregation, analytics and reporting for even the most complex investment portfolios. Founded in 2009 by Joe Lonsdale, who currently serves as an active Chairman of its Board of Directors and General Partner at 8VC, the company's platform aggregates portfolio, market and client data all in one place. It provides asset owners and advisors a clearer financial picture at every level, allowing them to make more informed and timely investment decisions. Addepar works with hundreds of leading financial advisors, family offices and large financial institutions that manage data for over $2 trillion of assets on the company's platform. In 2020, Addepar was named as a Forbes Fintech 50 company and honored as a member of the CB Insights Fintech 250. Addepar is headquartered in Silicon Valley and has offices in New York City and Salt Lake City. All brokerage services offered through Acervus Securities Inc., member FINRA / SIPC.

Addepar is proud to be an equal opportunity employer. We seek to bring together diverse ideas, experiences, skill sets, perspectives, backgrounds, and identities to drive innovative solutions. We commit to promoting a welcoming environment where inclusion and belonging are held as a shared responsibility.

In order to ensure the health and safety of all Addepeeps and our prospective candidates, we have instituted a virtual interview and onboarding experience","https://www.linkedin.com/jobs/view/software-engineer-data-engineering-intern-at-addepar-2455902503?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04465527629452626,
9,"FW Data Engineering Intern","Comcast","New York, NY","Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast.
Job Summary:
As a part of the Comcast Technology Internship Program, you will have an opportunity to work on innovative, thought-provoking projects alongside a team of supportive, full-time employees. The 11-week, summer program will also provide you with a chance to gain new technical and professional development skills, participate in a wide range of mentorship and networking opportunities and have a lot of fun along the way!
Your experience will include:Engagement: Opportunities to cultivating meaningful relationships, working side by side with innovative and talent Comcast employees on impactful projects.Exposure: An inside look into the day-to-day operations of an organization at the cutting edge of media and technology.Professional Development: Exposure to a variety of professional development sessions and networking opportunities, giving you an opportunity to develop strong interpersonal and business skills that will set you apart from your peers.Mentorship: Mentoring from fellow colleagues through the Empowering Future Leaders Program (EFLP) to help you navigate your experience, provide coaching, and expand your professional network.Fun: Continuously develop relationships with fellow interns through social activities, community building, and networking.
Department and Position Overview:
FreeWheel helps the television industry generate revenue from their premium content through a robust technology platform, which enables consumers to watch entertainment on any devices from PC, mobile, set-top box to traditional TV. FreeWheel's New York Engineering Team is part of a global engineering group that is building advanced and high quality applications, servers and tools to manage million dollar orders, handle billions of daily requests, and process terabytes of raw daily data.
Employees at all levels are expected to:Understand our Operating Principles; make them the guidelines for how you do your jobOwn the customer experience-think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and servicesKnow your stuff-be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiencesWin as a team-make big things happen by working together and being open to new ideasBe an active part of the Net Promoter System-a way of working that brings more employee and customer feedback into the company-by joining huddles, making call backs and helping us elevate opportunities to do better for our customersDrive results and growthRespect and promote inclusion and diversityDo what's right for each other, our customers, investors and our communities
Core Responsibilities:
You will join the team building the data pipeline for our next generation internal reporting. On this high-profile project, you will be working alongside other big data engineers to process data from our multi-billion dollar advertising solutions to help leadership make data-driven decisions. Working on an internal tool, you will have the chance to see first-hand the influence you have.Design, develop, and test data-driven solutions in a team environmentUnderstand and improve existing code baseImprove performance, availability and scalability of our backend systems
Job Specification:Currently pursuing a Bachelor's degree from a United States-based college or universityMajors: Computer Science, Software Engineering or a related fieldGraduation date between December 2019 and May 2021, with a preference on rising seniors3.0 GPA or higherFamiliar with Python, SQL, AWSDetail oriented, flexible and can work well in a global team-oriented environmentProven analytical, organizational, and problem-solving abilityStrong written and verbal communication skillsAbility to work independently and in group settingsStrong interest in the technology, telecommunications, cable and media industriesCurrent and future authorization to work in the United States of America
Comcast is an EOE/Veterans/Disabled/LGBT employer","https://www.peersight.com/job/comcast-fw-data-engineering-intern-in-new-york-ny.amp?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0408017753331501,
