Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
15,"Distribution Intern","Ryder System, Inc.","Alburtis, PA","Current Employees

If you are a current employee at Ryder (not a Contractor or temporary employee through a staffing agency), please click here (http://wd5.myworkday.com/ryder/d/task/1422$3.htmld) to log in to Workday to apply using the internal application process. To learn how to apply for a position using the Career worklet, please review this quick reference guide (https://rydersystems.service-now.com/sys\attachment.do?sys\id=a39f83621bd99050632a4223cd4bcb91) .

Job Seekers can review the Job Applicant Privacy Policy by clicking HERE. (https://ryder.com/job-applicant-privacy-policy)

You are the driving force behind our company.

Start your career with Ryder today!

Summary

The Ryder Internship program will allow students to apply their knowledge into current Ryder projects. Interns will develop a corporate business sense by learning how each department contributes to the overall organization as well as crucial problem-solving and public speaking skills while attending business meetings and participating in projects.

Essential Functions
Responsibilities will vary according to the area/department assigned


Additional Responsibilities
Performs other duties as assigned.


Skills And Abilities
Strong verbal and written communication skills
Preference for experience showing leadership capabilities
Ability to create and maintain professional relationships within all levels of the organization (peers, work groups, customers, supervisors)Personal initiative, ability to present and effectively interact with all levels of management and customers
Demonstrates analytical skills
Strong analytical and organizational skills to support multiple projects
Ability to display confidence in learning new systems and processes quickly and establishing a strong customer rapport
Strong PC skills (Windows, MS Office, MS Project, MS Excel) intermediate required


Qualifications
Bachelor's degree required Currently enrolled toward a degree
Strong PC skills (Windows, MS Office, MS Project, MS Excel) intermediate required

DOT Regulated

No

Job Category

Intern

Ryder is proud to be an Equal Opportunity Employer and Drug Free workplace. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, among other things, or status as a qualified individual with disability.

Job Seekers can review the Job Applicant Privacy Policy by clicking HERE. (https://ryder.com/job-applicant-privacy-policy)

Ryder operates behind the scenes, managing critical fleet, transportation and supply chain functions for over 50,000 customers, many of which make the products that consumers use every day. When you choose Ryder, you get access to industry-leading technology, one of North America’s largest fleet of trucks, an expansive infrastructure of maintenance facilities and warehouses, and some of the most talented people in the industry.

\#wd","https://www.linkedin.com/jobs/view/externalApply/2477292472?url=https%3A%2F%2Frr%2Ejobsyn%2Eorg%2FFABB434A54F74B399A98915AA08782E91606&urlHash=hxNN&refId=b8840d1a-d5eb-4314-9828-d65bb72bf54b&trackingId=By999Gz%2Fsb6ixYh1%2Fm1oHw%3D%3D&trk=public_jobs_apply-link-offsite",0.08650624083561058,
20,"Category Management Intern","Vistar, A PFG Company","Englewood, CO","This position reports to 1 or multiple Category managers and interfaces with procurement staff (category managers, etc.), the Director of Category Management, SVP of Procurement, Pricing, and Logistics, and Sales leadership. Vistar is committed to a collaborative, service-oriented culture that emphasizes employee growth and both internal and external relationship building. In order to stay relevant to our customers, Vistar must continue to evolve and create new value-added products and services.

The Procurement Intern will gain exposure to the following areas:
Category management
Category research and development
Procurement systems, basic office systems
General procurement
Sales
The big picture of how a Fortune 200 company runs, how a distribution company runs, and how Procurement fits in
Candy, snack, and beverage industry (Food/Bev)

Specific Responsibilities Include
Commodity research and tracking
Supplier score-carding based on findings
Other related duties as assigned

Skills The Intern Will Learn
Interdepartmental collaboration
Strategic planning process
Category research and introduction
Category management
Giving presentations in a professional/corporate setting

Our onboarding paperwork includes a confidentiality agreement.

Candidate should be local to Denver area. Unfortunately, we do not have any Relocation Assistance or housing assistance for our internships.

Qualifications

Must be current student, with a minimum of 3.0 GPA in field of study
Must be available for a 10-12 week, full-time internship in Englewood starting May 24
Proficient with Microsoft Word and Excel
Effective oral and written communication skills
Studying Accounting, Finance, Business Analytics, Marketing, management, Economics, or related field","https://www.linkedin.com/jobs/view/externalApply/2495443988?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D26350%26siteid%3D6930%26jobId%3D897133&urlHash=SXWW&refId=b8840d1a-d5eb-4314-9828-d65bb72bf54b&trackingId=3Zn64N0vfxZ8tiV5C9o9iA%3D%3D&trk=public_jobs_apply-link-offsite",0.01947521974913183,
18,"Operations Supervisor Intern","thredUP","Suwanee, GA","About ThredUP

In 2009, thredUP set out to make used clothes the new normal and create a more sustainable future for fashion. The company designed a modern resale experience that took the work and risk out of thrift, and converted a generation of secondhand skeptics to fans. Sellers send clothes directly to thredUP by the bagful, and buyers shop quality-checked items from over 35,000 brands at steep discounts. To power this marketplace, thredUP built an infrastructure that has recirculated 100 million unique garments via proprietary technology, data and logistics. thredUP most recently expanded its platform with Resale-as-a-Service (RaaS) to power resale for the world’s leading fashion brands. As a circular fashion pioneer, thredUP is reducing fashion’s impact on the planet and unlocking economic value for consumers and brands alike.

About Our Internship Program

As a thredUP summer intern, you will be given a firsthand glimpse at what it’s like to work at the leading online secondhand apparel marketplace. During the 11 week program, you will tackle projects alongside our world-class team, with the opportunity to make a real impact on thredUP’s business. Our distribution centers are located across the US and we have our headquarters in Oakland, CA.

About The Internship

The Operations Supervisor Intern will work with our Suwanee, GA Distribution Center (DC) leadership while getting hands on experience in managing a fast paced multi-shift DC operation. This includes gaining experience in supervising staff, learning our processes, maintaining inventory, and learning the ins and outs of what makes our teams extraordinary. The Operations Supervisor Intern will be partnered with one of our Operations Supervisors to gain practical experience in leading the DC team members and working cross functionally to improve our operations processes.

The ideal candidate will have completed his/her junior or senior year of undergraduate school, or is a grad student, in a relevant program such as Business, Operations Management, Distribution or Logistics.

What kind of applicants are a great fit for a thredUP Internship?
Interns must be able to commit to a full-time schedule (40 hours) a week that can often work across various shifts (please note we have evening, weekend, overnight and daytime shifts). We will do our best to provide our interns with their complete schedule as early in the program as possible.
Our paid internships are ideal for ambitious students or grad students who thrive in ambiguity, like a good challenge, and want a legUP in their career development. Oh, and who wants to have a little fun in the process?

We believe diversity, inclusion and belonging is key for our team.

At thredUP, our mission has been built on extending the lives of millions of unique clothing items. Much like our inventory, we are proud to have fostered a workplace that is one-of-a-kind. As a company focused on diversity, inclusion and belonging, we are committed to ensuring our employees are comfortable bringing their authentic selves to work every day. A unique perspective is critical to solving complex problems and inspiring a new generation to think secondhand first. Be you.

Our legal team made us spell this out…

Must be at least 18 years old and have basic English literacy skills. Employment with thredUP is contingent on each candidate passing a 7-year criminal background check.

We are proud to say thredUP is an equal opportunity employer.

What We Offer

At thredUP, we value infinite learning. As an intern you’ll have the opportunity to learn about our forward-thinking business and collaborate with our talented team.

We also believe that each person should help drive the business. As an intern, you’ll be encouraged to speakUP, think big, ask questions and seek the truth, and help influence outcomes for our business and customers.

You’ll have the opportunity to work with passionate and supportive team members who encourage new ideas, feedback and collaboration.

We have a talented leadership team that encourages transparency and they will support you in maximizing your internship experience.","https://www.linkedin.com/jobs/view/externalApply/2385569613?url=https%3A%2F%2Fwww%2Ethredup%2Ecom%2Fp%2Fcareers%2Fa456e4f7-b319-4ddc-aecf-405aeacc3619&urlHash=Vhs4&refId=b8840d1a-d5eb-4314-9828-d65bb72bf54b&trackingId=PIFJxb8dZrsNrnLnguNikg%3D%3D&trk=public_jobs_apply-link-offsite",0.016261898470015787,
14,"Supply Distribution Intern (Summer)","BOLAND","Gaithersburg, MD","Join the industry leader! BOLAND provides clients with sustainable and energy efficient solutions for commercial, institutional and industrial buildings in the Washington, DC / Baltimore metropolitan area. We allow building occupants and owners to do what they do best -- focus on business, not buildings.

Did you know we have been named a Best Place to Work by 'Washington Business Journal' 12 times?

Supply Distribution Intern (Summer): Responsible for supporting the Parts & Supplies department with daily duties.

Essential Duties
Check in materials and put away inventory
Keep warehouse clean
Load and unload shipment of parts, supplies, and equipment
Assist with will-call
Order entry
Showroom replenishment
Requirements
Current high school, technical or college student
Hardworking, punctual, reliable, self-starter, willing to learn, positive attitude
Organized, deadline and detail oriented
Warehouse and inventory experience is a plus
Ability to lift a minimum of 50lbs occasionally, and 30lbs on a frequent basis
Ability to climb ladders, bend and kneel, and have good eyesight and hearing to safely work in the warehouse
We Offer
Excellent pay
Great and supportive work environment
Professional training and growth
Generous educational assistance program
Recognition and outstanding co-workers!
If you are interested in joining the Boland team, please apply. We want to hear from you!

We are an equal opportunity employer. This contractor and subcontractor shall abide by the requirements of 41 CFR 60-1.4(a), 60-300.5(a) and 60-741.5(a). These regulations prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, religion, sex, sexual orientation, gender identity or national origin. Moreover, these regulations require that covered prime contractors and subcontractors take affirmative action to employ and advance in employment individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.","https://www.linkedin.com/jobs/view/externalApply/2497170879?url=https%3A%2F%2Fboland%2Eisolvedhire%2Ecom%2Fjobs%2F261901-81738%2Ehtml&urlHash=cH-w&refId=b8840d1a-d5eb-4314-9828-d65bb72bf54b&trackingId=5uRn43DVKxbE1PDUZburjA%3D%3D&trk=public_jobs_apply-link-offsite",0.028252226602976778,
5,"Distribution Product Development and Operations - Summer Intern","A+E Networks","New York, NY","Overview Of Job

The intern will help the Distribution Product Development and Operations team enhance processes, communication, and reporting related to the dissemination of our programming in the Pay TV and AVOD universe.

Responsibilities

Assist in the playout operations for FAST (free ad-supported television) channels. This includes scheduling content and working with internal stakeholders to ensure all on-air materials are ready for playout.

Aid in the management and communication of Lookback/VOD/Simulcast rights information to Pay TV affiliates.

Build out reports using Business Intelligence tools for tracking of performance on partner sites and apps.

Assess use cases for new integrations of industry leading identification tags (i.e. EIDR or TIVO) in an effort to create faster efficiencies.

Coordinate logistics and maintain project tracking materials for on-going initiatives.

Skills And Qualifications The Intern Needs
Knowledge of Word, Excel and PowerPoint
Solid oral and written communication skills
Both an analytical and creative thinking mind-set
A positive attitude and desire to gain experience within the TV landscape
An all-around critical thinker as it relates to problem solving.","https://www.linkedin.com/jobs/view/externalApply/2403720555?url=https%3A%2F%2Faenetworks%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FAE-Careers%2Fjob%2FNew-York%2FDistribution-Product-Development-and-Operations---Summer-Intern_R0003549%3Fsource%3DLinkedin&urlHash=hTGb&refId=b8840d1a-d5eb-4314-9828-d65bb72bf54b&trackingId=L3X3%2FRYbkGxSDS0nqOolDg%3D%3D&trk=public_jobs_apply-link-offsite",0.06740746058761239,
6,"Sales Logistics & Distribution Intern Flex/Remote","UPS","Miami, FL","UPS Global Logistics generates revenue by providing end-to-end global solutions through the UPS established network and IT systems. Experts design and re-engineer a customer’s supply chain to maximize competitive advantages. We support the supply chain with optimal efficiency from high tech to retail and automotive; all to improve customers efficiencies and speed to market. UPS Global Logistics product portfolio consists of service offerings for both Distribution and Post Sales services.

The Sales Operations team for UPS Global Logistics supports the Sales team that is selling our Global Logistics services to customers all across the globe. While winning new business is important, we also understand that retaining current customer’s business is equally as important to our success. This position will primarily support our renewal and retention efforts across the globe by acting as the Global coordinator/liaison for cross functional groups for the Renewal/Retention Project.

Responsibilities And Duties
Global coordinator for Renewal/Retention Project for Global Logistics
Responsible for compiling data from Global cross functional teams regarding Renewal/Retention Project
Works within Finance and Accounting to help complete information needed for contracts
Enters data compiled from Global cross functional teams into the Global SharePoint site
Management/Administration of the Global Renewal/Retention Project SharePoint site
Prepares reports from data within Global Renewal/Retention Project SharePoint site
Supports the Global teams in the implementation and adoption of the Global Renewal Process
Other duties related to Renewal and Retention Project as needed


Knowledge And Skills
Ability to maintain and manage a SharePoint site
Experience with data manipulation utilizing Excel and Access
Demonstrates leadership attributes within classroom, projects, volunteering
Excellent verbal and written communication skills
Ability to communicate with all levels of management
Ability to multitask and work with cross functional teams
Able to work 35-40 hours per week
Experience using Microsoft Office Suite (Word, Excel, PowerPoint, Access, Outlook) SharePoint
Rising college junior or senior - Preferred
Actively enrolled in a college degree program in the area of Business Management, Computer Science, Economics, Finance, Logistics, or Marketing - Preferred

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law","https://www.linkedin.com/jobs/view/externalApply/2469629646?url=https%3A%2F%2Fad%2Edoubleclick%2Enet%2Fddm%2Fclk%2F425692759%3B247268762%3Bc%3Fhttps%3A%2F%2Fwww%2Ejobs-ups%2Ecom%2Fjob%2F-%2F-%2F1187%2F19036220%2F%3Futm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcore%26utm_content%3Dsocial_media%26utm_medium%3Djob_posting%26ss%3Dpaid&urlHash=fjUC&refId=b8840d1a-d5eb-4314-9828-d65bb72bf54b&trackingId=Bs61OdNNYkMXdhGLSpWdpQ%3D%3D&trk=public_jobs_apply-link-offsite",0.037113287214701286,
12,"eCommerce Summer Intern","Central Garden & Pet","Walnut Creek, CA","2021 SUMMER ECOMMERCE INTERNSHIP

Our Central Information Systems team, working in support of our garden and pet distribution businesses, is looking for a summer intern to join our B2B eCommerce team! This 12-week paid marketing internship will support our Garden and Pet distribution businesses as part of the eCommerce Team. The position will be 100% remote, working with our California-based eCommerce team members. Our Marketing Summer Internships are designed to provide a realistic immersion of working full time at our company.

What can you expect to get out of this internship?
You will be entrusted with live challenging eCommerce projects.
You will have the opportunity to make a direct impact on business results.
You will feel the ownership of your projects from Day 1.
You will also have the opportunity to work with passionate people and receive continuous coaching and mentoring from your manager and colleagues.

Interested in what you might be working on?

These Are Some Responsibilities Of The Summer Intern
Manage product content optimization and enhancement projects to deliver an optimal eCommerce experience to our customers.
Review and analyze product data opportunities and results
Learn to work within our product information management (PIM) system on content entry, updates and ongoing management
Support the eCommerce team with testing of website features and enhancements
Support in activating and troubleshooting eCommerce user account issues
Collaboration with the eCommerce team, the brand management teams, the customer experience team, the development team and retail partners

What are we looking for in you?
Enrolled in an undergraduate degree program from an accredited college or university with an anticipated graduation date of 2022/2023 ( preferably with some business or marketing focus).
Have and maintain high academic standards with your education institution.
Ability to independently learn new tools/technology, leveraging trends to support the business .
Highly organized, solution-oriented, quick learner, proactive and have a positive attitude .
Demonstrate excellent team leadership capabilities.
Possess strengths with strategic and analytical thinking.
Show evidence of passion, self-starting capabilities and achievements in academic or non-academic activities.

If this sounds like a fit for you, we invite you to apply now for this exciting opportunity.

A Little Bit About Us

Central Garden & Pet manufactures and produces brands like Aqueon, Zilla and Kaytee, with distribution businesses that sell these brands among many others to B2B clientele. Our B2B eCommerce team is responsible for enabling and managing the platforms and systems supporting these B2B eCommerce transactions. The B2B eCommerce function leads developing and implementing strategic business and marketing plans to meet overall company objectives.

At Central Garden & Pet (NASDAQ: CENT and CENTA), we believe home is at the center of our lives, and our employees are driven by our purpose to nurture happy and healthy homes. Our company is made up of thousands of people across North America, with an emerging footprint across the U.K., Mexico, China and Canada - all dedicated to helping gardens bloom bigger, pets live healthier and communities grow stronger. We are united by our mission to lead the future of the garden and pet industries…one blade of grass and one wagging tail at a time. Visit our website at www.central.com to learn more.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation, gender identity, or any other characteristic protected by law.

All successful applicants should expect to undergo a screening for prohibited levels of drugs prior to beginning employment.","https://www.linkedin.com/jobs/view/externalApply/2473432158?url=https%3A%2F%2Fphe%2Etbe%2Etaleo%2Enet%2Fphe02%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DCENTRAL%26cws%3D49%26rid%3D7329%26source%3DLinkedIn%26src%3DLinkedIn%26gns%3DLinkedIn&urlHash=bGNy&refId=b8840d1a-d5eb-4314-9828-d65bb72bf54b&trackingId=AbfLHK87jywF9tmdhI0yrQ%3D%3D&trk=public_jobs_apply-link-offsite",0.024490921981115566,
4,"Logistics Intern","Formlabs","Somerville, MA","To reinvent an industry, you have to build the best team. Join Formlabs if you want to bring groundbreaking professional 3D printers to the desktop of every designer, engineer, researcher, and artist in the world.

At Formlabs, our passion is designing and building powerful 3D printing tools. Our global Customer Fulfillment team makes sure that our products can be enjoyed by thousands of people around the world. Your role will be to further develop our distribution arm, ensuring a positive customer order fulfillment process.

If you have a passion for operations, data, problem solving, and working in a fast-paced environment, we want you to join us as our Logistics Intern.

The Job
Support our Customer Fulfillment team to provide best-in-class fulfillment services
Help manage tactical requirements for our regional 3PL provider
Pursue operational efficiencies in Formlabs' internal and external order fulfillment processes
Work with Services team to resolve any issues with orders fulfillment


You
Have a passion for operations, warehousing, or transportation
Have experience working with or for a third-party logistics provider
Understand freight shipping and logistics
Ability to work with cross-functional teams to get results
Can create a positive customer experience while maintaining efficiency
Proficient in Excel and database usage
Strong organizational skills and attention to detail
Comfortable multitasking and managing competing priorities
Work well under pressure and willing to ask questions


Bonus Skills
Familiarity with enterprise resource planning systems
Experience in finance and/or accounting
Experience with LTL freight shipping
Bilingual English/Spanish (Portuguese)
3D printing industry experience

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Even if you don't check every box, but see yourself contributing, please apply. Help us build an inclusive community that will change the face of 3D printing.","https://www.linkedin.com/jobs/view/externalApply/2495176543?url=https%3A%2F%2Fgrnh%2Ese%2F211c032d1us&urlHash=rvok&refId=b8840d1a-d5eb-4314-9828-d65bb72bf54b&trackingId=daAcdTlQfAzhguuP%2BDoFmg%3D%3D&trk=public_jobs_apply-link-offsite",0.03354873424331948,
2,"Intern – Content Distribution","Univision Communications Inc.","New York, NY","As the leading company reaching Hispanic America today, Univision delivers premier entertainment, news, and sports content to U.S. Hispanics through its television, radio, and interactive platforms. Univision is looking to recruit top talent for our Internship program to join our mission of informing, entertaining, and empowering U.S. Hispanic consumers. The ideal candidate is at the top of their class, is a self-starter, and is eager to learn in a team environment. Our internship program strives to grow our interns’ knowledge of the media industry and expand their networking opportunities.

Summer Program Details
9-week paid program; maximum of 40 hours/per week
Program starts June 7th, 2021 through August 6th, 2021
Exposure to various business leaders and company initiatives
Training and development workshops to build transferrable business skills
Projects are designed to build knowledge, skills, and experience in the Media Industry


General Information

Intern will develop competencies in the areas of project management, public speaking, teamwork, and networking. Intern will be exposed to multiple departments within the company (content, tech, marketing, sales, etc.).

Responsibilities
Collaborate with all functional groups (Sales, Finance, Marketing, Digital and Legal) across the Distribution team to develop and maintain the monthly playbook/dashboard of top priorities
Work with Marketing, Sales and Finance to track and monitor the department's budget
Assist and support process for 2021 account renewals with but not limited to creation of account profile sheets
Monitor and track competition for programming and new product offers
Develop ad-hoc analysis and reports as needed for specific department strategies

Preferred Majors

Business, Marketing, Communications, or related degree

Basic Qualifications
Must be pursuing a bachelor’s degree at an accredited institution
Must be a rising Jr., rising Sr., or recent May 2021 graduate
Must have a cumulative GPA of 3.0 or above
Proficient Excel skills required
Proficient PowerPoint skills required
Results oriented and attention to details
Ability to work in a team setting as well as independently with minimal supervision

Desired Qualifications
Excellent writing, communication, and presentation skills
Team-oriented mindset
Quick learner and curious about the business
Reliable, organized and possess excellent writing and interpersonal skills
Preferred: Proficient Microsoft Office, Smartsheet, OneDrive, and firm knowledge of internet navigation skills required
Previous internship experience and/or participated in college clubs/organizations, and/or in-depth coursework in a related field
Ability to identify issues, analyze data, develop, recommend, and implement solutions

Eligibility Requirements
Must be 18 years of age or older
Employment/education will be verified
Must be currently authorized to work in the United States on a full-time basis
Must be willing to work from the offices in New York, NY, fully remote, and/or hybrid
Univision is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.","https://www.linkedin.com/jobs/view/externalApply/2497239881?url=https%3A%2F%2Funivision%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FNew-York-NY%2FIntern---Content-Distribution_R008378%3Fsource%3Dlinkedin&urlHash=rNPv&refId=b8840d1a-d5eb-4314-9828-d65bb72bf54b&trackingId=Vacp7cEaG4Pxdtco4jfqLg%3D%3D&trk=public_jobs_apply-link-offsite",0.03065366583675794,
11,"Electric Distribution Asset Strategy Intern","Pacific Gas and Electric Company","San Ramon, CA","Requisition ID # 90023

Job Category : Administrative / Clerical

Job Level : Individual Contributor

Business Unit: Electric Operations

Job Location : San Ramon

Organization Overview

The Electric Distribution Asset Strategy and Program Development team is PG&E’s asset strategy hub for the Electric Distribution system. The Asset Strategy team evaluates existing asset inventory and works closely with Distribution Operation and Electric Distribution Standards to establish the programs to support a cost effective and reliable asset utilization of distribution equipment and assets, creating risk-based solutions and prioritization as needed.

Position Summary

The Intern will be responsible for assisting in the development and implementation of high-level strategies and programs required to maintain or improve the electrical distribution assets for PG&E. These would include:
Developing models to select highest risk circuits for replacement, patrols & inspections, and maintnenance
Researching outage information for accuracy for use in circuit selection models
Mastering review of ESRI and GIS systems to troubleshoot problems and make mapping corrections
Assist in researching overloaded transformers
Gathering and assisting with the collection of metrics to drive asset strategy decisions
Working with the Standards and Strategy teams to develop communication plans and presentations to implement new processes and technologies
The successful intern will have the opportunity to lead and/or support activities as described above working with a team of experienced Asset Strategy Engineers. Additionally, the intern will gain knowledge of the larger Electric Operations organization through the work they will be performing.

Qualifications

Minimum Qualifications:
Earning a Bachelor’s or Master’s degree in Electrical Engineering, Mechanical Engineering, Civil Engineering, or related engineering field (students MUST be continuing education towards degree during and/or after internship)
Must have a valid driver’s license or obtain one at least 30 days prior to start date.

Desired Qualificiations
EIT or FE certification
3.0 GPA or greater in both cumulative GPA and major GPA
Engineering experience in utilities, municipalities, construction, or engineering consultation
Ability to work in a team environment and support fellow team members
Strong problem solving and analytical skills
Strong communication skills, both oral and written
Takes initiative and can work independently with minimal direction
PG&E typically is unable to provide VISA sponsorship to students on an F-1, J-1 or other student visa for this position. Pacific Gas and Electric Company is an AA/EEO employer that actively pursues and hires a diverse workforce.","https://www.linkedin.com/jobs/view/externalApply/2492045240?url=https%3A%2F%2Fcareers%2Epge%2Ecom%2Fjob%2FSan-Ramon-Electric-Distribution-Asset-Strategy-Intern-CA-94583%2F730580900%2F%3FfeedId%3D282200%26utm_source%3DLILimitedListings%26utm_campaign%3DLinkedInLimitedListings&urlHash=KI_G&refId=b8840d1a-d5eb-4314-9828-d65bb72bf54b&trackingId=McSm9DKu4921wxi9uxfufA%3D%3D&trk=public_jobs_apply-link-offsite",0.016953029147796447,
