Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
8,"(HTS) Intern - Fixed Income Capital Markets Trading","Hilltop Holdings","New York, NY","Hilltop Securities Inc. is currently looking for qualified students to join our team as a summer intern in Fixed Income Capital Markets to support our Trading team. Interns will have the opportunity to work closely with our Fixed Income Capital Markets team to gain hands-on experience in capital markets, exposure to trading desk activities, an in-depth understanding of types of trades and overall trading strategy.

Professional Development Objectives: Experience on a full service trading desk – this individual will learn about products traded including corporate bonds, CD's, agencies, treasuries. This individual will also work on the taxable fixed income trading desk with Traders and Assistants on variety of projects using Bloomberg, Excel, and firm platforms

Essential Functions
• Work directly with Traders and Sales team
• Learn desk technique and strategy
• Complete certification through Bloomberg University
• Other duties as assigned

Job Requirements
• Excellent verbal, written and communication skills
• Proven self-starter who can initiate tasks and follow up to completion to produce high quality results in a timely manner
• Exceptional time management and organizational skills
• Rising undergrad senior/junior and first year Master's students studying mathematics/statistics, physics, engineering, data science, computer programming
• Computer programming skills a must: Python, VBA, and SQL or others languages a plus
• Candidate MUST have authorization to work for any employer in the US without requiring sponsorship, whether in student status or not

About the Company

At HilltopSecurities, we believe in building collaborative relationships that enrich the financial future of individuals, businesses and communities. With an extensive portfolio of products, we deliver a broad range of investment banking and related financial services that help our clients achieve their definition of success.

As a subsidiary of HilltopHoldings, which also encompasses PlainsCapital Bank and PrimeLending, we have the financial strength and stability that has withstood the test of time. Our nationwide presence in 400 locations across 44 states provides our associates with extensive opportunities to grow their careers in a diverse organization that truly values relationship capital above all else","https://www.linkup.com/details/247581de2e006db2439f6bf858c3a3ea?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.02720414389787947,
4,"Systematic Fixed Income Strategy Intern","GMO","Boston, MA (+1 other)","Company Profile

Founded in 1977, GMO is a private partnership committed to delivering superior investment performance and advice to our clients.  We offer strategies where we believe we are positioned to add the greatest value for our investors.  These include multi-asset class portfolios as well as dedicated equity, fixed income, and absolute return offerings, many of which employ the firm’s proprietary 7-year asset class forecasting framework.  Our client base is comprised primarily of institutions, including corporate and public defined benefit and defined contribution retirement plans, endowments, foundations, and financial intermediaries.

GMO, whose sole business is investment management, employs approximately 470 people worldwide and is headquartered in Boston with offices in San Francisco, London, Amsterdam, Sydney, and Singapore. We manage roughly $60 billion in client assets using a combination of top-down and bottom-up approaches that blend traditional fundamental insights with innovative quantitative methods to identify undervalued asset classes and securities. Our valuation-based approach embeds several key factors, including: a long-term investment horizon, discipline, conviction, and a commitment to research. Our research emphasizes not only identifying and exploiting pricing dislocations but also understanding the long-term drivers of return in the markets in which we invest. We are known for our candor in sharing our views with clients and for our willingness to take bold, differentiated positions when opportunities warrant.

Position Overview:

The Systematic Fixed Income Strategy group is looking for a talented and driven individual to join our quantitative strategy efforts. The team is responsible for conducting research and establishing strategy across current Fixed Income capabilities and developing new strategies and products. Particular areas of focus are systematic credit capabilities in corporate credit, and the development of a framework to allocate risk across various sectors of fixed income in specific quantitative solutions projects.

The successful candidate will work on a number of projects related to the development of new systematic fixed income strategies. This would range from working with the team to develop quantitative fixed income solutions that combine existing capabilities, create factor and model attribution of existing strategies, and contribute to white papers and insight materials created by the team. He/she will develop critical insight in the development and management of fixed income strategies and gain exposure to multiple sectors of fixed income across emerging markets, corporate credit, and developed rates and currencies. This role offers insight into the investment product and strategy landscape in systematic fixed income more broadly. The individual will participate in research and project meetings and will be provided with opportunities to learn about and meet with other teams at GMO.

Department Profile
The Fixed Income team is responsible for managing portfolios and conducting research across all major sectors of fixed income and currencies. The team values clarity of roles and decision-making while maintaining a culture of intellectual curiosity, debate, respectful disagreement, candor, and collegiality.
Responsibilities:
• Conduct strategy and quantitative fixed income solutions research and design applying existing strategies and capabilities to meet specific investment needs
• Create and enhance interactive tools for analysis and visualization of current fund and strategy positioning, performance and risk characteristics
• Improve and extend connectivity on data and coding architecture and infrastructure within the fixed income and across other teams as appropriate.
• Assist various members of the Fixed Income team with related research projects including contributing to white papers and broad research initiatives.
Profile and Requirements:
• Working on a degree in Computer Science, Quantitative finance, Applied Mathematics/Statistics, Engineering or similar
• Hands-on experience with programming in Matlab, or another language like R, Python, Java, C# or Julia
• Programming proficiency in SQL
• Basic understanding of statistics and econometric concepts
• Interest in understanding the sources of returns for major asset classes, signal construction, portfolio theory and translation from model to markets.
• Exceptional attention to detail
• Ability to prioritize multiple tasks, set goals and meet deadlines
• Ability to work effectively and efficiently with moderate supervision
• Effective verbal and written communication skills","https://www.glassdoor.com/job-listing/systematic-fixed-income-strategy-intern-gmo-JV_IC1154532_KO0,39_KE40,43.htm?jl=4047281224&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.01641666666666667,
1,"Investments Intern","Factory Mutual Insurance Company","Waltham, MA","Overview

Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Responsibilities

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines – Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics – total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly / monthly / quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other Investments and Operations related projects

Qualifications
• MBA with a strong academic record
• Strong quantitative and presentation tools expertise (Microsoft Office skills (Excel, PowerPoint, Word)) very helpful for the internship work
• Experience with Bloomberg and FactSet a plus
• Strong quantitative skills and mindset
• Keen interest in learning aspects of investment management","https://jobs-fmglobal.icims.com/jobs/10552/investments-intern/job?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0423307814110962,
3,"Investments Intern","FM Global","Wrentham, MA","More information about this job:
Overview:

Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Responsibilities:

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines ? Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics ? total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly/monthly/quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other Investments and Operations related projects

Qualifications:
• MBA with a strong academic record
• Strong quantitative and presentation tools expertise (Microsoft Office skills (Excel, PowerPoint, Word) very helpful for the internship work
• Experience with Bloomberg and FactSet a plus
• Strong quantitative skills and mindset
• Keen interest in learning aspects of investment management","https://www.jobs4millennials.com/Wrentham-Massachusetts-USA-job/INVESTMENTS-INTERN/12aa13f3cd9924be/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.40214238622780096,
9,"Multi-Asset Research Analyst Intern","Invesco","New York, NY","Invesco is one of the world’s leading global investment managers, entrusted with managing $1.2 trillion* in assets on behalf of clients worldwide. We are the 6th largest US retail asset manager and the 13th largest investment manager globally, and our more than 8,000 employees worldwide are dedicated to delivering an investment experience that helps people get more out of life. We are purely focused on managing a comprehensive range of active, passive and alternative investment capabilities, which we draw on to provide customized solutions aligned to client needs, our most important benchmark. (*As of May 31,2019)

Job Purpose (Job Summary):
The team is seeking an intern who will focus on applied investment research in the fields of quantitative finance, asset allocation, global macro strategies, risk premia, factor strategies and portfolio construction. The successful candidate is expected to work on selected projects spanning multiple asset classes such as global equities, fixed income, credit, commodities, currencies, real estate and alternative investments.

Key Responsibilities / Duties:
• Perform empirical research using economic and financial data, applying regression and statistical analysis, building valuation and forecasting models for multiple asset classes, and back-testing of actionable investment strategies.
• Partner with research analysts within IIS to support investment research agenda.
• Develop systematic and discretionary investment strategies across asset classes, designing custom-solutions for diverse client objectives.
• Support research agenda outlined by senior management, following macro and quantitative research from sell-side firms, central banks, multilateral institutions and academic journals.
• Support the automation and streamlining of existing spreadsheets/processes

Work Experience / Knowledge:
• Excellent quantitative skills, with knowledge of applied statistics and econometrics.

Skills / Other Personal Attributes Required:
• Strong skills in Excel (including VBA) or statistical packages such as Matlab, Phyton, R, etc. and programming.
• Very attentive to details, and strong ability to efficiently organize large amounts of data.
• Strong drive, passion and curiosity to undertake investment research initiatives beyond assigned projects, contributing to the overall investment process also with own independent ideas.

Formal Education: (minimum requirement to perform job duties)
• Advanced degree in Economics, Finance, Applied statistics or other Quantitative Finance Disciplines.

FLSA (US Only): Nonexempt

The above information on this description has been designed to indicate the general nature and level of work performed by employees within this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job. The job holder may be required to perform other duties as deemed appropriate by their manager from time to time.Invesco's culture of inclusivity and its commitment to diversity in the workplace are demonstrated through our people practices. We are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, creed, color, religion, sex, gender, gender identity, sexual orientation, marital status, national origin, citizenship status, disability, age, or veteran status. Our equal opportunity employment efforts comply with all applicable U.S. state and federal laws governing non-discrimination in employment","https://careers.invesco.com/ShowJob/JobId/482284/Multi-Asset-Research-Analyst-Intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.023251405040922622,
7,"Quantitative Fixed Income Analyst Intern - Summer","American Century Investments","New York, NY (+1 other)","Our FirmAmerican Century Investments is a leading global asset manager with over 60 years of experience helping investors achieve their financial goals. Serving a broad client base including financial advisors, institutions and individual investors, we offer a wide range of investment strategies across a variety of investment disciplines.Privately controlled and independent, we focus solely on investment management. This empowers us to align our decisions with client expectations and concentrate on their long-term money management needs.We are committed to providing institutional-quality, actively managed solutions with a performance-centered mindset. Our expertise spans global growth equity, global value equity, disciplined equity, multi-asset strategies, global fixed income, alternatives and ETFs.Our culture of winning behaviors exemplifies our dedication to clients every single day. Delivering investment results enables us to distribute over 40% of our dividendsor more than $1.5 billion since 2000to the Stowers Institute for Medical Research, a 550-person, non-profit biomedical research organization with a controlling interest in American Century Investments. Our dividend payments provide ongoing financial support for the Institute's work of uncovering the causes, treatments and prevention of life-threatening diseases, like cancer.Headquartered in Kansas City, MO, we also have offices located in New York; London; Hong Kong; Sydney; El Segundo, CA (Los Angeles area); and Mountain View, CA (Silicon Valley).For more information, please visit americancentury.com.Are you seeking an opportunity to gain outstanding Fixed Income experience with a reputable asset management firm? As an intern you will learn about American Century Investments through an initial formal training program and continual training and coaching throughout your time with us. Interns will then apply that knowledge to significant opportunities and projects.In this internship, you will...Communicate to the FI department the views more activelySupervise the risks of BLF/EMTR/FX overlay, run stress testsPrepare the documents for the meeting BLF/EM/FXWriting the meeting recapUpdate the FX and rates models and improve themFollow the positions and define target for FX/local rates when to enter and cut and executeHere are some attributes that we are looking for in our next intern:Model the American Century Investments Winning Behaviors- Client Focused, Courageous and Accountable, Collaborative, Curious and Adaptable, Competitive DrivePassion to learn about Global Fixed Income and the macroeconomic, political and financial analysis for emerging market economiesSelf-motivated, strong interpersonal skills, ability to prioritize, multi-task and meet timeline expectationsPossess a high level of intellectual curiosity and have unmatched curiosity for developing financial analysis skillsAbility to collect, evaluate and manage data with a keen attention to detailYou are... A Graduate student, who is currently enrolled fulltime in Quantitative Financial fields or other related fieldsHere's Why You Should Choose ACI: Our interns receive competitive pay, as well as 401k eligibility for contributionsMentor Program: a designated mentor will be assigned to you during your time with us to provide career coaching and mentorshipHousing assistance for any interns that join us with a permanent residence outside of the Kansas City Metro AreaAccess to Business Resource Groups that you can ally and participate in (Diversity, Women in Finance, LGBTQ+, Emerging Professionals, Veterans)Casual dress code - be comfortable and express your unique selfA robust social and philanthropic calendar of events hosted just for interns!We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.American Century Investments believes all individuals are entitled to equal employment opportunity and advancement opportunities without regard to race, religious creed, color, sex, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, gender, gender identity, gender expression, age for individuals forty years of age and older, military and veteran status, sexual orientation, and any other basis protected by applicable federal, state and local laws. ACI does not discriminate or adopt any policy that discriminates against an individual or any group of individuals on any of these bases.American Century Investment Services, Inc., Distributor.2019 American Century Proprietary Holdings, Inc. All rights reserved","https://fairygodboss.com/jobs/american-century-investments/quantitative-fixed-income-analyst-intern-summer-431700eff4cc44ff92d3fc091cd8b54c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.015000000000000003,
5,"Corporate and Investment Banking Internship, Fixed Income Trading - 6 months","Société Générale","New York, NY","Responsibilities

Societe Generale Global Markets Division (MARK) provides hard-working, talented graduates with the opportunity to develop exceptional careers within the finance industry. The Off Cycle Analyst Program provides exposure to large Fixed Income, Equity and Commodity trading floors as well as to our Prime Brokerage business and other banking activities. This 6 month Internship has a variety of opportunities across our New York office. The program will enable you to benefit from ongoing networking and development opportunities inside and outside of your assigned team.

Profile required

Program Benefits
• Opportunities in Equity, Fixed Income, and Prime Services, making markets in hundreds of financial products.
• Provide an insight into the day-to-day functioning of Capital Markets, and contribute firsthand the trading of global risk and capital flows
• Deep understanding of a wide range of trades implemented by key market investors across Global Banks, Hedge Funds Insurers, Pension funds, Real Money managers and Corporate Accounts
• Invaluable opportunity to demonstrate your potential in a competitive trading floor environment working for a ~$1.45tn asset global bank

Intern Responsibilities:
• Calculating value-at-risk figures for the trading strategies of prime brokerage clients
• Analyzing Trading Desk hedging strategies and risk exposures
• Deconstructing client trading behavior to find opportunities to further product reach
• Engaging clients directly in social settings to deepen client relationships

Business insight

Societe Generale is looking for students who maintain:
• Strong academic record
• Flexibility, innovative thinking, energy, drive and enthusiasm
• Exceptional interpersonal, communication and analytical skills
• Interest in financial markets and global geopolitics
• Ability to work effectively in both a team and independently

We are an equal opportunities employer and we are proud to make diversity a strength for our company. Societe Generale is committed to recognizing and promoting all talents, regardless of their beliefs, age, disability, parental status, ethnic origin, nationality, sexual or gender identity, sexual orientation, membership of a political, religious, trade union or minority organisation, or any other characteristic that could be subject to discrimination.

Reference: 20000RZI
Entity: SG Americas Securities
Starting date: immediate
Publication date: 2021/03/25","https://www.glassdoor.com/job-listing/corporate-and-investment-banking-internship-fixed-income-trading-6-months-soci%C3%A9t%C3%A9-g%C3%A9n%C3%A9rale-JV_IC1132348_KO0,73_KE74,90.htm?jl=4043414828&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.020366194196428575,
6,"2021 SSGA - Graduate Summer Intern - FICC Beta PM","State Street","Boston, MA","• Please note- this role is for current (enrolled in Summer 2021) graduate students that are able to work in Boston, MA*

Job Description

POSITION PRIMARY DUTIES AND RESPONSIBILITIES
• Internship position within Global Fixed Income organization supporting the Multi-Sector Solutions/Portfolio Management teams.
• Works independently on analytical projects under the guidance of Senior Analysts & Portfolio Managers on quantitative & analytical projects focusing on portfolio construction, implementation & solutions across fixed income sectors including rates, credit and structured products.
• Supports and works with existing models and on model enhancements, preparing data, developing data sources & processes.
• Uses communication & interpersonal skills to communicate quantitative concepts, model and research outputs to portfolio management teams and other investment audiences.

REQUIREMENTS
• Currently enrolled in a Master’s or PhD program in Econ, Finance, MBA, Financial Engineering Math, Statistics, Data Science or other relevant quantitative field
• Experience in quantitative investment modeling and familiarity with financial data & databases
• Programming experience in Python and/or R/Matlab
• Strong verbal and written communication skills, with ability to articulate ideas, analysis and complex concepts effectively to broad audiences","https://careers.statestreet.com/global/en/job/STSTGLOBALR659156EXTERNALENGLOBAL/2021-SSGA-Graduate-Summer-Intern-FICC-Beta-PM?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.032985024476178855,
2,"Investments Intern","FM Global","Massachusetts","More information about this job:
Overview:

Through the FM Global Investments internship program, you will gain exposure to multiple asset classes (Equities, Fixed Income, Alternatives). Candidates will work with Investments team members to develop various project deliverables. Internship projects will be allocated among interns appropriately. Interns will work closely with their assigned project mentor.

Responsibilities:

Internship projects may include some of the following:
• Engage in various investment projects across asset classes and disciplines ? Equities, Fixed Income, Alternatives and Operations
• Portfolio management investment and risk analytics ? total portfolio and by asset class
• Developing investment management reports by asset class
• Weekly/monthly/quarterly markets and portfolio analytics packet for Equities and Fixed Income
• Working with Investments team members and Bloomberg subject matter experts to build broad markets and asset class-based screens
• Industry research analysis
• Security level analysis
• Other Investments and Operations related projects

Qualifications:
• MBA with a strong academic record
• Strong quantitative and presentation tools expertise (Microsoft Office skills (Excel, PowerPoint, Word) very helpful for the internship work
• Experience with Bloomberg and FactSet a plus
• Strong quantitative skills and mindset
• Keen interest in learning aspects of investment management","https://www.genzjobsearch.com/Hyde-Park-Massachusetts-USA-job/INVESTMENTS-INTERN/f227f1903a1a8a3d/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.402142386227801,
0,"Intern - Fixed Income","StoneX Group Inc.","New York, NY","Job Description

Primary Accountabilities/Responsibilities:
• Rotate through different sales and trading products and teams to understand and help find new ways of

creating efficiencies within day to day functions
• Responsible for learning fixed income products and market knowledge within agency MBS, debentures,

treasuries, corporates, municipalities, and ABS
• Entrepreneurial spirit and self-learning mentality
• Maintain prompt and regular attendance
• This list of duties and responsibilities is not intended to be all-inclusive and can be expanded to include other

duties or responsibilities that management deems necessary.

Job Requirements
• BA or BS in a finance or economics related background
• Advanced in Excel and Bloomberg
• Programming skills are beneficial to assist with creation of new models and valuation tools
• Candidates for the program must possess a strong, ongoing interest in the financial markets with emphasis

on a dealer’s front-office Sales and Trading environment.
• Soft skills such as communication, teamwork, organization

About Us

StoneX (formerly known as INTL FCStone) is an institutional-grade financial services network that connects companies, organizations and investors to the global markets ecosystem through a unique blend of digital platforms, end-to-end clearing and execution services, high-touch service and deep expertise. We provide access to 36 derivatives exchanges, 175 foreign exchange markets, nearly every global securities marketplace and a number of bi-lateral liquidity venues. We deliver this access with support throughout the entire lifecycle of a trade – from consulting and “boots-on-the-ground” intelligence, to best execution, to post-trade clearing, custody and settlement. In these ways, StoneX enables clients to use the global markets ecosystem to achieve their business goals through one trusted partner. We currently serve more than 30,000 commercial, institutional and payments clients, and more than 125,000 retail clients across more than 130 countries. Our clients use our institutional-grade digital platforms, our high-touch service, and our market intelligence to pursue trading opportunities, make investments efficiently, manage their market risks, and improve their business performance. Our relentless focus on helping them accomplish these objectives has enabled us to build deeply valued, long-term relationships based on guidance, integrity, transparency and trust.

StoneX Group Inc. is an Equal Opportunity Employer . Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law","https://www.linkedin.com/jobs/view/intern-fixed-income-at-stonex-group-inc-2450937597?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0181609375,
