Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
3,"Research Analyst Intern","Envestnet, Inc","Berwyn, PA","It's fun to work in a company where people truly BELIEVE in what they're doing!

We're committed to bringing passion and customer focus to the business.

Job Description Summary

Envestnet is a leading independent provider of technology-enabled, web-based investment solutions and services to financial advisors. Our mission is to help investors achieve their financial goals, by providing financial advisors the access, tools, and support they need to deliver excellence in wealth management.

The Envestnet Summer Internship is a full-time internship program designed for qualified college students to gain hands-on experience within the Envestnet Office. In the case that it is not safe to work in-office at the scheduled time of the program, the internships will continue forward as a partially or fully remote program. Interns will work alongside various department experts and collaborate with fellow Envestnet interns on a project presented to leaders in the company.

The Summer Internship program will run from June 2, 2021 through August 6, 2021.

Job Description

Essential Duties/Responsibilities
Run analyses and conduct research to inform management of PMC asset management products and solutions.
Make reports and recommendations to PMC product leaders regarding performance, flows, AUM, alternative solutions and the competitive landscape.
Engage in research projects at the request of PMC leadership on new potential product offerings.
Knowledge, Skill and Ability
Intern should be a college student or recent graduate with facility using Microsoft Excel and other Microsoft suite products.
General knowledge of financial services preferred. Either from a previous internship/position or from taking finance and/or investment classes.

Education/Experience
Enrolled in an accredited College/University

Compensation, Benefits, & Perks

Envestnet offers the following exceptional benefits: competitive compensation, 401k, and unlimited snacks. We treat our employees well and offer tremendous growth opportunities. Challenging work pushes our people to be creative in a casual environment that is caring, fun, and collaborative. We believe that, when you have smart, happy people working together, you can produce something special.

Envestnet is an equal opportunity employer.

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","https://www.linkedin.com/jobs/view/externalApply/2430022293?url=https%3A%2F%2Fenvestnet%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FENV%2Fjob%2FBerwyn-PA%2FResearch-Analyst-Intern_Req21185-%3Fsource%3DLinkedin&urlHash=M77e&refId=6c99ebf8-5a8f-4fdd-88a4-a71d50775108&trackingId=aDd4GNcvNl%2Fw7eWYAs%2BArA%3D%3D&trk=public_jobs_apply-link-offsite",0.14847476095416656,
8,"Multi-Asset Research Analyst Intern","Invesco US","New York, NY","Invesco is one of the world’s leading global investment managers, entrusted with managing $1.2 trillion* in assets on behalf of clients worldwide. We are the 6th largest US retail asset manager and the 13th largest investment manager globally, and our more than 8,000 employees worldwide are dedicated to delivering an investment experience that helps people get more out of life. We are purely focused on managing a comprehensive range of active, passive and alternative investment capabilities, which we draw on to provide customized solutions aligned to client needs, our most important benchmark. (*As of May 31,2019)

Job Purpose (Job Summary):
The team is seeking an intern who will focus on applied investment research in the fields of quantitative finance, asset allocation, global macro strategies, risk premia, factor strategies and portfolio construction. The successful candidate is expected to work on selected projects spanning multiple asset classes such as global equities, fixed income, credit, commodities, currencies, real estate and alternative investments.

Key Responsibilities / Duties:
Perform empirical research using economic and financial data, applying regression and statistical analysis, building valuation and forecasting models for multiple asset classes, and back-testing of actionable investment strategies.
Partner with research analysts within IIS to support investment research agenda.
Develop systematic and discretionary investment strategies across asset classes, designing custom-solutions for diverse client objectives.
Support research agenda outlined by senior management, following macro and quantitative research from sell-side firms, central banks, multilateral institutions and academic journals.
Support the automation and streamlining of existing spreadsheets/processes

Work Experience / Knowledge:
Excellent quantitative skills, with knowledge of applied statistics and econometrics.

Skills / Other Personal Attributes Required:
Strong skills in Excel (including VBA) or statistical packages such as Matlab, Phyton, R, etc. and programming.
Very attentive to details, and strong ability to efficiently organize large amounts of data.
Strong drive, passion and curiosity to undertake investment research initiatives beyond assigned projects, contributing to the overall investment process also with own independent ideas.

Formal Education: (minimum requirement to perform job duties)
Advanced degree in Economics, Finance, Applied statistics or other Quantitative Finance Disciplines.

FLSA (US Only): Nonexempt

The above information on this description has been designed to indicate the general nature and level of work performed by employees within this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job. The job holder may be required to perform other duties as deemed appropriate by their manager from time to time.
Invesco's culture of inclusivity and its commitment to diversity in the workplace are demonstrated through our people practices. We are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, creed, color, religion, sex, gender, gender identity, sexual orientation, marital status, national origin, citizenship status, disability, age, or veteran status. Our equal opportunity employment efforts comply with all applicable U.S. state and federal laws governing non-discrimination in employment.","https://www.linkedin.com/jobs/view/externalApply/2331658313?url=https%3A%2F%2Fwww%2Eapplytracking%2Ecom%2Fx%2Easpx%3Fmethod%3Ddirect%26type%3Dapply%26board%3DD92FCD45-1292-4AE2-B555-D7A273418B42%26Job%3D27218%26ClientCode%3D17109&urlHash=cwrh&refId=6c99ebf8-5a8f-4fdd-88a4-a71d50775108&trackingId=Gn04kUPga9r9Oe4QJsv87Q%3D%3D&trk=public_jobs_apply-link-offsite",0.03692094009502398,
12,"Economic Research Analyst Intern","Federal Reserve Bank of Atlanta","Atlanta, GA","As an employee of the Atlanta Fed, you will help support our mission of promoting the stability and efficiency of the U.S. economy and financial system. Your work will affect the economy of the Southeast, the United States, and the world. The work we do here is important, and how we do it is just as important as what we do. We live our values of integrity, excellence, and respect every day. We do the right thing, we do things right, and we treat people right. A career at the Federal Reserve Bank of Atlanta gives you the chance to do work that touches lives and helps communities prosper. As an employee of the Atlanta Fed, you will help support our mission of promoting the stability and efficiency of the U.S. economy and financial system. Your work will affect the economy of the Southeast, the United States, and the world. The work we do here is important, and how we do it is just as important as what we do. We live our values of integrity, excellence, and respect every day. We do the right thing, we do things right, and we treat people right. A career at the Federal Reserve Bank of Atlanta gives you the chance to do work that touches lives and helps communities prosper.

Job Summary

The main functions of the Economic Research Analyst Intern is to assist staff economists and policy advisors with their research and contribute to the strategic priorities of the Federal Reserve Bank of Atlanta and the Research Division.

Key Responsibilities
Researches state policy rules and writes code to interpret those rules for a national database of tax and transfer programs.
Analyzes economic developments in field of expertise and derive conclusions regarding their implications for outlook for the U.S. workers. Contribute to analytical reports on special topics related to Economist’s research.
Performs directed surveys of the academic research literature and creates summaries on designated topics; create effective presentation materials including graphs, charts, and PowerPoint presentations.


Additional Details
Must be a current college student
Available to work 20h/week, 3 months (with possible extension)


This is not necessarily an exhaustive list of all responsibilities, duties, performance standards or requirements, efforts, skills or working conditions associated with the job. While this is intended to be an accurate reflection of the current job, management reserves the right to revise the job or to require that other or different tasks be performed when circumstances change (e.g. emergencies, rush jobs, change in workload or technological developments).

Education & Experience
Major in economics, statistics, computer science or related field preferred.
Intermediate to advanced R, Excel, Powerpoint, Word skills essential.


Federal Reserve Bank of Atlanta

Primary Location

GA-Atlanta

Full-time / Part-time

Part-time

Employee Status

Temporary

Overtime Status

Non-exempt

Job Type

Internship

Travel

No

Shift

Day Job

Job Sensitivity

Tier II - No Credit Check

Target Start Date

Mar 16, 2021","https://www.linkedin.com/jobs/view/externalApply/2466672100?url=https%3A%2F%2Ffrb%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3D267409%26lang%3Den%26src%3DSNS-102&urlHash=0pgv&refId=6c99ebf8-5a8f-4fdd-88a4-a71d50775108&trackingId=nqz2j3bQW%2BVFlZPfzqbQ1g%3D%3D&trk=public_jobs_apply-link-offsite",0.10419281511487415,
2,"Temporary Analyst Research Intern-1","University of Chicago","Chicago, IL","Department
UL Urban Poverty Lab About the Department

Our Focus Founded in 2015, The University of Chicago Inclusive Economy Lab (formerly the Poverty Lab) conducts rigorous research that expands economic opportunity for those harmed by discrimination, disinvestment, and segregation. We partner with policymakers, community based organizations and others to identify their most urgent and pressing challenges, co generate evidence about what works, and translate findings into policy changes that end intergenerational poverty. One of five Urban Labs based at the Harris School of Public Policy, the Inclusive Economy Lab is led by Pritzker Director Marianne Bertrand, Chris P. Dialynas Distinguished Service Professor of Economics at the Booth School of Business. The Inclusive Economy Lab studies programs and policies that aim to expand economic opportunity in order to understand how well they work. By identifying barriers to social mobility and racial equity and highlighting the programs and policies that have the most positive impact, our work creates greater economic opportunity in cities. We specialize in evaluating programs with the potential to improve lives in four main areas:
College and Career Success
Housing Stability
Financial Security
Quality Jobs Our Values Conduct science in service of cities: We feel a sense of urgency to do research that improves people’s lives. We select projects that lead to solutions for policy, practice, and increased investments on the ground. Our research is rigorous and informed by the historic and current contexts that shape urban residents’ lives. Foster lasting relationships: We collaborate with policymakers, practitioners, and people with lived experience to understand multiple perspectives and figure out what works. Elevate equity & inclusion: We aim to hire people with a range of personal and professional backgrounds, skillsets, and identities. We expand access to evaluation for a broad range of organizations and we conduct work that affirms the dignity of all people. Check our privilege: We recognize the power and privilege we have as members of the University of Chicago. We practice humility and recognize that expertise comes in many forms and there are limits to our own. Embrace a growth mindset: We invest in our people and develop our skills and content knowledge together. We work respectfully as a team to achieve our shared goals.
Job Information


Job Summary

Our Focus
Founded in 2015, The University of Chicago Inclusive Economy Lab (formerly the Poverty Lab) conducts rigorous research that expands economic opportunity for those harmed by discrimination, disinvestment, and segregation. We partner with policymakers, community[1]based organizations and others to identify their most urgent and pressing challenges, co[1]generate evidence about what works, and translate findings into policy changes that end intergenerational poverty. One of five Urban Labs based at the Harris School of Public Policy, the Inclusive Economy Lab is led by Pritzker Director Marianne Bertrand, Chris P. Dialynas Distinguished Service Professor of Economics at the Booth School of Business. The Inclusive Economy Lab studies programs and policies that aim to expand economic opportunity in order to understand how well they work. By identifying barriers to social mobility and racial equity and highlighting the programs and policies that have the most positive impact, our work creates greater economic opportunity in cities.

We specialize in evaluating programs with the potential to improve lives in four main areas:

College and Career Success
Housing Stability
Financial Security
Quality Jobs

Our Values
Conduct science in service of cities: We feel a sense of urgency to do research that improves people’s lives. We select projects that lead to solutions for policy, practice, and increased investments on the ground. Our research is rigorous and informed by the historic and current contexts that shape urban residents’ lives. Foster lasting relationships: We collaborate with policymakers, practitioners, and people with lived experience to understand multiple perspectives and figure out what works. Elevate equity & inclusion: We aim to hire people with a range of personal and professional backgrounds, skillsets, and identities. We expand access to evaluation for a broad range of organizations and we conduct work that affirms the dignity of all people. Check our privilege: We recognize the power and privilege we have as members of the University of Chicago. We practice humility and recognize that expertise comes in many forms and there are limits to our own. Embrace a growth mindset: We invest in our people and develop our skills and content knowledge together. We work respectfully as a team to achieve our shared goals.

The Role

The IEL Summer Internship is a great opportunity to gain a deeper understanding of analytical research and to further develop research skills. This position will be full-time for approximately 37.5 hours per week. Please note that this position will start remotely until further notice and that our office is located in downtown Chicago at 33 N. LaSalle Street.

Responsibilities

Project Development
Data entry, reviewing and cleaning
Statistical analysis and modeling
Literature reviews
Writing, formatting, and editing reports and works for dissemination
Administrative tasks

Education, Experience And Certifications

Additional Requirements

Education
High School diploma or Ged required
Competencies
Interest in and aptitude for developing advanced programming and analytic skills for working with administrative data required
Strong verbal and written communication skills with the ability to synthesize multiple sources required
Strong initiative and a resourceful approach to problem-solving and learning are required
Ability to work independently and as part of a team required
Sound critical thinking skills required
Strong attention to detail with superb organization skills required
Superb analytic skills and attention to detail required
Knowledge of the substantive policy area strongly preferred

Application Documents
Resume (required)
When applying, the document(s) MUST be uploaded via the My Experience page, in the section titled Resume/CV of the application.

Benefit Eligibility
No
Pay Frequency
Hourly
Pay Range


Depends On Qualifications

Scheduled Weekly Hours
37.5
Union
Non-Union
Job is Exempt
No
Drug Test Required
No

Motor Vehicle Record Inquiry Required

No
Health Screen Required No
Posting Date
2021-03-24-07:00
Remove from Posting On or Before
2021-09-24-07:00

Posting Statement


The University of Chicago is an Affirmative Action/ Equal Opportunity /Disabled/Veterans Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national or ethnic origin, age, status as an individual with a disability, protected veteran status, genetic information, or other protected classes under the law. For additional information please see the University's Notice of Nondiscrimination.

Staff Job seekers in need of a reasonable accommodation to complete the application process should call 773-702-5800 or submit a request via Applicant Inquiry Form .

We seek a diverse pool of applicants who wish to join an academic community that places the highest value on rigorous inquiry and encourages a diversity of perspectives, experiences, groups of individuals, and ideas to inform and stimulate intellectual challenge, engagement, and exchange.

All offers of employment are contingent upon a background check that includes a review of conviction history.A conviction does not automatically preclude University employment.Rather, the University considers conviction information on a case-by-case basis and assesses the nature of the offense, the circumstances surrounding it, the proximity in time of the conviction, and its relevance to the position.

The University of Chicago's Annual Security & Fire Safety Report (Report) provides information about University offices and programs that provide safety support, crime and fire statistics, emergency response and communications plans, and other policies and information. The Report can be accessed online at: http://securityreport.uchicago.edu . Paper copies of the Report are available, upon request, from the University of Chicago Police Department, 850 E. 61st Street, Chicago, IL 60637.","https://www.linkedin.com/jobs/view/externalApply/2485681015?url=https%3A%2F%2Fuchicago%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FIllinois-Chicago%2FTemporary-Analyst-Research-Intern-1_JR10480&urlHash=Tpvl&refId=6c99ebf8-5a8f-4fdd-88a4-a71d50775108&trackingId=1ULN%2FnxSXBlskCv50HhXuw%3D%3D&trk=public_jobs_apply-link-offsite",0.029498196661746412,
6,"Intern, Performance Research Analyst, Sales and Education","American Red Cross","New Jersey, United States","Please use Google Chrome or Mozilla Firefox when accessing Candidate Home. By joining the American Red Cross you will touch millions of lives every year and experience the greatness of the human spirit at its best. Are you ready to be part of the world's largest humanitarian network?

Job Description

The Performance Research Analyst, Sales and Education Intern will assess closed lost/won rate of tele-sales leads coming from lead forms on Red Cross Online. The Intern will also organize written exam data from the Nurse Assistant Competency Evaluation Program into a single spreadsheet and analyze performance of each question, including trends. Additionally, the intern will collect qualitative data which supports their research and evaluations of the projects assigned.

Responsibilities
Assess closed lost/won rate of Tele-sales leads coming from lead forms on Red Cross Online.
Collect and analyze data
R ecommend whether to continue lead source, as well as any process improvements
Analyze and research performance trends

Education And Experience
Must be currently enrolled in an accredited college or university
The candidate must be an Undergraduate Sophomore and up
Must be proficient in Excel, and have the ability to quickly pick up new software
programs.
Must be organized, detail-oriented and have good analytic and writing skills.
For those candidates located in Colorado, the salary range for this position is: $14.86-16.00/hr

Note that the American Red Cross sets salary ranges aligned to a specific geographic location in which the job or employee resides. The stated salary range in this posting is an average and may not be reflective of your individual circumstances. We will review specific salary information at the time of phone screening based upon your location.

The American Red Cross is a diverse nonprofit organization that creates a culture of collaboration and team spirit. We offer our employee’s a competitive salary, wide range of generous benefits including health, dental, vision, life and disability insurance; flexible spending accounts; 401K retirement plan with match; paid time off, holidays and floating holidays. Also, we encourage professional development and provide growth opportunities. To be considered for this position, please visit www.redcross.org/jobs to apply
Apply now! Joining our team will provide you with the opportunity to make a difference every day.
The American Red Cross is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

The American Red Cross is a diverse nonprofit organization offering its employee’s professional development and growth opportunities, a competitive salary, comprehensive benefits, and a collaborative team spirit environment. To be considered for this position, please visit www.redcross.org/jobs to apply.

To view the EEOC Summary of Rights, click here: Summary of Rights","https://www.linkedin.com/jobs/view/externalApply/2437181613?url=https%3A%2F%2Famericanredcross%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FAmerican_Red_Cross_Careers%2Fjob%2FStatewide-NJ%2FIntern--Performance-Research-Analyst--Sales-and-Education_RC42202%3F%253Fsource%3D515&urlHash=4De2&refId=6c99ebf8-5a8f-4fdd-88a4-a71d50775108&trackingId=vMT5TbqAHwVoPAwrsdRwow%3D%3D&trk=public_jobs_apply-link-offsite",0.05012926889373352,
11,"Research Analyst Intern","Envestnet, Inc","Berwyn, PA","It's fun to work in a company where people truly BELIEVE in what they're doing!

We're committed to bringing passion and customer focus to the business.

Job Description Summary

Envestnet is a leading independent provider of technology-enabled, web-based investment solutions and services to financial advisors. Our mission is to help investors achieve their financial goals, by providing financial advisors the access, tools, and support they need to deliver excellence in wealth management.

The Envestnet Summer Internship is a full-time internship program designed for qualified college students to gain hands on experience within the Envestnet location Office. Interns will work alongside various department experts and collaborate with fellow Envestnet interns on a project presented to leaders in the company.

The Summer Internship program will run from June 2, 2021 through August 6, 2021.

Job Description

Essential Duties/Responsibilities
Research trends in the advisory/Fintech world
Create content for presentations
Deep dive into Fintech providers - competitive intel
Knowledge, Skill and Ability
Excellent writing and communication skills
Tech savvy

Education/Experience
Enrolled in an accredited College/University
At least a rising junior or senior with a 3.0+ GPA
Marketing or Finance major

Compensation, Benefits, & Perks (Do Not Edit)

Envestnet offers the following exceptional benefits: competitive compensation, 401k, and unlimited snacks. We treat our employees well and offer tremendous growth opportunities. Challenging work pushes our people to be creative in a casual environment that is caring, fun, and collaborative. We believe that, when you have smart, happy people working together, you can produce something special.

Envestnet is an equal opportunity employer.

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","https://www.linkedin.com/jobs/view/externalApply/2438186965?url=https%3A%2F%2Fenvestnet%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FENV%2Fjob%2FBerwyn-PA%2FResearch-Analyst-Intern_Req21149-%3Fsource%3DLinkedin&urlHash=q-ZO&refId=6c99ebf8-5a8f-4fdd-88a4-a71d50775108&trackingId=niNpU9eVFbvrtcTI%2Bi3dyw%3D%3D&trk=public_jobs_apply-link-offsite",0.2746783060116209,
7,"Economic Research Analyst Intern","Federal Reserve Bank of Atlanta","Atlanta, GA","Job Description

As an employee of the Atlanta Fed, you will help support our mission of promoting the stability and efficiency of the U.S. economy and financial system. Your work will affect the economy of the Southeast, the United States, and the world. The work we do here is important, and how we do it is just as important as what we do. We live our values of integrity, excellence, and respect every day. We do the right thing, we do things right, and we treat people right. A career at the Federal Reserve Bank of Atlanta gives you the chance to do work that touches lives and helps communities prosper. As an employee of the Atlanta Fed, you will help support our mission of promoting the stability and efficiency of the U.S. economy and financial system. Your work will affect the economy of the Southeast, the United States, and the world. The work we do here is important, and how we do it is just as important as what we do. We live our values of integrity, excellence, and respect every day. We do the right thing, we do things right, and we treat people right. A career at the Federal Reserve Bank of Atlanta gives you the chance to do work that touches lives and helps communities prosper.

Job Summary

The main functions of the Economic Research Analyst Intern is to assist staff economists and policy advisors with their research and contribute to the strategic priorities of the Federal Reserve Bank of Atlanta and the Research Division.

Key Responsibilities
Researches state policy rules and writes code to interpret those rules for a national database of tax and transfer programs.
Analyzes economic developments in field of expertise and derive conclusions regarding their implications for outlook for the U.S. workers. Contribute to analytical reports on special topics related to Economist’s research.
Performs directed surveys of the academic research literature and creates summaries on designated topics; create effective presentation materials including graphs, charts, and PowerPoint presentations.


Additional Details
Must be a current college student
Available to work 20h/week, 3 months (with possible extension)


This is not necessarily an exhaustive list of all responsibilities, duties, performance standards or requirements, efforts, skills or working conditions associated with the job. While this is intended to be an accurate reflection of the current job, management reserves the right to revise the job or to require that other or different tasks be performed when circumstances change (e.g. emergencies, rush jobs, change in workload or technological developments).

Education & Experience

Job Qualifications
Major in economics, statistics, computer science or related field preferred.
Intermediate to advanced R, Excel, Powerpoint, Word skills essential.


Federal Reserve Bank of Atlanta

Primary Location

GA-Atlanta

Full-time / Part-time

Part-time

Employee Status

Temporary

Overtime Status

Non-exempt

Job Type

Internship

Travel

No

Shift

Day Job

Job Sensitivity

Tier II - No Credit Check

Target Start Date

Mar 16, 2021","https://www.linkedin.com/jobs/view/externalApply/2467622219?url=https%3A%2F%2Ffrb%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3D267409%26lang%3Den%26src%3DLinkedIn&urlHash=nkgI&refId=6c99ebf8-5a8f-4fdd-88a4-a71d50775108&trackingId=EotRJF1D8gDE5RddVbxOQg%3D%3D&trk=public_jobs_apply-link-offsite",0.08118920681075742,
4,"Research Analyst RA Internship","HelioCampus","Chapel Hill, NC","Looking for an internship at a fast-paced growing company? We are seeking an energetic, self-motivated intern that is eager to learn in a collaborative environment.

HelioCampus is a data-driven tech company located in Chapel Hill, NC. Through our approach we work collaboratively with our members to ensure that they are making data-driven decisions across their campuses that impact the effectiveness and efficiency of their people. By providing members actionable data along with our HelioCampus benchmarking platform, we are providing the tools needed to do more with less and save millions along the way.

As a Research Analyst intern with HelioCampus, you will be part of an agile and growing team, playing a critical role in helping us to research and organize large sets of higher education administrative labor data. In this role, you will work collaboratively with our Client Services Team to process data submitted by our client universities into actionable, reliable labor spend benchmarks that will ultimately be used by our team to advise senior finance executives at our client universities on administrative efficiency and effectiveness.

Our ideal candidate possesses strong verbal and written communication skills and is able to understand a complex data organization process. As a research analyst, you are detail oriented with a desire to learn the implementation process and how the data will be used. You are someone who values consistency, thoroughness, and efficiency.

Key Accountabilities & Responsibilities
Search university web sites and other resources to determine the function of university employees and job titles
Analyze university job descriptions
Organize and group higher education labor data
Prepare and review research reports and slide decks for both internal and external audiences on topics such as higher education trends and university strategy.
Support the Client Services Team in other special projects as needed

Requirements

Great to have
Inquisitive attitude with an eagerness to learn and willingness to ask questions
Flexible, accountable, and a team player
Able to work independently with minimal supervision
Able to prioritize multiple tasks without compromising quality
Analytical and the ability to think on the fly
Strong skills in interpersonal, verbal, and written communication and time management

Nice to have
Able to quickly navigate a comprehensive data organization model
Able to quickly adapt to various research methods and use of research technology
Energetic and able to work well in a fast paced and changing environment
Experience with tools such as Excel, PowerPoint, Google Suite, HubSpot, Jira, and search engine navigation

Benefits

HelioCampus offers interns a competitive salary, snacks, work from home flexibility, opportunities to convert to Full-Time, and a fun and collaborative work environment.

HelioCampus is an equal opportunity employer all qualified candidates will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.

Apply for this Position

Thank You
Your application was submitted successfully.

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number 63879. Message & data rates may apply. Please refer to our privacy policy for more information.","https://www.linkedin.com/jobs/view/externalApply/2472341529?url=https%3A%2F%2Fheliocampus%2Etalentify%2Eio%2Fjob%2Fresearch-analyst-ra-internship-chapel-hill-north-carolina-heliocampus-3%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGozbGtzMSxlcHJvNjA3MTMwZDA3MWI4MzQwMjY4ODEyOQ&urlHash=M7ya&refId=6c99ebf8-5a8f-4fdd-88a4-a71d50775108&trackingId=9XP0bXRf2K%2Bmh%2FLvlmangg%3D%3D&trk=public_jobs_apply-link-offsite",0.057230915236841616,
1,"Research Analyst Intern","QTS Global","United States","Job Description :
To research & collect data re different markets and create sales lists
To analyze data collected and create marketing campaigns
To record and analyze statistics based on the sales lists results
To conduct further analysis based on the statistics
To create daily, weekly and monthly reports
To contribute creatively for company branding and content creation

Skills and Requirements:
At least 1 year of work experience is preferred but not required
Business analysis, report creation and use of Microsoft Office applications
Critical and analytical skills
Passionate, hard-working, detail oriented, eager to learn, and adaptable
Able to work as part of a team and also individually for some projects
Able to adjust to APAC hours (HKT) for some training and scheduled work
Willing to travel across the APAC region for business trips and training (once it’s safe for travel and extension of multi-year contract is granted)
Candidates will be offered a competitive package

For more information about our company, please visit our website: http://www.qtsglobal.com
Candidates must possess at least Bachelor’s/College Degree in Finance/Accountancy/Banking or any business related degree.
Contract length: 3 months
Job Type: Paid Internship (40 hours/week)","https://www.linkedin.com/jobs/view/externalApply/2473681510?url=https%3A%2F%2Fsvbank%2Etaleo%2Enet%2Fcareersection%2Fex%2Fjobdetail%2Eftl%3Fjob%3D9114%26lang%3Den%26SID%3D38&urlHash=KDva&refId=6c99ebf8-5a8f-4fdd-88a4-a71d50775108&trackingId=mIOBNNgmMg%2F7rmN0mOWNuA%3D%3D&trk=public_jobs_apply-link-offsite",0.03402851624599759,
9,"Research Analyst Intern - University of Maryland students","LMI","Tysons Corner, VA","Overview

LMI is a consultancy dedicated to powering a future-ready, high-performing government, drawing from expertise in digital and analytic solutions, logistics, and management advisory services. We deliver integrated capabilities that incorporate emerging technologies and are tailored to customers’ unique mission needs, backed by objective research and data analysis. Founded in 1961 to help the Department of Defense resolve complex logistics management challenges, LMI continues to enable growth and transformation, enhance operational readiness and resiliency, and ensure mission success for federal civilian and defense agencies.

This Summer internship will be fully remote and targeted to students at the University of Maryland. This internship will be aligned to our LMI Research Institute: Academic Programs.

Responsibilities
Support LMI’s LRI practice with review of policies, guidance, and specifications to support university outreach and briefings.
Conduct research and provide findings in support of department needs.
Identify opportunities for continuous process improvement.
Support the development and coordination of briefing packages and content to include brochures and media creation.
Be an integral member of a project team and, in successive rotations, accept increasing responsibility.

Qualifications
Clearance: Top Secret with SCI eligibility preferred.
Must be a candidate for an undergraduate or graduate degree in operations research, industrial engineering, systems engineering, business administration, corporate communication, economics, or a related major.
Must be a student enrolled at the University of Maryland.
Availability to work full-time for at least 10 weeks.
Must have a 3.0 GPA or better.
Strong written and verbal communication skills, including the ability to compose and write a variety of internal and external documents, reports, and presentations.
Strong interpersonal and listening skills required, with ability to develop and maintain professional relationships within LMI and with its clients.
Strong problem solving, time-management, and organizational skills.
Strong planning skills and the ability to coordinate and prioritize assignments with minimum supervision. Must be self-directed and detail oriented in completing assigned tasks and projects.
Other Information
All intern positions at LMI are paid positions.","https://www.linkedin.com/jobs/view/externalApply/2465454697?url=https%3A%2F%2Fcareers-lmi%2Eicims%2Ecom%2Fjobs%2F6282%2Fresearch-analyst-intern---university-of-maryland-students%2Fjob%3Fin_iframe%3D1&urlHash=_IsX&refId=6c99ebf8-5a8f-4fdd-88a4-a71d50775108&trackingId=GHm32W6KjyZXoGNm02MaKw%3D%3D&trk=public_jobs_apply-link-offsite",0.04470125894197853,
