Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
8,"Round Compensation Analyst Intern","Textron","Providence, RI (+1 other)","Job Information

Textron Year-Round Compensation Analyst Intern in Providence, Rhode Island

Year-Round Compensation Analyst Intern

Description

Job Summary:

The Textron Compensation Analyst Internship program is designed to allow you to gain experience and insight into business processes and year-round compensation activities, while continuing to grow continually. This position is responsible for assisting members of the Executive Rewards and Compensation team in the development, implementation, and administration of enterprise compensation programs.

Your year-round internship assignment in Providence, RI will include exposure to existing workgroups and senior management at the Textron Corporate level.The internship requires approximately 20 hours per week.

The Internship Program benefits include on-the-job and formal compensation training, as well as exposure to high level enterprise leaders and multiple business units in different functional areas.

You are encouraged to apply if you have a some finance, accounting, and or HR analytics background with demonstrated leadership ability. Successful selected individuals will have the opportunity to interview for full time roles throughout the Textron Enterprise.

Qualifications

Requirements:
• Currently pursuing bachelors degree in finance, accounting, human resources, or related field
• Demonstrated analytical experience
• Strong academic performance with experience working on group projects a plus
• Ability to protect and maintain the privacy of employee personnel records including, but not limited to, personal and compensation information about employees
• Perform other duties as assigned

Skills/Competencies:
• Advanced computer skills, including Microsoft Excel and other Microsoft Office programs
• Must have a passion for numbers
• Strong analytical skills
• Strong communication skills
• Action and result oriented
• Self-confident and shows initiative
• Open to new challenges and business environments

EEO Statement

Textron is committed to providing Equal Opportunity in Employment, to all applicants and employees regardless of, race, color, religion, gender, age, national origin, military status, veteran status, handicap, physical or mental disability, sexual orientation, gender identity, genetic information or any other characteristic protected by law.

Pay Transparency Policy Statement

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise, have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractors legal duty to furnish information.

Job Human Resources

Primary Location US-Rhode Island-Providence

Recruiting Company Textron Inc.

Schedule Full-time

Job Level Individual Contributor

Shift First Shift

Req ID: 290590","https://www.internships.com/posting/bug_38970365057?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.11362861622415742,
5,"Human Resources Coordinator","TIDES FAMILY SERVICES INC","West Warwick, RI (+1 other)","","https://recruiting.paylocity.com/recruiting/jobs/Details/349858/Tides-Family-Services-Inc/Human-Resources-Internship?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04874944774857656,
4,"Human Resources Internship","TIDES FAMILY SERVICES INC","West Warwick, RI (+1 other)","Description

Performance Expectations/Key Challenges
• Support Talent Acquisition sourcing and recruiting of high potential candidates and applicant tracking.
• Assist Workforce Development agency initiatives.
• Onboard new hires , welcome packet, I-9s, benefits, ETO accesses, equipment, agenda for start date.
• Assist Orientation process , tracking and tactical operations (scheduling, room request, packets).
• Data entry in HRIS system to ensure accuracy of employee data management
• Support annual benefits renewal and wellness efforts
• Liaison to employee relations .
• Provide day-to-day support of operational HR support.

Requirements

The Human Resources program will expose student to on the job learning and experience in a human resources functional area such as benefits, leave of absence administration, recruiting, new hire orientation and documentation.

Degrees/Certifications/Licenses
• Current undergraduate student

Essential Roles/Experiences
• Experience with tactical support processes, practices, and operations .
• Skilled in confidentiality and privacy of employee relations.
• Skilled in leadership support and openness to change management","https://recruiting.paylocity.com/recruiting/jobs/Details/349858/Tides-Family-Services-Inc/Human-Resources-Internship?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.08854177911999447,
1,"Human Resources (HR) Intern - unpaid","BAMSI","Brockton, MA (+1 other)","Here at BAMSI, we recognize that our employees are our greatest resource! Are you ready to make a difference? Become a BAMSI believer!

BAMSI offers a hands on internship experience in the field of Human Resources. Interns will exposed to and will assist with full life cycle recruitment, on-boarding, problem resolution, the application and practice of employment law and internal policies and procedures as well as employee benefits, new hire processes, HRIS implantation and operational HR. Our interns become an integral part of our team!

Must be working towards a Bachelor's Degree or Associates Degree in Human Resources, Business Administration, Labor Relations, Psychology, Sociology, non-profit management or a related field. Must be available to work 1 full day or 2 half days during business hours (mon-fri 9a-5p) *Internships are available for all semesters (Summer, Fall and Spring)

BAMSI is a private, non-profit culturally diverse human services organization providing services to adults and children with developmental disabilities, mental illness, behavioral health, and public health needs. We at BAMSI believe that those we serve are capable of amazing things and deserve our best. We support them in their journeys and celebrate their accomplishments along the way.

The Unpaid Human Resources Intern will be exposed to full life cycle recruitment, on-boarding, problem resolution, the application and practice of employment law and internal policies and procedures as well as employee benefits, and new hire processes.

Responsibilities:
• Obtain references for final job candidates.
• Screen candidates using an online applicant tracking system
• Assist with recruiting candidates for open jobs
• Attend and assist with conducting interviews as needed
• Setting up and tracking interviews as needed
• Attend job fairs with Recruiter
• Assist with data entry as needed
• Update and maintain job postings on applicant tracking system
• Assist applicants with the applicant tracking system
• Use external sites to post ads for critical open positions
• Exposure to HR standards and Compliance of records.
• Responsible for auditing
• Organize new hire and on-boarding forms
• Filing as needed
• Assist with General office coordination or office reception as needed
• All other duties and projects as assigned
• Working towards an Bachelors Degree or Associate's Degree in Human Resources, Business Administration, Labor Relations, Psychology, Sociology, Non-profit Management or a related field
• Proficiency in Microsoft Office desired
• Accurate and Detail oriented Motivated self-starter
• Excellent interpersonal, communication and organizational skills
• Must be comfortable both receiving incoming and making outgoing phone calls","https://www.glassdoor.com/job-listing/human-resources-hr-intern-unpaid-bamsi-JV_IC1154539_KO0,32_KE33,38.htm?jl=3615428371&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0546690234795104,
2,"Paid Human Resources and Operations Intern","617MediaGroup","Anywhere","617MediaGroup, the Northeast's fastest-growing progressive communications agency, is looking for a PAID Human Resources and Operations Intern to join our growing team. At 617MediaGroup, we don't just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our clients, and our communities. 617MediaGroup is proud to be an equal opportunity workplace and is an affirmative action employer.

This candidate will ideally grow into a full-time position at the end of the internship. This is a part-time, paid internship. A minimum of 20 hours each week is required. Occasional nights and weekends may be required. Having your own car is preferred.

Who you are:
• You've had internships before, preferably with a focus on Human Resources and Operations
• You're dogged and organized
• You have a problem-solver mindset with a can-do attitude
• You thrive in fast-paced environments
• You want to learn and grow with an exciting, mission-driven communications firms
• You're ready to hit the ground running
• You are interested in creating the best onboarding experience for all employees
• You are eager to keep all agency policies and processes updated
• You are willing to learn new platforms such as Culture Amp, EZ Office Inventory, Greenhouse and Bamboo HR so the agency continuously improve operations and human resources offerings for staff
Who we are:
Veteran campaigners, communicators, designers, strategists, storytellers, web developers, and true believers. We love what we do. We're results-driven. And we only work with clients we believe in.

What we do:
We move public opinion. We win tough fights. We tell stories simply, and with maximum impact. We offer comprehensive communication services: from earned media to paid, and social media to owned content. Copy and design. We do it all","https://www.ziprecruiter.com/c/617MediaGroup/Job/Paid-Human-Resources-and-Operations-Intern/-in-Waltham,MA?jid=60354bdafe21ec74&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.1619207774930867,
7,"HR Intern (TO-D7FB8)","Horizon Global Corporation","Plymouth, MA","POSITION Human Resources Intern MANAGER Sr. HR Generalist EMPLOYMENT TYPE Hourly / Non-exempt LOCATION Plymouth, MI This position will have a mix of working in the office and working remotely from home. This is a full-time intern position with up to 40 hours per week worked. SUMMARY The Human Resources Intern is responsible for providing direct support to the HR Team in administration, staffing, training and development, projects, and other HR topics. Horizon Global is a global manufacturer, designer, and distributor of custom engineered towing and trailering products. This internship is designed to provide a hands-on experience in a Human Resource department from various perspectives. Horizon Global is looking for talented HR interns. As an intern, you will be able to apply coursework concepts to real-world situations working alongside professional, experienced colleagues while also gaining valuable experience working for a global manufacturing and engineering company. A Horizon Global internship is a chance to channel your drive and enthusiasm. It will be an experience that puts you front and center, allowing you to be hands-on and contributing your creative energy on high-impact projects. RESPONSIBILITIES * Engaged in process to optimize our Onboarding process for new hires * Potential for work on Learning Management System and project associated with employee training records * May be engaged with staffing and recruiting activities as determined * Provide support in other areas of HR when necessary, such as Total Rewards * Assists with new hire onboarding tasks * Assists with HR department administration * Promotes and supports employee engagement efforts, development, and positive employee relations. * Learn fundamental elements of HRIS system and employee management systems * Contributes to projects and assignments in the HR department * Other routine HR tasks assigned that provide a sample of typical HR work QUALIFICATIONS * Required: Currently pursuing a Bachelor's degree in a HR Management, a business related field or similar * Preferred: Pursuing a Bachelor's degree in Human Resources, Business Administration, or Management; and at least one years of related experience. * Previous experience in HR is a plus. * Ability to work 20 + hours per week. * Ability to maintain a high level of confidentiality * Knowledge of Microsoft Office: Word, PowerPoint, Excel, and Outlook. * Exceptional written and oral communication skills. * Detail oriented and excellent organizational skills. * Excellent time management skills; ability to multi-task. * High level of analytical ability. * Strong desire to learn and develop skillset. * Good interpersonal skills; ability to work both independently with little direction and in group settings. * Experience that demonstrates strong technical and/or client service skills","https://us.trabajo.org/job-482-20210411-d7fb8094f7c393766b92d2401a7b5a39?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.07302414788280064,
0,"Human Resources Intern","CBLPath","East Providence, RI","Job Functions, Duties, Responsibilities and Position Qualifications:

Quality is in our DNA!

East Side Clinical Laboratory (ESCL) is a full-service clinical laboratory with over 60 locations servicing Rhode Island, Southern Massachusetts, and Connecticut and surrounding communities.

We are offering a paid internship in our Human Resources department.beginning in mid-late August for a Human Resources Intern Part Time 20-29 hours, Monday through Friday, no weekends. There is an application process that must be processed through the Governors Workforce Board and the starting pay rate is $12.00 an hour.

The ideal candidate will be a proven bright, energetic individual to support the East Side Clinical Laboratory's Human Resources department. This position will be part-time 20 hours -29 hours a week with reasonable flexibility to accommodate a student's schedule. Are you an individual who is willing to learn, can work with minimal to little supervision? We will train and show you the procedures and tasks involved with an HR career and will be impressed when you take the initiative! Maintaining confidentiality is an important skill and exercising discretion is a must.

Responsibilities
• Support the HR Department, Training and Development
• Working on recruitment, orientation and training materials
• Corporate Event Planning/Employee Appreciation Events
• Benefits Administration Support
• Compliance Audit Assistance
• Draft, revise and post job ads, perform pre-screens

Requirements:
• Currently enrolled or graduated from an accredited institution and interested in Human Resources within the last 12 months
• Must be enrolled in a accredited school in the State of Rhode Island
• Meticulous attention to detail
• Solid writing skills and ability to communicate effectively will all levels of management
• Interested in health care industry a plus
• Strong intermediate knowledge of Word, Excel, and Outlook, and familiarity with PowerPoint a plus
• Only serious candidates need apply.

What we offer
We believe in showing our team the same level of respect and service excellence that we strive to deliver to our patients. We are committed to providing extensive training and educational support that allows our team members to achieve the very highest levels of professionalism and open the door to increased opportunities for future career growth.

We are more than just an equal opportunity employer, we enthusiastically celebrate the powerful and profound diversity of our team!

ESCL is an Equal Opportunity Employer. ESCL is an Affirmative Action Employer. ESCL provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, ESCL complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. EOE/M/F/D/V. Equal Opportunity Employer/Minorities/Female/Disabled/Veteran

Scheduled Weekly Hours:
20

Company:
East Side Clinical Laboratory, Inc.

Sonic Healthcare USA provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training","https://www.ziprecruiter.com/c/CBLPath/Job/Human-Resources-Intern/-in-East-Providence,RI?jid=e344d5119e10e719&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04874944774857658,
6,"Paid Human Resources and Operations Intern","617MediaGroup","Waltham, MA (+1 other)","617MediaGroup, the Northeast’s fastest-growing progressive communications agency, is looking for a PAID Human Resources and Operations Intern to join our growing team. At 617MediaGroup, we don’t just accept difference — we celebrate it, we support it, and we thrive on it for the benefit of our employees, our clients, and our communities. 617MediaGroup is proud to be an equal opportunity workplace and is an affirmative action employer.

This candidate will ideally grow into a full-time position at the end of the internship. This is a part-time, paid internship. A minimum of 20 hours each week is required. Occasional nights and weekends may be required. Having your own car is preferred.

Who you are:
• You’ve had internships before, preferably with a focus on Human Resources and Operations
• You are studying Human Resources, Business Management or a related field
• You’re dogged and organized
• You have a problem-solver mindset with a can-do attitude
• You thrive in fast-paced environments
• You want to learn and grow with an exciting, mission-driven communications firms
• You’re ready to hit the ground running
• You are interested in creating the best onboarding experience for all employees
• You are eager to keep all agency policies and processes updated
• You are willing to learn new platforms such as Culture Amp, EZ Office Inventory, Greenhouse and Bamboo HR so the agency continuously improve operations and human resources offerings for staff

Who we are:
Veteran campaigners, communicators, designers, strategists, storytellers, web developers, and true believers. We love what we do. We’re results-driven. And we only work with clients we believe in.

What we do:
We move public opinion. We win tough fights. We tell stories simply, and with maximum impact. We offer comprehensive communication services: from earned media to paid, and social media to owned content. Copy and design. We do it all","https://boards.greenhouse.io/617mediagroup/jobs/5159688002?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.29955343648319743,
9,"Recruiter and Human Resources coordinator","Textron","Providence, RI (+1 other)","","https://www.internships.com/posting/bug_38970365057?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04874944774857658,
3,"2021 Human Resources Intern","Textron Inc.","Providence, RI","2021 Human Resources Intern284752 Position Title: Human Resources Intern Department: Human Resources Location: World Headquarters in Providence, RI Who we are We are known for our powerful brands such as Bell, Cessna, Beechcraft, E-Z-GO, Arctic Cat and Textron Off Road. We are a multi-industry company with a global network of aircraft, defense, industrial and finance businesses that provide our customers with innovative products and services. Our worldwide presence is powered by the talent of more than 36,000 people, each of whom brings their unique experience, skills and perspective to our team. What we offer At Textron, we believe success is born from the contributions of each person, and we seek diverse individuals who bring rich experience, skill, talent and perspective to our team. Our human resources internship is a comprehensive 10 week program designed to engage students through access to hands on project work, networking, and development opportunities. During the program interns will be in a supportive learning environment contributing both independently and on a team. Students will gain valuable exposure to human resources as well as insight to a potential career path with a Fortune 500 company. Competitive compensation is offered, including a housing stipend for eligible candidates. This requires the ability to relocate to Providence, Rhode Island for the duration of the program. This is a great opportunity for a driven individual to learn more about the key role human resources plays in supporting enterprise business strategies. As a human resources Intern, you will gain a strong understanding of the day-to-day responsibilities with a focus in one of the following areas: HR Operations, Benefits and Payroll Talent Management and University Relations Talent Development and Technologies Global HR Services and Relocation Executive Compensation and Rewards HR Business Partner and Generalist Support How you can contribute Assist with a variety of human resources processes and administration Support the assigned team with ongoing and new projects Research, design, and develop solutions to assigned projects and tasks related to the human resources function Suggest potential alternatives to current processes to improve efficiency and timeliness Represent human resources on cross-functional teams when assigned Build relationships across multiple levels and areas to ensure support is readily available when needed Protect and maintain the privacy of employee personnel records including, but not limited to, personal and compensation information about employees Perform other duties as assigned What you can bring Proficiency with Microsoft Word, Excel, PowerPoint, and Outlook Excellent verbal and written communication skills Strong analytical and problem-solving skills Attention to detail and ability to manage multiple priorities Creative thinker who is self-motivated Ability to maintain confidentiality Eagerness to continuously learn and develop business acumenHow you can qualify Must be enrolled as a full-time college student pursuing a degree in Business Administration, Human Resources, or related degree programEEO Statement Textron is committed to providing Equal Opportunity in Employment, to all applicants and employees regardless of, race, color, religion, gender, age, national origin, military status, veteran status, handicap, physical or mental disability, sexual orientation, gender identity, genetic information or any other characteristic protected by law. Pay Transparency Policy Statement The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise, have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. Job Field Human Resources Primary Location US-Rhode Island-Providence Recruiting Company Textron Inc. Schedule Full-time Job Level Individual Contributor Shift First Shift Job Posting 08/28/2020, 8:00:59 AM","https://ghired.com/2020/08/28/2021-human-resources-intern-textron-inc-42563300e1953af0/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.06241380171629757,
