Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
57,"Investment Analyst Intern","Progressive","Connecticut",": As an investment analyst intern , you’ll be exposed to a variety of problems and challenges. We’ve created an internship experience that provides real responsibilities for current business needs. You will be analyzing an industry or a series of companies in a stand-alone project that will culminate with a group presentation at the end of the summer. Over the course of your internship, you will be exposed to junior and senior members of the team and learn about the various sectors in which we invest. You will also learn our approach to how we trade, construct our portfolio and value securities. Many MBA graduates have joined PCM as Sr Investment Analysts upon graduation. In this full-time role, you will independently conduct fixed income research projects, make investment recommendations and review and analyze investment results. What you need: Studying for an MBA degree (strong preference for spring/summer completion) When: Summer (June-August) What we also look for: Demonstrated interest in corporate finance, accounting and fundamental investment analysis Knowledge of current events and major macro-economic developments Exposure to fixed income markets, bond math, yield curve dynamics and/or corporate credit analysis is helpful but not required Capability to work independently and show initiative Ability to present information in an organized and clear fashion in both verbal and written communications Strong quantitative and PC skills What we offer: Competitive hourly pay Mentorships, continued career development and networking with company leaders  Award-winning, inclusive environment with Employee Resource Groups Great corporate culture Our Company : Progressive Capital Management (PCM) is the investment subsidiary of The Progressive Corporation, the nation’s third largest auto insurer, with responsibility for the formulation and execution of Progressive’s investment strategy. PCM consists of a small group of investment professionals located in Norwalk, CT managing Progressive’s fixed income portfolio, currently in excess of billon. The investment portfolio is managed on a total return basis","https://paralleldesk.com/amp/investment-analyst-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.006139613387928869,
38,"Investment Analyst - Private Equity & Venture Capital","Rosecliff","New York, NY","Rosecliff is a diversified investment management firm based in New York City. We seek to create positive economic impact and long-term value for our investors and portfolio companies. The firm has over $800 million in assets under management and operates multiple investment strategies, including credit, venture capital, and private equity. More information can be found at www.rosecliff.com.

Analysts will work closely with the investment team on sourcing, due diligence and executing investment opportunities. This is an opportunity for an extraordinary performer who has already mastered financial analytical and research skills through professional experience at a top tier Investment Bank, Hedge Fund, Private Equity Fund, and/or Venture Capital Fund. The ideal candidate should possess the following skill sets: resourcefulness and thoroughness in conducting complex financial analysis and investment opportunity research. The candidate will also be ability to work independently, and possess strong written, presentation and oral communication skills.

Job Description:
• Conduct market research on investment opportunities, industries, and asset classes
• Review and perform complex investment memos on new and existing investment targets
• Perform all pertinent financial analyses, including discounted cash flow, comparable, and precedent transactions
• Prepare due diligence packs for the investment team, providing relevant, informative analytics and background research
• Prepare written summaries and presentation materials
• Build detailed operating models on prospective deals
• Draft information memorandum and marketing materials for the investment team
• Provide overall support to investment team

Qualifications:
· 1-3 years of experience at a top tier investment bank, hedge fund, private equity fund and/or venture capital fund.
· An excellent academic record with graduation from a top tier business school
· Strong verbal and written communication skills
· A desire to work in a team environment with dynamic roles
· Strong knowledge of accounting, finance, and valuations is required
· Self-motivation to find solutions independently, and humility to acknowledge limits and uncertainties
· Sincere commitment to personal and professional development
· Excellent attention to detail
· Intellectual curiosity
· Good judgment","https://www.linkedin.com/jobs/view/externalApply/2486019662?url=https%3A%2F%2Fcareers%2Epeopleclick%2Ecom%2Fcareerscp%2Fclient_loomissayles%2Fexternal%2Fen-us%2Fgateway%2Edo%3FjobPostId%3D2145%26functionName%3DviewFromLink%26localeCode%3Den-US&urlHash=LeGp&refId=0da683e0-778d-4399-8c98-a2b3d98eceb5&trackingId=ZHeNenNCp5N8%2FpAiuvJ%2FJg%3D%3D&trk=public_jobs_apply-link-offsite",0.02148527604100956,
51,"Investment Analyst Intern","KKI Capital","New York, NY","","https://www.internships.com/posting/sam_3667522736?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.0026642984014209597,
34,"Investment Analyst","Professional Diversity Network","Boston, MA","WELLINGTON MANAGEMENTWellington Management offers comprehensive investment management capabilities that span nearly all segments of the global capital markets. Our investment solutions, tailored to the unique return and risk objectives of institutional clients in more than 55 countries, draw on a robust body of proprietary research and a collaborative culture that encourages independent thought and healthy debate. As a private partnership, we believe our ownership structure fosters a long-term view that aligns our perspectives with those of our clients.POSITIONROLE AND RESPONSIBILITIESThe Investment Analyst will work as part of one or more product coverage teams to contribute to the broad efforts of FIPM. The primary focus of the role is to provide analytical leverage to the team as well as be a point of contact for a variety of internal constituents regarding inquiries about the investment teams and products under coverage.Responsibilities include performing analyses related to portfolio positioning, attribution and risk, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on the development of client solutions and new investment approaches.The role of an Investment Analyst requires demonstrated skills or knowledge of markets and macroeconomics in combination with a passion for fixed income investing. The individual will interact closely with both investment teams and business professionals, contributing to efforts centered on reviewing and evaluating the integrity of our fixed income approaches and driving the success of those products in the marketplace.Responsibilities include performing analyses related to portfolio positioning and attribution, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on development of client solutions and new investment approaches.QUALIFICATIONSSuccess in the role requires an interest in markets, passion for learning, and a willingness to own one's own development. A positive, collegial attitude and high level of professionalism are essential, as are creativity, initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines. We seek individuals that possess the analytical skills and ability to organize and interpret investment data to reach conclusions as well as effective verbal and written communication skills. A positive, collegial attitude and high level of professionalism are essential, as is initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines.Further, the ideal candidate will possess the following qualifications:2-5 years of relevant experience and progress towards the CFA are preferredA university degree with very strong academic credentialsWorking knowledge of macroeconomics and interest in fixed income marketsStrong technical skills and mastery of MS ExcelDemonstrated analytical skills including the ability to organize and synthesize data to reach conclusionsSolid judgment, intellectual curiosity, and willingness to take a differentiated perspectiveAttention to detail combined with a solutions-oriented mindsetAbility to write clearly and succinctly in a variety of communication settingsArticulate with an interest in developing presentation skillsAbility to work both independently and in collaboration with a global teamCreativity, thoroughness, attention to detail, and ability to prioritizeGrace under pressure with an ability to adapt to get things doneSKILLSJOB TITLEInvestment AnalystLOCATION280 CongressAs an equal opportunity employer, Wellington Management ensures that all qualified applicants will receive equal consideration for employment without regard to race, color, sex, sexual orientation, gender identity, gender expression, religion, creed, national origin, age, ancestry, disability (physical or mental), medical condition, citizenship, marital status, pregnancy, veteran or military status, genetic information or any other characteristic protected by applicable law. If you are a candidate with a disability, or are assisting a candidate with a disability, and require an accommodation to apply for one of our jobs, please email us at GMCANINQ@wellington.com.VEVRAA Federal ContractorWe request Priority Protected Veteran & Disabled ReferralsIf you have any problems accessing or using our site, please email us at Wellington@icareerhelp.com.All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, religion, national origin, age, ancestry, disability, citizenship, marital status, veteran status, genetic information, or any other characteristic protected by law. As an equal opportunity employer, Wellington Management Company LLP is committed to a diverse workforce. In order to ensure reasonable accommodation for individuals protected by Section 503 of the Rehabilitation Act of 1973, the Vietnam Veterans' Readjustment Act of 1974, and Title I of the Americans with Disabilities Act of 1990, applicants that require accommodation in the job application process may email us at Wellington@icareerhelp.com.As an equal employment opportunity employer, we make decisions based upon our business needs, without regard to race, color, sex, sexual orientation, religion, national origin, age, ancestry, disability, citizenship, marital or domestic partner status, veteran status, genetic information, or any other characteristic, status or class protected by applicable law.PDN-93060f54-e490-43ff-9b6a-5f91cf8d98f3","https://www.linkedin.com/jobs/view/externalApply/2498514997?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D475%26rx_jobId%3D4204674%26rx_url%3Dhttps%253A%252F%252Fwww%2Eprodivnet%2Ecom%252Fjob%252Finvestment-analyst-boston-massachusetts-4204674%253Futm_source%253DRecruitics%2526utm_medium%253Djobboard%2526utm_campaign%253DEnterprise%2526utm_campaign%253Dlinkedin%2526utm_medium%253Dpost%2526utm_source%253Dlinkedin%2526rx_medium%253Dpost%2526rx_paid%253D0%2526rx_r%253Dnone%2526rx_source%253Dlinkedin%2526rx_ts%253D20210411T151827Z&urlHash=-wBc&refId=bc53cc53-75e9-4ec8-bd4d-ccc07b3fb92a&trackingId=dQYMPcjWxvB0%2FuCrHGznUA%3D%3D&trk=public_jobs_apply-link-offsite",0.007350049583995511,
13,"Investments, Capital Markets & Asset Management Associate","Rudin Management","New York City Metropolitan Area","Rudin Management Company seeks to hire a highly motivated, dynamic individual to join the company as an Associate. The candidate will support the company’s real estate asset management, financing, acquisitions, development and business development efforts. In all capacities, the new hire will work closely with senior management, primarily the Chief Investment Officer. The candidate will also be expected to assist in other areas of the firm as necessary. 

Responsibilities: 
Develop and maintain complex financial models.
Support development of the company’s investment strategy.
Conduct due diligence / underwriting on potential new investments.
Assist in negotiating and closing new investment acquisition and disposition activities.
Work with senior management to prepare investment memorandums to present to executive team.
Execute business plan for new developments / acquisitions.
Arrange construction, repositioning and permanent financing on new and existing properties.
Assist in managing relationships with equity partners and lenders.
Analyze and review potential new tenant leasing activity as well asset reinvestment programs.
Work with residential, commercial, operations and finance / accounting teams to support budgeting, forecasting and financial planning.
Analyze existing portfolio to report operating and financial insights to senior management.

Qualifications:
2-4 years of professional experience.
Preference given to previous employment at a real estate brokerage firm, real estate asset management company or a real estate investment or commercial bank.
Deep financial modeling experience and comfort dealing with highly complex situations.
Extensive use of all Excel, Word, PowerPoint, Yardi, ARGUS and comfort in utilizing new technologies.
Excellent verbal and written communication, organizational, presentation and analytical skills. 
Ability to work collaboratively within a team environment and understand needs of multiple constituencies. 
Effectively prioritize and handle multiple tasks under pressure.

Rudin is one of the largest privately owned real estate companies in New York City. Founded in 1925 by Samuel Rudin and now led by the third and fourth generations, Rudin oversees the daily operations of 36 properties in New York City. The portfolio is comprised of 18 residential buildings totaling 4.7 million square feet, 16 commercial office buildings totaling 10.5 million square feet and two condominiums under management totaling 241 residential units. Rudin is a vertically integrated company that owns, leases, manages and develops its own properties.

Please email Cassie Kulzer, Head of Human Resources, at careers@rudin.com for more information.","https://www.linkedin.com/jobs/view/externalApply/2441671496?url=https%3A%2F%2Fuscareers-goldmansachs%2Eicims%2Ecom%2Fjobs%2F73885%2Fgoldman-sachs%25252525252c-asset-management-division%25252525252c-real-estate-asset-management%25252525252c-urban-investment-group%25252525252c-associate--analyst--dallas%2Fjob%3Fhub%3D7%26mode%3Djob%26iis%3DLinkedIn%26iisn%3DLinkedIn&urlHash=yLDH&refId=0da683e0-778d-4399-8c98-a2b3d98eceb5&trackingId=PO4lky5Op%2FqcZl4qSuG9sw%3D%3D&trk=public_jobs_apply-link-offsite",0.004531706637206995,
35,"Investment Analyst","Wellington Management","Boston, MA","WELLINGTON MANAGEMENT

Wellington Management offers comprehensive investment management capabilities that span nearly all segments of the global capital markets. Our investment solutions, tailored to the unique return and risk objectives of institutional clients in more than 55 countries, draw on a robust body of proprietary research and a collaborative culture that encourages independent thought and healthy debate. As a private partnership, we believe our ownership structure fosters a long-term view that aligns our perspectives with those of our clients.

POSITION

Role And Responsibilities

The Investment Analyst will work as part of one or more product coverage teams to contribute to the broad efforts of FIPM. The primary focus of the role is to provide analytical leverage to the team as well as be a point of contact for a variety of internal constituents regarding inquiries about the investment teams and products under coverage.

Responsibilities include performing analyses related to portfolio positioning, attribution and risk, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on the development of client solutions and new investment approaches.

The role of an Investment Analyst requires demonstrated skills or knowledge of markets and macroeconomics in combination with a passion for fixed income investing. The individual will interact closely with both investment teams and business professionals, contributing to efforts centered on reviewing and evaluating the integrity of our fixed income approaches and driving the success of those products in the marketplace.

Responsibilities include performing analyses related to portfolio positioning and attribution, market trends, competitive positioning, and pricing. Additional responsibilities may include creation and maintenance of marketing and client materials, review of RFPs, responses to client questions, automation of workflow, and collaboration on development of client solutions and new investment approaches.

Qualifications

Success in the role requires an interest in markets, passion for learning, and a willingness to own one’s own development. A positive, collegial attitude and high level of professionalism are essential, as are creativity, initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines. We seek individuals that possess the analytical skills and ability to organize and interpret investment data to reach conclusions as well as effective verbal and written communication skills. A positive, collegial attitude and high level of professionalism are essential, as is initiative and the ability to thrive in a fast-paced, team-oriented environment with tight deadlines.

Further, The Ideal Candidate Will Possess The Following Qualifications
2-5 years of relevant experience and progress towards the CFA are preferred
A university degree with very strong academic credentials
Working knowledge of macroeconomics and interest in fixed income markets
Strong technical skills and mastery of MS Excel
Demonstrated analytical skills including the ability to organize and synthesize data to reach conclusions
Solid judgment, intellectual curiosity, and willingness to take a differentiated perspective
Attention to detail combined with a solutions-oriented mindset
Ability to write clearly and succinctly in a variety of communication settings
Articulate with an interest in developing presentation skills
Ability to work both independently and in collaboration with a global team
Creativity, thoroughness, attention to detail, and ability to prioritize
Grace under pressure with an ability to adapt to get things done

Skills

JOB TITLE
Investment Analyst
LOCATION
280 Congress
As an equal opportunity employer, Wellington Management ensures that all qualified applicants will receive equal consideration for employment without regard to r ace, color, sex, sexual orientation, gender identity, gender expression, religion, creed, national origin, age, ancestry, disability (physical or mental), medical condition, citizenship, marital status, pregnancy, veteran or military status, genetic information or any other characteristic protected by applicable law. If you are a candidate with a disability, or are assisting a candidate with a disability, and require an accommodation to apply for one of our jobs, please email us at GMCANINQ@wellington.com .","https://www.linkedin.com/jobs/view/externalApply/2450982775?url=https%3A%2F%2Fwellington%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FBoston%2FInvestment-Analyst_R83135-1&urlHash=hNFP&refId=0da683e0-778d-4399-8c98-a2b3d98eceb5&trackingId=I0%2BrbVaQHBvCFiXN8cX%2FiA%3D%3D&trk=public_jobs_apply-link-offsite",0.01283743785382894,
54,"Investment Analyst Intern","Golden Meadow Investments LLC","Jersey City, NJ","The analyst intern will be responsible for supporting the investment manager through all stages of the investment process. Assist analysts use data trends to see if an investment opportunity fits the needs of an organization, business or individual. Conducting investment research globally and find different and possible investment opportunities. Analysts intern take information and data to project new trends that can be beneficial when deciding on investment opportunities, also assist the manager with financial plans, research reports, and other investment documents.

Responsibilities
• Assisting in the evaluation of potential investment opportunities.
• Drafting investment recommendations and other internal presentations/reports.
• Coordinating and facilitating the due diligence process
• Conduct in-depth analysis of the responsible sector and industries
• Closely track new developments and investment opportunities
• Monitoring and surveillance of portfolio risk, positions, trading activity.
• Prepare research reports and draft investment memos
• Support the marketing team by conducting research and preparing marketing materials
• Perform other financial tasks as may be required from time to time by management.

Qualifications:
• Degree in a business-related field such as finance or economics is a plus
• Attention to detail, a proactive problem solver, good project management skills, and ability work under tight deadlines
• Self-motivation with the ability to work independently and as a team player
• Comfortable working in a highly entrepreneurial environment
• Ability to work flexible and/or extended hours as needed
• An understanding of broad financial markets and different asset classes
• Superior oral and written communications skills, strong presentation skills in both English and Chinese

But above all else, we are looking for individuals with a high level of confidence, perseverance, and desire to achieve and succeed in a fast-moving goal-oriented environment and a good fit for our culture.

Language: Chinese; English

Position Type: Internship

Job Type: Full-time

Job Types: Full-time, Part-time, Internship

Pay: $17.00 - $25.00 per hour

Schedule:
• 8 hour shift

Hours per week:
• 30-39

Work Remotely:
• No","https://www.internships.com/posting/sam_4022545659?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.007740520968145271,
19,"Investment Analyst","CBRE","Boston, MA","Job Summary

The purpose of this position is to support the Investment Management function on the due diligence of transactions; preparation of investment recommendations, asset management of investments; and provide input for client reporting: requires direct guidance.

Essential Duties And Responsibilities

Supports preliminary screen of investment opportunities, supports the production financial models for investments, supports production of investment summaries.

Supports the due diligence and underwriting of investments including production of financial analysis, market analysis, property analysis and production of Investment Committee recommendations

Monitors investments, meets managers regularly, updates fund model for review, produces IOC pack

Works with Portfolio Management to provide support to quarterly reporting and response to ad hoc to investment queries

Liaise with managers to collect Yardi questionnaire data and ensures input correctly into system.

Performs other duties as assigned.

Supervisory Responsibilities

No formal supervisory responsibilities in this position.

EDUCATION And EXPERIENCE

Undergraduate degree, preferably in accounting, finance or economics required; postgraduate qualification preferred.

A range of 0-2 years relevant industry experience that has been acquired in a real estate investment or real estate investment management environment.

Completed or progressing towards CFA/RICS.

Communication Skills

Excellent written and verbal communication skills. Demonstrate organizational and analytical skills. Ability to provide efficient, timely, reliable and courteous service to customers. Ability to effectively present information.

FINANCIAL KNOWLEDGE

Some technical knowledge and excellent financial modeling skills.

REASONING ABILITY

Effective problem solving skills

OTHER SKILLS And ABILITIES

Applies guidelines to majority of assigned work. Handles problems and deviations in accordance with instructions policies, previous trainings and accepted practices.

Excellent IT skills; strong analytical and Microsoft Excel modeling skills - prior experience with commercial real estate discounted cash flow modeling.

Excellent oral and written English language skills

SCOPE OF RESPONSIBILITY

Decisions made with understanding of procedures and company policies to achieve set results and deadlines.","https://www.linkedin.com/jobs/view/externalApply/2459053272?url=https%3A%2F%2Fcbre%2Ereferrals%2Eselectminds%2Ecom%2Fjobs%2Finvestment-analyst-84726%3Fsrc%3DJB-10160&urlHash=z_sB&refId=0da683e0-778d-4399-8c98-a2b3d98eceb5&trackingId=2ynlxuVPprUG3xldym4E%2FQ%3D%3D&trk=public_jobs_apply-link-offsite",0.006700297089884358,
4,"Investment Analyst MBA Intern/Consultant","Arootah","New York, NY","Job Title: Investment Analyst MBA Intern/Consultant

Who We Are

Arootah is a rising peak performance leader at the intersection of finance, technology, and wellness. Our team is on a mission to empower companies, executives, and consumers to take their game to the next level through personal, professional, and business development products. Our founder is Rich Bello, the Co-Founder of the industry-leading $10 billion hedge fund, Blue Ridge Capital. Rich is a Wharton graduate and held leadership positions at Morgan Stanley, Tiger Management, and Ernst & Young. Our offerings support businesses and individuals to raise their high standards—taking the next steps to maximize their potential.
We coach and consult executives in the investment and financial services industries.
We consult remote work leadership, including policies and procedures.
We seed and develop new business hypotheses through our venture studio.
We invest with a portfolio of public and private companies that positively impact individuals and society.
We coach direct-to-consumer with life, executive, career, and health coaching through our virtual wellness center.
If you're passionate about creating a better world, impacting personal and professional lives, and creating value for businesses, join us! Visit us at Arootah.com to learn more.

Who You Are

Arootah is looking for an MBA student that has a passion for the WellFinTech industry. You must be detail-oriented and a self-starter who enjoys working in a flexible environment. We want an upbeat personality with a positive attitude and an eagerness to learn. The role will wear multiple hats supporting our business plan and partnering with colleagues to achieve company goals. You will work closely with leadership, including the CEO and Directors. You will be responsible for research and sourcing new investment opportunities and drawing connections.

Your insightful contribution will develop and expand our product offering. This opportunity will help you acquire business development and evaluation skills. Ultimately, you will gain broad experience in entrepreneurship and should be prepared to enter any fast-paced work environment in a leadership capacity. This is a consulting engagement that will ideally result in a long-term position at Arootah.

What You'll Do
Research target industries and companies to provide investment recommendations
Pinpoint white space in the WellTech and Financial Wellness markets
Develop and write research reports to present potential investment opportunities
Input data into a financial model to create charts, dashboards, and supporting material
Identify target companies and evaluate investment opportunities
Identify partnership and collaboration opportunities with other businesses partners
Assist with due diligence
Conduct scenario analyses
Conduct research on sectors of interest to the firm


Qualifications & Requirements
Preferably a second-year MBA (Class of 2021)
Bachelor's degree in Accounting, Finance, Marketing, or other related fields
Minimum of 4 years' work experience
Critical thinking, including superior research and analytical skills
Proficient in Microsoft Word, PowerPoint and Outlook required
Strong competency in Excel – experience w/ databases & data manipulation is a plus
Strong proficiency in math, web analytics, and research tools
Excellent writing skills, including knowledge of grammar, spelling, and word usage
Ability to 'think outside the box' – continually searching for new solutions
Exemplary follow through with minimal supervision
Enthusiasm and desire to learn about venture studios


Perks With Us
Work for a well-funded disruptor in the wellness industry
Be a part of a start-up in the early stages! We're growing our family, now is the time to join!
Autonomy in your work
The ability to work remote
Flexible hours
Access to our Digital Wellness Center, including past webinars, seminar videos, and workbooks

Visit us at Arootah.com for more information.","https://www.linkedin.com/jobs/view/externalApply/2483780143?url=https%3A%2F%2Fgrnh%2Ese%2F8e24ef883us&urlHash=ciWv&refId=0da683e0-778d-4399-8c98-a2b3d98eceb5&trackingId=C%2FvYDfAVst%2FjFIpljPI%2BbQ%3D%3D&trk=public_jobs_apply-link-offsite",0.003092813592230627,
45,"Investment Analyst","Sandton Capital Partners","New York City Metropolitan Area","Middle-market distressed credit and special situations fund is looking for a motivated pre-MBA analyst with Investment Banking/Investing or similar experience to join its New York team. Analyst will be responsible for research, modeling, collateral valuation, financial statement analysis, credit / legal documentation review, and workout / restructuring execution. This investment group is characterized by its entrepreneurial culture and flat structure. Candidate should be comfortable with making and defending investment proposals.  

Ideal candidates have 1 - 3 years work experience.","https://www.linkedin.com/jobs/view/externalApply/2498514997?url=https%3A%2F%2Fjsv3%2Erecruitics%2Ecom%2Fredirect%3Frx_cid%3D475%26rx_jobId%3D4204674%26rx_url%3Dhttps%253A%252F%252Fwww%2Eprodivnet%2Ecom%252Fjob%252Finvestment-analyst-boston-massachusetts-4204674%253Futm_source%253DRecruitics%2526utm_medium%253Djobboard%2526utm_campaign%253DEnterprise%2526utm_campaign%253Dlinkedin%2526utm_medium%253Dpost%2526utm_source%253Dlinkedin%2526rx_medium%253Dpost%2526rx_paid%253D0%2526rx_r%253Dnone%2526rx_source%253Dlinkedin%2526rx_ts%253D20210411T151827Z&urlHash=-wBc&refId=bc53cc53-75e9-4ec8-bd4d-ccc07b3fb92a&trackingId=dQYMPcjWxvB0%2FuCrHGznUA%3D%3D&trk=public_jobs_apply-link-offsite",0.009890785451937405,
