Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
3,"Academic Year Internship","Rhode Island Office of the Public Defender","Providence, RI (+1 other)","","https://www.lawcrossing.com/job/id-9d180d83445fb5c72aa36571990f2de4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05951325403846225,
0,"Legal Intern","Chegg Inc.","Anywhere","Summer Legal Intern
Remote, United States

Your goal - to improve the education process and better the lives of students -- through interning in the Legal Department.

Organization: Legal Department

Role: Legal Intern

We are looking for a highly motivated self-starter to help us improve the education process and better the lives of all students. The Chegg legal team is looking for a dynamic and enthusiastic law school student to assist the legal department with various corporate legal projects and to learn how we operate.

Responsibilities
• Assist with researching legal issues (including litigation), drafting contracts, creating legal policies and administrative duties
• Assist with legal commercial and business projects
• Provide general support to Chegg attorneys and paralegals
• Collaborate with other team members on various projects as needed

Requirements
• Currently enrolled as a 1L or 2L student in good standing at an ABA-accredited law school
• Minimum 3.0 GPA
• Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder)
• Have the ability to work for 10 weeks in the summer
• Have the ability to work 40 hours per week
• Computer skills including Microsoft Word, Excel, and Outlook
• Should have excellent research, writing, and interpersonal skills
• Attention to detail, self-motivated, independent, organized and proactive
• Able to multi-task and handle multiple assignments in a fast-paced environment

This position is perfect for someone looking to enter the corporate Legal environment. The possibility exists to extend the internship in the fall and spring semesters for law school credit.

Chegg out our intern program!

http://www.chegg.com/jobs/university

See what it’s like to be a Chegg intern!

https://www.youtube.com/watch?v=Cp1m_ZtOT_4

Learn more about Chegg!

https://www.youtube.com/watch?v=YYHnkwiD7Oo

About Chegg

Chegg puts students first. As the leading connected learning platform, the company makes higher education more affordable, more accessible, and more successful for students. Chegg is a publicly-held company based in Santa Clara, California, and trades on the NYSE under the symbol CHGG. For more information, visit www.chegg.com.

United States Remote: This is a remote position which may be performed anywhere in the United States except for within the state of Colorado.

#LI- MI","https://www.linkedin.com/jobs/view/legal-intern-at-chegg-inc-2458240802?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.2856323324919692,
2,"Student Intern - Legal","Blue Cross Blue Shield of Rhode Island","Providence, RI (+1 other)","Job Information

Blue Cross Blue Shield of Rhode Island Student Intern - Legal (Summer 2021) in Providence, Rhode Island

Student Intern - Legal (Summer 2021)

Internship | Job ID 1183 | Posted: 03/02/2021

Job Description

BCBSRI is offering a unique opportunity to highly motivated students and recent graduates who thrive in a team-oriented, fast-paced, and enjoyable work environment. The student intern will learn about Medicare Advantage, the health insurance industry, and regulatory compliance. As a student intern with the Medicare & Regulatory Compliance Team, the intern will be working on real business projects that make an impact on BCBSRI. The student intern will learn about departmental and corporate functions and have opportunities to network with other BCBSRI associates.

ESSENTIAL JOB FUNCTIONS:
• Researching and preparing advice on interpretation and application of agency statutes and regulations.
• Review and update of MRC workflows and processes.
• Assist with update of MRC issue documentation and tracking.
• Completing research on a variety of legal topics.
• While this work is primarily focused on MRC, a student intern may have an opportunity to work with a variety of BCBSRI business areas focused on other BCBSRI operational processes.

QUALIFICATIONS:

Minimum Education and Experience:
• 2L, 3L, or recent graduate of accredited law school.

Preferred Education, Additional Qualifications, and Experience:
• 2L, 3L, recent graduate of accredited law school, and advanced compliance experience.

Required Knowledge, Skills, and/or Abilities:
• Ability to interpret and understand federal and state health insurance regulations.
• Ability to interpret regulatory requirements and translate into business requirements.
• Good business acumen and political savvy.
• Knowledge of business process-improvement techniques and strategies.
• Excellent verbal and written communication skills.
• Working knowledge of Microsoft Office, including Excel and Word.
• Ability to work independently.
• Ability to handle multiple priorities /projects.

Apply Online (https://us59.dayforcehcm.com/CandidatePortal/en-US/bbr/JobApplication?postingid=2306)

At Blue Cross & Blue Shield of Rhode Island (BCBSRI), diversity and inclusion are central to our core values and strengthen our ability to meet the challenges of today's healthcare industry. BCBSRI is an equal opportunity, affirmative action employer. We provide equal opportunities without regard to race, color, religion, age, national origin or ancestry, disability, veteran status, sexual orientation, genetic information, sex, gender identity or expression, and any other personal attributes protected by federal, state, or local law. For more information about our commitment to diversity and inclusion, please see our Diversity Report atbcbsri.com/diversityreport.

The law requires an employer to post notices describing the Federal laws prohibiting job discrimination based on race, color, sex, national origin, religion, age, equal pay, disability, veteran status, sexual orientation, and genetic information and gender identity or expression. Please visithttp://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdfto view the EEO is the Law poster.

BCBSRI is committed to working with and providing reasonable accommodation to individuals with disabilities. If, because of a disability, you need a reasonable accommodation for any part of our application process, please contact us at (401) 459-1050 for assistance.

During the application process, please allow a minimum of five business days before you contact our office to inquire about the status of your application. If you have any questions regarding your application or during the process, please contact Human Resources by phone at (401) 459-1050 or by email ataskhr@bcbsri.org.

Southern New England, Boston, MA, Hartford, CT, Health Data Analyst, RI Health Insurer, Healthcare, Wellness, Provider, Network, Rhode Island, RI, Intern, Internship, Student, Legal, Law, Rule, Rules, Regulation, Litigation, Compliance","https://www.internships.com/posting/bug_38960395008?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.1083479697997784,
9,"Xactly Legal Intern","Xactly","Cranston, RI","Xactly Corporation was founded to solve an important challenge: how to help people everywhere connect and unleash their human potential through seamless, perfectly aligned Sales Performance Management. Xactly’s comprehensive Sales Performance Management (SPM) suite leverages data from a sales performance AI platform to provide timely insights across the entire SPM value chain, from sales planning to execution, including compensation to optimization. Xactly takes Sales Performance Management from a dark art to a science, providing decision-makers with the data insights they need to tap the motivational power of their incentive compensation. With access to predictive analytics and benchmark data, enterprises can now optimize territories, design the right compensation and incentive plans and accelerate attainment and optimization of sales performance.

Named among the best workplaces in the U.S. by Great Place to Work seven times, recognized as a 2020 WayUp Top 100 Internship Program named as a Top Workplace by the Bay Area News Group eight times as well as The Denver Post the last 3 consecutive years, and honored with the Business Intelligence Group Sales and Marketing Technology award in 2020. Xactly is proud to be disrupting the Sales Performance Management market space. We’re building a culture of success and are looking for motivated professionals to join us!
• *THE OPPORTUNITY**

Are you a career-driven student looking to take your first step into the in-house counsel world? Xactly, the leading sales performance management software company, is seeking a full-time Legal Intern to support our Legal team starting this summer 2021. This role is a 12-week internship starting in June 2021.

As the Legal Intern in Xactly Corporation’s growing Denver office, you will have the opportunity to partner with the Legal team to gain valuable Legal experience. You will begin your internship by shadowing our Attorney’s, learning the ins-and-outs of recruiting across all functions of a “Best Place to Work” organization. Once acclimated, your day will consist of working with our Attorney’s, our Admins and other law students, we are looking for someone with a passion for Software and Privacy issues. Your summer internship will culminate in a final project, during which you will participate in an information security tabletop exercise and have the opportunity to present to Xactly’s executive staff. On top of the above, you will participate in fun intern events, will learn a lot and will have a lot of FUN!
• *THE TEAM**

Xactly’s Legal team is a group of driven, smart and inquisitive people with diverse backgrounds in the Law. We are a team that puts people first! True believers in the Xactly Culture, the Legal team ties Xactly’s C.A.R.E. (Customer Focus, Accountability, Respect and Excellence) values into everything we do. Our team is made up of three full time attorneys, as well as a contracts admin and a law clerk.
• *THE SKILL SET:**

– Working towards a Juris Doctorate degree with a graduation date between December 2020 – June 2021
– The desire to pursue a career corporate law post-graduation
– You have outstanding organizational skills
– You’re proactive, creative, entrepreneurial and results-oriented
– You are able to prioritize requests based on importance and timing
– You have a passion for learning
• *WITHIN ONE MONTH, YOU’LL:**

– Develop a working relationship with Xactly’s Legal team
– Have completed a 1:1 with each member of the Legal team and have a strong understanding of how Xactly’s Legal team operates
– Receive administrative training on how to work within a fast-growing SaaS company
– Gain a strong understanding of Sales Performance Management space and the business challenges Xactly solves
– Have a strong understanding of information security processes at Xactly
• *BY THE END OF THE INTERNSHIP, YOU’LL:**

– Have a strong understanding of how Xactly’s Legal team functions
– Have the ability to issue spot a variety of legal issues that face in-house counsel
– Have a deep understanding of how Xactly’s information security processes work
– Successfully present your end-of-internship presentation to Xactly’s executive staff

Is this role not an exact fit for you? Keep an eye on our Careers Page for other positions!

To Apply: https://www.jobg8.com/Traffic.aspx?pPlOwfK%2fiLvhYEk07Z8iJwo","https://restorejobs.com/job/xactly-legal-intern-80?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05951325403846225,
7,"Summer Internship","Congressman David Cicilline","Pawtucket, RI (+1 other)","","https://www.lawcrossing.com/job/id-3a4993327d844b200abf48ed10e19830?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05951325403846225,
5,"Fall Internship","State of Rhode Island Attorney General's Office","Providence, RI","","https://www.lawcrossing.com/job/id-a5b86c5c3eea42f202f17b6b62a2866c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05951325403846226,
1,"Summer Legal Intern Program","State of Rhode Island Attorney General's Office","Providence, RI","","https://www.lawcrossing.com/job/id-75c8e64ade360e8880e8fbc46d6a930c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05951325403846226,
6,"Remote Legal Internships","Virtual Internships","Anywhere","Why Complete a Remote Legal Opportunity?

As a direct result of the burgeoning business and entrepreneurship scene in Asia, the need for domestic and international law has risen and increased the presence of global firms engaged in all aspects of the legal landscape. The legal career field placements allow undergraduates the unique opportunity to work with individual lawyers and partners to support their casework and other needs of assistance. Public policy placements also have a rich presence in many of our locations allowing political science, criminal justice, and international relations students to gain industry exposure.

Students who are looking to bolster their law school applications may consider enrolling in a remote legal internship. The opportunity to support a law firm or other legal entity will provide the first hand perspective into the vast complexities and challenges of the legal field. From lawyers, to mediators, to legal consultants, our host companies focus on a great variety of law disciplines all around the world.

Sample Tasks
• Account Management
• Assessing Claims
• Client Relations and Support
• Commercial Awareness
• Content Creation
• Contentious Negotiations / Application of the Law
• Country-Specific Policies and Laws
• Developing Arguments
• Due Diligence Activities
• Event Management
• Legal Document Drafting & Review
• Legal Research & Analysis
• Marketing & Promotion
• Oral and Written Communication
• Translating (if applicable)

Sample Placements
• Support a large commercial law firm in with the preparation and review of various corporate transaction documents and commercial contracts as well as drafting articles about legal comparisons between China and specific markets.
• Support one of the largest and oldest private full-service law firms in Beijing in drafting and amending legal documents, including but not limited to executive summaries, contracts and regulatory overviews. Assisting with legal due diligence in IPO/Reverse Merger/Self-filling projects.

What is a Remote Internship?

Remote internships are internships that are done completely online or remotely, from the comfort of your own home. You are placed with a company, and have a supervisor that you report to. You are in regular contact with the supervisor/team via virtual methods such as video call, phone call, email and instant messenger. Companies exist both domestically and internationally, with placements spanning over 3500 different companies across 70 countries.

Placement Process

Virtual Internships guarantees a placement for all students accepted into our program. Review the Linear Placement Process to learn more.

Working with a Provider

As Virtual Internships is a provider, we work to not only provide you a guaranteed internship that meets your skills and interests, but provide scaffolding and support including, weekly discussions, online professional development curriculum, and coaching calls to support your post-program employment. Applying to our program means that if accepted you are guaranteed an internship in the Career Field (we have 18 to choose from) of your choice, and aligned to your university’s dates and requirements.

Internship Dates
• We have a start date every other week!
• Interns can select to work 10, 20 or 30 hours a week
• Interns can work a minimum of 4 weeks or a maximum of 16 weeks.

What is Included?

This Is An Unpaid Experience But Offers a Full Time Work Experience With a Global Established Company As Well As Additional Support To Include
• Guaranteed Virtual International Internship in the country or career field of choice
• Dedicated Program Experience Manager to check-in weekly with interns
• Assigned Internship Coach to complete midpoint and end of program coaching calls with delivery of Global Career Management Plan (GCMP) and Global Employability Certificate
• Access to CareerBridge, our Global Internship Curriculum walking students through resume creation, interview prep, time management, remote work and more.
• Weekly Group Discussions or Business Webinars covering a range of topical themes
• Full End of Program Report including supervisor evaluation, student assessment, and GCMP","https://www.linkedin.com/jobs/view/remote-legal-internships-at-virtual-internships-2493784951?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.06963050710571438,
4,"Virtual Intern - Legal","cbre","Providence, RI","Job Information

CBRE Virtual Intern - Legal in Providence, Rhode Island

Virtual Intern - Legal

United States

New

Administration/Operations

Requisition # 21005687

Post Date 10 hours ago

As a Fortune 500 worldwide leader in real estate services, CBREs more than 100,000 professionals provide exceptional outcomes for clients in 60+ countries. CBRE offers a broad range of integrated real estate services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. When it comes to real estate, CBRE sees potential everywhere. We turn scale into strength, expense into performance, and property into prosperity.

CBREs Legal Department seeks a law clerk for a full-time legal internship position, working remotely approximately 40 hours per week during the Summer. The position will be a virtual internship, reporting to attorneys in the Chicago, LA and NY offices of the CBRE Americas Legal Team.

Responsibilities

Under the supervision of the Legal Departments team of attorneys, the candidate will be exposed to transactional law and litigation practice, primarily in the areas of commercial brokerage and real estate services, and general corporate law. Responsibilities include, but are not limited to, legal research and writing, interpretation and application of laws and regulations, and reviewing, evaluating and editing contracts and other legal documents.

Qualifications

This internship is designed for candidates with a strong academic credentials and excellent legal research and writing skills. The position is limited to 2L and 3L law students.

Please apply online with your resume, writing sample and law school transcript.

US Company Profile

About CBRE Group, Inc.

CBRE Group, Inc. (NYSE:CBRE), a Fortune 500 and S&P 500 company headquartered in Los Angeles, is the worlds largest commercial real estate services and investment firm (based on 2019 revenue). The company has more than 100,000 employees (excluding affiliates) and serves real estate investors and occupiers through more than 530 offices (excluding affiliates) worldwide. CBRE offers a broad range of integrated services, including facilities, transaction and project management; property management; investment management; appraisal and valuation; property leasing; strategic consulting; property sales; mortgage services and development services. Please visit our website at www.cbre.com.

CBRE, Inc. is an Equal Opportunity and Affirmative Action Employer (Women/Minorities/Persons with Disabilities/US Veterans","https://www.internships.com/posting/bug_38959841079?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.15439585636825195,
8,"Intern, Commercial & Legal Process","SAP","Providence, RI","COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That's why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.

SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it's the best-run businesses that make the world run better and improve people's lives.

Contract Duration: 6 months

Contract Hours: 40 hours/week

Anticipated Start Date: March 15, 2021

Office Location: Newtown Square PA

PURPOSE & OBJECTIVE OF POSITION

Support the Sales Process Office team in providing key managed services to the Sales Process Office and the larger Commercial and Legal Process Office (CLPO). The Managed Services team provides ongoing support to the organization including project management support, centralized enablement content design, development and delivery, and communication support, reporting, and analytics. The team works with all Commercial & Legal Process Office team members to effectively drive central processes to improve productivity and to reduce redundancy of work across the teams.

EXPECTATIONS & TASKS

Main responsibilities include:

Support CLPO responsibilities, for the following:

- Enablement content, programs, projects, and activities
- Jam site/web site maintenance
- Communication administration and measurement of reach and impact
- Enablement participation and consumption reporting and feedback
- Ad-hoc reporting to support top business priorities","https://www.fox8jobs.com/jobs/intern-commercial-legal-process-providence-rhode-island/261658927-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.084426989686749,Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
