Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
12,"Intern – Multimedia Planning & Inventory","Univision Communications Inc.","New York, NY","As the leading company reaching Hispanic America today, Univision delivers premier entertainment, news, and sports content to U.S. Hispanics through its television, radio, and interactive platforms. Univision is looking to recruit top talent for our Internship program to join our mission of informing, entertaining, and empowering U.S. Hispanic consumers. The ideal candidate is at the top of their class, is a self-starter, and is eager to learn in a team environment. Our internship program strives to grow our interns’ knowledge of the media industry and expand their networking opportunities.

Summer Program Details
9-week paid program; maximum of 40 hours/per week
Program starts June 7th, 2021 through August 6th, 2021
Exposure to various business leaders and company initiatives
Training and development workshops to build transferrable business skills
Projects are designed to build knowledge, skills, and experience in the Media Industry


General Information

Intern will gain insight into cross platform selling, streaming & sports selling.

Responsibilities
Work alongside the network planning & inventory teams to assist in upfront planning
Run and update daily/weekly reports
Maintain accounts up to date
Assist with Sports inventory management specifically - with a huge slate of soccer matches planned for the summer months
Assist with cross-platform selling & advanced audience target deals

Basic Qualifications
Must be pursuing a bachelor’s degree at an accredited institution
Must be a rising Jr., rising Sr., or recent May 2021 graduate
Must have a cumulative GPA of 3.0 or above
Proficient Excel skills required
Proficient PowerPoint skills required
Results oriented and attention to details
Ability to work in a team setting as well as independently with minimal supervision

Desired Qualifications
Experience with Pivot- Tables on Excel
Ability to thrive in ambiguity
Excellent writing, communication, and presentation skills
Team-oriented mindset
Quick learner and curious about the business
Reliable, organized and possess excellent writing and interpersonal skills
Preferred: Proficient Microsoft Office, Smartsheet, OneDrive, and firm knowledge of internet navigation skills required
Previous internship experience and/or participated in college clubs/organizations, and/or in-depth coursework in a related field
Ability to identify issues, analyze data, develop, recommend, and implement solutions

Eligibility Requirements
Must be 18 years of age or older
Employment/education will be verified
Must be currently authorized to work in the United States on a full-time basis
Must be willing to work from the offices in Teaneck, NJ, fully remote, and/or hybrid
Univision is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.","https://www.linkedin.com/jobs/view/externalApply/2497243116?url=https%3A%2F%2Funivision%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FExternal%2Fjob%2FNew-York-NY%2FIntern---Multimedia-Planning---Inventory_R008381%3Fsource%3Dlinkedin&urlHash=jK5E&refId=3b0aa86a-8996-45ff-b465-af3de92bcf5a&trackingId=ZFXIaacQwfcfyD2qH8wefQ%3D%3D&trk=public_jobs_apply-link-offsite",0.026387257658765397,
6,"Intern – Multimedia Planning & Inventory","Univision Communications Inc.","New York, NY","As the leading company reaching Hispanic America today, Univision delivers premier entertainment, news, and sports content to U.S. Hispanics through its television, radio, and interactive platforms. Univision is looking to recruit top talent for our Internship program to join our mission of informing, entertaining, and empowering U.S. Hispanic consumers. The ideal candidate is at the top of their class, is a self-starter, and is eager to learn in a team environment. Our internship program strives to grow our interns’ knowledge of the media industry and expand their networking opportunities.

Summer Program Details
• 9-week paid program; maximum of 40 hours/per week
• Program starts June 7th, 2021 through August 6th, 2021
• Exposure to various business leaders and company initiatives
• Training and development workshops to build transferrable business skills
• Projects are designed to build knowledge, skills, and experience in the Media Industry

General Information

Intern will gain insight into cross platform selling, streaming & sports selling.

Responsibilities
• Work alongside the network planning & inventory teams to assist in upfront planning
• Run and update daily/weekly reports
• Maintain accounts up to date
• Assist with Sports inventory management specifically - with a huge slate of soccer matches planned for the summer months
• Assist with cross-platform selling & advanced audience target deals

Basic Qualifications
• Must be pursuing a bachelor’s degree at an accredited institution
• Must be a rising Jr., rising Sr., or recent May 2021 graduate
• Must have a cumulative GPA of 3.0 or above
• Proficient Excel skills required
• Proficient PowerPoint skills required
• Results oriented and attention to details
• Ability to work in a team setting as well as independently with minimal supervision

Desired Qualifications
• Experience with Pivot- Tables on Excel
• Ability to thrive in ambiguity
• Excellent writing, communication, and presentation skills
• Team-oriented mindset
• Quick learner and curious about the business
• Reliable, organized and possess excellent writing and interpersonal skills
• Preferred: Proficient Microsoft Office, Smartsheet, OneDrive, and firm knowledge of internet navigation skills required
• Previous internship experience and/or participated in college clubs/organizations, and/or in-depth coursework in a related field
• Ability to identify issues, analyze data, develop, recommend, and implement solutions

Eligibility Requirements
• Must be 18 years of age or older
• Employment/education will be verified
• Must be currently authorized to work in the United States on a full-time basis
• Must be willing to work from the offices in Teaneck, NJ, fully remote, and/or hybrid

Univision is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law","https://www.linkedin.com/jobs/view/intern-%E2%80%93-multimedia-planning-inventory-at-univision-communications-inc-2497243116?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.031947822409921584,
10,"Multimedia Intern (Remote)","SJR","New York, NY","At SJR, we’re a diverse group of individuals dedicated to one goal: elevating the quality of content on the web. We create websites, mobile apps, and social media platforms for our clients, which we populate daily with high quality media including articles, mini-documentaries, animations, photographs and more.
 Storytelling is at the heart of what we do, and we’re looking for energetic, creative people who are ready to jump right in to help us uncover and tell great stories.
 But enough about us, let’s talk about you. 
 Who you are:
 You’re a multimedia storyteller with a collaborative spirit. You have a strong willingness to experiment and learn new skills and are knowledgeable about the digital media landscape.
 Multimedia interns are part of the production team and support various client teams on a wide range of projects such as short-form social content to episodic documentary-style videos. Ideally, you have a background or demonstrable interest in production, multimedia content, or a related field. You’re comfortable supporting videographers and photographers on set and wielding the tools of editing in the studio. 
 Finally, you consume a lot of media (don’t worry, you can admit to us how many television shows you binge-watched this month), enjoy staying on top of emerging trends, and spend a lot of time on the Internet. Bonus points if you love GIFs as much as we do, and have a stance on how the word GIF should be pronounced.
  What you’ll need:
 A collaborative spirit to work closely with our editorial and creative teams to help create multimedia for branded content campaigns
A passion for creating multimedia that can live across platforms, from social media to news publications
A background in design thinking and multimedia creation to internal brainstorms to aid in developing creative strategies for both new and existing clients
Project management skills to act as a liason to guide internal and client teams on campaign execution
A degree in Photography, Social Media, Film related field of study
Proficiency with Adobe Creative Suite such as Photoshop and Premiere
Knowledgeable on lighting, sound and Canon camera equipment (RED gear knowledge a plus)
Capable of researching social media trends 
Self-motivated and determined, takes direction well but also takes initiative
Familiar with Adobe Premiere , Photoshop / and Illustrator
Can prioritize responsibilities and manage time wisely
Has a valid driver’s license a plus, but not necessary
  If this sounds like you, please apply with a cover letter, resume and reel or portfolio.
 About SJR's Remote Internship ProgramProgram dates: June 7-August 13, 2021
SJR accepts college students and recent graduates to our 10-week internship program, which has sessions in the summer, fall and spring. At SJR, we are committed to actively building a diverse, equitable and inclusive workplace where everyone feels welcomed valued and heard, and is treated with dignity and respect. We’re a close-knit team of people who love what we do, and we do a lot, from journalism to website development, filming videos to designing graphics. We're looking for creative people who are ready to jump right in and join our team, voted Most Innovative Culture by Digiday. If you're curious and passionate about digital media, have a willingness to learn new things, and thrive in a fast-paced environment, we want to hear from you.
  Email internships@groupsjr.com for more information about the program.

About SJR
SJR is the 2020 Content Marketing Institute’s Agency of the Year. We are a diverse team of journalists, creatives and data scientists on a mission to help companies and brands embrace transformative content. We believe in the limitless power of storytelling and work with the world’s leading corporations, organizations and institutions to sharpen the conversation, decode complexity, transfer knowledge and build trust. SJR is a subsidiary of WPP.

For more information, please visit our website and follow SJR on our social channels via LinkedIn and Instagram. ","https://www.linkedin.com/jobs/view/externalApply/2473416564?url=https%3A%2F%2Fgroupsjr%2Ebamboohr%2Ecom%2Fjobs%2Fview%2Ephp%3Fid%3D374%26source%3DaWQ9NA%253D%253D&urlHash=gQXa&refId=3b0aa86a-8996-45ff-b465-af3de92bcf5a&trackingId=9kvSBaDN7lFlBNCi3jYAXA%3D%3D&trk=public_jobs_apply-link-offsite",0.058025622143850764,
17,"Research Intern - Audio and Acoustics","Microsoft","Redmond, WA","Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.

Audio and Acoustics Research Group

The Audio and Acoustics Research Group has several openings in the areas of speech enhancement, spatial audio, audio analytics, and audio devices for communication and interaction. The group actively publishes in scientific conferences and journals, and has created technologies for many Microsoft products, including Kinect for Xbox and Microsoft HoloLens. You can find more about the group at https://www.microsoft.com/en-us/research/group/audio-and-acoustics-research-group/.

Responsibilities

Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, interns learn, collaborate, and network for life. Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, students are paired with mentors and expected to collaborate with other interns and researchers, present findings, and contribute to the vibrant life of the community. Research internships are available in all areas of research, and are offered year-round, though they typically begin in the summer.

Qualifications

In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position. After you submit your application, a request for letters may be sent to your list of references on your behalf. Note that reference letters cannot be requested until after you have submitted your application, and furthermore, that they might not be automatically requested for all candidates. You may wish to alert your letter writers in advance, so they will be ready to submit your letter.

Required Qualifications
Must be currently enrolled in a PhD program in Computer Science or a related STEM field.
Must have one year of experience with signal processing of audio, video, multimedia, or other signals.

Preferred Qualifications
Good publication record
Experience with machine learning for signal processing for audio and related sensor data is strongly preferred.
Experience applying algorithms within practical systems is a big plus.
Hands-on design and system implementation skills, including real-time data processing.
Strong coding skills preferred in MATLAB, Python or C/C++.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.","https://www.linkedin.com/jobs/view/externalApply/2464860965?url=https%3A%2F%2Fcareers%2Emicrosoft%2Ecom%2Fus%2Fen%2Fjob%2F928636%2FResearch-Intern-Audio-and-Acoustics%3Fjobsource%3Dlinkedin%26utm_source%3Dlinkedin%26utm_medium%3Dlinkedin%26utm_campaign%3Dlinkedin-feed&urlHash=xqFA&refId=3b0aa86a-8996-45ff-b465-af3de92bcf5a&trackingId=oNPsgz%2BNYHtfU%2Bm29aluFw%3D%3D&trk=public_jobs_apply-link-offsite",0.015246356047199025,
21,"News Intern","Marshfield Community Television","Marshfield, MA","Job Title: News Intern

Hours per week: 10-15 hrs/week (depending on college program requirements)

Job grade level: Intern. This is a 3-month or full semester program, and opportunity for college credit.

Requirements:
-Must be enrolled in a 2 or 4 year university
-Some experience with multimedia news production, including film production and writing
-Organized, self motivated, good writing skills, and can work well under pressure with fast turnaround times
-Must work well with other and have good people skills
-An understanding of the community is a plus but not required
MCTV is proud to announce an internship program enabling students to get the hands-on, full experience necessary to enter the broadcast journalism world. The program is open to all students who are majoring in Journalism, English, Communications or related field of study. You’ll be shooting, writing, and editing stories for our newscast. Students may also earn college credit depending upon the specifications of their particular school or can volunteer for non-credit. The ability to write stories in a clear, concise, and compelling manner is extremely important. Prior technical experience is a bonus but not a requirement. You’ll be expected to produce at least one news story per week, with an average length of 2 to 3 minutes. You will be expected to do some research in order to find news stories and upcoming events that are relevant to the area. This is a great opportunity to have a resume reel ready by the time you finish your internship.
Job Types: Part-time, Internship
Pay: $15.00 per hour","https://www.linkedin.com/jobs/view/externalApply/2456602885?url=https%3A%2F%2Fcsscareers-bain%2Eicims%2Ecom%2Fjobs%2F4856%2Feditorial-assistant-%2528internship%2529%2Fjob%3Fhub%3D8%26in_iframe%3D1&urlHash=H74F&refId=3b0aa86a-8996-45ff-b465-af3de92bcf5a&trackingId=amHw10NksgdnaPdQKL5mLQ%3D%3D&trk=public_jobs_apply-link-offsite",0.02432005316280773,
9,"Multimedia Intern (Remote)","Group SJR","Anywhere","At SJR, we’re a diverse group of individuals dedicated to one goal: elevating the quality of content on the web. We create websites, mobile apps, and social media platforms for our clients, which we populate daily with high quality media including articles, mini-documentaries, animations, photographs and more.

Storytelling is at the heart of what we do, and we’re looking for energetic, creative people who are ready to jump right in to help us uncover and tell great stories.

But enough about us, let’s talk about you.

Who you are:

You’re a multimedia storyteller with a collaborative spirit. You have a strong willingness to experiment and learn new skills and are knowledgeable about the digital media landscape.

Multimedia interns are part of the production team and support various client teams on a wide range of projects such as short-form social content to episodic documentary-style videos. Ideally, you have a background or demonstrable interest in production, multimedia content or a related field. You’re comfortable supporting videographers and photographers on set and wielding the tools of editing in the studio.

Finally, you consume a lot of media (don’t worry, you can admit to us how many television shows you binge-watched this month), enjoy staying on top of emerging trends, and spend a lot of time on the Internet. Bonus points if you love GIFs as much as we do, and have a stance on how the word GIF should be pronounced.

What you’ll need:
• A collaborative spirit to work closely with our editorial and creative teams to help create multimedia for branded content campaigns
• A passion for creating multimedia that can live across platforms, from social media to news publications
• A background in design thinking and multimedia creation to internal brainstorms to aid in developing creative strategies for both new and existing clients
• Project management skills to act as a liason to guide internal and client teams on campaign execution
• A degree in Photography, Social Media, Film related field of study
• Proficiency with Adobe Creative Suite such as Photoshop and Premiere
• Knowledgeable on lighting, sound and Canon camera equipment (RED gear knowledge a plus)
• Capable of researching social media trends
• Self-motivated and determined, takes direction well but also takes initiative
• Familiar with Adobe Premiere , Photoshop / and Illustrator
• Can prioritize responsibilities and manage time wisely
• Has a valid driver’s license a plus, but not necessary

If this sounds like you, please apply with a cover letter, resume and reel or portfolio.

About SJR's Remote Internship ProgramProgram dates: June 7-August 13, 2021

SJR accepts college students and recent graduates to our 10-week internship program, which has sessions in the summer, fall and spring. At SJR, we are committed to actively building a diverse, equitable and inclusive workplace where everyone feels welcomed valued and heard, and is treated with dignity and respect. We’re a close-knit team of people who love what we do, and we do a lot, from journalism to website development, filming videos to designing graphics. We're looking for creative people who are ready to jump right in and join our team, voted Most Innovative Culture by Digiday. If you're curious and passionate about digital media, have a willingness to learn new things, and thrive in a fast-paced environment, we want to hear from you.

Email internships@groupsjr.com for more information about the program.

About SJR

SJR is the 2020 Content Marketing Institute’s Agency of the Year. We are a diverse team of journalists, creatives and data scientists on a mission to help companies and brands embrace transformative content. We believe in the limitless power of storytelling and work with the world’s leading corporations, organizations and institutions to sharpen the conversation, decode complexity, transfer knowledge and build trust. SJR is a subsidiary of WPP.

For more information, please visit our website and follow SJR on our social channels via LinkedIn and Instagram","https://www.glassdoor.com/job-listing/multimedia-intern-remote-group-sjr-JV_IC1132348_KO0,24_KE25,34.htm?jl=4047074561&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.12950645919286374,
26,"Multimedia Production Intern","Lambert","Grand Rapids, MI","Company Overview

Lambert is a strategic communication, integrated marketing and investor relations firm providing national global clients with integrated solutions that drive consideration, change opinion, build awareness, and strengthen consumer loyalty and brand reputation. Headquartered in the Midwest, Lambert has offices in Detroit, Grand Rapids, and Lansing, Mich., New York, Phoenix and Houston. Lambert works with Fortune 100 corporations, public organizations, universities, professional associations, social impact groups, school districts, and publicly traded companies. Lambert employees are tenacious, clever, make big plays, work honorably, and are committed to and focused on team success. Our Automotive & Mobility Practice provides communications counsel and implementation to automotive manufacturers, component suppliers and service providers from all tiers of the supply chain, as well as some of the world’s leading aftermarket technology makers and system integrators.

Multimedia at Lambert is a full-service content production team centered around enhancing client strategies through innovative tactical content. All members of the multimedia team are skilled in multiple areas of production and take pride in our ability to work efficiently and creatively.

Job Summary

This position supports the multimedia team in all aspects of photo/video/audio production. This could include, but not be limited to, on-site shoots, editing product photos, conducting remote livestreams, and more. The intern will also be expected to contribute ideas on content direction, so he/she must be confident in collaborating and bringing forth new ideas. This is a great opportunity for a recent graduate to get their foot in the door in a fast-paced agency setting, meet new people and gain hands-on experience across a variety of industries.

Essential Responsibilities And Duties
Engages in a series of multimedia activities in support of client account work
Demonstrate the ability to capture and edit video, photo, and audio
Be able to identify necessary pre- and post-production steps required to successfully deliver a video project
Demonstrate the ability to manage time and resources on a deadline
Be able to work independently, while also contributing to a team environment
Locates opportunities to apply expertise and add value to projects

Required Qualifications And Skills
Ability and willingness to work 20 hours per week, minimum 3 days, with a 16-week commitment
Familiarity with editing process/video post-production
Understand video formats for television, online and mobile platforms
Can easily stay organized
Able to understand the tools to manage client work
A passion for the industry and openness to learning on your own as well as participate in firm wide training

Preferred Education And Experience
Pursuing or recently completed a broadcasting, film, video production, telecommunications, communications/journalism, or business/marketing degree.
The Ideal Candidate
Personal Accountability
Eagerness to Learn
Self-Aware
Intrinsically motivated
Hard-Working
Resilient
Collaborative
Positive/Glass Half Full
Inclusive
Open to New Ideas
Creative
Resourceful
We want to hear from you!

We get a lot of resumes, so to help us get to know you better, please follow these important instructions. To apply, please email us a resume and a short video cover “letter”. When creating your “cover letter”, please tell us why you want to work for Lambert and what makes you qualified for this role.

This job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee. Duties, responsibilities and activities may change or new ones may be assigned at any time with or without notice.

Equal Opportunity Employer - It is the policy of the company to comply with all employment laws and to afford equal employment opportunity to individuals in all aspects of employment, including in selection for job opportunities, without regard to race, color, religion, sex, national origin, age, disability, genetic information, veteran status, or any other consideration protected by federal, state or local laws.

Powered by JazzHR

dfaL74xtu3","https://www.linkedin.com/jobs/view/externalApply/2479922251?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fmcclatchy%2Fjob%2FoLi7efw8%3F__jvst%3DJob%2BBoard%26__jvsd%3DLinkedIn&urlHash=WHVO&refId=3b0aa86a-8996-45ff-b465-af3de92bcf5a&trackingId=j%2BzDhVz55ALmlBTEh5IEsg%3D%3D&trk=public_jobs_apply-link-offsite",0.016764638987613385,
11,"Multimedia Content Intern","Morning Brew","New York, NY","Hey there! We’re Morning Brew: a bunch of smart, dedicated people focused on disrupting and redefining the traditional business news landscape. Also, we’re nice and have great swag. We are looking for a creative, energetic and open-minded Multimedia Intern to join our fast-growing team.

While this position is based in New York City, office colocation will be contingent on stay-at-home orders; until then, all employees are working remotely.

It's our goal to make the business world more engaging for the modern business leader. How? By giving our audience the news they need in a way they actually enjoy across newsletters, podcasts, video, social, and (soon) even more, we're building something special. Want in? Read on.

Overview

As a multimedia intern, you will work across the audio, video and social media teams at the Morning Brew. You will support the production of a range of videos, podcasts and emerging media products! You will have the opportunity to engage in all aspects of the pre-production/development, production, and post-production processes. You are excited to learn, launch and invent ways to engage with the Brew’s audience across platforms. You also believe in the power of audio, video and social to tell fascinating business stories and showcase unique voices/perspectives.

Here’s What You’ll Be Working On
Researching, pitching, workshopping topics for upcoming episodes of shows
Gathering B-roll, organizing footage, perhaps editing … if that is in your wheelhouse
Proofreading, fact-checking and organizing release forms for talent
Conduct research for and help fact-check personal finance content
Transcribe interviews
What makes you qualified?
Undergraduate or professional degree
Proficiency in audio OR video editing OR motion graphics design
Passion and deep understanding of social platforms
Relentlessly curious
Excellent attention to detail
Positive attitude","https://www.linkedin.com/jobs/view/externalApply/2454305755?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fmorningbrew%2F6afcbc12-ece5-441e-99e6-afed02935ace&urlHash=ZPD_&refId=3b0aa86a-8996-45ff-b465-af3de92bcf5a&trackingId=63xufhH7XM6UlUF%2BJQjxvw%3D%3D&trk=public_jobs_apply-link-offsite",0.028879387520794265,
13,"2021 Research Intern – Multimedia Systems","Adobe","California, United States","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Adobe Research is looking for brilliant minds who are excited about pushing the state of the art in research areas that impact Adobe’s products and future endeavors. Research and Engineering internships for Spring, Summer and Fall of 2021 are now open to applicants pursuing PhD and master's degrees. To protect your health and ours, all internships will be remote.

Working directly with one or more researchers, you will have access to robust computational resources and world-class product and design teams, empowering you to see your work touch millions of screens across the globe.

Summary

At Adobe Research, we work on future-looking multimedia systems technologies to enable next-generation content (images, videos, AR/VR) experiences. Our scientists and engineers tackle problems such as: (1) compression algorithms for images and videos, (2) media streaming – ML optimized video and AR/VR streaming (3) data-driven content generation and multimodal transformation, (4) image and video understanding, (5) novel consumption experiences and engagement prediction. We seek to empower our users to create compelling multimedia content and help our customers to maximize the value of their creations through data-driven consumption experiences.

Our research labs actively publish in leading journals and conferences, invent new products, and create compelling creative tools. We are especially interested in fostering ongoing collaborations that last beyond the internship and become part of your PhD thesis.

What You Will Do
Under the direction of an Adobe Research mentor, pursue a research problem with applicability to Adobe’s products, and with the possibility of academic publication
Develop new algorithms, run experiments, and produce demonstration prototypes
Document and present your work, both verbally and in writing

What You Will Need
Current PhD or master's student in computer science, electrical engineering, or related field
Sufficient research skills and background in your chosen subject area
Strong communication and teamwork skills

At Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.

If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.

Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, or veteran status.","https://www.linkedin.com/jobs/view/externalApply/2427883964?url=https%3A%2F%2Fadobe%2Ewd5%2Emyworkdayjobs%2Ecom%2Fexternal_university%2Fjob%2FRemote-California%2FXMLNAME-2021-Research-Intern---Multimedia-Systems_R102292%2Fapply%3Fsource%3DLinkedIn&urlHash=0_6G&refId=3b0aa86a-8996-45ff-b465-af3de92bcf5a&trackingId=rDsot0iiJXQtNM5QgSozVw%3D%3D&trk=public_jobs_apply-link-offsite",0.014593489421794805,
7,"Multimedia Intern","International Rescue Committee","Anywhere","Requisition ID: req13983

Job Title: Multimedia Intern

Sector: Communications

Employment Category: Intern

Employment Type: Part-Time

Open to Expatriates: No

Location: United States

Job Description

This is a US remote opportunity.

The IRC Resettlement, Asylum and Integration (RAI) department creates opportunities for refugees and other vulnerable migrants to survive and thrive in the United States and in Europe. With a network of 25 offices in 15 U.S. states, RAI serves more than 35,000 individuals each year, among them some 10,000 newly arrived refugees, through a diverse portfolio of programs. In Europe, IRC operates across four countries and provides technical assistance to more than 10 others to ensure that the most vulnerable asylum-seekers and migrants have the necessary support to feel safe and well, get the services they need day to day, and become financially independent from the time they arrive, throughout their journeys, and in their new homes. The Research Analysis and Learning (RAL) works to strengthen RAI's evidence-based programs in the United States and Europe and to better understand our impact on the lives of the clients that we serve.

SCOPE OF INTERN WORK: The RAL Multimedia Intern will develop short animations and videos to promote research and evaluation projects, learning initiatives and staff exchanges.

COMMITMENT: 6 months starting in April 2021

RESPONSIBILITIES:

In collaboration with the Senior Director for Research, Analysis and Learning, develop short educational animations and videos

Participate in weekly check-ins with supervisor and weekly RAL team meetings

Collaborate with RAL staff and other RAL interns

REQUIREMENTS:

Experience editing short videos (on any platform)

Experience with or willingness to learn Vyond to create animations

Excellent communication and writing skills

LEARNING OBJECTIVES:

1.The intern will strengthen skills in use of video to further staff development objectives.

2.The intern will gain skills in using animation to simplify complex ideas.

3.The intern will gain understanding of how multimedia is used in the humanitarian sector.

This position reports to the Senior Director, Research, Analysis and Learning

IRC leading the way from harm to home.

IRC is an Equal Opportunity Employer IRC considers all applicants on the basis of merit without regard to race, sex, color, national origin, religion, sexual orientation, age, marital status, veteran status or disability","https://www.ziprecruiter.com/c/International-Rescue-Committee/Job/Multimedia-Intern/-in-New-York,NY?jid=d7a7aef2aacb8800&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04090272085394042,
