Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
5,"Pharmacy Intern","Wegmans Food Markets","Northborough, MA","As a Professional Pharmacy intern, you will be scheduled to work on an as needed, temporary basis to support delivering vaccines and related activities, earning valuable training and knowledge needed to be a successful licensed Pharmacist. Under the guidance of a mentor, you will bring your coursework to life, gain a comprehensive knowledge of the retail pharmacy industry and be an active contributor in the department and learn to provide exceptional care to customers while effectively managing Pharmacy operations.

What will I do?
Deliver immunizations with high standards and incredible customer service
Work with your mentor, members of management, other pharmacists and technicians and team members in the department to learn to better serve customer needs
Answer questions, provide counseling on prescriptions, and relay any pertinent information to customers
Comply with all federal, state, and HIPAA regulations; ensure company guidelines, standards, policies, and procedures are followed

Required Experience, Education, Skills
Pharmacist Intern Permit
Certified Immunizer
In progress towards earning Pharmacy degree in an accredited School of Pharmacy

Preferred Education
Doctor of Pharmacy (PharmD)","https://www.linkedin.com/jobs/view/externalApply/2469461781?url=https%3A%2F%2Fjobs%2Ewegmans%2Ecom%2Fjob%2Fnorthborough%2Fpharmacy-intern%2F1839%2F6467799360&urlHash=d4iO&refId=69e2410c-88b6-4bac-ad04-c13f05b7bc7b&trackingId=fBk8Qr2gEvvpwTcFSSQS9g%3D%3D&trk=public_jobs_apply-link-offsite",0.0505528844137972,
6,"Clinical Pharmacy Program Intern - Hyattsville","Giant","Hyattsville, MD","Job Description

Clinical Pharmacy Program Intern

Key Responsibilities
Impose a new POV on Social network elevations with improved messaging working with our marketing to continue to elevate our pharmacy brand with our customers and communities
Develop and roll out a one stop tracking mechanism for all metrics
Clinical webinar and webisode development in conjunction with our clinical team
work and expand current work on a CPA (Collaborative Practice Agreement) with providers office to send patients to pharmacies and work with tandem with physicians.
Redefine customer service plan providing best in class in service plan and roll out and implement with RPMs and stores.
Provide insight to new virtual platforms with environmental changes due to COVID and racial Injustices as it impacts our pharmacy teams
Key Skills:
Strong analytical mindset and ability
Expert project management skills
Excellent communication skills
Essential Skills

The Giant Food intern program is intended to create a beneficial relationship and growth opportunity for Giant and the collegiate students in our local communities we serve.

As a Giant Food Intern, You Will
Gain real business and professional experience in corporate environment
Deliver work presentation to the Giant Food Operating Committee
Develop leadership and professional skills via Learning & Development offerings
Participate in community and/or company sponsored events
Attend team building, networking events and sporting events and other extracurricular opportunities
Get paired with mentor to help guide professional journey
Receive college credit through their institution
Work full-time, M-F, 8-5 from June 7th to August 13th
Get paid $20/hr with a weekly paycheck!","https://www.linkedin.com/jobs/view/externalApply/2490855561?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3Df3c5b821b889%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadaaddd7add8ddb8adefdd88ddefddfaadefdd83de8cdc7fec3ddcg3e&urlHash=17lq&refId=69e2410c-88b6-4bac-ad04-c13f05b7bc7b&trackingId=rs%2B0nRfjj4MNrKDQWQWjOQ%3D%3D&trk=public_jobs_apply-link-offsite",0.023057163404086062,
1,"PHARMACY INTERN","PharMerica","Warwick, RI","Our Company Overview

Join our PharMerica team! PharMerica is a closed-door pharmacy where you can focus on fulfilling the pharmaceutical needs of our long-term care and senior living clients. We offer a non-retail pharmacy environment. Our organization is in high growth mode , which means advancement opportunities for individuals who are looking for career progression!

We Offer

Flexible schedules

Full-time, part-time and PRN opportunities

Competitive pay

Shift differential

Premium pay for holidays

Health, dental, vision and life insurance benefits

401k

Paid-time off

Tuition reimbursement

Non-retail/Closed-door environment

Our Pharmacy group focuses on providing exceptional customer service and meeting the pharmacy needs for hospitals, rehabilitation hospitals, long-term acute care hospitals, and other specialized care centers nationwide. If your passion is service excellence and top-quality care come join our team and apply today!

Responsibilities
Works under direct supervision of a Registered Pharmacist, fills prescriptions and prepares IV’s
Works with Billing Supervisor to enter data into computer system to fill prescriptions and to obtain reimbursement payment
Works under direct supervision of a Registered Pharmacist in prepackaging medication for dispensing according to standards and government regulations
Assists the Pharmacist in final checking of filled prescriptions, which may include stating the medication for RPh final review and/or packaging of medication post RPh final review and coordinating accurate and timely delivery to the customer
Assists Pharmacy Management in maintaining good inventory practices which may include receiving and rotating incoming medications and supplies, posting lot numbers, expiration dates and assisting in physical inventory
Works with Technician Supervisor in maintaining a clean/safe work environment, checking equipment for calibration, safety and cleanliness

Qualifications
Required: Currently enrolled in Pharmacy school
Required: Ability to use a computer
Required: Detail oriented; goal oriented, team player, oral communication
Licenses/Certifications: As required by state and federal law.

About Our Line Of Business

PharMerica is a full-service pharmacy solution providing value beyond medication. PharMerica is the long-term care pharmacy services provider of choice for senior living communities, skilled nursing facilities, public health organizations and post-acute care organizations. PharMerica is one of the nation's largest pharmacy companies. PharMerica offers unmatched employee development, exceptional company culture, seemingly endless opportunities for advancement and the highest hiring goals in decades. For more information about PharMerica, please visit www.pharmerica.com . Follow us on Facebook , Twitter , and LinkedIn .","https://www.linkedin.com/jobs/view/externalApply/2494929768?url=https%3A%2F%2Fcareers-brightspring%2Eicims%2Ecom%2Fjobs%2F27551%2Fpharmacy-intern%2Fjob&urlHash=EWZw&refId=69e2410c-88b6-4bac-ad04-c13f05b7bc7b&trackingId=APao9BpwhBH5LCArpvcRAQ%3D%3D&trk=public_jobs_apply-link-offsite",0.05914687465847132,
9,"Pharmacy Intern","Walgreens","Providence, RI (+1 other)","Job Objectives
• Learn to provide the best patient experience through assisting the pharmacist and pharmacy team members in accordance with state and federal regulations.
• Responsible for using pharmacy systems to obtain patient and drug information and process prescriptions.
• Models and delivers a distinctive and delightful customer experience.
• Learns and champions pharmacy policy, procedures, and customer service best practices needed to perform as a future pharmacist.
Job Responsibilities/Tasks

Customer Experience
• Engages customers and patients by greeting them and offering assistance with products and services. Resolves customer issues and answers questions to ensure a positive customer experience.
• Models and shares customer service best practices with all team members to deliver a distinctive and delightful customer experience, including interpersonal habits (e.g., greeting, eye contact, courtesy, etc.) and Walgreens service traits (e.g., offering help proactively identifying needs, servicing until satisfied, etc.).
• Develops strong relationships with customers.
Operations
• Learn from store and pharmacy team members, field leadership, team members and customers/patients
• Under the supervision by the pharmacist, assist in the practice of pharmacy, in accordance with state, federal, and company policy. Reviews and complies with the Walgreen Co. Pharmacy Code of Conduct.
• Performs duties as assigned and supervised by the pharmacist in accordance with Walgreens standard operating procedures for entering, third party processing, filling, and dispensing prescriptions.
• Assists pharmacists and other healthcare providers in delivering patient care and services that are within the state scope of practice for pharmacy interns including patient counseling and other health services (i.e. blood pressure, medication therapy management).
• Immediately reports prescription errors to pharmacist on duty and adheres to Company policies and procedures in relation to pharmacy errors and the Quality Improvement Program.
• Strictly adheres to the Walgreen Co. policy regarding Good Faith Dispensing
• Responsible and accountable for registering all related sales on assigned cash register, collects and handles cash as required. Takes customer to OTC aisle when possible to assist in locating products.
• Handles telephone calls that do not require personal attention of the pharmacist, including those to physicians.
• Assists and supports Pharmacy Department on inventory management activities, such as, ordering, unpacking, checking and storing shipment of pharmaceuticals. Maintains knowledge of Company asset protection techniques, and files claims for warehouse overages (merchandise received, but not billed), shortages (merchandise billed, but not received), order errors or damaged goods involving Rx drugs.
• Assists with exterior and interior maintenance by ensuring the Pharmacy Department is stocked with adequate supplies, clean, neat and orderly in condition and appearance.
• Complies with all company policies and procedures; maintains respectful relationships with coworkers.
• Complete special assignments and other tasks as assigned.
Training & Personal Development
• Complete required training
• Maintains knowledge and skill in healthcare and pharmacy, including latest news and developments","https://jobs.walgreens.com/job/providence/pharmacy-intern/1242/4226462784?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.03948526014717667,
8,"Pharmacy Intern","Lifespan","Providence, RI","Summary:

Under the supervision of a pharmacist and direction of a technician group leader or technician specialist performs a variety of technical and support tasks designed to assist pharmacists in the formulation preparation dispensing and delivery of medications and pharmaceutical supplies in accordance with established policies and procedures and in keeping with the scope of services provided and in consideration to the age of the patients being served.

Responsibilities:
Under the supervision of a pharmacist assists in the formulation and preparation of medications by:
Reviewing Licensed Independent Practitioner medication orders and preparing medications for review and dispensing by a pharmacist.
Performing general operations of electronic drug dispensing system (EDDS; i.e. Omnicell Pyxis) used in the inventory control and distribution of pharmaceuticals and related supplies. Including maintaining assigning refilling and removing medication including controlled substances generating and interpreting reports to perform above.
Maintaining operating room medication inventory including controlled substances.
Preparing intravenous admixtures up to and including chemotherapy and pediatric critical care infusions utilizing aseptic techniques in a controlled environment according to computer-generated and/or pharmacist approved formulation record including proper manipulation labeling and expiration dating. Work in United States Pharmacopoeia 797 clean room environment and in accordance with procedures of the same.
Preparing non-sterile pharmaceutical products according to computer-generated and/or pharmacist approved formulation record including proper labeling and expiration dating.
Performs controlled substance discrepancy resolution in conjunction with other licensed health care professionals.
Participates in controlled substances inventory management in the Pharmacy and the hospital.

Delivers medications to clinic procedural treatment operating room and patient care areas . Retrieves medication orders.

Repackages and labels medications for distribution in accordance with pharmacist approved Packaging and Labeling Records.Prepares various emergency medication kits for pharmacist review and distribution to patient care areas.
Performs routine procurement and inventory management of medications including ordering and receipt of chemotherapy and other pharmaceutical supplies. Completes necessary paperwork for controlled substance procurement and verifies receipt of such.
Processes medication requisitions for departments and laboratories for pharmacist verification.
Reconciles patient and department medication charges.
Performs routine preventive maintenance to all equipment according to standards for same.
Assists in maintaining related Pharmacy records and files performing equipment calibration and maintenance.
Assists in maintaining the Pharmacy and medication supply areas in a neat and orderly fashion ensuring medications are stored under proper conditions for light temperature sanitation and segregation.
Participates in quality assessment and improvement activities and medication safety initiatives of the Pharmacy and the hospital. Utilizes approved process for reporting actual prevented and near miss medication errors.
Answers the telephone and triages as appropriate. Interacts with internal and external customers in accordance to hospital Customer Service Standards.
Assists in orientation and training of other pharmacy technicians and interns.
Other duties as assigned.

Other information:
BASIC KNOWLEDGE:
Current enrollment in no less than the third (3rd) year in an accredited college of pharmacy as a student in good standing.
Maintains current unrestricted licensure as a pharmacy intern in the State of Rhode Island.
One to three months on-the-job training to become familiar with duties and responsibilities and departmental procedures.
Possesses basic computer skills including Microsoft Office Suite.

EXPERIENCE:

None.

WORK ENVIRONMENT AND PHYSICAL REQUIREMENTS:
Possesses physical ability to lift carry and maneuver medication delivery equipment and pharmaceutical related inventories including extended periods of work time spent standing and walking.
Requires the visual and manual dexterity to operate a computer.
New hires into this position must successfully pass a drug screen in conformance with Rhode Island State Law.

SUPERVISORY RESPONSIBILITY: None

Lifespan is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race color religion sex national origin age ethnicity sexual orientation ancestry genetics gender identity or expression disability protected veteran or marital status. Lifespan is a VEVRAA Federal Contractor.

Location: Rhode Island Hospital USA:RI:Providence

Work Type: Per Diem

Shift: Shift 4

Union: IBT","https://jobs.lifespan.org/search/jobdetails/pharmacy-intern/3e6b3566-02f8-4252-8171-d8e01bea779d?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.07171558536488941,
7,"Pharmacy Intern (Per Diem)","Beth Israel Deaconess Medical Center","Needham, MA","Department Description: Beth Israel Deaconess Hospital-Needham (BID Needham) is a licensed 58–bed acute care hospital offering the same care as our direct affiliate Beth Israel Deaconess Medical Center (BIDMC) in your community.
This close affiliation with BIDMC, since 2000, has facilitated the clinical integration of staff and resources in emergency medicine, hospital medicine (hospitalists), cardiology, radiology, orthopaedics, general surgery, pathology and oncology. Physicians in Needham maintain very close relationships with the staff at BIDMC; so in cases where patients need to be transferred from Needham to Boston for more advanced care, there are systems in place to make that transition happen quickly.

Job Location: Needham, MA

Req ID: 38336BR

Job Summary: Supports the mission of the department by ensuring that the right patients receive the right medication in a safe and timely manner under the direct supervision of an inpatient pharmacist. Develops a full understanding of the drug distribution system and demonstrates competency in carrying out all duties associated with delivering medications to the patient care units.

Essential Responsibilities:

Delivers medication to the patient care units in accordance with departmental policies and procedures, and MA Board of pharmacy regulation
Accurately fills medications from the list provided by the automated dispensing machine.
Delivers medications to the automated dispensing machines on the patient care units in an accurate and timely manner, including checking for errors such as expiration dates and wrong strengths.
In conjunction with other pharmacy colleagues ensures that all drug distribution functions are completed in a safe and timely manner. Informs pharmacist and/or Director of Pharmacy of any workflow issues.
Repackages and compounds medications, as needed, in accordance with departmental procedures.

Required Qualifications:

High School diploma or GED required .
License required: Pharmacy Student Intern
0-1 years related work experience required.
Must be a Doctor of Pharmacy student enrolled in an accredited college or university, OR a graduate of a non-approved school of pharmacy who meets the Massachusetts Board of Pharmacy requirements for registration.
Experience with computer systems required, including web based applications and some Microsoft Office applications which may include Outlook, Word, Excel, PowerPoint or Access.
Preferred Qualifications:
Previous experience in a hospital pharmacy practice setting preferred.
Competencies:
Written Communications: Ability to communicate clearly and effectively in written English with internal and external customers.
Oral Communications: Ability to comprehend and converse in English to communicate effectively with medical center staff, patients, families and external customers.
Knowledge: Ability to demonstrate full working knowledge of standard concepts, practices, procedures and policies with the ability to use them in varied situations.
Team Work: Ability to interact respectfully with other employees, professional staff and/or external contacts to offer ideas, identify issues, obtain information or deliver services.
Customer Service: Ability to provide a high level of customer service to patients, visitors, staff and external customers in a professional, service-oriented, respectful manner using skills in active listening and problem solving. Ability to remain calm in stressful situations.
Age based Competencies:
Employees in this job must be competent to provide patient care to the following age groups: Neonatal:Birth to 6 months, Youth: 6 months to 16 years, Young adult: 16-30 years, Middle Age: 30 - 60 years, Elderly: 60 -.

Physical Nature of the Job:
Light work: Exerting up to 20 pounds of force frequently to move objects. Some elements of the job are sedentary, but the employee will be required to stand for periods of time or move through out the hospital campus","https://www.linkedin.com/jobs/view/externalApply/2474615909?url=https%3A%2F%2Fjobs%2Ebidmc%2Eorg%2Fjob%2Fneedham%2Fpharmacy-intern-per-diem%2F169%2F5363865936&urlHash=3Z80&refId=69e2410c-88b6-4bac-ad04-c13f05b7bc7b&trackingId=2CCjaPyDldIDH4YjCLjwmQ%3D%3D&trk=public_jobs_apply-link-offsite",0.024457062595666802,
12,"PHARMACY INTERN - SJH","Charter Care Health Partners","Providence, RI","","https://www.ziprecruiter.com/c/Charter-Care-Health-Partners/Job/PHARMACY-INTERN-SJH/-in-Providence,RI?jid=c0a7db330c92aeef&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.023057163404086062,
0,"Pharmacy Intern - Providence","Rhode Island Hospital","Providence, RI","Summary

Under the supervision of a pharmacist and direction of a technician group leader or technician specialist performs a variety of technical and support tasks designed to assist pharmacists in the formulation preparation dispensing and delivery of medications and pharmaceutical supplies in accordance with established policies and procedures and in keeping with the scope of services provided and in consideration to the age of the patients being served.

Responsibilities

Under the supervision of a pharmacist assists in the formulation and preparation of medications by:
Reviewing Licensed Independent Practitioner medication orders and preparing medications for review and dispensing by a pharmacist.
Performing general operations of electronic drug dispensing system (EDDS; i.e. Omnicell Pyxis) used in the inventory control and distribution of pharmaceuticals and related supplies. Including maintaining assigning refilling and removing medication including controlled substances generating and interpreting reports to perform above.
Maintaining operating room medication inventory including controlled substances.
Preparing intravenous admixtures up to and including chemotherapy and pediatric critical care infusions utilizing aseptic techniques in a controlled environment according to computer-generated and/or pharmacist approved formulation record including proper manipulation labeling and expiration dating. Work in United States Pharmacopoeia clean room environment and in accordance with procedures of the same.
Preparing non-sterile pharmaceutical products according to computer-generated and/or pharmacist approved formulation record including proper labeling and expiration dating.
Performs controlled substance discrepancy resolution in conjunction with other licensed health care professionals.
Participates in controlled substances inventory management in the Pharmacy and the hospital.

Delivers medications to clinic procedural treatment operating room and patient care areas . Retrieves medication orders.

Repackages and labels medications for distribution in accordance with pharmacist approved Packaging and Labeling Records.Prepares various emergency medication kits for pharmacist review and distribution to patient care areas.
Performs routine procurement and inventory management of medications including ordering and receipt of chemotherapy and other pharmaceutical supplies. Completes necessary paperwork for controlled substance procurement and verifies receipt of such.
Processes medication requisitions for departments and laboratories for pharmacist verification.
Reconciles patient and department medication charges.
Performs routine preventive maintenance to all equipment according to standards for same.
Assists in maintaining related Pharmacy records and files performing equipment calibration and maintenance.
Assists in maintaining the Pharmacy and medication supply areas in a neat and orderly fashion ensuring medications are stored under proper conditions for light temperature sanitation and segregation.
Participates in quality assessment and improvement activities and medication safety initiatives of the Pharmacy and the hospital. Utilizes approved process for reporting actual prevented and near miss medication errors.
Answers the telephone and triages as appropriate. Interacts with internal and external customers in accordance to hospital Customer Service Standards.
Assists in orientation and training of other pharmacy technicians and interns.
Other duties as assigned.

Basic Knowledge

Other information:

Current enrollment in no less than the third (3rd) year in an accredited college of pharmacy as a student in good standing.
Maintains current unrestricted licensure as a pharmacy intern in the State of Rhode Island.
One to three months on-the-job training to become familiar with duties and responsibilities and departmental procedures.
Possesses basic computer skills including Microsoft Office Suite.

Experience

None.

Work Environment And Physical Requirements

Possesses physical ability to lift carry and maneuver medication delivery equipment and pharmaceutical related inventories including extended periods of work time spent standing and walking.
Requires the visual and manual dexterity to operate a computer.
New hires into this position must successfully pass a drug screen in conformance with Rhode Island State Law.

SUPERVISORY RESPONSIBILITY: None","https://www.linkedin.com/jobs/view/externalApply/2459323069?url=https%3A%2F%2Fneuvoo%2Ecom%2Fjob%2Ephp%3Fid%3Db0e876f58210%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadeaddg7adbcdd8ddd9fdda8adafddbadd8fdde3defcdcgfec3ddcg3e&urlHash=oN00&refId=69e2410c-88b6-4bac-ad04-c13f05b7bc7b&trackingId=iPsBgz9UZkr39PKXdI5jPw%3D%3D&trk=public_jobs_apply-link-offsite",0.13114987583123025,
14,"PHARMACY INTERN","PharMerica","Warwick, RI","PHARMACY INTERN

Job Locations

US-RI-WARWICK

ID

2021-27552

Position Type

PRN

Line of Business

PharMerica

Our Company

Overview

Join our PharMerica team! PharMerica is a closed-door pharmacy where you can focus on fulfilling the pharmaceutical needs of our long-term care and senior living clients. We offer anon-retail pharmacy environment. Our organization is in high growth mode, which means advancement opportunities for individuals who are looking for career progression!

We offer:

Flexible schedules

Full-time, part-time and PRN opportunities

Competitive pay

Shift differential

Premium pay for holidays

Health, dental, vision and life insurance benefits

401k

Paid-time off

Tuition reimbursement

Non-retail/Closed-door environment

Our Pharmacy group focuses on providing exceptional customer service and meeting the pharmacy needs for hospitals, rehabilitation hospitals, long-term acute care hospitals, and other specialized care centers nationwide. If your passion is service excellence and top-quality care come join our team and apply today!

Responsibilities

Works under direct supervision of a Registered Pharmacist, fills prescriptions and prepares IV's
• Works with Billing Supervisor to enter data into computer system to fill prescriptions and to obtain reimbursement payment
• Works under direct supervision of a Registered Pharmacist in prepackaging medication for dispensing according to standards and government regulations
• Assists the Pharmacist in final checking of filled prescriptions, which may include stating the medication for RPh final review and/or packaging of medication post RPh final review and coordinating accurate and timely delivery to the customer
• Assists Pharmacy Management in maintaining good inventory practices which may include receiving and rotating incoming medications and supplies, posting lot numbers, expiration dates and assisting in physical inventory
• Works with Technician Supervisor in maintaining a clean/safe work environment, checking equipment for calibration, safety and cleanliness

Qualifications
• Required: Currently enrolled in Pharmacy school
• Required: Ability to use a computer
• Required: Detail oriented; goal oriented, team player, oral communication
• Licenses/Certifications: As required by state and federal law.

About our Line of Business

PharMerica is a full-service pharmacy solution providing value beyond medication. PharMerica is the long-term care pharmacy services provider of choice for senior living communities, skilled nursing facilities, public health organizations and post-acute care organizations. PharMerica isone of the nation'slargest pharmacy companies. PharMerica offers unmatched employee development, exceptional company culture, seemingly endless opportunities for advancement and the highest hiring goals in decades. For more information about PharMerica, please visitwww.pharmerica.com. Follow us onFacebook,Twitter, and LinkedIn.

Need help finding the right job?

We can recommend jobs specifically for you!
Click here to get started.

BrightSpring Health Services, and our family of brands, provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact the BrightSpring Disabilities Support Team at 1-833-773-7240 or contact us for assistance.
Equal Opportunity Employment Posters
Click here for additional FAQ information","http://www.jobsinprovidence.com/job/detail/53187302/PHARMACY-INTERN?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.044279898822724165,
2,"Pharmacy Intern","Lifespan","Providence, RI","Summary

Under the supervision of a pharmacist and direction of a technician group leader or technician specialist performs a variety of technical and support tasks designed to assist pharmacists in the formulation preparation dispensing and delivery of medications and pharmaceutical supplies in accordance with established policies and procedures and in keeping with the scope of services provided and in consideration to the age of the patients being served.

Responsibilities

Under the supervision of a pharmacist assists in the formulation and preparation of medications by:
Reviewing Licensed Independent Practitioner medication orders and preparing medications for review and dispensing by a pharmacist.
Performing general operations of electronic drug dispensing system (EDDS; i.e. Omnicell Pyxis) used in the inventory control and distribution of pharmaceuticals and related supplies. Including maintaining assigning refilling and removing medication including controlled substances generating and interpreting reports to perform above.
Maintaining operating room medication inventory including controlled substances.
Preparing intravenous admixtures up to and including chemotherapy and pediatric critical care infusions utilizing aseptic techniques in a controlled environment according to computer-generated and/or pharmacist approved formulation record including proper manipulation labeling and expiration dating. Work in United States Pharmacopoeia 797 clean room environment and in accordance with procedures of the same.
Preparing non-sterile pharmaceutical products according to computer-generated and/or pharmacist approved formulation record including proper labeling and expiration dating.
Performs controlled substance discrepancy resolution in conjunction with other licensed health care professionals.
Participates in controlled substances inventory management in the Pharmacy and the hospital.

Delivers medications to clinic procedural treatment operating room and patient care areas . Retrieves medication orders.

Repackages and labels medications for distribution in accordance with pharmacist approved Packaging and Labeling Records.Prepares various emergency medication kits for pharmacist review and distribution to patient care areas.
Performs routine procurement and inventory management of medications including ordering and receipt of chemotherapy and other pharmaceutical supplies. Completes necessary paperwork for controlled substance procurement and verifies receipt of such.
Processes medication requisitions for departments and laboratories for pharmacist verification.
Reconciles patient and department medication charges.
Performs routine preventive maintenance to all equipment according to standards for same.
Assists in maintaining related Pharmacy records and files performing equipment calibration and maintenance.
Assists in maintaining the Pharmacy and medication supply areas in a neat and orderly fashion ensuring medications are stored under proper conditions for light temperature sanitation and segregation.
Participates in quality assessment and improvement activities and medication safety initiatives of the Pharmacy and the hospital. Utilizes approved process for reporting actual prevented and near miss medication errors.
Answers the telephone and triages as appropriate. Interacts with internal and external customers in accordance to hospital Customer Service Standards.
Assists in orientation and training of other pharmacy technicians and interns.
Other duties as assigned.

Basic Knowledge

Other information:

Current enrollment in no less than the third (3rd) year in an accredited college of pharmacy as a student in good standing.
Maintains current unrestricted licensure as a pharmacy intern in the State of Rhode Island.
One to three months on-the-job training to become familiar with duties and responsibilities and departmental procedures.
Possesses basic computer skills including Microsoft Office Suite.

Experience

None.

Work Environment And Physical Requirements

Possesses physical ability to lift carry and maneuver medication delivery equipment and pharmaceutical related inventories including extended periods of work time spent standing and walking.
Requires the visual and manual dexterity to operate a computer.
New hires into this position must successfully pass a drug screen in conformance with Rhode Island State Law.

SUPERVISORY RESPONSIBILITY: None

Lifespan is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race color religion sex national origin age ethnicity sexual orientation ancestry genetics gender identity or expression disability protected veteran or marital status. Lifespan is a VEVRAA Federal Contractor.

Location: Rhode Island Hospital USA:RI:Providence

Work Type: Per Diem

Shift: Shift 4

Union: IBT","https://www.linkedin.com/jobs/view/externalApply/2457833648?url=https%3A%2F%2Fjobs%2Elifespan%2Eorg%2Fsearch%2Fjobdetails%2Fpharmacy-intern%2F3e6b3566-02f8-4252-8171-d8e01bea779d%3Futm_source%3Dlinkedin%26utm_campaign%3Dlinkedin_organic%26utm_medium%3Dorganic_job_board&urlHash=7WnQ&refId=69e2410c-88b6-4bac-ad04-c13f05b7bc7b&trackingId=hU2VwmhRtIvbl0L%2Fe1afIw%3D%3D&trk=public_jobs_apply-link-offsite",0.09203500095409627,
