Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
10,"Advocacy and Engagement Intern (Immediate Opening)","IDEA Public Schools","Austin, TX","Description

Position at IDEA Public Schools

About IDEA Public Schools

At IDEA Public Schools, we believe in college for ALL and we are committed to ensuring that all our students graduate from college. IDEA Public Schools has grown from a small school to the fastest-growing network of tuition-free Pre-K-12 public charter schools in the United States sending 100% of our students to college. 50% of our students graduate from college in 6 years – that’s 3 times the national rate for students in our communities!

IDEA was founded in 2000 as a single school with 150 students in the Rio Grande Valley. When interest exceeded building capacity, to meet the demands, IDEA’s co-founders committed to serving more students in the Rio Grande Valley of Texas and beyond. We now serve over 65,000 students across Texas and Louisiana. Be on the lookout for IDEA schools opening near you—with continued growth in our current regions and new launches in Tampa Bay, FL (2021), and Jacksonville, FL (2022)!

When you choose to work at IDEA, you are part of our IDEA Team and Family. You will work alongside team members who set and reach ambitious goals every day, are excited to continue to grow with IDEA, and work relentlessly to make college for all a reality.

To learn more about IDEA, check out this video.

Role Mission

The Advocacy and Engagement Internship offers valuable exposure to grassroots organizing, issue-based advocacy, and education policy. The Advocacy and Engagement team leads IDEA Public Schools' family, teachers, and alumni advocacy and engagement strategy, which includes identifying and supporting a network of advocates who take action to support policies that help all students succeed in college and in life. The Advocacy and Engagement team develops and supports the Parent Advocacy Action Team through events such as the Parent Advocacy Summit, regional meetings and events with local elected officials, and digital advocacy communications. The Advocacy and Engagement Intern will play a critical role in planning and executing advocacy trainings and events, providing logistical and administrative support to the Advocacy and Engagement Team, and ensuring effective communication with parents, teachers, and alumni

Responsibilities

Support the IDEA Advocacy and Engagement Manager by:
Completing organizational, operational, logistical, and creative assignments
Planning and execution of trainings for Advocacy Action Team Members
Communicating with school leaders and staff
Coordinating logistics
Organizing digital copies of meeting materials
Maintaining all advocacy-related databases
-Provide administrative support (copies, phone calls, document management, data management).

Build relationships among varied stakeholder groups (e.g. managers, directors, colleagues, parents, elected officials, )
Set individual professional development goals, receive feedback on progress, and adjust course to achieve individual and organizational

Manage multiple responsibilities in a fast-paced

Support IDEA Advocacy team in other critical areas as assigned

Qualifications
This internship is open to current graduate students with at least a 3.0 GPA.
Ability to work autonomously as part of an entrepreneurial team
Strong written and verbal communication skills
Extraordinary project management and organization skills
Demonstrated ability to plan and execute events
Growth mindset and ability to receive and incorporate feedback
Alignment with the mission and values of IDEA Public Schools
Commitment
June 1st, 2021 - May 31st, 2022 - 20 hours per week

Compensation

$20 per hour

How To Apply

Complete the online application and upload a cover letter
IDEA Public Schools does not discriminate on the basis of race, color, national origin, age, sex or disability, in admission or access to, or treatment of employment in its programs and activities. Any person having inquiries concerning the organization's compliance with the regulations implementing Title VI of Civil Rights Act of 1964 (Title VI), Section 504 of the Rehabilitation Act of 1973 (Section 504), or Title II of the Americans with Disabilities Act of 1990 (ADA), may contact IDEA Human Resources at (956) 377-8000.","https://www.linkedin.com/jobs/view/externalApply/2479912144?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fideapublicschools-english%2Fjob%2FoCj9ffw3&urlHash=LcVg&refId=034a3105-e49d-4e4b-bbc2-1916821ebef8&trackingId=1fWprhLDs4wmkt6Aysvr1A%3D%3D&trk=public_jobs_apply-link-offsite",0.004036502033947964,
79,"Intern","Smart Design","New York, NY","We welcome interns in all areas of the company: industrial design, engineering, communication / visual design, interaction design, strategy, marketing and project management.

A Few Things To Note

We love interns at all levels of their career: undergraduates, recent graduates and graduate students.

Our internships are seasonal: winter, spring, summer and fall. We start accepting applications about 3-6 months prior, so plan your application ahead of time.

Our teams are multidisciplinary so you’ll be exposed to all types of great people and interesting projects.

Internships are paid, but what you’ll gain most from your time at Smart is real-world exposure to a talent-driven design culture and a hardworking and friendly team.

When applying, don’t forget to include a portfolio for design, strategy and engineering internships.

NATURALLY, YOU HAVE
Specific experience for the internship you're applying for
Irrepressible enthusiasm for design, research, learning, sharing and building stuff
Big thinkers and great listeners
Lots of initiative, attention to detail and take ownership of your work","https://www.linkedin.com/jobs/view/externalApply/2265076569?url=https%3A%2F%2Fboards%2Egreenhouse%2Eio%2Fsmartdesignworldwide%2Fjobs%2F108953&urlHash=N3Ux&refId=246dc3be-fb59-428a-a0ce-ce15fcdb9f8b&trackingId=Bn3H8AHz72IhSLzA2De2Ug%3D%3D&trk=public_jobs_apply-link-offsite",0.011660209464609132,
11,"Audience Intern","Suzy","New York, United States","Suzy puts the voice of your consumer at your fingertips.  Whether you’re a novice or an expert researcher, our platform brings advanced tools together with the highest quality audience to deliver insights in minutes.  Some of the biggest brands in the world use Suzy to deliver breakthrough products and experiences backed by data-driven decisions. Learn more at www.suzy.com.

The opportunity: 
As an Audience Intern, you will partner closely with our internal and external partners to ensure Crowdtap is an inclusive place for all members. Drive messaging and product-related content that helps promote diversity in our audience through crowdtap.
Seek inspiration from external sources to improve diversity and inclusion within Crowdtap
Finding areas of improvement and implementing more inclusive practices.
Taking on actual projects and sending out emails, notifications, social posts, etc
Lead on-platform quantitative research and Suzy Live interviews to better understand how we can make our platform more inclusive
Present findings to Audience, Support and Product teams 
Analyze our platform to learn about diverse audiences that we currently have or should implement
Have “1 on 1” or “1 to many” conversations on channels like Facebook with our members to ensure we are serving their needs

Who you are:

Ability to wear multiple hats
Excels in cross-functional planning and planning execution
Thrives in a highly collaborative, fast-paced environment

Suzy is an equal opportunity employer. We are a welcoming place for everyone, and we do our best to ensure all people feel supported and connected at work. 
Suzy is committed to protecting its customers, employees, partners, and the company as a whole, from damaging acts that are intentional or unintentional.  Effective security is a team effort involving the participation and support of every user who interacts with company information/data and systems. It is the responsibility of each individual to help protect company information assets. ","https://www.linkedin.com/jobs/view/externalApply/2479912144?url=https%3A%2F%2Fjobs%2Ejobvite%2Ecom%2Fideapublicschools-english%2Fjob%2FoCj9ffw3&urlHash=LcVg&refId=034a3105-e49d-4e4b-bbc2-1916821ebef8&trackingId=1fWprhLDs4wmkt6Aysvr1A%3D%3D&trk=public_jobs_apply-link-offsite",0.005388938120679379,
17,"Intern","Beta Hat","Oakland, CA","Beta Hat is a fast-growing boutique research consultancy based in the heart of downtown Oakland. We provide strategic guidance for the video games, emerging technology, and the online media industries - specifically supporting go-to-market strategy for new products, to guide product development decisions, and deeply understand customer sentiment. To support our growth, we are looking for interns who are looking to leverage their education to real world applications.

We have two part-time internship positions open. As an intern, you will be supporting the the day-to-day operations of our Associates and Lead Consultant and leading custom projects as needed.

What is expected of you:
Must be incredibly detail-oriented
Being able come to the table with creative solutions to complex problems
Ability to work with minimal supervision
Be proactive and take initiative

Backgrounds we are looking for:
Those in the process of seeking a Masters or PhD in Mathematics, Statistics, Social Science, or related field.

What will set you apart
A passion for the business of video games, pop culture, and/or emerging technologies
An eye for design
Experience with R and/or SPSS programming
Experience Tableau or other data visualization tools
Fluency in any of the following languages: German, French, Mandarin","https://www.linkedin.com/jobs/view/externalApply/2492323700?url=https%3A%2F%2Fwww%2Eapplicantpro%2Ecom%2Fopenings%2Frainn%2Fjobs%2F1740199-326450&urlHash=rgcn&refId=034a3105-e49d-4e4b-bbc2-1916821ebef8&trackingId=oa5bMtIwtMsQ9dXubqXGfQ%3D%3D&trk=public_jobs_apply-link-offsite",0.01116090579032882,
45,"BLTR Intern","Bats Left Throws Right™ Podcast","Los Angeles, CA","The Bats Left Throws Right Podcast is now hiring interns seeking college credit or exposure in the sports journalism field. We have opportunities available in several departments. If interested please contact jack@batsleftthrowsright.com. See below for more information.

Podcast Production
Work on our flagship show and help with the production of special episodes. Aid in the creation of show plans and pitch episode ideas. Sit in on and ask questions during episodes with professional baseball players, coaches, and scouts. Assist with guest booking and talent management.

Sports Writing
Interview MLB and MiLB players of past and present. Compose easily digestible articles for baseball fans on our BLTR Blog. Pitch story ideas and utilize our baseball connections for sources.

Social Media
Create engaging posts on our social media channels. Perfect for someone who has their finger on the pulse of the latest news in baseball. Interact with fans and help manage our social media giveaways.

Graphic Design
Help create graphics and logos for the BLTR Podcast. Edit show clips into quick videos for our social media channels. Pitch t-shirt design ideas for our upcoming BLTR Store.","https://www.linkedin.com/jobs/view/externalApply/2440208663?url=https%3A%2F%2Fwww%2Ened%2Eorg%2Fabout%2Fjobs%2F%23op-439682-2128-intern%2C-africa-%2F-summer-2021&urlHash=RAKm&refId=edae8af6-556e-473a-9135-45171729d366&trackingId=9t4uEE%2FQOiZnAVA1FQ9SpA%3D%3D&trk=public_jobs_apply-link-offsite",0.0032547524478432786,
32,"Communications and Outreach Intern","Chicago Metropolitan Agency for Planning","Chicago, IL","The Chicago Metropolitan Agency for Planning (CMAP) is seeking to hire an intern in the Communications and Outreach Division. The Communications and Outreach Intern is responsible for helping to develop and manage CMAP content in a variety of print and electronic formats and assisting community outreach and engagement with CMAP partners, stakeholders, and constituents. The position requires excellent attention to detail, writing and editing skills, familiarity with Microsoft Word and Excel, and some experience using social media, newsletter distribution, and web content management systems. The ability to think critically and work independently is essential. Over the course of the internship, the intern will work on projects across a variety of policy and local governance issues.

Essential functions
Assist in writing, editing, and quality assurance of long-form reports, short-form policy briefs, and publicity materials.
Help develop and implement distribution strategies for various CMAP publications and reports via printed materials and other communications outlets (e.g., e-blasts, social media, direct media outreach, stakeholder engagement).
Generate short-form content for the CMAP website (www.cmap.illinois.gov), including assisting with CMAP’s weekly newsletters and writing social media content for Twitter, Facebook, Instagram, and YouTube. 
Help to prepare and distribute emails, press releases, and other news products.
Help to document news coverage as well as maintain and improve the media contacts database.
Help to develop and implement outreach and engagement strategies for CMAP events, such as workshops and forums.
Assist with logistics and staffing for public engagement events, including virtual, in CMAP’s offices, and in regional locations.
Support and at times participate in presentations and workshops for audiences including CMAP committees and external partners.
Help maintain and expand CMAP’s community outreach database.

Knowledge, skills, and interests
The Communications and Outreach Intern must have excellent skills in writing and verbal communication. The position also requires a demonstrated ability to quickly understand and communicate complex policy issues. Familiarity with CMAP principles and ON TO 2050 is a plus. Another primary requirement is acute attention to detail, including mastery of grammar and style necessary when writing for various public audiences.
The intern must have proficiency with web and content management software and systems. Familiarity with HTML and other web languages is a plus but not required.
Applicants should submit two writing samples (e.g., press releases, fact sheets, articles, reports, and other published works).

Education and experience
Undergraduate applicants must be entering their junior or senior year in fall 2021. Bachelor of arts degree in communications, English, media/public relations, journalism, or other communications-intensive discipline recommended.
Graduate applicants must be entering their first or second year in fall 2021. Master of arts degree in communications, English, media/public relations, or journalism also encouraged. Prior work experience should include demonstrated excellence in writing and other communications in a team environment.

Internship timeframe
Depending on the student’s availability, this is a full-time summer position beginning in May or June 2021. It could potentially continue into the 2021-22 school year, but that is not guaranteed. Minor start and end-date accommodations may be made upon request. This is a remote position and does not require residence in the Chicago metropolitan area.

Equipment
All or part of the work will be done remotely therefore interns will need access to a Windows computer, in good working order. However, to promote a diverse, equitable and inclusive work environment, and create professional development opportunities for interns, we will support interns with specific technology limitations with the use of a CMAP issued laptop with the expectation that it be returned upon conclusion of the internship.

The deadline to submit applications for our internships is March 31, 2021, at 5 PM.  
This job description in no way sates or implies that these are the only duties performed by the employee occupying this position Employees may be required to follow other job-related instructions and perform other job-related duties as requested, subject to all applicable state and federal laws. Certain job functions described herein may be subject to possible modification and accordance with applicable state and federal laws.

Company Description
The Chicago Metropolitan Agency for Planning (CMAP) is our region’s comprehensive planning organization. The agency and its partners are implementing ON TO 2050, a long-range plan to help the seven counties and 284 communities of northeastern Illinois implement strategies that address transportation, housing, economic development, open space, the environment, and other quality-of-life issues. See cmap.illinois.gov/about for more information on the agency’s vision and core values.

CMAP is always looking for talented, self-motivated individuals to join our team. If you think you are ready to be a part of an exciting team, then we encourage you to continue with this applicant friendly, online job application!

CMAP is an Equal Opportunity Employer that recruits and hires qualified candidates without regard to race, religion, sex, sexual orientation, gender identity, age, national origin, ancestry, citizenship, disability, or veteran status. The Chicago Metropolitan Agency for Planning does not sponsor H1B visas.","https://www.linkedin.com/jobs/view/externalApply/2475589188?url=https%3A%2F%2Fjobs%2Ekeldair%2Ecom%2FCMAP%2Fjobs%2F14154%2Fcommunications-and-outreach-intern-com2021&urlHash=8ECu&refId=65f52e84-36e5-4b54-bcb8-209ca5e89f05&trackingId=z7vsw7CyJoNyzqPW%2BZx1iA%3D%3D&trk=public_jobs_apply-link-offsite",0.00660652700638665,
6,"Intern, People Engagement","United Way","Remote, OR","About You

You believe in a culture of inclusive excellence and value the differences that make us each unique. You are professional and kind; curious and passionate about your work and studies; seek a stimulating and rewarding internship; and, sincere in your desire to help others. Join our internship program and gain valuable learning and working experience at a leading nonprofit organization.

About United Way Worldwide

United Way brings people, organizations, and communities together around a common cause, a common vision, and a common path forward. In many communities, we're the only nonprofit building up the cornerstones of education, financial stability and health—and the only nonprofit bringing people together from all walks of life to be a part of local solutions. We're engaged in nearly 1,800 communities across more than 40 countries and territories, where people are powering big ideas and big action by donating, volunteering and speaking out through United Way.

United Way Worldwide is located in Old Town Alexandria, VA. Our culture is People First—we take it seriously and, because of that, we take good care of people. We encourage growth and upward mobility—and want you to succeed in a diverse, inclusive, and ethical workplace. Take action, join our Internship—apply now.

Intern Experience At United Way Worldwide

Interns at United Way Worldwide gain valuable learning and working experience at a leading nonprofit organization. Our goal is to make every intern who works with us feel included, valuable, and productive. In addition to the hands-on experience you’ll receive working at the largest nonprofit in the world, you will be provided with weekly professional development workshops.

Applicant Requirements

The internship opportunities are open to current students of a college program, or within 2 years of graduating. Applicants must be eligible to work within the United States and have all documentation at the time of their application, including a Social Security Number.

Position Summary

Are you interested in learning about employees can thrive in healthy organizations? The People Engagement team is seeking an intern to help us in engaging the 200+ staff within our organization. The intern will be provided with hands-on projects and shadowing opportunities in a national nonprofit headquarters.

Primary Projects
Research and produce best-practices guides for supervisors and interns
Support internship recruitment and retention processes
Staff engagement events and activities
Create engaging virtual happy hours for interns
Assist with the all-staff annual reviews process
Building Web pages for staff engagement resources
Support regular organizational communications


Required Skills
Strong interest in learning more about nonprofit work and working with people
Strong planning, research, and writing skills

PERKS
Weekly professional development workshops provided onsite
Chance to meet and work with top nonprofit experts in the country
Completely remote internship experience

LOCATION

This internship takes place 100% remote for the Summer 2021 semester.

TIME FRAME

Summer 2021 Internships will take place from May 17 – August 6.

EQUAL OPPORTUNITY EMPLOYER

United Way Worldwide seeks diverse, qualified professionals who want to make a difference in the world. We are an equal opportunity employer and recruit, employ, train, compensate, and promote qualified applicants without regard to race, color, religion, creed, disability, veteran status, marital status, age, sex (including pregnancy), sexual orientation, gender identity, gender expression, national origin or ancestry, genetic information, and other legally protected characteristics, in accordance with applicable laws. The EEO is the Law poster is available here: http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf. If you need a reasonable accommodation because of a disability for any part of the employment process, please e-mail aaron.gibson@uww.unitedway.org or call 571-360-6273 and provide the nature of your request and your contact information.

We are a charter member of Employers of National Service and encourage AmeriCorps, Peace Corps, and other national service alumni to apply.

DIVERSITY & INCLUSION STATEMENT OF PRINCIPLE

We take the broadest possible view of diversity.

We value the visible and invisible qualities that make you who you are.

We welcome that every person brings a unique perspective and experience to advance our mission and progress our fight for the health, education, and financial stability of every person in every community.

We believe that each United Way community member, donor, volunteer, advocate, and employee must have equal access to solving community problems.

We strive to include diversity, equity, and inclusion practices at the center of our daily work.

We commit to using these practices for our business and our communities.

Join us in embracing diversity, equity and inclusion for every person in every community.

LIVE UNITED.

Thank you for your interest in an internship opportunity with United Way Worldwide. You will be contacted if your qualifications are a good match and you are selected for an interview.","https://www.linkedin.com/jobs/view/externalApply/2486958834?url=https%3A%2F%2Fcareers%2Eunitedway%2Eorg%2Fjob%2Fintern-people-engagement-1&urlHash=wv3c&refId=034a3105-e49d-4e4b-bbc2-1916821ebef8&trackingId=tRNCJmZLyG4%2FiRGcJgHD%2FQ%3D%3D&trk=public_jobs_apply-link-offsite",0.008923422827018154,
75,"DesignDevelopment Internship 2021","Forms+Surfaces","Carpinteria, CA","Design+Development Internship 2021

Forms+Surfaces is a leading designer and manufacturer of architectural products used to enhance life in public space--indoors, outdoors, and everywhere in between.

Our Design+Development team consists of Industrial Designers, Textile Designers, Engineers, and a skilled Prototype Team fueled by a love for problem-solving and driven by collaboration. At F+S we design and manufacture all of our products from the ground up with an emphasis on innovation and sustainability. We pride ourselves on the investigation and execution of products and concepts that no one else brings to market.

Currently, we are seeking highly talented and creative individuals to intern with our Design+Development team. As a member of the D+D team, you will report to one of our Senior Designers and be exposed to a diverse array of large and small-scale prototyping and manufacturing processes with the intention of pushing them to their limits. Our ideal candidate enjoys being challenged, has the ability to come up with creative solutions, is great at multitasking, and has a passion for design in all forms. We want someone who is comfortable working with unexpected materials and processes, and ultimately has a serious passion for design. This position offers many opportunities for personal growth. Not only will you be involved in the design of current products, but also exposed to the manufacturing, marketing, and research of new products.

Portfolios are a necessity for Internship consideration. Great emphasis is placed on simplicity in presentation with clear and concise project development and excellent support imagery.

Specific Skills
Excellent verbal and written communication skills
Strong proficiency in Adobe Suite (emphasis on IL, PS, and ID)
Education Preferably in one of the following concentrations: Industrial Design, Textile Design, Architecture or Interior Design.
A positive attitude with an emphasis on self-motivation and personal growth
A portfolio that shows diversity, attention to detail, and innovation
Ability to prioritize and re-prioritize workload as needed
Insistence on high-quality work with great focus on detail
Experience in SolidWorks CAD software is desired, but not critical

Application Deadlines – Flexible depending on Candidates availability

Winter (Jan-Feb): deadline November 20th.

Spring (Mar-May): deadline January 20th.

Summer (Jun-Aug): deadline April 20th

Fall (Sept-Nov): deadline July 20th

EOE

Powered by JazzHR","https://www.linkedin.com/jobs/view/externalApply/2498967114?url=https%3A%2F%2Fwww%2Eadzuna%2Ecom%2Fdetails%2F2080440397%3Fv%3D807435D5FF911895CC7BAF51FAA0419979A0CE3F%26r%3D6809450%26ccd%3D1977f079795e8322b9d0fc2701b28782%26frd%3D0a47f61026a205e721e93018d9f99af0%26utm_source%3Dlinkedin5%26utm_medium%3Dorganic%26partnerb%3D1%26chnlid%3D696&urlHash=C_hz&refId=922a997f-ba79-4752-84c1-6b4d66c5c0dd&trackingId=mM9k0JOC0aErzumL6QU5mA%3D%3D&trk=public_jobs_apply-link-offsite",0.0036204726969578157,
50,"INTERN - POLITICAL AFFAIRS (Multiple)","United Nations","New York, United States","Org. Setting and Reporting
The United Nations Department of Safety and Security (UNDSS) is responsible for providing leadership, operational support and oversight of the security management system to enable the safest and most efficient conduct of the security programmes and activities of the United Nations System. This internship opportunity is located in the Strategic Planning and Policy Service (SPPS) within UNDSS. Besides serving as a secretariat for the Inter-Agency Security Management Network, the role of SPPS is to coordinate the development and promulgation of common United Nations Security Management System policies and to support senior management on key substantive issues related to strategic planning of the Department. SPPS contributes to the UNDSS' efforts to to enable the implementation of United Nations mandate while ensuring safety and security of United Nations personnel.

The internship is for a period of two to six months depending on the needs of the Department. The internship is UNPAID and full- time. Interns work five days (35 hours) per week under the supervision of a staff member in the department or office to which they are assigned.

In the context of the COVID-19 pandemic, applicants may be requested to undertake the internship remotely in view of constraints regarding visa issuance, international travel and access to UN premises. Applicants must be willing and prepared to undertake the internship remotely for a part or the entirety of the internship.

Responsibilities

The intern will perform the following duties:
Provide assistance in preparing, reviewing and editing official documents, ensuring accuracy and consistency;
Provide assistance in maintaining records and data sets;
Attend and summarize conferences and meetings;
Conduct research, including document, legal and internet searches;
Provide assistance during conferences and meetings;
Fulfill other duties as required.
Competencies

Communication
Speaks and writes clearly and effectively.
Listens to others, correctly interprets messages from others and responds appropriately.
Asks questions to clarify, and exhibits interest in having two-way communication.
Tailors language, tone, style and format to match the audience.
Demonstrates openness in sharing information and keeping people informed.
Teamwork
Works collaboratively with colleagues to achieve organizational goals.
Solicits input by genuinely valuing others' ideas and expertise; is willing to learn from others.
Places team agenda before personal agenda.
Supports and acts in accordance with final group decision, even when such decisions may not entirely reflect own position.
Shares credit for team accomplishments and accepts joint responsibility for team shortcomings.
Planning & Organizing
Develops clear goals that are consistent with agreed strategies.
Identifies priority activities and assignments; adjusts priorities as required.
Allocates appropriate amount of time and resources for completing work.
Foresees risks and allows for contingencies when planning.
Monitors and adjusts plans and actions as necessary.
Uses time efficiently.
Education
To qualify for an internship with the United Nations Internship Programme, the following conditions must be met:
The applicants must meet one of the following requirements:
Be enrolled in, or have completed, a graduate school programme (second university degree or equivalent, or higher); or,
Be enrolled in, or have completed, the final academic year of a first university degree programme (minimum bachelor’s level or equivalent).
Be computer literate in standard software applications;
Have a demonstrated keen interest in the work of the United Nations and have a personal commitment to the ideals of the Charter; and
Have a demonstrated ability to successfully interact with individuals of different cultural backgrounds and beliefs, which include willingness to try and understand and be tolerant of differing opinions and views.
Work Experience
No working experience is required to apply for the United Nations Internship Programme. Your training, education, advance course work or skills should benefit the United Nations during your internship.
Languages
English and French are the working languages of the United Nations Secretariat. For the internship advertised, fluency in English (both oral and written) is required. Fluency in French is desirable.
Assessment
Evaluation of qualified candidates may include an assessment exercise which may be followed by an interview. Please note that due to large number of applicants, departments are not necessarily in a position to reply to each request and only short-listed applicants will be contacted for further consideration.
Special Notice
A completed online application (Cover Note and Personal History Profile) is required. Incomplete applications will not be reviewed. Due to the high volume of applications received, we can ONLY contact successful candidates.

The Cover Note Must Include The Following
Title of degree you are currently pursuing, or have completed.
Graduation Date (When will you graduate / have graduated from the programme?).
IT skills and programmes that you are proficient in.
Top three areas of interest.
Explain why you are the best candidate for this specific internship.
Explain your interest in the United Nations Internship Programme.
In your online Personal History Profile, be sure to include all past work experiences, IT skills, and three references.

Interns are not financially remunerated by the United Nations. Costs and arrangements for travel, visas, accommodation and living expenses are the responsibility of interns or their sponsoring institutions. For internships in the United States of America, interns who are not United States citizens, permanent residents or not currently in the United States on a nonimmigrant visa status will be required to obtain a G-4 visa. If already in the United States of America on another non-immigrant visa status other than G-4, interns will be responsible for ensuring that they have a valid visa, and if required, employment authorization, allowing them to undertake the internship.

Additionally, All Interns Must Adhere To The Following
A person who is the child or sibling of a staff member shall not be eligible to apply for an internship at the United Nations. An applicant who bears to a staff member any other family relationship may be engaged as an intern, provided that he or she shall not be assigned to the same work unit of the staff member nor placed under the direct or indirect supervision of the staff member. For purposes of this instruction, “child” means (i) the child of a staff member; (ii) the child of the spouse of a staff member (stepchild); and (iii) the spouse of a child of a staff member or a staff member’s spouse (son- or daughter-in-law). “Sibling” includes the child of both or either parent of a staff member and the child.
Observe of all applicable rules, regulations, instructions, procedures and directives of the Organization notwithstanding their status as described in section 4 of the UN Internship
Programme Administrative Instructions ST/AI/2000/9, ST/AI/2005/11, and ST/AI/2020/1.
Provide the receiving departments/offices with a copy of all materials prepared by them during the internship. The UN shall be entitled to all property rights, including but not limited to patents, copyrights and trademarks, with regard to material which bears a direct relation to; or is made in consequence of, the services provided under the internship. At the request of the
UN, the interns shall assist in securing such property rights and transferring them to the UN in compliance with the requirements of the applicable law.
Show respect the impartiality and independence required of the UN and of the receiving department/office and shall not seek or accept instructions regarding the services performed under the internship agreement from any Government or from any authority external to the UN.
Unless otherwise authorized by the appropriate official in the receiving department/office, they may not communicate at any time to the media or to any institution, person, Government
or any other external source any information which has become known to them by reason of their association with the UN or the receiving department/office, that they know or ought to have known has not been made public. They may not use any such information without the written authorization of the appropriate official, and such information may never be used for personal gain. These obligations also apply after the end of the internship with the UN; and refrain from any conduct that would adversely reflect on the UN or on the receiving department/office and will not engage in any activity which is incompatible with the aims and objectives of the UN.

United Nations Considerations
According to article 101, paragraph 3, of the Charter of the United Nations, the paramount consideration in the employment of the staff is the necessity of securing the highest standards of efficiency, competence, and integrity. Candidates will not be considered for employment with the United Nations if they have committed violations of international human rights law, violations of international humanitarian law, sexual exploitation, sexual abuse, or sexual harassment, or if there are reasonable grounds to believe that they have been involved in the commission of any of these acts. The term “sexual exploitation” means any actual or attempted abuse of a position of vulnerability, differential power, or trust, for sexual purposes, including, but not limited to, profiting monetarily, socially or politically from the sexual exploitation of another. The term “sexual abuse” means the actual or threatened physical intrusion of a sexual nature, whether by force or under unequal or coercive conditions. The term “sexual harassment” means any unwelcome conduct of a sexual nature that might reasonably be expected or be perceived to cause offence or humiliation, when such conduct interferes with work, is made a condition of employment or creates an intimidating, hostile or offensive work environment, and when the gravity of the conduct warrants the termination of the perpetrator’s working relationship. Candidates who have committed crimes other than minor traffic offences may not be considered for employment.

Due regard will be paid to the importance of recruiting the staff on as wide a geographical basis as possible. The United Nations places no restrictions on the eligibility of men and women to participate in any capacity and under conditions of equality in its principal and subsidiary organs. The United Nations Secretariat is a non-smoking environment.

The paramount consideration in the appointment, transfer, or promotion of staff shall be the necessity of securing the highest standards of efficiency, competence, and integrity. By accepting an offer of appointment, United Nations staff members are subject to the authority of the Secretary-General and assignment by him or her to any activities or offices of the United Nations in accordance with staff regulation 1.2 (c). In this context, all internationally recruited staff members shall be required to move periodically to discharge new functions within or across duty stations under conditions established by the Secretary-General.

Applicants are urged to follow carefully all instructions available in the online recruitment platform, inspira. For more detailed guidance, applicants may refer to the Manual for the Applicant, which can be accessed by clicking on “Manuals” hyper-link on the upper right side of the inspira account-holder homepage.

The evaluation of applicants will be conducted on the basis of the information submitted in the application according to the evaluation criteria of the job opening and the applicable internal legislations of the United Nations including the Charter of the United Nations, resolutions of the General Assembly, the Staff Regulations and Rules, administrative issuances and guidelines. Applicants must provide complete and accurate information pertaining to their personal profile and qualifications according to the instructions provided in inspira to be considered for the current job opening. No amendment, addition, deletion, revision or modification shall be made to applications that have been submitted. Candidates under serious consideration for selection will be subject to reference checks to verify the information provided in the application.

Job openings advertised on the Careers Portal will be removed at 11:59 p.m. (New York time) on the deadline date.
No Fee
THE UNITED NATIONS DOES NOT CHARGE A FEE AT ANY STAGE OF THE RECRUITMENT PROCESS (APPLICATION, INTERVIEW MEETING, PROCESSING, OR TRAINING). THE UNITED NATIONS DOES NOT CONCERN ITSELF WITH INFORMATION ON APPLICANTS’ BANK ACCOUNTS.","https://www.linkedin.com/jobs/view/externalApply/2449764559?url=https%3A%2F%2Fcareers%2Eun%2Eorg%2Flbw%2Fjobdetail%2Easpx%3Fid%3D150772&urlHash=INrV&refId=edae8af6-556e-473a-9135-45171729d366&trackingId=fUV6o%2BDZPn%2FrQGlRTiTiaQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0032225271763816603,
51,"Intern *","Morgan Stanley","New York, NY","Responsibilities
Gain industry and organizational knowledge through daily business interactions and job assignments.
Develop business, financial and analytical skills needed for career in global wealth management and financial services.
Provide marketing and sales support to branches and their teams.
Perform market research.
Gain exposure to wealth management business, products, services and clients’ financial needs.

Requirements
High school diploma required. In pursuit of college degree preferable.
At least 18 years of age.
Internships are intended to be positions that are for limited duration, with a maximum duration ten months.
Strong desire to gain further understanding of the global wealth management business.
Effective communication and interpersonal skills (both written and verbal)
Ability to work on a team.
Strong analytical skills and ability to interpret.

Morgan Stanley

EOE committed to diversifying its workforce.

M/F/D/V.

Posting Date

Apr 1, 2021

Primary Location

Americas-United States of America-New York-New York

Education Level

Associate's Degree

Job

Wealth Management

Employment Type

Intern

Job Level

Non-Exempt","https://www.linkedin.com/jobs/view/externalApply/2467687384?url=https%3A%2F%2Fms%2Etaleo%2Enet%2Fcareersection%2F2%2Fjobdetail%2Eftl%3Fjob%3D3169505%26lang%3Den%26src%3DJB-10109&urlHash=-9Bj&refId=edae8af6-556e-473a-9135-45171729d366&trackingId=qZd8pVc1ehY7Zsxm%2BAlSlQ%3D%3D&trk=public_jobs_apply-link-offsite",0.006316865480539505,
