Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
0,"Media/Public Relations Intern","Pearson","Providence, RI","Job Information

Pearson Media/Public Relations Intern in Providence, Rhode Island

Media/Public Relations Intern - ( 2103471 )

Description

The GED test has opened doors to better jobs and college programs for more than 20 million graduates since 1942. The GED test is accepted by virtually all U.S. colleges and employers. As the creator of the official GED test, GED Testing Service has a responsibility to ensure that the program continues to be a reliable and valuable pathway to a better life for the millions of adults without a high school diploma. GED Testing Service is a joint venture between the American Council on Education and Pearson. For more information, go to ged.com.

GED Testing Service is seeking a digital media savvy intern to maintain and expand our PR/Communications and communications with key stakeholders. Our new team member will help craft and implement our communications plans and digital marketing campaigns. You can expect to help draft press releases, media statements, newsletters, social media content, as well as work on tracking and measuring social and traditional media coverage of the GED brand.

We are seeking someone who is a strong writer, detail-oriented, and knowledgeable about media trends. You should be a self-starter, creative thinker, collaborative contributor, and have a positive attitude.

The person in this role will work very closely with the Communications/PR and Marketing teams, interact with the organization's executive leaders, and report to the communications director. Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications
• Currently a junior or senior in college, in pursuit of a bachelors degree in Communications, Public Relations, Marketing or related field
• Strong writing and verbal communication skills and well versed in grammar. Must be able to write in both professional and conversational/personable tones.
• Understand and be comfortable using the large social media platforms Facebook, Twitter, Instagram, and YouTube
• Interested and familiar with education, public relations/communications, and social media
• Team player who works well with others and isnt afraid to ask questions
• Detail-oriented, cares about how our communications will impact thousands of people
• Develop new content, including blog posts, emails, newsletter ideas
• Support communications director with daily operations including drafting press releases and statements, media outreach, pitching journalists, and creating educator-facing content
• Work closely with State Relationship Managers and other teams to create one-pagers and fact sheets to support state level and national work
• Build and update media lists and databases; monitor daily news and mentions; create internal newsletters through media monitoring software
• Plan, schedule, and upload content on Facebook, Twitter, LinkedIn
• Assist marketing team with monitoring all social media channels to engage with users through Hootsuite
• Assist with tracking analytics and developing reports related to media mentions, newsletter readership, and website traffic

Primary Location : US-RE-Remote

Work Locations :

US-Remote

Remote

Job : Communication

Organization : Assessments VUE

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Travel : No

Job Posting : Mar 9, 2021

Job Unposting : Ongoing

Schedule: : Part-time Temporary

Req ID: 2103471","https://www.internships.com/posting/bug_38966828061?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.12733216642194892,
13,"Public Relations Coordinator Intern (Summer 2021)","Electronic Arts (EA)","Los Angeles, CA","The integrated communications team is looking for a public relations coordinator intern. As a member of the team you'll work closely with the integrated communications director and PR managers to manage the logistics of daily communication including planning for internal and external communications. You will work across all elements of the integrated team including social media, core community, and influencer planning. From event execution to brief creation this is a chance to see how Electronic Arts works with the world.

The integrated communications primary goal is to create and execute plans to deliver the narrative of Electronic Arts. Creating events and revealing plans for games with earned media and influencers is just the start of the journey. We also tell stories across social media and directly to our consumers through owned channels. Working with external agencies and teams throughout EA, we play an essential part in the go-to-market strategy for our games.

Responsibilities
You will work with other EA teams to align on execution of communication plans.
You will manage the logistics of internal communications and execution documentation.
You will help with internal team scheduling and planning
You will help manage tactics and strategy execution for studio projects
This is a great opportunity to learn about the game industry and experience working for a world-class communication organization.
What you will learn
Gain insight into the go-to-market plans created across businesses within EA
First hand experience on how communication plans are created and executed .
Experience managing the logistics of communication planning and crisis communication
Experience working with an external agency and integrated comms teams.

Required Skills
Bachelor's student majoring in Business, Communications, Journalism, or a related field slated to graduate no earlier than May 2022
You must be legally authorized to work in the US on a full time basis during the 12-week internship. Visa sponsorship is not available for this position.
Creativity and a desire to work with multiple teams to deliver and coordinate complex communication plans.
Comfortable working with Excel, Word, and other Microsoft Office or related products.
Familiarity with the Google productivity software, Google Drive, and Powerpoint
Ability to learn quickly and work efficiently in a fast-paced environment.
Work from home environment for the internship.","https://www.linkedin.com/jobs/view/externalApply/2478339250?url=https%3A%2F%2Fea%2Egr8people%2Ecom%2Fjobs%2F165221%2Fpublic-relations-coordinator-intern-summer-2021%3Fsid%3D4&urlHash=UyqD&refId=7fcd724e-aad0-4b0c-ba15-62d0d744d26c&trackingId=S1wDWnQoM6fkYHbRgx1n5A%3D%3D&trk=public_jobs_apply-link-offsite",0.04299093240318456,
1,"Social Communications Intern","Hasbro","Pawtucket, RI","Imagine aninternship where work feels like play – it's fun, creative, challenging, and incredibly rewarding. At Hasbro, you work with an amazing team to help tell the world about the most beloved play brands. Successful candidates are proactive, energetic, collaborative, responsive, flexible, and creative. The Social CommunicationsInternwill support the team on a variety of projects that support the Brand Publicity functions of the department including:

A day in the life of a Social Communications Intern...
• Collaborating with cross-functional teams on the development and execution of integrated social media strategies that support PR initiatives such as brand launches, product announcements or entertainment reveals, ensuring consistency throughout all communication channels.
• Support social activations forall large-scale events
• Support day-to-day community management with a team of community managers for multiple Hasbro corporate and brand social media channels including Facebook, Twitter, Instagram and other relevant social channels
• Posting and scheduling social content, monitoring conversations and fostering thoughtful dialogue with fans/followers
• Partnering closely with Global Consumer Care team to field and respond to consumer inquiries that emerge on social media
• Maintaining guardrails and escalation protocols, managing issues and crises by collaborating with PR counterparts
• Working with marketing and ecommerce partners on development and community management of paid social campaigns
• Being the eyes and ears of Hasbro's Brands and communicating findings to the appropriate cross-functional team when necessary
• Assist in identifying influencers, outreach, and tracking on social media

What you'll bring...
• Stellar listening and writing skills with a sharp eye for detail
• Creative problem-solving skills
• Global thinking
• Able to work collaboratively and independently with ease
• Strong leadership and organizational skills
• Integrity and reliability

Qualifiactions...
• Enrollment in an undergraduate degree program with a GPA of 3.2 or higher
• Major in communications, public relations, marketing, or journalism","https://www.ziprecruiter.com/c/Hasbro/Job/Social-Communications-Intern/-in-Pawtucket,RI?jid=7206f6eb5f9a31ed&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.08935590662359932,
9,"Media/Public Relations Intern","Pearson","Boston, MA (+1 other)","Job Information

Pearson Media/Public Relations Intern in Boston, Massachusetts

Media/Public Relations Intern - ( 2103471 )

Description

The GED test has opened doors to better jobs and college programs for more than 20 million graduates since 1942. The GED test is accepted by virtually all U.S. colleges and employers. As the creator of the official GED test, GED Testing Service has a responsibility to ensure that the program continues to be a reliable and valuable pathway to a better life for the millions of adults without a high school diploma. GED Testing Service is a joint venture between the American Council on Education and Pearson. For more information, go to ged.com.

GED Testing Service is seeking a digital media savvy intern to maintain and expand our PR/Communications and communications with key stakeholders. Our new team member will help craft and implement our communications plans and digital marketing campaigns. You can expect to help draft press releases, media statements, newsletters, social media content, as well as work on tracking and measuring social and traditional media coverage of the GED brand.

We are seeking someone who is a strong writer, detail-oriented, and knowledgeable about media trends. You should be a self-starter, creative thinker, collaborative contributor, and have a positive attitude.

The person in this role will work very closely with the Communications/PR and Marketing teams, interact with the organization's executive leaders, and report to the communications director. Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications
• Currently a junior or senior in college, in pursuit of a bachelors degree in Communications, Public Relations, Marketing or related field
• Strong writing and verbal communication skills and well versed in grammar. Must be able to write in both professional and conversational/personable tones.
• Understand and be comfortable using the large social media platforms Facebook, Twitter, Instagram, and YouTube
• Interested and familiar with education, public relations/communications, and social media
• Team player who works well with others and isnt afraid to ask questions
• Detail-oriented, cares about how our communications will impact thousands of people
• Develop new content, including blog posts, emails, newsletter ideas
• Support communications director with daily operations including drafting press releases and statements, media outreach, pitching journalists, and creating educator-facing content
• Work closely with State Relationship Managers and other teams to create one-pagers and fact sheets to support state level and national work
• Build and update media lists and databases; monitor daily news and mentions; create internal newsletters through media monitoring software
• Plan, schedule, and upload content on Facebook, Twitter, LinkedIn
• Assist marketing team with monitoring all social media channels to engage with users through Hootsuite
• Assist with tracking analytics and developing reports related to media mentions, newsletter readership, and website traffic

Primary Location : US-RE-Remote

Work Locations :

US-Remote

Remote

Job : Communication

Organization : Assessments VUE

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Travel : No

Job Posting : Mar 9, 2021

Job Unposting : Ongoing

Schedule: : Part-time Temporary

Req ID: 2103471","https://www.internships.com/posting/bug_38964729537?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.23556450633056505,
19,"Climate Museum Public Relations Internship (remote)","The Climate Museum","New York City Metropolitan Area","The Climate Museum is seeking a college or graduate student intern to join our team of climate ambassadors for the summer of 2021. Our mission is to inspire action on the climate crisis with programming across the arts and sciences that deepens understanding, builds connections, and advances just solutions. 

The Museum has been offering public programming since 2017 to meet the rising demand for multiple pathways into civic engagement and climate action. Through exhibitions, panels, workshops, educational initiatives, and youth programs, it builds community around just solutions, mobilizing people to join the fight for a brighter future. Programs are presented at the Museum’s exhibition hub on Governors Island, in parks, galleries, and other venues citywide and, as of March of 2020, through online platforms and virtual events. Additional information is available at climatemuseum.org. 

This PR internship presents the opportunity to play a generative role in a young, evolving organization. The position will be fully remote. Interns will carry out tasks in an intellectually vibrant environment within a culture centered around respect and inclusion.
Applications will be reviewed on a rolling basis starting immediately. Summer internships will begin in May and end in August; start/end dates depend upon the applicant's college schedule. 

Internship description:
The PR Intern will carry out a range of tasks in an intellectually vibrant and supportive environment. While assignments will vary depending on the immediate needs of the Climate Museum, the PR intern will largely focus on the following tasks:
Write and disseminate press releases. 
Join Communications team meetings to strategize on integrated communications plans including press releases, blog posts, social media messaging, and story ideas to pitch to journalists/ bloggers.
Expand media list. 
Promote Museum programs and events to media outlets. 
Support outreach to education, community, and nonprofit groups to promote online programs: Climate Art for Congress and Climate Ambassador Card.
Participate in team brainstorms and support the development of online programs.
Research topics related to the Museum’s mission and program development.

Qualifications:
Ability to volunteer (unpaid) for approximately 20-25 hours/week. 
College (sophomores and above) and graduate students only.
Self-starter able to work remotely and attend Google Hangout/ Zoom team meetings within the hours of 10am - 6pm EST. 
Demonstrated passion for climate issues, social justice, and/or museums.
Exceptional research and writing skills and generally strong academic qualifications with preference given for past press release writing experience. 
Understanding of fundamental publicity and PR practices. 
Enterprising and ambitious mindset balanced with outstanding collaboration skills.
Ability to maintain a flexible and positive attitude in a fast-paced and unpredictable startup environment.
Proficiency in Google Drive preferred, as well as the ability to learn new software.
Able to take direction and feedback through remote communication.

To apply:
Submit a resume and cover letter to our Submittable page. In your letter, please note your available start and end dates.  Applications will be reviewed on a rolling basis and the internship will begin in mid-May depending on the applicant's spring semester end date.

*We are also hiring general and social media interns. More info here: theclimatemuseum.submittable.com/submit

The Climate Museum highly values diversity and views the climate crisis as, among other things, a social justice crisis. People of color, people with disabilities, and people who identify as members of the LGBTQIA+ community are particularly encouraged to apply. The Climate Museum is an equal opportunity employer.","https://www.linkedin.com/jobs/view/externalApply/2474631281?url=https%3A%2F%2Ftheclimatemuseum%2Esubmittable%2Ecom%2Fsubmit%2F192179%2Fclimate-museum-summer-2021-public-relations-internship-remote&urlHash=fiI6&refId=7fcd724e-aad0-4b0c-ba15-62d0d744d26c&trackingId=wzeZza5l4fLJxJSljE1Tdw%3D%3D&trk=public_jobs_apply-link-offsite",0.02529769547626124,
5,"Marketing Internship - Summer 2021","Oracle","Providence, RI","This job code is utilized for the majority of our temporary hires. The individual is performing hourly job duties as defined under the Fair Labor Standards Act.*This is a remote/office based position which may be performed anywhere in the United States except for within the state of Colorado.**Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.*The world is changing and Oracle is looking for leaders like you to be a part of that change.We believe transformation is led by individuals with diverse backgrounds, experiences, and ways of thinking.At Oracle, we continue to push forward and innovate, not in spite of challenges, but because of them.

We're looking for motivated students who want to leave their markat one of the world's largest B2B technology companies. So, if you're looking to pursue a career in marketing - and have fun along the way - you've come to the right place.This summer, we are looking for talented individuals who want to kick-start their marketing careers in advertising, analyst relations, brand, corporate marketing, customer marketing, data science and analytics, event management, field marketing, public relations, product marketing, social/digital media... just to name a few of the marketing teams.Our mission is to help people see data in new ways, discover insights, and unlock endless possibilities.

And we can't do it without your help.Role & Responsibilities: Participate in immersive workshops to develop foundational marketing skills Engage in interactive learning activities and discussions with Oracle executives Develop marketing strategies, ideate and storyboard marketing campaigns, and/or implement activation plans Outreach and oversight of partnerships and/or sponsorships Manage and report on campaign expenses and budgets Create and manage email campaigns, webcasts, blogs, social posts, press releases, Zoom webinars and/or other pieces of digital content Track, measure and analyze engagement metrics on a variety of Oracle content to develop insights for future marketing efforts Draw insights by visualizing, mining, and synthesizing data Collaborate with key stakeholders to execute on innovative ideas Additional responsibilities may vary depending on the marketing team you are matched withQualifications: Candidates pursuing BA/BS in Business, Marketing, Communications, or similar, entering their final year of studies (in the Fall academic year preferred) Proactive self-starter capable of working both independently and in a team setting Ability to work cross-functionally and manage multiple projects simultaneously Exceptional professionalism and work ethic Strong written and oral communication skills Proficient in Microsoft Office programs Minimum 3.3 GPA preferred Web design, photography, and video/video editing skills are a plusNo visa sponsorship available for this position.Apply now to launch your career with Oracle and make your summer internship an experience to remember. #AtOracleUCan./If you are interested in working at Oracle and you have more than 2 years of professional full-time work experience (excluding internships, research and/or teaching assistant roles, and/or military experience), please apply to Oracle's experienced job openings. For information on currently open positions at Oracle, please visit/*/http://oracle.com/goto/careers/***Job:** **All Roles***Organization:** **Oracle***Title:** *Marketing Internship - Summer 2021***Location:** *United States***Requisition ID:** 2000146D","https://www.ziprecruiter.com/c/Oracle/Job/Marketing-Internship-Summer-2021/-in-Providence,RI?jid=30f899a9013d765d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.02918290400365959,
8,"Volunteer: Writer / Journalist Internship","The Borgen Project","Providence, RI","From CNN to The Huffington Post, the world is talking about the innovative movement that is downsizing global poverty. The Borgen Project believes that leaders of the most powerful nation on earth should be doing more to address global poverty. The national campaign is working to make poverty a focus of U.S. foreign policy.

The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. This is a 12-week, part-time, unpaid internship. The selected candidate will be able to work from home and pick their own schedule, but must meet weekly deadlines. Articles submitted will appear on BORGEN Magazine or The Borgen Project Blog.
• Write one article per week.
• Research topics.
• Assist with advocacy efforts.
• Assist with fundraising. Create a personal fundraising campaign and meet targets.

Qualifications Strong research and writing skills. Must be able to work independently and meet deadlines with very little supervision. Experience writing SEO friendly content is helpful, but not required.

Start Date New programs begin every month, you choose the month you wish to start.

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good","https://www.linkedin.com/jobs/view/volunteer-writer-journalist-internship-at-the-borgen-project-2410532137?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.027089615552624104,
10,"Public Relations Intern","Highwire PR","Boston, MA","Highwire Public Relations is a leading technology public relations agency based in San Francisco with offices in New York City, Boston and Chicago. We work with a wide range of clients across cloud technology, enterprise, security, financial services technology (fin-tech), and healthcare as well as consumer products and services.

Highwire has been named Technology Agency of the Year and Best Agency to work for by PRWeek, PRovoke and Inc. Magazine. We are a learning culture that welcomes diverse perspectives to develop our teams, coach for career growth and embrace new ideas.

At Highwire PR, we are entrepreneurs, makers, and explorers. We are committed to fostering an inclusive agency environment, where every employee can be seen, heard, and valued. We believe in taking and owning a seat at the table, and the equal importance of creating empowered spaces for diverse storytellers. We seek to hire, develop, and retain talented professionals from a wide range of backgrounds. Applicants from historically marginalized or underrepresented groups are encouraged to apply.

Highwire’s Internship Program stands out in our industry. With dedicated managers and mentors supporting your growth and an immediate contributing role on real client teams, Highwire interns get the coaching and experience that builds confidence and hones PR skills. We are looking for recent college graduates who are passionate about pursuing a career in PR and will take the initiative to make the most of this opportunity.

Responsibilities Include
Attending client meetings and the art of the action item
Compiling media coverage into client facing clip reports
Researching reporters, blogs and social media sites
Trend research
Drafting pitches and press materials
Conducting customer interviews
Writing press releases and blog posts
Social media
Advanced measurement and reporting

Requirements
College graduate
An enthusiastic self-starter with a ‘can do’ attitude
An eye for detail and an ability to multi-task
Strong writing and editing skills
Ability to navigate and master social media and social networking sites
Genuine interest in technology and technology companies
A background and/or experience in PR, journalism, English, political campaigns, technology and/or marketing is preferred
This is a paid position, for six months with a substantial review at three months. Successful interns may be offered full time employment (we’re rooting for you!) If you know that PR is the only career for you and you meet the requirements above, please apply with a cover letter and resume as attachments. We will only contact applicants chosen for interviews; we apologize that we cannot respond to every applicant.

The duties delineated above will vary depending on the needs of each specific account, and in no way states or implies that these are the only duties to be performed by this employee. They will be required to follow any other instructions and to perform any other duties requested by their supervisors.

If you are the breakout candidate we seek, please apply now by uploading your resume.","https://www.linkedin.com/jobs/view/externalApply/2495913004?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fhighwirepr%2F12e6d415-8abf-4aae-8b4d-a929e9c670dc%2Fapply%3Flever-source%3DLinkedIn&urlHash=D6Nu&refId=7fcd724e-aad0-4b0c-ba15-62d0d744d26c&trackingId=gvmbzTHB25HzB8lY045qnQ%3D%3D&trk=public_jobs_apply-link-offsite",0.020116767303350797,
14,"Public Relations Summer Internship","Matter Communications","Boston, MA","Public Relations Summer Internship – Boston or Newburyport, MA

Matter is an independent and thriving brand elevation agency unifying PR, social media, creative services, and digital marketing.  From fast growth startups to established brands, we work with clients across diverse industries, including technology, healthcare, consumer and professional services.  We immerse ourselves in our clients’ worlds so that we can develop and execute strategic, content-rich campaigns that inspire action and build value through measurable results.

As we’ve grown, we’ve maintained focus on building and nurturing an inclusive, team-oriented and creative environment because we know that when we tap into our collective brainpower we come up with inspired solutions for our clients and because it makes for a happy place to work. We work with people we like and can learn from, making our jobs a positive aspect of a balanced life.  At Matter, we prioritize employee diversity, equity and inclusion and value everyone’s unique story. We’re proud of the many awards that we’ve garnered as a Top Place to Work and as a Top Agency in the US, but we’re equally as proud of the many organizations that we’ve helped through our agency-wide volunteer initiative.  If you’re the kind of professional that takes their work seriously, but also doesn’t take themselves too seriously, this could be the place to grow your career.  

We’re currently looking for a part-time intern in our Boston or Newburyport, MA office.  This intern will learn about public relations programs and general business. The intern will work with assigned client teams to lay the foundation for successful public relations and marketing communications programs. You will perform work that is vital to colleagues and clients.  As part of the Matter team, you should be prepared to work hard and make contributions that directly affect the success of the team.

This is a paid internship position, 20-25 hours per week.

Responsibilities include but are not limited to:

Media scanning
Research (client and media)
Media lists (create, update, etc.)
Writing (press material and pitches)
Reports (client and team)
Ad hoc projects
Qualifications:

A recent college graduate or junior/senior college student
Minimum 3.0 GPA
Prior PR experience a plus
Skills:

Superior written and oral communication skills
Ability to multi-task
Strong work ethic and a desire to learn public relations
Attention to detail
Matter provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.","https://www.linkedin.com/jobs/view/externalApply/2490363625?url=https%3A%2F%2Fapp%2Eapplytojob%2Ecom%2Fapply%2Fjob%2FtfII4O2iey%3Fsource%3DLINKR&urlHash=W2-1&refId=7fcd724e-aad0-4b0c-ba15-62d0d744d26c&trackingId=j6eL367rJFv7XHbhMWxvFQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0696279793885242,
15,"Public Relations Intern","JConnelly","New York City Metropolitan Area","About JConnelly
JConnelly is a pioneer in the evolution of how companies and individuals communicate, connect and engage. We build, grow and protect premier brands, mitigate and manage crisis, and influence change. Our clients value our expertise, access, and most importantly, our passion for service and results.
 Our work and firm have been recognized by AVA Digital Awards, Telly Awards, Gramercy Institute, PRSA Pyramid Awards, Bulldog Stars of PR, MarCom Awards and more. 
 Our people make JConnelly great. We provide a work environment that encourages collaboration, creative thinking, and the ability for individuals to do their best work while enjoying and prioritizing other aspects of their lives. It’s why we’ve been recognized as a Best Place to Work since 2011.

Requirements/Skills:
Public relations interns will be actively enrolled in, or a recent graduate of, a university public relations, marketing, advertising or other related program. Current students will preferably have at least junior/senior standing. The individual must demonstrate the ability to undertake basic public relations assignments and possess an understanding of basic media relations skills and good judgment. A working knowledge of computers, as well as Microsoft Office, is necessary. The public relations intern will be mentored by the public relations account executives and support top management.

This is a paid internship. Interns will work two days a week.

Responsibilities:
•  Assists with the development and updating of media lists and other databases, including client, marketing, prospect and administrative databases. Other tasks include database creation, data entry and updating additions and corrections
•  Drafts pitches to reporters for press to gain media coverage for clients
•  Assists with PR plans, executing the tactics and strategy with the guidance of the team leader
•  Assists with the management of newspaper and periodical inventories for easy access
•  Supports the firm’s efforts by drafting new client releases and performing research activities
•  Aids firm staff with other client, business development and firm management projects as needed
•  Assists with any administrative duties necessary

In addition, we are seeking professionals who possess the following characteristics:
Superior interpersonal skills
Proactive mindset
Collaborative nature
Results driven
Detail oriented
Strong work ethic

We will be accepting applications for a Summer 2021 internship until April 30.","https://www.linkedin.com/jobs/view/externalApply/2474603915?url=https%3A%2F%2Fworkforcenow%2Eadp%2Ecom%2Fmascsr%2Fdefault%2Fmdf%2Frecruitment%2Frecruitment%2Ehtml%3Fcid%3D7e077611-dd95-476c-be77-39e411f170cf%26ccId%3D19000101_000001%26jobId%3D404122%26source%3DCC2%26lang%3Den_US&urlHash=VjRc&refId=7fcd724e-aad0-4b0c-ba15-62d0d744d26c&trackingId=XE4MZwtiOzKiwEStZIp79g%3D%3D&trk=public_jobs_apply-link-offsite",0.031663450815788106,
