Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
3,"Quality Assurance Intern","CooperSurgical","Hartford, CT","Quality Assurance Intern

Scope

The Quality Assurance intern will support the quality assurance department including support for quality auditing and maintenance of quality records. The intern position will interact directly with manufacturing and engineering departments and may also provide support of other Cooper Surgical sites as requested.
Essential Functions
Works with production, engineering and quality engineering.
Performs other related duties as assigned.
Create workflows and update job responsibilities
Learn and understand Quality processes and make recommendations to improve
Learn and recognized Responsibility, accountability of quality personnel (RACI)


Share","https://www.linkedin.com/jobs/view/externalApply/2431162553?url=https%3A%2F%2Fphg%2Etbe%2Etaleo%2Enet%2Fphg01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DCOOPSURG%26cws%3D37%26rid%3D2970%26source%3DLinkedIn%26src%3DLinkedIn%26gns%3DLinkedIn&urlHash=QfLf&refId=55f98d16-f536-43e3-93ee-867e15e8df5c&trackingId=r6zX8YtrU8v597m%2F2NtmrQ%3D%3D&trk=public_jobs_apply-link-offsite",0.038101481352218414,
21,"Quality Assurance Intern","Albertsons Companies","Phoenix, AZ","Albertsons Safeway is working to become the favorite food and drug retailer in every market it serves. The organization includes 2,230 stores, 27 distribution facilities and 16 manufacturing plants with over 250,000 employees across 34 states and the District of Columbia. The company is privately owned with supermarkets across the country that include; Albertsons, Safeway, Vons, Pavilions, Randalls, Tom Thumb, Carrs, ACME, Jewel-Osco, Lucky, Shaw's, Star Market, Super Saver, United Supermarkets, Market Street and Amigos.

The Supply Operations Phoenix Ice Cream Plant, located in Phoenix, AZ has an opening for an Intern for the Quality Assurance Department

Assist QA Coordinator and QA Manager with daily tasks including but not limited to:
Update customer complaint tracker on a daily basis
Investigate customer complaints received by reviewing production and quality records
Update staff and production meeting powerpoints with relevant QA data (complaint data, holds, master sanitation and training progress)
Enter non compliances from audits into Corrective Action Log and follow up on completion
Data entry into internal QA database
Help create/update electronic forms on the plants new paperless program
Ingredient sampling and micro plating
Update QA specification binders
Collect and prepare ingredient/finished product sample requests
Assist in data collection for waste savings project
Must follow all Safeway policies, procedures, and workplace safety rules
Must have ability to multi-task in fast paced environment with limited supervision
Must have excellent organizational skills with a high degree of initiative and flexibility.
Must have good analytical and problem solving skills.
Must be proficient in window based PC programs
Must have good oral/written communication skills

We foster an inclusive working environment where the different strengths and perspectives of each employee is both recognized and valued. We believe that building successful relationships with our customers and our communities is only possible through the diversity of our people. And, a diverse workforce leads to better teamwork and creative thinking, as well as mutual understanding and respect. We provide employment, training, compensation, promotion and other conditions of employment without regard to race, color, religion, sexual orientation, gender identity, national origin, sex, age, disability, veteran status, medical condition, marital status or any other legally protected status.

We support a drug-free workplace -- all applicants offered a position are required to pass a pre-employment drug test before they are hired.

AN EQUAL OPPORTUNITY EMPLOYER","https://www.linkedin.com/jobs/view/externalApply/2430058828?url=https%3A%2F%2Frecruiting%2Eadp%2Ecom%2Fsrccsh%2Fpublic%2FRTI%2Ehome%3Fr%3D5000620310506%26c%3D1208301%26d%3DExternal%26rb%3DLINKEDIN&urlHash=uHVF&refId=55f98d16-f536-43e3-93ee-867e15e8df5c&trackingId=nKZMrF9rCR5K%2FzTjsJbs7A%3D%3D&trk=public_jobs_apply-link-offsite",0.012066382195278577,
24,"Intern Design Quality Assurance","Exactech","Gainesville, FL","Requisition Number: INTER01796

Summer Internship Assignment includes
Provide support for inspection planning and requirements generation; manufacturing quality planning and execution.
Provide support to facilitate resolution of product non-conformities.
Provide support for risk management files and their creation/assessment
Assist in the planning, creation and execution of automated programs and measurement system analysis (MSA).
Assist in the creation of Quality Management System (QMS) SOP’s, WI’s and Forms.
Assist in corrective and preventive action projects as necessary.
Assist and support other team members as necessary.

Qualifications
Strong computer skills including proficiency with Microsoft Word, Excel, PowerPoint, Outlook, and web-browsers
Motivated to take initiative and work effectively in teams
Excellent communication and organizational skills
Ability to quickly adapt to new work and handle multiple priorities
Effectively work in an extremely fast-paced, dynamic environment
Work collaboratively on a diverse team
Ability to maintain confidentiality of employees and company sensitive information
Ability to work 30-40 hours per week during summer semester
Education

Juniors/Seniors enrolled in undergraduate degree program in Human Resources, Business Administration, or related major preferred

SDL2019-64","https://www.linkedin.com/jobs/view/externalApply/2499305373?url=https%3A%2F%2Fwww%2Estartwire%2Ecom%2Fjobs%2Fgainesville-fl%2Fintern-design-quality-assurance-2820887303%3Fcampaign%3D128%26source%3DLI&urlHash=qHxf&refId=55f98d16-f536-43e3-93ee-867e15e8df5c&trackingId=uHUsXbs5Jhj3U8baXvJCfg%3D%3D&trk=public_jobs_apply-link-offsite",0.022654484417583855,
32,"Quality Assurance Intern","CooperSurgical","Rocky Hill, CT","","https://www.linkedin.com/jobs/view/quality-assurance-intern-at-coopersurgical-2431162553?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.008436818174132612,
7,"Intern, Quality Assurance","Brooks Automation","South Plainfield, NJ","Description

Are you a looking to gain some valuable working experience by working with a leader in the Biotech Industry? Do you want to be part of a team that enjoys a challenge but also knows how to have fun? Do you want to be part of a company whose goal is to be the best in the world and the best for the world?

If you answered “yes” to any of these questions, you could be a perfect fit for our growing team!

GENEWIZ is seeking an Intern to join our Quality Assurance Department. This position will work closely with our entire QA Department and many of our internal departments in order to effectively manage the GENEWIZ Quality System.

Title: Intern, Quality Assurance
Location: South Plainfield, NJ

Responsibilities
Assist in indexing and organizing the regulated GLP Archive to maintain security and data integrity of regulated records.
Ensure orderly storage and expedient retrieval of all study and facility records.
Transfer of paper documents to electronic records via scanning as appropriate, and organization of records within the electronic repository. Assist in routine tasks as needed.
Assist in the transfer of current paper-based equipment maintenance record system to electronic system.
Transfer key attributes of each piece of regulated equipment. Assist in setting up the new system with the correct fields and intervals to ensure compliance with GENEWIZ SOPs and regulatory requirements.
Assist in writing user SOP for the new system.

Qualifications
High School Diploma required
Proficient in Microsoft Office, especially Excel
Strong written and verbal communication skills
Detail oriented with strong organizational skills
GENEWIZ is a leading global genomics service company and trusted provider for DNA sequencing, gene synthesis, molecular biology, next generation sequencing, bioinformatics, and GLP regulatory services.

From the company’s founding, GENEWIZ has maintained its unwavering commitment to providing customers with the best value. Excelling in both science and customer support, GENEWIZ is dedicated to accelerating scientific discovery, as well as to developing and delivering innovative solutions for translational medicine and healthcare. Easily accessible around the world,

GENEWIZ is the preferred partner at leading academic, pharmaceutical, biotechnology, agricultural, government, and clinical institutions.

GENEWIZ employees have a winning attitude and champion innovation, teamwork and accountability through a results-oriented, customer-centric, and fun culture. We offer various health and financial benefits, learning opportunities, competitive compensation, rewarding bonus programs, and a wide range of work/life benefits designed to make your life easier.

EOE M/F/Disabled/Vet","https://www.linkedin.com/jobs/view/externalApply/2486490877?url=https%3A%2F%2Fcareers%2Ebrooks%2Ecom%2Fjob-detail%2Fintern-quality-assurance-r4902%3Futm_campaign%3DLinkedIn&urlHash=ZGci&refId=55f98d16-f536-43e3-93ee-867e15e8df5c&trackingId=lm7NuUl1R3nPkb6aBO4t9g%3D%3D&trk=public_jobs_apply-link-offsite",0.009106105620324354,
33,"Software Engineer Intern - PVD","Mojotech","Providence, RI (+1 other)","MojoTech started as an engineering-only firm in 2008 and it remains the foundation of who we are. Our team includes former lead engineers of successful startups as well as scientists from NASA and the U.S. Navy. We continually build upon this base of experience and technical expertise through intensive training and mentorship. By pairing our software engineers with exceptional designers and project managers, we've created Mojos; teams that transform complex business problems into elegant solutions. What will you work on? Internship projects vary, but they may include things like working on self-contained projects, experimenting with new technologies, contributing toward open source projects, or internal tooling for MojoTech. At MojoTech, some of the facets of software engineering you will experience are: Software design/discovery Writing quality software Code review: learn how to give and receive feedback from a team that places a premium on the value of code reviews Software testing best practices/QA UI implementation Product management What are the requirements? Curiosity Currently a college student, preferably a current 3rd year. CS coursework/programming experience Ability to work in the US, specifically Providence, RI Remote internship is a strong possibility given the state of the world, but we are looking for someone with an interest in Providence for the longer term. What are the benefits? Real world experience learning how professional software companies build products Training & mentorship from our senior engineers Competitive salary #LI-DNI Apply for This Job","https://us.fidanto.com/jobs/job-opening/software-quality-assurance-engineers-and-testers/software-engineer-intern-pvd-261007331?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.016446132725889955,
27,"Intern – Quality Assurance Associate","Pearson - 3.7","Providence, RI","Intern – Quality Assurance Associate Job at Pearson – 3.7 Providence, RI

Description

PEARSON INTERNSHIP PROGRAM

Intern –Associate Quality Assurance – Global Product – Production & Digital Studio

Pearson Interns – Helping shape the future of education

Why join Pearson’s intern program?

Pearson is the world’s learning company. We help people of all ages acquire the knowledge and skills they need to be successful in their work and careers. We believe that everyone should be able to keep learning, every day and in every way, throughout their lives. Bringing together everything we know about the science of learning and the latest technology, we’re shaping the future of teaching and learning.

We’re looking for the next generation of talented undergraduates to join our team for a 10-week internship. An internship at Pearson is an opportunity to bring your own unique perspective as a learner, together with your academic knowledge, technical skills, and enthusiasm, to help create products used by students like you.

As one of our interns, you will gain a comprehensive introduction to our business. You’ll be assigned to a team and work on real-life projects that bring our products and services to life. On the job training and professional development will be provided to enable you to contribute to the business. You’ll also have direct access to a senior member of the team, as each intern will be mentored to help you make the most of the ten-week program.

We foster a work environment that’s inclusive as well as diverse, where our people can be themselves. Every idea and perspective is valued so that our products reflect the people we serve — our teachers and learners.

What Does the Internship Program Offer?

Successful candidates will spend 10 weeks working within our Production & Digital Studio teams.

You will be paid for the duration of your internship. The internship begins on Monday, June 7th and ends Friday, August 13th.

Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Job description

Develop UAT plan for Pearson products and execute UAT on current product line to inform next generation products

Work with QA and Production teams to develop comprehensive test plans based on product and courseware requirements, for both general and project-specific use, for all Higher Education Products.

Assist team in coordinating with production and product teams to ensure requirements are testable.

Execute test plans and generate reports of results including use of automated testing tools as necessary.

Record Production and vendor problems and concerns in an established tracking system.

Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.

Qualifications

Qualifications

What are we looking for in an Intern

Strong communication skills, including writing, with the ability to engage a variety of individuals and groups to achieve clarity

QA or developing related experience – preferred in school project or related work.

Knowledge of bug tracking software such as JIRA, Mantis and Bugzilla a plus.

Ability to handle high pressure situations and prioritize multiple projects as they are assigned required.

Ability to focus on and manage deadlines and deliverables.

Attention to detail and suitability to a target audience

An organized team player who can manage multiple tasks, take initiative and achieve results

Familiarity with Microsoft applications, including Word, PowerPoint, Excel, Outlook etc. and an interest in technology

Graduation date between 2021 and 2023

Primary Location : US-RE-Remote

Work Locations :
US-Remote

Remote

Job : Project/Temporary Workforce

Organization : Global Product

Employee Status : Fixed Term

Job Type : Internship

Job Level : Entry Level

Shift : Day Job

Job Posting : Apr 7, 2021

Job Unposting : Apr 12, 2021

Schedule: : Full-time Temporary

Req ID: 2105067

About the Company

Company: Pearson – 3.7

Company Location: Providence, RI

Estimated Salary","https://qajobshub.com/job/intern-quality-assurance-associate/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.018433177954144682,
9,"Intern: Quality Control Analytical Technology","Biogen","Triangle, NC","Job Description

This is for a 12-week internship position from June – August 2021.

The individual will perform analytical method development and optimization for antisense oligonucleotide (ASO) medicines in the Quality Control Laboratory.

Potential Areas Of Investigation Include
Method development for ultraviolet (UV) melting temperature (Tm) analysis of complementary oligonucleotide sequences
Development Nuclear Magnetic Resonance (NMR) methods for small molecule ID testing.
Evaluation of instrument control and data analysis software programs for increasing efficiency in data analysis and custom calculations in a QC environment.
The intern will learn industry-leading analytical technologies, problem-solving strategies, pharmaceutical product development, and scientific communication. Responsibilities include data generation and analysis, experimental design, report writing and reviewing, and delivering internal scientific presentations.

Qualifications

To participate in the Biogen Internship Program, students must meet the following eligibility criteria:
Legal authorization to work in the U.S.
Grade point average of 3.2 or higher preferred
At least 18 years of age prior to the scheduled start date
Be currently enrolled in an accredited college or university
Coursework in Chemistry (organic and/or analytical), Biochemistry or Chemical Engineering preferred.
Fast learner with scientific curiosity, attention to detail, strong work ethic and works well on a team.
Education

Physical or life sciences major. Undergraduate research or work experience is preferred. Graduate student (MS, Ph.D., Pharm.D., or equivalent), or rising 3rd or 4th year undergraduate.

Location

Research Triangle Park, NC

Relocation not offered for this position.

Additional Information

All your information will be kept confidential according to EEO guidelines.","https://www.linkedin.com/jobs/view/externalApply/2496760700?url=https%3A%2F%2Fjobs%2Esmartrecruiters%2Ecom%2FBiogen%2F743999742187060-intern-quality-control-analytical-technology%3Ftrid%3D2d92f286-613b-4daf-9dfa-6340ffbecf73&urlHash=73Vs&refId=55f98d16-f536-43e3-93ee-867e15e8df5c&trackingId=%2BW8cEZKC850SKIZ%2FqxYbGQ%3D%3D&trk=public_jobs_apply-link-offsite",0.009902860859389928,
11,"Intern - Quality Control","STV","Hartford, CT","STV Incorporated is an international multidisciplinary engineering, architectural, consulting, and construction management company. STV’s internship program is an important part of our strategic plan for growth. Our managers work closely with students to prepare and evaluate them for full time STV employment upon graduation. In addition to meaningful work on many world-class projects, we offer STV’s Intern Development Program to our interns to help them network with one another, to learn some critical professional skills, and to have fun.

Delivering Quality Services is a core value of STV. We deliver quality products and customer satisfaction by integrating innovation, integrity, and a compliant quality system. Our QMS is based on clear objectives and a commitment to continuous improvement.

Our New York City office is seeking an Intern for our Corporate Quality Assurance group. To be considered, one must have a high GPA and strong computer skills. Previous relevant work/internship experience is a plus.
Entry level duties of moderate difficulty providing the opportunity for training in various departments throughout the organization
Performs assigned duties to acquire knowledge of methods, procedures and standards required for successful performance
May perform duties such as gathering and organizing data to provide information for departmental special projects or reports; assisting professional level employees on assignments; and other related duties as assigned
Assignments serve to offer practical experience and broad exposure to the company’s organizational structure
Utilizes current company-wide and/or department specific software to complete assignments
Specific activities vary by assignment

Support Of Overall Corp And Div. QA Org Including
Records control, training matrix, certification status, etc.
Route and support procedure development
Maintain quality records and Cost of Quality metrics
Track and report on trends based ono data analysis
Support CAR and audit tracking
Update internal systems with Quality info
Run new and existing database queries for all projects to uncover quality mischarging and inefficiencies","https://www.linkedin.com/jobs/view/externalApply/2495709999?url=https%3A%2F%2Fapp%2Ejobvite%2Ecom%2FCompanyJobs%2FCareers%2Easpx%3Fk%3DApply%26j%3DoHYwefw9%26s%3DLinkedInLimited&urlHash=TEr-&refId=55f98d16-f536-43e3-93ee-867e15e8df5c&trackingId=2iyEF%2FEs%2FoCbSF9uuBIPIg%3D%3D&trk=public_jobs_apply-link-offsite",0.02458011557113465,
26,"Quality Assurance Intern","Trimble Inc.","Mayfield Heights, OH","Our Company

Trimble Transportation is in business for optimizing the movement of freight by providing shippers and carriers both mobility, enterprise and visibility software tools they need to run their businesses more efficiently. As the leading provider of Transportation Management Software (TMS), Asset Management Software (AMS), and Fleet Management Software (FMS) we are devoted to propelling companies in the trucking industry toward increased efficiency, lower costs and optimize operations.

Position Overview

An intern will have the opportunity to gain experience with helping build a repository of API, Database and Security testing of our applications including exploration and use of various testing tools to support this type of testing. An intern provides a fresh viewpoint and new ideas to quality implementation of our products. It also allows Trimble to have early influence in instilling solid quality principles in potential future employees.

Primary Responsibilities

Work cross-functionally with key parties from product and development teams to evaluate key system problems, impact from feature releases, and understand potential bottlenecks in our software delivery lifecycle (SDLC)
Attend Daily Scrum meetings to identify what QA is needed to deliver quality product and users experiences in a timely manner
Design new tools and maintain an existing suite of toolsets, integrate them with various systems through collaboration with engineering teams
Design new automated tests and procedures - expanding existing test suites
Maintain and expand existing set of performance test suites
Execute performance test suites and analyze performance results
Setup performance monitoring and identify resource contentions
Effectively analyze, communicate and confirm the resolution of defects
Maintaining various test environments

Required Skills

Familiar with GIT or similar source control tools
Excellent analytical skills
Experience developing in various programming languages (JavaScript, C#, Java, etc)
Currently working towards a Bachelor's in Computer Science, Engineering or equivalent engineering field
Must be able to work well in a fast-paced environment and quickly shift priorities
Self-motivated, detail-oriented and organized
Excellent written and oral communications skills
Familiarity with relational databases and basic database maintenance

Preferred Skills

Knowledge of software QA methodologies, tools, and processes
Experience with continuous integration servers (such as Jenkins/TeamCity)
Experience using software automation testing tools such as Ranorex, TestComplete, QTP, Cypress, Playwright, SpecFlow, Appium, Selenium, SoapUI, and Postman
Experience using software performance testing tools such as LoadRunner, Jmeter, Neoload, Gatling
Experience using basic performance monitoring tools such as Perfmon, SQL Profiler, OEM

Trimble Inc. is proud to be an Equal Opportunity and Affirmative Action Employer and considers qualified applicants for employment without regard to race, gender, age, color, religion, national origin, marital status, disability, sexual orientation, status as a covered veteran in accordance with applicable federal, state and local laws, or any other protected factor. EOE/M/F/V/D

Trimble Inc. is proud to be an Equal Opportunity and Affirmative Action Employer and considers qualified applicants for employment without regard to race, gender, age, color, religion, national origin, marital status, disability, sexual orientation, status as a covered veteran in accordance with applicable federal, state and local laws, or any other protected factor. EOE/M/F/V/D","https://www.linkedin.com/jobs/view/externalApply/2485359318?url=https%3A%2F%2Ftrimble%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FTrimbleCareers%2Fjob%2FUS---OH-Mayfield-Heights-TMW%2FQuality-Assurance-Intern_R32936-1%3Fsource%3DLinkedin&urlHash=xBFQ&refId=50513cb8-6c9e-4792-a987-b134d4658d3a&trackingId=26yLW0Z9LrBVRkMLC0jBMA%3D%3D&trk=public_jobs_apply-link-offsite",0.010868781053593337,
