Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
20,"Real Estate Intern","First Community Credit Union - Houston, TX","Houston, TX","As a member of the Real Estate team, you will have the opportunity to gain valuable experience in a wide range of mortgage lending duties and functions while working to advance our organization’s practices. This will be done through knowledge and understanding gained on all services and products within the real estate department encompassing all matters of mortgage, home equity, and home improvement loan requirements, guidelines, and policies. As your knowledge and experience expand, the real estate intern will learn to process mortgage and construction loans, including those for investors and in-house loans, as well as, the ability to process home improvement and home equity loans.

Our Real Estate Intern will have the opportunity to work through our loan origination system with knowledge gained for proper input of loan applications, ordering of credit reports, as well as which applications to run through the underwriting platform for conventional loans. They will gain knowledge and understanding of the necessary documentation needed to present loan applications to underwriting, and additionally, gain an understanding of the clearing conditions from the underwriters.

This individual will assist the Real Estate department with member communication via inbound/outbound calls, emails, and other methods of communication as necessary. They will understand the loan closing process and be able to coordinate closings with borrowers and title companies. They will also become knowledgeable of the denial process and will assist in sending our denial letters for real estate loans as directed.

Requirements: Must be pursuing a Bachelor’s or graduate-level degree with a business designation.

Desirable Traits
Excellent oral and written communication skills
Self-motivated to achieve goals
Detail-oriented with strong organizational skills
Ability to multi-task in a fast-paced environment
Proficient computer skills with the ability to learn mortgage software platforms, spreadsheets, and word processing


About Us

First Community Credit Union (FCCU) was chartered in southeast Texas in 1954 to serve the employees of the Spring Branch Independent School District. In 1988, FCCU expanded membership to include the Greater Houston Area, thereafter adding Fort Bend and Montgomery Counties in the 2000s. Over the years, First Community Credit Union has grown to become one of the largest credit unions in Houston with over $1B+ in assets. We have always operated under the philosophy of people-helping-people. First Community Credit Union continues to lead the way as a high-tech, high-touch credit union with leading digital services including Online Banking, Mobile Banking, iPhone/Android Apps, and more. FCCU also works to ensure our members are backed by the latest in security, launching products including EMV chip cards and My Money Maps. As a full-service financial institution, First Community Credit Union proudly serves the daily financial needs of over 130,000 members at our 17 locations.","https://www.linkedin.com/jobs/view/externalApply/2487398179?url=https%3A%2F%2Frecruiting%2Eultipro%2Ecom%2FFIR1030FCCU%2FJobBoard%2F85400acd-0000-4949-8a8d-b257b414d923%2F%2FOpportunityDetail%3FopportunityId%3D0331809e-9161-43d8-b448-6768fc2665b0&urlHash=cD6h&refId=749b540f-c526-45a8-977c-419a44590089&trackingId=BGu9noG8xq%2Fpeois7cqMkQ%3D%3D&trk=public_jobs_apply-link-offsite",0.003790807517463482,
5,"Development Intern - Summer 2021","Bozzuto","Wayne, PA","Bozzuto is a privately held, real estate services company that specializes in Property Management, Construction, Development and Homebuilding. Our vision of being the best real estate company in the country is inspired by the empowered execution of our more than 2000 talented team members to create extraordinary experiences of home and community.

Bozzuto Development Company specializes in the development of a range of high-end multifamily rental products in both urban and suburban settings. In 2014, NAHB named our Monroe Street Market development its Infill Community of the Year and our Union Wharf development its Multifamily Community of the Year.

The Washington Post has recognized us as a 2020 Top Workplace and we are a multi-year winner of the Washington Business Journal’s “Best Places to Work” award.
Have a fun, hands-on learning experience in a real business environment!
Located in our Wayne, PA office, Bozzuto Development has an intern opportunity for a highly motivated and aspiring Development professional to directly assist our Development team in all aspects of the development process for complex urban development projects. This includes all phases of development including zoning, entitlements, design, permitting, construction, leasing, and disposition.

Intern Responsibilities And Learning Objectives
Assist in preparing proposals and presentations for new business pitches
Translate data and project research into clear, professional products
Assist business development team and senior leadership with special projects as needed
Review architectural plans for compliance with standards
Be a proactive achiever who is able to follow guidelines and meet deadlines
Take ownership of each project assigned
Communicate regularly with senior management on project timelines and progress
Assist in preparing and monitoring budgets, including preparation of monthly loan draw package and investor reports. Create basic financial analyses;
Assist in obtaining project entitlements and permits, including meetings with city/town staff to negotiate outstanding issues;
Assist in contracting process for architects, engineers, contractors, and other outside consultants;
Work with development team to keep project-specific economic models up to date;
Assist with market research and serve as a resource for new development pursuits;
Assist with presentations, market reports, data input, meeting minutes, proforma models, proposals, processing invoices;
Exposure to project meetings;
What You Bring to Us:
A graduate or undergraduate student who is enrolled in an real estate, business, finance or engineering program
1+ years in Real Estate Development
Passion for the field of real estate development
Strong quantitative abilities with knowledge of financial modeling and financial statements
Strong problem-solving capabilities
Good planning and organizational skills
Awareness of design and project documentation
Superb written and verbal communication skills, including presentation skills
Ability to quickly adapt to changing and challenging situations
Must thrive in a multi-tasking, fast-paced environment
Microsoft Office experience - Word, Excel, PowerPoint
What We Bring You:In addition to an award winning culture and amazing work spaces, Bozzuto offers a wide range of insurance options, financial programs, and benefits that let you and your family be healthy and plan for the future. Our benefits take into consideration everything from career development to retirement, family matters, health and wellness. Bozzuto is committed to doing everything it can to offer you quality benefits and healthcare coverage—including access to the best doctors and hospitals at an affordable price. Bozzuto is proudly an Equal Opportunity Employer EOE/M/F/D/V.","https://www.linkedin.com/jobs/view/externalApply/2430495953?url=https%3A%2F%2Fclick%2Eappcast%2Eio%2Ftrack%2F7px9g48-org%3Fcs%3Dg9%26jg%3D44h%26bid%3DlUf2CslKyPxm6i440ZgUYA%3D%3D&urlHash=6xrc&refId=5df7a95b-e5c4-4416-ae41-7eef7dc837ea&trackingId=v4Ky2mhjS3U01dyEATN%2F1A%3D%3D&trk=public_jobs_apply-link-offsite",0.006995049094653561,
12,"Dallas Real Estate / Acquisitions Intern","Xite Realty","Austin, TX","Xite Realty, LLC is a Texas-based commercial real estate company focused on representing the needs of Healthcare professionals and organizations. Our growing, entrepreneurial firm seeks an intern for our Dallas/Fort Worth, TX office whose role will be to assist brokers in the day-to-day operations of the company.

Responsibilities
To provide administrative support as required
Handle communication of clients and others in an effective manner (i.e. gathering of building information for market studies)
Organize and coordinate client/visitor/property tours
Assist brokers in the preparation of real estate documents such as letters of intent, market studies, contracts, etc.
Assist brokers in preparation for meetings
Prepare (type, revise, add graphics, etc.) marketing materials
Provide database management (adding, updating, deleting, quality control) incorporating client-specific information into a CRM to manage clients and lead distribution
Social media experience is a plus
Marketing and Advertising experience is a plus
Organize company networking events


Requirements
Proficiency in Microsoft Word, Excel & Outlook, PowerPoint, SalesForce, Costar, and Loopnet is a plus
Experience as an administrative assistant and/or in commercial real estate is a plus
Possess good organization, communication and follow-up skills
Be tactful and diplomatic through accurate verbal, written, and interpersonal skills
Be mature, reliable, dependable and professional
Be detail-oriented and possess critical thinking skills
Ability to work independently yet also thrive working as a team member
Willingness to learn
This is not a remote position, only local resumes will be considered


Benefits

This position pays $10 per hour and is flexible to adapt to your schedule.

Schedule M-Th 10 00am-3 00pm | Flexible

Please email your resume’ to afox@xiterealty.com or visit our website at www.xiterealty.com","https://www.linkedin.com/jobs/view/externalApply/2485415736?url=https%3A%2F%2Fjobs%2Ejedunn%2Ecom%2Fjob%2FKansas-City-Campus-Intern-Real-Estate-MO-64106%2F722852600%2F&urlHash=2kZP&refId=5df7a95b-e5c4-4416-ae41-7eef7dc837ea&trackingId=sJzjGhoRoSUbQrdq7NIdmA%3D%3D&trk=public_jobs_apply-link-offsite",0.006174777874904499,
16,"Real Estate Intern - Lange Real Estate","RedGuard","Wichita, KS","About The Company

Rooted in real estate, an industry the company has been involved in since 1986, LANGE has constantly evolved to continue to meet the growing needs of those it serves. Today, the company has branches in portable storage, blast-resistant buildings, asset-based financial solutions and diversified leasing programs. However, through it all, LANGE has remained true to its guiding purpose of providing unique, industry-leading products and services while doing so with integrity and a commitment to its growing family of employees.

For more information, visit https://lange.us.com/companies/
What You Can Expect Working in the Real Estate Intern Position
Department/Division: Lange Real Estate

Reports to: Director of Real Estate

Location: Wichita, KS

Position Type/Hours: Full-time | M-F | 8:00a – 4:30p; Hybrid Schedule

Overtime: Approved Time Only

Travel Requirement: Less than 5%

FLSA Status: Non-Exempt

The Real Estate Intern will work directly with the brokerage and property management teams to learn and understand the residential and commercial real estate market. The Real Estate Intern will perform support functions of this position, learn real estate contracts, leases, eviction plans, and other legal documentation.

Responsibilities
Perform the preparation duties and showings of properties, both residential and commercial for sale and/or for lease.
Review and prepare real estate contracts.
Become familiar and assist with the operation of the MLS, Loopnet and other Real Estate systems and software.
Perform sales techniques to be able to convert a lead to a sale or lease.
Assist with the marketing strategies for the residential and commercial brokerage.
Support and work in coordination with the real estate brokerage team to drive listing and Lange RE presence.
Shadow and work directly with Real Estate agents to understand market best practices.
Promote and hold others accountable for a safe working environment.
Observe safety and security procedures.
Minimum Qualifications
Must be proficient in Microsoft Office Products, including Word, Excel and Outlook.
Must be proficient in Social Media accounts.
Must have reliable transportation and a valid driver’s license.
Internship
This is a summer internship, lasting approximately 12 weeks
Start date: May 24, 2021 – August 13, 2021
Work Environment
The physical demands and work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Sedentary work. Exerting up to 10 pounds of force occasionally and/or negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects, including the human body. Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally and all other sedentary criteria are met.
The worker is required to have close visual acuity to perform an activity such as: preparing and analyzing data and figures; transcribing; viewing a computer terminal; extensive reading; visual inspection involving small defects, small parts, and/or operation of machines (including inspection); using measurement devices; and/or assembly or fabrication parts at distances close to the eyes.
The worker is not substantially exposed to adverse environmental conditions (such as in typical office or administrative work.)
The worker can expect to spend most of their workday to spent communicating with individuals via phone.
Legal Jargon
We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. Except where prohibited by state law, all offers of employment are conditioned upon successfully passing a drug test. This employer uses E-Verify.

SDL2019-64","https://www.linkedin.com/jobs/view/externalApply/2499320260?url=https%3A%2F%2Fwww%2Estartwire%2Ecom%2Fjobs%2Fwichita-ks%2Freal-estate-intern-lange-2814759341%3Fcampaign%3D128%26source%3DLI&urlHash=tcLY&refId=5df7a95b-e5c4-4416-ae41-7eef7dc837ea&trackingId=UE%2BINNy4KkBvU5DG9kTGjA%3D%3D&trk=public_jobs_apply-link-offsite",0.004156802844336082,
37,"Summer Intern","Associated Wholesale Grocers","Norfolk, NE","Associated Wholesale Grocers (AWG) is a retailer-owned cooperative serving over 3,000 retail member stores with a complete assortment of grocery, fresh meat, fresh produce, specialty foods, health care, and general merchandise items. Through an extensive distribution network and nine distribution centers, AWG and its subsidiaries deliver in over 28 states. In addition to its cooperative wholesale operations, the company also operates subsidiary companies which provide real estate and supermarket development services, digital marketing services, and is a wholesale supply provider of health and beauty care, general merchandise, specialty/international foods and pharmaceutical supply. If you have a passion for retail, the drive to succeed in a fast-paced industry, we can't wait for you to join the team! Make us your Best Choice!

As an intern, you’ll gain direct experience with all aspects of Supply Chain Management. You’ll be assigned to cross-functional teams to understand and address business and customer needs while developing key skills in team interactions, problem solving and communications.

You’ll also have the opportunity to network with other interns, AWG leadership our employees and our Member Retailers.

Here’s What We’re Looking For
Supply Chain Management major candidates
Junior or senior level students preferred. Recent grads acceptable.
Solid communication skills
Strong organization skills
Attention to detail, willingness to ask questions, ability to follow up.
Initiative, enthusiasm to learn and ability to follow direction
Interest in SCM, logistics and grocery field


AWG Intern Commitment & Offer
Twelve week program interning in various departments including warehouse, transportation, sales, administration
$17/hour
Intern will work 40 hours/week
Intern signs agreement/confidentiality letter
Follow current employee policy handbook","https://www.linkedin.com/jobs/view/externalApply/2445591481?url=https%3A%2F%2Frecruiting%2Eadp%2Ecom%2Fsrccar%2Fpublic%2Fnghome%2Eguid%3Fc%3D1152151%26d%3DExternalCareerSite-AWGNorthAmerica%26prc%3DRMPOD3%26r%3D5000690017006&urlHash=XT31&refId=749b540f-c526-45a8-977c-419a44590089&trackingId=%2FEvPts1g7ouRxXdFbQKl1Q%3D%3D&trk=public_jobs_apply-link-offsite",0.011152149267857665,
42,"Information Technology (IT) Intern","Milhaus","Indianapolis, IN","Description

Milhaus is an award-winning, mixed-use development, construction, and property management company that specializes in Class A, urban, multifamily residential buildings. Headquartered in Indianapolis, Milhaus is comprised of inspired and industrious individuals who are passionate about the development of mixed-use and multifamily communities.

We provide exceptional customer experiences and create solutions for neighborhoods that positively impact communities by providing unparalleled expertise in real estate, investment, development, construction and management.

Milhaus Intern Experience

Spend your summer with us! The Milhaus Summer Internship Experience is a 12 week program designed to give future professionals meaningful workplace experience. By interning with us at our downtown Indy corporate office or at one of our properties, you’ll be provided the opportunity to kick-start your career by learning from industry leaders and be a part of a team that truly makes a difference

Position Summary

The IT Intern will have the opportunity to work on important business projects, collaborate with experienced IT professionals and deliver real results for the organization. This internship will focus on providing technical assistance and excellent customer service to users related to computer systems, hardware and software.

Responsibilities
Provide basic support for all Milhaus internal and external users.
Assist and follow up with end users through the problem-solving process.
Identify and escalate issues requiring urgent attention or higher level of knowledge.
Assist with other projects and duties as assigned by the IT Manager.
Other duties as assigned.

Requirements
Pursuing a bachelor’s degree or equivalent, ideally specializing in Computer Science, MIS, Computer Engineering or related major
Keen attention to detail and accuracy
Excellent organizational, time management, and planning skills
Experience with Microsoft Office (Word, Excel, Outlook, PowerPoint)
Strong written and verbal communication skills
Proven analytical skills, critical thinking, and problem analysis
Stress tolerance to manage multiple tasks across various projects simultaneously
We stand as one team dedicated to transforming neighborhoods. Through transparency and collaboration, we empower our people to lead. Bikes are our allies, local food is our addiction and entrepreneurship inspires us. First impressions are set by our energy and passion, not suits and ties. We embrace the changing ideal of what people call home.

Integrity. Execution. Innovation. Collaboration.

By joining us at our corporate office in downtown Indianapolis or onsite at one of our many properties, you’ll be provided the opportunity to grow your career and become part of a team that truly makes a difference.","https://www.linkedin.com/jobs/view/externalApply/2463168172?url=https%3A%2F%2Frecruiting%2Epaylocity%2Ecom%2FRecruiting%2FJobs%2FDetails%2F493538&urlHash=ATtB&refId=0f4b0e10-eb9a-4396-889b-15b8628f3c15&trackingId=vgfOfny8a8xQjZncyFotOw%3D%3D&trk=public_jobs_apply-link-offsite",0.012100081955625565,
27,"Client Value Intern","Reed Smith LLP","Pittsburgh, PA","US Job Description

Firm Information
Reed Smith is a global relationship law firm with more than 1,700 lawyers in 29 offices throughout the United States, Europe, Asia and the Middle East.

Founded in 1877, the firm represents leading international businesses, from Fortune 100 corporation s to mid-market and emerging enterprises. Its lawyers provide litigation and other dispute resolution services in multi-jurisdictional and other high-stakes matters; deliver regulatory counsel; and execute the full range of strategic domestic and cross-border transactions. Reed Smith is a preeminent advisor to industries including financial services, life sciences, health care, advertising, entertainment and media, shipping and transport, energy and natural resources, real estate, manufacturing, technology, and education. For more information, visit reedsmith.com.
Position Summary The Reed Smith Client Value Internship program provides college students an introduction to the administrative function of the legal industry. As a cross- functional department, the Client Value Team sits at the intersection of Finance & Accounting, Marketing & Business Development, and Information Technology & Knowledge Management. Interns will work collaboratively with team members to create and execute financial, marketing, and technology projects. Students will learn to work in a group environment and build interpersonal skills. If this internship is being completed for school credit, we will complete the necessary employer requirement for the student to receive credit. The intern position pays $15.00 per hour. Essential Functions
Assist team members with the preparation of internal and external financial reports.
Assist team members with creating pricing proposals for clients and prospects.
Support team members with legal project management activities.
Support team members with marketing collateral to promote the firm's Client Value initiative .
Requirements
Education: Candidates must be enrolled in a four-year degree program and have completed at least two years of course work. Preference is given to candidates within one year of graduation. Preferred majors include business administration, finance, economics, and accounting

Experience: Experience not required .

Skills
Ability to receive instructions and complete tasks with minimum supervision. Ability to prioritize in a fast-paced work environment.
Ability to work as part of a highly distributed team, including being able to build and maintain relationships with supervisors, peers and internal customers.
Ability to work with mathematical concepts, including fractions, percentages, ratios and proportions to practical situations.
Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists. Ability to interpret a variety of instructions furnished in written, oral, diagram or schedule form.
Microsoft Office Suite with a focus on Excel skills.
Excellent written and oral presentation skills.

Other

Supervisory Responsibilities: None.

Equipment To Be Used: Personal computer and other office equipment such as telephone, calculator, fax, machine, copier, scanner, etc.

Typical Physical Demands: Manual dexterity sufficient to operate standard office equipment.

Typical Mental Demands: Able to deal with stress associated with fast-paced work environment. Multiple priorities/tasks. Make judgment decisions and adapt to changing work situations. Grasp and apply new ideas. Communicate with various personalities at all levels.

Working Conditions: Works in typical office setting. Occasionally called upon to work hours in excess of your normal daily schedule.

Reed Smith offers a challenging work environment, business casual dress code and a total compensation package for full time regular employees that includes a competitive salary, flexible benefits program, tuition assistance, and generous 401 (k) plan.

Qualified candidates only, No search firms. Reed Smith is an Equal Opportunity Employer.

Reed Smith's success depends heavily on the effective utilization of qualified people, regardless of their race, ancestry, religion, colour, sex, age, national origin, sexual orientation, gender identity and/or expression, disability, veteran's status, or any characteristic protected by law. As a firm, we adhere to and promote equal employment opportunity for all.","https://www.linkedin.com/jobs/view/externalApply/2391012297?url=https%3A%2F%2Frecruit%2Ereedsmith%2Ecom%2Fpsc%2FHCM92PRD%2FEMPLOYEE%2FHRMS%2Fc%2FHRS_HRAM_FL%2EHRS_CG_SEARCH_FL%2EGBL%3FPage%3DHRS_APP_JBPST_FL%26Action%3DU%26FOCUS%3DApplicant%26SiteId%3D1%26JobOpeningId%3D505596%26PostingSeq%3D1&urlHash=F-2z&refId=749b540f-c526-45a8-977c-419a44590089&trackingId=bV4BW4pprmGVb2ZBulxVGQ%3D%3D&trk=public_jobs_apply-link-offsite",0.004609577950274829,
1,"Real Estate Development Intern","Carmel Partners","New York, NY","Carmel Partners is a well-capitalized private real estate firm with expertise in the investment and development of multi-family real estate. Our mission is to build and enhance high quality communities using innovative ideas and solutions that create value for our investors, residents and associates. 

The Development Intern will be responsible for supporting the Development and structured finance teams in providing financial modeling, deal underwriting and analysis, market research, transaction due diligence, and approval memoranda for development and acquisitions. This position offers an excellent opportunity to learn and experience the real estate development business. 

Who you are

You’re productive in collaborative team settings as well as on your own, and either way you deliver quality work. You’re a pro at communicating on and off the page, and understand the importance of building great relationships. You keep a cool head while managing multiple projects in a fast-paced environment. Above all, you always demonstrate impeccable judgement and integrity.

What you’ll do:

Conducts long term market research, and rent studies
Performs financial analysis
Assists with due diligence
Writes memoranda
Produces reports, including cash flow projections, excel modeling, and associated sensitivity analyses
Prepare development pro forma and perform financial feasibility and sensitivity analysis
Works closely with NY Development team members
Attend meetings with architects, sellers, brokers, site visits, etc.
Create and maintain routine and ad hoc reporting
Assist with closings
What you’ll bring

Currently pursuing an undergraduate or graduate degree in Architecture, Real Estate, Finance, Computer Science, or Business with a strong record of academic achievement
Familiarity with ESRI
General understanding of real estate and development industry
Strong Excel skills and financial modeling experience
General understanding of financial statement.
Excellent written communication skills
Key Program Components:

Internships last 8 - 12 weeks
Candidates must be authorized to work in the United States
Carmel Partners will not sponsor visas for this position
This is a paid internship program. Compensation is based on company guidelines. No additional benefits are offered with this position 
Carmel Partners, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, gender (including pregnancy), national origin, age, disability, veteran status, sexual orientation, or any other status protected under local, state, or federal laws.","https://www.linkedin.com/jobs/view/externalApply/2466468044?url=https%3A%2F%2Frecruiting%2Eultipro%2Ecom%2FCAR1041%2FJobBoard%2Ff19a3aa9-abdb-1b6d-46ec-d3e4716019ec%2FOpportunity%2FOpportunityDetail%3FopportunityId%3Da4f54347-1f09-475d-a027-9dd832df8c81%26utm_source%3DLINKEDIN&urlHash=6is3&refId=5df7a95b-e5c4-4416-ae41-7eef7dc837ea&trackingId=tIGUI%2BucMzu365PHkdcUNw%3D%3D&trk=public_jobs_apply-link-offsite",0.01875626043857394,
15,"Real Estate Intern","Kroger","Cincinnati, OH","Company Name: Kroger General Office
Position Type: Intern
FLSA Status: Non-exempt

Complete an 8-10 week program in the General Office, working with managers, to gain an understanding of the Corporate Real Estate Department. Role modeland demonstrate the company's core values of respect, honesty, integrity, diversity, inclusion and safety of others.

Essential Job Functions
Train at General Office Real Estate.
Participate in department meetings.
Complete specific internship assignments, as requested.
Complete cumulative project (summary of internship accomplishments) and present to appropriate Managers.
Must be able to perform the essential functions of this position with or without reasonable accommodation.
Minimum Position Qualifications:
Junior standing or higher at an accredited college or university
Major in Real Estate or Finance
Minimum 3.0 GPA in Major
Proven financial analysis skills required
Proven verbal and written communication skills required
Responds to change as a positive challenge
Significant level of multi-tasking required
Ability to preserve confidentiality of information
Accuracy and attention to detail
Ability to work on own initiative
Commitment to providing customer service
Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint, Outlook, etc.)
Desired Previous Job Experience
Completion of some coursework in the field of Real Estate
Experience in a professional work environment
Managing multiple priorities between school, work, or extra-curricular activities
Involvement in high school or college leadership and community activities
Education Level: High School Diploma/ GED Required
Required Certifications/Licenses: None
Position Type: Intern
Shift(s): [[mfield4]]
Regions: General Office- Cincinnati

States: Indiana; Kentucky; Ohio
Keywords: Real Estate Intern

Jobs at Kroger: At Kroger, we hire people who have a passion for helping others and who want to build a relationship with our Customers. No matter what stage of your career, you can build your future at Kroger. We look for people who want more, aspire to be more and work hard to achieve their goals. Our focus on keeping the Customer first is what makes us successful. As the largest traditional grocery chain in the U.S. and one of the world's largest retailers, we employee nearly half a million Associates across 35 states. We offer many opportunities not only in our stores, but in Manufacturing, Logistics, Marketing, Finance, Human Resources, and many other fields.

Company Overview: Kroger Family of Companies employs nearly half a million associates who serve over 11 million customers daily through a seamless shopping experience under a variety of banner names . At The Kroger Co., we are Fresh for Everyone™ and dedicated to our Purpose: To Feed the Human Spirit®. We are committed to creating #ZeroHungerZeroWaste communities by 2025. Careers with The Kroger Co. and our family of companies offer competitive wages, flexible schedules, benefits and room for advancement.

Posting Notes: OH || Cincinnati || 1014 Vine Street || 45202 || Kroger General Office || [[mfield2]] || Real Estate || Intern || Non-Exempt || Intern || None","https://www.linkedin.com/jobs/view/externalApply/2482397331?url=https%3A%2F%2Fjobs%2Ekroger%2Ecom%2Fkroger%2Fjob%2FCincinnati-Real-Estate-Intern-OH-45202%2F728439800%2F%3Futm_source%3DLINKEDIN%26utm_medium%3Dreferrer&urlHash=YseX&refId=5df7a95b-e5c4-4416-ae41-7eef7dc837ea&trackingId=EWiPj2P%2FofRCYO%2F5UtxKpQ%3D%3D&trk=public_jobs_apply-link-offsite",0.0035589700996677743,
35,"Houston Real Estate / Acquisitions Intern","Xite Realty","Austin, TX","Xite Realty, LLC is a Texas-based commercial real estate company focused on representing the needs of Healthcare professionals and organizations. Our growing, entrepreneurial firm seeks an intern for our Houston, TX office whose role will be to assist brokers in the day-to-day operations of the company.

Responsibilities
To provide administrative support as required for Houston and Austin teams
Run and manage our market area demographics using ESRI
Update our internal property map with brochure links
Handle communication of clients and others in an effective manner (i.e. gathering of building information for market studies)
Prepare (type, revise, add graphics, etc.) market studies
Assist brokers in the preparation of real estate documents such as letters of intent, market studies (in google maps), contracts, etc.
Organize and coordinate client/visitor/property tours
Assist brokers in preparation for meetings (i.e. set up the conference room with any materials needed & set up virtual meetings
Prepare (type, revise, add graphics, etc.) marketing materials
Provide database management (adding, updating, deleting, quality control) incorporating client-specific information into a CRM to manage clients and lead distribution


Requirements
Proficiency in Microsoft Word, Excel & Outlook, PowerPoint, ESRI, SalesForce, Costar, and Loopnet is a plus
Experience as an administrative assistant and/or in commercial real estate is a plus
Possess good organization, communication and follow-up skills
Be tactful and diplomatic through accurate verbal, written, and interpersonal skills
Be mature, reliable, dependable and professional
Be detail-oriented and possess critical thinking skills
Ability to work independently yet also thrive working as a team member
Willingness to learn
This position is not remote, only local resumes will be considered


Benefits

This position pays $10 per hour and is flexible to adapt to your schedule.

Schedule M-Th 10 00am-3 00pm | Flexible

Please email your resume’ to afox@xiterealty.com or visit our website at www.xiterealty.com","https://www.linkedin.com/jobs/view/externalApply/2484931555?url=https%3A%2F%2Fapp%2Ejobvite%2Ecom%2FCompanyJobs%2FCareers%2Easpx%3Fk%3DApply%26j%3Do876efwj%26s%3DLinkedInLimited&urlHash=520g&refId=749b540f-c526-45a8-977c-419a44590089&trackingId=70Z4lwH%2FpG%2BRP4wlYGUHEA%3D%3D&trk=public_jobs_apply-link-offsite",0.005027235161074183,
